none
none
none
none
none
none
none
none
none
none
none
none
"c" "j" 1;
"c" "j" 1;
"c" "j" 1;
"c" "j" 1;
"c" "j" 1;
"a" "g" 1; "c" "j" 1;
"a" "g" "r" 1; "c" "j" 1;
"a" "g" "r" 1; "c" "j" 1;
"a" "g" "r" 1; "c" "j" 1;
"a" "g" "r" 1; "c" "j" 1;
"a" "g" "r" 1; "c" "j" 1;
"a" "g" "r" 1; "c" "j" 1;
"a" "g" "r" 1; "c" "j" 1;
"a" "g" "r" 1; "c" "j" 1;
"a" "g" "r" 1; "c" "j" 1;
"a" "g" "r" 1; "c" "j" 1; "d" "r" 1;
"a" "g" "r" 1; "c" "j" 1; "d" "r" 1;
"a" "g" "r" 1; "c" "j" 1; "d" "r" 1;
"a" "g" "r" 1; "b" "y" 1; "c" "j" "o" 1; "d" "k" "r" 1;
"a" "g" "r" 1; "b" "y" 1; "c" "j" "o" 1; "d" "k" "r" 1;
"a" "g" "r" 1; "b" "y" 1; "c" "j" "o" 1; "d" "k" "r" 1;
"a" "g" "r" 1; "b" "y" 1; "c" "j" "o" 1; "d" "k" "r" 1;
"a" "g" "r" 1; "b" "y" 1; "c" "j" "o" 1; "d" "k" "r" 1;
"a" "g" "r" 1; "b" "y" 1; "c" "j" "o" 1; "d" "k" "r" 1;
"a" "g" "r" 1; "b" "y" 1; "c" "j" "o" 1; "d" "k" "r" 1;
"a" "g" "r" 1; "b" "y" 1; "c" "j" "o" 1; "d" "k" "r" "s" 1;
"a" "g" "r" 1; "b" "y" 1; "c" "j" "o" 1; "d" "k" "r" "s" 1;
"a" "g" "r" 1; "b" "y" 1; "c" "j" "o" 1; "d" "k" "r" "s" 1;
"a" "g" "r" 2; "b" "j" 2; "c" "b" "f" "i" "j" "m" "o" "u" "y" "z" 1; "d" "s" 2; "e" "o" "q" "u" "z" 1;
"a" "g" "r" 2; "b" "j" 2; "c" "b" "f" "i" "j" "m" "o" "u" "y" "z" 1; "d" "s" 2; "e" "o" "q" "u" "z" 1;
"a" "g" "r" 2; "b" "j" 2; "c" "b" "f" "i" "j" "m" "o" "u" "y" "z" 1; "d" "s" 2; "e" "o" "q" "u" "z" 1;
"a" "g" "r" 2; "b" "j" 2; "c" "b" "f" "i" "j" "m" "o" "u" "y" "z" 1; "d" "s" 2; "e" "o" "q" "u" "z" 1;
"a" "g" "r" 2; "b" "j" 2; "c" "b" "f" "i" "j" "m" "o" "u" "y" "z" 1; "d" "s" 2; "e" "o" "q" "u" "v" "z" 1;
"a" "g" "r" 2; "b" "j" 2; "c" "b" "f" "i" "j" "m" "o" "u" "y" "z" 1; "d" "s" 2; "e" "o" "q" "u" "v" "z" 1;
"a" "g" "r" 2; "b" "j" 2; "c" "b" "f" "i" "j" "m" "o" "u" "y" "z" 1; "d" "s" 2; "e" "o" "q" "u" "v" "z" 1;
"a" "g" "r" 2; "b" "j" "z" 2; "c" "b" "f" "i" "j" "m" "o" "u" "y" "z" 1; "d" "s" "v" 2; "e" "o" "q" "u" "v" "z" 1;
"a" "g" "r" 2; "b" "j" "z" 2; "c" "b" "f" "i" "j" "m" "o" "u" "y" "z" 1; "d" "s" "v" 2; "e" "o" "q" "u" "v" "z" 1;
"a" "g" "r" 2; "b" "j" "z" 2; "c" "b" "f" "i" "j" "m" "o" "u" "x" "y" "z" 1; "d" "i" "s" "v" 2; "e" "o" "q" "u" "v" "z" 1;
"a" "g" "r" 2; "b" "j" "z" 2; "c" "b" "f" "i" "j" "m" "o" "u" "x" "y" "z" 1; "d" "i" "s" "v" 2; "e" "o" "q" "u" "v" "y" "z" 1;
"a" "g" "r" 2; "b" "j" "v" "z" 2; "c" "b" "f" "i" "j" "m" "o" "u" "x" "y" "z" 1; "d" "i" "s" "v" 2; "e" "o" "q" "u" "v" "y" "z" 1;
"a" "g" "r" 2; "b" "j" "v" "z" 2; "c" "b" "f" "i" "j" "m" "o" "u" "x" "y" "z" 1; "d" "i" 3; "e" "o" "q" "u" "v" "y" "z" 1;
"a" "g" "r" 2; "b" "j" "v" "z" 2; "c" "b" "f" "i" "j" "m" "o" "u" "x" "y" "z" 1; "d" "i" 3; "e" "o" "q" "u" "v" "y" "z" 1;
"a" "g" "r" 2; "b" "j" "v" "z" 2; "c" "b" "f" "i" "j" "m" "o" "u" "x" "y" "z" 1; "d" "i" 3; "e" "o" "q" "u" "v" "y" "z" 1;
"a" "g" "r" 2; "b" "j" "v" "z" 2; "c" "b" "f" "i" "j" "m" "o" "u" "x" "y" "z" 1; "d" "i" 3; "e" "o" "q" "u" "v" "y" "z" 1;
"a" "g" "r" 2; "b" "j" "v" "z" 2; "c" "b" "f" "i" "j" "m" "o" "u" "x" "y" "z" 1; "d" "i" 3; "e" "o" "q" "u" "v" "y" "z" 1;
"a" "g" "r" 2; "b" "j" "v" "z" 2; "c" "b" "f" "i" "j" "m" "o" "u" "x" "y" "z" 1; "d" "i" 3; "e" "u" 2;
"a" "g" "r" 2; "b" "g" "j" "v" "z" 2; "c" "b" "f" "i" "j" "m" "o" "u" "x" "y" "z" 1; "d" "i" 3; "e" "u" 2;
"a" "g" "r" 2; "b" "g" "j" "v" "z" 2; "c" "b" "f" "i" "j" "m" "o" "t" "u" "x" "y" "z" 1; "d" "i" 3; "e" "u" 2;
"a" "g" "r" 2; "b" "g" "j" "v" "z" 2; "c" "b" "f" "i" "j" "m" "o" "t" "u" "x" "y" "z" 1; "d" "i" 3; "e" "u" 2;
"a" "g" "r" 2; "b" "g" "j" "v" "z" 2; "c" "b" "c" "f" "i" "j" "m" "o" "t" "u" "x" "y" "z" 1; "d" "i" 3; "e" "u" 2;
"a" "g" "r" 2; "b" "g" "j" "v" "z" 2; "c" "b" "c" "f" "i" "j" "m" "o" "t" "u" "x" "y" "z" 1; "d" "i" 3; "e" "u" 3;
"a" "g" "r" 2; "b" "g" "j" "v" "z" 2; "c" "b" "c" "f" "i" "j" "m" "o" "t" "u" "x" "y" "z" 1; "d" "i" 3; "e" "u" 3;
"a" "g" "r" 2; "b" "g" "j" "v" "z" 2; "c" "b" "c" "f" "i" "j" "m" "o" "t" "u" "x" "y" "z" 1; "d" "i" 3; "e" "u" 3;
"a" "g" "r" 2; "b" "g" "j" "v" "z" 2; "c" "b" "c" "f" "i" "j" "m" "o" "t" "u" "x" "y" "z" 1; "d" "i" 3; "e" "u" 3;
"a" "g" "r" 2; "b" "g" "j" "v" "z" 2; "c" "b" "c" "f" "i" "j" "m" "o" "t" "u" "x" "y" "z" 1; "d" "i" 3; "e" "u" 3;
"a" "g" "r" 2; "b" "g" "j" "v" "z" 2; "c" "b" "c" "f" "i" "j" "m" "o" "t" "u" "x" "y" "z" 1; "d" "i" 3; "e" "u" 3;
"a" "g" "r" 2; "b" "j" 3; "c" "b" "c" "f" "i" "j" "m" "o" "t" "u" "x" "y" "z" 1; "d" "i" 3; "e" "u" 3;
"a" "g" "r" 2; "b" "j" 3; "c" "b" "c" "f" "i" "j" "m" "o" "t" "u" "x" "y" "z" 1; "d" "i" 3; "e" "u" 3;
"a" "g" "r" 2; "b" "j" 3; "c" "b" "c" "f" "i" "j" "m" "o" "s" "t" "u" "x" "y" "z" 1; "d" "i" 3; "e" "u" 3;
"a" "g" "r" 2; "b" "j" 3; "c" "b" "c" "f" "i" "j" "m" "o" "s" "t" "u" "x" "y" "z" 1; "d" "i" 3; "e" "u" 3;
"a" "g" "r" 2; "b" "j" 3; "c" "b" "c" "f" "i" "j" "m" "o" "s" "t" "u" "x" "y" "z" 1; "d" "i" 3; "e" "u" 3;
"a" "g" "r" 2; "b" "j" 3; "c" "b" "c" "f" "i" "j" "m" "o" "s" "t" "u" "x" "y" "z" 1; "d" "i" "s" 3; "e" "u" 3;
"a" "g" "r" 2; "b" "j" 3; "c" "b" "c" "f" "i" "j" "m" "o" "s" "t" "u" "x" "y" "z" 1; "d" "i" "s" 3; "e" "u" 3;
"a" "g" "r" 2; "b" "j" 3; "c" "b" "c" "f" "i" "j" "m" "o" "s" "t" "u" "x" "y" "z" 1; "d" "i" "s" 3; "e" "u" 3;
"a" "g" "r" 2; "b" "j" 3; "c" "x" 2; "d" "i" "s" 3; "e" "u" 3;
"a" "g" "r" 2; "b" "j" 3; "c" "x" 2; "d" "i" "s" 3; "e" "u" 3;
"a" "g" "r" 2; "b" "j" 3; "c" "x" 2; "d" "i" "s" 3; "e" "u" 3;
"a" "g" "r" 2; "b" "j" 3; "c" "x" 2; "d" "i" "s" 3; "e" "u" 3;
"a" "g" "r" 2; "b" "j" 3; "c" "x" 2; "d" "i" "s" 3; "e" "u" 3;
"a" "g" "r" "t" 2; "b" "j" 3; "c" "x" 2; "d" "i" "s" 3; "e" "u" 3;
"a" "g" "r" "t" 2; "b" "j" 3; "c" "x" 2; "d" "i" "s" 3; "e" "u" 3;
"a" "g" "r" "t" 2; "b" "j" 3; "c" "x" 2; "d" "i" "s" 3; "e" "u" 3;
"a" "g" "r" "t" 2; "b" "j" 3; "c" "x" 2; "d" "i" "s" 3; "e" "u" 3;
"a" "t" 3; "b" "j" 3; "c" "x" 2; "d" "i" "s" 3; "e" "u" 3;
"a" "t" 3; "b" "j" 3; "c" "p" "x" 2; "d" "i" "s" 3; "e" "u" 3;
"a" "t" 3; "b" "j" 3; "c" "p" "x" 2; "d" "i" "s" 3; "e" "u" 3;
"a" "t" 3; "b" "j" 3; "c" "p" "x" 2; "d" "i" "s" 3; "e" "u" 3;
"a" "t" 3; "b" "j" 3; "c" "p" "x" 2; "d" "i" "s" 3; "e" "u" 3;
"a" "t" 3; "b" "j" 3; "c" "p" "x" 2; "d" "i" "s" 3; "e" "u" 3;
"a" "t" 4; "b" "j" 3; "c" "l" "p" "x" 2; "d" "i" 4; "e" "a" "h" "u" 3;
"a" "t" 4; "b" "j" 3; "c" "l" "p" "x" 2; "d" "i" 4; "e" "a" "h" "u" 3;
"a" "t" 4; "b" "j" 3; "c" "l" "p" "x" 2; "d" "i" 4; "e" "a" "h" "u" 3;
"a" "t" 4; "b" "j" 3; "c" "l" "p" "x" 2; "d" "i" 4; "e" "a" "h" "u" 3;
"a" "t" 4; "b" "j" 3; "c" "l" "p" "x" 2; "d" "i" 4; "e" "a" "h" "u" 3;
"a" "t" 3; "b" "j" 3; "c" "l" "p" "x" 2; "d" "i" 4; "e" "a" "h" "u" 3;
"a" "t" 3; "b" "j" 3; "c" "l" "p" "x" 2; "d" "i" 4; "e" "a" "h" "u" 3;
"a" "t" 3; "b" "j" 3; "c" "l" "p" "x" 2; "d" "i" 4; "e" "a" "h" "u" 3;
"a" "t" 3; "b" "j" 3; "c" "l" "p" "x" 2; "d" "i" 4; "e" "a" "h" "u" 3;
"a" "t" 3; "b" "j" 3; "c" "l" "p" "x" 2; "d" "i" 4; "e" "a" "h" "u" 3;
"a" "t" 3; "b" "j" 3; "c" "l" "p" "x" 2; "d" "i" 4; "e" "a" "h" "u" 3;
"a" "t" 3; "b" "j" 3; "c" "l" "p" "x" 2; "d" "i" 4; "e" "a" "h" "u" 3;
"a" "t" 3; "b" "j" 3; "c" "l" "p" "x" 2; "d" "i" 4; "e" "a" "h" "u" 3;
"a" "t" 3; "b" "j" 3; "c" "l" "p" "x" 2; "d" "i" 4; "e" "a" "h" "u" 3;
"a" "t" 3; "b" "j" "z" 3; "c" "l" "p" "x" 2; "d" "i" 4; "e" "a" "h" "u" 3;
"a" "t" 3; "b" "j" "z" 3; "c" "l" "p" "x" 2; "d" "i" 4; "e" "a" "h" "u" 3;
"a" "t" 3; "b" "g" "j" "z" 3; "c" "l" "p" "x" 2; "d" "i" 4; "e" "a" 4;
"a" "t" 3; "b" "g" "j" "z" 3; "c" "l" "p" "x" 2; "d" "i" 4; "e" "a" 4;
"a" "t" 3; "b" "g" "j" "z" 3; "c" "l" "p" "x" 2; "d" "i" 4; "e" "a" 4;
"a" "t" 3; "b" "g" "j" "z" 3; "c" "l" "p" "x" 2; "d" "i" 4; "e" "a" 4;
"a" "t" 3; "b" "g" "j" "z" 3; "c" "l" "p" "x" 2; "d" "i" 4; "e" "a" 4;
"a" "t" 3; "b" "g" "j" "z" 3; "c" "l" "p" "x" 2; "d" "i" 4; "e" "a" 4;
"a" "t" 3; "b" "g" "j" "z" 3; "c" "l" "p" "x" 2; "d" "i" 4; "e" "a" 4;
"a" "t" 3; "b" "z" 4; "c" "l" "p" "t" "x" 2; "d" "i" 4; "e" "a" 4;
"a" "t" 3; "b" "z" 4; "c" "l" "p" "t" "x" 2; "d" "i" 4; "e" "a" 4;
"a" "t" 3; "b" "z" 4; "c" "l" "p" "t" "v" "x" 2; "d" "i" 4; "e" "a" 4;
"a" "r" "t" 3; "b" "z" 4; "c" "d" "l" "p" "t" "v" "x" 2; "d" "i" 4; "e" "a" 4;
"a" "r" "t" 3; "b" "z" 4; "c" "d" "l" "p" "t" "v" "x" 2; "d" "i" 4; "e" "a" 4;
"a" "t" 4; "b" "z" 4; "c" "d" "l" "p" "t" "v" "x" 2; "d" "i" 4; "e" "a" 4;
"a" "t" 4; "b" "z" 4; "c" "d" "l" "p" "t" "v" "x" 2; "d" "i" 4; "e" "a" 4;
"a" "t" 4; "b" "z" 4; "c" "d" "l" "p" "t" "v" "x" 2; "d" "i" 4; "e" "a" 4;
"a" "t" 4; "b" "z" 4; "c" "d" "l" "p" "t" "v" "x" 2; "d" "i" 4; "e" "a" 5;
"a" "t" 4; "b" "z" 4; "c" "d" "l" "p" "t" "v" "x" 2; "d" "i" 4; "e" "a" 5;
"a" "t" 4; "b" "z" 4; "c" "d" "l" "p" "t" "v" "x" 2; "d" "i" 4; "e" "a" 5;
"a" "t" 4; "b" "z" 4; "c" "d" "l" "p" "t" "v" "x" 2; "d" "i" 4; "e" "a" 5;
"a" "t" 4; "b" "z" 4; "c" "d" "l" "p" "t" "v" "x" 2; "d" "i" 4; "e" "a" 5;
"a" "t" 4; "b" "z" 4; "c" "d" "l" "p" "t" "v" "x" 2; "d" "i" 4; "e" "a" 5;
"a" "t" 4; "b" "z" 4; "c" "d" "l" "p" "t" "v" "x" 2; "d" "c" "i" 4; "e" "a" 5;
"a" "t" 4; "b" "z" 4; "c" "t" 3; "d" "c" "i" 4; "e" "a" 5;
"a" "t" 4; "b" "z" 4; "c" "t" 3; "d" "c" "i" 4; "e" "a" 5;
"a" "t" 4; "b" "z" 4; "c" "t" 3; "d" "c" "i" 4; "e" "a" 5;
"a" "t" 4; "b" "z" 4; "c" "t" 3; "d" "c" "i" 4; "e" "a" 5;
"a" "t" 4; "b" "z" 4; "c" "t" 3; "d" "c" "i" 4; "e" "a" 5;
"a" "t" 4; "b" "z" 4; "c" "t" 3; "d" "c" "i" 4; "e" "a" 5;
"a" "t" 4; "b" "z" 4; "c" "t" 3; "d" "c" "i" 4; "e" "a" 5;
"a" "t" 4; "b" "z" 4; "c" "t" 3; "d" "c" "i" 4; "e" "a" 5;
"a" "t" 4; "b" "z" 4; "c" "t" 3; "d" "c" "i" 4; "e" "a" 6;
"a" "t" 4; "b" "z" 4; "c" "t" 3; "d" "c" "i" 4; "e" "a" 6;
"a" "t" 4; "b" "z" 4; "c" "q" "t" 3; "d" "c" "i" 4; "e" "a" 6;
"a" "t" 4; "b" "z" 4; "c" "q" "t" 3; "d" "c" "i" 4; "e" "a" 6;
"a" "t" 4; "b" "z" 4; "c" "q" "t" 3; "d" "c" "i" 4; "e" "a" 6;
"a" "t" 4; "b" "z" 4; "c" "q" "t" 3; "d" "c" "i" 4; "e" "a" 6;
"a" "t" 4; "b" "z" 4; "c" "q" "t" 3; "d" "c" "i" 4; "e" "a" 6;
"a" "t" 4; "b" "z" 4; "c" "q" "t" 3; "d" "c" "i" 4; "e" "a" 6;
"a" "t" 4; "b" "z" 4; "c" "q" "t" 3; "d" "c" "i" 4; "e" "a" 6;
"a" "t" 4; "b" "z" 4; "c" "q" "t" 3; "d" "c" "i" 4; "e" "a" 6;
"a" "t" 4; "b" "z" 4; "c" "q" "t" 3; "d" "c" "i" 4; "e" "a" 6;
"a" "t" 4; "b" "z" 4; "c" "q" "t" 3; "d" "c" "i" 4; "e" "a" 6;
"a" "t" 4; "b" "z" 4; "c" "q" "t" 3; "d" "c" "i" 4; "e" "a" 6;
"a" "t" 4; "b" "z" 5; "c" "q" "t" 3; "d" "c" "i" 4; "e" "a" 6;
"a" "t" 4; "b" "z" 5; "c" "q" "t" 3; "d" "c" "i" 4; "e" "a" 6;
"a" "t" 4; "b" "z" 5; "c" "q" "t" 3; "d" "c" "i" 4; "e" "a" 6;
"a" "t" 4; "b" "z" 5; "c" "q" "t" 3; "d" "c" "i" 4; "e" "a" 6;
"a" "t" 4; "b" "z" 5; "c" "q" "t" 3; "d" "c" "i" 4; "e" "a" 6;
"a" "t" 4; "b" "z" 5; "c" "q" "t" 3; "d" "c" "i" 4; "e" "a" 6;
"a" "t" 4; "b" "z" 5; "c" "q" "t" 3; "d" "c" "i" 4; "e" "a" 6;
"a" "t" 4; "b" "z" 5; "c" "q" "t" 3; "d" "c" "i" 4; "e" "a" 6;
"a" "t" 4; "b" "z" 5; "c" "q" "t" 3; "d" "c" "i" 4; "e" "a" 6;
"a" "t" 4; "b" "z" 5; "c" "q" "t" 3; "d" "c" "i" 4; "e" "a" 6;
"a" "t" 4; "b" "z" 5; "c" "q" "t" 3; "d" "c" "i" 4; "e" "a" 6;
"a" "t" 4; "b" "z" 5; "c" "q" "t" 3; "d" "c" "i" 4; "e" "a" 6;
"a" "t" 4; "b" "z" 5; "c" "q" "t" 3; "d" "c" "i" 4; "e" "a" 6;
"a" "t" 4; "b" "z" 5; "c" "q" "t" 3; "d" "c" "i" 4; "e" "a" 6;
"a" "t" 4; "b" "z" 5; "c" "q" "t" 3; "d" "c" "i" 4; "e" "a" 6;
"a" "t" 4; "b" "z" 5; "c" "q" "t" 3; "d" "c" "i" 4; "e" "a" 6;
"a" "t" 4; "b" "z" 5; "c" "q" "t" 3; "d" "c" "i" 4; "e" "a" 6;
"a" "t" 4; "b" "z" 5; "c" "q" "t" 3; "d" "c" "i" 4; "e" "a" 6;
"a" "t" 4; "b" "z" 5; "c" "q" "t" 3; "d" "c" "i" 4; "e" "a" 6;
"a" "t" 4; "b" "z" 5; "c" "q" "t" 3; "d" "c" "i" 4; "e" "a" 6;
"a" "t" 4; "b" "z" 5; "c" "q" "t" 3; "d" "c" "i" 4; "e" "a" 6;
"a" "t" 4; "b" "z" 5; "c" "q" "t" 3; "d" "c" "i" 4; "e" "a" 6;
"a" "t" 4; "b" "z" 5; "c" "q" "t" "y" 3; "d" "c" "i" 4; "e" "a" 6;
"a" "t" 4; "b" "z" 5; "c" "q" "t" "y" 3; "d" "c" "i" 4; "e" "a" 6;
"a" "t" 4; "b" "z" 5; "c" "q" "t" "y" 3; "d" "c" "i" 4; "e" "a" 6;
"a" "t" 4; "b" "z" 5; "c" "q" "t" "x" "y" 3; "d" "c" "i" 4; "e" "a" 7;
"a" "t" 4; "b" "z" 5; "c" "q" "t" "x" "y" 3; "d" "c" "i" 4; "e" "a" 7;
"a" "t" 4; "b" "z" 5; "c" "q" "t" "x" "y" 3; "d" "c" "i" 4; "e" "a" 7;
"a" "t" 4; "b" "z" 5; "c" "q" "t" "x" "y" 3; "d" "c" "i" 4; "e" "a" 7;
"a" "t" 4; "b" "z" 5; "c" "q" "t" "x" "y" 3; "d" "c" "i" 4; "e" "a" 7;
"a" "t" 4; "b" "z" 5; "c" "q" "t" "x" "y" 3; "d" "c" "i" 4; "e" "a" 7;
"a" "t" 4; "b" "z" 5; "c" "q" "t" "x" "y" 3; "d" "c" "i" 4; "e" "a" 7;
"a" "t" 4; "b" "z" 5; "c" "q" "t" "x" "y" 3; "d" "c" "i" 4; "e" "a" 7;
"a" "t" 4; "b" "z" 5; "c" "q" "t" "x" "y" 3; "d" "c" "i" 4; "e" "a" 7;
"a" "t" 4; "b" "z" 5; "c" "q" "t" "x" "y" 3; "d" "c" "i" 4; "e" "a" 7;
"a" "t" 4; "b" "z" 5; "c" "q" "t" "x" "y" 3; "d" "c" "i" 4; "e" "a" 7;
"a" "t" 4; "b" "z" 5; "c" "q" "t" "x" "y" 3; "d" "c" "i" 4; "e" "a" 7;
"a" "t" 4; "b" "z" 5; "c" "q" "t" "x" "y" 3; "d" "c" "i" 4; "e" "a" 7;
"a" "t" 4; "b" "z" 5; "c" "q" "t" "x" "y" 3; "d" "c" "i" 4; "e" "a" 7;
"a" "r" "t" 4; "b" "z" 5; "c" "q" "t" "x" "y" 3; "d" "c" "i" 4; "e" "a" 7;
"a" "r" "t" 4; "b" "z" 5; "c" "q" "t" "x" "y" 3; "d" "c" "i" 4; "e" "a" 7;
