none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"a" "f" 1;
"a" "f" 1;
"a" "f" 1; "d" "b" 1;
"a" "f" 1; "d" "b" 1;
"a" "f" 1; "d" "b" 1;
"a" "f" 1; "d" "b" 1;
"a" "f" 1; "c" "s" 1; "d" "b" 1;
"a" "f" 1; "c" "s" 1; "d" "b" 1;
"a" "f" 1; "c" "s" 1; "d" "b" 1;
"a" "f" 1; "c" "s" 1; "d" "b" 1; "e" "u" 1;
"a" "f" 1; "c" "s" 1; "d" "b" "s" 1; "e" "u" 1;
"a" "f" 1; "c" "s" 1; "d" "b" "s" 1; "e" "u" 1;
"a" "f" 1; "c" "s" 1; "d" "b" "s" 1; "e" "u" 1;
"a" "f" 1; "c" "s" 1; "d" "b" "s" "w" 1; "e" "u" 1;
"a" "f" 1; "c" "s" 2; "d" "b" "s" "w" 1; "e" "t" "u" 1;
"a" "f" 1; "c" "s" 2; "d" "b" "s" "w" 1; "e" "t" "u" 1;
"a" "f" 1; "c" "s" 2; "d" "b" "s" "w" 1; "e" "t" "u" 1;
"a" "a" "f" "r" 1; "b" "u" 1; "c" "s" 2; "d" "b" "k" "s" "w" 1; "e" "b" "e" "p" "r" "t" "u" 1;
"a" "a" "f" "r" 1; "b" "u" 1; "c" "s" 2; "d" "b" "k" "s" "w" 1; "e" "b" "e" "p" "r" "t" "u" 1;
"a" "a" "f" "r" 1; "b" "u" 1; "c" "s" 2; "d" "b" "k" "s" "w" 1; "e" "b" "e" "p" "r" "t" "u" 1;
"a" "a" "f" "r" 1; "b" "u" 1; "c" "s" 2; "d" "b" "k" "s" "w" 1; "e" "b" "e" "p" "r" "t" "u" 1;
"a" "a" "f" "r" 1; "b" "f" "u" 1; "c" "s" 2; "d" "b" "k" "s" "w" 1; "e" "b" "e" "p" "r" "t" "u" "v" 1;
"a" "a" "f" "r" 1; "b" "f" "u" 1; "c" "r" "s" 2; "d" "b" "k" "s" "v" "w" "x" 1; "e" "b" "e" "p" "r" "t" "u" "v" 1;
"a" "a" "f" "r" 1; "b" "d" "f" "u" 1; "c" "r" "s" 2; "d" "b" "k" "s" "v" "w" "x" 1; "e" "b" "e" "p" "r" "t" "u" "v" 1;
"a" "a" "f" "r" 1; "b" "d" "f" "u" 1; "c" "r" "s" 2; "d" "b" "k" "s" "v" "w" "x" 1; "e" "b" "e" "p" "r" "t" "u" "v" 1;
"a" "a" "f" "r" 1; "b" "d" "f" "u" 1; "c" "r" "s" 2; "d" "b" "k" "s" "v" "w" "x" 1; "e" "b" "e" "p" "r" "t" "u" "v" 1;
"a" "a" "f" "r" 1; "b" "d" "f" "u" 1; "c" "r" "s" 2; "d" "b" "k" "s" "v" "w" "x" 1; "e" "b" "e" "p" "r" "t" "u" "v" 1;
"a" "a" "f" "r" 1; "b" "d" "f" "u" 1; "c" "r" "s" 2; "d" "b" "k" "s" "v" "w" "x" 1; "e" "b" "e" "p" "r" "t" "u" "v" 1;
"a" "a" "f" "r" 1; "b" "d" "f" "u" 1; "c" "r" "s" 2; "d" "b" "k" "s" "v" "w" "x" 1; "e" "b" "e" "p" "r" "t" "u" "v" 1;
"a" "a" "f" "r" 1; "b" "d" "f" "u" 1; "c" "r" "s" 2; "d" "b" "k" "s" "v" "w" "x" 1; "e" "b" "e" "p" "r" "t" "u" "v" 1;
"a" "a" "f" "r" 1; "b" "d" "f" "u" "x" 1; "c" "r" "s" 2; "d" "b" "k" "s" "v" "w" "x" 1; "e" "b" "e" "p" "r" "t" "u" "v" 1;
"a" "a" "f" "r" 1; "b" "d" "f" "u" "x" 1; "c" "r" "s" 2; "d" "b" "k" "s" "v" "w" "x" 1; "e" "b" "e" "p" "r" "t" "u" "v" 1;
"a" "a" "f" "r" 1; "b" "d" "f" "u" "x" 1; "c" "r" "s" 2; "d" "b" "k" "s" "v" "w" "x" 1; "e" "b" "e" "p" "r" "t" "u" "v" 1;
"a" "a" "f" "r" 1; "b" "d" "f" "u" "x" 1; "c" "r" "s" 2; "d" "b" "k" "s" "v" "w" "x" 1; "e" "b" "e" "p" "r" "t" "u" "v" 1;
"a" "a" "f" "r" 1; "b" "d" "f" "u" "x" 1; "c" "r" "s" 2; "d" "b" "k" "s" "v" "w" "x" 1; "e" "b" "e" "p" "r" "t" "u" "v" 1;
"a" "a" "f" "r" 1; "b" "d" "f" "u" "x" 1; "c" "r" "s" 2; "d" "b" "k" "s" "v" "w" "x" 1; "e" "b" "e" "p" "r" "t" "u" "v" 1;
"a" "a" "f" "r" "z" 1; "b" "d" "f" "u" "x" 1; "c" "r" "s" 2; "d" "k" "s" "v" "w" "x" 1; "e" "b" "c" "e" "p" "r" "t" "u" "v" 1;
"a" "a" "f" "r" "z" 1; "b" "d" "f" "u" "x" 1; "c" "r" "s" 2; "d" "k" "s" "v" "w" "x" 1; "e" "b" "c" "e" "p" "r" "t" "u" "v" 1;
"a" "a" "f" "r" "z" 1; "b" "d" "f" "u" "x" 1; "c" "r" "s" 2; "d" "k" "s" "v" "w" "x" 1; "e" "b" "c" "e" "p" "r" "t" "u" "v" 1;
"a" "a" "f" "r" "z" 1; "b" "d" "f" "u" "x" 1; "c" "r" "s" 2; "d" "k" "s" "v" "w" "x" 1; "e" "b" "c" "e" "p" "r" "t" "u" "v" 1;
"a" "z" 2; "b" "u" 2; "c" "r" "s" 2; "d" "k" "s" "v" "w" "x" 1; "e" "b" "c" "e" "p" "q" "r" "t" "u" "v" 1;
"a" "z" 2; "b" "u" 2; "c" "r" "s" 2; "d" "k" "s" "v" "w" "x" 1; "e" "b" "c" "e" "p" "q" "r" "t" "u" "v" 1;
"a" "z" 2; "b" "u" 2; "c" "r" "s" 2; "d" "x" 2; "e" "e" 2;
"a" "z" 2; "b" "u" 2; "c" "r" "s" 2; "d" "x" 2; "e" "e" 2;
"a" "z" 2; "b" "u" 2; "c" "r" "s" 2; "d" "x" 2; "e" "e" 2;
"a" "z" 2; "b" "u" 2; "c" "r" "s" 2; "d" "x" 2; "e" "e" 2;
"a" "z" 2; "b" "u" 2; "c" "r" "s" 2; "d" "x" 2; "e" "e" 2;
"a" "z" 2; "b" "u" 2; "c" "r" "s" 2; "d" "x" 2; "e" "e" 2;
"a" "z" 2; "b" "u" 2; "c" "r" "s" 2; "d" "x" 2; "e" "e" 2;
"a" "z" 2; "b" "u" 2; "c" "r" "s" 2; "d" "x" 2; "e" "e" 2;
"a" "q" "z" 2; "b" "u" 2; "c" "r" "s" 2; "d" "v" "x" 2; "e" "e" 2;
"a" "q" "z" 2; "b" "u" 2; "c" "r" "s" 2; "d" "v" "x" 2; "e" "e" 2;
"a" "q" "z" 2; "b" "u" 2; "c" "r" "s" 2; "d" "v" "x" 2; "e" "e" 2;
"a" "q" "z" 2; "b" "u" 2; "c" "r" "s" 2; "d" "v" "x" 2; "e" "e" 2;
"a" "q" "z" 2; "b" "u" 2; "c" "r" "s" 2; "d" "v" "x" 2; "e" "e" 2;
"a" "q" "z" 2; "b" "u" 2; "c" "r" "s" 2; "d" "v" "x" 2; "e" "e" 2;
"a" "q" "z" 2; "b" "u" 2; "c" "s" 3; "d" "v" "x" 2; "e" "e" 3;
"a" "q" "z" 2; "b" "u" 2; "c" "s" 3; "d" "v" "x" 2; "e" "e" 3;
"a" "q" "z" 2; "b" "u" 2; "c" "s" 3; "d" "v" "x" 2; "e" "e" 3;
"a" "q" "z" 2; "b" "u" 2; "c" "s" 3; "d" "v" "x" 2; "e" "e" 3;
"a" "q" "z" 2; "b" "u" 2; "c" "s" 3; "d" "v" "x" 2; "e" "e" 3;
"a" "q" "z" 2; "b" "u" 2; "c" "s" 3; "d" "v" "x" 2; "e" "e" 3;
"a" "q" "z" 2; "b" "u" 2; "c" "s" 3; "d" "v" "x" 2; "e" "e" 3;
"a" "q" "z" 2; "b" "u" 2; "c" "s" 3; "d" "v" "x" 2; "e" "e" 3;
"a" "q" "z" 2; "b" "u" 2; "c" "s" 3; "d" "v" "x" 2; "e" "e" 3;
"a" "q" "z" 2; "b" "u" 2; "c" "s" 3; "d" "v" "x" 2; "e" "e" 3;
"a" "q" "z" 2; "b" "u" 2; "c" "s" 3; "d" "v" "x" 2; "e" "e" 3;
"a" "q" "z" 2; "b" "u" 2; "c" "s" 3; "d" "v" "x" 2; "e" "e" 3;
"a" "q" "z" 2; "b" "u" 2; "c" "s" 3; "d" "v" "x" 2; "e" "e" 3;
"a" "q" "z" 2; "b" "u" 2; "c" "s" 3; "d" "v" "x" 2; "e" "e" 3;
"a" "q" "z" 2; "b" "u" 2; "c" "s" 3; "d" "v" "x" 2; "e" "e" 3;
"a" "q" "z" 2; "b" "u" 2; "c" "s" 3; "d" "v" "x" 2; "e" "e" 3;
"a" "q" "z" 2; "b" "u" 2; "c" "s" 3; "d" "v" "x" 2; "e" "e" 3;
"a" "q" "z" 2; "b" "u" 2; "c" "s" 3; "d" "v" "x" 2; "e" "e" 3;
"a" "q" "z" 2; "b" "u" 2; "c" "s" 3; "d" "v" "x" 2; "e" "e" 3;
"a" "q" "z" 2; "b" "u" 2; "c" "s" 3; "d" "v" "x" 2; "e" "e" 3;
"a" "q" "z" 2; "b" "e" "u" 2; "c" "s" 3; "d" "x" 3; "e" "e" 3;
"a" "q" "z" 2; "b" "e" "u" 2; "c" "s" 3; "d" "x" 3; "e" "e" 3;
"a" "q" "z" 2; "b" "e" "u" 2; "c" "s" 3; "d" "x" 3; "e" "e" 3;
"a" "q" "z" 2; "b" "e" "u" 2; "c" "r" "s" 3; "d" "x" 3; "e" "e" 3;
"a" "q" "z" 2; "b" "e" "u" 2; "c" "r" "s" 3; "d" "x" 3; "e" "e" 3;
"a" "q" "z" 2; "b" "e" "u" 2; "c" "r" "s" 3; "d" "x" 3; "e" "e" 3;
"a" "q" "z" 2; "b" "e" "u" 2; "c" "r" "s" 3; "d" "x" 3; "e" "e" 3;
"a" "q" "z" 2; "b" "e" "f" "u" 2; "c" "r" "s" 3; "d" "x" 3; "e" "e" 3;
"a" "q" "z" 2; "b" "e" "f" "u" 2; "c" "r" "s" 3; "d" "x" 3; "e" "e" 3;
"a" "q" "z" 2; "b" "e" "f" "u" 2; "c" "r" "s" 3; "d" "x" 3; "e" "e" 3;
"a" "q" "z" 2; "b" "e" "f" "u" 2; "c" "r" "s" 3; "d" "x" 3; "e" "e" 3;
"a" "q" "z" 2; "b" "e" "f" "u" 2; "c" "r" "s" 3; "d" "x" 4; "e" "e" 3;
"a" "q" "z" 2; "b" "e" "f" "u" 2; "c" "r" "s" 3; "d" "x" 4; "e" "e" 3;
"a" "q" "z" 2; "b" "e" "f" "u" 2; "c" "r" "s" 3; "d" "x" 4; "e" "e" 3;
"a" "q" "z" 2; "b" "e" "f" "u" 2; "c" "r" "s" 3; "d" "x" 4; "e" "e" 3;
"a" "q" "z" 2; "b" "e" "f" "u" 2; "c" "r" "s" 3; "d" "x" 4; "e" "e" 3;
"a" "q" "z" 2; "b" "e" "f" "u" 2; "c" "r" "s" "v" 3; "d" "x" 4; "e" "e" 3;
"a" "q" "z" 2; "b" "e" "f" "u" 2; "c" "r" "s" "v" 3; "d" "x" 4; "e" "e" 3;
"a" "q" "z" 2; "b" "e" "f" "u" 2; "c" "r" "s" "v" 3; "d" "x" 4; "e" "e" 3;
"a" "q" "z" 2; "b" "e" "f" "u" 2; "c" "r" "s" "v" 3; "d" "x" 4; "e" "e" 3;
"a" "q" "z" 2; "b" "e" "f" "u" 2; "c" "r" "s" "v" 3; "d" "x" 4; "e" "e" 3;
"a" "q" "r" "z" 2; "b" "e" "f" "m" "u" 2; "c" "r" "s" "v" 3; "d" "x" 4; "e" "e" 3;
"a" "a" "q" "r" "z" 2; "b" "e" "f" "m" "u" 2; "c" "r" "s" "v" 3; "d" "x" 4; "e" "e" 3;
"a" "a" "q" "r" "z" 2; "b" "e" "f" "m" "u" 2; "c" "r" "s" "v" 3; "d" "x" 4; "e" "e" 3;
"a" "a" "q" "r" "z" 2; "b" "e" "f" "m" "u" 2; "c" "r" "s" "v" 3; "d" "x" 4; "e" "e" 3;
"a" "a" "q" "r" "z" 2; "b" "e" "f" "m" "u" 2; "c" "r" "s" "v" 3; "d" "x" 4; "e" "e" 3;
"a" "a" "q" "r" "z" 2; "b" "e" "f" "m" "u" 2; "c" "r" "s" "v" 3; "d" "x" 4; "e" "e" 3;
"a" "a" "q" "r" "z" 2; "b" "e" "f" "m" "u" 2; "c" "r" "s" "v" 3; "d" "x" 4; "e" "e" 3;
"a" "a" "q" "r" "z" 2; "b" "e" "f" "m" "u" 2; "c" "r" "s" "v" 3; "d" "x" 4; "e" "e" 3;
"a" "a" "q" "r" "z" 2; "b" "e" "m" "u" 2; "c" "r" "s" "v" 3; "d" "x" 4; "e" "e" 3;
"a" "a" "q" "r" "z" 2; "b" "e" "m" "u" 2; "c" "r" "s" "v" 3; "d" "x" 4; "e" "e" 3;
"a" "a" "q" "r" "z" 2; "b" "e" "m" "u" 2; "c" "r" "s" "v" 3; "d" "x" 4; "e" "e" 3;
"a" "a" "q" "z" 2; "b" "e" "m" "u" 2; "c" "r" "s" "v" 3; "d" "x" 4; "e" "e" 3;
"a" "a" "q" "z" 2; "b" "e" "m" "u" 2; "c" "r" "s" "v" 3; "d" "x" 4; "e" "e" 3;
"a" "a" "q" "z" 2; "b" "e" "m" "u" 2; "c" "r" "s" "v" 3; "d" "x" 4; "e" "e" 3;
"a" "a" "q" "z" 2; "b" "e" "m" "u" 2; "c" "r" "s" "v" 3; "d" "x" 4; "e" "e" 3;
"a" "a" "q" "z" 2; "b" "e" "m" "u" 2; "c" "r" "s" "v" 3; "d" "x" 4; "e" "e" 3;
"a" "a" "q" "z" 2; "b" "e" "m" "u" 2; "c" "r" "s" "v" 3; "d" "x" 4; "e" "e" 3;
"a" "a" "q" "z" 2; "b" "e" "m" "u" 2; "c" "r" "s" "v" 3; "d" "x" 4; "e" "e" 3;
"a" "a" "q" "z" 2; "b" "e" "m" "u" 2; "c" "r" "s" "v" 3; "d" "x" 4; "e" "e" 3;
"a" "a" "q" "z" 2; "b" "e" "m" "u" 2; "c" "r" "s" "v" 3; "d" "x" 4; "e" "e" 3;
"a" "a" "q" "z" 2; "b" "e" "m" "u" 2; "c" "r" "s" "v" 3; "d" "x" 4; "e" "e" 3;
"a" "a" "q" "z" 2; "b" "e" "m" "u" 2; "c" "r" "s" "v" 3; "d" "x" 4; "e" "e" 3;
"a" "a" "q" "z" 2; "b" "e" "m" "u" 2; "c" "r" "s" "v" 3; "d" "x" 4; "e" "e" 3;
"a" "a" "q" "z" 2; "b" "e" "m" "u" 2; "c" "r" "s" "v" 3; "d" "x" 4; "e" "e" 3;
"a" "a" "q" "z" 2; "b" "e" "m" "u" 2; "c" "r" "s" "v" 3; "d" "x" 4; "e" "e" 3;
"a" "a" "q" "z" 2; "b" "e" "m" "u" 2; "c" "r" "s" "v" 3; "d" "x" 4; "e" "e" 3;
"a" "a" "q" "z" 2; "b" "e" "m" "u" 2; "c" "r" "s" "v" 3; "d" "x" 4; "e" "e" 3;
"a" "a" "q" "z" 2; "b" "e" "m" "u" 2; "c" "r" "s" "v" 3; "d" "x" 4; "e" "e" 3;
"a" "a" "q" "z" 2; "b" "e" "m" "u" 2; "c" "r" "s" "v" 3; "d" "x" 4; "e" "e" 3;
"a" "a" "q" "z" 2; "b" "e" "m" "u" 2; "c" "r" "s" "v" 3; "d" "x" 4; "e" "e" 3;
"a" "a" "o" "q" "z" 2; "b" "e" "m" "u" 2; "c" "a" "r" "s" "v" 3; "d" "x" 4; "e" "e" "n" 3;
"a" "a" "o" "q" "z" 2; "b" "e" "m" "u" 2; "c" "a" "r" "s" "v" 3; "d" "x" 4; "e" "e" "n" 3;
"a" "a" "o" "q" "z" 2; "b" "e" "m" "u" 2; "c" "a" "r" "s" "v" 3; "d" "x" 4; "e" "b" "e" "n" 3;
"a" "a" "o" "q" "z" 2; "b" "e" "m" "u" 2; "c" "a" "r" "s" "v" 3; "d" "x" 4; "e" "b" "e" "n" 3;
"a" "a" "o" "q" "z" 2; "b" "e" "m" "u" 2; "c" "a" "r" "s" "v" 3; "d" "x" 4; "e" "b" "c" "e" "n" 3;
"a" "a" "o" "q" "z" 2; "b" "e" "m" "u" 2; "c" "a" "r" "s" "v" 3; "d" "x" 4; "e" "b" "c" "e" "n" 3;
"a" "a" "o" "q" "z" 2; "b" "e" "m" "u" 2; "c" "a" "r" "s" "v" 3; "d" "x" 4; "e" "b" "c" "e" "n" 3;
"a" "a" "o" "q" "z" 2; "b" "e" "m" "u" 2; "c" "a" "r" "s" "v" 3; "d" "x" 4; "e" "b" "c" "e" "n" 3;
"a" "a" "o" "q" "z" 2; "b" "c" "e" "m" "u" 2; "c" "a" "r" "s" "v" 3; "d" "x" 5; "e" "b" "c" "e" "n" 3;
"a" "a" "o" "q" "z" 2; "b" "c" "e" "m" "u" 2; "c" "a" "r" "s" "v" 3; "d" "x" 5; "e" "b" "c" "e" "n" 3;
"a" "a" "o" "q" "z" 2; "b" "c" "e" "m" "u" 2; "c" "a" "r" "s" "v" 3; "d" "x" 5; "e" "b" "c" "e" "n" 3;
"a" "a" "o" "q" "z" 2; "b" "c" "e" "m" "u" 2; "c" "a" "r" "s" "v" 3; "d" "x" 5; "e" "b" "c" "e" "n" "u" 3;
"a" "a" "h" "o" "q" "z" 2; "b" "c" "e" "m" "u" 2; "c" "a" "r" "s" "v" 3; "d" "x" 5; "e" "b" "c" "e" "n" "u" 3;
"a" "a" "h" "o" "q" "z" 2; "b" "e" 3; "c" "v" 4; "d" "x" 5; "e" "b" "c" "e" "n" "u" 3;
"a" "a" "h" "o" "q" "z" 2; "b" "e" 3; "c" "v" 4; "d" "x" 5; "e" "b" "c" "e" "n" "u" 3;
"a" "a" "h" "o" "q" "z" 2; "b" "e" 3; "c" "v" 4; "d" "x" 5; "e" "b" "c" "e" "n" "u" 3;
"a" "a" "h" "o" "q" "z" 2; "b" "e" "u" 3; "c" "v" 4; "d" "x" 5; "e" "b" "c" "e" "n" "u" 3;
"a" "a" "h" "o" "q" "z" 2; "b" "e" "u" 3; "c" "v" 4; "d" "x" 5; "e" "b" "c" "e" "n" "u" 3;
"a" "a" "h" "o" "q" "z" 2; "b" "e" "u" 3; "c" "v" 4; "d" "x" 5; "e" "b" "c" "e" "n" "u" 3;
"a" "a" "h" "o" "q" "z" 2; "b" "e" "u" 3; "c" "v" 4; "d" "x" 5; "e" "b" "c" "e" "n" "u" 3;
"a" "a" "h" "o" "q" "z" 2; "b" "e" "u" 3; "c" "v" 4; "d" "x" 5; "e" "b" "c" "e" "n" "u" 3;
"a" "a" "h" "o" "q" "z" 2; "b" "e" "u" 3; "c" "v" 4; "d" "x" 5; "e" "b" "c" "e" "n" "u" 3;
"a" "a" "h" "o" "q" "z" 2; "b" "e" "u" 3; "c" "m" "v" 4; "d" "x" 5; "e" "b" "c" "e" "n" "u" 3;
"a" "a" "h" "o" "q" "z" 2; "b" "e" "u" 3; "c" "m" "v" 4; "d" "x" 5; "e" "b" "c" "e" "n" "u" 3;
"a" "a" "h" "o" "q" "z" 2; "b" "e" "u" 3; "c" "m" "v" 4; "d" "x" 5; "e" "b" "c" "e" "n" "u" 3;
"a" "a" "h" "o" "q" "z" 2; "b" "e" "u" 3; "c" "m" "v" 4; "d" "x" 5; "e" "e" 4;
"a" "a" "f" "h" "o" "q" "z" 2; "b" "e" "u" 3; "c" "m" "v" 4; "d" "x" 5; "e" "e" 4;
"a" "a" "f" "h" "o" "q" "z" 2; "b" "e" "u" 3; "c" "m" "v" 4; "d" "x" 5; "e" "e" 4;
"a" "a" "f" "h" "o" "q" "z" 2; "b" "e" "u" 3; "c" "m" "v" 4; "d" "x" 5; "e" "e" 4;
"a" "a" "f" "h" "o" "q" "z" 2; "b" "e" "u" 3; "c" "m" "v" 4; "d" "x" 5; "e" "e" 4;
"a" "a" "f" "h" "o" "q" "z" 2; "b" "e" "u" 3; "c" "m" "v" 4; "d" "x" 5; "e" "e" 4;
"a" "a" "f" "h" "o" "q" "z" 2; "b" "e" "u" 3; "c" "m" "v" 4; "d" "x" 5; "e" "e" "n" 4;
"a" "a" "f" "h" "o" "q" "z" 2; "b" "e" "u" 3; "c" "m" "v" 4; "d" "x" 5; "e" "e" "n" 4;
"a" "a" "f" "h" "o" "q" "z" 2; "b" "e" "u" 3; "c" "m" "v" 4; "d" "x" 5; "e" "e" "n" 4;
"a" "a" "f" "h" "o" "q" "z" 2; "b" "e" "u" 3; "c" "m" "v" 4; "d" "x" 5; "e" "e" "n" 4;
"a" "a" "f" "h" "o" "q" "z" 2; "b" "e" "u" 3; "c" "m" "v" 4; "d" "x" 5; "e" "e" "n" 4;
"a" "a" "f" "h" "o" "q" "z" 2; "b" "e" "u" 3; "c" "m" "v" 4; "d" "x" 5; "e" "e" "n" 4;
"a" "a" "f" "h" "o" "q" "z" 2; "b" "e" "u" 3; "c" "m" "v" 4; "d" "x" 5; "e" "e" "n" 4;
"a" "a" "f" "h" "o" "q" "z" 2; "b" "e" "u" 3; "c" "m" "v" 4; "d" "x" 5; "e" "e" "n" 4;
"a" "q" 3; "b" "e" "u" 3; "c" "m" "v" 4; "d" "x" 5; "e" "e" "n" 4;
"a" "q" 3; "b" "e" "u" 3; "c" "m" "v" 4; "d" "x" 5; "e" "e" "n" 4;
"a" "q" "z" 3; "b" "e" "u" 3; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "q" "z" 3; "b" "e" "u" 3; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "q" "z" 3; "b" "e" "u" 3; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "q" "z" 3; "b" "e" "u" 3; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "q" "z" 3; "b" "e" "u" 3; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "q" "z" 3; "b" "e" "u" 3; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "q" "z" 3; "b" "e" "u" 3; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "q" "z" 3; "b" "e" "u" 3; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" "q" "z" 3; "b" "e" "u" 3; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" "q" "z" 3; "b" "e" "u" 3; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" "q" "z" 3; "b" "e" "u" 3; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" "q" "z" 3; "b" "e" "u" 3; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" "q" "z" 3; "b" "e" 4; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" "q" "z" 3; "b" "e" 4; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" "q" "z" 3; "b" "e" 4; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" "q" "z" 3; "b" "e" 4; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" "q" "z" 3; "b" "e" 4; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" "q" "z" 3; "b" "e" 4; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" "q" "z" 3; "b" "e" 4; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" "q" "z" 3; "b" "e" 4; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" "q" "z" 3; "b" "e" 4; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" "q" "z" 3; "b" "e" 4; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" "q" "z" 3; "b" "e" 4; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" "q" "z" 3; "b" "e" 4; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" "q" "z" 3; "b" "e" 4; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" "q" "z" 3; "b" "e" 4; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" "q" "z" 3; "b" "e" 4; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
