none
none
none
none
none
"e" "q" 1;
"e" "q" 1;
"e" "q" 1;
"e" "q" 1;
"e" "q" 1;
"e" "q" 1;
"e" "q" 1;
"e" "q" 1;
"e" "q" 1;
"e" "q" 1;
"e" "q" 1;
"e" "q" 1;
"d" "s" 1; "e" "g" "q" 1;
"d" "s" 1; "e" "g" "q" 1;
"d" "s" 1; "e" "g" "q" 1;
"d" "s" 1; "e" "g" "q" 1;
"d" "s" 1; "e" "g" "q" 1;
"b" "f" 1; "c" "z" 1; "d" "c" "s" 1; "e" "g" "i" "q" 1;
"b" "f" 1; "c" "z" 1; "d" "c" "s" 1; "e" "g" "i" "q" 1;
"a" "g" "s" "t" 1; "b" "f" "n" 1; "c" "k" "o" "r" "z" 1; "d" "c" "f" "s" 1; "e" "g" "i" "q" "r" "w" 1;
"a" "g" "s" "t" 1; "b" "f" "n" 1; "c" "k" "o" "r" "z" 1; "d" "c" "f" "s" 1; "e" "g" "i" "q" "r" "w" 1;
"a" "g" "s" "t" 1; "b" "f" "n" 1; "c" "e" "k" "o" "r" "z" 1; "d" "c" "f" "s" 1; "e" "g" "i" "q" "r" "w" 1;
"a" "g" "s" "t" 1; "b" "f" "n" 1; "c" "e" "k" "o" "r" "z" 1; "d" "c" "f" "s" 1; "e" "g" "i" "q" "r" "w" 1;
"a" "g" "s" "t" 1; "b" "f" "n" 1; "c" "e" "k" "o" "r" "z" 1; "d" "c" "f" "s" 1; "e" "g" "i" "q" "r" "w" 1;
"a" "g" "s" "t" "z" 1; "b" "f" "n" "r" 1; "c" "c" "e" "g" "k" "o" "r" "z" 1; "d" "c" "f" "s" 1; "e" "g" "i" "q" "r" "w" 1;
"a" "g" "s" "t" "z" 1; "b" "f" "n" "r" 1; "c" "c" "e" "g" "k" "o" "r" "z" 1; "d" "c" "f" "s" 1; "e" "g" "i" "q" "r" "w" 1;
"a" "g" "s" "t" "z" 1; "b" "f" "n" "r" 1; "c" "c" "e" "g" "k" "o" "r" "z" 1; "d" "c" "f" "s" 1; "e" "g" "i" "q" "r" "w" 1;
"a" "g" "s" "t" "z" 1; "b" "f" "n" "p" "r" 1; "c" "c" "e" "g" "k" "o" "r" "z" 1; "d" "c" "f" "s" 1; "e" "g" "i" "q" "r" "w" 1;
"a" "g" "s" "t" "z" 1; "b" "f" "n" "p" "r" 1; "c" "c" "e" "g" "k" "o" "r" "z" 1; "d" "c" "f" "s" 1; "e" "g" "i" "q" "r" "w" 1;
"a" "g" "s" "t" "z" 1; "b" "f" "n" "p" "r" 1; "c" "c" "e" "g" "k" "o" "r" "z" 1; "d" "c" "f" "s" 1; "e" "g" "i" "q" "r" "w" 1;
"a" "g" "s" "t" "z" 1; "b" "f" "n" "p" "r" "s" 1; "c" "c" "e" "g" "k" "o" "r" "s" "z" 1; "d" "c" "f" "s" 1; "e" "g" "i" "q" "r" "w" "y" 1;
"a" "g" "s" "t" "z" 1; "b" "f" "n" "p" "r" "s" 1; "c" "c" "e" "g" "k" "o" "r" "s" "z" 1; "d" "c" "f" "s" 1; "e" "g" "i" "q" "r" "w" "y" 1;
"a" "g" "s" "t" "z" 1; "b" "f" "n" "p" "r" "s" 1; "c" "c" "e" "g" "k" "o" "r" "s" "z" 1; "d" "c" "f" "s" 1; "e" "g" "i" "q" "r" "w" "y" 1;
"a" "g" "s" "t" "z" 1; "b" "f" "n" "p" "r" "s" 1; "c" "c" "e" "g" "k" "o" "r" "s" "z" 1; "d" "c" "f" "s" 1; "e" "g" "i" "q" "r" "w" "y" 1;
"a" "g" "s" "t" "z" 1; "b" "f" "n" "p" "r" "s" 1; "c" "c" "e" "g" "k" "o" "r" "s" "z" 1; "d" "c" "f" "s" 1; "e" "g" "i" "q" "r" "w" "y" 1;
"a" "g" "s" "t" "z" 1; "b" "f" "n" "p" "r" "s" 1; "c" "c" "e" "g" "k" "o" "r" "s" "z" 1; "d" "c" "f" "s" 1; "e" "g" "i" "q" "r" "w" "y" 1;
"a" "g" "s" "t" "z" 1; "b" "f" "n" "p" "r" "s" 1; "c" "c" "e" "g" "k" "o" "r" "s" "z" 1; "d" "c" "f" "s" 1; "e" "g" "i" "q" "r" "w" "y" 1;
"a" "g" "s" "t" "z" 1; "b" "d" "f" "n" "p" "r" "s" 1; "c" "c" "e" "g" "k" "o" "r" "s" "v" "z" 1; "d" "c" "f" "s" 1; "e" "g" "i" "q" "r" "w" "y" 1;
"a" "g" "s" "t" "z" 1; "b" "d" "f" "n" "p" "r" "s" 1; "c" "c" "e" "g" "k" "o" "r" "s" "v" "z" 1; "d" "c" "f" "s" 1; "e" "g" "i" "q" "r" "w" "y" 1;
"a" "g" "s" "t" "z" 1; "b" "d" "f" "n" "p" "r" "s" "y" 1; "c" "c" "e" "g" "k" "o" "r" "s" "v" "y" "z" 1; "d" "c" "f" "s" 1; "e" "g" "i" "q" "r" "w" "y" 1;
"a" "g" "s" "t" "z" 1; "b" "d" "f" "n" "p" "r" "s" "y" 1; "c" "c" "e" "g" "k" "o" "r" "s" "v" "y" "z" 1; "d" "c" "f" "s" 1; "e" "g" "i" "q" "r" "w" "y" 1;
"a" "g" 2; "b" "d" "f" "n" "o" "p" "r" "s" "y" 1; "c" "c" "e" "g" "k" "o" "r" "s" "v" "y" "z" 1; "d" "c" "f" "s" 1; "e" "g" "i" "p" "q" "r" "w" "y" 1;
"a" "g" 2; "b" "d" "f" "n" "o" "p" "r" "s" "y" 1; "c" "c" "e" "g" "k" "o" "r" "s" "v" "y" "z" 1; "d" "c" "f" "s" 1; "e" "g" "i" "p" "q" "r" "w" "y" 1;
"a" "g" 2; "b" "d" "f" "n" "o" "p" "r" "s" "y" 1; "c" "c" "e" "g" "k" "o" "r" "s" "v" "y" "z" 1; "d" "c" "f" "s" 1; "e" "g" "i" "p" "q" "r" "w" "y" 1;
"a" "g" 2; "b" "c" "d" "f" "n" "o" "p" "r" "s" "y" 1; "c" "c" "e" "g" "j" "k" "o" "r" "s" "v" "y" "z" 1; "d" "c" "f" "s" 1; "e" "g" "i" "p" "q" "r" "w" "y" 1;
"a" "g" 2; "b" "c" "d" "f" "n" "o" "p" "r" "s" "y" 1; "c" "c" "e" "g" "j" "k" "o" "r" "s" "v" "y" "z" 1; "d" "c" "f" "j" "s" "w" 1; "e" "g" "i" "p" "q" "r" "w" "y" 1;
"a" "g" 2; "b" "c" "d" "f" "n" "o" "p" "r" "s" "y" 1; "c" "c" "e" "g" "j" "k" "o" "r" "s" "v" "y" "z" 1; "d" "c" "f" "j" "s" "w" 1; "e" "g" "i" "p" "q" "r" "w" "y" 1;
"a" "g" 2; "b" "c" "d" "f" "n" "o" "p" "r" "s" "y" 1; "c" "c" "e" "g" "j" "k" "o" "r" "s" "v" "y" "z" 1; "d" "c" "f" "j" "s" "w" "x" 1; "e" "g" "i" "m" "p" "q" "r" "w" "y" 1;
"a" "g" 2; "b" "c" "d" "f" "n" "o" "p" "r" "s" "y" 1; "c" "z" 2; "d" "c" "f" "j" "s" "w" "x" 1; "e" "g" "i" "m" "p" "q" "r" "w" "y" 1;
"a" "g" 2; "b" "c" "d" "f" "n" "o" "p" "r" "s" "y" 1; "c" "z" 2; "d" "c" "f" "j" "s" "w" "x" 1; "e" "g" "i" "m" "p" "q" "r" "w" "y" 1;
"a" "g" 2; "b" "c" "d" "f" "n" "o" "p" "r" "s" "y" 1; "c" "z" 2; "d" "c" "f" "j" "s" "w" "x" 1; "e" "w" 2;
"a" "g" 2; "b" "c" "d" "f" "n" "o" "p" "r" "s" "y" 1; "c" "o" "z" 2; "d" "c" "f" "j" "r" "s" "w" "x" 1; "e" "w" 2;
"a" "g" 2; "b" "c" "d" "f" "n" "o" "p" "r" "s" "w" "y" 1; "c" "o" "z" 2; "d" "c" "f" "j" "r" "s" "w" "x" 1; "e" "w" 2;
"a" "g" 2; "b" "c" "d" "f" "n" "o" "p" "r" "s" "w" "y" 1; "c" "o" "z" 2; "d" "c" "f" "j" "r" "s" "w" "x" 1; "e" "w" 2;
"a" "g" "s" 2; "b" "c" "d" "f" "n" "o" "p" "r" "s" "w" "y" 1; "c" "o" "z" 2; "d" "c" "f" "j" "r" "s" "w" "x" 1; "e" "i" "w" 2;
"a" "g" "s" 2; "b" "c" "d" "f" "n" "o" "p" "r" "s" "w" "y" 1; "c" "o" "z" 2; "d" "c" "f" "j" "r" "s" "w" "x" 1; "e" "i" "w" 2;
"a" "g" "s" 2; "b" "c" "d" "f" "n" "o" "p" "r" "s" "w" "y" 1; "c" "o" "z" 2; "d" "c" "f" "j" "r" "s" "w" "x" 1; "e" "i" "w" 2;
"a" "g" "s" 2; "b" "c" "d" "f" "n" "o" "p" "r" "s" "w" "y" 1; "c" "o" "z" 2; "d" "c" "f" "j" "r" "s" "w" "x" 1; "e" "i" "w" 2;
"a" "g" "s" 2; "b" "c" "d" "f" "n" "o" "p" "r" "s" "w" "y" 1; "c" "o" "z" 2; "d" "f" 2; "e" "i" "w" 2;
"a" "g" "s" 2; "b" "c" "d" "f" "n" "o" "p" "q" "r" "s" "w" "y" 1; "c" "o" "z" 2; "d" "f" "x" 2; "e" "i" "q" "w" 2;
"a" "g" "s" 2; "b" "c" "d" "f" "n" "o" "p" "q" "r" "s" "w" "y" 1; "c" "o" "z" 2; "d" "f" "x" 2; "e" "i" "q" "w" 2;
"a" "g" "s" 2; "b" "c" "d" "f" "n" "o" "p" "q" "r" "s" "w" "y" 1; "c" "o" "z" 2; "d" "f" "x" 2; "e" "i" "q" "w" 2;
"a" "g" "s" 2; "b" "c" "d" "f" "n" "o" "p" "q" "r" "s" "w" "y" 1; "c" "o" "z" 2; "d" "f" "x" 2; "e" "i" "q" "w" 2;
"a" "g" "s" 2; "b" "c" "d" "f" "j" "n" "o" "p" "q" "r" "s" "w" "y" 1; "c" "o" "z" 2; "d" "f" "x" 2; "e" "i" "q" "w" 2;
"a" "g" "s" 2; "b" "c" "d" "f" "j" "n" "o" "p" "q" "r" "s" "w" "y" 1; "c" "o" "z" 2; "d" "f" "x" 2; "e" "i" "q" "w" 2;
"a" "g" "s" 2; "b" "c" "d" "f" "j" "n" "o" "p" "q" "r" "s" "w" "y" 1; "c" "o" "z" 2; "d" "f" "x" 2; "e" "i" "q" "w" 2;
"a" "g" "s" 2; "b" "c" "d" "f" "j" "n" "o" "p" "q" "r" "s" "w" "y" 1; "c" "o" "z" 2; "d" "f" "x" 2; "e" "i" "q" "w" 2;
"a" "g" "s" 2; "b" "c" "d" "f" "j" "n" "o" "p" "q" "r" "s" "w" "y" 1; "c" "c" "o" "z" 2; "d" "f" "x" 2; "e" "i" "q" "w" 2;
"a" "g" "s" 2; "b" "c" "d" "f" "j" "n" "o" "p" "q" "r" "s" "w" "y" 1; "c" "c" "o" "z" 2; "d" "x" 3; "e" "i" "q" "w" 2;
"a" "g" "s" 2; "b" "c" "d" "f" "j" "n" "o" "p" "q" "r" "s" "w" "y" 1; "c" "c" "o" "z" 2; "d" "x" 3; "e" "i" "q" "w" 2;
"a" "g" "s" 2; "b" "y" 2; "c" "c" "o" "z" 2; "d" "x" 3; "e" "i" "p" "q" "w" 2;
"a" "g" "s" 2; "b" "y" 2; "c" "c" "o" "z" 2; "d" "x" 3; "e" "i" "p" "q" "w" 2;
"a" "g" "s" 2; "b" "y" 2; "c" "c" "o" "z" 2; "d" "x" 3; "e" "i" "p" "q" "w" 2;
"a" "s" 2; "b" "y" 2; "c" "c" "o" "z" 2; "d" "x" 3; "e" "i" "p" "q" "w" 2;
"a" "s" 2; "b" "y" 2; "c" "c" "o" "z" 2; "d" "x" 3; "e" "i" "p" "q" "w" 2;
"a" "s" 2; "b" "y" 2; "c" "c" "o" "z" 2; "d" "x" 3; "e" "i" "p" "q" "w" 2;
"a" "s" 2; "b" "y" 2; "c" "c" "o" "z" 2; "d" "x" 3; "e" "i" "p" "q" "w" 2;
"a" "s" 2; "b" "y" 2; "c" "c" "o" "z" 2; "d" "x" 3; "e" "i" "p" "q" "w" 2;
"a" "s" 2; "b" "y" 2; "c" "c" "o" "z" 2; "d" "x" 3; "e" "i" "p" "q" "w" 2;
"a" "s" 2; "b" "y" 2; "c" "c" "o" "z" 2; "d" "x" 3; "e" "i" "p" "q" "w" 2;
"a" "s" 2; "b" "n" "q" "y" 2; "c" "c" "o" "z" 2; "d" "x" 3; "e" "i" "p" "q" "w" 2;
"a" "s" 2; "b" "n" "q" "y" 2; "c" "c" "o" "z" 2; "d" "x" 3; "e" "i" "p" "q" "w" 2;
"a" "s" 2; "b" "n" "q" "y" 2; "c" "c" "o" "z" 2; "d" "x" 3; "e" "i" "p" "q" "w" 2;
"a" "s" 2; "b" "n" "q" "y" 2; "c" "c" "o" "z" 2; "d" "x" 3; "e" "i" "p" "q" "w" 2;
"a" "s" 2; "b" "n" "q" "y" 2; "c" "c" "o" "z" 2; "d" "x" 3; "e" "i" "p" "q" "w" 2;
"a" "s" 2; "b" "n" "q" "y" 2; "c" "c" "o" "z" 2; "d" "x" 3; "e" "i" "p" "q" "w" 2;
"a" "s" 2; "b" "n" "q" "r" "y" 2; "c" "c" "o" "z" 2; "d" "x" 3; "e" "i" "p" "q" "w" 2;
"a" "s" 2; "b" "n" "q" "r" "y" 2; "c" "c" "o" "z" 2; "d" "x" 3; "e" "i" "p" "q" "w" 2;
"a" "s" 2; "b" "n" "q" "r" "y" 2; "c" "c" "o" "z" 2; "d" "x" 3; "e" "i" "p" "q" "w" 2;
"a" "s" 2; "b" "n" "q" "r" "y" 2; "c" "c" "o" "z" 2; "d" "x" 3; "e" "i" "p" "q" "w" 2;
"a" "s" 2; "b" "n" "q" "r" "y" 2; "c" "c" "o" "z" 2; "d" "x" 3; "e" "i" "p" "q" "w" 2;
"a" "s" 2; "b" "n" "q" "r" "s" "y" 2; "c" "c" "o" "z" 2; "d" "x" 3; "e" "i" "p" "q" "w" 2;
"a" "s" 2; "b" "n" "r" "s" "y" 2; "c" "c" "o" "z" 2; "d" "x" 3; "e" "i" "p" "q" "w" 2;
"a" "s" "x" 2; "b" "n" "r" "s" "y" 2; "c" "c" "o" "z" 2; "d" "x" 3; "e" "i" "p" "q" "w" 2;
"a" "s" "x" 2; "b" "n" "r" "s" "y" 2; "c" "c" "o" "z" 2; "d" "x" 3; "e" "i" "p" "q" "w" 2;
"a" "s" "x" 2; "b" "n" "r" "s" "y" 2; "c" "c" "o" "s" "z" 2; "d" "x" 3; "e" "i" "p" "q" "w" 2;
"a" "s" "x" 2; "b" "n" "r" "s" "y" 2; "c" "c" "o" "s" "z" 2; "d" "x" 3; "e" "i" "p" "q" "w" 2;
"a" "s" "x" 2; "b" "n" "r" "s" "y" 2; "c" "c" "o" "s" "z" 2; "d" "x" 3; "e" "i" "p" "q" "w" 2;
"a" "s" "x" 2; "b" "n" "r" "s" "y" 2; "c" "c" "o" "s" "z" 2; "d" "x" 3; "e" "i" "o" "p" "q" "w" 2;
"a" "s" "x" 2; "b" "n" "r" "s" "y" 2; "c" "c" "o" "s" "z" 2; "d" "x" 3; "e" "i" "o" "p" "q" "w" 2;
"a" "s" "x" 2; "b" "n" "r" "s" "y" 2; "c" "c" "o" "s" "z" 2; "d" "x" 3; "e" "i" "o" "p" "q" "w" 2;
"a" "s" "x" 2; "b" "n" "r" "s" "y" 2; "c" "c" "o" "s" "z" 2; "d" "x" 3; "e" "i" "o" "p" "q" "w" 2;
"a" "s" "x" 2; "b" "n" "r" "s" "y" 2; "c" "c" "o" "s" "z" 2; "d" "x" 3; "e" "i" "o" "p" "q" "w" 2;
"a" "s" 3; "b" "n" "r" "s" "y" 2; "c" "c" "g" "o" "s" "z" 2; "d" "x" 3; "e" "i" "o" "p" "q" "w" 2;
"a" "s" 3; "b" "n" "r" "s" "y" 2; "c" "c" "g" "o" "s" "z" 2; "d" "x" 3; "e" "i" "o" "p" "q" "w" 2;
"a" "s" 3; "b" "n" "r" "s" "y" 2; "c" "c" "g" "o" "s" "z" 2; "d" "x" 3; "e" "i" "o" "p" "q" "w" 2;
"a" "s" 3; "b" "n" "r" "s" "y" 2; "c" "c" "g" "o" "s" "z" 2; "d" "x" 3; "e" "i" "o" "p" "q" "w" 2;
"a" "s" 3; "b" "n" "r" "s" "y" 2; "c" "c" "g" "o" "s" "z" 2; "d" "x" 3; "e" "i" "o" "p" "q" "w" 2;
"a" "s" 3; "b" "n" "r" "s" "y" 2; "c" "c" "g" "o" "s" "z" 2; "d" "x" 3; "e" "i" "o" "p" "q" "w" 2;
"a" "s" 3; "b" "n" "r" "s" "y" 2; "c" "c" "g" "o" "s" "z" 2; "d" "x" 3; "e" "i" "o" "p" "q" "w" 2;
"a" "s" 3; "b" "n" "r" "s" "y" 2; "c" "c" "g" "o" "s" "z" 2; "d" "x" 3; "e" "i" "o" "p" "q" "w" 2;
"a" "s" 4; "b" "n" "r" "s" "y" 2; "c" "c" "g" "o" "s" "z" 2; "d" "x" 3; "e" "i" "o" "p" "q" "w" 2;
"a" "s" 4; "b" "n" "r" "s" "y" 2; "c" "c" "g" "o" "s" "z" 2; "d" "x" 3; "e" "i" "o" "p" "q" "w" 2;
"a" "s" 4; "b" "n" "r" "s" "y" 2; "c" "c" "g" "o" "s" "z" 2; "d" "x" 3; "e" "i" "o" "p" "q" "w" 2;
"a" "s" 4; "b" "n" "r" "s" "y" 2; "c" "c" "g" "o" "s" "z" 2; "d" "x" 3; "e" "i" "o" "p" "q" "w" 2;
"a" "s" 4; "b" "n" "r" "s" "y" 2; "c" "c" "g" "o" "s" "z" 2; "d" "x" 3; "e" "i" "o" "p" "q" "w" 2;
"a" "s" 4; "b" "n" "r" "s" "y" 2; "c" "c" "e" "g" "o" "s" "z" 2; "d" "x" 3; "e" "i" "o" "p" "q" "w" 2;
"a" "s" 4; "b" "n" "r" "s" "y" 2; "c" "c" "e" "g" "o" "s" "z" 2; "d" "x" 3; "e" "i" "o" "p" "q" "w" 2;
"a" "s" 4; "b" "n" "r" "s" "y" 2; "c" "c" "e" "g" "o" "s" "z" 2; "d" "x" 3; "e" "i" "o" "p" "q" "w" 2;
"a" "s" 4; "b" "n" "r" "s" "y" 2; "c" "c" "e" "g" "n" "o" "s" "z" 2; "d" "x" 3; "e" "i" "o" "p" "q" "w" 2;
"a" "s" 4; "b" "n" "r" "s" "y" 2; "c" "c" "e" "g" "n" "o" "s" "z" 2; "d" "x" 3; "e" "i" "o" "p" "q" "w" 2;
"a" "s" 4; "b" "n" "r" "s" "y" 2; "c" "e" "g" 3; "d" "x" 3; "e" "i" "o" "p" "q" "w" 2;
"a" "s" 4; "b" "g" "n" "r" "s" "y" 2; "c" "e" "g" 3; "d" "x" 3; "e" "i" "o" "p" "q" "w" 2;
"a" "s" 3; "b" "g" "n" "r" "s" "y" 2; "c" "e" "g" 3; "d" "x" 3; "e" "i" "o" "p" "q" "w" 2;
"a" "s" 3; "b" "g" "n" "p" "r" "s" "y" 2; "c" "e" "g" 3; "d" "x" 3; "e" "i" "o" "p" "q" "w" 2;
"a" "s" 3; "b" "g" "n" "p" "r" "s" "y" 2; "c" "e" "g" 3; "d" "x" 3; "e" "i" "o" "p" "q" "w" 2;
"a" "s" 3; "b" "g" "n" "o" "p" "r" "s" "y" 2; "c" "e" "g" 3; "d" "x" 4; "e" "i" "o" "q" "w" 2;
"a" "s" 3; "b" "g" "n" "o" "p" "r" "s" "y" 2; "c" "e" "g" 3; "d" "x" 4; "e" "i" "o" "q" "w" 2;
"a" "s" 3; "b" "g" "n" "o" "p" "r" "s" "y" 2; "c" "e" "g" 3; "d" "x" 4; "e" "i" "o" "q" "w" 2;
"a" "s" 3; "b" "g" "n" "o" "p" "r" "s" "y" 2; "c" "e" "g" 3; "d" "x" 4; "e" "i" "o" "q" "w" 2;
"a" "s" 3; "b" "g" "n" "o" "p" "r" "s" "y" 2; "c" "e" "g" 3; "d" "x" 4; "e" "i" "o" "q" "w" 2;
"a" "s" 3; "b" "g" "n" "o" "p" "r" "s" "y" 2; "c" "e" "g" 3; "d" "x" 4; "e" "i" "o" "q" "w" 2;
"a" "s" 3; "b" "g" "n" "o" "p" "r" "s" "u" "y" 2; "c" "e" "g" 3; "d" "x" 4; "e" "i" "o" "q" "w" 2;
"a" "s" 3; "b" "g" "n" "o" "p" "r" "s" "u" "y" 2; "c" "e" "g" 3; "d" "x" 4; "e" "i" "o" "q" "w" 2;
"a" "s" 3; "b" "g" "n" "o" "p" "r" "s" "u" "y" 2; "c" "e" "g" 3; "d" "x" 4; "e" "i" "o" "q" "w" 2;
"a" "s" 3; "b" "g" "n" "o" "p" "r" "s" "u" "y" 2; "c" "e" "g" 3; "d" "x" 4; "e" "i" "o" "q" "w" 2;
"a" "s" 3; "b" "g" "n" "o" "p" "r" "s" "u" "y" 2; "c" "e" "g" 3; "d" "x" 4; "e" "q" 3;
"a" "s" 3; "b" "p" 3; "c" "e" "g" 3; "d" "x" 4; "e" "q" 3;
"a" "s" 3; "b" "p" 3; "c" "g" 4; "d" "x" 4; "e" "q" 3;
"a" "s" 3; "b" "p" 3; "c" "g" 4; "d" "x" 4; "e" "q" 3;
"a" "s" 3; "b" "p" "r" 3; "c" "g" 4; "d" "x" 4; "e" "q" 3;
"a" "s" 3; "b" "p" "r" 3; "c" "g" 4; "d" "x" 4; "e" "q" 3;
"a" "s" 3; "b" "p" "r" 3; "c" "g" 4; "d" "x" 4; "e" "q" 3;
"a" "s" 3; "b" "p" "r" 3; "c" "g" 4; "d" "x" 4; "e" "q" 3;
"a" "s" 3; "b" "p" "r" 3; "c" "g" 4; "d" "x" 4; "e" "q" 3;
"a" "s" 3; "b" "p" "r" 3; "c" "g" 4; "d" "x" 4; "e" "q" 3;
"a" "s" 3; "b" "p" "r" 3; "c" "g" 4; "d" "x" 4; "e" "q" 3;
"a" "s" 3; "b" "p" "r" 3; "c" "g" 4; "d" "x" 4; "e" "q" 3;
"a" "s" 3; "b" "p" "r" 3; "c" "g" 4; "d" "x" 4; "e" "q" 3;
"a" "s" 3; "b" "p" "r" 3; "c" "g" 4; "d" "x" 4; "e" "q" 3;
"a" "s" 3; "b" "p" "r" 3; "c" "g" 4; "d" "x" 4; "e" "q" 3;
"a" "s" 3; "b" "p" "r" 3; "c" "g" 4; "d" "x" 4; "e" "q" 3;
"a" "s" 3; "b" "p" "r" 3; "c" "g" 4; "d" "x" 4; "e" "q" 3;
"a" "s" 3; "b" "p" "r" 3; "c" "g" 4; "d" "x" 4; "e" "q" 3;
"a" "s" 3; "b" "p" "r" 3; "c" "g" 4; "d" "x" 4; "e" "q" 3;
"a" "s" 3; "b" "p" "r" "y" 3; "c" "g" 4; "d" "x" 4; "e" "q" 3;
"a" "s" 3; "b" "p" "r" "y" 3; "c" "g" 4; "d" "x" 4; "e" "q" 3;
"a" "s" 3; "b" "p" "r" "y" 3; "c" "g" 4; "d" "x" 4; "e" "q" 3;
"a" "s" 3; "b" "p" "r" "y" 3; "c" "c" "g" 4; "d" "x" 4; "e" "q" 3;
"a" "s" 3; "b" "p" "r" "y" 3; "c" "c" "g" 4; "d" "x" 4; "e" "q" 3;
"a" "s" 3; "b" "p" "r" "y" 3; "c" "c" "g" 4; "d" "x" 4; "e" "q" 3;
"a" "s" 3; "b" "p" "r" "y" 3; "c" "c" "g" 4; "d" "x" 4; "e" "q" 3;
"a" "s" 3; "b" "p" "r" "y" 3; "c" "c" "g" 4; "d" "x" 4; "e" "q" 3;
"a" "s" 3; "b" "p" "r" "y" 3; "c" "c" "g" 4; "d" "x" 4; "e" "q" 3;
"a" "s" 3; "b" "p" "r" "y" 3; "c" "c" "g" 4; "d" "x" 4; "e" "q" 3;
"a" "s" 3; "b" "p" "r" "y" 3; "c" "c" "g" 4; "d" "x" 4; "e" "q" 3;
"a" "s" 3; "b" "o" "p" "r" "y" 3; "c" "c" "g" 4; "d" "x" 4; "e" "q" 3;
"a" "s" 3; "b" "o" "p" "r" "y" 3; "c" "c" "g" 4; "d" "x" 4; "e" "q" 3;
"a" "s" 3; "b" "o" "p" "r" "y" 3; "c" "c" "g" 4; "d" "x" 4; "e" "q" 3;
"a" "s" 3; "b" "o" "p" "r" "y" 3; "c" "c" "g" 4; "d" "x" 4; "e" "q" 3;
"a" "s" 3; "b" "o" "p" "r" "y" 3; "c" "c" "g" 4; "d" "x" 4; "e" "q" 3;
"a" "s" 3; "b" "o" "p" "r" "y" 3; "c" "c" "g" 4; "d" "x" 4; "e" "q" 3;
"a" "s" 3; "b" "o" "p" "r" "y" 3; "c" "c" "g" 4; "d" "x" 4; "e" "q" 3;
"a" "s" 3; "b" "o" "p" "r" "y" 3; "c" "c" "g" 4; "d" "x" 4; "e" "q" 3;
"a" "s" 3; "b" "o" "p" "r" "y" 3; "c" "c" "g" 4; "d" "x" 5; "e" "q" "u" 3;
"a" "s" 3; "b" "o" "p" "r" "y" 3; "c" "c" "g" 4; "d" "x" 5; "e" "q" "u" 3;
"a" "s" 3; "b" "o" "p" "r" "y" 3; "c" "c" "g" 4; "d" "x" 5; "e" "q" "u" 3;
"a" "s" 3; "b" "o" "p" "r" "y" 3; "c" "c" "g" 4; "d" "x" 5; "e" "q" "u" 3;
"a" "s" 3; "b" "o" "p" "r" "y" 3; "c" "c" "g" 4; "d" "x" 5; "e" "q" "u" 3;
"a" "s" 3; "b" "o" "p" "r" "y" 3; "c" "c" "g" 4; "d" "x" 5; "e" "q" "u" 3;
