none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"a" "f" "j" 1; "c" "q" "w" 1;
"a" "f" "j" 1; "c" "q" "w" 1;
"a" "f" "j" 1; "c" "q" "w" 1;
"a" "f" "j" 1; "c" "q" "w" 1;
"a" "f" "j" 1; "c" "q" "w" 1;
"a" "f" "j" 1; "b" "q" 1; "c" "q" "w" 1;
"a" "f" "j" 1; "b" "q" 1; "c" "q" "w" 1;
"a" "f" "j" 1; "b" "q" 1; "c" "q" "w" 1;
"a" "f" "j" 1; "b" "q" 1; "c" "q" "w" 1; "e" "b" 1;
"a" "f" "j" 1; "b" "q" 1; "c" "q" "w" 1; "e" "b" 1;
"a" "f" "j" 1; "b" "q" 1; "c" "q" "w" 1; "e" "b" 1;
"a" "f" "j" 1; "b" "q" 1; "c" "q" "w" 1; "e" "b" 1;
"a" "f" "j" "k" "v" 1; "b" "q" "r" 1; "c" "p" "q" "v" "w" "x" 1; "d" "b" 2; "e" "b" "q" 1;
"a" "f" "g" "j" "k" "v" 1; "b" "j" "q" "r" 1; "c" "p" "q" "v" "w" "x" 1; "d" "b" 2; "e" "b" "q" 1;
"a" "f" "g" "j" "k" "v" 1; "b" "j" "q" "r" 1; "c" "p" "q" "v" "w" "x" 1; "d" "b" 2; "e" "b" "q" 1;
"a" "f" 2; "b" "f" "j" "q" "r" 1; "c" "d" "p" "q" "v" "w" "x" 1; "d" "b" 2; "e" "b" "q" 1;
"a" "f" 2; "b" "f" "j" "q" "r" 1; "c" "d" "p" "q" "v" "w" "x" 1; "d" "b" 2; "e" "b" "q" 1;
"a" "f" 2; "b" "f" "j" "q" "r" 1; "c" "d" "h" "p" "q" "v" "w" "x" 1; "d" "b" 2; "e" "b" "q" 1;
"a" "f" 2; "b" "f" "j" "q" "r" 1; "c" "d" "h" "p" "q" "v" "w" "x" 1; "d" "b" 2; "e" "b" "q" 1;
"a" "f" 2; "b" "f" "j" "q" "r" 1; "c" "d" "h" "p" "q" "v" "w" "x" 1; "d" "b" 2; "e" "b" "n" "q" 1;
"a" "f" 2; "b" "f" "j" "q" "r" 1; "c" "d" "h" "p" "q" "v" "w" "x" 1; "d" "b" 2; "e" "b" "n" "q" 1;
"a" "f" 2; "b" "f" "j" "q" "r" 1; "c" "d" "h" "p" "q" "v" "w" "x" 1; "d" "b" 2; "e" "b" "n" "q" 1;
"a" "f" 2; "b" "f" "j" "q" "r" 1; "c" "d" "h" "p" "q" "v" "w" "x" 1; "d" "b" 2; "e" "b" "n" "q" 1;
"a" "f" 2; "b" "f" "j" "q" "r" 1; "c" "d" "h" "i" "p" "q" "v" "w" "x" 1; "d" "b" 2; "e" "b" "n" "q" 1;
"a" "f" 2; "b" "f" "j" "q" "r" 1; "c" "d" "h" "i" "p" "q" "v" "w" "x" 1; "d" "b" 2; "e" "b" "n" "q" 1;
"a" "f" 2; "b" "f" "j" "q" "r" 1; "c" "d" "h" "i" "p" "q" "v" "w" "x" 1; "d" "b" 2; "e" "b" "n" "q" 1;
"a" "f" 2; "b" "f" "j" "q" "r" 1; "c" "d" "h" "i" "p" "q" "v" "w" "x" 1; "d" "b" 2; "e" "b" "n" "q" 1;
"a" "f" 2; "b" "f" 2; "c" "d" "h" "i" "p" "q" "v" "w" "x" 1; "d" "b" 2; "e" "b" "n" "q" 1;
"a" "f" 2; "b" "f" 2; "c" "d" "h" "i" "p" "q" "v" "w" "x" 1; "d" "b" 2; "e" "b" "n" "q" 1;
"a" "f" 2; "b" "f" 2; "c" "i" 2; "d" "b" 2; "e" "b" "h" "n" "q" 1;
"a" "f" 2; "b" "f" 2; "c" "i" 2; "d" "b" "f" 2; "e" "b" "h" "n" "q" 1;
"a" "f" 2; "b" "f" 2; "c" "i" 2; "d" "b" "f" 2; "e" "b" "h" "n" "q" 1;
"a" "f" 2; "b" "f" 2; "c" "i" 2; "d" "b" "f" 2; "e" "b" "h" "n" "q" 1;
"a" "f" 2; "b" "f" 2; "c" "i" 2; "d" "b" "f" 2; "e" "b" "h" "n" "q" 1;
"a" "f" 2; "b" "f" 2; "c" "i" 2; "d" "b" "f" 2; "e" "b" "h" "n" "q" 1;
"a" "f" 2; "b" "f" 2; "c" "i" 2; "d" "b" "f" 2; "e" "b" "h" "n" "q" 1;
"a" "f" 2; "b" "f" 2; "c" "i" 2; "d" "b" "f" 2; "e" "b" "h" "n" "q" 1;
"a" "f" 2; "b" "f" 2; "c" "i" 2; "d" "b" "f" 2; "e" "b" "h" "n" "q" 1;
"a" "f" 2; "b" "f" 2; "c" "i" 2; "d" "b" "f" 2; "e" "b" "h" "n" "q" 1;
"a" "f" "p" 2; "b" "f" 2; "c" "i" 2; "d" "b" "f" 2; "e" "b" "h" "n" "q" 1;
"a" "f" "p" 2; "b" "f" 2; "c" "i" 2; "d" "b" "f" 2; "e" "b" "h" "n" "q" 1;
"a" "f" "p" 2; "b" "f" 2; "c" "i" 2; "d" "b" "f" 2; "e" "b" "h" "n" "q" "z" 1;
"a" "f" "p" 2; "b" "f" 2; "c" "i" 2; "d" "b" "f" 2; "e" "b" "h" "n" "q" "z" 1;
"a" "f" "p" 2; "b" "f" 2; "c" "i" 2; "d" "b" "f" 2; "e" "b" "h" "i" "n" "q" "z" 1;
"a" "f" "p" 2; "b" "f" 2; "c" "i" 2; "d" "b" "f" 2; "e" "b" "h" "i" "n" "q" "z" 1;
"a" "f" "p" 2; "b" "f" 2; "c" "i" 2; "d" "b" "f" 2; "e" "b" "f" "h" "i" "n" "q" "z" 1;
"a" "f" "p" 2; "b" "f" 2; "c" "i" 2; "d" "b" "f" 2; "e" "b" "f" "h" "i" "n" "q" "z" 1;
"a" "f" "p" 2; "b" "f" 2; "c" "i" 2; "d" "b" "f" 2; "e" "b" "f" "h" "i" "n" "q" "z" 1;
"a" "f" "p" 2; "b" "f" 2; "c" "i" 2; "d" "b" "f" 2; "e" "b" "f" "h" "i" "n" "q" "z" 1;
"a" "f" "p" 2; "b" "f" 2; "c" "i" "x" 2; "d" "b" "f" 2; "e" "b" "f" "h" "i" "n" "q" "z" 1;
"a" "f" 3; "b" "f" 2; "c" "i" "x" 2; "d" "b" "f" 2; "e" "b" "f" "h" "i" "n" "q" "z" 1;
"a" "f" 3; "b" "f" 2; "c" "i" "x" 2; "d" "b" "f" 2; "e" "b" "f" "h" "i" "n" "q" "z" 1;
"a" "f" 3; "b" "f" 2; "c" "i" "x" 2; "d" "b" "f" 2; "e" "b" "f" "h" "i" "n" "q" "z" 1;
"a" "f" 3; "b" "f" 2; "c" "i" "x" 2; "d" "b" "f" 2; "e" "b" "f" "h" "i" "n" "q" "z" 1;
"a" "f" 3; "b" "f" 2; "c" "i" "x" 2; "d" "b" "f" 2; "e" "b" "f" "h" "i" "n" "q" "z" 1;
"a" "f" 3; "b" "f" "t" 2; "c" "i" "x" 2; "d" "b" "f" 2; "e" "b" "f" "h" "i" "n" "q" "z" 1;
"a" "f" 3; "b" "f" "r" "t" 2; "c" "i" "x" 2; "d" "b" "f" 2; "e" "a" "b" "f" "h" "i" "k" "n" "q" "z" 1;
"a" "f" 3; "b" "f" "r" "t" 2; "c" "i" "x" 2; "d" "b" "f" 2; "e" "a" "b" "f" "h" "i" "k" "n" "q" "z" 1;
"a" "f" 3; "b" "f" "r" "t" 2; "c" "i" "x" 2; "d" "b" "f" "y" 2; "e" "a" "b" "f" "h" "i" "k" "n" "q" "z" 1;
"a" "f" 3; "b" "f" "r" "t" 2; "c" "i" "x" 2; "d" "b" "f" "y" 2; "e" "a" "b" "f" "h" "i" "k" "n" "q" "z" 1;
"a" "f" 3; "b" "f" "r" "t" 2; "c" "g" "i" "x" 2; "d" "b" "f" "y" 2; "e" "f" 2;
"a" "f" 3; "b" "f" "r" "t" 2; "c" "g" "i" "x" 2; "d" "b" "f" "y" 2; "e" "f" 2;
"a" "f" 3; "b" "f" "r" "t" 2; "c" "g" "i" "x" 2; "d" "b" "f" "y" 2; "e" "f" 2;
"a" "f" 3; "b" "f" "r" "t" 2; "c" "g" "i" "x" 2; "d" "b" "f" "y" 2; "e" "f" 2;
"a" "f" 3; "b" "f" 3; "c" "x" 3; "d" "b" "f" "y" 2; "e" "f" 2;
"a" "f" 3; "b" "f" 3; "c" "x" 3; "d" "b" "f" "y" 2; "e" "f" 2;
"a" "f" 3; "b" "f" 3; "c" "x" 3; "d" "b" "f" "y" 2; "e" "f" 2;
"a" "f" 3; "b" "f" 3; "c" "x" 3; "d" "b" "f" "y" 2; "e" "f" 2;
"a" "f" 3; "b" "f" 3; "c" "x" 3; "d" "b" "f" "y" 2; "e" "f" 2;
"a" "f" 3; "b" "f" 3; "c" "x" 3; "d" "b" "f" "y" 2; "e" "f" 2;
"a" "f" 3; "b" "f" 3; "c" "i" "x" 3; "d" "b" "f" "y" 2; "e" "f" 2;
"a" "f" 3; "b" "f" 3; "c" "i" "x" 3; "d" "b" "f" "y" 2; "e" "f" 2;
"a" "f" 3; "b" "f" 3; "c" "i" "x" 3; "d" "b" "f" "y" 2; "e" "f" 2;
"a" "f" 3; "b" "f" 3; "c" "i" "x" 3; "d" "b" "f" "y" 2; "e" "f" 2;
"a" "f" 3; "b" "f" 3; "c" "i" "x" 3; "d" "b" "f" "y" 2; "e" "f" 2;
"a" "f" 3; "b" "f" 3; "c" "i" "w" "x" 3; "d" "b" "f" "y" 2; "e" "f" 2;
"a" "f" 3; "b" "f" 3; "c" "i" "w" "x" 3; "d" "b" "f" "y" 2; "e" "f" 2;
"a" "f" 3; "b" "f" 3; "c" "i" "w" "x" 3; "d" "b" "f" "y" 2; "e" "f" 2;
"a" "f" 3; "b" "f" 3; "c" "i" "w" "x" 3; "d" "b" "f" "y" 2; "e" "f" 2;
"a" "f" 3; "b" "f" 3; "c" "i" "w" "x" 3; "d" "b" "f" "y" 2; "e" "f" 2;
"a" "f" 3; "b" "f" 3; "c" "i" "w" "x" 3; "d" "b" "f" "y" 2; "e" "f" 2;
"a" "f" 3; "b" "f" 3; "c" "i" "w" "x" 3; "d" "b" "f" "y" 2; "e" "f" 2;
"a" "f" 3; "b" "f" 3; "c" "i" "w" "x" 3; "d" "b" "f" "y" 2; "e" "f" 2;
"a" "f" 3; "b" "f" 3; "c" "i" "w" "x" 3; "d" "b" "f" "y" 2; "e" "f" 2;
"a" "f" 3; "b" "f" 3; "c" "i" "w" "x" 3; "d" "b" "f" "y" 2; "e" "f" 2;
"a" "f" 3; "b" "f" 3; "c" "i" "w" "x" 3; "d" "b" "f" "y" 2; "e" "f" 2;
"a" "f" 3; "b" "f" 3; "c" "i" "w" "x" 3; "d" "b" "f" "y" 2; "e" "f" 2;
"a" "f" 3; "b" "f" 3; "c" "i" "w" "x" 3; "d" "b" "f" "y" 2; "e" "f" 2;
"a" "f" 3; "b" "f" 3; "c" "i" "w" "x" 3; "d" "b" "f" "y" 2; "e" "f" 2;
"a" "f" 3; "b" "f" 3; "c" "i" "w" "x" 3; "d" "b" "f" "y" 2; "e" "f" 2;
"a" "f" 3; "b" "f" 3; "c" "i" "w" "x" 3; "d" "b" "f" "y" 2; "e" "f" 2;
"a" "f" 3; "b" "f" 3; "c" "i" "w" "x" 3; "d" "b" "f" "y" 2; "e" "f" 3;
"a" "f" 3; "b" "f" 3; "c" "i" "w" "x" 3; "d" "b" "f" "y" 2; "e" "f" 3;
"a" "f" 3; "b" "f" 3; "c" "i" "w" "x" 3; "d" "b" "f" "y" 2; "e" "f" 3;
"a" "f" 3; "b" "f" 3; "c" "i" "w" "x" 3; "d" "b" "f" "y" 2; "e" "f" 3;
"a" "f" 3; "b" "f" 3; "c" "i" "w" "x" 3; "d" "b" "f" "y" 2; "e" "f" 3;
"a" "f" 3; "b" "f" 3; "c" "i" "w" "x" 3; "d" "b" "f" "y" 2; "e" "f" 3;
"a" "f" 3; "b" "f" 3; "c" "i" "w" "x" 3; "d" "b" "f" "y" 2; "e" "f" 3;
"a" "f" 3; "b" "f" 3; "c" "i" "w" "x" 3; "d" "b" "f" "y" 2; "e" "f" 3;
"a" "f" 3; "b" "f" 3; "c" "i" "w" "x" 3; "d" "b" "f" "y" 2; "e" "f" 3;
"a" "f" 3; "b" "f" 3; "c" "i" "w" "x" 3; "d" "b" "f" "y" 2; "e" "f" 3;
"a" "f" 3; "b" "f" 3; "c" "i" "w" "x" 3; "d" "b" "f" "y" 2; "e" "f" 3;
"a" "f" 3; "b" "f" 3; "c" "i" "w" "x" 3; "d" "b" "f" "y" 2; "e" "f" 3;
"a" "f" 3; "b" "f" 4; "c" "i" "w" "x" 3; "d" "b" "f" "y" 2; "e" "f" 3;
"a" "f" 3; "b" "f" 4; "c" "i" "w" "x" 3; "d" "b" "f" "y" 2; "e" "f" 3;
"a" "f" 3; "b" "f" 4; "c" "i" "w" "x" 3; "d" "b" "f" "y" 2; "e" "f" 3;
"a" "f" 3; "b" "f" 4; "c" "i" "w" "x" 3; "d" "b" "f" "y" 2; "e" "f" 3;
"a" "f" 3; "b" "f" 4; "c" "i" "w" "x" 3; "d" "b" "f" "y" 2; "e" "f" 3;
"a" "f" 3; "b" "f" 4; "c" "i" "w" "x" 3; "d" "b" "f" "y" 2; "e" "f" 3;
"a" "f" 3; "b" "f" 4; "c" "i" "w" "x" 3; "d" "b" "f" "y" 2; "e" "f" 3;
"a" "f" 3; "b" "f" 4; "c" "i" "w" "x" 3; "d" "b" "f" "y" 2; "e" "f" 3;
"a" "f" 3; "b" "f" 4; "c" "i" "w" "x" 3; "d" "b" "f" "y" 2; "e" "f" 3;
"a" "f" 3; "b" "f" 4; "c" "i" "w" "x" 3; "d" "b" "f" "y" 2; "e" "f" 3;
"a" "f" 3; "b" "f" 4; "c" "i" "w" "x" 3; "d" "b" "f" "y" 2; "e" "f" 3;
"a" "f" 3; "b" "f" 4; "c" "i" "w" "x" 3; "d" "b" "f" "y" 2; "e" "f" 3;
"a" "f" 3; "b" "f" 4; "c" "i" "w" "x" 3; "d" "b" "f" "y" 2; "e" "f" 3;
"a" "f" 3; "b" "f" 4; "c" "i" "w" "x" 3; "d" "b" "f" "y" 2; "e" "f" 3;
"a" "f" "u" 3; "b" "f" 4; "c" "g" "i" "w" "x" 3; "d" "b" "f" "k" "y" 2; "e" "f" 3;
"a" "f" "u" 3; "b" "f" 4; "c" "g" "i" "w" "x" 3; "d" "b" "f" "k" "y" 2; "e" "f" 3;
"a" "f" "u" 3; "b" "f" 4; "c" "g" "i" "w" "x" 3; "d" "b" "f" "k" "y" 2; "e" "f" 3;
"a" "f" "u" 3; "b" "f" 4; "c" "g" "i" "w" "x" 3; "d" "b" "f" "k" "y" 2; "e" "f" 3;
"a" "f" "u" 3; "b" "f" 4; "c" "g" "i" "w" "x" 3; "d" "b" "f" "k" "y" 2; "e" "f" 3;
"a" "f" "u" 3; "b" "f" 4; "c" "g" "i" "w" "x" 3; "d" "b" "f" "k" "n" "y" 2; "e" "f" 3;
"a" "f" 4; "b" "f" 4; "c" "x" 4; "d" "b" "f" "k" "n" "y" 2; "e" "f" "k" 3;
"a" "f" 4; "b" "f" 4; "c" "x" 4; "d" "b" "f" "k" "n" "y" 2; "e" "f" "k" 3;
"a" "f" 4; "b" "f" 4; "c" "x" 4; "d" "b" "f" "k" "n" "y" 2; "e" "f" "k" 3;
"a" "f" 4; "b" "f" 4; "c" "x" 4; "d" "b" "f" "k" "n" "y" 2; "e" "f" "k" 3;
"a" "f" 4; "b" "f" 4; "c" "x" 4; "d" "b" "f" "k" "n" "y" 2; "e" "f" "k" 3;
"a" "f" 4; "b" "f" 4; "c" "x" 4; "d" "b" "f" "k" "n" "y" 2; "e" "f" "k" 3;
"a" "f" 4; "b" "f" 4; "c" "m" "x" 4; "d" "b" "f" "k" "n" "y" 2; "e" "f" "k" 3;
"a" "f" 4; "b" "f" 4; "c" "m" "x" 4; "d" "b" "f" "k" "n" "y" 2; "e" "f" "k" 3;
"a" "f" 4; "b" "f" 4; "c" "m" "x" 4; "d" "b" "f" "k" "n" "y" 2; "e" "f" "k" 3;
"a" "f" 4; "b" "f" 4; "c" "m" "x" 4; "d" "b" "f" "k" "n" "y" 2; "e" "f" "k" 3;
"a" "f" 4; "b" "f" 4; "c" "m" "x" 4; "d" "b" "f" "k" "n" "y" 2; "e" "f" "k" 3;
"a" "f" 4; "b" "f" 4; "c" "m" "x" 4; "d" "b" "f" "k" "n" "y" 2; "e" "f" "k" 3;
"a" "f" 4; "b" "f" 4; "c" "m" "x" 4; "d" "b" "f" "k" "n" "y" 2; "e" "f" "k" 3;
"a" "f" 4; "b" "f" 4; "c" "m" "x" 4; "d" "b" "f" "k" "n" "y" 2; "e" "f" "k" 3;
"a" "f" 4; "b" "f" 4; "c" "m" "x" 4; "d" "b" "f" "k" "n" "y" 2; "e" "f" "k" "w" 3;
"a" "f" 4; "b" "f" 4; "c" "m" "x" 4; "d" "b" "f" "k" "n" "y" 2; "e" "f" "k" "w" 3;
"a" "f" 4; "b" "f" 4; "c" "m" "x" 4; "d" "b" "f" "k" "n" "y" 2; "e" "f" "k" "w" 3;
"a" "f" 4; "b" "f" 4; "c" "m" "x" 4; "d" "b" "f" "k" "n" "y" 2; "e" "f" "k" "w" 3;
"a" "f" 4; "b" "f" 4; "c" "m" "x" 4; "d" "b" "f" "k" "n" "y" 2; "e" "f" "k" "w" 3;
"a" "f" 4; "b" "f" 4; "c" "m" "x" 4; "d" "b" "f" "k" "n" "y" 2; "e" "f" "k" "w" 3;
"a" "f" 4; "b" "f" 4; "c" "m" "x" 4; "d" "b" "f" "k" "n" "y" 2; "e" "f" "k" "w" 3;
"a" "f" 4; "b" "f" 4; "c" "m" "x" 4; "d" "b" "f" "k" "n" "y" 2; "e" "f" "k" "w" 3;
"a" "f" 4; "b" "f" 4; "c" "m" "x" 4; "d" "b" "f" "k" "n" "y" 2; "e" "f" "k" "w" 3;
"a" "f" 4; "b" "f" 4; "c" "m" "x" 4; "d" "b" "f" "k" "n" "y" 2; "e" "f" "k" "w" 3;
"a" "f" 4; "b" "f" 4; "c" "m" "x" 4; "d" "b" "f" "k" "n" "w" "y" 2; "e" "f" "k" "w" 3;
"a" "f" 4; "b" "f" 4; "c" "m" "x" 4; "d" "b" "f" "k" "n" "w" "y" 2; "e" "f" "k" "w" 3;
"a" "f" 4; "b" "f" 4; "c" "m" "x" 4; "d" "n" 3; "e" "f" "k" "w" 3;
"a" "f" 4; "b" "f" 4; "c" "m" "x" 4; "d" "n" 4; "e" "f" "k" "w" 3;
"a" "f" 5; "b" "f" 4; "c" "m" "x" 4; "d" "n" 4; "e" "f" "k" "w" 3;
"a" "f" 5; "b" "f" 4; "c" "m" "x" 4; "d" "n" 4; "e" "f" "k" "w" 3;
"a" "f" 5; "b" "f" 4; "c" "m" "x" 4; "d" "n" 4; "e" "f" "k" "w" 3;
"a" "f" 5; "b" "f" 4; "c" "m" "x" 4; "d" "n" 4; "e" "f" "k" "w" 3;
"a" "f" 5; "b" "f" 4; "c" "m" "x" 4; "d" "n" 4; "e" "f" "k" "w" 3;
"a" "f" 5; "b" "f" 4; "c" "m" "x" 4; "d" "n" 4; "e" "f" "k" "w" 3;
"a" "f" 5; "b" "f" 4; "c" "m" "x" 4; "d" "n" 4; "e" "f" "k" "w" 3;
"a" "f" 5; "b" "f" 4; "c" "m" "x" 4; "d" "n" 4; "e" "f" "k" "w" 3;
"a" "f" 5; "b" "f" 4; "c" "m" "x" 4; "d" "n" 4; "e" "f" "k" "w" 3;
"a" "f" 5; "b" "f" 4; "c" "m" "x" 4; "d" "g" "n" "w" 3; "e" "f" "k" "w" 3;
"a" "f" 5; "b" "f" 4; "c" "m" "x" 4; "d" "g" "n" "w" 3; "e" "f" "k" "w" 3;
"a" "f" 5; "b" "f" 4; "c" "m" "x" 4; "d" "g" "n" "w" 3; "e" "f" "k" "w" 3;
"a" "f" 5; "b" "f" 4; "c" "m" "x" 4; "d" "g" "n" "w" 3; "e" "f" "k" "w" 3;
"a" "f" 5; "b" "f" 4; "c" "m" "x" 4; "d" "n" 4; "e" "f" "k" "w" 3;
"a" "f" 5; "b" "f" 4; "c" "m" "x" 4; "d" "n" 4; "e" "f" "k" "w" 3;
"a" "f" 5; "b" "f" 4; "c" "m" "x" 4; "d" "n" 4; "e" "f" "k" "w" 3;
"a" "f" 5; "b" "f" 4; "c" "m" "x" 4; "d" "n" 4; "e" "f" "k" "w" 3;
"a" "f" 5; "b" "f" 4; "c" "m" "x" 4; "d" "n" 4; "e" "c" "f" "k" "w" 3;
"a" "f" 5; "b" "f" 4; "c" "m" "x" 4; "d" "n" 4; "e" "c" "f" "k" "w" 3;
"a" "f" 5; "b" "f" 4; "c" "m" "x" 4; "d" "n" 5; "e" "c" "f" "k" "w" 3;
"a" "f" 5; "b" "f" 4; "c" "m" "x" 4; "d" "n" 5; "e" "c" "f" "k" "w" 3;
"a" "f" 5; "b" "f" 4; "c" "m" "x" 4; "d" "n" 5; "e" "c" "f" "k" "w" 3;
"a" "f" 5; "b" "f" 4; "c" "m" "x" 4; "d" "n" 5; "e" "c" "f" "k" "w" 3;
"a" "f" 5; "b" "f" 4; "c" "m" "x" 4; "d" "n" 5; "e" "c" "f" "k" "w" 3;
"a" "f" 5; "b" "f" 4; "c" "m" "x" 4; "d" "n" 5; "e" "c" "f" "k" "w" 3;
"a" "f" "j" 4; "b" "f" 4; "c" "m" "x" 4; "d" "n" 5; "e" "c" "f" "k" "w" 3;
"a" "f" "j" 4; "b" "f" 4; "c" "m" "w" "x" 4; "d" "n" 5; "e" "c" "f" "k" "w" 3;
"a" "f" "j" 4; "b" "f" 4; "c" "m" "w" "x" 4; "d" "n" 5; "e" "c" "f" "k" "w" 3;
"a" "f" "j" 4; "b" "f" 4; "c" "m" "w" "x" 4; "d" "n" 6; "e" "k" 4;
"a" "f" "j" 4; "b" "f" 4; "c" "m" "w" "x" 4; "d" "n" 6; "e" "k" 4;
"a" "f" "j" 4; "b" "f" 4; "c" "m" "w" "x" 4; "d" "n" 6; "e" "k" 4;
"a" "f" "j" 4; "b" "f" 4; "c" "m" "w" "x" 4; "d" "n" 6; "e" "k" 4;
"a" "f" "j" 4; "b" "f" 4; "c" "m" "w" "x" 4; "d" "n" 6; "e" "k" 4;
"a" "f" "j" 4; "b" "f" 4; "c" "m" "w" "x" 4; "d" "n" 6; "e" "k" 4;
"a" "f" "j" 4; "b" "f" 4; "c" "m" "w" "x" 4; "d" "n" 6; "e" "k" 4;
"a" "f" "j" 4; "b" "f" 4; "c" "m" "w" "x" 4; "d" "n" 6; "e" "k" 4;
"a" "f" "j" 4; "b" "f" "t" 4; "c" "m" "w" "x" 4; "d" "n" 6; "e" "k" 4;
"a" "f" "j" 4; "b" "f" "t" 4; "c" "m" "w" "x" 4; "d" "n" 6; "e" "k" 4;
"a" "f" "j" 4; "b" "f" "t" 4; "c" "m" "w" "x" 4; "d" "n" 7; "e" "k" 4;
"a" "f" "j" 4; "b" "f" "t" 4; "c" "m" "w" "x" 4; "d" "n" 7; "e" "k" 4;
"a" "f" "j" 4; "b" "f" "t" 4; "c" "m" "w" "x" 4; "d" "n" 7; "e" "k" 4;
"a" "f" "j" 4; "b" "f" "t" 4; "c" "m" "w" "x" 4; "d" "n" 7; "e" "k" 4;
"a" "f" "j" 4; "b" "f" "t" 4; "c" "m" "w" "x" 4; "d" "n" 7; "e" "k" 4;
"a" "f" "j" 4; "b" "f" "t" 4; "c" "m" "w" "x" 4; "d" "n" 7; "e" "k" 4;
"a" "f" "j" 4; "b" "f" "t" 4; "c" "m" "w" "x" 4; "d" "n" 7; "e" "k" 4;
"a" "f" "j" 4; "b" "f" "t" 4; "c" "m" "w" "x" 4; "d" "n" 7; "e" "k" 4;
"a" "f" "j" 4; "b" "f" "t" 4; "c" "m" "w" "x" 4; "d" "n" 7; "e" "k" 4;
"a" "f" "j" 4; "b" "f" "t" 4; "c" "m" "w" "x" 4; "d" "n" 7; "e" "k" 4;
"a" "f" "j" 4; "b" "f" "t" 4; "c" "m" "w" "x" 4; "d" "n" 7; "e" "k" 4;
"a" "f" "j" 4; "b" "f" "t" 4; "c" "m" "w" "x" 4; "d" "n" 7; "e" "k" 4;
"a" "f" "j" 4; "b" "f" "t" 4; "c" "m" "w" "x" 4; "d" "n" 7; "e" "k" 4;
"a" "f" "j" 4; "b" "f" "t" 4; "c" "m" "w" "x" 4; "d" "n" 7; "e" "k" 4;
"a" "f" "j" 4; "b" "f" "t" 4; "c" "m" "w" "x" 4; "d" "n" 7; "e" "k" 4;
