none
none
none
none
none
none
none
none
none
none
none
none
none
none
"a" "x" 1;
"a" "x" 1;
"a" "x" 1;
"a" "x" 1;
"a" "x" 1;
"a" "x" 1;
"a" "x" 1;
"a" "x" 1;
"a" "x" 1;
"a" "w" "x" 1; "d" "h" 1; "e" "v" 1;
"a" "w" "x" 1; "d" "g" "h" 1; "e" "v" 1;
"a" "w" "x" 1; "b" "i" 1; "d" "g" 2; "e" "v" 1;
"a" "w" "x" 1; "b" "i" 1; "d" "g" 2; "e" "v" 1;
"a" "w" "x" 1; "b" "i" 1; "d" "g" 2; "e" "v" 1;
"a" "v" "w" "x" 1; "b" "i" 1; "d" "g" 3; "e" "v" 1;
"a" "v" "w" "x" 1; "b" "h" "i" 1; "d" "g" 3; "e" "v" 1;
"a" "a" "e" "i" "j" "m" "v" "w" "x" 1; "b" "i" "y" 3; "c" "a" "m" "r" 1; "d" "g" 4; "e" "o" "v" 1;
"a" "a" "e" "i" "j" "m" "v" "w" "x" 1; "b" "i" "y" 3; "c" "a" "m" "r" 1; "d" "g" 4; "e" "o" "v" 1;
"a" "a" "e" "i" "j" "m" "v" "w" "x" 1; "b" "i" "y" 3; "c" "a" "m" "r" 1; "d" "g" 4; "e" "o" "v" 1;
"a" "a" "e" "i" "j" "m" "v" "w" "x" 1; "b" "i" "y" 3; "c" "a" "m" "r" 1; "d" "g" 4; "e" "i" "o" "v" 1;
"a" "a" "e" "i" "j" "m" "v" "w" "x" 1; "b" "i" "y" 3; "c" "a" "m" "r" 1; "d" "g" 4; "e" "i" "o" "v" 1;
"a" "a" "e" "i" "j" "m" "v" "w" "x" 1; "b" "i" "y" 3; "c" "a" "m" "r" 1; "d" "g" 4; "e" "i" "o" "v" 1;
"a" "a" "e" "i" "j" "m" "v" "w" "x" 1; "b" "i" "y" 3; "c" "a" "m" "r" 1; "d" "g" 4; "e" "i" "o" "v" "w" 1;
"a" "a" "e" "i" "j" "m" "v" "w" "x" 1; "b" "i" "y" 3; "c" "a" "m" "r" 1; "d" "g" 4; "e" "i" "o" "v" "w" 1;
"a" "a" "b" "e" "i" "j" "m" "v" "w" "x" 1; "b" "i" "y" 3; "c" "a" "m" "r" "v" 1; "d" "g" 4; "e" "i" "o" "v" "w" 1;
"a" "a" "b" "e" "i" "j" "m" "v" "w" "x" 1; "b" "i" "y" 3; "c" "a" 2; "d" "g" 4; "e" "i" "o" "v" "w" 1;
"a" "a" 2; "b" "i" "y" 3; "c" "a" 2; "d" "g" 4; "e" "w" 2;
"a" "a" 2; "b" "i" "y" 3; "c" "a" 2; "d" "g" 4; "e" "w" 2;
"a" "a" 2; "b" "i" "y" 3; "c" "a" 2; "d" "g" 4; "e" "w" 2;
"a" "a" "b" 2; "b" "i" "y" 3; "c" "a" 2; "d" "g" 4; "e" "w" 2;
"a" "a" "b" 2; "b" "y" 4; "c" "a" 2; "d" "g" 4; "e" "w" 2;
"a" "a" "b" "i" 2; "b" "y" 4; "c" "a" 2; "d" "g" 4; "e" "w" 2;
"a" "a" "b" "i" 2; "b" "y" 4; "c" "a" 2; "d" "g" 4; "e" "w" 2;
"a" "a" "b" "i" 2; "b" "y" 4; "c" "a" 2; "d" "g" 4; "e" "w" 2;
"a" "a" "b" "i" 2; "b" "y" 4; "c" "a" 2; "d" "g" 4; "e" "w" 2;
"a" "a" "b" "i" "w" 2; "b" "y" 4; "c" "a" 2; "d" "g" 4; "e" "w" 2;
"a" "a" "b" "i" "w" 2; "b" "y" 4; "c" "a" 2; "d" "g" 4; "e" "w" 2;
"a" "a" "b" "i" "w" 2; "b" "y" 4; "c" "a" 2; "d" "g" 4; "e" "w" 2;
"a" "a" "b" "i" "w" 2; "b" "y" 4; "c" "a" 2; "d" "g" 4; "e" "w" 2;
"a" "a" "b" "i" "w" 2; "b" "i" "y" 4; "c" "a" 2; "d" "g" 4; "e" "w" 2;
"a" "a" "b" "i" "w" 2; "b" "i" "y" 4; "c" "a" 2; "d" "g" 4; "e" "w" 2;
"a" "a" "b" "i" "w" 2; "b" "i" "y" 4; "c" "a" 2; "d" "g" 4; "e" "w" 2;
"a" "a" "b" "i" "w" 2; "b" "i" "y" 4; "c" "a" 2; "d" "g" 4; "e" "w" 2;
"a" "a" "b" "i" "w" 2; "b" "i" "y" 4; "c" "a" 2; "d" "g" 4; "e" "w" 2;
"a" "a" "b" "i" "w" 2; "b" "i" "y" 4; "c" "a" 2; "d" "g" 4; "e" "w" 2;
"a" "a" "b" "i" "w" 2; "b" "i" "y" 4; "c" "a" 2; "d" "g" 4; "e" "w" 2;
"a" "a" "b" "i" "w" 2; "b" "i" "y" 4; "c" "a" 2; "d" "g" 4; "e" "w" 2;
"a" "a" "b" "i" "w" 2; "b" "i" "y" 4; "c" "a" 2; "d" "g" 4; "e" "w" 2;
"a" "a" "b" "i" "w" 2; "b" "i" "y" 4; "c" "a" 2; "d" "g" 4; "e" "w" 2;
"a" "a" "b" "i" "w" 2; "b" "i" "y" 4; "c" "a" 2; "d" "g" 4; "e" "w" 2;
"a" "a" "b" "i" "w" 2; "b" "i" "y" 4; "c" "a" 2; "d" "g" 4; "e" "w" 2;
"a" "a" "b" "i" "w" 2; "b" "i" "y" 4; "c" "a" 2; "d" "g" 4; "e" "w" 2;
"a" "a" "b" "i" "w" 2; "b" "i" "y" 4; "c" "a" 2; "d" "g" 4; "e" "w" 2;
"a" "a" "b" "i" "w" 2; "b" "i" "y" 4; "c" "a" 2; "d" "g" 4; "e" "w" 2;
"a" "a" "b" "i" "w" 2; "b" "i" "y" 4; "c" "a" 2; "d" "g" 4; "e" "w" 2;
"a" "a" "b" "i" "w" 2; "b" "i" "y" 4; "c" "a" 2; "d" "g" 4; "e" "w" 2;
"a" "a" "b" "i" "w" 2; "b" "i" "y" 4; "c" "a" 2; "d" "g" 4; "e" "w" 2;
"a" "a" "b" "i" "w" 2; "b" "i" "y" 4; "c" "a" 2; "d" "g" 4; "e" "w" 2;
"a" "a" "b" "i" "w" 2; "b" "i" "y" 4; "c" "a" 2; "d" "g" 4; "e" "w" 2;
"a" "a" "b" "i" "w" 2; "b" "i" "y" 4; "c" "a" "v" 2; "d" "g" 4; "e" "w" 2;
"a" "a" "b" "i" "w" 2; "b" "i" "y" 4; "c" "a" "m" "v" 2; "d" "g" 4; "e" "w" 2;
"a" "a" "b" "i" "w" 2; "b" "i" "y" 4; "c" "a" "m" "v" 2; "d" "g" 4; "e" "w" 2;
"a" "a" "b" "i" "w" 2; "b" "i" "y" 4; "c" "a" "m" "v" 2; "d" "g" 4; "e" "w" 2;
"a" "a" "b" "i" "w" 2; "b" "i" "y" 4; "c" "a" "m" "v" 2; "d" "g" 4; "e" "w" 2;
"a" "a" "b" "i" "w" 2; "b" "y" 5; "c" "a" "m" "v" 2; "d" "g" 4; "e" "w" 2;
"a" "a" "b" "i" "w" 2; "b" "y" 5; "c" "a" "m" "v" 2; "d" "g" 4; "e" "w" 2;
"a" "a" "b" "i" "w" 2; "b" "y" 5; "c" "a" "m" "v" 2; "d" "g" 4; "e" "w" 2;
"a" "a" "b" "i" "w" 2; "b" "y" 5; "c" "a" "m" "v" 2; "d" "g" 4; "e" "w" 2;
"a" "a" "b" "i" "w" 2; "b" "y" 5; "c" "a" "m" "v" 2; "d" "g" 4; "e" "w" 2;
"a" "a" "b" "i" "w" 2; "b" "y" 5; "c" "a" "m" "v" 2; "d" "g" 4; "e" "w" 2;
"a" "a" "b" "i" "w" 2; "b" "y" 5; "c" "a" "m" "v" 2; "d" "g" 4; "e" "w" 2;
"a" "a" "b" "i" "w" 2; "b" "y" 5; "c" "a" "m" "v" 2; "d" "g" 4; "e" "w" 2;
"a" "a" "b" "i" "w" 2; "b" "y" 5; "c" "a" "m" "v" 2; "d" "g" 4; "e" "j" "w" 2;
"a" "a" "b" "i" "w" 2; "b" "y" 5; "c" "a" "m" "v" 2; "d" "g" 4; "e" "f" "j" "w" 2;
"a" "a" "b" "i" "w" 2; "b" "m" "y" 5; "c" "a" "m" "v" 2; "d" "g" 4; "e" "f" "j" "w" 2;
"a" "a" "b" "i" "w" 2; "b" "m" "y" 5; "c" "a" "m" "v" 2; "d" "g" 4; "e" "f" "j" "w" 2;
"a" "a" "b" "i" "w" 2; "b" "m" "y" 5; "c" "a" "m" "v" 2; "d" "g" 4; "e" "f" "j" "w" 2;
"a" "a" "b" "i" "w" 2; "b" "m" "y" 5; "c" "a" "m" "v" 2; "d" "g" 4; "e" "f" "j" "w" 2;
"a" "a" "b" "i" "w" 2; "b" "i" "m" "y" 5; "c" "a" "m" "v" 2; "d" "g" 4; "e" "f" "j" "w" 2;
"a" "a" "b" "i" "w" 2; "b" "i" "m" "y" 5; "c" "a" "m" "v" 2; "d" "g" 4; "e" "f" "j" "w" 2;
"a" "a" "b" "i" "w" 2; "b" "i" "m" "y" 5; "c" "a" "m" "v" 2; "d" "g" 4; "e" "f" "j" "w" 2;
"a" "a" "b" "i" "w" 2; "b" "i" "m" "y" 5; "c" "a" "m" "v" 2; "d" "g" 4; "e" "f" "j" "w" 2;
"a" "a" "b" "i" "w" 2; "b" "i" "m" "y" 5; "c" "a" "m" "p" "v" 2; "d" "g" 4; "e" "f" "j" "w" 2;
"a" "a" 3; "b" "i" "m" "y" 5; "c" "a" "m" "p" "v" 2; "d" "g" 4; "e" "f" "j" "w" 2;
"a" "a" 3; "b" "i" "m" "y" 5; "c" "a" "e" "m" "p" "v" 2; "d" "g" 4; "e" "f" "j" "w" 2;
"a" "a" 3; "b" "i" "m" "y" 5; "c" "a" "e" "m" "p" "v" 2; "d" "g" 4; "e" "f" "j" "w" 2;
"a" "a" 3; "b" "i" "m" "y" 5; "c" "a" "e" "m" "p" "v" 2; "d" "g" 4; "e" "f" "j" "w" 2;
"a" "a" 3; "b" "i" "m" "y" 5; "c" "a" "e" "m" "p" "v" 2; "d" "g" 4; "e" "f" "j" "w" 2;
"a" "a" 3; "b" "i" "m" "y" 5; "c" "a" "e" "m" "p" "v" 2; "d" "g" 4; "e" "f" "j" "w" 2;
"a" "a" 3; "b" "i" "m" "y" 5; "c" "a" "e" "m" "p" "v" 2; "d" "g" 5; "e" "f" "j" "w" 2;
"a" "a" 3; "b" "i" "m" "y" 5; "c" "a" "e" "m" "p" "v" 2; "d" "g" 5; "e" "f" "j" "w" 2;
"a" "a" 3; "b" "i" "m" "y" 5; "c" "a" "e" "m" "p" "v" 2; "d" "g" 5; "e" "f" "j" "w" 2;
"a" "a" 3; "b" "i" "m" "y" 5; "c" "a" "e" "m" "p" "v" 2; "d" "g" 5; "e" "f" "j" "w" 2;
"a" "a" 3; "b" "i" "m" "y" 5; "c" "a" "e" "m" "p" "v" 2; "d" "g" 5; "e" "f" "j" "w" 2;
"a" "a" 3; "b" "i" "m" "y" 5; "c" "a" "e" "m" "p" "v" 2; "d" "g" 5; "e" "f" "j" "w" 2;
"a" "a" 3; "b" "i" "m" "y" 5; "c" "a" "e" "m" "p" "v" 2; "d" "g" 5; "e" "f" "j" "w" 2;
"a" "a" 3; "b" "i" "m" "y" 5; "c" "a" "e" "m" "p" "v" 2; "d" "g" 5; "e" "f" "j" "w" 2;
"a" "a" 3; "b" "i" "m" "y" 5; "c" "a" "e" "m" "p" "v" 2; "d" "g" 5; "e" "f" "j" "w" 2;
"a" "a" 3; "b" "i" "m" "y" 5; "c" "a" "e" "m" "p" "v" 2; "d" "g" 5; "e" "f" "j" "w" 2;
"a" "a" 3; "b" "i" "m" "y" 5; "c" "a" "e" "m" "p" "v" 2; "d" "g" 5; "e" "f" "j" "w" 2;
"a" "a" 3; "b" "i" "m" "y" 5; "c" "a" "e" "m" "p" "v" 2; "d" "g" 5; "e" "f" "j" "w" 2;
"a" "a" 3; "b" "i" "m" "y" 5; "c" "a" "e" "m" "p" "v" 2; "d" "g" 5; "e" "f" "j" "w" 2;
"a" "a" 3; "b" "i" "m" "y" 5; "c" "a" "e" "m" "p" "v" 2; "d" "g" 5; "e" "f" "j" "w" 2;
"a" "a" 3; "b" "i" "m" "y" 5; "c" "a" "e" "m" "p" "v" 2; "d" "g" 5; "e" "f" "j" "w" 2;
"a" "a" 3; "b" "i" "m" "y" 5; "c" "a" "e" "m" "p" "v" 2; "d" "g" 5; "e" "f" "j" "w" 2;
"a" "a" 3; "b" "i" "m" "y" 5; "c" "a" "e" "m" "p" "v" 2; "d" "g" 5; "e" "f" "j" "w" 2;
"a" "a" 3; "b" "i" "m" "y" 5; "c" "a" "e" "m" "p" "v" 2; "d" "g" 5; "e" "f" "j" "w" 2;
"a" "a" 3; "b" "i" "m" "y" 5; "c" "a" "e" "m" "p" "v" 2; "d" "g" 5; "e" "f" "j" "w" 2;
"a" "a" 3; "b" "i" "m" "y" 5; "c" "a" "e" "m" "p" "v" 2; "d" "g" 5; "e" "f" "j" "w" 2;
"a" "a" 3; "b" "i" "m" "y" 5; "c" "a" "e" "m" "p" "v" 2; "d" "g" 5; "e" "f" "j" "w" 2;
"a" "a" 3; "b" "i" "m" "y" 5; "c" "a" "e" "m" "p" "v" 2; "d" "g" 5; "e" "f" "j" "w" 2;
"a" "a" 3; "b" "i" "m" "y" 5; "c" "a" "e" "m" "p" "v" 2; "d" "g" 5; "e" "f" "j" "w" 2;
"a" "a" 3; "b" "i" "m" "y" 5; "c" "a" "e" "m" "p" "v" 2; "d" "g" 5; "e" "f" "j" "w" 2;
"a" "a" 3; "b" "i" "m" "y" 5; "c" "a" "e" "m" "p" "v" 2; "d" "g" 5; "e" "f" "j" "w" 2;
"a" "a" 3; "b" "i" "m" "y" 5; "c" "a" "e" "m" "p" "v" 2; "d" "g" 5; "e" "f" "j" "w" 2;
"a" "a" 3; "b" "i" "m" "y" 5; "c" "a" "e" "m" "p" "v" 2; "d" "g" 5; "e" "f" "j" "w" 2;
"a" "a" 3; "b" "i" "m" "y" 5; "c" "a" "e" "m" "p" "v" 2; "d" "g" 5; "e" "f" "j" "w" 2;
"a" "a" 3; "b" "i" "m" "y" 5; "c" "p" 3; "d" "g" 5; "e" "f" "j" "w" 2;
"a" "a" 3; "b" "i" "m" "y" 5; "c" "p" 3; "d" "g" 5; "e" "f" "j" "w" 2;
"a" "a" 3; "b" "i" "m" "y" 5; "c" "p" 3; "d" "g" 5; "e" "f" "j" "w" 2;
"a" "a" 3; "b" "i" "m" "y" 5; "c" "p" 3; "d" "g" 5; "e" "f" "j" "w" 2;
"a" "a" 3; "b" "i" "m" "y" 5; "c" "p" 3; "d" "g" 5; "e" "f" "j" "w" 2;
"a" "a" 3; "b" "i" "m" "y" 5; "c" "p" 3; "d" "g" 5; "e" "f" "j" "w" 2;
"a" "a" 3; "b" "i" "m" "y" 5; "c" "p" 3; "d" "g" 5; "e" "f" "j" "v" "w" 2;
"a" "a" 3; "b" "i" "m" "y" 5; "c" "p" 3; "d" "g" 5; "e" "f" "j" "v" "w" 2;
"a" "a" 3; "b" "i" "m" "y" 5; "c" "p" 3; "d" "g" 5; "e" "f" "j" "v" "w" 2;
"a" "a" 3; "b" "i" "m" "y" 5; "c" "p" 4; "d" "g" 5; "e" "f" "j" "v" "w" 2;
"a" "a" 3; "b" "i" "m" "y" 5; "c" "p" 4; "d" "g" 5; "e" "f" "j" "v" "w" 2;
"a" "a" 3; "b" "i" "m" "y" 5; "c" "p" 4; "d" "g" 5; "e" "f" "j" "v" "w" 2;
"a" "a" 3; "b" "i" "m" "y" 5; "c" "p" 4; "d" "g" 5; "e" "f" "j" "v" "w" 2;
"a" "a" 3; "b" "i" "m" "y" 5; "c" "p" 4; "d" "g" 5; "e" "f" "j" "v" "w" 2;
"a" "a" 3; "b" "i" "m" "y" 5; "c" "p" 4; "d" "g" 5; "e" "f" 3;
"a" "a" 3; "b" "i" "m" "y" 5; "c" "p" 4; "d" "g" 5; "e" "f" 3;
"a" "a" 3; "b" "i" "m" "y" 5; "c" "p" 4; "d" "g" 5; "e" "f" 3;
"a" "a" 3; "b" "i" "m" "y" 5; "c" "p" 4; "d" "g" 5; "e" "f" 3;
"a" "a" 3; "b" "i" "m" "y" 5; "c" "p" 4; "d" "g" 5; "e" "f" 3;
"a" "a" 3; "b" "i" "m" "y" 5; "c" "p" 4; "d" "g" 5; "e" "f" 3;
"a" "a" 3; "b" "i" "m" "y" 5; "c" "p" 4; "d" "g" 5; "e" "f" 3;
"a" "a" "i" 3; "b" "i" "m" "y" 5; "c" "p" 4; "d" "g" 5; "e" "f" 3;
"a" "a" "i" 3; "b" "i" "m" "y" 5; "c" "p" 4; "d" "g" 5; "e" "f" 3;
"a" "a" "i" 3; "b" "i" "m" "y" 5; "c" "p" 4; "d" "g" 5; "e" "f" "v" 3;
"a" "a" "i" 3; "b" "i" "m" "y" 5; "c" "p" 4; "d" "g" 5; "e" "f" "v" 3;
"a" "a" "i" 3; "b" "i" "m" "y" 5; "c" "p" 4; "d" "g" 5; "e" "f" "v" 3;
"a" "a" "i" 3; "b" "i" "m" "y" 5; "c" "p" 4; "d" "g" 5; "e" "f" "v" 3;
"a" "a" "i" 3; "b" "i" "m" "y" 5; "c" "p" 4; "d" "g" 5; "e" "f" "v" "w" 3;
"a" "a" "i" 3; "b" "i" "m" "y" 5; "c" "p" 4; "d" "g" 5; "e" "v" 4;
"a" "a" "i" 3; "b" "i" "m" "y" 5; "c" "p" 4; "d" "g" 5; "e" "v" 4;
"a" "a" "i" 3; "b" "i" "m" "y" 5; "c" "p" 4; "d" "g" 5; "e" "v" 4;
"a" "a" "i" 3; "b" "i" "m" "y" 5; "c" "p" 4; "d" "g" 5; "e" "v" 4;
"a" "a" "i" 3; "b" "i" "m" "y" 5; "c" "p" 4; "d" "g" 5; "e" "v" 4;
"a" "a" "i" 3; "b" "i" "m" "y" 5; "c" "p" 4; "d" "g" 5; "e" "v" 4;
"a" "a" "i" 3; "b" "i" "m" "y" 5; "c" "p" 4; "d" "g" 5; "e" "v" 4;
"a" "a" "i" 3; "b" "i" "m" "y" 5; "c" "p" 4; "d" "g" 5; "e" "v" 4;
"a" "a" "i" 3; "b" "i" "m" "y" 5; "c" "p" 4; "d" "g" 5; "e" "v" 4;
"a" "a" "i" 3; "b" "i" "m" "y" 5; "c" "p" 4; "d" "g" 6; "e" "v" 4;
"a" "a" "i" 3; "b" "i" "m" "y" 5; "c" "p" 4; "d" "g" 6; "e" "v" 4;
"a" "a" "i" 3; "b" "i" "m" 5; "c" "p" 4; "d" "g" 6; "e" "v" 4;
"a" "a" "i" 3; "b" "i" "m" 5; "c" "p" 4; "d" "g" 6; "e" "v" 4;
"a" "a" "i" 3; "b" "i" "m" 5; "c" "p" 4; "d" "g" 6; "e" "v" 4;
"a" "a" "i" 3; "b" "i" "m" 5; "c" "p" 4; "d" "g" 6; "e" "v" 4;
"a" "a" "i" 3; "b" "i" "m" 5; "c" "p" 4; "d" "g" 6; "e" "v" 4;
"a" "a" "i" 3; "b" "i" "m" 5; "c" "p" 4; "d" "g" 6; "e" "v" 4;
"a" "a" "i" 3; "b" "i" "m" 5; "c" "p" 4; "d" "g" 6; "e" "v" 4;
"a" "a" "i" 3; "b" "i" "m" 5; "c" "p" 4; "d" "g" 6; "e" "v" 4;
"a" "a" "i" "m" 3; "b" "i" "m" 5; "c" "p" 4; "d" "g" 6; "e" "v" 4;
"a" "a" "i" "m" 3; "b" "i" "m" 5; "c" "p" 4; "d" "g" 6; "e" "v" 4;
"a" "a" "i" "m" 3; "b" "i" "m" 5; "c" "p" 4; "d" "g" 6; "e" "v" 4;
"a" "a" "i" "m" 3; "b" "i" "m" 5; "c" "p" 4; "d" "g" 6; "e" "v" 4;
"a" "a" "i" "m" 3; "b" "i" "m" 5; "c" "p" 3; "d" "g" 6; "e" "v" 4;
"a" "a" "i" "m" 3; "b" "i" "m" 5; "c" "p" 3; "d" "g" 6; "e" "v" 4;
"a" "a" "i" "m" 3; "b" "i" "m" 5; "c" "p" 3; "d" "g" 6; "e" "v" 4;
"a" "a" "i" "m" 3; "b" "i" "m" 5; "c" "p" 3; "d" "g" 6; "e" "v" 4;
"a" "a" "i" "m" 3; "b" "i" "m" 5; "c" "p" 3; "d" "g" 6; "e" "v" 4;
"a" "a" "i" "m" 3; "b" "i" "m" 5; "c" "p" 3; "d" "g" 6; "e" "v" 4;
"a" "a" "i" "m" 3; "b" "i" "m" 5; "c" "p" 3; "d" "g" 6; "e" "v" 4;
"a" "a" "i" "m" 3; "b" "i" "m" 5; "c" "p" 3; "d" "g" 6; "e" "v" 4;
"a" "a" "i" "m" 3; "b" "i" "m" 5; "c" "p" 3; "d" "g" 6; "e" "v" 4;
"a" "a" "i" "m" 3; "b" "i" "m" 5; "c" "p" 3; "d" "g" 6; "e" "v" 4;
"a" "a" "i" "m" 3; "b" "i" "m" 5; "c" "p" 3; "d" "g" 6; "e" "v" "x" 4;
"a" "a" "i" "m" 3; "b" "i" "m" 5; "c" "p" 3; "d" "g" 6; "e" "v" "x" 4;
"a" "a" "i" "m" 3; "b" "i" "m" 5; "c" "p" 3; "d" "g" 6; "e" "v" "x" 4;
"a" "a" "i" "m" 3; "b" "i" "m" 5; "c" "p" 3; "d" "g" 6; "e" "v" "x" 4;
"a" "a" "i" "m" 3; "b" "i" "m" 5; "c" "p" 3; "d" "g" 6; "e" "v" "x" 4;
"a" "a" "i" "m" 3; "b" "i" "m" 5; "c" "p" 3; "d" "g" 6; "e" "v" "x" 4;
"a" "a" "i" "m" 3; "b" "i" "m" 5; "c" "p" 3; "d" "g" 6; "e" "v" "x" 4;
"a" "a" "i" "m" 3; "b" "i" "m" 5; "c" "p" 3; "d" "g" 6; "e" "v" "x" 4;
"a" "a" "i" "m" 3; "b" "i" "m" 5; "c" "p" 3; "d" "g" 6; "e" "v" "x" 4;
"a" "a" "i" "m" 3; "b" "i" "m" 5; "c" "p" 3; "d" "g" 6; "e" "v" "x" 4;
"a" "a" "i" "m" 3; "b" "i" "m" "y" 5; "c" "p" 3; "d" "g" 6; "e" "v" "x" 4;
"a" "a" "i" "m" 3; "b" "i" "m" "y" 5; "c" "p" 3; "d" "g" 6; "e" "v" "x" 4;
"a" "a" "i" "m" 3; "b" "i" "m" "y" 5; "c" "p" 3; "d" "g" 6; "e" "v" "x" 4;
"a" "a" "i" "m" 3; "b" "i" "m" "y" 5; "c" "p" 3; "d" "g" 6; "e" "v" "x" 4;
"a" "a" "i" "m" 3; "b" "i" "m" "y" 5; "c" "p" 3; "d" "g" 6; "e" "v" "x" 4;
"a" "a" "i" "m" 3; "b" "i" "m" "y" 5; "c" "p" 3; "d" "g" 6; "e" "v" "x" 4;
