none
none
none
none
none
none
none
none
none
none
none
none
none
"c" "e" 1;
"c" "e" 1;
"c" "e" 1;
"c" "e" 1;
"a" "x" 1; "c" "e" "m" 1;
"a" "x" 1; "c" "e" "m" 1;
"a" "x" 1; "c" "e" "m" 1;
"a" "x" 1; "b" "s" 1; "c" "e" "m" 1;
"a" "x" 1; "b" "s" 1; "c" "e" "m" 1; "d" "g" 1;
"a" "x" 1; "b" "s" 1; "c" "e" "m" 1; "d" "g" 1;
"a" "j" "x" 1; "b" "s" 1; "c" "e" "m" 1; "d" "g" 1;
"a" "j" "x" 1; "b" "s" 1; "c" "e" "m" 1; "d" "g" 1;
"a" "j" "x" 1; "b" "s" 1; "c" "e" "m" 1; "d" "g" 1;
"a" "j" "x" 1; "b" "s" 1; "c" "e" "m" 1; "d" "g" 1;
"a" "j" "x" 1; "b" "s" 1; "c" "e" "m" 1; "d" "g" 1;
"a" "j" "x" 1; "b" "s" 1; "c" "e" "m" 1; "d" "g" 1;
"a" "j" "x" 1; "b" "s" 1; "c" "e" "m" 1; "d" "g" 1;
"a" "j" "x" 1; "b" "s" 1; "c" "e" "m" 1; "d" "g" 1;
"a" "j" "x" 1; "b" "s" 1; "c" "e" 2; "d" "g" "w" 1;
"a" "j" "x" 1; "b" "s" 1; "c" "e" 2; "d" "g" "w" 1;
"a" "j" "x" 1; "b" "s" 1; "c" "e" 2; "d" "g" "w" 1;
"a" "j" "x" 1; "b" "s" 1; "c" "e" 2; "d" "g" "w" 1;
"a" "j" "x" 1; "b" "s" 1; "c" "e" 2; "d" "g" "w" 1;
"a" "j" "s" "x" 1; "b" "s" 1; "c" "e" 2; "d" "g" "w" 1;
"a" "j" "s" "x" 1; "b" "s" 1; "c" "e" 2; "d" "g" "w" 1;
"a" "l" 4; "b" "i" 2; "c" "e" "x" 4; "d" "w" 3; "e" "v" 3;
"a" "l" 4; "b" "i" 2; "c" "e" "x" 4; "d" "w" 3; "e" "v" 3;
"a" "l" 4; "b" "c" "i" 2; "c" "e" "x" 4; "d" "w" 3; "e" "v" 3;
"a" "l" 4; "b" "c" "i" 2; "c" "e" "x" 4; "d" "w" 3; "e" "v" 3;
"a" "l" 4; "b" "c" "i" 2; "c" "e" "x" 4; "d" "w" 3; "e" "v" 3;
"a" "l" 4; "b" "c" "i" 2; "c" "e" "x" 4; "d" "w" 3; "e" "v" 3;
"a" "l" 4; "b" "c" "i" 2; "c" "e" "x" 4; "d" "w" 3; "e" "v" 3;
"a" "l" 4; "b" "c" "i" 2; "c" "e" "x" 4; "d" "w" 3; "e" "v" 3;
"a" "l" 4; "b" "c" "i" 2; "c" "e" "x" 4; "d" "w" 3; "e" "v" 3;
"a" "l" 4; "b" "c" "i" 2; "c" "e" "x" 4; "d" "w" 3; "e" "v" 3;
"a" "l" 4; "b" "c" "i" 2; "c" "e" "x" 4; "d" "w" 3; "e" "v" 4;
"a" "l" 4; "b" "c" "i" 2; "c" "e" "x" 4; "d" "w" 3; "e" "v" 4;
"a" "l" 4; "b" "c" "i" 2; "c" "e" "x" 4; "d" "w" 3; "e" "v" 4;
"a" "l" 4; "b" "c" "i" 2; "c" "e" "x" 4; "d" "w" 3; "e" "v" 4;
"a" "l" 4; "b" "i" 3; "c" "e" "x" 4; "d" "w" 3; "e" "v" 4;
"a" "l" 4; "b" "i" 3; "c" "e" "x" 4; "d" "w" 3; "e" "v" 4;
"a" "l" 4; "b" "i" 3; "c" "e" "x" 4; "d" "w" 3; "e" "v" 4;
"a" "l" 4; "b" "i" 3; "c" "e" "x" 4; "d" "w" 3; "e" "v" 4;
"a" "l" 4; "b" "i" 3; "c" "e" "x" 4; "d" "w" 3; "e" "v" 4;
"a" "l" 4; "b" "i" 3; "c" "e" "x" 4; "d" "w" 3; "e" "v" 4;
"a" "l" 4; "b" "i" 3; "c" "e" "x" 4; "d" "w" 3; "e" "v" 4;
"a" "l" 4; "b" "i" 3; "c" "e" "x" 4; "d" "w" 3; "e" "v" 4;
"a" "l" 4; "b" "i" 3; "c" "e" "x" 4; "d" "w" 3; "e" "v" 4;
"a" "l" 4; "b" "i" 3; "c" "e" "x" 4; "d" "w" 3; "e" "v" 4;
"a" "l" 4; "b" "i" 3; "c" "e" "x" 4; "d" "w" 3; "e" "v" 4;
"a" "l" 4; "b" "i" 3; "c" "e" "x" 4; "d" "w" 3; "e" "v" 4;
"a" "l" 4; "b" "i" 3; "c" "e" "x" 4; "d" "w" 3; "e" "v" 4;
"a" "l" 4; "b" "i" 3; "c" "e" "x" 4; "d" "w" 3; "e" "v" 4;
"a" "l" 4; "b" "i" 3; "c" "e" "x" 4; "d" "w" 3; "e" "v" 4;
"a" "l" 4; "b" "i" 3; "c" "e" "x" 4; "d" "w" 3; "e" "v" 4;
"a" "l" 4; "b" "i" 3; "c" "e" "x" 4; "d" "w" 3; "e" "v" 4;
"a" "l" 4; "b" "i" 3; "c" "e" "x" 4; "d" "w" 3; "e" "v" 4;
"a" "l" 4; "b" "i" 3; "c" "e" "x" 4; "d" "w" 3; "e" "v" 4;
"a" "l" 4; "b" "i" 3; "c" "e" "x" 4; "d" "w" 3; "e" "v" 4;
"a" "l" 4; "b" "i" 3; "c" "e" "x" 4; "d" "w" 3; "e" "v" 4;
"a" "l" 4; "b" "i" 3; "c" "e" "x" 4; "d" "w" 3; "e" "v" 4;
"a" "l" 4; "b" "i" 3; "c" "e" "x" 4; "d" "w" 3; "e" "v" 4;
"a" "l" 4; "b" "i" 3; "c" "e" "x" 4; "d" "w" 3; "e" "v" 4;
"a" "l" 4; "b" "i" 3; "c" "e" "x" 4; "d" "w" 3; "e" "v" 4;
"a" "l" 4; "b" "i" 3; "c" "e" 5; "d" "w" 3; "e" "v" 4;
"a" "l" 4; "b" "i" 3; "c" "e" 5; "d" "w" 3; "e" "v" 4;
"a" "l" 4; "b" "i" 3; "c" "e" 5; "d" "w" 3; "e" "v" 4;
"a" "l" 4; "b" "i" 3; "c" "e" 5; "d" "w" 3; "e" "v" 4;
"a" "l" 4; "b" "i" 3; "c" "e" 5; "d" "w" 3; "e" "v" 4;
"a" "l" 4; "b" "i" 3; "c" "e" 5; "d" "w" 3; "e" "v" 4;
"a" "l" 4; "b" "i" 3; "c" "e" 5; "d" "w" 3; "e" "v" 4;
"a" "l" 4; "b" "i" 3; "c" "e" 5; "d" "w" 3; "e" "v" 4;
"a" "l" 4; "b" "i" 3; "c" "e" 5; "d" "w" 3; "e" "v" 4;
"a" "l" 4; "b" "i" 3; "c" "e" 5; "d" "w" 3; "e" "v" 4;
"a" "l" 4; "b" "i" 3; "c" "e" 5; "d" "w" 3; "e" "v" 4;
"a" "l" 4; "b" "i" 3; "c" "e" 5; "d" "w" 3; "e" "v" 4;
"a" "l" 4; "b" "i" 3; "c" "e" 5; "d" "w" 3; "e" "v" 4;
"a" "l" 4; "b" "i" 3; "c" "e" 5; "d" "w" 3; "e" "v" 4;
"a" "l" 4; "b" "i" 3; "c" "e" 5; "d" "w" 3; "e" "v" 4;
"a" "l" 4; "b" "i" 3; "c" "e" 5; "d" "w" 3; "e" "v" 4;
"a" "l" 4; "b" "i" 3; "c" "e" 5; "d" "w" 3; "e" "v" 4;
"a" "l" 4; "b" "i" 3; "c" "e" 5; "d" "w" 3; "e" "v" 4;
"a" "l" 4; "b" "i" 3; "c" "e" 5; "d" "w" 3; "e" "v" 4;
"a" "l" 4; "b" "i" 3; "c" "e" 5; "d" "w" 3; "e" "v" 4;
"a" "l" 4; "b" "i" 3; "c" "e" 5; "d" "w" 3; "e" "v" 4;
"a" "l" 4; "b" "i" 3; "c" "e" 5; "d" "w" 3; "e" "v" 4;
"a" "l" 4; "b" "a" "i" 3; "c" "e" 5; "d" "w" 3; "e" "v" 4;
"a" "l" 4; "b" "a" "i" 3; "c" "e" 5; "d" "w" 3; "e" "v" 4;
"a" "l" "x" 4; "b" "a" "i" 3; "c" "e" 5; "d" "w" 3; "e" "v" 4;
"a" "l" "x" 4; "b" "a" "i" 3; "c" "e" 5; "d" "d" "w" 3; "e" "v" 4;
"a" "l" "x" 4; "b" "a" "i" 3; "c" "e" 5; "d" "d" "w" 3; "e" "v" 4;
"a" "l" "x" 4; "b" "a" "i" 3; "c" "e" 5; "d" "d" "w" 3; "e" "v" 4;
"a" "l" "x" 4; "b" "a" "i" 3; "c" "e" 5; "d" "d" "w" 3; "e" "v" 4;
"a" "l" "x" 4; "b" "a" "i" "t" 3; "c" "e" 5; "d" "d" "w" 3; "e" "v" 4;
"a" "l" "x" 4; "b" "a" "i" "t" 3; "c" "e" 5; "d" "d" "w" 3; "e" "v" 4;
"a" "l" "x" 4; "b" "a" "i" "t" 3; "c" "e" 5; "d" "d" "w" 3; "e" "v" 4;
"a" "l" "x" 4; "b" "a" "i" "t" 3; "c" "e" 5; "d" "d" "w" 3; "e" "v" 4;
"a" "l" "x" 4; "b" "a" "i" "t" 3; "c" "e" 5; "d" "d" "w" 3; "e" "v" 4;
"a" "l" "x" 4; "b" "a" "i" "t" 3; "c" "e" 5; "d" "d" "w" 3; "e" "i" "v" 4;
"a" "l" "x" 4; "b" "a" "i" "t" 3; "c" "e" 5; "d" "d" "w" 3; "e" "i" "v" 4;
"a" "l" "x" 4; "b" "a" "i" "t" 3; "c" "e" 5; "d" "d" "w" 3; "e" "i" "v" 4;
"a" "l" "x" 4; "b" "a" "i" "t" 3; "c" "e" 5; "d" "d" "w" 3; "e" "i" "v" 4;
"a" "l" "x" 4; "b" "a" "i" "t" 3; "c" "e" 5; "d" "d" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "a" "i" "t" 3; "c" "e" 5; "d" "d" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "a" "i" "t" 3; "c" "e" 5; "d" "d" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "a" "i" "t" 3; "c" "e" 5; "d" "d" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "a" "i" "t" 3; "c" "e" 5; "d" "d" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "a" "i" "t" 3; "c" "e" 5; "d" "d" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "a" "i" "t" 3; "c" "e" 5; "d" "d" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "a" "i" "t" 3; "c" "e" 5; "d" "d" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "a" "i" "t" 3; "c" "e" 5; "d" "d" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "a" "i" "t" 3; "c" "e" 5; "d" "d" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "a" "i" "t" 3; "c" "e" 5; "d" "d" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "a" "i" "t" 3; "c" "e" 5; "d" "d" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "a" "i" "t" 3; "c" "e" 5; "d" "d" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "a" "i" "t" 3; "c" "e" 5; "d" "d" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "a" "i" "t" 3; "c" "e" 5; "d" "d" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "a" "i" "t" 3; "c" "e" 5; "d" "d" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "a" "i" "t" 3; "c" "e" "t" 5; "d" "d" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "a" "i" "t" 3; "c" "e" "t" 5; "d" "d" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "a" "i" "t" 3; "c" "e" "t" 5; "d" "d" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "a" "i" "t" 3; "c" "e" "t" 5; "d" "d" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "a" "i" "t" 3; "c" "e" "t" 5; "d" "d" "m" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "a" "i" "t" 3; "c" "e" "t" 5; "d" "d" "m" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "a" "h" "i" "t" 3; "c" "e" "t" 5; "d" "d" "m" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "a" "h" "i" "t" 3; "c" "e" "t" 5; "d" "d" "m" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "a" "h" "i" "t" 3; "c" "e" "t" 5; "d" "d" "m" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "a" "h" "i" "t" 3; "c" "e" "t" 5; "d" "d" "m" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "i" 4; "c" "e" "t" 5; "d" "d" "m" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "i" 4; "c" "e" "t" 5; "d" "d" "m" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "i" 4; "c" "e" "t" 5; "d" "d" "m" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "i" 4; "c" "t" 6; "d" "d" "m" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "i" 4; "c" "t" 6; "d" "d" "m" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "i" 4; "c" "t" 6; "d" "d" "m" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "i" 4; "c" "t" 6; "d" "d" "m" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "i" 4; "c" "t" 6; "d" "d" "m" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "i" 4; "c" "t" 6; "d" "d" "m" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "i" 4; "c" "t" 6; "d" "d" "m" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "i" 4; "c" "t" 6; "d" "d" "m" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "i" 4; "c" "t" 6; "d" "d" "m" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "i" 4; "c" "t" 6; "d" "d" "m" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "i" 4; "c" "t" 6; "d" "d" "m" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "i" 4; "c" "t" 6; "d" "d" "m" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "i" 4; "c" "t" 6; "d" "d" "m" "q" "w" 3; "e" "i" "v" "y" 4;
