none
none
none
none
none
none
none
none
none
none
none
none
none
"a" "y" 1; "d" "y" 1;
"a" "y" 1; "d" "y" 1;
"a" "y" 1; "d" "y" 1; "e" "s" 1;
"a" "y" 1; "d" "y" 1; "e" "s" 1;
"a" "y" 1; "c" "h" 1; "d" "y" 1; "e" "n" "q" "s" 1;
"a" "y" 1; "c" "h" 1; "d" "y" 1; "e" "n" "q" "s" 1;
"a" "y" 1; "c" "h" 1; "d" "y" 1; "e" "n" "q" "s" 1;
"a" "y" 1; "c" "h" 1; "d" "y" 1; "e" "n" "q" "s" 1;
"a" "y" 1; "c" "h" 1; "d" "y" 1; "e" "n" "q" "s" 1;
"a" "y" 4; "b" "n" "p" "u" 2; "c" "z" 3; "d" "y" 3; "e" "b" "g" "h" "p" "s" 2;
"a" "y" 4; "b" "n" "p" "u" 2; "c" "z" 3; "d" "y" 3; "e" "b" "g" "h" "p" "s" 2;
"a" "y" 3; "b" "e" "n" "p" "u" 2; "c" "z" 3; "d" "y" 3; "e" "b" 3;
"a" "k" "y" 3; "b" "e" "n" "p" "u" 2; "c" "z" 3; "d" "y" 3; "e" "b" 3;
"a" "k" "y" 3; "b" "e" "n" "p" "u" 2; "c" "z" 3; "d" "y" 3; "e" "b" 3;
"a" "k" "y" 3; "b" "e" "n" "p" "u" 2; "c" "z" 3; "d" "y" 3; "e" "b" 3;
"a" "k" "y" 3; "b" "e" "n" "p" "u" 2; "c" "z" 3; "d" "y" 3; "e" "b" 3;
"a" "k" "y" 3; "b" "e" "n" "p" "u" 2; "c" "z" 3; "d" "y" 3; "e" "b" 3;
"a" "k" "y" 3; "b" "e" "n" "p" "u" 2; "c" "z" 3; "d" "y" 3; "e" "b" 3;
"a" "k" "y" 3; "b" "e" "n" "p" "u" 2; "c" "z" 3; "d" "y" 3; "e" "b" 3;
"a" "k" "y" 3; "b" "e" "n" "p" "u" 2; "c" "z" 3; "d" "y" 3; "e" "b" 3;
"a" "k" "y" 3; "b" "e" "n" "p" "u" 2; "c" "z" 3; "d" "y" 3; "e" "b" 3;
"a" "k" "y" 3; "b" "e" "n" "p" "u" 2; "c" "z" 3; "d" "y" 3; "e" "b" 3;
"a" "k" "y" 3; "b" "e" "n" "p" "u" 2; "c" "z" 3; "d" "y" 3; "e" "b" 3;
"a" "k" "y" 3; "b" "e" "n" "p" "u" 2; "c" "z" 3; "d" "y" 3; "e" "b" 3;
"a" "k" "y" 3; "b" "e" "n" "p" "u" 2; "c" "x" "z" 3; "d" "y" 3; "e" "b" 3;
"a" "k" "y" 3; "b" "e" "n" "p" "u" 2; "c" "x" "z" 3; "d" "y" 3; "e" "b" 3;
"a" "k" "y" 3; "b" "e" "n" "p" "u" 2; "c" "x" "z" 3; "d" "y" 3; "e" "b" 3;
"a" "k" "y" 3; "b" "e" "n" "p" "u" 2; "c" "x" "z" 3; "d" "y" 3; "e" "b" 3;
"a" "k" "y" 3; "b" "e" "n" "p" "u" 2; "c" "x" "z" 3; "d" "y" 3; "e" "b" 3;
"a" "k" "y" 3; "b" "e" "n" "p" "u" 2; "c" "x" "z" 3; "d" "y" 3; "e" "b" 3;
"a" "k" "y" 3; "b" "c" "e" "n" "p" "u" 2; "c" "x" "y" "z" 3; "d" "y" 3; "e" "b" 3;
"a" "k" "y" 3; "b" "c" "e" "n" "p" "u" 2; "c" "x" "y" "z" 3; "d" "y" 3; "e" "b" 3;
"a" "k" "y" 3; "b" "c" "e" "j" "n" "p" "u" 2; "c" "x" "y" "z" 3; "d" "y" 3; "e" "b" "h" 3;
"a" "k" "y" 3; "b" "c" "e" "j" "n" "p" "u" 2; "c" "x" "y" "z" 3; "d" "y" 3; "e" "b" "h" 3;
"a" "k" "y" 3; "b" "c" "e" "j" "n" "p" "u" 2; "c" "x" "y" "z" 3; "d" "y" 3; "e" "b" "h" 3;
"a" "k" "y" 3; "b" "c" "e" "j" "n" "p" "u" "v" 2; "c" "x" "y" "z" 3; "d" "n" "y" 3; "e" "b" "h" 3;
"a" "k" "y" 3; "b" "c" "e" "j" "n" "p" "u" "v" 2; "c" "x" "y" "z" 3; "d" "n" "y" 3; "e" "b" "h" 3;
"a" "k" "y" 3; "b" "c" "e" "j" "n" "p" "u" "v" 2; "c" "x" "y" "z" 3; "d" "n" "y" 3; "e" "b" "h" 3;
"a" "k" "y" 3; "b" "c" "e" "j" "n" "p" "u" "v" 2; "c" "x" "y" "z" 3; "d" "n" "y" 3; "e" "b" "h" 3;
"a" "k" "y" 3; "b" "c" "e" "j" "n" "p" "u" "v" 2; "c" "x" "y" "z" 3; "d" "n" "y" 3; "e" "b" "h" 3;
"a" "k" "y" 3; "b" "c" "e" "j" "n" "p" "u" "v" 2; "c" "x" "y" "z" 3; "d" "n" "y" 3; "e" "b" "h" 3;
"a" "k" "y" 3; "b" "c" "e" "j" "n" "p" "u" "v" 2; "c" "x" "y" "z" 3; "d" "n" "y" 3; "e" "b" "h" 3;
"a" "k" "y" 3; "b" "c" "e" "j" "n" "p" "u" "v" 2; "c" "x" "y" "z" 3; "d" "n" "y" 3; "e" "b" "h" 3;
"a" "k" "y" 3; "b" "c" "e" "j" "n" "p" "u" "v" 2; "c" "x" "y" "z" 3; "d" "n" "y" 3; "e" "b" "h" 3;
"a" "k" "y" 3; "b" "c" "e" "j" "n" "p" "u" "v" 2; "c" "x" "y" "z" 3; "d" "n" "y" 3; "e" "b" "h" 3;
"a" "k" "y" 3; "b" "c" "e" "j" "n" "p" "u" "v" 2; "c" "x" "y" "z" 3; "d" "n" "y" 3; "e" "b" "h" 3;
"a" "k" "y" 3; "b" "c" "e" "j" "n" "p" "u" "v" 2; "c" "x" "y" "z" 3; "d" "n" "y" 3; "e" "b" "h" 3;
"a" "k" "y" 3; "b" "u" 3; "c" "x" "y" "z" 3; "d" "n" "y" 3; "e" "b" "h" 3;
"a" "k" "y" 3; "b" "u" 3; "c" "x" "y" "z" 3; "d" "n" "y" 3; "e" "b" "g" "h" 3;
"a" "k" "y" 3; "b" "u" 3; "c" "x" "y" "z" 3; "d" "n" "y" 3; "e" "b" "g" "h" 3;
"a" "k" "y" 3; "b" "u" 3; "c" "x" "y" "z" 3; "d" "n" "y" 3; "e" "b" "g" "h" 3;
"a" "k" "y" 3; "b" "u" 3; "c" "x" "y" "z" 3; "d" "n" "y" 3; "e" "b" "g" "h" "p" 3;
"a" "k" "y" 3; "b" "u" 3; "c" "x" "y" "z" 3; "d" "n" "y" 3; "e" "b" "g" "h" "p" 3;
"a" "k" "y" 3; "b" "u" 3; "c" "x" "y" "z" 3; "d" "n" "y" 3; "e" "b" "g" "h" "p" 3;
"a" "k" "y" 3; "b" "u" 3; "c" "x" "y" "z" 3; "d" "y" 4; "e" "b" "g" "h" "p" "q" 3;
"a" "k" "y" 3; "b" "u" 3; "c" "x" "y" "z" 3; "d" "y" 4; "e" "b" "g" "h" "p" "q" 3;
"a" "k" "y" 3; "b" "u" 3; "c" "y" 4; "d" "y" 4; "e" "b" "g" "h" "p" "q" 3;
"a" "k" "y" 3; "b" "u" 3; "c" "y" 4; "d" "y" 4; "e" "b" "g" "h" "p" "q" 3;
"a" "k" "y" 3; "b" "u" 3; "c" "y" 4; "d" "y" 4; "e" "b" "g" "h" "p" "q" 3;
"a" "k" "y" 3; "b" "u" 3; "c" "y" 4; "d" "y" 4; "e" "b" "g" "h" "p" "q" 3;
"a" "k" "y" 3; "b" "u" 3; "c" "y" 4; "d" "y" 4; "e" "b" "g" "h" "p" "q" 3;
"a" "k" "y" 3; "b" "u" 3; "c" "y" 4; "d" "y" 4; "e" "b" "g" "h" "p" "q" 3;
"a" "k" "y" 3; "b" "u" 3; "c" "y" 4; "d" "y" 4; "e" "b" "g" "h" "p" "q" 3;
"a" "k" "y" 3; "b" "u" 3; "c" "y" 4; "d" "y" 4; "e" "b" "g" "h" "p" "q" 3;
"a" "y" 4; "b" "u" 3; "c" "y" 4; "d" "y" 4; "e" "b" "g" "h" "p" "q" 3;
"a" "y" 4; "b" "u" 3; "c" "y" 4; "d" "y" 4; "e" "b" "g" "h" "p" "q" 3;
"a" "y" 4; "b" "u" 3; "c" "y" 4; "d" "y" 4; "e" "b" "g" "h" "p" "q" 3;
"a" "y" 4; "b" "u" 3; "c" "y" 4; "d" "y" 4; "e" "b" "g" "h" "p" "q" 3;
"a" "y" 4; "b" "u" 3; "c" "y" 4; "d" "y" 4; "e" "b" "g" "h" "p" "q" 3;
"a" "y" 4; "b" "u" 3; "c" "y" 4; "d" "y" 4; "e" "b" "g" "h" "p" "q" 3;
"a" "y" 4; "b" "u" 3; "c" "y" 4; "d" "y" 4; "e" "b" "g" "h" "p" "q" 3;
"a" "y" 4; "b" "u" 3; "c" "y" 4; "d" "y" 4; "e" "p" 4;
"a" "y" 4; "b" "u" 3; "c" "y" 4; "d" "y" 4; "e" "p" 4;
"a" "y" 4; "b" "u" 3; "c" "y" 4; "d" "y" 4; "e" "p" 4;
"a" "y" 4; "b" "u" 3; "c" "y" 4; "d" "y" 4; "e" "p" 4;
"a" "y" 4; "b" "u" 3; "c" "y" 4; "d" "y" 4; "e" "b" "p" 4;
"a" "y" 4; "b" "u" 3; "c" "y" 4; "d" "y" 4; "e" "b" "p" 4;
"a" "y" 4; "b" "u" 3; "c" "y" 4; "d" "y" 4; "e" "b" "p" 4;
"a" "y" 4; "b" "u" 3; "c" "y" 5; "d" "y" 4; "e" "b" "p" 4;
"a" "y" 4; "b" "u" 3; "c" "y" 5; "d" "y" 4; "e" "b" "p" 4;
"a" "y" 4; "b" "n" 3; "c" "y" 5; "d" "y" 4; "e" "b" "p" 4;
"a" "y" 4; "b" "n" 3; "c" "y" 5; "d" "y" 4; "e" "b" "p" 4;
"a" "y" 4; "b" "n" 3; "c" "y" 5; "d" "y" 4; "e" "b" "p" 4;
"a" "y" 4; "b" "n" 3; "c" "y" 5; "d" "y" 4; "e" "b" "p" "q" 4;
"a" "y" 4; "b" "n" 3; "c" "y" 5; "d" "y" 4; "e" "b" "p" "q" 4;
"a" "y" 4; "b" "n" "u" 3; "c" "y" 5; "d" "y" 4; "e" "b" "p" "q" 4;
"a" "y" 4; "b" "n" "u" 3; "c" "y" 5; "d" "y" 4; "e" "b" "p" "q" 4;
"a" "y" 4; "b" "n" "u" 3; "c" "y" 5; "d" "y" 4; "e" "b" "p" "q" 4;
"a" "y" 4; "b" "n" "u" 3; "c" "y" 5; "d" "y" 4; "e" "b" "p" "q" 4;
"a" "y" 4; "b" "n" "u" "v" 3; "c" "y" 5; "d" "y" 4; "e" "b" "p" "q" 4;
"a" "y" 4; "b" "n" "u" "v" 3; "c" "x" "y" 5; "d" "n" "y" 4; "e" "b" "p" "q" 4;
"a" "y" 4; "b" "n" "u" "v" 3; "c" "x" "y" 5; "d" "n" "y" 4; "e" "b" "p" "q" 4;
"a" "y" 4; "b" "n" "u" "v" 3; "c" "x" "y" 5; "d" "n" "y" 4; "e" "b" "p" "q" 4;
"a" "y" 4; "b" "n" "u" "v" 3; "c" "x" "y" 5; "d" "n" "y" 4; "e" "b" "p" "q" 4;
"a" "y" 4; "b" "n" "u" "v" 3; "c" "x" "y" 5; "d" "n" "y" 4; "e" "b" "p" "q" 4;
"a" "y" 4; "b" "n" "u" "v" 3; "c" "x" "y" 5; "d" "n" "y" 4; "e" "b" "p" "q" 4;
"a" "y" 4; "b" "u" 4; "c" "x" "y" 5; "d" "n" "y" 4; "e" "b" "p" "q" 4;
"a" "y" 4; "b" "u" 4; "c" "x" "y" 5; "d" "n" "y" 4; "e" "b" "g" "p" "q" 4;
"a" "y" 4; "b" "u" 4; "c" "x" "y" 5; "d" "n" "y" 4; "e" "b" "g" "p" "q" 4;
"a" "y" 4; "b" "u" 4; "c" "x" "y" 5; "d" "n" "y" 4; "e" "b" "g" "p" "q" 4;
"a" "y" 4; "b" "u" 4; "c" "x" "y" 5; "d" "n" "y" 4; "e" "b" "g" "p" "q" 4;
"a" "y" 4; "b" "u" 4; "c" "x" "y" 5; "d" "n" "y" 4; "e" "b" "g" "p" "q" 4;
"a" "y" 4; "b" "u" 4; "c" "x" "y" 5; "d" "n" "y" 4; "e" "b" "g" "p" "q" 4;
"a" "y" 4; "b" "u" 4; "c" "x" "y" 5; "d" "n" "y" 4; "e" "b" "g" "p" "q" 4;
"a" "y" 4; "b" "u" 4; "c" "x" "y" 5; "d" "n" "y" 4; "e" "b" "g" "p" "q" 4;
"a" "y" 4; "b" "u" 4; "c" "x" "y" 5; "d" "n" "y" 4; "e" "b" "g" "p" "q" 4;
"a" "y" 4; "b" "u" 4; "c" "x" "y" 5; "d" "n" "y" 4; "e" "b" "p" "q" 4;
"a" "y" 4; "b" "u" 4; "c" "x" "y" 5; "d" "n" "y" 4; "e" "b" "p" "q" 4;
"a" "y" 4; "b" "u" 4; "c" "x" "y" 5; "d" "n" "y" 4; "e" "b" "p" "q" 4;
"a" "n" "y" 4; "b" "u" 4; "c" "x" "y" 5; "d" "n" "y" 4; "e" "b" "p" "q" 4;
"a" "n" "y" 4; "b" "u" 4; "c" "x" "y" 5; "d" "n" "y" 4; "e" "b" "p" "q" 4;
"a" "n" "y" 4; "b" "u" 4; "c" "x" "y" 5; "d" "n" "y" 4; "e" "b" "p" "q" 4;
"a" "n" "y" 4; "b" "u" 4; "c" "x" "y" 5; "d" "n" "y" 4; "e" "b" "p" "q" 4;
"a" "n" "y" 4; "b" "u" 4; "c" "x" "y" 5; "d" "n" "y" 4; "e" "b" "p" "q" 4;
"a" "n" "y" 4; "b" "u" 4; "c" "x" "y" 5; "d" "n" "y" 4; "e" "b" "p" "q" 4;
"a" "n" "y" 4; "b" "u" 4; "c" "x" "y" 5; "d" "n" "y" 4; "e" "b" "p" "q" 4;
"a" "n" "y" 4; "b" "u" 4; "c" "x" "y" 5; "d" "n" "y" 4; "e" "b" "p" "q" 4;
"a" "n" "y" 4; "b" "u" 4; "c" "x" "y" 5; "d" "n" "y" 4; "e" "b" "p" "q" 4;
"a" "n" "y" 4; "b" "u" 4; "c" "x" "y" 5; "d" "n" "y" 4; "e" "b" "p" "q" 4;
"a" "n" "y" 4; "b" "u" 4; "c" "x" "y" 5; "d" "n" "y" 4; "e" "b" "p" "q" 4;
"a" "n" "y" 4; "b" "u" 4; "c" "x" "y" 5; "d" "n" "y" 4; "e" "b" "p" "q" 4;
"a" "n" "y" 4; "b" "u" 4; "c" "x" 5; "d" "n" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "u" 4; "c" "x" 5; "d" "n" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "u" 4; "c" "x" 5; "d" "n" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "u" 4; "c" "x" 5; "d" "n" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "u" 4; "c" "x" 5; "d" "n" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "u" 4; "c" "x" 5; "d" "n" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "u" "v" 4; "c" "x" 5; "d" "n" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "u" "v" 4; "c" "x" 5; "d" "n" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "u" "v" 4; "c" "x" 5; "d" "n" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "u" "v" 4; "c" "x" 5; "d" "n" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "u" 5; "c" "x" 5; "d" "n" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "u" 5; "c" "x" 5; "d" "n" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "u" 5; "c" "x" 5; "d" "n" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "u" 5; "c" "x" 5; "d" "n" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "u" 5; "c" "x" 5; "d" "n" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "u" 5; "c" "x" 5; "d" "n" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "u" 5; "c" "x" 5; "d" "n" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "u" 5; "c" "x" 5; "d" "n" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "u" 5; "c" "x" 5; "d" "n" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "u" 5; "c" "x" 5; "d" "n" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "u" 5; "c" "x" 5; "d" "n" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "u" 5; "c" "x" 5; "d" "n" "y" 4; "e" "b" 5;
