none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"c" "q" 1;
"a" "i" 1; "c" "q" 1;
"a" "i" 1; "c" "q" 1;
"a" "i" 1; "c" "q" 1;
"a" "i" "z" 1; "c" "q" 1;
"a" "i" "z" 1; "c" "q" 1;
"a" "i" "z" 1; "c" "q" 1;
"a" "i" "z" 1; "c" "q" 1;
"a" "i" "z" 1; "c" "q" 1;
"a" "i" "z" 1; "c" "q" 1; "d" "h" 1; "e" "r" 1;
"a" "i" "z" 1; "c" "q" 1; "d" "h" 1; "e" "r" 1;
"a" "i" "z" 1; "c" "q" 1; "d" "h" 1; "e" "r" 1;
"a" "i" "z" 1; "c" "c" "q" 1; "d" "h" 1; "e" "r" 1;
"a" "i" "z" 1; "c" "c" "q" 1; "d" "h" 1; "e" "r" 1;
"a" "i" "z" 1; "c" "c" "q" 1; "d" "h" 1; "e" "a" "r" 1;
"a" "i" "z" 1; "c" "c" "q" "w" 1; "d" "h" 1; "e" "a" "q" "r" 1;
"a" "i" "z" 1; "c" "c" "q" "w" 1; "d" "h" 1; "e" "a" "q" "r" 1;
"a" "i" "z" 1; "c" "c" "q" "w" 1; "d" "h" 1; "e" "a" "q" "r" 1;
"a" "i" "z" 1; "c" "c" "q" "w" 1; "d" "h" 1; "e" "a" "q" "r" 1;
"a" "i" "j" "z" 1; "c" "c" "q" "w" 1; "d" "h" 1; "e" "a" "q" "r" 1;
"a" "a" "f" "g" "i" "j" "k" "m" "p" "w" "z" 1; "b" "p" "u" "x" 2; "c" "w" 3; "d" "g" "r" "s" 2; "e" "l" 3;
"a" "a" "f" "g" "i" "j" "k" "m" "p" "w" "z" 1; "b" "p" "u" "x" 2; "c" "w" 3; "d" "g" "r" "s" 2; "e" "l" 3;
"a" "k" 2; "b" "p" "u" "x" 2; "c" "w" 3; "d" "g" "r" "s" "z" 2; "e" "l" 3;
"a" "k" 2; "b" "p" "u" "x" 2; "c" "w" 3; "d" "g" "r" "s" "z" 2; "e" "l" 3;
"a" "k" 2; "b" "p" "u" "x" 2; "c" "w" 3; "d" "g" "r" "s" "z" 2; "e" "l" 3;
"a" "k" 2; "b" "p" 3; "c" "w" 3; "d" "g" "r" "s" "z" 2; "e" "l" 3;
"a" "k" 2; "b" "p" 3; "c" "w" 3; "d" "g" "r" "s" "z" 2; "e" "l" 3;
"a" "k" 2; "b" "p" 3; "c" "w" 3; "d" "g" "r" "s" "z" 2; "e" "l" 3;
"a" "k" 2; "b" "p" 3; "c" "w" 3; "d" "g" "r" "s" "z" 2; "e" "l" 3;
"a" "k" 2; "b" "p" 3; "c" "w" 3; "d" "g" "r" "s" "z" 2; "e" "l" 3;
"a" "k" 2; "b" "p" 3; "c" "w" 3; "d" "g" "r" "s" "z" 2; "e" "l" 3;
"a" "k" 2; "b" "p" 3; "c" "w" 3; "d" "g" "r" "s" "z" 2; "e" "l" 3;
"a" "k" 2; "b" "p" 3; "c" "w" 3; "d" "g" "r" "s" "z" 2; "e" "l" 3;
"a" "k" 2; "b" "p" 3; "c" "w" 3; "d" "g" "r" "s" "z" 2; "e" "l" 3;
"a" "k" 2; "b" "p" 3; "c" "w" 3; "d" "g" "r" "s" "z" 2; "e" "l" 3;
"a" "k" 2; "b" "p" 3; "c" "w" 3; "d" "c" "g" "r" "s" "z" 2; "e" "l" 3;
"a" "k" 2; "b" "p" 3; "c" "w" 3; "d" "c" "g" "r" "s" "z" 2; "e" "l" 3;
"a" "k" 2; "b" "p" 3; "c" "w" 3; "d" "c" "g" "r" "s" "z" 2; "e" "l" 3;
"a" "k" 2; "b" "p" 3; "c" "w" 3; "d" "c" "g" "r" "s" "z" 2; "e" "l" 3;
"a" "k" 2; "b" "p" 3; "c" "w" 3; "d" "c" "g" "r" "s" "z" 2; "e" "l" 3;
"a" "k" 2; "b" "p" 3; "c" "w" 3; "d" "c" "g" "r" "s" "z" 2; "e" "l" 3;
"a" "k" 2; "b" "p" 3; "c" "w" 3; "d" "c" "g" "r" "s" "z" 2; "e" "l" 3;
"a" "k" 2; "b" "p" 3; "c" "w" 3; "d" "c" "g" "r" "s" "z" 2; "e" "l" 3;
"a" "k" 2; "b" "p" 3; "c" "v" "w" 3; "d" "c" "g" "r" "s" "z" 2; "e" "l" 3;
"a" "k" 2; "b" "p" 3; "c" "v" "w" 3; "d" "c" "g" "r" "s" "z" 2; "e" "l" 3;
"a" "k" 2; "b" "p" 3; "c" "v" "w" 3; "d" "c" "g" "r" "s" "z" 2; "e" "l" 3;
"a" "k" 2; "b" "p" 3; "c" "v" "w" 3; "d" "c" "g" "r" "s" "z" 2; "e" "l" 3;
"a" "k" 2; "b" "p" 3; "c" "v" "w" 3; "d" "c" "g" "r" "s" "z" 2; "e" "l" 3;
"a" "k" 2; "b" "p" 3; "c" "v" "w" 3; "d" "c" "g" "r" "s" "z" 2; "e" "l" 3;
"a" "k" 2; "b" "p" 3; "c" "v" "w" 3; "d" "c" "g" "r" "s" "z" 2; "e" "l" 3;
"a" "k" 2; "b" "p" 3; "c" "v" "w" 3; "d" "c" "g" "r" "s" "z" 2; "e" "l" 3;
"a" "k" 2; "b" "p" 3; "c" "v" "w" 3; "d" "c" "g" "r" "s" "z" 2; "e" "l" 3;
"a" "k" 2; "b" "p" 3; "c" "v" "w" 3; "d" "c" "g" "r" "s" "z" 2; "e" "l" 3;
"a" "k" 2; "b" "p" 3; "c" "v" "w" 3; "d" "c" "g" "r" "s" "z" 2; "e" "l" 3;
"a" "k" "p" 2; "b" "p" 3; "c" "v" "w" 3; "d" "c" "g" "r" "s" "z" 2; "e" "l" 3;
"a" "k" "p" 2; "b" "p" 3; "c" "v" "w" 3; "d" "c" "g" "r" "s" "z" 2; "e" "l" 3;
"a" "k" "p" 2; "b" "p" 3; "c" "v" "w" 3; "d" "c" "g" "r" "s" "z" 2; "e" "l" 3;
"a" "k" "p" 2; "b" "p" 3; "c" "v" "w" 3; "d" "c" "g" "r" "s" "z" 2; "e" "l" 3;
"a" "k" "p" 2; "b" "p" 3; "c" "v" "w" 3; "d" "c" "g" "r" "s" "z" 2; "e" "l" 3;
"a" "k" "p" 2; "b" "p" 3; "c" "v" "w" 3; "d" "c" "g" "r" "s" "z" 2; "e" "l" 3;
"a" "k" "p" 2; "b" "p" 3; "c" "v" "w" 3; "d" "c" "g" "r" "s" "v" "z" 2; "e" "l" 3;
"a" "k" "p" "y" 2; "b" "p" 3; "c" "v" "w" 3; "d" "c" "g" "r" "s" "v" "z" 2; "e" "l" 3;
"a" "k" "p" "y" "z" 2; "b" "p" 3; "c" "v" "w" 3; "d" "c" "g" "r" "s" "v" "z" 2; "e" "l" 3;
"a" "k" "p" "y" "z" 2; "b" "p" 3; "c" "v" "w" 3; "d" "z" 3; "e" "l" 3;
"a" "k" "p" "y" "z" 2; "b" "p" 3; "c" "v" "w" 3; "d" "z" 3; "e" "l" 3;
"a" "k" "p" "y" "z" 2; "b" "p" 3; "c" "v" "w" 3; "d" "z" 3; "e" "l" 3;
"a" "d" "k" "p" "y" "z" 2; "b" "p" 3; "c" "f" "v" "w" 3; "d" "z" 3; "e" "l" 3;
"a" "d" "k" "p" "y" "z" 2; "b" "p" 3; "c" "f" "v" "w" 3; "d" "z" 3; "e" "l" "w" 3;
"a" "d" "k" "p" "y" "z" 2; "b" "p" 3; "c" "f" "v" "w" 3; "d" "z" 3; "e" "l" "w" 3;
"a" "d" "e" "j" "k" "p" "y" "z" 2; "b" "p" 3; "c" "f" "v" "w" 3; "d" "z" 3; "e" "l" "w" 3;
"a" "d" "e" "j" "k" "p" "y" "z" 2; "b" "p" 3; "c" "f" "v" "w" 3; "d" "z" 3; "e" "l" "w" 3;
"a" "d" "e" "j" "k" "p" "y" "z" 2; "b" "p" 3; "c" "f" "v" "w" 3; "d" "z" 3; "e" "l" "w" 3;
"a" "d" "e" "j" "k" "p" "y" "z" 2; "b" "p" 3; "c" "f" "v" "w" 3; "d" "z" 3; "e" "l" "w" 3;
"a" "d" "e" "j" "k" "p" "y" "z" 2; "b" "p" 3; "c" "f" "v" "w" 3; "d" "z" 3; "e" "l" "w" 3;
"a" "d" "e" "j" "k" "p" "y" "z" 2; "b" "p" 3; "c" "f" "v" "w" 3; "d" "z" 3; "e" "l" "w" 3;
"a" "d" "e" "j" "k" "p" "w" "y" "z" 2; "b" "p" 3; "c" "f" "u" "v" "w" 3; "d" "z" 3; "e" "l" "w" 3;
"a" "d" "e" "j" "k" "p" "w" "y" "z" 2; "b" "p" 3; "c" "f" "u" "v" "w" 3; "d" "z" 3; "e" "l" 4;
"a" "d" "e" "j" "k" "p" "t" "w" "y" "z" 2; "b" "p" 3; "c" "f" "u" "v" "w" 3; "d" "z" 3; "e" "l" 4;
"a" "a" "d" "e" "j" "k" "p" "t" "w" "y" "z" 2; "b" "p" 3; "c" "f" "u" "v" "w" 3; "d" "z" 3; "e" "l" 4;
"a" "a" "d" "e" "j" "k" "p" "t" "w" "y" "z" 2; "b" "p" 3; "c" "f" "u" "v" "w" 3; "d" "z" 3; "e" "l" 4;
"a" "a" "d" "e" "j" "k" "p" "t" "w" "y" "z" 2; "b" "p" 3; "c" "f" "u" "v" "w" 3; "d" "z" 3; "e" "l" 4;
"a" "a" "d" "e" "j" "k" "p" "t" "w" "y" "z" 2; "b" "p" 3; "c" "d" "f" "u" "v" "w" 3; "d" "z" 3; "e" "l" 4;
"a" "a" "d" "e" "j" "k" "p" "s" "t" "w" "y" "z" 2; "b" "p" 3; "c" "d" "f" "q" "u" "v" "w" 3; "d" "z" 3; "e" "l" 4;
"a" "a" "d" "e" "j" "k" "p" "s" "t" "w" "y" "z" 2; "b" "p" 3; "c" "d" "f" "q" "u" "v" "w" 3; "d" "z" 3; "e" "l" 4;
"a" "a" "d" "e" "j" "k" "p" "s" "t" "w" "y" "z" 2; "b" "p" 3; "c" "d" "f" "q" "u" "v" "w" 3; "d" "z" 3; "e" "l" 4;
"a" "w" 3; "b" "p" 3; "c" "d" "f" "q" "u" "v" "w" 3; "d" "z" 3; "e" "l" 4;
"a" "w" 3; "b" "p" 3; "c" "d" "f" "q" "u" "v" "w" 3; "d" "z" 3; "e" "l" 4;
"a" "w" 3; "b" "p" 4; "c" "d" "f" "q" "u" "v" "w" 3; "d" "z" 3; "e" "l" 4;
"a" "w" 3; "b" "p" 4; "c" "d" "f" "q" "u" "v" "w" 3; "d" "z" 3; "e" "l" 4;
"a" "w" 3; "b" "p" 4; "c" "d" "f" "q" "u" "v" "w" 3; "d" "z" 3; "e" "l" 4;
"a" "w" 3; "b" "p" 4; "c" "d" "f" "q" "u" "v" "w" 3; "d" "z" 3; "e" "l" 4;
"a" "w" 3; "b" "p" 4; "c" "d" "f" "q" "u" "v" "w" 3; "d" "z" 3; "e" "l" 4;
"a" "w" 3; "b" "p" 4; "c" "d" "f" "q" "u" "v" "w" 3; "d" "g" "z" 3; "e" "l" 4;
"a" "w" 3; "b" "p" 4; "c" "d" "f" "q" "u" "v" "w" 3; "d" "g" "z" 3; "e" "l" 4;
"a" "w" 3; "b" "p" 4; "c" "d" "f" "q" "u" "v" "w" 3; "d" "g" "z" 3; "e" "l" 4;
"a" "w" 3; "b" "p" 4; "c" "d" "f" "q" "u" "v" "w" 3; "d" "g" "z" 3; "e" "l" 4;
"a" "w" 3; "b" "p" 4; "c" "d" "f" "q" "u" "v" "w" 3; "d" "g" "z" 3; "e" "l" 4;
"a" "w" 3; "b" "p" 4; "c" "d" "f" "q" "u" "v" "w" 3; "d" "g" "z" 3; "e" "l" 4;
"a" "w" 3; "b" "p" 4; "c" "d" "f" "q" "u" "v" "w" 3; "d" "g" "z" 3; "e" "l" 4;
"a" "w" 3; "b" "p" 4; "c" "d" "f" "q" "u" "v" "w" 3; "d" "g" "z" 3; "e" "l" 4;
"a" "w" 3; "b" "p" 4; "c" "d" "f" "q" "u" "v" "w" 3; "d" "g" "z" 3; "e" "l" 4;
"a" "w" 3; "b" "p" 4; "c" "d" "f" "q" "u" "v" "w" 3; "d" "g" "z" 3; "e" "l" 4;
"a" "w" 3; "b" "p" 4; "c" "d" "f" "q" "u" "v" "w" 3; "d" "g" "z" 3; "e" "l" 4;
"a" "w" 3; "b" "p" 4; "c" "d" "f" "q" "u" "v" "w" 3; "d" "g" "z" 3; "e" "l" 4;
"a" "w" 3; "b" "p" 4; "c" "d" "f" "q" "u" "v" "w" 3; "d" "g" "z" 3; "e" "l" 4;
"a" "w" 3; "b" "p" 4; "c" "d" "f" "q" "u" "v" "w" 3; "d" "g" "z" 3; "e" "l" 4;
"a" "w" 3; "b" "p" 4; "c" "d" "f" "q" "u" "v" "w" 3; "d" "g" "z" 3; "e" "l" 4;
"a" "w" 3; "b" "p" 4; "c" "d" "f" "q" "u" "v" "w" 3; "d" "g" "z" 3; "e" "l" 4;
"a" "w" 3; "b" "p" 4; "c" "d" "f" "q" "u" "v" "w" 3; "d" "g" "z" 3; "e" "g" "l" 4;
"a" "w" 3; "b" "p" 4; "c" "d" "f" "q" "u" "v" "w" 3; "d" "g" "z" 3; "e" "g" "l" 4;
"a" "t" "w" 3; "b" "p" 4; "c" "d" "f" "q" "u" "v" "w" 3; "d" "g" "z" 3; "e" "g" "l" 4;
"a" "a" "t" "w" 3; "b" "p" 4; "c" "d" "f" "q" "u" "v" "w" 3; "d" "g" "z" 3; "e" "g" "l" 4;
"a" "a" "t" "w" 3; "b" "p" 4; "c" "d" "f" "q" "u" "v" "w" 3; "d" "g" "z" 3; "e" "g" "l" 4;
"a" "a" "t" "w" 3; "b" "p" 4; "c" "d" "f" "q" "u" "v" "w" 3; "d" "g" "z" 3; "e" "g" "l" 4;
"a" "a" "t" "w" 3; "b" "p" 4; "c" "d" "f" "q" "u" "v" "w" 3; "d" "g" "z" 3; "e" "g" "l" 4;
"a" "a" "t" "w" 3; "b" "p" 4; "c" "d" "f" "q" "u" "v" "w" 3; "d" "g" "z" 3; "e" "g" "l" 4;
"a" "a" "d" "t" "w" 3; "b" "p" 4; "c" "d" "f" "q" "u" "v" "w" 3; "d" "z" 4; "e" "g" "l" 4;
"a" "a" "d" "t" "w" 3; "b" "p" 4; "c" "d" "f" "q" "u" "v" "w" 3; "d" "z" 4; "e" "g" "l" 4;
"a" "a" "d" "t" "w" 3; "b" "p" 4; "c" "d" "f" "q" "u" "v" "w" 3; "d" "z" 4; "e" "g" "l" 4;
"a" "a" "d" "t" "w" 3; "b" "p" 4; "c" "d" "f" "q" "u" "v" "w" 3; "d" "g" "z" 4; "e" "g" "l" 4;
"a" "a" "d" "t" "w" 3; "b" "p" 4; "c" "d" "f" "q" "u" "v" "w" 3; "d" "g" "z" 4; "e" "g" "l" 4;
"a" "a" "d" "t" "w" 3; "b" "p" 4; "c" "v" 4; "d" "g" "z" 4; "e" "g" "l" 4;
