none
none
none
none
none
none
"a" "n" 1; "e" "a" 1;
"a" "n" 1; "d" "c" 1; "e" "a" 1;
"a" "n" 1; "d" "c" 1; "e" "a" 1;
"a" "n" 1; "c" "l" 1; "d" "c" 1; "e" "a" 1;
"a" "n" 1; "c" "l" 1; "d" "c" 1; "e" "a" 1;
"a" "n" 1; "c" "l" 1; "d" "c" 1; "e" "a" 1;
"a" "n" 1; "c" "l" 1; "d" "c" 1; "e" "a" 1;
"a" "a" "n" "o" 2; "b" "a" "c" "d" "g" "i" "o" "q" "x" "y" 1; "c" "a" "e" "l" "o" "t" "w" 1; "d" "q" 2; "e" "a" "g" 1;
"a" "a" "n" "o" 2; "b" "a" "c" "d" "g" "i" "o" "q" "x" "y" 1; "c" "a" "e" "l" "o" "t" "w" 1; "d" "q" 2; "e" "a" "g" 1;
"a" "a" "n" "o" 2; "b" "d" 2; "c" "a" "e" "l" "o" "t" "w" 1; "d" "q" 2; "e" "a" "g" 1;
"a" "a" "n" "o" 2; "b" "c" "d" 2; "c" "a" "e" "k" "l" "o" "t" "w" 1; "d" "q" 2; "e" "a" "g" "r" "v" 1;
"a" "a" "n" "o" 2; "b" "c" "d" 2; "c" "a" "e" "k" "l" "o" "t" "w" 1; "d" "q" 2; "e" "a" "g" "r" "v" 1;
"a" "a" "n" "o" 2; "b" "c" "d" 2; "c" "a" "e" "k" "l" "o" "t" "w" 1; "d" "q" 2; "e" "a" "g" "r" "v" 1;
"a" "a" "n" "o" 2; "b" "c" "d" 2; "c" "a" "e" "k" "l" "o" "t" "w" 1; "d" "q" 2; "e" "a" "g" "r" "v" 1;
"a" "a" "i" "n" "o" 2; "b" "c" "d" 2; "c" "a" "e" "k" "l" "o" "t" "w" 1; "d" "q" 3; "e" "a" "d" "g" "r" "t" "v" 1;
"a" "a" "i" "n" "o" 2; "b" "c" "d" 2; "c" "t" 2; "d" "q" 3; "e" "a" "d" "g" "t" "v" 1;
"a" "a" "i" "n" "o" 2; "b" "c" "d" 2; "c" "t" 2; "d" "q" 3; "e" "a" "d" "g" "t" "v" 1;
"a" "o" 3; "b" "c" "d" 2; "c" "t" 2; "d" "q" 3; "e" "a" 2;
"a" "o" 3; "b" "c" "d" 2; "c" "t" 2; "d" "q" 3; "e" "a" 2;
"a" "o" 3; "b" "c" "d" 2; "c" "t" 2; "d" "q" 3; "e" "a" 2;
"a" "o" 3; "b" "c" "d" 2; "c" "t" 2; "d" "q" 3; "e" "a" 2;
"a" "o" 3; "b" "c" "d" 2; "c" "t" 2; "d" "q" 3; "e" "a" 2;
"a" "o" 3; "b" "c" "d" 2; "c" "t" 2; "d" "q" 3; "e" "a" 2;
"a" "o" 3; "b" "c" "d" 2; "c" "t" 2; "d" "q" 4; "e" "a" 2;
"a" "o" 3; "b" "c" "d" 2; "c" "t" 2; "d" "q" 4; "e" "a" 2;
"a" "o" 3; "b" "c" "d" 2; "c" "t" 2; "d" "q" 4; "e" "a" 2;
"a" "o" 3; "b" "c" "d" 2; "c" "t" 2; "d" "q" 4; "e" "a" 2;
"a" "i" "o" 3; "b" "c" "d" 2; "c" "t" 2; "d" "q" 4; "e" "a" 2;
"a" "i" "o" 3; "b" "c" "d" 2; "c" "t" 2; "d" "q" 4; "e" "a" 2;
"a" "i" "o" 3; "b" "c" "d" 2; "c" "t" 2; "d" "q" 4; "e" "a" "g" 2;
"a" "i" "o" 3; "b" "c" "d" 2; "c" "t" 2; "d" "q" 4; "e" "a" "g" 2;
"a" "i" "o" 3; "b" "c" "d" 2; "c" "t" 2; "d" "q" 4; "e" "a" "d" "g" 2;
"a" "i" "o" 3; "b" "c" "d" 2; "c" "t" 2; "d" "q" 4; "e" "a" "d" "g" 2;
"a" "i" "o" 3; "b" "c" "d" 2; "c" "t" 2; "d" "q" 4; "e" "a" "d" "g" 2;
"a" "i" "o" 3; "b" "c" "d" 2; "c" "t" 2; "d" "q" 4; "e" "a" "d" "g" 2;
"a" "i" "o" 3; "b" "c" "d" 2; "c" "t" 2; "d" "q" 4; "e" "a" "d" "g" 2;
"a" "i" "o" 3; "b" "c" "d" 2; "c" "t" 2; "d" "q" 4; "e" "a" "d" "g" 2;
"a" "i" "o" 3; "b" "c" "d" "u" 2; "c" "t" 2; "d" "q" 4; "e" "a" "d" "g" 2;
"a" "i" "o" 3; "b" "c" "d" "u" 2; "c" "t" 2; "d" "q" 4; "e" "a" "d" "g" 2;
"a" "i" "o" 3; "b" "c" "d" "u" 2; "c" "t" 2; "d" "q" 4; "e" "a" "d" "g" 2;
"a" "i" "o" 3; "b" "c" "d" "u" "v" 2; "c" "k" "t" 2; "d" "q" 4; "e" "a" "d" "g" 2;
"a" "i" "o" 3; "b" "c" "d" "u" "v" 2; "c" "k" "t" 2; "d" "q" 4; "e" "a" "d" "g" 2;
"a" "i" "o" 3; "b" "c" "d" "u" "v" 2; "c" "k" "t" 2; "d" "q" 4; "e" "a" "d" "g" 2;
"a" "i" "o" 3; "b" "c" "d" "u" "v" 2; "c" "k" "t" 2; "d" "q" 4; "e" "a" "d" "g" 2;
"a" "i" "o" 3; "b" "c" "d" "u" "v" 2; "c" "k" "t" 2; "d" "q" 4; "e" "a" "d" "g" 2;
"a" "i" "o" 3; "b" "a" "c" "d" "u" "v" 2; "c" "k" "t" 2; "d" "q" 4; "e" "a" "d" "g" 2;
"a" "i" "o" 3; "b" "a" "c" "d" "u" "v" 2; "c" "k" "t" 2; "d" "q" 4; "e" "a" "d" "g" 2;
"a" "i" "o" 3; "b" "a" "c" "d" "u" "v" 2; "c" "k" "t" 2; "d" "q" 4; "e" "a" "d" "g" 2;
"a" "i" "o" 3; "b" "a" "c" "d" "u" "v" 2; "c" "k" "t" 2; "d" "q" 4; "e" "a" "d" "g" 2;
"a" "i" "o" 3; "b" "a" "c" "d" "u" "v" 2; "c" "k" "t" 2; "d" "q" 4; "e" "a" "d" "g" 2;
"a" "i" "o" 3; "b" "a" "c" "d" "u" "v" 2; "c" "k" "n" "t" 2; "d" "q" 4; "e" "a" "d" "g" 2;
"a" "g" "i" "o" 3; "b" "a" "c" "d" "k" "u" "v" 2; "c" "k" "n" "t" 2; "d" "q" 4; "e" "a" "d" "g" 2;
"a" "g" "i" "o" 3; "b" "a" "c" "d" "k" "u" "v" 2; "c" "k" "n" "t" 2; "d" "q" 4; "e" "a" "d" "g" 2;
"a" "g" "i" "o" 3; "b" "a" "c" "d" "k" "u" "v" 2; "c" "k" "n" "t" 2; "d" "q" 4; "e" "a" "d" "g" 2;
"a" "g" "i" "o" 3; "b" "a" "c" "d" "k" "u" "v" 2; "c" "k" "n" "t" 2; "d" "q" 4; "e" "a" "d" "g" 2;
"a" "g" "i" "o" 3; "b" "a" "c" "d" "k" "u" "v" 2; "c" "k" "n" "t" 2; "d" "q" 4; "e" "a" "d" "g" 2;
"a" "g" "i" "o" 3; "b" "a" "c" "d" "k" "u" "v" 2; "c" "k" "n" "t" 2; "d" "q" 4; "e" "a" "d" "g" 2;
"a" "g" "i" "o" 3; "b" "a" "c" "d" "k" "u" "v" 2; "c" "k" "n" "t" 2; "d" "q" 4; "e" "a" "d" "g" 2;
"a" "g" "i" "o" 3; "b" "a" "c" "d" "k" "u" "v" 2; "c" "k" "n" "t" 2; "d" "q" 4; "e" "a" "d" "g" 2;
"a" "g" "i" "o" 3; "b" "a" "c" "d" "k" "u" "v" 2; "c" "k" "n" "t" 2; "d" "q" 4; "e" "a" "d" "g" 2;
"a" "g" "i" "o" 3; "b" "a" "c" "d" "k" "u" "v" 2; "c" "k" "n" "t" 2; "d" "q" 4; "e" "a" "d" "g" 2;
"a" "g" "i" "o" 3; "b" "a" "c" "d" "k" "u" "v" 2; "c" "k" "n" "t" 2; "d" "q" 4; "e" "a" "d" "g" 2;
"a" "g" "i" "o" 3; "b" "a" "c" "d" "k" "u" "v" 2; "c" "k" "n" "t" 2; "d" "q" 4; "e" "a" "d" "g" 2;
"a" "g" "i" "o" 3; "b" "a" "c" "d" "k" "u" "v" 2; "c" "k" "n" "t" 2; "d" "q" 4; "e" "a" "d" "g" 2;
"a" "g" "i" "o" 3; "b" "a" "c" "d" "k" "u" "v" 2; "c" "k" "n" "t" 2; "d" "q" 4; "e" "a" "d" "g" 2;
"a" "g" "i" "o" 3; "b" "a" "c" "d" "k" "u" "v" 2; "c" "k" "n" "t" 2; "d" "q" 4; "e" "a" "d" "g" 2;
"a" "g" "i" "o" 3; "b" "a" "c" "d" "k" "u" "v" 2; "c" "k" "n" "t" 2; "d" "q" 4; "e" "a" "d" "g" 2;
"a" "g" "i" "o" 3; "b" "a" "c" "d" "k" "v" 2; "c" "k" "n" "t" 2; "d" "q" 4; "e" "a" "d" "g" 2;
"a" "g" "i" "o" 3; "b" "a" "c" "d" "k" "v" 2; "c" "k" "n" "t" 2; "d" "q" 4; "e" "a" "d" "g" 2;
"a" "g" "i" "o" 3; "b" "a" "c" "d" "k" "v" 2; "c" "k" "n" "t" 2; "d" "q" 4; "e" "a" "d" "g" 2;
"a" "g" "i" "o" 3; "b" "a" "c" "d" "g" "i" "k" "v" 2; "c" "k" "n" "t" 2; "d" "q" 4; "e" "a" "d" "g" "q" 2;
"a" "g" "i" "o" 3; "b" "a" "c" "d" "g" "i" "k" "v" 2; "c" "k" "n" "t" 2; "d" "q" 4; "e" "a" "d" "g" "q" 2;
"a" "g" "i" "o" 3; "b" "a" "c" "d" "g" "i" "k" "v" 2; "c" "k" "n" "t" 2; "d" "q" 4; "e" "a" "d" "g" "q" 2;
"a" "g" "o" 3; "b" "a" "c" "d" "g" "i" "k" "v" 2; "c" "k" "n" "t" 2; "d" "q" 5; "e" "a" "d" "g" "q" 2;
"a" "g" "o" 3; "b" "a" "c" "d" "g" "i" "k" "v" 2; "c" "k" "n" "t" 2; "d" "q" 5; "e" "a" "d" "g" "q" 2;
"a" "g" "o" 3; "b" "a" "c" "d" "g" "i" "k" "v" 2; "c" "k" "n" "t" 2; "d" "q" 5; "e" "a" "d" "g" "q" 2;
"a" "g" "o" 3; "b" "a" "c" "d" "g" "i" "k" "v" 2; "c" "k" "n" "t" 2; "d" "q" 5; "e" "a" "d" "g" "q" 2;
"a" "g" "o" "v" 3; "b" "a" "c" "d" "g" "i" "k" "v" 2; "c" "k" "n" "t" 2; "d" "q" 5; "e" "q" 3;
"a" "g" "o" "v" 3; "b" "a" "c" "d" "g" "i" "k" "v" 2; "c" "k" "n" "t" 2; "d" "q" 5; "e" "q" 3;
"a" "g" "o" "v" 3; "b" "a" "c" "d" "g" "i" "k" "v" 2; "c" "k" "n" "t" 2; "d" "q" 5; "e" "q" 3;
"a" "g" "o" "v" 3; "b" "c" 3; "c" "k" "n" "t" 2; "d" "q" 5; "e" "q" 3;
"a" "g" "o" "v" 3; "b" "a" "c" 3; "c" "k" "n" "t" 2; "d" "q" 5; "e" "q" 3;
"a" "g" "o" "v" "z" 3; "b" "a" "c" 3; "c" "k" "n" "t" 2; "d" "q" 5; "e" "q" 3;
"a" "g" "o" "v" "z" 3; "b" "a" "c" 3; "c" "k" "n" "t" 2; "d" "q" 5; "e" "q" 3;
"a" "g" "o" "v" "z" 3; "b" "a" "c" 3; "c" "k" "n" "t" 2; "d" "q" 5; "e" "q" 3;
"a" "g" "o" "v" "z" 3; "b" "a" "c" 3; "c" "k" "n" "t" 2; "d" "q" 5; "e" "q" 3;
"a" "o" 4; "b" "a" "c" 3; "c" "k" "n" "t" 2; "d" "q" 5; "e" "q" 3;
"a" "o" 4; "b" "a" "c" 3; "c" "k" "n" "t" 2; "d" "q" 5; "e" "q" 3;
"a" "o" 4; "b" "a" "c" 3; "c" "k" "n" "t" 2; "d" "q" 5; "e" "q" 3;
"a" "o" 4; "b" "a" "c" 3; "c" "k" "n" "t" 2; "d" "q" 5; "e" "q" 3;
"a" "o" 4; "b" "a" "c" 3; "c" "k" "n" "t" 2; "d" "q" 5; "e" "q" 3;
"a" "o" 4; "b" "a" "c" 3; "c" "k" "n" "t" 2; "d" "q" 5; "e" "q" 3;
"a" "o" 4; "b" "a" "c" 3; "c" "k" "n" "p" "t" 2; "d" "q" 5; "e" "q" 3;
"a" "o" 4; "b" "a" "c" 3; "c" "k" "n" "p" "t" 2; "d" "q" 5; "e" "q" "t" 3;
"a" "o" 4; "b" "c" 4; "c" "k" "n" "p" "t" 2; "d" "q" 5; "e" "q" "t" 3;
"a" "o" 4; "b" "c" 4; "c" "k" "n" "p" "t" 2; "d" "q" 5; "e" "q" "t" 3;
"a" "o" 4; "b" "c" 4; "c" "k" "n" "p" "t" 2; "d" "q" 5; "e" "q" "t" 3;
"a" "o" 4; "b" "c" 4; "c" "k" "n" "p" "t" 2; "d" "q" 5; "e" "q" "t" 3;
"a" "o" 4; "b" "c" 4; "c" "k" "n" "p" "t" 2; "d" "q" 5; "e" "q" "t" 3;
"a" "o" 4; "b" "c" 4; "c" "k" "n" "p" "t" 2; "d" "q" 5; "e" "q" "t" 3;
"a" "o" 4; "b" "c" 4; "c" "k" "n" "p" "t" 2; "d" "q" 5; "e" "q" "t" 3;
"a" "o" 4; "b" "c" 4; "c" "k" "n" "p" "t" 2; "d" "q" 5; "e" "q" "t" 3;
"a" "o" 5; "b" "c" 4; "c" "k" "n" "p" "t" 2; "d" "q" 5; "e" "q" "t" 3;
"a" "o" 5; "b" "c" 4; "c" "k" "n" "p" "t" 2; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "k" "n" "p" "t" 2; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "k" "n" "p" "t" 2; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "k" "n" "p" "t" 2; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "k" "n" "p" "t" 2; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "k" "n" "p" "t" 2; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "k" "n" "p" "t" 2; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "k" "n" "p" "t" 2; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "k" "n" "p" "t" 2; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "k" "n" "p" "t" 2; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "k" "n" "p" "t" 2; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "k" "n" "p" "t" 2; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "k" "n" "p" "t" 2; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "a" "k" "n" "p" "t" "v" 2; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "a" "k" "n" "p" "t" "v" 2; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "a" "k" "n" "p" "t" "v" 2; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "a" "k" "l" "n" "p" "t" "v" 2; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "a" "k" "l" "n" "p" "t" "v" 2; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "a" "k" "l" "n" "p" "t" "v" "x" 2; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "a" "k" "l" "n" "p" "t" "v" "x" 2; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "a" "k" "l" "n" "p" "t" "v" "w" "x" 2; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "a" "k" "l" "n" "p" "t" "v" "w" "x" 2; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "a" "k" "l" "n" "p" "t" "v" "w" "x" 2; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "a" "k" "l" "n" "p" "t" "v" "w" "x" 2; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "a" "k" "l" "n" "p" "t" "v" "w" "x" 2; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "a" "k" "l" "n" "p" "t" "v" "w" "x" 2; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "a" "e" "k" "l" "n" "p" "t" "v" "w" "x" 2; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "a" "e" "k" "l" "n" "p" "t" "v" "w" "x" 2; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "a" "e" "k" "l" "n" "p" "t" "v" "w" "x" 2; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "a" "e" "k" "l" "n" "p" "t" "v" "w" "x" 2; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "a" "e" "k" "l" "n" "p" "t" "v" "w" "x" 2; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "a" "e" "k" "l" "n" "p" "t" "v" "w" "x" 2; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "a" "e" "k" "l" "n" "p" "t" "v" "w" "x" 2; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "a" "e" "k" "l" "n" "p" "r" "t" "v" "w" "x" 2; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "a" "e" "k" "l" "n" "p" "r" "t" "v" "w" "x" 2; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "r" 3; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "r" 3; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "r" 3; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "k" "r" 3; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "k" "r" 3; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "k" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "k" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "k" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "k" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "k" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "k" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "o" 5; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "n" "o" 5; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "n" "o" 5; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" 5; "e" "q" 4;
