none
none
none
none
none
none
none
none
none
"d" "a" 1;
"d" "a" 1;
"d" "a" 1;
"d" "a" 1;
"b" "x" 1; "d" "a" 1;
"b" "x" 1; "d" "a" 1;
"b" "x" 1; "d" "a" 1;
"b" "x" 1; "d" "a" 1;
"b" "x" 1; "d" "a" 1;
"a" "p" 1; "b" "x" 1; "d" "a" 1;
"a" "p" 1; "b" "s" "x" 1; "d" "a" 1; "e" "e" 1;
"a" "p" 1; "b" "s" "x" 1; "d" "a" 1; "e" "e" 1;
"a" "p" 1; "b" "s" "x" 1; "d" "a" 1; "e" "e" 1;
"a" "p" 1; "b" "s" "x" 1; "d" "a" 1; "e" "e" 1;
"a" "p" 1; "b" "s" "x" 1; "d" "a" 1; "e" "e" 1;
"a" "p" 1; "b" "s" "x" 1; "d" "a" 1; "e" "e" 1;
"a" "p" 1; "b" "s" "x" 1; "d" "a" "t" 1; "e" "e" "k" 1;
"a" "p" 1; "b" "s" "x" 1; "d" "a" "t" 1; "e" "e" "k" 1;
"a" "p" 1; "b" "s" "x" 1; "d" "a" "t" 1; "e" "e" "k" 1;
"a" "p" 1; "b" "s" "x" 1; "d" "a" "t" 1; "e" "e" "k" 1;
"a" "p" 1; "b" "s" "x" 1; "d" "a" "t" 1; "e" "e" "k" 1;
"a" "p" 1; "b" "s" "x" 1; "d" "a" "t" 1; "e" "e" "k" 1;
"a" "p" 1; "b" "s" "x" 1; "d" "a" "t" 1; "e" "e" "k" 1;
"a" "p" 1; "b" "s" "x" 1; "d" "a" "t" 1; "e" "e" "k" 1;
"a" "p" 1; "b" "a" "s" "x" 1; "d" "a" "t" 1; "e" "e" "k" 1;
"a" "p" 1; "b" "a" "s" "x" 1; "d" "a" "o" "t" "y" 1; "e" "e" "k" 1;
"a" "p" 1; "b" "a" "s" "x" 1; "d" "a" "o" "t" "y" 1; "e" "e" "k" 1;
"a" "p" 1; "b" "a" "s" "x" 1; "d" "a" "o" "t" "y" 1; "e" "e" "k" 1;
"a" "p" 1; "b" "a" "s" "x" 1; "d" "a" "o" "t" "y" 1; "e" "e" "k" 1;
"a" "p" 1; "b" "a" "s" "x" 1; "d" "a" "o" "t" "y" 1; "e" "e" "k" 1;
"a" "p" 1; "b" "a" "s" "x" 1; "d" "a" "o" "t" "y" 1; "e" "e" "k" 1;
"a" "p" 1; "b" "a" "s" "x" 1; "d" "a" "o" "t" "y" 1; "e" "e" "k" 1;
"a" "p" 1; "b" "a" "s" "x" 1; "d" "a" "o" "t" "y" 1; "e" "e" "k" 1;
"a" "p" 1; "b" "a" "s" "x" 1; "d" "a" "o" "t" "y" 1; "e" "e" "k" 1;
"a" "p" 1; "b" "a" "s" "x" 1; "d" "a" "o" "t" "y" "z" 1; "e" "e" "g" "k" "z" 1;
"a" "c" "h" "p" "t" "w" 1; "b" "s" 2; "c" "a" 2; "d" "a" 2; "e" "c" "e" "g" "k" "p" "z" 1;
"a" "c" "h" "p" "t" "w" 1; "b" "s" 2; "c" "a" 2; "d" "a" 2; "e" "c" "e" "g" "k" "p" "z" 1;
"a" "c" "h" "p" "t" "w" 1; "b" "s" 2; "c" "a" 2; "d" "a" 2; "e" "c" "e" "g" "k" "p" "z" 1;
"a" "c" "h" "p" "t" "w" 1; "b" "s" 2; "c" "a" 2; "d" "a" 2; "e" "c" "e" "g" "k" "p" "z" 1;
"a" "c" "h" "p" "t" "w" 1; "b" "s" 2; "c" "a" 2; "d" "a" 2; "e" "c" "e" "g" "k" "p" "z" 1;
"a" "c" "h" "p" "t" "w" 1; "b" "s" 2; "c" "a" 2; "d" "a" 2; "e" "c" "e" "g" "k" "p" "z" 1;
"a" "c" "h" "p" "t" "w" 1; "b" "s" 2; "c" "a" 2; "d" "a" 2; "e" "c" "e" "g" "k" "p" "z" 1;
"a" "c" "d" "h" "p" "t" "w" 1; "b" "s" 2; "c" "a" 2; "d" "a" 2; "e" "c" "e" "g" "k" "p" "z" 1;
"a" "c" "d" "h" "p" "t" "w" 1; "b" "s" 2; "c" "a" 2; "d" "a" 2; "e" "c" "e" "g" "k" "p" "z" 1;
"a" "c" "d" "h" "p" "t" "w" 1; "b" "s" 2; "c" "a" 2; "d" "a" 2; "e" "c" "e" "g" "k" "p" "z" 1;
"a" "c" "d" "h" "p" "t" "w" 1; "b" "s" 2; "c" "a" 2; "d" "a" "o" 2; "e" "c" "e" "g" "k" "p" "z" 1;
"a" "c" "d" "h" "p" "t" "w" 1; "b" "s" 2; "c" "a" 2; "d" "a" "o" 2; "e" "c" "e" "g" "k" "p" "z" 1;
"a" "c" "d" "h" "p" "t" "w" 1; "b" "s" 2; "c" "a" 2; "d" "a" "o" 2; "e" "c" "e" "g" "k" "p" "z" 1;
"a" "c" "d" "h" "p" "t" "w" 1; "b" "s" 2; "c" "a" 2; "d" "a" "o" 2; "e" "c" "e" "g" "k" "p" "z" 1;
"a" "c" "d" "h" "o" "p" "t" "w" 1; "b" "s" 2; "c" "a" 2; "d" "a" 3; "e" "c" "e" "g" "k" "p" "z" 1;
"a" "c" "d" "h" "o" "p" "t" "w" 1; "b" "s" 2; "c" "a" 2; "d" "a" 3; "e" "c" "e" "g" "k" "p" "z" 1;
"a" "c" "d" "h" "o" "p" "t" "w" 1; "b" "s" 2; "c" "a" 2; "d" "a" 3; "e" "c" "g" 2;
"a" "c" "d" "h" "o" "p" "t" "w" 1; "b" "s" 2; "c" "a" 2; "d" "a" 3; "e" "c" "g" 2;
"a" "c" "d" "h" "o" "p" "t" "w" 1; "b" "s" 2; "c" "a" 2; "d" "a" 3; "e" "c" "g" 2;
"a" "c" "d" "h" "k" "o" "p" "t" "w" 1; "b" "s" 2; "c" "a" 2; "d" "a" 3; "e" "c" "g" 2;
"a" "c" "d" "h" "k" "o" "p" "t" "w" 1; "b" "s" 2; "c" "a" 2; "d" "a" 3; "e" "c" "g" 2;
"a" "c" "d" "h" "k" "o" "p" "t" "w" 1; "b" "s" 2; "c" "a" 2; "d" "a" 3; "e" "c" "g" 2;
"a" "c" "d" "h" "k" "o" "p" "t" "w" 1; "b" "s" 2; "c" "a" 2; "d" "a" 3; "e" "c" "g" 2;
"a" "c" "d" "h" "k" "o" "p" "t" "w" 1; "b" "b" "s" 2; "c" "a" 2; "d" "a" 3; "e" "c" "g" 2;
"a" "c" "d" "h" "k" "o" "p" "t" "w" 1; "b" "b" "s" 2; "c" "a" 2; "d" "a" 3; "e" "c" "g" 2;
"a" "c" "d" "h" "k" "o" "p" "t" "w" 1; "b" "b" "s" 2; "c" "a" 2; "d" "a" 3; "e" "c" "g" 2;
"a" "c" "d" "h" "k" "o" "p" "t" "w" 1; "b" "b" "s" 2; "c" "a" 2; "d" "a" 3; "e" "c" "g" 2;
"a" "c" "d" "h" "k" "o" "p" "t" "w" 1; "b" "b" "s" 2; "c" "a" 2; "d" "a" 3; "e" "c" "g" 2;
"a" "c" "d" "h" "k" "o" "p" "t" "w" 1; "b" "b" "s" 2; "c" "a" 2; "d" "a" 3; "e" "c" "g" 2;
"a" "c" "d" "h" "k" "o" "p" "t" "w" 1; "b" "b" "s" 2; "c" "a" 2; "d" "a" 3; "e" "c" "g" 2;
"a" "c" "d" "h" "k" "o" "p" "t" "w" 1; "b" "b" "s" 2; "c" "a" 2; "d" "a" 3; "e" "c" "g" 2;
"a" "c" "d" "h" "k" "o" "p" "t" "w" 1; "b" "b" "s" 2; "c" "a" 2; "d" "a" 3; "e" "c" "g" 2;
"a" "c" "d" "h" "k" "o" "p" "t" "w" 1; "b" "b" "s" 2; "c" "a" 2; "d" "a" 3; "e" "c" "g" 2;
"a" "c" "d" "h" "k" "o" "p" "t" "w" 1; "b" "b" "s" 2; "c" "a" 2; "d" "a" 3; "e" "c" "g" 2;
"a" "c" "d" "h" "k" "o" "p" "t" "w" "z" 1; "b" "b" "s" 2; "c" "a" 2; "d" "a" 3; "e" "c" "g" 2;
"a" "c" "d" "h" "k" "o" "p" "t" "w" "z" 1; "b" "b" "s" 2; "c" "a" 2; "d" "a" 3; "e" "c" "g" 2;
"a" "p" 2; "b" "b" "s" 2; "c" "a" 2; "d" "a" 3; "e" "c" "g" 2;
"a" "h" "p" 2; "b" "b" "s" 2; "c" "a" 2; "d" "a" 3; "e" "c" "g" 2;
"a" "h" "p" 2; "b" "b" "s" 2; "c" "a" 2; "d" "a" 3; "e" "c" "g" 2;
"a" "h" "p" 2; "b" "b" "s" 2; "c" "a" 2; "d" "a" 3; "e" "c" "g" 2;
"a" "h" "p" 2; "b" "b" "s" 2; "c" "a" 2; "d" "a" 3; "e" "c" "g" 2;
"a" "h" "p" 2; "b" "b" "s" 2; "c" "a" 2; "d" "a" 3; "e" "c" "g" 2;
"a" "h" "p" 2; "b" "b" "s" 2; "c" "a" 2; "d" "a" 3; "e" "c" "g" 2;
"a" "h" "p" 2; "b" "b" "s" 2; "c" "a" 2; "d" "a" 3; "e" "c" "g" 2;
"a" "h" "m" "p" 2; "b" "b" "s" 2; "c" "a" 2; "d" "a" 3; "e" "c" "g" 2;
"a" "h" "m" "p" 2; "b" "b" "s" 2; "c" "a" 2; "d" "a" 3; "e" "c" "g" 2;
"a" "h" "m" "p" 2; "b" "b" "s" 2; "c" "a" 2; "d" "a" 3; "e" "c" "g" 2;
"a" "h" "m" "p" 2; "b" "b" "s" 2; "c" "a" 2; "d" "a" 3; "e" "c" "g" 2;
"a" "h" "m" "p" 2; "b" "b" "s" 2; "c" "a" 2; "d" "a" 3; "e" "c" "g" 2;
"a" "h" "m" "p" 2; "b" "b" "s" 2; "c" "a" 2; "d" "a" 3; "e" "c" "g" 2;
"a" "h" "m" "p" 2; "b" "b" "s" 2; "c" "a" 2; "d" "a" 3; "e" "c" "g" 2;
"a" "h" "m" "p" 2; "b" "b" "s" 2; "c" "a" 2; "d" "a" 3; "e" "c" "g" "i" 2;
"a" "h" "m" "p" 2; "b" "b" "s" 2; "c" "a" 2; "d" "a" 3; "e" "c" "g" "i" 2;
"a" "h" "m" "p" 2; "b" "b" "s" 2; "c" "a" 2; "d" "a" 3; "e" "c" "g" "i" 2;
"a" "h" "m" "p" 2; "b" "b" "s" 2; "c" "a" 2; "d" "a" 3; "e" "c" "g" "i" 2;
"a" "h" "m" "p" 2; "b" "b" "s" 2; "c" "a" 2; "d" "a" 3; "e" "c" "g" "i" 2;
"a" "h" "m" "p" 2; "b" "b" "s" 2; "c" "a" 2; "d" "a" 3; "e" "c" "g" "i" 2;
"a" "h" "m" "p" 2; "b" "b" "s" 2; "c" "a" 2; "d" "a" 3; "e" "c" "g" "i" 2;
"a" "h" "m" "p" 2; "b" "b" "s" 2; "c" "a" 2; "d" "a" 3; "e" "c" "g" "i" 2;
"a" "h" "m" "p" 2; "b" "b" "l" "s" 2; "c" "a" 2; "d" "a" 3; "e" "c" "g" "i" 2;
"a" "h" "m" "p" 2; "b" "b" "l" "s" 2; "c" "a" 2; "d" "a" 3; "e" "c" "g" "i" 2;
"a" "h" "m" "p" 2; "b" "b" "l" "s" "x" 2; "c" "a" 2; "d" "a" 3; "e" "c" "g" "i" 2;
"a" "m" 3; "b" "b" "l" "s" "x" 2; "c" "a" 2; "d" "a" 3; "e" "c" "g" "i" 2;
"a" "m" 3; "b" "b" "l" "s" "x" 2; "c" "a" 2; "d" "a" 3; "e" "c" "g" "i" 2;
"a" "m" 3; "b" "b" "l" "s" "x" 2; "c" "a" 3; "d" "a" "m" 3; "e" "c" "g" "i" 2;
"a" "m" 3; "b" "b" "l" "s" "x" 2; "c" "a" 3; "d" "a" "m" 3; "e" "c" "g" "i" 2;
"a" "m" 3; "b" "b" "l" "s" "x" 2; "c" "a" 3; "d" "a" "m" 3; "e" "c" "g" "i" 2;
"a" "m" 3; "b" "b" "l" "s" "x" 2; "c" "a" 3; "d" "a" "m" 3; "e" "c" "g" "i" 2;
"a" "m" 3; "b" "b" "l" "s" "x" 2; "c" "a" 3; "d" "a" "m" 3; "e" "c" "g" "i" 2;
"a" "m" 3; "b" "a" "b" "l" "s" "x" 2; "c" "a" 3; "d" "a" "m" 3; "e" "c" "g" "i" 2;
"a" "m" 3; "b" "a" "b" "l" "s" "x" 2; "c" "a" 3; "d" "a" "m" 3; "e" "c" "g" "i" 2;
"a" "m" 3; "b" "a" "b" "l" "s" "x" 2; "c" "a" 3; "d" "a" "m" 3; "e" "c" "g" "i" 2;
"a" "h" "m" 3; "b" "a" "b" "l" "s" "x" 2; "c" "a" 3; "d" "a" "m" 3; "e" "c" "f" "g" "i" 2;
"a" "h" "m" 3; "b" "a" "b" "l" "s" "x" 2; "c" "a" 3; "d" "a" "m" 3; "e" "c" "f" "g" "i" 2;
"a" "h" "m" 3; "b" "a" "b" "l" "s" "x" 2; "c" "a" 3; "d" "a" "m" 3; "e" "c" "f" "g" "i" 2;
"a" "h" "m" 3; "b" "a" "b" "l" "s" "x" 2; "c" "a" 3; "d" "a" "m" 3; "e" "c" "f" "g" "i" 2;
"a" "h" "m" 3; "b" "a" "b" "l" "s" "x" 2; "c" "a" 3; "d" "a" "m" 3; "e" "c" "f" "g" "i" 2;
"a" "h" "m" 3; "b" "a" "b" "l" "s" "x" 2; "c" "a" 3; "d" "a" "m" 3; "e" "c" "f" "g" "i" 2;
"a" "h" "m" 3; "b" "a" "b" "l" "s" "x" 2; "c" "a" 3; "d" "a" "m" 3; "e" "c" "f" "g" "i" 2;
"a" "h" "m" 3; "b" "a" "b" "l" "s" "x" 2; "c" "a" 3; "d" "a" "m" 3; "e" "c" "f" "g" "i" 2;
"a" "h" "m" 3; "b" "a" "b" "l" "s" "x" 2; "c" "a" 3; "d" "a" "m" 3; "e" "c" "f" "g" "i" 2;
"a" "h" "m" 3; "b" "a" "b" "l" "s" "x" 2; "c" "a" 3; "d" "a" "m" 3; "e" "c" "f" "g" "i" 2;
"a" "h" "m" 3; "b" "a" "b" "l" "s" "x" 2; "c" "a" 3; "d" "a" "m" 3; "e" "c" "f" "g" "i" 2;
"a" "h" "m" 3; "b" "a" "b" "l" "s" "x" 2; "c" "a" "j" 3; "d" "a" "m" "y" 3; "e" "c" "f" "g" "i" 2;
"a" "h" "m" 3; "b" "a" "b" "l" "s" "x" 2; "c" "a" "j" 3; "d" "a" "m" "y" 3; "e" "c" "f" "g" "i" 2;
"a" "h" "m" 3; "b" "a" "b" "l" "s" "x" 2; "c" "a" "j" 3; "d" "a" "m" "y" 3; "e" "c" "f" "g" "i" 2;
"a" "h" "m" 3; "b" "a" "b" "l" "s" "x" 2; "c" "a" "j" 3; "d" "a" "m" "y" 3; "e" "c" "f" "g" "i" 2;
"a" "h" "m" 3; "b" "a" "b" "l" "s" "x" 2; "c" "a" "j" 3; "d" "a" "m" "y" 3; "e" "c" "f" "g" "i" "k" 2;
"a" "h" "m" 3; "b" "a" "b" "l" "s" "x" 2; "c" "a" "j" 3; "d" "a" "m" "y" 3; "e" "c" "f" "g" "i" "k" "v" 2;
"a" "h" "m" 3; "b" "a" "b" "l" "s" "x" 2; "c" "a" "j" 3; "d" "a" "m" "y" 3; "e" "c" "f" "g" "i" "k" "v" 2;
"a" "h" "m" 3; "b" "a" "b" "l" "s" "x" 2; "c" "a" "j" 3; "d" "a" "m" "y" 3; "e" "c" "f" "g" "i" "k" "v" 2;
"a" "h" "m" 3; "b" "a" "b" "l" "s" "x" 2; "c" "a" "j" 3; "d" "a" "m" "y" 3; "e" "c" "f" "g" "i" "k" "v" 2;
"a" "h" "m" 3; "b" "a" "b" "l" "s" "x" 2; "c" "a" "j" 3; "d" "a" "m" "y" 3; "e" "c" "f" "g" "i" "k" "v" 2;
"a" "h" "m" 3; "b" "a" "b" "l" "s" "x" 2; "c" "a" "j" 3; "d" "a" "m" "y" 3; "e" "c" "f" "g" "i" "k" "v" 2;
"a" "h" "m" "p" 3; "b" "a" "b" "l" "s" "x" 2; "c" "a" "j" 3; "d" "a" "m" "y" 3; "e" "c" "f" "g" "i" "k" "v" 2;
"a" "h" "m" "p" 3; "b" "a" "b" "l" "s" "x" 2; "c" "a" "j" 3; "d" "a" "m" "y" 3; "e" "c" "f" "g" "i" "k" "v" 2;
"a" "h" "m" "p" 3; "b" "a" "b" "l" "s" "x" 2; "c" "a" "j" 3; "d" "a" "m" "y" 3; "e" "c" "f" "g" "i" "k" "v" 2;
"a" "h" "m" "p" 3; "b" "a" "b" "l" "s" "x" 2; "c" "a" "j" 3; "d" "a" "m" "y" 3; "e" "c" "f" "g" "i" "k" "v" 2;
"a" "p" 4; "b" "a" "b" "l" "s" "x" 2; "c" "a" "j" 3; "d" "a" "m" "y" 3; "e" "c" "f" "g" "h" "i" "k" "v" 2;
"a" "p" 5; "b" "a" "b" "l" "s" "x" 2; "c" "a" "j" 3; "d" "a" "m" "y" 3; "e" "c" "f" "g" "h" "i" "k" "v" 2;
"a" "p" 5; "b" "a" "b" "l" "s" "x" 2; "c" "a" "j" 3; "d" "a" "m" "y" 3; "e" "c" "f" "g" "h" "i" "k" "v" 2;
"a" "p" 5; "b" "a" "b" "l" "s" "x" 2; "c" "a" "j" "k" 3; "d" "m" 4; "e" "c" "f" "g" "h" "i" "k" "v" 2;
"a" "p" 5; "b" "a" "b" "l" "s" "u" "x" 2; "c" "a" "j" "k" 3; "d" "m" 5; "e" "c" "f" "g" "h" "i" "k" "v" 2;
"a" "p" 5; "b" "a" "b" "l" "s" "u" "x" 2; "c" "a" "j" "k" 3; "d" "m" 5; "e" "c" "f" "g" "h" "i" "k" "v" 2;
"a" "p" 5; "b" "u" 3; "c" "a" "j" "k" 3; "d" "m" 5; "e" "c" "f" "g" "h" "i" "k" "v" 2;
"a" "p" 5; "b" "u" 3; "c" "a" "j" "k" 3; "d" "m" 5; "e" "c" "f" "g" "h" "i" "k" "v" 2;
"a" "p" 5; "b" "u" 3; "c" "a" "j" "k" 3; "d" "m" 5; "e" "g" 3;
"a" "p" 5; "b" "u" 3; "c" "a" "j" "k" "t" 3; "d" "m" 5; "e" "g" 3;
"a" "p" 5; "b" "u" 3; "c" "a" "j" "k" "t" 3; "d" "m" 5; "e" "g" 3;
"a" "p" 5; "b" "u" 3; "c" "a" "j" "k" "t" 3; "d" "m" 5; "e" "g" 3;
"a" "p" 5; "b" "u" 3; "c" "a" "j" "k" "t" 3; "d" "m" 5; "e" "g" 3;
"a" "p" 5; "b" "u" 3; "c" "a" "j" "k" "t" 3; "d" "m" "y" 4; "e" "g" "k" 3;
"a" "p" 5; "b" "u" 3; "c" "a" "j" "k" "t" 3; "d" "m" "y" 4; "e" "g" "k" 3;
"a" "p" 5; "b" "u" 3; "c" "j" 4; "d" "m" "y" 4; "e" "g" "k" 3;
"a" "p" 5; "b" "u" 3; "c" "j" 4; "d" "m" "y" 4; "e" "g" "k" 3;
"a" "p" 5; "b" "u" 3; "c" "j" 4; "d" "m" "y" 4; "e" "g" "k" 3;
"a" "p" 5; "b" "u" 3; "c" "b" "j" "t" 4; "d" "m" "y" 4; "e" "g" "k" 3;
"a" "p" 5; "b" "u" 3; "c" "b" "j" "t" 4; "d" "m" "y" 4; "e" "g" "k" 3;
"a" "p" 5; "b" "u" 3; "c" "b" "j" "t" 4; "d" "m" "y" 4; "e" "g" "k" 3;
"a" "p" 5; "b" "u" 3; "c" "b" "j" "t" 4; "d" "m" "y" 4; "e" "g" "k" 3;
"a" "p" 5; "b" "u" 3; "c" "b" "j" "t" 4; "d" "m" "y" 4; "e" "g" "k" 3;
"a" "p" 5; "b" "u" 3; "c" "b" "j" "t" 4; "d" "m" "y" 4; "e" "g" "k" 3;
"a" "p" 5; "b" "u" 3; "c" "b" "j" "t" 4; "d" "m" "y" 4; "e" "g" "k" 3;
"a" "p" 5; "b" "u" 3; "c" "b" "j" "t" 4; "d" "m" "y" 4; "e" "g" "k" 3;
"a" "p" 5; "b" "u" 3; "c" "b" "j" "t" 4; "d" "m" "y" 4; "e" "g" "k" 3;
"a" "p" 5; "b" "u" 3; "c" "b" "j" "t" 4; "d" "m" "y" 4; "e" "g" "k" 3;
"a" "p" 5; "b" "u" 3; "c" "b" "j" "t" 4; "d" "m" "y" 4; "e" "k" 4;
