none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"e" "j" 1;
"e" "j" 1;
"e" "j" 1;
"e" "j" 1;
"a" "b" 1; "e" "j" 1;
"a" "b" 1; "e" "j" 1;
"a" "b" 1; "d" "c" 1; "e" "j" 1;
"a" "b" 1; "d" "c" 1; "e" "j" 1;
"a" "b" 1; "c" "i" 1; "d" "c" "o" 1; "e" "j" 1;
"a" "b" 1; "c" "i" 1; "d" "c" "o" 1; "e" "j" 1;
"a" "b" "h" 1; "c" "i" 1; "d" "p" 2; "e" "d" "j" 1;
"a" "b" "h" 1; "c" "i" 1; "d" "p" 2; "e" "d" "j" 1;
"a" "b" "h" 1; "c" "i" 1; "d" "p" 2; "e" "d" "j" 1;
"a" "b" "h" 1; "c" "i" 1; "d" "p" 2; "e" "d" "j" 1;
"a" "b" "h" "i" 1; "b" "m" "p" "v" "y" 1; "c" "a" "i" "j" "w" 1; "d" "p" 3; "e" "a" "c" "j" "q" "w" 1;
"a" "b" "h" "i" "v" 1; "b" "m" "p" "v" "y" 1; "c" "j" 2; "d" "p" 3; "e" "j" 2;
"a" "b" "h" "i" "v" 1; "b" "m" "p" "v" "y" 1; "c" "j" 2; "d" "p" 3; "e" "j" 2;
"a" "b" "h" "i" "v" 1; "b" "m" "p" "v" "y" 1; "c" "j" 2; "d" "p" 3; "e" "j" 2;
"a" "b" "h" "i" "v" 1; "b" "m" "o" "p" "v" "y" 1; "c" "j" 2; "d" "p" 4; "e" "j" 2;
"a" "b" "h" "i" "v" 1; "b" "m" "o" "p" "v" "y" 1; "c" "j" 2; "d" "p" 4; "e" "j" 2;
"a" "b" "h" "i" "v" 1; "b" "m" "o" "p" "v" "y" 1; "c" "a" "j" 2; "d" "p" 4; "e" "j" 2;
"a" "a" "b" "h" "i" "v" 1; "b" "m" "o" "p" "v" "y" 1; "c" "a" "j" 2; "d" "p" 4; "e" "j" 2;
"a" "a" "b" "h" "i" "u" "v" 1; "b" "g" "h" "m" "o" "p" "v" "y" 1; "c" "a" "j" 2; "d" "p" 4; "e" "j" 2;
"a" "a" "b" "h" "i" "u" "v" 1; "b" "g" "h" "m" "o" "p" "v" "y" 1; "c" "a" "j" 2; "d" "p" 4; "e" "j" 2;
"a" "a" "b" "h" "i" "u" "v" 1; "b" "g" "h" "m" "o" "p" "v" "y" 1; "c" "a" "j" 2; "d" "p" 4; "e" "j" 2;
"a" "a" "b" "h" "i" "u" "v" 1; "b" "g" "h" "m" "o" "p" "s" "v" "y" 1; "c" "a" "j" 2; "d" "p" 4; "e" "j" 2;
"a" "a" "b" "h" "i" "u" "v" 1; "b" "g" "h" "m" "o" "p" "s" "v" "y" 1; "c" "a" "j" 2; "d" "p" 4; "e" "j" 2;
"a" "a" "b" "h" "i" "u" "v" 1; "b" "g" "h" "m" "o" "p" "s" "v" "y" 1; "c" "a" "j" 2; "d" "p" 4; "e" "j" 2;
"a" "a" "b" "h" "i" "u" "v" 1; "b" "g" "h" "m" "o" "p" "s" "v" "y" 1; "c" "a" "j" 2; "d" "p" 4; "e" "j" 2;
"a" "a" "b" "h" "i" "u" "v" 1; "b" "g" "h" "m" "o" "p" "s" "v" "y" 1; "c" "a" "j" 2; "d" "p" 4; "e" "j" 2;
"a" "a" "b" "h" "i" "u" "v" 1; "b" "g" "h" "m" "o" "p" "s" "v" "y" 1; "c" "a" "j" 2; "d" "p" 4; "e" "j" 2;
"a" "a" "b" "h" "i" "u" "v" 1; "b" "g" "h" "m" "o" "p" "s" "v" "y" 1; "c" "a" "j" 2; "d" "p" 4; "e" "j" 2;
"a" "a" "b" "h" "i" "u" "v" 1; "b" "o" 2; "c" "a" "j" 2; "d" "p" 4; "e" "j" 2;
"a" "a" "b" "h" "i" "r" "u" "v" 1; "b" "o" 2; "c" "a" "j" 2; "d" "p" 4; "e" "j" 2;
"a" "a" "b" "h" "i" "r" "u" "v" 1; "b" "m" "o" 2; "c" "a" "j" 2; "d" "p" 4; "e" "j" 2;
"a" "a" "b" "h" "i" "r" "u" "v" 1; "b" "m" "o" 2; "c" "a" "j" 2; "d" "p" 4; "e" "j" 2;
"a" "a" "b" "h" "i" "r" "u" "v" 1; "b" "m" "o" "v" 2; "c" "a" "j" 2; "d" "p" 4; "e" "j" 2;
"a" "a" "b" "h" "i" "r" "u" "v" 1; "b" "m" "o" "v" 2; "c" "a" "j" 2; "d" "p" 4; "e" "j" 2;
"a" "a" "b" "h" "i" "r" "u" "v" 1; "b" "m" "o" "v" 2; "c" "a" "j" 2; "d" "p" 4; "e" "j" 2;
"a" "a" "b" "h" "i" "r" "u" "v" 1; "b" "m" "o" "v" 2; "c" "a" "j" 2; "d" "p" 5; "e" "j" 2;
"a" "a" "b" "h" "i" "r" "u" "v" 1; "b" "m" "o" "v" 2; "c" "a" "j" 2; "d" "p" 5; "e" "j" 2;
"a" "a" "b" "h" "i" "r" "u" "v" 1; "b" "m" "o" "v" 2; "c" "a" "j" 2; "d" "p" 5; "e" "j" 2;
"a" "a" "b" "h" "i" "r" "u" "v" 1; "b" "m" "o" "v" 2; "c" "a" "j" 2; "d" "p" 5; "e" "j" "l" 2;
"a" "a" "b" "h" "i" "r" "u" "v" 1; "b" "m" "o" "v" 2; "c" "a" "j" 2; "d" "p" 5; "e" "j" "l" 2;
"a" "a" "b" "h" "i" "r" "u" "v" 1; "b" "m" "o" "v" 2; "c" "a" "j" 2; "d" "p" 5; "e" "j" "l" 2;
"a" "a" "b" "h" "i" "r" "u" "v" 1; "b" "m" "o" "v" 2; "c" "a" "j" 2; "d" "p" 5; "e" "j" "l" 2;
"a" "a" "b" "h" "i" "r" "u" "v" 1; "b" "m" "o" "v" 2; "c" "a" "j" 2; "d" "p" 5; "e" "j" "l" 2;
"a" "a" "b" "h" "i" "r" "u" "v" 1; "b" "m" "o" "v" 2; "c" "a" "f" "j" 2; "d" "p" 5; "e" "j" "l" 2;
"a" "a" "b" "h" "i" "r" "u" "v" "x" 1; "b" "m" "o" "v" 2; "c" "a" "f" "j" 2; "d" "p" 5; "e" "j" "l" 2;
"a" "a" "b" "h" "i" "r" "u" "v" "x" 1; "b" "m" "o" "v" 2; "c" "a" "f" "j" 2; "d" "p" 5; "e" "j" "l" 2;
"a" "r" 2; "b" "m" "o" "v" 2; "c" "a" "j" 2; "d" "p" 5; "e" "j" "l" 2;
"a" "r" 2; "b" "m" "o" "v" 2; "c" "a" "j" 2; "d" "p" 5; "e" "j" "l" 2;
"a" "r" 2; "b" "m" "o" "v" 2; "c" "a" "j" 2; "d" "p" 5; "e" "j" "l" 2;
"a" "r" 2; "b" "m" "o" "v" 2; "c" "a" "j" 2; "d" "p" 5; "e" "j" "l" 2;
"a" "r" 2; "b" "m" "o" "v" 2; "c" "a" "j" 2; "d" "p" 5; "e" "j" "l" 2;
"a" "r" 2; "b" "m" "o" "v" 2; "c" "a" "j" 2; "d" "p" 5; "e" "j" "l" 2;
"a" "r" 2; "b" "m" "o" "v" 2; "c" "a" "j" 2; "d" "p" 5; "e" "j" "l" 2;
"a" "r" 2; "b" "m" "o" "v" 2; "c" "a" "j" 2; "d" "p" 5; "e" "j" 3;
"a" "r" 2; "b" "m" "o" "v" 2; "c" "a" "j" 2; "d" "p" 5; "e" "j" 3;
"a" "r" 2; "b" "m" "o" "v" 2; "c" "a" "j" 2; "d" "p" 5; "e" "j" 3;
"a" "r" 2; "b" "m" "o" "p" "v" 2; "c" "a" "f" "j" 2; "d" "p" 5; "e" "j" 3;
"a" "r" 2; "b" "k" "m" "o" "p" "v" 2; "c" "a" "f" "j" 2; "d" "p" 5; "e" "j" 3;
"a" "r" 2; "b" "k" "m" "o" "p" "v" 2; "c" "a" "f" "j" 2; "d" "p" 5; "e" "j" 3;
"a" "r" 2; "b" "k" "m" "o" "p" "v" 2; "c" "a" "f" "j" 2; "d" "p" 5; "e" "j" 3;
"a" "r" 2; "b" "k" "m" "o" "p" "v" 2; "c" "a" "f" "j" 2; "d" "p" 5; "e" "j" 3;
"a" "r" "y" 2; "b" "k" "m" "o" "p" "v" 2; "c" "a" "f" "j" 2; "d" "p" 5; "e" "j" 3;
"a" "r" "y" 2; "b" "k" "m" "o" "p" "v" 2; "c" "a" "f" "j" 2; "d" "p" 5; "e" "j" 3;
"a" "r" "y" 2; "b" "k" "m" "o" "p" "v" 2; "c" "a" "f" "j" 2; "d" "p" 5; "e" "j" 3;
"a" "r" "y" 2; "b" "k" "m" "o" "p" "v" 2; "c" "a" "f" "j" 2; "d" "p" 5; "e" "j" 3;
"a" "r" "y" 2; "b" "j" "k" "m" "o" "p" "v" 2; "c" "a" "f" "j" 2; "d" "p" 5; "e" "j" 3;
"a" "r" "y" 2; "b" "j" "k" "m" "o" "p" "v" 2; "c" "a" "f" "j" 2; "d" "p" 5; "e" "j" 3;
"a" "y" 3; "b" "j" "k" "m" "o" "p" "v" 2; "c" "a" "f" "j" 2; "d" "p" 5; "e" "j" 3;
"a" "y" 3; "b" "o" 3; "c" "a" "f" "j" 2; "d" "p" 5; "e" "j" 3;
"a" "y" 3; "b" "o" 3; "c" "a" "f" "j" "k" 2; "d" "p" 5; "e" "j" 3;
"a" "y" 3; "b" "o" 3; "c" "a" "f" "j" "k" 2; "d" "p" 5; "e" "j" 3;
"a" "y" 3; "b" "o" 3; "c" "a" "f" "j" "k" 2; "d" "p" 5; "e" "j" 3;
"a" "y" 3; "b" "o" 3; "c" "a" "f" "j" "k" 2; "d" "p" 5; "e" "j" 3;
"a" "y" 3; "b" "o" 3; "c" "a" "f" "j" "k" 2; "d" "p" 5; "e" "j" 3;
"a" "y" 3; "b" "o" 3; "c" "a" "f" "j" "k" 2; "d" "p" 5; "e" "j" 3;
"a" "y" 3; "b" "o" 3; "c" "a" "f" "j" "k" 2; "d" "p" 5; "e" "j" 3;
"a" "y" 3; "b" "o" 3; "c" "a" "f" "j" "k" 2; "d" "p" 5; "e" "j" 3;
"a" "y" 3; "b" "o" 3; "c" "a" "f" "j" "k" 2; "d" "p" 5; "e" "j" 3;
"a" "y" 3; "b" "o" 3; "c" "a" "f" "j" "k" 2; "d" "p" 5; "e" "j" 3;
"a" "y" 3; "b" "o" 3; "c" "a" "f" "j" "k" 2; "d" "p" 5; "e" "j" 3;
"a" "y" 3; "b" "o" 3; "c" "a" "f" "j" "k" 2; "d" "p" 5; "e" "j" 3;
"a" "y" 3; "b" "o" 3; "c" "a" "f" "j" "k" 2; "d" "p" 5; "e" "j" 3;
"a" "y" 3; "b" "o" 3; "c" "a" "f" "j" "k" 2; "d" "p" 5; "e" "j" 3;
"a" "y" 3; "b" "o" 3; "c" "a" "f" "g" "j" "k" 2; "d" "p" 5; "e" "j" 3;
"a" "y" 3; "b" "o" "s" 3; "c" "a" "f" "g" "j" "k" 2; "d" "p" 5; "e" "j" 3;
"a" "y" 3; "b" "o" "s" 3; "c" "a" "f" "g" "j" "k" 2; "d" "p" 5; "e" "j" 3;
"a" "y" 3; "b" "o" "s" 3; "c" "a" "f" "g" "j" "k" 2; "d" "p" 5; "e" "j" 3;
"a" "y" 3; "b" "o" "s" 3; "c" "a" "f" "g" "j" "k" 2; "d" "p" 5; "e" "j" 3;
"a" "y" 3; "b" "o" "s" 3; "c" "a" "f" "g" "j" "k" 2; "d" "p" 5; "e" "j" 3;
"a" "y" 3; "b" "o" "s" 3; "c" "a" "f" "g" "j" "k" 2; "d" "p" 5; "e" "j" 3;
"a" "y" 3; "b" "o" "s" 3; "c" "a" "f" "g" "j" "k" 2; "d" "p" 5; "e" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "g" 3; "d" "p" 5; "e" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "g" 3; "d" "p" 5; "e" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "f" "g" 3; "d" "p" 5; "e" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "f" "g" 3; "d" "p" 5; "e" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "f" "g" 3; "d" "p" 5; "e" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "f" "g" 3; "d" "p" 5; "e" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "f" "g" 3; "d" "p" 5; "e" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "f" "g" 3; "d" "p" 5; "e" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "f" "g" 3; "d" "p" 5; "e" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "f" "g" 3; "d" "p" 5; "e" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "f" "g" 3; "d" "p" 5; "e" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "f" "g" 3; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "f" "g" 3; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "f" "g" 3; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "f" "g" 3; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "f" "g" 3; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "f" "g" 3; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "g" 4; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "g" 4; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "g" 4; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "g" 4; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "g" 4; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "g" 4; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "g" 4; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "g" 4; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "g" 4; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "g" 4; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "g" 4; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "g" 4; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "g" 4; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "g" 4; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "g" 4; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "g" 4; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "g" 4; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "g" 4; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "g" 4; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "g" 4; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "g" 4; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "g" 4; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "g" 4; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "g" 4; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "g" 4; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "g" 4; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "g" 4; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "g" 4; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "g" 4; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "g" 4; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "g" 4; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "g" 4; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "g" 4; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "g" 4; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "g" 4; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "g" 4; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "g" 4; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "g" 4; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "g" 4; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "g" 5; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "g" 5; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "s" 4; "c" "g" 5; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "j" "s" 4; "c" "g" 5; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "j" "s" 4; "c" "g" 5; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "j" "s" 4; "c" "g" 5; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "j" "s" 4; "c" "g" 5; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "j" "s" 4; "c" "g" 5; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "j" "s" 4; "c" "g" 5; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "j" "s" 4; "c" "g" 5; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "j" "s" 4; "c" "g" 5; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "j" "s" 4; "c" "g" 5; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "j" "s" 4; "c" "g" 5; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "j" "s" 4; "c" "g" 5; "d" "p" 5; "e" "c" "j" 3;
"a" "y" 3; "b" "j" "m" "s" 4; "c" "g" 5; "d" "p" 6; "e" "j" 3;
"a" "y" 3; "b" "j" "m" "s" 4; "c" "g" 5; "d" "p" 6; "e" "j" 3;
"a" "y" 3; "b" "j" "m" "s" 4; "c" "g" 5; "d" "p" 6; "e" "j" 3;
"a" "l" "y" 3; "b" "j" "m" "s" 4; "c" "g" 6; "d" "p" 6; "e" "j" "x" 3;
"a" "l" "y" 3; "b" "j" "m" "s" 4; "c" "g" 6; "d" "p" 6; "e" "j" "x" 3;
"a" "l" "x" "y" 3; "b" "j" "m" "s" 4; "c" "g" 6; "d" "p" 6; "e" "j" "x" 3;
"a" "l" "x" "y" 3; "b" "j" "m" "s" 4; "c" "g" 6; "d" "p" 6; "e" "j" "x" 3;
"a" "l" "x" "y" 3; "b" "j" "m" "s" 4; "c" "g" 6; "d" "p" 6; "e" "j" "x" 3;
"a" "l" "x" "y" 3; "b" "j" "m" "s" 4; "c" "g" 6; "d" "p" 6; "e" "j" "x" 3;
"a" "l" "x" "y" 3; "b" "j" "m" "s" 4; "c" "g" 6; "d" "p" 6; "e" "j" "x" 3;
"a" "l" "x" "y" 3; "b" "j" "m" "s" 4; "c" "g" 6; "d" "p" 6; "e" "j" "x" 3;
"a" "l" "x" "y" 3; "b" "j" "k" "m" "s" 4; "c" "g" 6; "d" "p" 6; "e" "j" "x" 3;
"a" "l" "x" "y" 3; "b" "j" "k" "m" "s" 4; "c" "g" 6; "d" "p" 6; "e" "j" "x" 3;
"a" "l" "x" "y" 3; "b" "j" "k" "m" "s" 4; "c" "g" 6; "d" "p" 6; "e" "j" "x" 3;
"a" "y" 4; "b" "k" 5; "c" "g" 6; "d" "p" 6; "e" "j" "k" "x" 3;
"a" "y" 4; "b" "k" 5; "c" "g" 6; "d" "p" 6; "e" "j" "k" "x" 3;
"a" "y" 4; "b" "k" 5; "c" "g" 6; "d" "p" 6; "e" "j" "k" "x" 3;
"a" "y" 4; "b" "k" 5; "c" "g" 6; "d" "p" 6; "e" "j" "k" "x" 3;
"a" "y" 4; "b" "k" 5; "c" "g" 6; "d" "p" 6; "e" "j" "k" "x" 3;
"a" "y" 4; "b" "k" 5; "c" "g" 6; "d" "p" 6; "e" "j" "k" "x" 3;
"a" "y" 4; "b" "k" 5; "c" "g" 6; "d" "p" 6; "e" "j" "k" "x" 3;
"a" "y" 4; "b" "k" 5; "c" "g" 6; "d" "p" 6; "e" "j" "k" "x" 3;
"a" "y" 4; "b" "k" 5; "c" "g" 6; "d" "p" 5; "e" "j" "k" "x" 3;
"a" "y" 4; "b" "k" 5; "c" "g" 6; "d" "p" 5; "e" "j" "k" "x" 3;
"a" "y" 4; "b" "k" 5; "c" "g" 6; "d" "p" 5; "e" "j" "k" "x" 3;
"a" "y" 4; "b" "k" 5; "c" "g" 6; "d" "p" 5; "e" "j" "k" "x" 3;
"a" "y" 4; "b" "k" 5; "c" "g" 6; "d" "p" 5; "e" "j" "k" "x" 3;
"a" "y" 4; "b" "k" 5; "c" "g" 6; "d" "p" 5; "e" "j" "k" "l" "x" 3;
"a" "y" 4; "b" "k" 5; "c" "g" 6; "d" "p" 5; "e" "j" "k" "l" "x" 3;
"a" "y" 4; "b" "k" 5; "c" "g" 6; "d" "p" 5; "e" "j" "k" "l" "x" 3;
"a" "y" 4; "b" "k" 5; "c" "g" 6; "d" "p" 5; "e" "j" "k" "l" "x" 3;
"a" "y" 4; "b" "k" 5; "c" "g" 6; "d" "p" 5; "e" "j" "k" "l" "x" 3;
"a" "y" 4; "b" "k" 5; "c" "g" 6; "d" "p" 5; "e" "j" "k" "l" "x" 3;
"a" "y" 4; "b" "k" 5; "c" "g" 6; "d" "p" 5; "e" "j" "k" "l" "x" 3;
"a" "y" 4; "b" "k" 6; "c" "g" 6; "d" "p" 5; "e" "x" 4;
"a" "y" 4; "b" "k" 6; "c" "g" 6; "d" "p" 5; "e" "x" 4;
"a" "y" 4; "b" "k" 6; "c" "g" 6; "d" "p" 5; "e" "x" 4;
"a" "y" 4; "b" "k" 6; "c" "g" 6; "d" "p" 5; "e" "x" 4;
"a" "y" 4; "b" "k" 6; "c" "g" 6; "d" "p" 5; "e" "x" 4;
"a" "y" 4; "b" "k" 6; "c" "g" 6; "d" "p" 5; "e" "x" 4;
"a" "y" 4; "b" "k" 6; "c" "g" 6; "d" "p" 5; "e" "x" 4;
"a" "y" 4; "b" "k" 6; "c" "g" 6; "d" "p" 5; "e" "x" 4;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 6; "d" "p" 5; "e" "x" 4;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 6; "d" "p" 5; "e" "x" 4;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 6; "d" "p" 5; "e" "x" 4;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 6; "d" "p" 5; "e" "x" 4;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 6; "d" "p" 5; "e" "j" "x" 4;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 6; "d" "p" 5; "e" "j" "x" 4;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 6; "d" "p" 5; "e" "j" "x" 4;
