none
none
none
none
none
none
none
none
none
"c" "e" 1;
"c" "e" 1;
"c" "e" 1;
"c" "e" 1;
"c" "e" 1;
"c" "e" 1;
"c" "e" 1;
"c" "e" 1;
"c" "e" 1;
"c" "e" 1;
"c" "e" 1;
"c" "e" 1;
"b" "y" 1; "c" "e" 1;
"b" "y" 1; "c" "e" 1;
"b" "y" 1; "c" "e" 1;
"b" "y" 1; "c" "e" 1;
"b" "y" 1; "c" "e" 1; "d" "r" 1;
"b" "y" 1; "c" "e" 1; "d" "r" 1;
"b" "y" 1; "c" "e" 1; "d" "r" 1;
"b" "s" "y" 1; "c" "e" 1; "d" "r" 1;
"b" "s" "y" 1; "c" "e" 1; "d" "r" 1;
"b" "s" "y" 1; "c" "e" 1; "d" "r" 1;
"b" "s" "y" 1; "c" "e" 1; "d" "r" 1;
"b" "s" "y" 1; "c" "e" "t" 1; "d" "r" 1;
"b" "s" "y" 1; "c" "e" "t" 1; "d" "r" 1;
"b" "s" "y" 1; "c" "e" "t" 1; "d" "r" 1;
"b" "s" "y" 1; "c" "e" "t" 1; "d" "r" 1;
"b" "e" "s" "w" "y" 1; "c" "e" "t" 1; "d" "r" 1;
"b" "e" "s" "w" "y" 1; "c" "e" "t" 1; "d" "l" "r" 1;
"b" "e" "s" "w" "y" 1; "c" "e" "t" 1; "d" "d" "l" "r" 1; "e" "f" "l" 1;
"a" "f" "t" 1; "b" "e" "s" "w" "y" 1; "c" "b" "e" "o" "r" "t" 1; "d" "d" "k" "l" "r" 1; "e" "b" 2;
"a" "f" "t" 1; "b" "e" "s" "w" "y" 1; "c" "b" "e" "o" "r" "t" 1; "d" "d" "k" "l" "r" 1; "e" "b" 2;
"a" "f" "t" 1; "b" "e" "s" "w" "y" 1; "c" "b" "e" "j" "o" "r" "t" "u" 1; "d" "d" "k" "l" "r" 1; "e" "b" 2;
"a" "f" "j" "t" 1; "b" "e" "s" "w" "y" 1; "c" "b" "e" "j" "o" "r" "t" "u" 1; "d" "d" "k" "l" "r" 1; "e" "b" 2;
"a" "f" "j" "t" 1; "b" "e" "s" "w" "y" 1; "c" "b" "e" "j" "o" "p" "r" "t" "u" 1; "d" "d" "k" "l" "r" 1; "e" "b" 3;
"a" "f" "j" "t" 1; "b" "e" "s" "w" "y" 1; "c" "b" "e" "j" "o" "p" "r" "t" "u" 1; "d" "d" "k" "l" "r" 1; "e" "b" 3;
"a" "f" "j" "t" "u" 1; "b" "e" "s" "w" "y" 1; "c" "b" "e" "j" "o" "p" "r" "t" "u" 1; "d" "d" "k" "l" "r" 1; "e" "b" 3;
"a" "f" "j" "t" "u" "w" 1; "b" "e" "s" "w" "y" 1; "c" "b" "e" "j" "o" "p" "r" "t" "u" 1; "d" "d" "k" "l" "r" 1; "e" "b" 3;
"a" "f" "j" "t" "u" "w" 1; "b" "e" "s" "w" "y" 1; "c" "b" "e" "j" "o" "p" "r" "t" "u" 1; "d" "d" "k" "l" "r" "u" 1; "e" "b" 3;
"a" "f" "j" "t" "u" "w" 1; "b" "e" "s" "w" "y" 1; "c" "b" "e" "j" "o" "p" "r" "t" "u" 1; "d" "d" "k" "l" "r" "u" 1; "e" "b" 3;
"a" "f" "j" "t" "u" "w" 1; "b" "e" "s" "w" "y" 1; "c" "t" 2; "d" "d" "k" "l" "r" "u" 1; "e" "b" 3;
"a" "f" "j" "t" "u" "w" 1; "b" "e" "s" "w" "y" 1; "c" "t" 2; "d" "d" "k" "l" "r" "u" 1; "e" "b" 3;
"a" "f" "j" "t" "u" "w" 1; "b" "e" "s" "w" "y" 1; "c" "t" 2; "d" "a" "d" "k" "l" "n" "r" "u" 1; "e" "b" 3;
"a" "f" "j" "t" "u" "w" 1; "b" "e" "s" "w" "y" 1; "c" "t" 2; "d" "a" "d" "k" "l" "n" "r" "u" 1; "e" "b" 3;
"a" "f" "j" "t" "u" "w" 1; "b" "e" "s" "w" "y" 1; "c" "t" 2; "d" "a" "c" "d" "k" "l" "n" "r" "u" 1; "e" "b" 3;
"a" "f" "j" "t" "u" "w" 1; "b" "e" "s" "w" "y" 1; "c" "t" 2; "d" "a" "c" "d" "k" "l" "n" "r" "u" 1; "e" "b" 3;
"a" "f" "j" "t" "u" "w" 1; "b" "e" "s" "w" "y" 1; "c" "t" 2; "d" "a" "c" "d" "k" "l" "n" "r" "u" "y" 1; "e" "b" 3;
"a" "f" "j" "t" "u" "w" 1; "b" "e" "s" "w" "y" 1; "c" "t" 2; "d" "a" "c" "d" "k" "l" "n" "r" "u" "y" 1; "e" "b" 3;
"a" "f" "j" "t" "u" "w" 1; "b" "e" "s" "w" "y" 1; "c" "t" 2; "d" "a" "c" "d" "k" "l" "n" "r" "u" "y" 1; "e" "b" 3;
"a" "f" "j" "q" "t" "u" "w" 1; "b" "e" "r" "s" "w" "x" "y" 1; "c" "t" 2; "d" "a" "c" "d" "k" "l" "n" "r" "u" "y" 1; "e" "b" 3;
"a" "f" "j" "q" "t" "u" "w" 1; "b" "e" "r" "s" "w" "x" "y" 1; "c" "t" 2; "d" "a" "c" "d" "k" "l" "n" "r" "u" "y" 1; "e" "b" 3;
"a" "f" "j" "q" "t" "u" "w" 1; "b" "e" "r" "s" "w" "x" "y" 1; "c" "t" 2; "d" "a" "c" "d" "k" "l" "n" "r" "u" "y" 1; "e" "b" 3;
"a" "f" "j" "q" "t" "u" "w" 1; "b" "e" "r" "s" "w" "x" "y" 1; "c" "t" 2; "d" "a" "c" "d" "k" "l" "n" "r" "u" "y" 1; "e" "b" 3;
"a" "f" "j" "o" "q" "t" "u" "w" "x" 1; "b" "e" "l" "q" "r" "s" "t" "w" "x" "y" 1; "c" "t" 2; "d" "u" 2; "e" "b" 3;
"a" "f" "j" "o" "q" "t" "u" "w" "x" 1; "b" "e" "k" "l" "n" "q" "r" "s" "t" "v" "w" "x" "y" 1; "c" "t" 2; "d" "u" 2; "e" "b" 3;
"a" "f" "j" "o" "q" "t" "u" "w" "x" 1; "b" "e" "k" "l" "n" "q" "r" "s" "t" "v" "w" "x" "y" 1; "c" "t" 2; "d" "u" 2; "e" "b" 3;
"a" "f" "j" "o" "q" "t" "u" "w" "x" 1; "b" "e" "k" "l" "n" "q" "r" "s" "t" "v" "w" "x" "y" 1; "c" "t" 2; "d" "u" 2; "e" "b" 3;
"a" "f" "j" "o" "q" "t" "u" "w" "x" 1; "b" "e" "k" "l" "n" "q" "r" "s" "t" "v" "w" "x" "y" 1; "c" "t" 2; "d" "u" 2; "e" "b" 3;
"a" "f" "j" "o" "q" "t" "u" "w" "x" 1; "b" "t" 2; "c" "t" 2; "d" "u" 2; "e" "b" 3;
"a" "f" "j" "o" "q" "t" "u" "w" "x" 1; "b" "t" 2; "c" "t" 2; "d" "u" 2; "e" "b" 3;
"a" "f" "j" "o" "q" "t" "u" "w" "x" 1; "b" "t" "u" 2; "c" "t" 2; "d" "u" 2; "e" "b" 3;
"a" "f" "j" "o" "q" "t" "u" "w" "x" 1; "b" "t" "u" 2; "c" "t" 2; "d" "u" 2; "e" "b" 3;
"a" "f" "j" "o" "q" "t" "u" "w" "x" 1; "b" "t" "u" 2; "c" "t" 2; "d" "s" "u" 2; "e" "b" 3;
"a" "f" "j" "o" "q" "t" "u" "w" "x" 1; "b" "t" "u" 2; "c" "t" 2; "d" "s" "u" 2; "e" "b" 3;
"a" "f" "j" "o" "q" "t" "u" "w" "x" 1; "b" "t" "u" 2; "c" "t" 2; "d" "s" "u" 2; "e" "b" 3;
"a" "f" "j" "o" "q" "t" "u" "w" "x" 1; "b" "t" "u" 2; "c" "t" 2; "d" "s" "u" 2; "e" "b" 3;
"a" "f" "j" "o" "q" "t" "u" "w" "x" 1; "b" "t" "u" 2; "c" "t" 2; "d" "c" "s" "u" 2; "e" "b" 3;
"a" "f" "j" "o" "q" "t" "u" "w" "x" 1; "b" "t" "u" 2; "c" "t" 2; "d" "s" 3; "e" "b" 3;
"a" "f" "j" "o" "q" "t" "u" "w" "x" 1; "b" "t" "u" 2; "c" "t" 2; "d" "s" 3; "e" "b" 3;
"a" "e" "f" "j" "o" "q" "t" "u" "w" "x" 1; "b" "t" "u" 2; "c" "t" 2; "d" "s" 3; "e" "b" 3;
"a" "e" "f" "j" "o" "q" "t" "u" "w" "x" 1; "b" "t" "u" 2; "c" "t" 2; "d" "s" 3; "e" "b" 3;
"a" "e" "f" "j" "o" "q" "t" "u" "w" "x" 1; "b" "t" "u" 2; "c" "t" 2; "d" "s" 3; "e" "b" 3;
"a" "c" "e" "f" "j" "o" "q" "t" "u" "w" "x" 1; "b" "t" "u" 2; "c" "t" 2; "d" "s" 3; "e" "b" 3;
"a" "c" "e" "f" "j" "o" "q" "t" "u" "w" "x" 1; "b" "t" "u" 2; "c" "t" 2; "d" "s" 3; "e" "b" 3;
"a" "o" 2; "b" "t" "u" 2; "c" "t" 2; "d" "s" 3; "e" "b" 3;
"a" "o" 2; "b" "t" "u" 2; "c" "t" 2; "d" "s" 3; "e" "b" 3;
"a" "o" 2; "b" "t" "u" 2; "c" "l" "t" 2; "d" "s" 3; "e" "b" "z" 3;
"a" "o" 2; "b" "t" "u" 2; "c" "l" "t" 2; "d" "s" 3; "e" "b" "z" 3;
"a" "o" 2; "b" "e" "t" "u" 2; "c" "l" "t" 2; "d" "s" 3; "e" "b" "z" 3;
"a" "o" 2; "b" "e" "t" "u" 2; "c" "l" "t" 2; "d" "s" 3; "e" "b" "z" 3;
"a" "o" 2; "b" "e" "t" "u" 2; "c" "l" "t" 2; "d" "s" 3; "e" "b" "z" 3;
"a" "o" 2; "b" "e" "t" "u" 2; "c" "l" "t" 2; "d" "s" 3; "e" "b" "z" 3;
"a" "o" 2; "b" "e" "n" "t" "u" 2; "c" "l" "t" 2; "d" "s" 3; "e" "b" "z" 3;
"a" "o" 2; "b" "e" "n" "t" "u" 2; "c" "l" "t" 2; "d" "s" 3; "e" "b" "z" 3;
"a" "o" 2; "b" "e" "n" "t" "u" 2; "c" "l" "t" 2; "d" "s" 3; "e" "b" "z" 3;
"a" "o" 2; "b" "e" "n" "t" "u" 2; "c" "l" "t" 2; "d" "s" 3; "e" "b" "z" 3;
"a" "f" "o" "x" 2; "b" "e" "n" "t" "u" 2; "c" "l" "t" 2; "d" "s" 3; "e" "b" "z" 3;
"a" "f" "o" "x" 2; "b" "n" 3; "c" "l" "t" 2; "d" "s" 3; "e" "b" "z" 3;
"a" "f" "o" "x" 2; "b" "n" 3; "c" "l" "t" 2; "d" "s" 3; "e" "b" "z" 3;
"a" "f" "o" "x" 2; "b" "n" 3; "c" "l" "t" 2; "d" "s" 3; "e" "b" "z" 3;
"a" "f" "o" "x" 2; "b" "n" 3; "c" "l" "t" 2; "d" "s" 3; "e" "b" "z" 3;
"a" "f" "o" "x" 2; "b" "n" 3; "c" "l" "t" 2; "d" "s" 3; "e" "b" "z" 3;
"a" "f" "o" "x" 2; "b" "n" 3; "c" "l" "t" 2; "d" "s" 3; "e" "b" "z" 3;
"a" "f" "o" "x" 2; "b" "n" 3; "c" "l" "t" 2; "d" "s" 3; "e" "b" "z" 3;
"a" "f" "o" "x" 2; "b" "n" 3; "c" "l" "t" 2; "d" "s" 3; "e" "b" "z" 3;
"a" "f" "o" "x" 2; "b" "n" 3; "c" "l" "t" 2; "d" "s" 3; "e" "b" "z" 3;
"a" "f" "o" "x" 2; "b" "n" 3; "c" "l" "t" 2; "d" "s" 3; "e" "b" "z" 3;
"a" "f" "o" "x" 2; "b" "n" 3; "c" "l" "t" 2; "d" "s" 3; "e" "b" "z" 3;
"a" "f" "o" "x" 2; "b" "n" 3; "c" "l" "t" 2; "d" "s" 3; "e" "b" "z" 3;
"a" "f" "o" "w" "x" 2; "b" "n" 3; "c" "l" "q" "t" 2; "d" "s" 3; "e" "b" "z" 3;
"a" "f" "o" "w" "x" 2; "b" "n" 3; "c" "l" "q" "t" 2; "d" "s" 3; "e" "b" "z" 3;
"a" "f" "o" "w" "x" 2; "b" "n" 3; "c" "l" "q" "t" 2; "d" "s" 3; "e" "b" "z" 3;
"a" "f" "o" "w" "x" 2; "b" "n" 3; "c" "l" "q" "t" 2; "d" "s" 3; "e" "b" "z" 3;
"a" "f" "o" "w" "x" 2; "b" "n" 3; "c" "l" "q" "t" 2; "d" "s" 3; "e" "b" "z" 3;
"a" "f" "o" "w" "x" 2; "b" "n" 3; "c" "l" "q" "t" 2; "d" "s" 3; "e" "b" "z" 3;
"a" "f" "o" "w" "x" 2; "b" "n" 3; "c" "l" "q" "t" 2; "d" "s" 3; "e" "b" "z" 3;
"a" "f" "o" "w" "x" 2; "b" "n" 3; "c" "l" "q" "t" 2; "d" "s" 3; "e" "b" "z" 3;
"a" "f" "o" "w" "x" 2; "b" "n" 3; "c" "l" "q" "t" 2; "d" "s" 3; "e" "b" "z" 3;
"a" "f" "o" "w" "x" 2; "b" "n" 3; "c" "l" "q" "t" 2; "d" "s" 3; "e" "b" "z" 3;
"a" "f" "o" "w" "x" 2; "b" "n" 3; "c" "l" "q" "t" 2; "d" "s" 3; "e" "b" "z" 3;
"a" "f" "o" "w" "x" 2; "b" "n" 3; "c" "l" "q" "t" 2; "d" "s" 3; "e" "b" "z" 3;
"a" "f" "o" "w" "x" 2; "b" "n" "u" 3; "c" "l" "q" "t" 2; "d" "s" 3; "e" "b" "i" "z" 3;
"a" "f" "o" "w" "x" 2; "b" "n" "u" 3; "c" "l" "q" "t" 2; "d" "s" 3; "e" "b" "i" "z" 3;
"a" "f" "o" "w" "x" 2; "b" "n" "u" 3; "c" "l" "q" "t" 2; "d" "s" 3; "e" "b" "i" "z" 3;
"a" "f" "o" "w" "x" 2; "b" "n" "u" 3; "c" "l" "q" "t" 2; "d" "s" 3; "e" "b" "i" "z" 3;
"a" "f" "o" "w" "x" 2; "b" "n" "u" 3; "c" "l" "q" "t" 2; "d" "s" 3; "e" "b" "i" "z" 3;
"a" "f" "o" "w" "x" 2; "b" "n" "u" 3; "c" "l" "q" "t" 2; "d" "s" 3; "e" "b" "i" "z" 3;
"a" "f" "o" "w" "x" 2; "b" "n" 4; "c" "l" "q" "t" 2; "d" "s" 3; "e" "b" "i" "z" 3;
"a" "f" "o" "w" "x" 2; "b" "n" 4; "c" "l" "q" "t" 2; "d" "s" 3; "e" "b" "i" "z" 3;
"a" "f" "o" "w" "x" 2; "b" "n" 4; "c" "l" "q" "t" 2; "d" "s" 3; "e" "b" "i" "z" 3;
"a" "f" "o" "w" "x" 2; "b" "n" 4; "c" "l" 3; "d" "s" 3; "e" "b" "i" "z" 3;
"a" "f" "o" "w" "x" 2; "b" "n" 4; "c" "l" 3; "d" "s" 3; "e" "b" "i" "z" 3;
"a" "f" "o" "w" "x" 2; "b" "n" 4; "c" "l" 3; "d" "s" 3; "e" "b" "i" "z" 3;
"a" "f" "o" "w" "x" 2; "b" "n" 4; "c" "l" 3; "d" "s" 3; "e" "b" "i" "z" 3;
"a" "f" "o" "w" "x" 2; "b" "n" 4; "c" "l" 3; "d" "s" 3; "e" "b" "i" "z" 3;
"a" "f" "o" "w" "x" 2; "b" "n" 4; "c" "l" 4; "d" "s" 3; "e" "b" "i" "z" 3;
"a" "f" "o" "r" "w" "x" 2; "b" "n" 4; "c" "l" 4; "d" "s" 4; "e" "b" "i" "z" 3;
"a" "r" 3; "b" "n" 4; "c" "l" 4; "d" "s" 4; "e" "b" "i" "z" 3;
"a" "r" 3; "b" "n" 4; "c" "l" 4; "d" "s" 4; "e" "b" "i" "z" 3;
"a" "r" 3; "b" "n" 4; "c" "l" 4; "d" "s" 4; "e" "b" "i" "z" 3;
"a" "r" 3; "b" "n" 4; "c" "l" 4; "d" "s" 4; "e" "b" "i" "z" 3;
"a" "r" 3; "b" "n" 4; "c" "l" 4; "d" "s" 4; "e" "b" "i" "z" 3;
"a" "r" 3; "b" "n" 4; "c" "l" 4; "d" "s" 4; "e" "b" "i" "z" 3;
"a" "r" 3; "b" "n" 4; "c" "l" 4; "d" "s" 4; "e" "b" "i" "z" 3;
"a" "r" 3; "b" "n" 4; "c" "l" 4; "d" "s" 4; "e" "b" "i" "z" 3;
"a" "r" 3; "b" "n" 4; "c" "l" 4; "d" "s" 4; "e" "b" "i" "z" 3;
"a" "h" "r" 3; "b" "n" 4; "c" "l" 4; "d" "s" 4; "e" "b" "i" "z" 3;
"a" "h" "r" 3; "b" "n" 4; "c" "l" 4; "d" "s" 4; "e" "b" "i" "z" 3;
"a" "h" "r" 3; "b" "n" 4; "c" "l" 4; "d" "s" 4; "e" "b" "i" "z" 3;
"a" "h" "r" 3; "b" "n" 4; "c" "l" 4; "d" "s" 4; "e" "b" "i" "z" 3;
"a" "h" "r" 3; "b" "n" 4; "c" "l" 4; "d" "s" 4; "e" "b" "i" "z" 3;
"a" "h" "r" 3; "b" "n" 4; "c" "l" 4; "d" "s" 4; "e" "b" "i" "z" 3;
"a" "h" "r" 3; "b" "n" 4; "c" "l" 4; "d" "s" 4; "e" "b" "i" "z" 3;
"a" "h" "r" 3; "b" "n" 4; "c" "l" 4; "d" "s" 4; "e" "b" "i" "z" 3;
"a" "h" "r" 3; "b" "n" 4; "c" "l" 4; "d" "s" 4; "e" "b" "i" "z" 3;
"a" "h" "r" 3; "b" "n" 4; "c" "l" 4; "d" "s" 4; "e" "b" "i" "z" 3;
"a" "h" "r" 3; "b" "n" 4; "c" "l" 4; "d" "s" 4; "e" "b" "i" "z" 3;
"a" "h" "r" 3; "b" "n" 4; "c" "l" 4; "d" "s" 4; "e" "b" "i" "z" 3;
"a" "h" "r" 3; "b" "n" 4; "c" "l" 4; "d" "s" 4; "e" "b" "i" "z" 3;
"a" "h" "r" 3; "b" "n" 4; "c" "l" 4; "d" "s" 4; "e" "b" "i" "z" 3;
"a" "h" "r" 3; "b" "n" 4; "c" "l" 4; "d" "s" 4; "e" "b" "i" "z" 3;
"a" "r" 4; "b" "n" 4; "c" "l" 4; "d" "s" 4; "e" "b" "i" "z" 3;
"a" "r" 4; "b" "n" 4; "c" "l" 4; "d" "s" 4; "e" "b" "i" "z" 3;
"a" "r" 4; "b" "n" 4; "c" "l" 4; "d" "s" 4; "e" "b" "i" "u" "z" 3;
"a" "r" 4; "b" "n" 4; "c" "l" 4; "d" "s" 4; "e" "b" "i" "u" "z" 3;
"a" "r" 4; "b" "n" 4; "c" "l" 4; "d" "s" 4; "e" "b" "i" "u" "z" 3;
"a" "r" 4; "b" "n" 4; "c" "l" 4; "d" "s" 4; "e" "b" "i" "u" "z" 3;
"a" "r" 4; "b" "n" 4; "c" "l" 4; "d" "s" 4; "e" "b" "i" "u" "z" 3;
"a" "r" 4; "b" "n" 4; "c" "l" 4; "d" "s" 4; "e" "b" "i" "u" "z" 3;
"a" "r" 4; "b" "n" 4; "c" "l" 4; "d" "s" 4; "e" "b" "i" "u" "z" 3;
"a" "r" 4; "b" "n" 4; "c" "l" 4; "d" "s" 4; "e" "b" "i" "u" "z" 3;
"a" "r" 4; "b" "n" 4; "c" "l" 4; "d" "s" 4; "e" "b" "i" "u" "z" 3;
"a" "r" 4; "b" "n" 4; "c" "l" 4; "d" "s" 4; "e" "b" "i" "u" "z" 3;
"a" "r" 4; "b" "n" 4; "c" "l" 4; "d" "s" 4; "e" "b" "i" "u" "z" 3;
"a" "r" 4; "b" "n" 4; "c" "l" 4; "d" "s" 4; "e" "b" "i" "u" "z" 3;
"a" "r" 4; "b" "n" 4; "c" "l" 4; "d" "s" 4; "e" "b" "i" "u" "z" 3;
"a" "r" 4; "b" "n" 4; "c" "l" 4; "d" "s" 4; "e" "b" "i" "u" "z" 3;
"a" "r" 4; "b" "n" 4; "c" "l" 4; "d" "s" 4; "e" "b" "i" "u" "z" 3;
"a" "r" 4; "b" "n" 4; "c" "l" 4; "d" "s" 4; "e" "b" "i" "u" "z" 3;
"a" "r" 4; "b" "n" 4; "c" "l" 4; "d" "s" 4; "e" "b" "i" "u" "z" 3;
"a" "r" 4; "b" "n" 4; "c" "l" 4; "d" "s" 4; "e" "b" "i" "u" "z" 3;
"a" "r" 4; "b" "n" 4; "c" "l" 4; "d" "s" 4; "e" "b" "i" "u" "z" 3;
"a" "r" 4; "b" "n" 4; "c" "l" 4; "d" "s" 4; "e" "b" "i" "u" "z" 3;
"a" "r" 4; "b" "n" 4; "c" "l" 4; "d" "s" 4; "e" "b" "i" "u" "z" 3;
"a" "r" 4; "b" "n" 4; "c" "l" 4; "d" "s" 4; "e" "b" "i" "u" "z" 3;
"a" "r" 4; "b" "n" 4; "c" "l" 4; "d" "s" 4; "e" "b" "i" "u" "z" 3;
"a" "r" 4; "b" "e" "n" 4; "c" "l" 4; "d" "s" 4; "e" "b" "i" "u" "z" 3;
"a" "r" 4; "b" "e" "n" 4; "c" "l" 4; "d" "s" 4; "e" "b" "i" "u" "z" 3;
"a" "r" 4; "b" "e" "n" 4; "c" "l" 4; "d" "s" 4; "e" "b" "i" "u" "z" 3;
"a" "r" 4; "b" "e" "n" 4; "c" "l" 4; "d" "s" 4; "e" "b" "i" "u" "z" 3;
"a" "r" 4; "b" "e" "n" 4; "c" "l" 4; "d" "s" 4; "e" "b" "i" "u" "z" 3;
"a" "r" 4; "b" "e" "n" 4; "c" "l" 4; "d" "s" 4; "e" "i" 4;
"a" "r" 4; "b" "e" "n" 4; "c" "l" 4; "d" "s" 4; "e" "i" 4;
"a" "r" 4; "b" "e" "n" 4; "c" "l" 4; "d" "s" 4; "e" "i" 4;
"a" "r" 4; "b" "e" "n" 4; "c" "l" 4; "d" "s" 4; "e" "i" 4;
"a" "r" 4; "b" "e" "n" 4; "c" "l" 4; "d" "s" 4; "e" "i" 4;
"a" "r" 4; "b" "e" "n" 4; "c" "l" 4; "d" "s" 5; "e" "i" 4;
"a" "r" 4; "b" "e" "n" 4; "c" "l" 4; "d" "s" 5; "e" "i" "z" 4;
"a" "r" 4; "b" "e" "n" 4; "c" "l" 4; "d" "s" 5; "e" "i" "z" 4;
"a" "r" 4; "b" "e" "n" 4; "c" "l" 4; "d" "s" 5; "e" "i" "z" 4;
"a" "r" 4; "b" "e" "n" 4; "c" "l" 4; "d" "s" 5; "e" "i" "z" 4;
"a" "r" 4; "b" "e" "n" 4; "c" "l" 4; "d" "s" 5; "e" "i" "z" 4;
"a" "r" 4; "b" "e" "n" 4; "c" "l" 4; "d" "s" 5; "e" "i" "z" 4;
"a" "r" 4; "b" "e" "n" 4; "c" "l" 4; "d" "s" 5; "e" "i" "z" 4;
"a" "r" 4; "b" "e" "n" 4; "c" "l" 4; "d" "s" 5; "e" "i" "z" 4;
"a" "h" "r" 4; "b" "e" "n" 4; "c" "l" 4; "d" "s" 5; "e" "i" "z" 4;
"a" "h" "r" 4; "b" "e" "n" 4; "c" "l" 4; "d" "s" 5; "e" "i" "z" 4;
"a" "h" "r" 4; "b" "e" "n" 4; "c" "l" 4; "d" "s" 5; "e" "i" "z" 4;
"a" "h" "r" 4; "b" "e" "n" 4; "c" "l" 4; "d" "s" 5; "e" "i" "z" 4;
"a" "h" "r" 4; "b" "e" "n" 4; "c" "l" 4; "d" "s" 5; "e" "i" "z" 4;
"a" "h" "r" 4; "b" "e" "n" 4; "c" "l" 4; "d" "s" 5; "e" "i" "z" 4;
"a" "h" "r" 4; "b" "e" "n" 4; "c" "l" 4; "d" "s" 5; "e" "i" "z" 4;
"a" "h" "r" 4; "b" "e" "h" "n" 4; "c" "l" 4; "d" "s" 5; "e" "i" "z" 4;
"a" "f" "h" "r" 4; "b" "e" "h" "n" 4; "c" "l" 4; "d" "s" 5; "e" "i" "z" 4;
"a" "f" "h" "r" 4; "b" "e" "h" "n" 4; "c" "l" 4; "d" "s" 5; "e" "i" "z" 4;
"a" "f" "h" "r" 4; "b" "e" "h" "n" 4; "c" "l" 4; "d" "s" 5; "e" "i" "z" 4;
"a" "f" "h" "r" 4; "b" "e" "h" "n" 4; "c" "l" 4; "d" "s" 5; "e" "i" "z" 4;
"a" "f" "h" "r" 4; "b" "e" "h" "n" 4; "c" "l" 4; "d" "s" 5; "e" "i" "z" 4;
"a" "f" "h" "r" 4; "b" "e" "h" "n" 4; "c" "l" 4; "d" "s" 5; "e" "i" "z" 4;
"a" "f" "h" "r" 4; "b" "e" "h" "n" 4; "c" "l" 4; "d" "s" 5; "e" "i" "z" 4;
"a" "f" "h" "r" 4; "b" "e" "h" "n" 4; "c" "l" 4; "d" "s" 5; "e" "i" "z" 4;
"a" "f" "h" "r" 4; "b" "e" "h" "n" 4; "c" "l" 4; "d" "s" 5; "e" "i" "z" 4;
"a" "f" "h" "r" 4; "b" "e" "h" "n" 4; "c" "l" 4; "d" "s" 5; "e" "i" "z" 4;
"a" "f" "h" "r" 4; "b" "e" "h" "n" 4; "c" "l" 4; "d" "s" 5; "e" "i" "z" 4;
"a" "f" "h" "r" 4; "b" "e" "h" "n" 4; "c" "l" 4; "d" "s" 5; "e" "i" "z" 4;
