none
none
none
none
none
"a" "q" 1;
"a" "q" 1;
"a" "q" 1;
"a" "q" 1;
"a" "l" "q" 1;
"a" "l" "q" 1;
"a" "l" "q" 1;
"a" "l" "q" 1;
"a" "l" "q" 1;
"a" "l" "q" 1;
"a" "l" "q" 1; "b" "b" 1;
"a" "l" "q" 1; "b" "b" 1; "d" "c" 1;
"a" "l" "q" 1; "b" "b" 1; "d" "c" 1;
"a" "l" "q" 1; "b" "b" 1; "d" "c" 1;
"a" "l" "q" 1; "b" "b" 1; "d" "c" 1;
"a" "l" "q" 1; "b" "b" 1; "d" "c" 1;
"a" "l" "q" 1; "b" "b" 1; "d" "c" 1;
"a" "l" "q" 1; "b" "b" 1; "d" "c" 1;
"a" "l" "q" 1; "b" "b" 1; "d" "c" 1;
"a" "l" "q" 1; "b" "b" 1; "d" "c" 1;
"a" "l" "q" 1; "b" "b" 1; "d" "c" 1; "e" "s" 1;
"a" "l" "q" 1; "b" "b" 1; "d" "c" "q" 1; "e" "s" 1;
"a" "l" "q" 1; "b" "b" "e" 1; "d" "c" "q" 1; "e" "s" 1;
"a" "l" "q" 1; "b" "b" "e" 1; "d" "c" "q" 1; "e" "s" 1;
"a" "l" "q" 1; "b" "b" "e" 1; "d" "c" "q" 1; "e" "s" 1;
"a" "l" "q" 1; "b" "b" "e" 1; "d" "c" "q" 1; "e" "s" 1;
"a" "l" "q" 1; "b" "b" "e" 1; "d" "c" "q" 1; "e" "s" 1;
"a" "l" "q" 1; "b" "b" "e" 1; "d" "c" "q" 1; "e" "s" 1;
"a" "l" "q" 1; "b" "b" "e" 1; "d" "c" "q" 1; "e" "s" 1;
"a" "l" "q" 1; "b" "b" "e" 1; "d" "c" "q" 1; "e" "s" 1;
"a" "c" "l" "q" 1; "b" "b" "e" 1; "d" "c" "q" 1; "e" "s" 1;
"a" "c" "l" "q" 1; "b" "b" "e" "s" 1; "d" "c" "l" "q" 1; "e" "s" 1;
"a" "c" "l" "q" 1; "b" "b" "e" "s" 1; "d" "c" "l" "q" 1; "e" "s" 1;
"a" "c" "l" "q" 1; "b" "b" "e" "s" 1; "d" "c" "l" "q" 1; "e" "s" 1;
"a" "c" "l" "q" 1; "b" "b" "e" "s" 1; "d" "c" "l" "q" 1; "e" "s" 1;
"a" "c" "l" "q" 1; "b" "b" "e" "s" 1; "d" "c" "l" "q" 1; "e" "s" 1;
"a" "c" "l" "q" 1; "b" "b" "e" "s" 1; "d" "b" "c" "l" "q" 1; "e" "s" 1;
"a" "c" "l" "q" 1; "b" "b" "e" "s" 1; "d" "b" "c" "l" "q" 1; "e" "s" 1;
"a" "c" "l" "q" 1; "b" "b" "e" "s" 1; "d" "b" "c" "l" "q" 1; "e" "s" 1;
"a" "c" "l" "q" 1; "b" "b" "e" "s" "v" 1; "d" "b" "c" "l" "q" 1; "e" "s" 1;
"a" "c" "l" "q" 1; "b" "b" "c" "e" "s" "v" "y" 1; "d" "b" "c" "d" "l" "q" 1; "e" "s" "y" 1;
"a" "c" "l" "q" 1; "b" "b" "c" "e" "s" "v" "y" 1; "d" "b" "c" "d" "l" "q" 1; "e" "s" "y" 1;
"a" "c" "l" "q" 1; "b" "b" "c" "e" "s" "v" "y" 1; "d" "b" "c" "d" "l" "q" 1; "e" "s" "y" 1;
"a" "c" "l" "q" "r" 1; "b" "b" "c" "e" "s" "v" "y" 1; "d" "b" "c" "d" "l" "q" 1; "e" "b" "e" "s" "y" 1;
"a" "c" "l" "q" "r" 1; "b" "b" "c" "e" "s" "v" "y" 1; "d" "b" "c" "d" "l" "q" 1; "e" "b" "e" "s" "y" 1;
"a" "c" "l" "q" "r" 1; "b" "b" "c" "e" "k" "s" "v" "y" 1; "d" "b" "c" "d" "l" "q" 1; "e" "b" "e" "s" "y" 1;
"a" "c" "l" "q" "r" 1; "b" "b" "c" "e" "k" "s" "v" "y" 1; "d" "b" "c" "d" "l" "q" 1; "e" "b" "e" "s" "y" 1;
"a" "q" "r" 2; "b" "b" "c" "e" "k" "s" "v" "y" 1; "c" "f" 2; "d" "d" 2; "e" "s" "v" 2;
"a" "q" "r" 2; "b" "b" "c" "e" "k" "s" "v" "y" 1; "c" "f" 2; "d" "d" 2; "e" "s" "v" 2;
"a" "q" "r" 2; "b" "b" "c" "e" "k" "s" "v" "y" 1; "c" "f" 2; "d" "d" 2; "e" "v" 3;
"a" "q" "r" 2; "b" "b" "c" "e" "k" "s" "v" "y" 1; "c" "f" 2; "d" "d" 2; "e" "v" 3;
"a" "q" "r" 2; "b" "b" "c" "e" "k" "s" "v" "y" 1; "c" "f" 2; "d" "d" 2; "e" "v" 3;
"a" "q" "r" 2; "b" "b" "c" "e" "k" "s" "v" "y" 1; "c" "f" 2; "d" "d" 2; "e" "v" 3;
"a" "q" "r" 2; "b" "b" "c" "e" "k" "s" "v" "y" 1; "c" "f" 2; "d" "d" 2; "e" "v" 3;
"a" "q" "r" 2; "b" "b" "c" "e" "k" "s" "v" "y" 1; "c" "f" 2; "d" "d" 2; "e" "v" 3;
"a" "q" "r" 2; "b" "b" "c" "e" "k" "s" "v" "y" 1; "c" "f" 2; "d" "d" 2; "e" "v" 3;
"a" "q" "r" 2; "b" "b" "c" "e" "k" "s" "v" "y" 1; "c" "f" 2; "d" "d" 2; "e" "v" 3;
"a" "q" "r" 2; "b" "b" "c" "e" "k" "s" "v" "y" 1; "c" "f" 2; "d" "d" 2; "e" "v" 3;
"a" "q" "r" 2; "b" "b" "c" "e" "k" "s" "v" "y" 1; "c" "f" 2; "d" "d" 2; "e" "v" 3;
"a" "q" "r" 2; "b" "b" "c" "e" "k" "s" "v" "y" 1; "c" "f" 2; "d" "c" "d" 2; "e" "v" 3;
"a" "q" "r" 2; "b" "b" "c" "e" "k" "s" "v" "y" 1; "c" "f" 2; "d" "c" "d" 2; "e" "v" 3;
"a" "q" "r" 2; "b" "b" "c" "e" "k" "s" "v" "y" 1; "c" "f" 2; "d" "c" "d" 2; "e" "v" 3;
"a" "q" "r" 2; "b" "b" "c" "e" "k" "s" "v" "y" 1; "c" "f" 2; "d" "c" "d" 2; "e" "v" 3;
"a" "q" "r" 2; "b" "b" "c" "e" "k" "s" "v" "y" 1; "c" "f" 2; "d" "c" "d" 2; "e" "v" 3;
"a" "q" "r" 2; "b" "b" "c" "e" "k" "s" "v" "y" 1; "c" "f" "v" 2; "d" "c" "d" 2; "e" "v" 3;
"a" "q" "r" 2; "b" "b" "c" "e" "i" "k" "m" "s" "v" "y" 1; "c" "f" "v" 2; "d" "c" "d" 2; "e" "v" 3;
"a" "q" "r" 2; "b" "b" "c" "e" "i" "k" "m" "s" "v" "y" 1; "c" "f" "v" 2; "d" "c" "d" 2; "e" "v" 3;
"a" "q" "r" 2; "b" "b" "c" "e" "i" "k" "m" "s" "v" "y" 1; "c" "f" "v" 2; "d" "c" "d" 2; "e" "v" 3;
"a" "q" "r" 2; "b" "b" "c" "e" "i" "k" "m" "s" "v" "y" 1; "c" "f" "v" 2; "d" "c" "d" 2; "e" "v" 3;
"a" "q" "r" 2; "b" "b" "c" "e" "i" "k" "m" "s" "v" "y" 1; "c" "f" "v" 2; "d" "c" "d" 2; "e" "v" 3;
"a" "q" "r" 2; "b" "b" "c" "e" "i" "k" "m" "s" "v" "y" 1; "c" "f" "v" 2; "d" "c" "d" 2; "e" "v" 3;
"a" "q" "r" 2; "b" "b" "c" "e" "i" "k" "m" "n" "s" "v" "y" 1; "c" "f" "v" 2; "d" "c" "d" 2; "e" "v" 3;
"a" "q" "r" 2; "b" "b" "c" "e" "i" "k" "m" "n" "s" "v" "y" 1; "c" "f" "v" 2; "d" "c" "d" 2; "e" "v" 3;
"a" "q" "r" 2; "b" "b" "c" "e" "i" "k" "m" "n" "s" "v" "y" 1; "c" "f" "v" 2; "d" "c" "d" 2; "e" "v" 3;
"a" "q" "r" 2; "b" "b" "c" "e" "i" "k" "m" "n" "s" "v" "y" 1; "c" "f" "v" 2; "d" "c" "d" 2; "e" "v" 3;
"a" "q" "r" 2; "b" "b" "c" "e" "i" "k" "m" "n" "s" "v" "y" 1; "c" "f" "v" 2; "d" "c" "d" 2; "e" "v" 3;
"a" "q" "r" 2; "b" "y" 2; "c" "f" "v" 2; "d" "c" "d" 2; "e" "v" 3;
"a" "q" "r" 2; "b" "y" 2; "c" "f" "v" 2; "d" "c" "d" 2; "e" "v" 3;
"a" "q" "r" 2; "b" "y" 2; "c" "f" "v" 2; "d" "c" "d" 2; "e" "v" 3;
"a" "q" "r" 2; "b" "y" 2; "c" "f" "v" 2; "d" "c" "d" 2; "e" "v" 3;
"a" "q" "r" 2; "b" "y" 2; "c" "f" "v" 2; "d" "c" "d" 2; "e" "v" 3;
"a" "q" "r" 2; "b" "y" 2; "c" "f" "v" 2; "d" "c" "d" 2; "e" "v" 3;
"a" "q" "r" 2; "b" "y" 2; "c" "f" "v" 2; "d" "c" "d" 2; "e" "v" 3;
"a" "q" "r" 2; "b" "f" "y" 2; "c" "f" "v" 2; "d" "c" "d" 2; "e" "q" "v" 3;
"a" "q" "r" 2; "b" "f" "y" 2; "c" "f" "k" "v" 2; "d" "d" 3; "e" "q" "v" 3;
"a" "q" "r" "y" 2; "b" "f" "y" 2; "c" "f" "k" "v" 2; "d" "d" 3; "e" "q" "v" 3;
"a" "q" "r" "y" 2; "b" "f" "y" 2; "c" "f" "k" "v" 2; "d" "d" 3; "e" "q" "v" 3;
"a" "q" "r" "y" 2; "b" "f" "y" 2; "c" "f" "k" "v" 2; "d" "d" 3; "e" "q" "v" 3;
"a" "q" "r" "y" 2; "b" "f" "y" 2; "c" "f" "k" "v" 2; "d" "d" 3; "e" "q" "v" 3;
"a" "q" "r" "y" 2; "b" "f" "y" 2; "c" "f" "k" "q" "v" 2; "d" "d" 3; "e" "q" "v" 3;
"a" "q" "r" "y" 2; "b" "f" "y" 2; "c" "f" "k" "q" "v" 2; "d" "d" 3; "e" "q" "v" 3;
"a" "d" "q" "r" "y" 2; "b" "f" "y" 2; "c" "f" "k" "q" "v" "z" 2; "d" "d" 3; "e" "q" "v" 3;
"a" "d" "q" "r" "y" 2; "b" "f" "y" 2; "c" "f" "k" "q" "v" "z" 2; "d" "d" 3; "e" "q" "v" 3;
"a" "d" "q" "r" "y" 2; "b" "f" "y" 2; "c" "f" "k" "q" "v" "z" 2; "d" "d" 3; "e" "q" "v" 3;
"a" "d" "q" "r" "y" 2; "b" "f" "y" 2; "c" "f" "k" "q" "v" "z" 2; "d" "d" 3; "e" "q" "v" 3;
"a" "d" "q" "r" "y" 2; "b" "f" "y" 2; "c" "f" "k" "q" "v" "z" 2; "d" "d" 3; "e" "q" "v" 3;
"a" "d" "q" "r" "y" 2; "b" "f" "y" 2; "c" "f" "k" "q" "r" "v" "z" 2; "d" "d" 3; "e" "q" "v" 3;
"a" "d" "q" "r" "y" 2; "b" "f" "y" 2; "c" "f" "k" "q" "r" "v" "z" 2; "d" "d" 3; "e" "q" "v" 3;
"a" "d" "q" "r" "y" 2; "b" "f" "y" 2; "c" "f" "k" "q" "r" "v" "z" 2; "d" "d" 3; "e" "a" "q" "v" 3;
"a" "d" "q" "r" "y" 2; "b" "f" "y" 2; "c" "f" "k" "q" "r" "v" "z" 2; "d" "d" 3; "e" "q" 4;
"a" "d" "q" "r" "y" 2; "b" "f" "y" 2; "c" "f" "k" "q" "r" "v" "z" 2; "d" "d" 3; "e" "q" 4;
"a" "d" "q" "r" "y" 2; "b" "f" "u" "y" 2; "c" "f" "k" "q" "r" "v" "z" 2; "d" "d" 3; "e" "q" 4;
"a" "d" "q" "r" "y" 2; "b" "f" "u" "y" 2; "c" "f" "k" "q" "r" "v" "z" 2; "d" "d" 3; "e" "q" 4;
"a" "d" "q" "r" "y" 2; "b" "f" "u" "y" 2; "c" "f" "k" "q" "r" "v" "z" 2; "d" "d" 3; "e" "q" 4;
"a" "d" "q" "r" "y" 2; "b" "f" "u" "y" 2; "c" "f" "k" "q" "r" "v" "z" 2; "d" "d" 3; "e" "q" 4;
"a" "d" "q" "r" "y" 2; "b" "f" "u" "y" 2; "c" "f" "k" "q" "r" "v" "z" 2; "d" "d" 3; "e" "q" 4;
"a" "d" "n" "q" "r" "y" 2; "b" "b" "f" "u" "y" 2; "c" "f" "k" "q" "r" "v" "z" 2; "d" "d" 3; "e" "q" 4;
"a" "d" "n" "q" "r" "y" 2; "b" "b" "f" "u" "y" 2; "c" "f" "k" "q" "r" "v" "z" 2; "d" "d" 3; "e" "q" 4;
"a" "d" "n" "q" "r" "y" 2; "b" "b" "f" "u" "y" 2; "c" "f" "k" "q" "r" "v" "z" 2; "d" "d" 3; "e" "q" 4;
"a" "d" "n" "q" "r" "y" 2; "b" "b" "f" "u" "y" 2; "c" "f" "k" "q" "r" "v" "z" 2; "d" "d" 3; "e" "q" 4;
"a" "d" "n" "q" "r" "y" 2; "b" "b" "f" "u" "y" 2; "c" "f" "k" "q" "r" "v" "z" 2; "d" "d" 3; "e" "q" 4;
"a" "d" "n" "q" "r" "y" 2; "b" "b" "f" "u" "y" 2; "c" "f" "k" "q" "r" "v" "z" 2; "d" "d" 3; "e" "q" 4;
"a" "d" "n" "q" "r" "y" 2; "b" "b" "f" "u" "y" 2; "c" "f" "k" "q" "r" "v" "z" 2; "d" "d" 3; "e" "q" 4;
"a" "d" "n" "q" "r" "y" 2; "b" "b" "f" "u" "y" 2; "c" "f" "k" "q" "r" "v" "z" 2; "d" "d" 3; "e" "q" 4;
"a" "d" "n" "q" "r" "y" 2; "b" "b" "f" "u" "y" 2; "c" "f" "k" "q" "r" "v" "z" 2; "d" "d" 3; "e" "q" 4;
"a" "d" "n" "q" "r" "y" 2; "b" "b" "f" "u" "y" 2; "c" "f" "k" "q" "r" "v" "z" 2; "d" "d" 3; "e" "q" 4;
"a" "d" "n" "q" "r" "y" 2; "b" "b" "f" "u" "y" 2; "c" "f" "k" "q" "r" "v" "z" 2; "d" "d" 3; "e" "q" 4;
"a" "d" "n" "q" "r" "y" 2; "b" "f" 3; "c" "d" "f" "k" "q" "r" "v" "z" 2; "d" "d" 3; "e" "q" 4;
"a" "d" "n" "q" "r" "y" 2; "b" "f" 3; "c" "d" "f" "k" "q" "r" "v" "z" 2; "d" "d" 3; "e" "q" 4;
"a" "d" "n" "q" "r" "y" 2; "b" "f" 3; "c" "d" "f" "k" "q" "r" "v" "z" 2; "d" "d" 3; "e" "q" 4;
"a" "c" "d" "n" "q" "r" "y" 2; "b" "f" 3; "c" "d" "f" "k" "q" "r" "v" "z" 2; "d" "d" 3; "e" "q" 4;
"a" "c" "d" "n" "q" "r" "y" 2; "b" "f" 3; "c" "d" "f" "k" "q" "r" "v" "z" 2; "d" "d" 3; "e" "q" 4;
"a" "c" "d" "n" "q" "r" "y" 2; "b" "f" 3; "c" "d" "f" "k" "q" "r" "v" "z" 2; "d" "d" 3; "e" "q" 4;
"a" "c" "d" "n" "q" "r" "y" 2; "b" "f" 3; "c" "d" "f" "k" "q" "r" "v" "z" 2; "d" "d" "o" 3; "e" "q" 4;
"a" "c" "d" "n" "q" "r" "y" 2; "b" "f" 3; "c" "d" "f" "k" "q" "r" "v" "z" 2; "d" "d" "o" 3; "e" "q" 4;
"a" "c" "d" "n" "q" "r" "y" 2; "b" "f" 3; "c" "d" "f" "k" "q" "r" "v" "z" 2; "d" "o" 4; "e" "q" 4;
"a" "c" "d" "n" "q" "r" "y" 2; "b" "f" 3; "c" "d" "f" "k" "q" "r" "v" "z" 2; "d" "o" 4; "e" "q" 4;
"a" "c" "d" "n" "q" "r" "y" 2; "b" "f" 3; "c" "d" "f" "k" "q" "r" "v" "z" 2; "d" "o" 4; "e" "q" 4;
"a" "c" "d" "g" "n" "q" "r" "y" 2; "b" "f" 3; "c" "d" "f" "k" "q" "r" "v" "z" 2; "d" "o" 4; "e" "q" 5;
"a" "c" "d" "g" "n" "q" "r" "y" 2; "b" "f" 3; "c" "d" "f" "k" "q" "r" "v" "z" 2; "d" "o" 4; "e" "q" 5;
"a" "c" "d" "g" "n" "q" "r" "y" 2; "b" "f" 3; "c" "d" "f" "k" "q" "r" "v" "z" 2; "d" "o" 4; "e" "q" 5;
"a" "c" "d" "g" "n" "q" "r" "y" 2; "b" "f" 3; "c" "d" "f" "k" "q" "r" "v" "z" 2; "d" "o" 4; "e" "q" 5;
"a" "c" "d" "g" "n" "q" "r" "y" 2; "b" "f" 3; "c" "d" "f" "k" "q" "r" "v" "z" 2; "d" "o" 4; "e" "q" 5;
"a" "c" "d" "g" "n" "q" "r" "y" 2; "b" "f" 3; "c" "d" "f" "k" "q" "r" "v" "z" 2; "d" "o" 4; "e" "q" 5;
"a" "c" "d" "g" "n" "q" "r" "y" 2; "b" "f" 3; "c" "f" 3; "d" "o" 4; "e" "q" 5;
"a" "y" 3; "b" "f" 3; "c" "f" 3; "d" "o" 4; "e" "q" 5;
"a" "y" 3; "b" "f" 3; "c" "f" 3; "d" "o" 4; "e" "q" 5;
"a" "y" 3; "b" "f" 3; "c" "f" 3; "d" "o" 4; "e" "q" 5;
"a" "y" 3; "b" "f" 3; "c" "f" 3; "d" "o" 4; "e" "q" 5;
"a" "y" 3; "b" "f" 3; "c" "f" 3; "d" "o" 4; "e" "q" 5;
"a" "y" 3; "b" "f" 3; "c" "f" 3; "d" "o" 4; "e" "q" 5;
"a" "y" 3; "b" "f" 3; "c" "f" 3; "d" "o" 4; "e" "q" 5;
"a" "y" 3; "b" "f" 3; "c" "f" 3; "d" "o" 4; "e" "q" 5;
"a" "y" 3; "b" "f" 3; "c" "f" 3; "d" "o" 4; "e" "q" 5;
"a" "y" 3; "b" "f" 3; "c" "f" 3; "d" "o" 4; "e" "q" 5;
"a" "y" 3; "b" "f" 3; "c" "f" 3; "d" "o" 4; "e" "q" 5;
"a" "y" 3; "b" "f" 3; "c" "f" 3; "d" "o" 4; "e" "q" 5;
"a" "y" 3; "b" "f" 3; "c" "f" 3; "d" "o" 4; "e" "q" 5;
"a" "y" 3; "b" "f" 3; "c" "f" 3; "d" "o" 4; "e" "q" 5;
"a" "y" 3; "b" "f" 3; "c" "f" 3; "d" "o" 4; "e" "q" 5;
"a" "y" 3; "b" "f" 3; "c" "f" 3; "d" "o" 4; "e" "q" 5;
"a" "y" 3; "b" "f" 3; "c" "f" 3; "d" "o" 4; "e" "q" 5;
"a" "y" 3; "b" "f" 3; "c" "a" "d" "f" "h" "j" "k" "o" "q" "r" "v" "z" 2; "d" "o" 5; "e" "q" 5;
"a" "y" 3; "b" "f" 3; "c" "r" 3; "d" "o" 5; "e" "q" 5;
"a" "y" 3; "b" "f" 3; "c" "r" 3; "d" "o" 5; "e" "q" 5;
"a" "y" 3; "b" "f" 3; "c" "r" 3; "d" "o" 5; "e" "q" 5;
"a" "y" 3; "b" "f" 3; "c" "r" 3; "d" "o" 5; "e" "q" 5;
"a" "y" 3; "b" "f" 3; "c" "r" 3; "d" "o" 5; "e" "q" 5;
"a" "y" 3; "b" "f" 3; "c" "r" 3; "d" "o" 5; "e" "q" 5;
"a" "y" 3; "b" "f" 3; "c" "r" 3; "d" "o" 5; "e" "q" 5;
"a" "y" 3; "b" "f" 3; "c" "r" 3; "d" "o" 6; "e" "q" 5;
"a" "y" 3; "b" "f" 3; "c" "r" 3; "d" "o" 6; "e" "q" 5;
"a" "c" "y" 3; "b" "f" 4; "c" "j" "r" 3; "d" "o" 6; "e" "q" "y" 5;
"a" "c" "y" 3; "b" "f" 4; "c" "j" "r" 3; "d" "o" 6; "e" "q" "y" 5;
"a" "c" "y" 3; "b" "f" 4; "c" "j" "r" 3; "d" "o" 6; "e" "q" "y" 5;
"a" "c" "y" 3; "b" "f" 4; "c" "j" "r" 3; "d" "o" 6; "e" "q" "y" 5;
"a" "c" "y" 3; "b" "f" 4; "c" "j" "r" 3; "d" "o" 6; "e" "q" "y" 5;
"a" "c" "y" 3; "b" "f" 4; "c" "j" "r" 3; "d" "o" 6; "e" "q" "y" 5;
