none
none
none
none
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"b" "l" 1; "c" "p" 1;
"b" "l" 1; "c" "p" 1;
"b" "l" 1; "c" "p" 1;
"b" "l" 1; "c" "p" 1;
"b" "l" 1; "c" "p" 1;
"b" "l" 1; "c" "p" 1;
"b" "l" 1; "c" "p" 1;
"b" "l" 1;
"b" "l" 1;
"b" "l" 1;
"b" "l" 1;
"b" "l" 1;
"b" "l" 1;
"b" "l" 1;
"b" "l" 1;
"b" "l" 1;
"b" "l" 1;
"b" "l" "m" 1;
"b" "l" "m" 1;
"b" "l" "m" 1;
"b" "l" "m" 1;
"b" "l" "m" 1;
"b" "l" "m" 1; "c" "h" "j" "l" 1;
"a" "d" 1; "b" "l" "m" 1; "c" "h" "j" "l" "w" 1; "d" "a" 1;
"a" "d" 1; "b" "l" "m" 1; "c" "h" "j" "l" "w" 1; "d" "a" "v" 1;
"a" "d" 1; "b" "l" "m" 1; "c" "h" "j" "l" "w" 1; "d" "a" "v" 1;
"a" "d" 1; "b" "l" "m" 1; "c" "h" "j" "l" "w" 1; "d" "a" "v" 1;
"a" "d" 1; "b" "l" "m" 1; "c" "h" "j" "l" "w" 1; "d" "a" "v" 1;
"a" "d" 1; "b" "l" "m" 1; "c" "h" "j" "l" "w" 1; "d" "a" "v" 1;
"a" "d" 1; "b" "l" "m" 1; "c" "h" "j" "l" "w" 1; "d" "a" "v" 1;
"a" "d" 1; "b" "l" "m" 1; "c" "h" "j" "l" "w" 1; "d" "a" "v" 1;
"a" "d" 1; "b" "l" "m" 1; "c" "h" "j" "l" "w" 1; "d" "a" "v" 1;
"a" "d" 1; "b" "l" "m" 1; "c" "h" "j" "l" "w" 1; "d" "a" "v" 1;
"a" "d" 1; "b" "l" "m" 1; "c" "h" "j" "l" "w" 1; "d" "a" "v" 1;
"a" "d" 1; "b" "l" "m" 1; "c" "h" "j" "l" "w" 1; "d" "a" "v" 1;
"a" "d" 1; "b" "l" "m" 1; "c" "h" "j" "l" "w" 1; "d" "a" "v" 1;
"a" "d" "e" "y" 1; "b" "n" 2; "c" "b" "h" "j" "l" "w" 1; "d" "a" "v" 1; "e" "y" 2;
"a" "d" "e" "y" 1; "b" "n" 2; "c" "b" "h" "j" "l" "w" 1; "d" "a" "v" 1; "e" "y" 2;
"a" "d" "e" "y" 1; "b" "n" 2; "c" "b" "h" "j" "l" "w" 1; "d" "a" "v" 1; "e" "y" 2;
"a" "d" "e" "y" 1; "b" "n" 2; "c" "b" "h" "j" "l" "w" 1; "d" "a" "v" 1; "e" "y" 2;
"a" "d" "e" "y" 1; "b" "n" 2; "c" "b" "h" "j" "l" "w" 1; "d" "a" "v" 1; "e" "y" 2;
"a" "d" "e" "y" 1; "b" "n" 2; "c" "b" "h" "j" "l" "w" 1; "d" "a" "v" 1; "e" "y" 2;
"a" "d" "e" "t" "y" 1; "b" "n" 2; "c" "b" "h" "j" "l" "w" 1; "d" "a" "v" 1; "e" "y" 2;
"a" "d" "e" "t" "y" 1; "b" "n" 2; "c" "b" "h" "j" "l" "w" 1; "d" "a" "v" 1; "e" "y" 2;
"a" "d" "e" "t" "y" 1; "b" "n" 2; "c" "b" "h" "j" "l" "w" 1; "d" "a" "v" 1; "e" "y" 3;
"a" "d" "e" "t" "y" 1; "b" "n" 2; "c" "b" "h" "j" "l" "w" 1; "d" "a" "v" 1; "e" "y" 3;
"a" "d" "e" "t" "y" 1; "b" "n" 2; "c" "b" "h" "j" "l" "w" 1; "d" "a" "v" 1; "e" "y" 3;
"a" "d" "e" "j" "t" "y" 1; "b" "n" 2; "c" "b" "h" "j" "l" "w" 1; "d" "a" "h" "v" "z" 1; "e" "y" 3;
"a" "d" "e" "j" "t" "y" 1; "b" "n" 2; "c" "b" "h" "j" "l" "w" 1; "d" "a" "h" "v" "z" 1; "e" "y" 3;
"a" "d" "e" "j" "t" "y" 1; "b" "n" 2; "c" "b" "h" "j" "l" "w" 1; "d" "a" "h" "s" "v" "z" 1; "e" "y" 3;
"a" "d" "e" "j" "t" "y" 1; "b" "n" 2; "c" "b" "h" "j" "l" "w" 1; "d" "a" "h" "s" "v" "z" 1; "e" "y" 3;
"a" "d" "e" "j" "t" "y" 1; "b" "n" 2; "c" "b" "h" "j" "l" "w" 1; "d" "a" "h" "s" "v" "z" 1; "e" "y" 3;
"a" "d" "e" "j" "t" "y" 1; "b" "n" 2; "c" "b" "h" "j" "l" "w" 1; "d" "a" "h" "s" "v" "z" 1; "e" "y" 3;
"a" "d" "e" "j" "r" "t" "y" 1; "b" "n" 2; "c" "b" "h" "j" "l" "w" 1; "d" "a" "h" "s" "v" "z" 1; "e" "y" 3;
"a" "d" "e" "j" "r" "t" "y" 1; "b" "n" 2; "c" "b" "h" "j" "l" "w" 1; "d" "a" "h" "s" "v" "z" 1; "e" "y" 3;
"a" "d" "e" "j" "r" "t" "y" 1; "b" "n" 2; "c" "b" "h" "j" "l" "w" 1; "d" "a" "h" "s" "v" "z" 1; "e" "y" 3;
"a" "d" "e" "j" "r" "t" "y" 1; "b" "n" 2; "c" "b" "h" "j" "l" "w" 1; "d" "a" "h" "s" "v" "z" 1; "e" "y" 3;
"a" "d" "e" "j" "r" "t" "y" 1; "b" "n" 2; "c" "b" "h" "j" "l" "w" 1; "d" "a" "h" "s" "v" "z" 1; "e" "y" 3;
"a" "d" "e" "j" "r" "t" "u" "y" 1; "b" "n" 2; "c" "b" "h" "j" "l" "w" 1; "d" "a" "h" "s" "v" "z" 1; "e" "y" 3;
"a" "r" 2; "b" "n" 2; "c" "b" "h" "j" "l" "w" 1; "d" "a" "h" "s" "v" "z" 1; "e" "y" 3;
"a" "r" 2; "b" "n" 2; "c" "b" "g" "h" "j" "l" "w" 1; "d" "z" 2; "e" "y" 3;
"a" "r" 2; "b" "n" 2; "c" "b" "g" "h" "j" "l" "w" 1; "d" "z" 2; "e" "y" 3;
"a" "r" 2; "b" "n" 2; "c" "b" "g" "h" "j" "l" "t" "w" 1; "d" "z" 2; "e" "y" 3;
"a" "r" 2; "b" "n" 2; "c" "b" "g" "h" "j" "l" "t" "w" 1; "d" "z" 2; "e" "y" 3;
"a" "r" 2; "b" "n" 2; "c" "b" "g" "h" "j" "l" "t" "w" 1; "d" "z" 2; "e" "y" 3;
"a" "q" "r" 2; "b" "n" 2; "c" "b" "g" "h" "j" "l" "t" "w" 1; "d" "z" 2; "e" "y" 3;
"a" "q" "r" 2; "b" "n" 2; "c" "b" "g" "h" "j" "l" "t" "w" 1; "d" "z" 2; "e" "y" 3;
"a" "q" "r" 2; "b" "g" "n" 2; "c" "b" "g" "h" "j" "l" "t" "w" 1; "d" "z" 2; "e" "y" 3;
"a" "q" "r" 2; "b" "g" "n" "q" 2; "c" "b" "g" "h" "j" "l" "n" "t" "w" 1; "d" "z" 2; "e" "y" 3;
"a" "q" "r" 2; "b" "g" "n" "q" 2; "c" "b" "g" "h" "j" "l" "n" "t" "w" 1; "d" "z" 2; "e" "y" 3;
"a" "q" "r" 2; "b" "g" "n" "q" 2; "c" "b" "g" "h" "j" "l" "n" "t" "w" 1; "d" "z" 2; "e" "y" 3;
"a" "q" "r" 2; "b" "g" "n" "q" 2; "c" "b" "g" "h" "j" "l" "n" "t" "w" 1; "d" "z" 2; "e" "y" 3;
"a" "q" "r" 2; "b" "g" "n" "q" 2; "c" "b" "e" "g" "h" "j" "l" "n" "o" "t" "w" 1; "d" "z" 2; "e" "y" 3;
"a" "q" "r" 2; "b" "g" "n" "q" 2; "c" "b" "e" "g" "h" "j" "l" "n" "o" "t" "w" 1; "d" "z" 2; "e" "y" 3;
"a" "q" "r" 2; "b" "g" "n" "q" 2; "c" "b" "e" "g" "h" "j" "l" "n" "o" "t" "w" 1; "d" "z" 2; "e" "y" 3;
"a" "j" "q" "r" 2; "b" "g" "n" "q" 2; "c" "b" "e" "g" "h" "j" "l" "n" "o" "t" "w" 1; "d" "z" 2; "e" "y" 3;
"a" "j" "q" "r" 2; "b" "g" "n" "q" 2; "c" "t" 2; "d" "z" 2; "e" "y" 3;
"a" "j" "q" "r" 2; "b" "g" "n" "q" 2; "c" "t" 2; "d" "z" 2; "e" "y" 3;
"a" "j" "q" "r" 2; "b" "g" "n" "q" 2; "c" "t" 2; "d" "z" 2; "e" "y" 3;
"a" "j" "q" "r" "t" 2; "b" "g" "n" "q" 2; "c" "t" 2; "d" "z" 2; "e" "y" 3;
"a" "j" "q" "r" "t" 2; "b" "g" "n" "q" 2; "c" "t" 2; "d" "z" 2; "e" "y" 3;
"a" "j" "q" "r" "t" 2; "b" "g" "n" "q" 2; "c" "t" 2; "d" "z" 2; "e" "y" 3;
"a" "j" "q" "r" "t" 2; "b" "g" "n" "q" 2; "c" "t" 2; "d" "z" 2; "e" "y" 3;
"a" "j" "q" "r" "t" 2; "b" "g" "n" "q" 2; "c" "t" 2; "d" "z" 2; "e" "y" 3;
"a" "j" "q" "r" "t" 2; "b" "g" "n" "q" 2; "c" "t" 2; "d" "z" 2; "e" "y" 3;
"a" "j" "q" "r" "t" 2; "b" "g" "n" "q" 2; "c" "t" 2; "d" "z" 2; "e" "y" 3;
"a" "j" "q" "r" "t" 2; "b" "g" "n" "q" 2; "c" "t" 2; "d" "z" 2; "e" "y" 3;
"a" "j" "q" "r" "t" 2; "b" "g" "n" "q" 2; "c" "t" 2; "d" "z" 2; "e" "y" 3;
"a" "j" "q" "r" "t" 2; "b" "g" "n" "q" 2; "c" "t" 2; "d" "z" 2; "e" "y" 3;
"a" "j" "q" "r" "t" 2; "b" "g" "n" "q" 2; "c" "t" 2; "d" "z" 2; "e" "y" 3;
"a" "j" "q" "r" "t" 2; "b" "g" "n" "q" 2; "c" "t" 2; "d" "z" 2; "e" "y" 3;
"a" "j" "q" "r" "t" 2; "b" "g" "n" "q" 2; "c" "t" 2; "d" "z" 2; "e" "y" 3;
"a" "j" "q" "r" "t" 2; "b" "g" "n" "q" 2; "c" "t" 2; "d" "z" 2; "e" "y" 3;
"a" "j" "q" "r" "t" 2; "b" "g" "n" "q" 2; "c" "t" 2; "d" "z" 2; "e" "y" 3;
"a" "j" "q" "r" "t" "y" 2; "b" "g" "n" "q" 2; "c" "t" 2; "d" "z" 2; "e" "y" 3;
"a" "j" "q" "r" "t" "y" 2; "b" "g" "n" "q" 2; "c" "t" 2; "d" "z" 2; "e" "y" 3;
"a" "j" "q" "r" "t" "y" 2; "b" "g" "n" "q" 2; "c" "t" 2; "d" "z" 2; "e" "y" 3;
"a" "j" "q" "r" "t" "y" 2; "b" "g" "n" "q" 2; "c" "t" 2; "d" "z" 2; "e" "y" 3;
"a" "j" "q" "r" "t" "y" 2; "b" "g" "n" "q" 2; "c" "o" "t" 2; "d" "z" 2; "e" "y" 3;
"a" "j" "q" "r" "t" "y" 2; "b" "g" "n" "q" 2; "c" "o" "t" 2; "d" "z" 2; "e" "y" 3;
"a" "j" "q" "r" "t" "y" 2; "b" "g" "n" "q" "t" 2; "c" "o" "t" 2; "d" "z" 2; "e" "y" 3;
"a" "j" "q" "r" "t" "y" 2; "b" "b" "g" "n" "q" "t" 2; "c" "t" 3; "d" "k" "z" 2; "e" "y" 3;
"a" "j" "q" "r" "t" "y" 2; "b" "b" "g" "n" "q" "t" 2; "c" "t" 3; "d" "k" 3; "e" "y" 3;
"a" "j" "q" "r" "t" "y" 2; "b" "b" "g" "n" "q" "t" 2; "c" "t" 3; "d" "k" 3; "e" "y" 3;
"a" "j" "q" "r" "t" "y" 2; "b" "b" "g" "n" "q" "t" 2; "c" "t" 3; "d" "k" 3; "e" "y" 3;
"a" "j" "q" "r" "t" "y" 2; "b" "b" "g" "n" "q" "t" 2; "c" "t" 3; "d" "k" 3; "e" "y" 3;
"a" "j" "q" "r" "t" "y" 2; "b" "b" "g" "n" "q" "t" "x" 2; "c" "t" 3; "d" "k" 3; "e" "y" 3;
"a" "j" "q" "r" "t" "y" 2; "b" "b" "g" "n" "q" "t" "x" 2; "c" "t" 3; "d" "k" 3; "e" "y" 3;
"a" "j" "q" "r" "t" "y" 2; "b" "b" "g" "n" "q" "t" "x" 2; "c" "t" 3; "d" "k" 3; "e" "y" 3;
"a" "j" "q" "r" "t" "y" 2; "b" "b" "g" "n" "q" "t" "x" 2; "c" "t" 3; "d" "k" 3; "e" "y" 3;
"a" "j" "q" "r" "t" "y" 2; "b" "b" "g" "n" "q" "t" "x" 2; "c" "t" 3; "d" "k" 3; "e" "y" 3;
"a" "j" "q" "r" "t" "y" 2; "b" "b" "g" "n" "q" "t" "x" 2; "c" "t" 3; "d" "k" 3; "e" "y" 3;
"a" "j" "q" "r" "t" "y" 2; "b" "b" "g" "n" "q" "t" "x" 2; "c" "t" 3; "d" "k" 3; "e" "y" 3;
"a" "j" "q" "r" "t" "y" 2; "b" "b" "g" "n" "q" "t" "x" 2; "c" "t" 3; "d" "k" 3; "e" "y" 3;
"a" "j" "q" "r" "t" "y" 2; "b" "b" "g" "n" "q" "t" "x" 2; "c" "t" 3; "d" "k" 3; "e" "y" 3;
"a" "j" "q" "r" "t" "y" 2; "b" "b" "g" "n" "q" "t" "x" 2; "c" "t" 3; "d" "k" 3; "e" "y" 3;
"a" "q" 3; "b" "b" "g" "n" "q" "t" "x" "y" 2; "c" "t" 3; "d" "k" 3; "e" "y" 3;
"a" "q" 3; "b" "b" "g" "n" "q" "t" "x" "y" 2; "c" "t" 3; "d" "k" 3; "e" "y" 3;
"a" "q" 3; "b" "b" "g" "n" "q" "t" "x" "y" 2; "c" "t" 3; "d" "k" 3; "e" "y" 3;
"a" "q" 3; "b" "b" "g" "n" "q" "t" "x" "y" 2; "c" "t" 3; "d" "k" 3; "e" "y" 3;
"a" "q" 3; "b" "g" 3; "c" "t" 3; "d" "k" 3; "e" "y" 3;
"a" "q" 3; "b" "g" 3; "c" "t" 3; "d" "k" 3; "e" "y" 3;
"a" "q" 3; "b" "g" 3; "c" "t" 3; "d" "k" 3; "e" "y" 3;
"a" "q" 3; "b" "g" 3; "c" "t" 3; "d" "k" 3; "e" "y" 3;
"a" "q" 3; "b" "g" 3; "c" "t" 3; "d" "k" 3; "e" "y" 3;
"a" "q" 3; "b" "g" 3; "c" "t" 3; "d" "k" 3; "e" "r" "y" 3;
"a" "q" 3; "b" "g" "y" 3; "c" "t" 4; "d" "k" 3; "e" "r" "y" 3;
"a" "q" 3; "b" "g" "y" 3; "c" "t" 4; "d" "k" 3; "e" "r" "y" 3;
"a" "q" 3; "b" "g" "y" 3; "c" "t" 5; "d" "k" 3; "e" "r" "y" 3;
"a" "q" 3; "b" "g" "y" 3; "c" "t" 5; "d" "k" 3; "e" "r" "y" 3;
"a" "q" 3; "b" "g" "y" 3; "c" "t" 5; "d" "k" 3; "e" "r" "y" 3;
"a" "q" 3; "b" "g" "y" 3; "c" "t" 5; "d" "k" 3; "e" "r" "y" 3;
"a" "q" 3; "b" "g" "y" 3; "c" "t" 5; "d" "k" 3; "e" "r" "y" 3;
"a" "q" 3; "b" "g" "y" 3; "c" "t" 5; "d" "k" 3; "e" "r" "y" 3;
"a" "q" 3; "b" "g" "y" 3; "c" "t" 5; "d" "k" 3; "e" "r" "y" 3;
"a" "q" 3; "b" "g" "y" 3; "c" "t" 5; "d" "k" 3; "e" "r" "y" 3;
"a" "q" 3; "b" "g" "y" 3; "c" "t" 5; "d" "k" 3; "e" "r" "y" 3;
"a" "q" 3; "b" "g" "y" 3; "c" "t" 5; "d" "k" 3; "e" "r" "y" 3;
"a" "q" 3; "b" "g" "y" 3; "c" "t" 5; "d" "k" 3; "e" "r" "y" 3;
"a" "q" 3; "b" "g" "y" 3; "c" "t" 5; "d" "k" 3; "e" "r" "y" 3;
"a" "q" 3; "b" "g" "y" 3; "c" "t" 5; "d" "k" 3; "e" "r" "y" 3;
"a" "q" 3; "b" "g" "y" 3; "c" "t" 5; "d" "k" 3; "e" "r" "y" 3;
"a" "q" 3; "b" "g" "y" 3; "c" "t" 5; "d" "k" 3; "e" "d" "r" "y" 3;
"a" "q" 3; "b" "g" "y" 3; "c" "t" 5; "d" "k" 3; "e" "d" "r" "y" 3;
"a" "q" 3; "b" "g" "y" 3; "c" "t" 5; "d" "k" 3; "e" "d" "r" "y" 3;
"a" "q" 3; "b" "g" "y" 3; "c" "t" 5; "d" "k" 3; "e" "y" 4;
"a" "q" 3; "b" "g" "y" 3; "c" "t" 5; "d" "k" 3; "e" "y" 4;
"a" "q" 3; "b" "g" "y" 3; "c" "t" 5; "d" "k" 3; "e" "y" 4;
"a" "q" 3; "b" "b" "g" "y" 3; "c" "t" 5; "d" "k" 3; "e" "y" 4;
"a" "q" 3; "b" "b" "g" "y" 3; "c" "t" 5; "d" "k" 3; "e" "y" 4;
"a" "q" 3; "b" "b" "g" "y" 3; "c" "t" 5; "d" "k" 3; "e" "y" 4;
"a" "q" 3; "b" "b" "g" "y" 3; "c" "t" 5; "d" "k" 3; "e" "y" 4;
"a" "q" 3; "b" "b" "g" "y" 3; "c" "t" 5; "d" "k" 3; "e" "y" 4;
"a" "q" 3; "b" "b" "g" "y" 3; "c" "t" 5; "d" "k" 4; "e" "y" 4;
"a" "q" 3; "b" "b" "g" "y" 3; "c" "t" 5; "d" "k" 4; "e" "y" 4;
"a" "q" "t" 3; "b" "b" "c" "g" "y" 3; "c" "t" 5; "d" "k" 4; "e" "y" 4;
"a" "q" "t" 3; "b" "b" "c" "g" "y" 3; "c" "t" 5; "d" "k" 4; "e" "y" 4;
"a" "q" "t" 3; "b" "b" "c" "g" "y" 3; "c" "t" 5; "d" "k" 4; "e" "y" 4;
"a" "q" "t" 3; "b" "b" "c" "g" "y" 3; "c" "t" 5; "d" "k" 4; "e" "y" 4;
"a" "q" "t" 3; "b" "b" "c" "g" "y" 3; "c" "t" 5; "d" "k" 4; "e" "y" 4;
"a" "q" "t" 3; "b" "b" "c" "g" "y" 3; "c" "t" 5; "d" "k" 4; "e" "y" 4;
"a" "q" "t" 3; "b" "b" "c" "g" "y" 3; "c" "t" 5; "d" "k" 4; "e" "y" 4;
"a" "q" "t" 3; "b" "b" "c" "y" 3; "c" "t" 5; "d" "k" 4; "e" "d" "y" 4;
"a" "q" "t" 3; "b" "b" "c" "y" 3; "c" "t" 5; "d" "k" 4; "e" "d" "y" 4;
"a" "q" "t" 3; "b" "b" "c" "y" 3; "c" "t" 5; "d" "k" 4; "e" "d" "y" 4;
"a" "q" "t" 3; "b" "b" "c" "y" 3; "c" "t" 5; "d" "k" 4; "e" "d" "y" 4;
"a" "q" "t" 3; "b" "b" "c" "y" 3; "c" "t" 5; "d" "k" 4; "e" "d" "y" 4;
"a" "q" "t" 3; "b" "b" "c" "y" 3; "c" "t" 5; "d" "k" 4; "e" "d" "y" 4;
"a" "q" "t" 3; "b" "b" "c" "y" 3; "c" "t" 5; "d" "k" 4; "e" "d" "y" 4;
"a" "q" "t" 3; "b" "b" "c" "y" 3; "c" "t" 5; "d" "k" 4; "e" "d" "y" 4;
"a" "q" "t" 3; "b" "b" "c" "y" 3; "c" "t" 5; "d" "k" 4; "e" "d" "y" 4;
"a" "q" "t" 3; "b" "b" "c" "y" 3; "c" "t" 5; "d" "k" 4; "e" "d" "y" 4;
"a" "q" "t" 3; "b" "b" "c" "y" 3; "c" "t" 5; "d" "k" 4; "e" "d" "y" 4;
"a" "q" "t" 3; "b" "b" "c" "y" 3; "c" "t" 5; "d" "k" 4; "e" "d" "y" 4;
"a" "q" "t" 3; "b" "b" "c" "y" 3; "c" "t" 5; "d" "k" 4; "e" "d" "y" 4;
"a" "q" "t" 3; "b" "b" "c" "y" 3; "c" "t" 5; "d" "k" 4; "e" "d" "y" 4;
"a" "q" "t" 3; "b" "b" "c" "y" 3; "c" "t" 5; "d" "k" 4; "e" "d" "y" 4;
"a" "q" "t" 3; "b" "b" "c" "y" 3; "c" "t" 5; "d" "k" 4; "e" "d" "y" 4;
"a" "e" "j" "q" "t" 3; "b" "b" "c" "y" 3; "c" "t" 5; "d" "k" 4; "e" "d" "y" 4;
"a" "e" "j" "q" "t" 3; "b" "b" "c" "y" 3; "c" "t" 5; "d" "k" 4; "e" "d" "y" 4;
"a" "e" "j" "q" "t" 3; "b" "b" "c" "y" 3; "c" "t" 5; "d" "k" 3; "e" "d" "y" 4;
"a" "e" "j" "q" "t" 3; "b" "b" "c" "y" 3; "c" "t" 5; "d" "k" 3; "e" "d" "y" 4;
"a" "e" "j" "q" "t" 3; "b" "b" "c" "y" 3; "c" "t" 6; "d" "k" 3; "e" "d" "y" 4;
"a" "e" "j" "q" "t" 3; "b" "b" "c" "y" 3; "c" "t" 6; "d" "k" 3; "e" "d" "y" 4;
"a" "e" "j" "q" "t" 3; "b" "b" "c" "y" 3; "c" "t" 6; "d" "k" 3; "e" "d" "y" 4;
"a" "e" "j" "q" "t" 3; "b" "b" "c" "y" 3; "c" "t" 6; "d" "k" 3; "e" "d" "y" 4;
"a" "e" "j" "q" "t" 3; "b" "b" "c" "y" 3; "c" "t" 6; "d" "k" 3; "e" "d" "y" 4;
"a" "e" "j" "q" "t" 3; "b" "b" "c" "y" 3; "c" "t" 6; "d" "k" 3; "e" "d" "y" 4;
"a" "e" "j" "q" "t" 3; "b" "b" "c" "y" 3; "c" "t" 6; "d" "k" 3; "e" "d" "y" 4;
"a" "e" "j" "q" "t" 3; "b" "b" "c" "y" 3; "c" "t" 6; "d" "k" 3; "e" "d" "y" 4;
"a" "e" "j" "q" "t" 3; "b" "b" "c" "o" "y" 3; "c" "t" 6; "d" "k" 3; "e" "d" "y" 4;
"a" "e" "j" "q" "t" 3; "b" "b" "c" "o" "y" 3; "c" "t" 6; "d" "k" 3; "e" "d" "y" 4;
"a" "e" "j" "q" "t" 3; "b" "b" "c" "o" "y" 3; "c" "t" 7; "d" "k" 3; "e" "d" "y" 4;
"a" "e" "j" "q" "t" 3; "b" "y" 4; "c" "t" 7; "d" "k" 3; "e" "d" "y" 4;
"a" "e" "j" "q" "t" 3; "b" "y" 4; "c" "t" 7; "d" "k" 3; "e" "d" "y" 4;
"a" "e" "j" "q" "t" 3; "b" "y" 4; "c" "t" 7; "d" "k" 3; "e" "d" "y" 4;
"a" "e" "j" "q" "t" 3; "b" "y" 4; "c" "t" 7; "d" "k" 3; "e" "d" "y" 4;
"a" "e" "j" "q" "t" 3; "b" "y" 4; "c" "t" 7; "d" "k" 3; "e" "d" "y" 4;
"a" "e" "j" "q" "t" 3; "b" "w" "y" 4; "c" "t" 7; "d" "k" "t" 3; "e" "d" "y" 4;
"a" "e" "j" "q" "t" 3; "b" "w" "y" 4; "c" "t" 7; "d" "k" "t" 3; "e" "d" "y" 4;
"a" "e" "j" "q" "t" 3; "b" "w" "y" 4; "c" "t" 7; "d" "k" "t" 3; "e" "d" "y" 4;
"a" "e" "j" "q" "t" 3; "b" "w" "y" 4; "c" "t" 7; "d" "k" "t" 3; "e" "d" "y" 4;
"a" "e" "j" "q" "t" 3; "b" "w" "y" 4; "c" "t" 7; "d" "k" "t" 3; "e" "d" "y" 4;
"a" "e" "j" "q" "t" 3; "b" "w" "y" 4; "c" "t" 7; "d" "k" "t" 3; "e" "d" "y" 4;
"a" "e" "j" "q" "t" 3; "b" "w" "y" 4; "c" "t" 7; "d" "k" "t" 3; "e" "d" "y" 4;
"a" "e" "j" "q" "t" 3; "b" "w" "y" 4; "c" "t" 7; "d" "k" "t" 3; "e" "d" "y" 4;
"a" "e" "j" "q" "t" 3; "b" "w" "y" 4; "c" "t" 7; "d" "k" "t" 3; "e" "d" "y" 4;
