none
none
none
none
none
none
none
none
none
none
"e" "h" 1;
"c" "c" 1; "e" "h" 1;
"c" "c" 1; "e" "h" 1;
"c" "c" 1; "e" "h" 1;
"c" "c" 1; "e" "h" 1;
"c" "c" 1; "e" "h" 1;
"c" "c" 1; "e" "h" 1;
"c" "c" "e" 1; "e" "h" 1;
"c" "c" "e" "s" 1; "e" "h" 1;
"c" "c" "e" "s" 1; "e" "h" 1;
"c" "c" "e" "s" 1; "e" "h" 1;
"c" "c" "e" "s" 1; "e" "h" 1;
"b" "r" 1; "c" "c" "e" "s" 1; "e" "h" 1;
"b" "r" 1; "c" "c" "e" "s" 1; "e" "h" 1;
"b" "r" 1; "c" "c" "e" "s" 1; "e" "h" 1;
"b" "r" 1; "c" "c" "e" "s" 1; "e" "h" 1;
"b" "r" 1; "c" "c" "e" "s" 1; "e" "h" 1;
"b" "r" 1; "c" "c" "e" "s" 1; "e" "h" 1;
"b" "r" 1; "c" "c" "e" "s" 1; "e" "h" 1;
"b" "r" 1; "c" "c" "e" "s" 1; "e" "h" 1;
"b" "r" 1; "c" "c" "e" "s" 1; "e" "h" 1;
"b" "r" 1; "c" "c" "e" "s" 1; "d" "h" 1; "e" "h" 1;
"b" "r" 1; "c" "c" "e" "s" 1; "d" "h" 1; "e" "h" 1;
"b" "r" 1; "c" "c" "e" "q" "s" 1; "d" "h" 1; "e" "h" 1;
"b" "r" 1; "c" "c" "e" "q" "s" 1; "d" "h" 1; "e" "h" 1;
"b" "r" 1; "c" "c" "e" "q" "s" 1; "d" "h" 1; "e" "h" 1;
"b" "r" 1; "c" "c" "e" "q" "s" 1; "d" "h" 1; "e" "h" 1;
"b" "r" 1; "c" "c" "e" "q" "s" 1; "d" "h" 1; "e" "h" 1;
"b" "r" 1; "c" "c" "e" "q" "s" 1; "d" "h" 1; "e" "h" 1;
"a" "h" "k" "s" "t" 1; "b" "a" "e" "r" "w" "x" 1; "c" "q" 2; "d" "h" 2; "e" "e" "f" "g" "h" "q" "t" 1;
"a" "h" "k" "s" "t" 1; "b" "a" "e" "r" "w" "x" 1; "c" "q" 2; "d" "h" 2; "e" "g" 2;
"a" "h" "k" "s" "t" 1; "b" "a" "e" "r" "w" "x" 1; "c" "q" 2; "d" "h" 2; "e" "g" 3;
"a" "h" "k" "s" "t" 1; "b" "a" "e" "r" "w" "x" 1; "c" "q" 2; "d" "h" 2; "e" "g" 3;
"a" "h" "k" "s" "t" 1; "b" "a" "e" "r" "w" "x" 1; "c" "q" 2; "d" "h" 2; "e" "g" 3;
"a" "h" "k" "s" "t" 1; "b" "a" "e" "r" "w" "x" 1; "c" "q" 2; "d" "h" 2; "e" "g" 3;
"a" "t" 2; "b" "a" "e" "r" "w" "x" 1; "c" "q" 3; "d" "h" 2; "e" "g" 3;
"a" "t" 2; "b" "a" "e" "r" "w" "x" 1; "c" "q" 3; "d" "h" 2; "e" "g" 3;
"a" "t" 2; "b" "a" "e" "h" "r" "w" "x" 1; "c" "q" 3; "d" "h" 2; "e" "g" 3;
"a" "t" 2; "b" "a" "e" "h" "r" "w" "x" 1; "c" "q" 3; "d" "h" 2; "e" "g" 3;
"a" "t" 2; "b" "a" "e" "g" "h" "r" "v" "w" "x" 1; "c" "q" 3; "d" "h" 2; "e" "g" 3;
"a" "t" 2; "b" "a" "e" "g" "h" "r" "v" "w" "x" 1; "c" "q" 3; "d" "h" 2; "e" "g" 3;
"a" "t" 2; "b" "a" "e" "g" "h" "r" "v" "w" "x" 1; "c" "q" 3; "d" "h" 2; "e" "g" 3;
"a" "t" 2; "b" "a" "e" "g" "h" "r" "v" "w" "x" 1; "c" "q" 3; "d" "h" 2; "e" "g" 3;
"a" "t" 2; "b" "a" "e" "g" "h" "r" "v" "w" "x" 1; "c" "q" 3; "d" "h" 2; "e" "g" 3;
"a" "t" 2; "b" "a" "e" "g" "h" "l" "r" "v" "w" "x" 1; "c" "q" 3; "d" "h" 2; "e" "g" 3;
"a" "t" 2; "b" "a" "e" "g" "h" "l" "r" "v" "w" "x" 1; "c" "q" 3; "d" "h" 2; "e" "g" 3;
"a" "t" 2; "b" "a" "e" "g" "h" "l" "r" "v" "w" "x" 1; "c" "q" 3; "d" "h" "m" 2; "e" "g" 3;
"a" "t" 2; "b" "a" "e" "g" "h" "l" "r" "v" "w" "x" 1; "c" "q" 3; "d" "h" "m" 2; "e" "g" 3;
"a" "t" 2; "b" "a" "e" "g" "h" "l" "r" "v" "w" "x" 1; "c" "q" 3; "d" "h" "m" 2; "e" "g" 3;
"a" "t" 2; "b" "a" "e" "g" "h" "l" "m" "r" "v" "w" "x" 1; "c" "q" 3; "d" "h" "m" 2; "e" "g" 3;
"a" "t" 2; "b" "a" "e" "g" "h" "l" "m" "r" "v" "w" "x" 1; "c" "q" 3; "d" "h" "m" 2; "e" "g" 3;
"a" "t" 2; "b" "a" "e" "g" "h" "l" "m" "r" "v" "w" "x" 1; "c" "q" 3; "d" "h" "m" 2; "e" "g" 3;
"a" "t" 2; "b" "a" "e" "g" "h" "l" "m" "r" "v" "w" "x" 1; "c" "q" 3; "d" "h" "m" 2; "e" "g" 3;
"a" "t" 2; "b" "a" "e" "g" "h" "l" "m" "r" "v" "w" "x" 1; "c" "q" 3; "d" "h" "m" 2; "e" "g" 3;
"a" "t" 2; "b" "a" "e" "g" "h" "l" "m" "r" "v" "w" "x" 1; "c" "q" 3; "d" "h" "m" 2; "e" "g" 3;
"a" "t" 2; "b" "a" "e" "g" "h" "l" "m" "r" "v" "w" "x" 1; "c" "q" 3; "d" "h" 3; "e" "g" 3;
"a" "t" 2; "b" "a" "e" "g" "h" "l" "m" "r" "v" "w" "x" 1; "c" "q" 3; "d" "h" 3; "e" "g" 3;
"a" "t" 2; "b" "a" "e" "g" "h" "l" "m" "r" "v" "w" "x" 1; "c" "q" 3; "d" "h" 3; "e" "g" 3;
"a" "t" 2; "b" "a" "e" "g" "h" "l" "m" "r" "v" "w" "x" 1; "c" "q" 3; "d" "h" 3; "e" "g" 3;
"a" "t" 2; "b" "a" "e" "g" "h" "l" "m" "r" "s" "v" "w" "x" 1; "c" "q" 3; "d" "h" 3; "e" "g" 3;
"a" "t" 2; "b" "a" "e" "g" "h" "l" "m" "r" "s" "v" "w" "x" 1; "c" "q" 3; "d" "h" 3; "e" "g" 3;
"a" "t" 2; "b" "a" "e" "g" "h" "l" "m" "r" "s" "v" "w" "x" 1; "c" "q" 3; "d" "h" 3; "e" "g" 3;
"a" "t" 2; "b" "a" "e" "g" "h" "l" "m" "r" "s" "v" "w" "x" 1; "c" "q" 3; "d" "h" 3; "e" "g" 3;
"a" "t" 2; "b" "a" "e" "g" "h" "l" "m" "r" "s" "v" "w" "x" 1; "c" "q" 3; "d" "h" 3; "e" "g" 3;
"a" "t" 2; "b" "a" "e" "g" "h" "l" "m" "r" "s" "v" "w" "x" 1; "c" "q" 3; "d" "h" 3; "e" "g" 3;
"a" "t" 2; "b" "a" "e" "g" "h" "l" "m" "r" "s" "v" "w" "x" 1; "c" "q" 3; "d" "h" 3; "e" "g" 3;
"a" "t" 2; "b" "a" "e" "g" "h" "l" "m" "r" "s" "v" "w" "x" 1; "c" "q" 3; "d" "h" 3; "e" "g" 3;
"a" "t" 2; "b" "a" "e" "g" "h" "l" "m" "r" "s" "v" "w" "x" 1; "c" "q" 3; "d" "h" 3; "e" "g" 3;
"a" "t" 2; "b" "a" 2; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "t" 2; "b" "a" 2; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "t" 2; "b" "a" 2; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "t" 2; "b" "a" 2; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "t" 2; "b" "a" 2; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "t" 2; "b" "a" 2; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "t" 2; "b" "a" 2; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "t" 2; "b" "a" 2; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "t" 2; "b" "a" 2; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "t" 2; "b" "a" 2; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "t" 2; "b" "a" 2; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "t" 2; "b" "a" 2; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "t" 2; "b" "a" 2; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "t" 2; "b" "a" "h" 2; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "t" 2; "b" "a" "h" 2; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "t" 2; "b" "a" "h" 2; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "t" 2; "b" "a" "h" 2; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "t" 2; "b" "a" "h" 2; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "t" 2; "b" "a" "h" "r" 2; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "t" 2; "b" "a" "h" "r" 2; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "t" 2; "b" "a" "h" "r" 2; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "t" 2; "b" "a" "h" "r" 2; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "t" 2; "b" "a" "h" "r" 2; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "t" 2; "b" "a" "h" "r" 2; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "t" 2; "b" "a" "h" "r" 2; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "t" 2; "b" "a" "h" "r" 2; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "t" 2; "b" "a" "h" "r" 2; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "d" "t" 2; "b" "a" "h" "r" "x" 2; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "d" "s" "t" 2; "b" "a" "h" "r" "x" 2; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "d" "s" "t" 2; "b" "a" "h" "r" "x" 2; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "d" "s" "t" 2; "b" "a" "h" "r" "x" 2; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "d" "s" "t" 2; "b" "a" "h" "r" "x" 2; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "d" "s" "t" 2; "b" "a" "h" "r" "x" 2; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "d" "s" "t" 2; "b" "a" "e" "h" "r" "x" 2; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "d" "s" "t" 2; "b" "a" "e" "h" "r" "x" 2; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "d" "s" "t" 2; "b" "a" "e" "h" "r" "x" 2; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "d" "s" "t" 2; "b" "a" "e" "h" "r" "x" 2; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "d" "s" "t" 2; "b" "a" "e" "h" "r" "x" 2; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "d" "n" "s" "t" 2; "b" "a" "e" "h" "r" "x" 2; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "d" "n" "s" "t" 2; "b" "a" "e" "h" "r" "x" 2; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "d" "n" "s" "t" 2; "b" "a" "e" "h" "r" "x" 2; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "d" "i" "n" "s" "t" 2; "b" "a" "e" "h" "r" "w" "x" 2; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "d" "i" "n" "s" "t" 2; "b" "a" "e" "h" "r" "w" "x" 2; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "b" "d" "i" "n" "s" "t" 2; "b" "a" "e" "h" "r" "w" "x" 2; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "b" "d" "i" "n" "s" "t" 2; "b" "a" "e" "h" "r" "w" "x" 2; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "b" "d" "i" "n" "s" "t" 2; "b" "a" "e" "h" "r" "w" "x" 2; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "b" "d" "i" "n" "s" "t" 2; "b" "a" "e" "h" "r" "w" "x" 2; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "b" "d" "i" "n" "s" "t" 2; "b" "a" "e" "h" "r" "w" "x" 2; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "b" "d" "i" "n" "s" "t" 2; "b" "a" "e" "h" "r" "w" "x" 2; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "b" "d" "i" "n" "s" "t" 2; "b" "a" "e" "h" "r" "w" "x" 2; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "b" "d" "i" "n" "s" "t" 2; "b" "a" "e" "h" "r" "w" "x" 2; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "b" "d" "i" "n" "s" "t" 2; "b" "a" "e" "h" "r" "w" "x" 2; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "b" "d" "i" "n" "s" "t" 2; "b" "a" "e" "h" "r" "w" "x" 2; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "b" "d" "i" "n" "s" "t" 2; "b" "w" 3; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "b" "d" "i" "n" "s" "t" 2; "b" "w" 3; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "b" "d" "i" "n" "s" "t" 2; "b" "w" 3; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "b" "d" "i" "n" "s" "t" "u" 2; "b" "w" 3; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "b" "d" "i" "n" "s" "t" "u" 2; "b" "w" 3; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "b" "d" "i" "n" "s" "t" "u" 2; "b" "w" 3; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "b" "d" "i" "n" "s" "t" "u" 2; "b" "w" 3; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "b" "d" "i" "n" "s" "t" "u" 2; "b" "w" 3; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "b" "d" "i" "n" "s" "t" "u" 2; "b" "w" 3; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "b" "d" "i" "n" "s" "t" "u" 2; "b" "w" 3; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "b" "d" "i" "n" "s" "t" "u" 2; "b" "w" 3; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "b" "d" "i" "n" "s" "t" "u" 2; "b" "w" 3; "c" "q" 3; "d" "h" 4; "e" "g" 3;
"a" "b" "d" "i" "n" "s" "t" "u" 2; "b" "w" 3; "c" "q" "s" 3; "d" "h" 4; "e" "g" 3;
"a" "b" "d" "i" "n" "s" "t" "u" 2; "b" "e" "w" 3; "c" "q" "s" 3; "d" "h" 4; "e" "g" 3;
"a" "b" "d" "i" "n" "s" "t" "u" 2; "b" "e" "w" 3; "c" "q" "s" 3; "d" "h" 4; "e" "g" 3;
"a" "b" "d" "i" "n" "s" "t" "u" 2; "b" "a" "e" "w" 3; "c" "q" "s" 3; "d" "h" 4; "e" "g" 3;
"a" "b" "d" "i" "n" "s" "t" "u" 2; "b" "a" "e" "w" 3; "c" "q" "s" 3; "d" "h" 5; "e" "g" 3;
"a" "b" "d" "i" "k" "n" "p" "s" "t" "u" 2; "b" "a" "e" "w" 3; "c" "q" "s" 3; "d" "h" 5; "e" "g" 3;
"a" "u" 3; "b" "a" "e" "w" 3; "c" "q" "s" 3; "d" "h" 5; "e" "g" 3;
"a" "u" 3; "b" "a" "e" "w" 3; "c" "q" "s" 3; "d" "h" 5; "e" "g" 3;
"a" "u" 3; "b" "a" "e" "w" 3; "c" "q" "s" 3; "d" "h" 5; "e" "g" 3;
"a" "u" 3; "b" "a" "e" "w" 3; "c" "q" "s" 3; "d" "h" 5; "e" "g" 3;
"a" "u" 3; "b" "a" "e" "w" 3; "c" "q" "s" 3; "d" "h" 5; "e" "g" 3;
"a" "u" 3; "b" "a" "e" "w" 3; "c" "q" "s" 3; "d" "h" 5; "e" "g" 3;
"a" "u" 3; "b" "a" "e" "w" 3; "c" "q" "s" 3; "d" "h" 5; "e" "g" 3;
"a" "u" 3; "b" "a" "e" "w" 3; "c" "q" "s" 3; "d" "h" 5; "e" "g" 3;
"a" "u" 3; "b" "a" "e" "w" 3; "c" "q" "s" 3; "d" "h" 5; "e" "g" 3;
"a" "u" 3; "b" "a" "e" "w" 3; "c" "q" "s" 3; "d" "h" 5; "e" "g" 3;
"a" "u" 3; "b" "a" "e" "w" 3; "c" "q" "s" 3; "d" "h" 5; "e" "g" 3;
"a" "u" 3; "b" "a" "e" "w" 3; "c" "q" "s" "t" 3; "d" "h" 5; "e" "g" 3;
"a" "u" 3; "b" "a" "e" "w" 3; "c" "q" "s" "t" 3; "d" "h" 5; "e" "g" 3;
"a" "u" 3; "b" "a" "e" "w" 3; "c" "q" "s" "t" 3; "d" "h" 5; "e" "g" 3;
"a" "u" 3; "b" "a" "e" "w" 3; "c" "q" "s" "t" 3; "d" "h" 5; "e" "g" 3;
"a" "u" 3; "b" "a" "e" "w" 3; "c" "q" "s" "t" 3; "d" "h" 5; "e" "g" 3;
"a" "u" 3; "b" "a" "e" "w" 3; "c" "q" "s" "t" 3; "d" "h" 5; "e" "g" 3;
"a" "k" "u" 3; "b" "a" "e" "w" 3; "c" "q" "s" "t" 3; "d" "h" 5; "e" "g" "w" 3;
"a" "k" "u" 3; "b" "a" "e" "w" 3; "c" "q" "s" "t" 3; "d" "h" 5; "e" "g" "w" 3;
"a" "k" "u" 3; "b" "a" "e" "r" "w" 3; "c" "q" "s" "t" 3; "d" "h" 5; "e" "g" "w" 3;
"a" "k" "u" 3; "b" "a" "e" "r" "w" 3; "c" "q" "s" "t" 3; "d" "h" 5; "e" "g" "w" 3;
"a" "k" "u" 3; "b" "a" "e" "r" "w" 3; "c" "q" "s" "t" 3; "d" "h" 5; "e" "g" "w" 3;
"a" "k" "u" 3; "b" "a" "e" "r" "w" 3; "c" "q" "s" "t" 3; "d" "h" 5; "e" "g" "w" 3;
"a" "k" "u" 3; "b" "a" "e" "r" "w" 3; "c" "q" "s" "t" 3; "d" "h" 5; "e" "g" "w" 3;
"a" "k" "u" 3; "b" "a" "e" "r" "w" 3; "c" "q" "s" "t" 3; "d" "h" 5; "e" "g" "w" 3;
"a" "k" "p" "u" 3; "b" "a" "e" "r" "w" 3; "c" "q" "s" "t" 3; "d" "h" 5; "e" "g" "w" 3;
"a" "k" "p" "u" 3; "b" "a" "e" "r" "w" 3; "c" "q" "s" "t" 3; "d" "h" 5; "e" "g" "w" 3;
"a" "k" "p" "u" 3; "b" "a" "e" "r" "w" 3; "c" "q" "s" "t" 3; "d" "h" 5; "e" "g" "w" 3;
"a" "k" "p" "u" 3; "b" "a" "e" "r" "w" 3; "c" "q" "s" "t" 3; "d" "h" 5; "e" "g" "w" 3;
"a" "k" "p" "u" 3; "b" "a" "e" "r" "w" 3; "c" "q" "s" "t" 3; "d" "h" 5; "e" "g" "w" 3;
"a" "k" "p" "u" 3; "b" "a" "e" "r" "w" 3; "c" "q" "s" "t" 3; "d" "h" 5; "e" "g" "v" "w" 3;
"a" "k" "p" "u" 3; "b" "a" "e" "r" "w" 3; "c" "q" "s" "t" 3; "d" "h" 5; "e" "g" "v" "w" 3;
"a" "k" "p" "u" 3; "b" "a" "e" "r" "w" 3; "c" "q" "s" "t" 3; "d" "h" 5; "e" "g" "v" "w" 3;
"a" "k" "p" "u" 3; "b" "a" "e" "r" "w" 3; "c" "q" "s" "t" 3; "d" "h" 5; "e" "g" "v" "w" 3;
"a" "k" "p" "u" 3; "b" "a" "e" "r" "w" 3; "c" "q" "s" "t" 3; "d" "h" 5; "e" "g" "v" "w" 3;
"a" "k" "p" "s" "u" 3; "b" "a" "e" "r" "w" 3; "c" "q" "s" "t" 3; "d" "h" 5; "e" "g" "v" "w" 3;
"a" "k" "p" "s" "u" 3; "b" "a" "e" "r" "w" 3; "c" "q" "s" "t" 3; "d" "h" 5; "e" "g" "v" "w" 3;
"a" "k" "p" "s" "u" 3; "b" "a" "e" "r" "w" 3; "c" "q" "s" "t" 3; "d" "h" 5; "e" "g" "v" "w" 3;
"a" "k" "p" "s" "u" 3; "b" "a" "e" "r" "w" 3; "c" "q" "s" "t" 3; "d" "h" 5; "e" "g" "v" "w" 3;
"a" "k" "p" "s" "u" 3; "b" "a" "e" "r" "w" 3; "c" "q" "s" "t" 3; "d" "h" 5; "e" "g" "v" "w" 3;
