none
none
none
none
none
none
none
none
none
none
none
"c" "x" 1;
"a" "w" 1; "c" "x" 1;
"a" "w" 1; "c" "x" 1;
"a" "w" 1; "c" "x" 1; "e" "u" 1;
"a" "w" 1; "c" "x" 1; "d" "u" 1; "e" "u" 1;
"a" "w" 1; "c" "x" 1; "d" "u" 1; "e" "u" 1;
"a" "w" 1; "c" "x" 1; "d" "u" 1; "e" "u" 1;
"a" "w" 1; "c" "x" 1; "d" "u" 1; "e" "u" 1;
"a" "w" 1; "c" "x" 1; "d" "u" 1; "e" "u" 1;
"a" "w" 1; "c" "x" 1; "d" "u" 1; "e" "u" 1;
"a" "w" 1; "c" "x" 1; "d" "u" 1; "e" "u" 1;
"a" "w" 1; "c" "x" 1; "d" "u" 1; "e" "u" 1;
"a" "c" "s" "w" 1; "b" "c" "k" "r" "x" 1; "c" "x" 1; "d" "c" "r" "u" "y" 1; "e" "u" 1;
"a" "c" "s" "w" 1; "b" "c" "k" "r" "x" 1; "c" "x" 1; "d" "c" "r" "u" "y" 1; "e" "u" 1;
"a" "c" "s" "w" 1; "b" "c" "k" "r" "x" 1; "c" "x" 1; "d" "c" "r" "u" "y" 1; "e" "u" 1;
"a" "c" "s" "w" 1; "b" "c" "k" "r" "x" 1; "c" "x" 1; "d" "c" "r" "u" "y" 1; "e" "u" 1;
"a" "c" "h" "s" "w" 1; "b" "c" "k" "r" "x" 1; "c" "x" 1; "d" "c" "r" "u" "y" 1; "e" "o" "u" 1;
"a" "c" "h" "s" "w" 1; "b" "c" "k" "r" "x" 1; "c" "x" 1; "d" "c" "r" "u" "y" 1; "e" "o" "u" 1;
"a" "c" "h" "s" "w" 1; "b" "c" "k" "r" "x" 1; "c" "x" 1; "d" "c" "r" "u" "y" 1; "e" "o" "u" 1;
"a" "c" "h" "s" "w" 1; "b" "c" "k" "r" "x" 1; "c" "x" 1; "d" "c" "r" "u" "y" 1; "e" "o" "u" 1;
"a" "c" "h" "s" "w" 1; "b" "c" "k" "r" "x" 1; "c" "x" 1; "d" "c" "d" "r" "u" "y" 1; "e" "o" "u" 1;
"a" "c" "h" "s" "w" 1; "b" "c" "k" "r" "x" 1; "c" "x" 1; "d" "c" "d" "r" "u" "y" 1; "e" "o" "u" 1;
"a" "c" "h" "s" "w" 1; "b" "c" "k" "r" "x" 1; "c" "x" 1; "d" "c" "d" "r" "u" "y" 1; "e" "o" "u" 1;
"a" "c" "h" "s" "w" 1; "b" "c" "k" "r" "x" 1; "c" "x" 1; "d" "c" "d" "r" "u" "y" 1; "e" "k" "o" "u" 1;
"a" "c" "h" "s" "w" 1; "b" "c" "g" "k" "r" "x" 1; "c" "x" 1; "d" "c" "d" "r" "u" "y" 1; "e" "k" "o" "u" 1;
"a" "c" "h" "s" "w" 1; "b" "c" "g" "k" "r" "x" 1; "c" "x" 1; "d" "c" "d" "r" "u" "y" 1; "e" "k" "o" "u" 1;
"a" "c" "h" "s" "w" 1; "b" "c" "g" "k" "r" "x" 1; "c" "x" 1; "d" "c" "d" "r" "u" "y" 1; "e" "k" "o" "u" 1;
"a" "c" "h" "s" "w" 1; "b" "c" "g" "k" "r" "x" 1; "c" "x" 1; "d" "c" "d" "r" "u" "y" 1; "e" "k" "o" "u" 1;
"a" "c" "h" "s" "w" 1; "b" "c" "g" "k" "r" "x" 1; "c" "x" 1; "d" "c" "d" "r" "u" "y" 1; "e" "k" "o" "u" 1;
"a" "c" "h" "s" "w" 1; "b" "c" "g" "k" "r" "x" 1; "c" "x" 1; "d" "c" "d" "r" "u" "y" 1; "e" "k" "o" "u" 1;
"a" "c" "h" "s" "w" 1; "b" "c" "g" "k" "r" "x" 1; "c" "x" 1; "d" "c" "d" "r" "u" "y" 1; "e" "k" "o" "u" "x" 1;
"a" "c" "h" "s" "w" 1; "b" "c" "g" "k" "r" "w" "x" 1; "c" "q" "x" 1; "d" "c" "d" "r" "u" "y" 1; "e" "k" "o" "u" "x" 1;
"a" "c" "h" "s" "w" 1; "b" "c" "g" "k" "r" "w" "x" 1; "c" "q" "x" 1; "d" "c" "d" "r" "u" "y" 1; "e" "k" "o" "u" "x" 1;
"a" "c" "h" "s" "w" 1; "b" "c" "g" "k" "r" "w" "x" 1; "c" "q" "x" 1; "d" "c" "d" "r" "u" "y" 1; "e" "k" "o" "u" "x" 1;
"a" "c" "h" "s" "w" 1; "b" "c" "g" "k" "r" "w" "x" 1; "c" "q" "x" 1; "d" "c" "d" "r" "u" "y" 1; "e" "k" "o" "u" "x" 1;
"a" "c" "h" "l" "s" "w" 1; "b" "c" "g" "k" "r" "w" "x" 1; "c" "q" "x" 1; "d" "c" "d" "r" "u" "y" 1; "e" "k" "o" "u" "x" 1;
"a" "c" "h" "l" "s" "w" 1; "b" "c" "g" "k" "r" "w" "x" 1; "c" "q" "x" 1; "d" "c" "d" "r" "u" "y" 1; "e" "k" "o" "u" "x" 1;
"a" "c" "h" "l" "s" "w" 1; "b" "x" 2; "c" "q" "x" 1; "d" "c" "d" "r" "u" "y" 1; "e" "k" "o" "u" "x" 1;
"a" "c" "h" "l" "s" "w" 1; "b" "x" 2; "c" "q" "x" 1; "d" "c" "d" "r" "u" "y" 1; "e" "k" "o" "u" "x" 1;
"a" "c" "h" "l" "s" "w" 1; "b" "x" 2; "c" "q" "x" 1; "d" "c" "d" "r" "u" "y" 1; "e" "k" "o" "u" "x" 1;
"a" "c" "h" "l" "s" "w" 1; "b" "x" 2; "c" "q" "x" 1; "d" "c" "d" "r" "y" 1; "e" "k" "o" "u" "x" 1;
"a" "c" "h" "l" "s" "w" 1; "b" "x" 2; "c" "q" "x" 1; "d" "c" "d" "r" "y" 1; "e" "k" "o" "u" "x" 1;
"a" "c" "h" "l" "s" "w" 1; "b" "x" 2; "c" "q" "x" 1; "d" "c" "d" "r" "y" 1; "e" "k" "o" "u" "x" 1;
"a" "c" "h" "l" "s" "w" 1; "b" "x" 2; "c" "q" "x" 1; "d" "c" "d" "r" "y" 1; "e" "k" "o" "r" "u" "x" 1;
"a" "c" "h" "l" "s" "w" 1; "b" "x" 2; "c" "q" "x" 1; "d" "b" "c" "d" "r" "y" 1; "e" "k" "o" "r" "u" "x" 1;
"a" "c" "h" "l" "s" "w" 1; "b" "x" 2; "c" "q" "x" 1; "d" "b" "c" "d" "r" "y" 1; "e" "k" "o" "r" "u" "x" 1;
"a" "c" "h" "k" "l" "s" "w" 1; "b" "x" 2; "c" "q" "x" 1; "d" "b" "c" "d" "r" "y" 1; "e" "k" "o" "r" "u" "x" 1;
"a" "c" "h" "k" "l" "s" "w" 1; "b" "x" 2; "c" "q" "x" 1; "d" "b" "c" "d" "r" "y" 1; "e" "k" "o" "r" "u" "x" 1;
"a" "k" 2; "b" "x" 2; "c" "q" "x" 1; "d" "b" "c" "d" "r" "y" 1; "e" "x" 2;
"a" "k" 2; "b" "x" 2; "c" "q" "x" 1; "d" "b" "c" "d" "r" "y" 1; "e" "x" 2;
"a" "k" 2; "b" "x" 2; "c" "c" "q" "x" 1; "d" "b" "c" "d" "r" "y" 1; "e" "x" 2;
"a" "k" 2; "b" "x" 2; "c" "c" "q" "x" 1; "d" "b" "c" "d" "r" "y" 1; "e" "x" 2;
"a" "k" 2; "b" "x" 2; "c" "c" "q" "x" 1; "d" "b" "c" "d" "r" "y" 1; "e" "x" 2;
"a" "k" 2; "b" "x" 2; "c" "c" "q" "x" 1; "d" "b" "c" "d" "r" "y" 1; "e" "x" 2;
"a" "k" 2; "b" "x" 2; "c" "c" "q" "x" 1; "d" "b" "c" "d" "r" "y" 1; "e" "x" 2;
"a" "k" 2; "b" "x" 2; "c" "c" "q" "x" 1; "d" "b" "c" "d" "r" "y" 1; "e" "x" 2;
"a" "e" "k" 2; "b" "x" 2; "c" "c" "q" "x" 1; "d" "b" "c" "d" "r" "v" "y" 1; "e" "x" 2;
"a" "e" "k" 2; "b" "x" 2; "c" "c" "q" "x" 1; "d" "b" "c" "d" "r" "v" "y" 1; "e" "x" 2;
"a" "e" "k" 2; "b" "x" 2; "c" "c" "j" "q" "x" 1; "d" "v" 2; "e" "x" 2;
"a" "e" "k" 2; "b" "x" 2; "c" "c" "j" "q" "x" 1; "d" "v" 2; "e" "x" 2;
"a" "e" "k" 2; "b" "x" 2; "c" "c" "h" "j" "q" "s" "x" 1; "d" "v" 2; "e" "x" 2;
"a" "e" "k" 2; "b" "x" 2; "c" "c" "h" "j" "q" "s" "x" 1; "d" "v" 2; "e" "x" 2;
"a" "e" "k" 2; "b" "w" "x" 2; "c" "c" "h" "j" "q" "s" "u" "x" 1; "d" "v" 2; "e" "n" "x" 2;
"a" "e" "k" 2; "b" "w" "x" 2; "c" "c" "h" "j" "q" "s" "u" "x" 1; "d" "v" 2; "e" "n" "x" 2;
"a" "e" "k" 2; "b" "c" "w" "x" 2; "c" "c" "h" "j" "q" "s" "u" "x" 1; "d" "v" 2; "e" "n" "x" 2;
"a" "e" "k" 2; "b" "c" "w" "x" 2; "c" "c" "h" "j" "q" "s" "u" "x" 1; "d" "v" 2; "e" "n" "x" 2;
"a" "e" "k" 2; "b" "c" "w" "x" 2; "c" "c" "h" "j" "q" "s" "u" "x" 1; "d" "v" 2; "e" "n" "x" 2;
"a" "e" "k" 2; "b" "c" "w" "x" 2; "c" "c" "h" "j" "q" "s" "u" "x" 1; "d" "v" 2; "e" "x" 3;
"a" "e" "k" 2; "b" "c" "w" "x" 2; "c" "c" "h" "j" "q" "s" "u" "x" 1; "d" "v" 2; "e" "x" 3;
"a" "e" "k" 2; "b" "c" "w" "x" 2; "c" "c" "h" "j" "q" "s" "u" "x" 1; "d" "v" 2; "e" "x" 3;
"a" "e" "k" "r" 2; "b" "c" "w" "x" 2; "c" "c" "h" "j" "q" "s" "u" "x" 1; "d" "v" "y" 2; "e" "x" 3;
"a" "e" "k" "r" 2; "b" "c" "w" "x" 2; "c" "c" "h" "j" "q" "s" "u" "x" 1; "d" "v" "y" 2; "e" "x" 3;
"a" "e" "k" "r" 2; "b" "c" "w" "x" 2; "c" "c" "h" "j" "q" "s" "u" "x" 1; "d" "v" "y" 2; "e" "x" 3;
"a" "e" "k" "r" 2; "b" "c" "w" "x" 2; "c" "c" "h" "j" "q" "s" "u" "x" 1; "d" "v" "y" 2; "e" "x" 3;
"a" "e" "k" "r" 2; "b" "c" "r" "w" "x" 2; "c" "c" "h" "j" "q" "s" "u" "x" 1; "d" "v" "y" 2; "e" "x" 3;
"a" "e" "k" "r" 2; "b" "c" "r" "w" "x" 2; "c" "c" "h" "j" "q" "s" "u" "x" 1; "d" "v" "y" 2; "e" "x" 3;
"a" "e" "k" "r" 2; "b" "c" "r" "w" "x" 2; "c" "c" "h" "j" "q" "s" "u" "x" 1; "d" "v" "y" 2; "e" "x" 3;
"a" "e" "k" "r" 2; "b" "c" "r" "w" "x" 2; "c" "c" "h" "j" "q" "s" "u" "x" 1; "d" "d" "v" "y" 2; "e" "x" 3;
"a" "e" "k" "r" 2; "b" "c" "r" "w" "x" 2; "c" "c" "h" "j" "q" "s" "u" "x" 1; "d" "d" "v" "y" 2; "e" "x" 3;
"a" "e" "k" "r" 2; "b" "c" "r" "w" "x" 2; "c" "c" "h" "j" "q" "s" "u" "x" 1; "d" "d" "v" "y" 2; "e" "x" 3;
"a" "e" "k" "r" 2; "b" "c" "r" "w" "x" 2; "c" "c" "h" "j" "q" "s" "u" "x" 1; "d" "d" "v" "y" 2; "e" "x" 3;
"a" "e" "k" "r" 2; "b" "c" "r" "w" "x" 2; "c" "u" 2; "d" "d" "v" "y" 2; "e" "h" "n" "x" 2;
"a" "e" "k" "p" "r" 2; "b" "c" "r" "w" "x" 2; "c" "u" 2; "d" "d" "v" "y" 2; "e" "h" "n" "x" 2;
"a" "e" "k" "p" "r" 2; "b" "c" "r" "w" "x" 2; "c" "u" 2; "d" "d" "v" "y" 2; "e" "h" "n" "x" 2;
"a" "e" "k" "p" "r" 2; "b" "c" "r" "w" "x" 2; "c" "u" 2; "d" "d" "v" "y" 2; "e" "h" "n" "x" 2;
"a" "e" "k" "p" "r" 2; "b" "c" "r" "w" "x" 2; "c" "u" 2; "d" "d" "v" "y" 2; "e" "h" "n" "x" 2;
"a" "e" "k" "p" "r" 2; "b" "c" "r" "w" "x" 2; "c" "u" 2; "d" "d" "v" "y" 2; "e" "h" "n" "x" 2;
"a" "e" "k" "p" "r" 2; "b" "c" "r" "w" "x" 2; "c" "u" 2; "d" "d" "v" "y" 2; "e" "h" "n" "x" 2;
"a" "e" "k" "p" "r" 2; "b" "c" "r" "w" "x" 2; "c" "u" 2; "d" "d" "v" "y" 2; "e" "h" "n" "x" 2;
"a" "e" "k" "p" "r" 2; "b" "c" "r" "w" "x" 2; "c" "u" 2; "d" "d" "v" "y" 2; "e" "h" "n" "x" 2;
"a" "e" "k" "p" "r" 2; "b" "c" "r" "w" "x" 2; "c" "u" 2; "d" "d" "v" "y" 2; "e" "h" "n" "x" 2;
"a" "e" "k" "p" "r" 2; "b" "c" "r" "w" "x" 2; "c" "u" 2; "d" "d" "v" "y" 2; "e" "h" "n" "x" 2;
"a" "e" "k" "p" "r" 2; "b" "c" "r" "w" "x" 2; "c" "u" 2; "d" "d" "v" "y" 2; "e" "h" "n" "x" 2;
"a" "e" "k" "p" "r" 2; "b" "c" "r" "w" "x" 2; "c" "u" 2; "d" "d" "v" "y" 2; "e" "h" "n" "x" 2;
"a" "e" "k" "p" "r" 2; "b" "c" "r" "w" "x" 2; "c" "u" 2; "d" "d" "v" "y" 2; "e" "h" "n" "x" 2;
"a" "e" "k" "p" "r" 2; "b" "c" "r" "w" "x" 2; "c" "u" 2; "d" "d" "v" "y" 2; "e" "h" "n" "x" 2;
"a" "e" "k" "p" "r" 2; "b" "c" "r" "w" "x" 2; "c" "u" 2; "d" "d" "v" "y" 2; "e" "h" "n" "x" 2;
"a" "e" "k" "p" "r" 2; "b" "c" "r" "w" "x" 2; "c" "u" 2; "d" "d" "v" "y" 2; "e" "h" "n" "x" 2;
"a" "e" "k" "p" "r" 2; "b" "c" "r" "w" "x" 2; "c" "u" 2; "d" "d" "v" "y" 2; "e" "h" "n" "x" 2;
"a" "e" "k" "p" "r" 2; "b" "c" "r" "w" "x" 2; "c" "u" 2; "d" "d" "v" "y" 2; "e" "h" "n" "x" 2;
"a" "e" "k" "p" "r" 2; "b" "c" "r" "w" "x" 2; "c" "u" 2; "d" "d" "v" "y" 2; "e" "h" "n" "x" 2;
"a" "e" "k" "p" "r" 2; "b" "c" "r" "w" "x" 2; "c" "u" 2; "d" "d" "v" "y" 2; "e" "h" "n" "x" 2;
"a" "e" "k" "p" "r" 2; "b" "c" "e" "r" "w" "x" 2; "c" "u" 2; "d" "d" "v" "y" 2; "e" "h" "n" "x" 2;
"a" "e" "k" "p" "r" 2; "b" "c" "e" "r" "w" "x" 2; "c" "u" 2; "d" "d" "v" "y" 2; "e" "h" "n" "x" 2;
"a" "k" 3; "b" "c" "e" "r" "w" "x" 2; "c" "u" 2; "d" "d" "v" "y" 2; "e" "h" "n" "x" 2;
"a" "k" 3; "b" "c" "e" "r" "w" "x" 2; "c" "u" 2; "d" "d" "v" "y" 2; "e" "h" "n" "x" 2;
"a" "k" 3; "b" "c" "e" "q" "r" "w" "x" 2; "c" "u" 2; "d" "d" "g" "v" "y" 2; "e" "h" "n" "x" 2;
"a" "k" 3; "b" "c" "e" "q" "r" "w" "x" 2; "c" "u" 2; "d" "d" "g" "v" "y" 2; "e" "h" "n" "x" 2;
"a" "k" 3; "b" "c" "e" "q" "r" "w" "x" 2; "c" "u" 2; "d" "d" "g" "v" "y" 2; "e" "h" "n" "x" 2;
"a" "k" 3; "b" "c" "e" "q" "r" "w" "x" 2; "c" "u" 2; "d" "d" "g" "v" "y" 2; "e" "h" "n" "x" 2;
"a" "k" 3; "b" "c" "e" "q" "r" "w" "x" 2; "c" "u" 2; "d" "d" "g" "v" "y" 2; "e" "h" "n" "x" 2;
"a" "k" 3; "b" "c" "e" "q" "r" "w" "x" 2; "c" "q" "u" 2; "d" "g" 3; "e" "h" "n" "x" 2;
"a" "k" 3; "b" "c" "e" "q" "r" "w" "x" 2; "c" "q" "u" 2; "d" "g" 3; "e" "h" "n" "x" 2;
"a" "k" 3; "b" "c" "e" "q" "r" "w" "x" 2; "c" "q" "s" "u" 2; "d" "g" 3; "e" "h" "n" "x" 2;
"a" "k" 3; "b" "c" "e" "q" "r" "w" "x" 2; "c" "q" "s" "u" 2; "d" "g" 3; "e" "h" "n" "x" 2;
"a" "k" 3; "b" "c" "e" "q" "r" "w" "x" "z" 2; "c" "q" "s" "u" 2; "d" "g" 3; "e" "h" "m" "n" "x" 2;
"a" "k" 3; "b" "c" "e" "q" "r" "w" "x" "z" 2; "c" "q" "s" "u" 2; "d" "g" 3; "e" "h" "m" "n" "x" 2;
"a" "k" 3; "b" "c" "e" "q" "r" "w" "x" "z" 2; "c" "q" "s" "u" 2; "d" "g" 3; "e" "h" "m" "n" "x" 2;
"a" "k" 3; "b" "c" "e" "q" "r" "w" "x" "z" 2; "c" "q" "s" "u" 2; "d" "g" 3; "e" "h" "m" "n" "x" 2;
"a" "k" 3; "b" "c" "e" "q" "r" "w" "x" "z" 2; "c" "q" "s" "u" 2; "d" "g" 3; "e" "h" "m" "n" "x" 2;
"a" "k" 3; "b" "c" "e" "q" "r" "w" "x" "z" 2; "c" "q" "s" "u" 2; "d" "g" 3; "e" "h" "m" "n" "x" 2;
"a" "k" 3; "b" "c" "e" "q" "r" "w" "x" "z" 2; "c" "q" "s" "u" 2; "d" "g" 3; "e" "h" "m" "n" "x" 2;
"a" "k" 3; "b" "c" "e" "q" "r" "w" "x" "z" 2; "c" "q" "s" "u" 2; "d" "g" 3; "e" "h" "m" "n" "x" 2;
"a" "k" 3; "b" "c" "e" "q" "r" "w" "x" "z" 2; "c" "q" "s" "u" 2; "d" "g" 3; "e" "h" "m" "n" "x" 2;
"a" "k" 3; "b" "c" "e" "q" "r" "w" "x" "z" 2; "c" "q" "s" "u" 2; "d" "g" 3; "e" "h" "m" "n" "x" 2;
"a" "k" 3; "b" "x" 3; "c" "q" "s" "u" 2; "d" "g" 3; "e" "h" "m" "n" "x" 2;
"a" "k" 3; "b" "x" 3; "c" "q" "s" "u" 2; "d" "g" 3; "e" "b" "h" "m" "n" "x" 2;
"a" "k" 3; "b" "x" 3; "c" "q" "s" "u" 2; "d" "g" 3; "e" "b" "h" "m" "n" "v" "x" 2;
"a" "k" 3; "b" "x" 3; "c" "q" "s" "u" 2; "d" "g" 3; "e" "b" "h" "m" "n" "v" "x" 2;
"a" "k" 3; "b" "x" 3; "c" "q" "s" "u" 2; "d" "g" 3; "e" "b" "h" "m" "n" "v" "x" 2;
"a" "k" 3; "b" "x" 3; "c" "q" "s" "u" 2; "d" "g" 3; "e" "b" "h" "m" "n" "v" "x" 2;
"a" "k" 3; "b" "x" 3; "c" "q" "s" "u" 2; "d" "g" 3; "e" "b" "h" "m" "n" "v" "x" 2;
"a" "k" 3; "b" "x" 3; "c" "q" "s" "u" 2; "d" "g" 3; "e" "b" "h" "m" "n" "v" "x" 2;
"a" "k" 3; "b" "x" 3; "c" "q" "s" "u" 2; "d" "g" 3; "e" "b" "h" "m" "n" "v" "x" 2;
"a" "k" 3; "b" "x" 3; "c" "q" "s" "u" 2; "d" "g" 3; "e" "b" "h" "m" "n" "v" "w" "x" 2;
"a" "k" 3; "b" "x" 3; "c" "s" 3; "d" "g" 3; "e" "b" "h" "m" "n" "v" "w" "x" 2;
"a" "k" 3; "b" "x" 3; "c" "s" 3; "d" "g" 3; "e" "b" "f" "h" "m" "n" "v" "w" "x" 2;
"a" "k" 3; "b" "x" 3; "c" "s" 3; "d" "g" 3; "e" "b" "f" "h" "m" "n" "v" "w" "x" 2;
"a" "k" 3; "b" "x" 3; "c" "s" 3; "d" "g" 3; "e" "a" "b" "f" "h" "m" "n" "v" "w" "x" "z" 2;
"a" "k" 3; "b" "x" 3; "c" "s" 3; "d" "g" 3; "e" "a" "b" "f" "h" "m" "n" "v" "w" "x" "z" 2;
"a" "e" "k" 3; "b" "x" 3; "c" "s" 3; "d" "g" 3; "e" "a" "b" "f" "h" "m" "n" "v" "w" "x" "z" 2;
"a" "e" "k" 3; "b" "x" 3; "c" "s" 3; "d" "g" 3; "e" "a" "b" "f" "h" "m" "n" "v" "w" "x" "z" 2;
"a" "e" "k" 3; "b" "x" 3; "c" "s" 3; "d" "g" 3; "e" "a" "b" "f" "h" "k" "m" "n" "v" "w" "x" "z" 2;
"a" "e" "k" 3; "b" "x" 3; "c" "s" 4; "d" "g" 3; "e" "x" 3;
"a" "e" "k" 3; "b" "x" 3; "c" "s" 4; "d" "g" 3; "e" "x" 3;
"a" "e" "k" 3; "b" "x" 3; "c" "s" 4; "d" "g" 3; "e" "x" 3;
"a" "e" "k" 3; "b" "x" 3; "c" "s" 4; "d" "g" 3; "e" "x" 3;
"a" "e" "k" 3; "b" "x" 3; "c" "s" 4; "d" "g" 3; "e" "x" 3;
"a" "e" "k" 3; "b" "x" 3; "c" "s" 4; "d" "g" 3; "e" "x" 3;
"a" "e" "k" 3; "b" "x" 3; "c" "s" 4; "d" "g" 3; "e" "x" 3;
"a" "e" "k" 3; "b" "x" 3; "c" "s" 4; "d" "g" 3; "e" "x" 3;
"a" "e" "k" 3; "b" "x" 3; "c" "s" 4; "d" "g" 3; "e" "x" 3;
"a" "e" "k" 3; "b" "x" 3; "c" "s" 4; "d" "g" 3; "e" "x" 3;
"a" "e" "k" 3; "b" "x" 3; "c" "s" 4; "d" "g" 3; "e" "x" 3;
"a" "e" 4; "b" "x" 3; "c" "s" 4; "d" "g" 3; "e" "x" 3;
"a" "e" 4; "b" "x" 3; "c" "s" 4; "d" "g" 3; "e" "x" 3;
"a" "e" 4; "b" "x" 3; "c" "s" 4; "d" "g" 3; "e" "x" 3;
"a" "e" 4; "b" "x" 3; "c" "s" 4; "d" "g" 3; "e" "x" 3;
"a" "e" 4; "b" "x" 3; "c" "s" 4; "d" "g" 3; "e" "x" 3;
"a" "e" "k" 4; "b" "x" 3; "c" "s" 4; "d" "g" 3; "e" "x" 3;
"a" "e" "k" 4; "b" "x" 3; "c" "s" 4; "d" "g" 3; "e" "x" 3;
"a" "e" "k" 4; "b" "x" 3; "c" "s" 4; "d" "g" 3; "e" "x" 3;
"a" "e" "k" 4; "b" "x" 3; "c" "s" 4; "d" "g" 3; "e" "x" 3;
"a" "e" "k" 4; "b" "x" 3; "c" "s" 4; "d" "g" 3; "e" "x" 3;
"a" "e" "k" 4; "b" "x" 3; "c" "s" 4; "d" "g" 3; "e" "x" 3;
"a" "e" "k" 4; "b" "x" 3; "c" "s" 4; "d" "g" 3; "e" "w" "x" 3;
"a" "e" "k" 4; "b" "x" 3; "c" "s" 4; "d" "g" 3; "e" "w" "x" 3;
"a" "e" "k" 4; "b" "x" 3; "c" "s" 4; "d" "g" 3; "e" "w" "x" 3;
"a" "e" "k" 4; "b" "x" 3; "c" "s" 4; "d" "g" 3; "e" "w" 4;
"a" "e" "k" 4; "b" "x" 3; "c" "s" 4; "d" "g" 3; "e" "w" 4;
"a" "e" "k" 4; "b" "x" 3; "c" "s" 4; "d" "g" 3; "e" "w" 4;
"a" "e" "k" 4; "b" "x" "z" 3; "c" "s" 4; "d" "g" 3; "e" "w" 4;
"a" "e" "k" 4; "b" "x" "z" 3; "c" "s" 4; "d" "g" 3; "e" "w" 4;
"a" "e" "k" 4; "b" "x" "z" 3; "c" "s" 4; "d" "g" 3; "e" "w" 4;
"a" "e" "k" 4; "b" "x" "z" 3; "c" "s" 4; "d" "g" 3; "e" "w" 4;
"a" "e" "k" 4; "b" "x" "z" 3; "c" "s" 4; "d" "g" 3; "e" "w" 4;
"a" "e" "k" 4; "b" "x" "z" 3; "c" "s" 4; "d" "g" 3; "e" "w" 4;
"a" "e" "k" 4; "b" "x" "z" 3; "c" "s" 4; "d" "g" 3; "e" "w" 4;
"a" "e" "k" 4; "b" "x" "z" 3; "c" "s" 4; "d" "g" 3; "e" "w" 4;
"a" "e" "k" 4; "b" "x" "z" 3; "c" "s" 4; "d" "g" 3; "e" "w" 4;
"a" "e" "k" 4; "b" "x" "z" 3; "c" "s" 4; "d" "g" 3; "e" "w" 4;
"a" "e" "k" 4; "b" "x" "z" 3; "c" "s" 4; "d" "g" 3; "e" "w" 4;
"a" "e" 5; "b" "x" "z" 3; "c" "s" 4; "d" "g" 3; "e" "w" 4;
"a" "e" 5; "b" "x" "z" 3; "c" "s" 4; "d" "g" 3; "e" "w" 4;
