none
none
none
none
none
none
none
none
none
none
none
none
none
none
"b" "m" 1;
"b" "m" 1;
"b" "m" 1;
"b" "m" 1;
"a" "b" 1; "b" "m" 1;
"a" "b" 1; "b" "m" 1;
"a" "b" 1; "b" "m" 1; "d" "s" 1;
"a" "b" 1; "b" "m" 1; "d" "s" 1;
"a" "b" 1; "b" "m" 1; "d" "s" 1;
"a" "b" 1; "b" "c" "m" 1; "c" "h" 1; "d" "s" 1;
"a" "b" 1; "b" "c" "m" 1; "c" "h" 1; "d" "s" 1;
"a" "b" 1; "b" "c" "m" 1; "c" "h" 1; "d" "s" 1;
"a" "b" 1; "b" "c" "m" 1; "c" "h" "w" 1; "d" "s" 1;
"a" "b" 1; "b" "c" "m" 1; "c" "h" "w" 1; "d" "s" 1;
"a" "b" 1; "b" "c" "m" 1; "c" "h" "w" 1; "d" "s" 1;
"a" "b" "m" 1; "b" "c" "m" 1; "c" "h" "w" 1; "d" "s" 1;
"a" "b" "m" 1; "b" "c" "m" 1; "c" "h" "w" 1; "d" "s" 1;
"a" "b" "m" 1; "b" "c" "m" 1; "c" "h" "w" 1; "d" "s" 1;
"a" "h" 2; "b" "b" 3; "c" "h" 3; "d" "j" "p" 2; "e" "h" 3;
"a" "h" 2; "b" "b" 3; "c" "h" 3; "d" "j" "l" "p" 2; "e" "h" 3;
"a" "h" 2; "b" "b" 3; "c" "h" 3; "d" "j" "l" "p" 2; "e" "h" 3;
"a" "h" 2; "b" "b" 3; "c" "h" 3; "d" "l" 3; "e" "h" 3;
"a" "h" 2; "b" "b" 3; "c" "h" 3; "d" "l" 3; "e" "h" 3;
"a" "h" 2; "b" "b" 3; "c" "h" 3; "d" "l" 3; "e" "h" 3;
"a" "h" 2; "b" "b" 3; "c" "h" 3; "d" "l" 3; "e" "h" 3;
"a" "h" 2; "b" "b" 3; "c" "h" 3; "d" "l" 3; "e" "h" 3;
"a" "h" 2; "b" "b" 3; "c" "h" 3; "d" "l" 3; "e" "h" 3;
"a" "h" 2; "b" "b" 3; "c" "h" 3; "d" "l" 3; "e" "h" 3;
"a" "h" 2; "b" "b" 3; "c" "h" 3; "d" "l" 3; "e" "h" 3;
"a" "h" 2; "b" "b" 3; "c" "h" 3; "d" "l" 3; "e" "h" 3;
"a" "h" 2; "b" "b" 3; "c" "h" 3; "d" "l" 3; "e" "h" 3;
"a" "h" 2; "b" "b" 3; "c" "h" 3; "d" "l" 3; "e" "h" 3;
"a" "h" 2; "b" "b" 3; "c" "h" 3; "d" "l" 3; "e" "h" 3;
"a" "h" 2; "b" "b" 3; "c" "h" 3; "d" "l" 3; "e" "h" 3;
"a" "h" 2; "b" "b" 3; "c" "h" 4; "d" "l" 3; "e" "h" 3;
"a" "g" "h" 2; "b" "b" 3; "c" "h" 4; "d" "l" 3; "e" "h" 3;
"a" "g" "h" 2; "b" "b" 3; "c" "h" 4; "d" "l" 3; "e" "h" 3;
"a" "g" "h" 2; "b" "b" 3; "c" "h" 4; "d" "l" 3; "e" "h" 3;
"a" "g" "h" 2; "b" "b" 3; "c" "h" 4; "d" "l" 3; "e" "h" 3;
"a" "g" "h" 2; "b" "b" 3; "c" "h" 4; "d" "l" 3; "e" "h" 3;
"a" "g" "h" 2; "b" "b" 3; "c" "h" 4; "d" "l" 3; "e" "h" 3;
"a" "c" "g" "h" 2; "b" "b" 3; "c" "h" 4; "d" "j" "l" 3; "e" "h" 3;
"a" "c" "g" "h" 2; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" 3;
"a" "c" "g" "h" 2; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" 3;
"a" "c" "g" "h" 2; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" 3;
"a" "c" "g" "h" 2; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" 3;
"a" "c" "g" "h" 2; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" 3;
"a" "c" "g" "h" 2; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" 3;
"a" "c" "g" "h" 2; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" 3;
"a" "c" "g" "h" "m" 2; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" 3;
"a" "b" "c" "g" "h" "m" 2; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" 3;
"a" "b" "c" "g" "h" "m" 2; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" 3;
"a" "b" "c" "g" "h" "m" 2; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" 3;
"a" "b" "c" "g" "h" "m" 2; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" 3;
"a" "b" "c" "g" "h" "m" 2; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" 3;
"a" "b" "c" "g" "h" "m" "r" 2; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" 3;
"a" "b" "c" "g" "h" "m" "r" 2; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" 3;
"a" "b" "c" "g" "h" "m" "r" 2; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" 3;
"a" "b" "c" "g" "h" "m" "r" 2; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" 3;
"a" "b" "c" "f" "g" "h" "m" "r" 2; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" 3;
"a" "b" 3; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" 3;
"a" "b" 3; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" 3;
"a" "b" 3; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" 3;
"a" "b" 3; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" 3;
"a" "b" 3; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" 3;
"a" "b" "f" 3; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" 3;
"a" "b" "f" 3; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" 3;
"a" "b" "f" 3; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" 3;
"a" "b" "f" 3; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" 3;
"a" "b" "f" 3; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" 3;
"a" "b" "f" 3; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" 3;
"a" "b" "f" 3; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" 3;
"a" "b" "f" 3; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" 3;
"a" "b" "f" 3; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" 3;
"a" "b" "f" 3; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" 3;
"a" "b" "f" 3; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" 3;
"a" "b" "f" 3; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" 3;
"a" "b" "f" 3; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" 3;
"a" "b" "f" 3; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" 3;
"a" "b" "f" 3; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" 3;
"a" "b" "f" 3; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" 3;
"a" "b" "f" 3; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" 3;
"a" "b" "f" 3; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" 3;
"a" "b" "f" 3; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" 3;
"a" "b" "f" 3; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" 3;
"a" "b" "f" 3; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" 3;
"a" "b" "f" 3; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" 3;
"a" "b" "f" 3; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" 3;
"a" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" 3;
"a" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" 3;
"a" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" 3;
"a" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" 3;
"a" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" 3;
"a" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" "n" 3;
"a" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" "n" 3;
"a" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" "n" 3;
"a" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" "n" 3;
"a" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" "n" "q" 3;
"a" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" "n" "q" 3;
"a" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" "n" "q" 3;
"a" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" "n" "q" 3;
"a" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "q" 4;
"a" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "q" 4;
"a" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "q" 4;
"a" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "q" 4;
"a" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "q" 4;
"a" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "q" 4;
"a" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "q" 4;
"a" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "q" 4;
"a" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "q" 4;
"a" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "q" 4;
"a" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "q" 4;
"a" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" "q" 4;
"a" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" "q" 4;
"a" "c" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" "q" 4;
"a" "c" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" "q" 4;
"a" "c" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" "q" 4;
"a" "c" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" "q" 4;
"a" "c" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" "q" 4;
"a" "c" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" "q" 4;
"a" "c" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" "q" 4;
"a" "c" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" "q" 4;
"a" "c" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" "q" 4;
"a" "c" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" "q" 4;
"a" "c" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" "q" 4;
"a" "c" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" "q" 4;
"a" "c" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" "q" 4;
"a" "c" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" "q" 4;
"a" "c" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" "q" 4;
"a" "c" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" "q" 4;
"a" "c" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" "q" 4;
"a" "c" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" "q" 4;
"a" "c" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" "q" 4;
"a" "c" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" "q" 4;
"a" "c" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" "q" 4;
"a" "c" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" "q" 4;
"a" "c" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" "q" 4;
"a" "c" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" "q" 4;
"a" "c" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" "q" 4;
"a" "c" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 4; "e" "h" "n" "q" 4;
"a" "c" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 5; "e" "h" "n" "q" 4;
"a" "c" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 5; "e" "h" "n" "q" 4;
"a" "c" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 5; "e" "h" "n" "q" 4;
"a" "c" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 5; "e" "h" "n" "q" 4;
"a" "c" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 5; "e" "h" "n" "q" 4;
"a" "c" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 5; "e" "h" "n" "q" 4;
"a" "c" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 5; "e" "h" "n" "q" 4;
"a" "c" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 5; "e" "h" "n" "q" 4;
"a" "c" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 5; "e" "h" "n" 4;
"a" "c" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 5; "e" "h" "n" 4;
"a" "c" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 5; "e" "h" "n" 4;
"a" "c" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 5; "e" "h" "n" 4;
"a" "c" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 5; "e" "h" "n" 4;
"a" "c" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 5; "e" "h" "n" 4;
"a" "c" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 5; "e" "h" "n" 4;
"a" "c" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 5; "e" "h" "n" 4;
"a" "c" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 5; "e" "h" "n" 4;
"a" "c" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 5; "e" "h" "n" 4;
"a" "c" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 5; "e" "h" "n" 4;
"a" "c" "f" 4; "b" "b" 3; "c" "h" 4; "d" "l" 5; "e" "h" "n" 4;
"a" "c" "f" "t" 4; "b" "b" 3; "c" "h" 4; "d" "l" 5; "e" "h" "n" 4;
"a" "c" "f" "t" 4; "b" "b" 3; "c" "h" 4; "d" "l" 5; "e" "h" "n" 4;
"a" "c" "f" "t" 4; "b" "b" 3; "c" "h" 4; "d" "l" 5; "e" "h" "n" 4;
"a" "c" "f" "t" 4; "b" "b" 3; "c" "h" 4; "d" "l" 5; "e" "h" "n" 4;
"a" "c" "f" "t" 4; "b" "b" 3; "c" "h" 4; "d" "l" 5; "e" "h" "n" 4;
"a" "c" "f" "t" 4; "b" "b" "c" 3; "c" "h" 4; "d" "l" 5; "e" "h" "n" 4;
"a" "c" "f" "t" 4; "b" "b" "c" 3; "c" "h" 4; "d" "l" 5; "e" "h" "n" 4;
"a" "c" "f" "t" 4; "b" "c" 4; "c" "h" 4; "d" "l" 5; "e" "h" "n" 4;
"a" "c" "f" "t" 4; "b" "c" 4; "c" "h" "j" 4; "d" "l" 5; "e" "h" "n" 4;
"a" "c" "f" "t" 4; "b" "c" 4; "c" "h" "j" 4; "d" "l" 5; "e" "h" "n" 4;
"a" "c" "f" "t" 4; "b" "c" 4; "c" "h" "j" 4; "d" "l" 5; "e" "h" "n" 4;
"a" "c" "f" "t" 4; "b" "c" 4; "c" "h" "j" 4; "d" "l" 5; "e" "h" "n" 4;
"a" "c" "f" "t" 4; "b" "c" 4; "c" "h" "j" 4; "d" "l" 5; "e" "h" "n" 4;
"a" "c" "f" "t" 4; "b" "c" 4; "c" "h" "j" 4; "d" "l" 5; "e" "h" "n" 4;
"a" "c" "f" "t" 4; "b" "c" 4; "c" "h" "j" 4; "d" "l" 5; "e" "h" "n" 4;
"a" "c" "f" "t" 4; "b" "c" 4; "c" "h" "j" 4; "d" "l" 5; "e" "h" "n" 4;
"a" "c" "f" "t" 4; "b" "c" 4; "c" "h" "j" 4; "d" "l" 5; "e" "h" "n" 4;
"a" "c" "f" "t" 4; "b" "c" 4; "c" "h" "j" 4; "d" "l" 5; "e" "h" 4;
"a" "c" "f" "t" 4; "b" "c" 4; "c" "h" "j" 4; "d" "l" 5; "e" "h" 4;
"a" "c" "f" "t" 4; "b" "c" 4; "c" "h" "j" 4; "d" "l" 5; "e" "h" 4;
"a" "c" "f" "t" 4; "b" "c" 4; "c" "h" "j" 4; "d" "l" 5; "e" "h" 4;
"a" "f" 5; "b" "c" 4; "c" "h" "j" 4; "d" "l" 5; "e" "h" 4;
"a" "f" 5; "b" "c" 4; "c" "h" "j" 4; "d" "l" 5; "e" "h" 4;
"a" "f" 5; "b" "c" 4; "c" "h" "j" 4; "d" "l" 5; "e" "h" 4;
"a" "f" 5; "b" "c" 4; "c" "h" "j" 4; "d" "l" 5; "e" "h" 4;
"a" "f" 5; "b" "c" 4; "c" "h" "j" 4; "d" "l" 5; "e" "h" 4;
"a" "f" 5; "b" "c" 4; "c" "h" "j" 4; "d" "l" 5; "e" "h" 4;
"a" "f" 5; "b" "c" 4; "c" "h" "j" 4; "d" "l" 5; "e" "h" 4;
"a" "f" 5; "b" "c" 4; "c" "h" "j" 4; "d" "l" 5; "e" "h" 4;
"a" "f" 5; "b" "c" 4; "c" "h" "j" 4; "d" "l" 5; "e" "h" 4;
"a" "f" 5; "b" "c" 4; "c" "h" "j" 4; "d" "l" 5; "e" "h" 4;
"a" "f" 5; "b" "c" 4; "c" "h" "j" 4; "d" "l" 5; "e" "h" 4;
"a" "f" 5; "b" "c" 4; "c" "h" "j" 4; "d" "l" 5; "e" "h" 4;
"a" "f" 5; "b" "c" 4; "c" "h" "j" 4; "d" "l" 5; "e" "h" 4;
"a" "f" 5; "b" "c" 5; "c" "h" "j" "q" 4; "d" "l" 5; "e" "h" 4;
