none
none
none
none
none
none
none
none
none
none
none
none
"b" "v" 1;
"b" "v" 1;
"b" "v" 1;
"b" "v" 1;
"b" "n" "v" 1; "e" "o" 1;
"b" "n" "v" 1; "e" "o" 1;
"b" "n" "v" 1; "e" "o" 1;
"b" "n" "v" 1; "d" "c" "d" 1; "e" "o" 1;
"b" "n" "v" 1; "d" "c" "d" 1; "e" "o" 1;
"b" "n" "v" 1; "d" "c" "d" 1; "e" "o" 1;
"b" "n" "v" 1; "d" "c" "d" 1; "e" "o" 1;
"b" "n" "v" 1; "d" "c" "d" 1; "e" "o" 1;
"b" "n" "v" 1; "d" "c" "d" "w" 1; "e" "o" 1;
"b" "n" "v" 1; "d" "c" "d" "w" 1; "e" "o" 1;
"b" "n" "v" 1; "d" "c" "d" "w" 1; "e" "l" "o" 1;
"b" "e" "k" "n" "v" 1; "d" "a" "c" "d" "w" 1; "e" "l" "o" 1;
"b" "e" "k" "n" "v" 1; "d" "a" "c" "d" "w" 1; "e" "l" 2;
"a" "v" 1; "b" "e" "k" "n" "v" 1; "d" "a" "c" "d" "w" 1; "e" "l" 2;
"a" "v" 1; "b" "e" "k" "n" "v" 1; "d" "a" "c" "d" "w" 1; "e" "l" 2;
"a" "v" 1; "b" "e" "k" "n" "v" 1; "d" "a" "c" "d" "w" 1; "e" "l" 2;
"a" "v" 1; "b" "e" "k" "n" "v" 1; "d" "a" "c" "d" "w" 1; "e" "l" 2;
"a" "v" 1; "b" "e" "k" "n" "v" 1; "d" "a" "c" "d" "w" 1; "e" "l" 2;
"a" "e" "v" 1; "b" "e" "k" "n" "v" 1; "d" "a" "c" "d" "w" 1; "e" "l" 2;
"a" "e" "o" "v" 1; "b" "e" "k" "n" "v" "w" 1; "d" "a" "d" 2; "e" "l" 2;
"a" "e" "o" "v" 1; "b" "e" "k" "n" "v" "w" 1; "d" "a" "d" 2; "e" "l" 2;
"a" "e" "o" "v" 1; "b" "e" "k" "n" "v" "w" 1; "d" "a" "d" 2; "e" "l" 2;
"a" "e" "o" "v" 1; "b" "e" "k" "n" "v" "w" 1; "d" "a" "d" 2; "e" "l" 2;
"a" "a" "e" "o" "v" 1; "b" "e" "k" "n" "v" "w" 1; "d" "a" "d" "w" 2; "e" "l" 2;
"a" "a" "e" "k" "o" "v" 1; "b" "e" "k" "n" "v" "w" 1; "d" "a" "d" "w" 2; "e" "l" 2;
"a" "a" "e" "k" "o" "v" 1; "b" "e" "k" "n" "v" "w" 1; "d" "a" "d" "w" 2; "e" "l" 2;
"a" "a" "e" "k" "o" "v" 1; "b" "e" "k" "n" "p" "v" "w" 1; "d" "a" "d" "w" 2; "e" "l" 2;
"a" "a" "e" "k" "o" "v" 1; "b" "e" "k" "n" "p" "v" "w" 1; "d" "a" "d" "w" 2; "e" "l" 2;
"a" "a" "e" "k" "o" "v" 1; "b" "e" "i" "k" "n" "p" "v" "w" 1; "d" "a" "d" "w" 2; "e" "l" 2;
"a" "a" "e" "k" "o" "r" "v" 1; "b" "e" "i" "k" "n" "p" "v" "w" 1; "d" "a" "d" "w" 2; "e" "l" 2;
"a" "a" "g" "k" "q" 2; "b" "n" 2; "c" "h" "q" "v" 2; "d" "a" "d" "l" "w" 2; "e" "j" "l" "o" "r" 2;
"a" "a" "g" "k" "q" 2; "b" "n" 2; "c" "h" "q" "v" 2; "d" "a" "d" "l" "w" 2; "e" "j" "l" "o" "r" 2;
"a" "a" "g" "k" "q" 2; "b" "n" 2; "c" "h" "q" "v" 2; "d" "a" "d" "l" "w" 2; "e" "j" "l" "o" "r" 2;
"a" "a" "g" "k" "q" 2; "b" "n" "r" 2; "c" "h" "q" "v" 2; "d" "a" 3; "e" "j" "l" "o" "r" 2;
"a" "a" "g" "k" "q" 2; "b" "n" "p" "r" "t" 2; "c" "h" "q" "v" "w" 2; "d" "a" 3; "e" "f" "j" "l" "o" "r" 2;
"a" "a" "g" "k" "q" 2; "b" "n" "p" "r" "t" 2; "c" "h" "q" "v" "w" 2; "d" "a" 3; "e" "f" "j" "l" "o" "r" 2;
"a" "a" "g" "k" "q" 2; "b" "n" "p" "r" "t" 2; "c" "p" "q" "v" "w" 2; "d" "a" 3; "e" "f" "j" "l" "o" "r" 2;
"a" "a" "g" "k" "q" 2; "b" "n" "p" "r" "t" 2; "c" "p" "q" "v" "w" 2; "d" "a" 3; "e" "f" "j" "l" "o" "r" 2;
"a" "a" "g" "k" "q" "t" "v" 2; "b" "n" "p" "r" "t" 2; "c" "p" 3; "d" "a" 3; "e" "f" "j" "l" "o" "r" 2;
"a" "a" "g" "k" "m" "q" "t" "v" 2; "b" "n" "p" "r" "t" "v" "w" 2; "c" "p" 3; "d" "a" 3; "e" "f" "j" "l" "o" "r" 2;
"a" "a" "g" "k" "m" "q" "t" "v" 2; "b" "n" "p" "r" "t" "v" "w" 2; "c" "p" 3; "d" "a" 3; "e" "f" "j" "l" "o" "r" 2;
"a" "a" "g" "k" "m" "q" "t" "v" 2; "b" "n" "p" "r" "t" "v" "w" 2; "c" "p" 3; "d" "a" 3; "e" "f" "j" "l" "o" "r" 2;
"a" "a" "g" "k" "m" "q" "t" "v" 2; "b" "n" "p" "r" "t" "v" "w" 2; "c" "p" 3; "d" "a" 3; "e" "f" "j" "l" "o" "r" 2;
"a" "a" "g" "k" "m" "q" "t" "v" 2; "b" "n" "p" "r" "t" "v" "w" 2; "c" "p" 3; "d" "a" 3; "e" "f" "j" "o" "r" 2;
"a" "a" "g" "k" "m" "q" "t" "v" 2; "b" "v" 3; "c" "p" 3; "d" "a" 3; "e" "f" "j" "o" "r" 2;
"a" "a" "g" "k" "m" "q" "t" "v" 2; "b" "v" 3; "c" "p" 3; "d" "a" 3; "e" "f" "j" "o" "r" 2;
"a" "a" "g" "k" "m" "q" "t" "v" 2; "b" "v" 3; "c" "p" 3; "d" "a" 3; "e" "f" "j" "o" "r" 2;
"a" "a" "g" "k" "m" "q" "t" "v" 2; "b" "v" 3; "c" "p" 3; "d" "a" 3; "e" "f" "g" "j" "o" "r" 2;
"a" "a" "g" "k" "m" "q" "t" "v" 2; "b" "v" 3; "c" "p" 3; "d" "a" 3; "e" "f" "g" "j" "o" "r" 2;
"a" "a" "g" "k" "m" "q" "t" "v" 2; "b" "v" 3; "c" "p" 4; "d" "a" 3; "e" "f" "g" "j" "o" "r" 2;
"a" "a" "g" "k" "m" "q" "t" "v" 2; "b" "v" 3; "c" "p" 4; "d" "a" 3; "e" "f" "g" "j" "o" "r" 2;
"a" "a" "g" "k" "m" "q" "r" "t" "v" 2; "b" "v" 3; "c" "p" 4; "d" "a" 3; "e" "f" "g" "j" "o" "r" 2;
"a" "a" "g" "k" "m" "q" "r" "t" "v" 2; "b" "v" 3; "c" "p" 4; "d" "a" 3; "e" "f" "g" "j" "o" "r" 2;
"a" "a" "g" "k" "m" "q" "r" "t" "v" 2; "b" "v" 3; "c" "p" 4; "d" "a" 3; "e" "f" "g" "j" "o" "p" "r" 2;
"a" "a" "g" "k" "m" "q" "r" "t" "v" 2; "b" "v" 3; "c" "p" 4; "d" "a" "o" 3; "e" "f" "g" "j" "o" "p" "r" 2;
"a" "a" "g" "k" "m" "q" "r" "t" "v" 2; "b" "v" 3; "c" "p" 4; "d" "a" "o" 3; "e" "f" "g" "j" "o" "p" "r" 2;
"a" "a" "g" "k" "m" "q" "r" "t" "v" 2; "b" "v" 3; "c" "p" 4; "d" "a" "o" 3; "e" "f" "g" "j" "o" "p" "r" 2;
"a" "a" "g" "k" "m" "q" "r" "t" "v" 2; "b" "v" 3; "c" "p" 5; "d" "a" "o" 3; "e" "f" "g" "j" "o" "p" "r" 2;
"a" "a" "g" "k" "m" "q" "r" "t" "v" 2; "b" "v" 3; "c" "p" 5; "d" "a" "o" 3; "e" "f" "g" "j" "o" "p" "r" 2;
"a" "a" "g" "k" "m" "q" "r" "t" "v" 2; "b" "v" 3; "c" "p" 5; "d" "a" "o" 3; "e" "p" 3;
"a" "a" "g" "k" "m" "q" "r" "t" "v" 2; "b" "v" 3; "c" "p" 5; "d" "a" "o" 3; "e" "p" 3;
"a" "a" "g" "k" "m" "q" "r" "t" "v" 2; "b" "v" 3; "c" "p" 5; "d" "a" "o" 3; "e" "p" 3;
"a" "a" "g" "k" "m" "q" "r" "t" "v" 2; "b" "v" 3; "c" "p" 5; "d" "a" "o" 3; "e" "p" 3;
"a" "a" "g" "k" "m" "q" "r" "t" "v" 2; "b" "v" 3; "c" "p" 5; "d" "a" "o" 3; "e" "p" "r" 3;
"a" "a" "g" "k" "m" "p" "q" "r" "t" "v" 2; "b" "o" "v" 3; "c" "p" 5; "d" "a" "o" "w" 3; "e" "p" "r" 3;
"a" "a" "g" "k" "m" "p" "q" "r" "t" "v" 2; "b" "o" "v" 3; "c" "p" 5; "d" "a" "o" "w" 3; "e" "p" "r" 3;
"a" "a" "g" "k" "m" "p" "q" "r" "t" "v" 2; "b" "o" "v" 3; "c" "p" 5; "d" "w" 4; "e" "p" "r" 3;
"a" "a" "g" "k" "m" "p" "q" "r" "t" "v" 2; "b" "o" "v" 3; "c" "p" 5; "d" "w" 4; "e" "p" "r" 3;
"a" "a" "g" "k" "m" "p" "q" "r" "t" "v" 2; "b" "o" "v" 3; "c" "p" 5; "d" "w" 4; "e" "p" "r" 3;
"a" "a" "g" "k" "m" "p" "q" "r" "t" "v" 2; "b" "o" "v" 3; "c" "p" 5; "d" "w" 4; "e" "p" "r" 3;
"a" "a" 3; "b" "o" "v" 3; "c" "p" 5; "d" "w" 4; "e" "p" "r" 3;
"a" "a" 3; "b" "o" "v" 3; "c" "p" 5; "d" "a" "w" 4; "e" "p" "r" 3;
"a" "a" 3; "b" "o" "v" 3; "c" "p" 5; "d" "a" "w" 4; "e" "p" "r" 3;
"a" "a" 3; "b" "o" "v" 3; "c" "p" 5; "d" "a" "w" 4; "e" "p" "r" 3;
"a" "a" 3; "b" "o" "v" 3; "c" "p" 5; "d" "a" "w" 4; "e" "p" "r" 3;
"a" "a" 3; "b" "o" "v" 3; "c" "p" 5; "d" "a" "w" 4; "e" "p" "r" 3;
"a" "a" 4; "b" "o" "v" 3; "c" "p" 5; "d" "a" "w" 4; "e" "p" 4;
"a" "a" 4; "b" "o" "t" "v" 3; "c" "p" 5; "d" "a" "w" 4; "e" "p" 4;
"a" "a" 4; "b" "o" "t" "v" 3; "c" "p" 5; "d" "a" "w" 4; "e" "p" 4;
"a" "a" 4; "b" "o" "t" "v" 3; "c" "p" 5; "d" "a" "w" 4; "e" "p" 4;
"a" "a" 4; "b" "o" "t" "v" 3; "c" "p" 5; "d" "a" "w" 4; "e" "p" 4;
"a" "a" 4; "b" "o" "t" "v" 3; "c" "p" 5; "d" "a" "w" 4; "e" "p" 4;
"a" "a" 4; "b" "o" "t" "v" 3; "c" "p" 5; "d" "a" "w" 4; "e" "p" 4;
"a" "a" 4; "b" "o" "t" "v" 3; "c" "p" 5; "d" "w" 5; "e" "p" 4;
"a" "a" 4; "b" "o" "t" "v" 3; "c" "p" 5; "d" "w" 5; "e" "p" 4;
"a" "a" 4; "b" "o" "t" "v" 3; "c" "p" 5; "d" "w" 5; "e" "p" 4;
"a" "a" 4; "b" "o" "t" "v" 3; "c" "p" 5; "d" "w" 5; "e" "p" 4;
"a" "a" 4; "b" "o" "t" "v" 3; "c" "p" 5; "d" "w" 5; "e" "p" 4;
"a" "a" 4; "b" "o" "t" "v" 3; "c" "p" 5; "d" "w" 5; "e" "p" 4;
"a" "a" 4; "b" "o" "t" "v" 3; "c" "p" 5; "d" "w" 5; "e" "p" 4;
"a" "a" 4; "b" "o" "t" "v" 3; "c" "p" 5; "d" "w" 5; "e" "p" 4;
"a" "a" 4; "b" "o" "t" "v" 3; "c" "p" 5; "d" "w" 5; "e" "p" 4;
"a" "a" 4; "b" "o" "t" "v" 3; "c" "p" 5; "d" "w" 5; "e" "p" 4;
"a" "a" 4; "b" "o" "t" "v" 3; "c" "p" 5; "d" "w" 5; "e" "p" 4;
"a" "a" 4; "b" "o" "t" "v" 3; "c" "p" 5; "d" "w" 5; "e" "p" 4;
"a" "a" 4; "b" "o" "t" "v" 3; "c" "p" 5; "d" "w" 5; "e" "p" 4;
"a" "a" 4; "b" "o" "t" "v" 3; "c" "p" 5; "d" "w" 5; "e" "p" 4;
"a" "a" 4; "b" "o" "t" "v" 3; "c" "p" 5; "d" "w" 5; "e" "p" 4;
"a" "a" 4; "b" "o" "t" "v" 3; "c" "p" 5; "d" "w" 5; "e" "p" 4;
"a" "a" 4; "b" "o" "t" "v" 3; "c" "p" 5; "d" "w" 5; "e" "p" 4;
"a" "a" 4; "b" "o" "t" "v" 3; "c" "p" 5; "d" "w" 5; "e" "p" 4;
"a" "a" 4; "b" "o" "t" "v" 3; "c" "p" 5; "d" "w" 5; "e" "p" 4;
"a" "a" 4; "b" "o" "t" "v" 3; "c" "p" 5; "d" "w" 5; "e" "p" 4;
"a" "a" 4; "b" "o" "t" "v" 3; "c" "p" 5; "d" "w" 5; "e" "p" 4;
"a" "a" 4; "b" "o" "t" "v" 3; "c" "p" 5; "d" "w" 5; "e" "p" 4;
"a" "a" 4; "b" "o" "t" "v" 3; "c" "p" 5; "d" "w" 5; "e" "p" 4;
"a" "a" 4; "b" "o" "t" "v" 3; "c" "p" 5; "d" "w" 5; "e" "p" 4;
"a" "a" 4; "b" "o" "t" "v" 3; "c" "p" 5; "d" "w" 5; "e" "p" 4;
"a" "a" 4; "b" "o" "t" "v" 3; "c" "p" 5; "d" "w" 5; "e" "p" 4;
"a" "a" "g" 4; "b" "o" "t" "v" 3; "c" "p" 5; "d" "w" 5; "e" "p" 4;
"a" "a" "g" 4; "b" "o" "t" "v" 3; "c" "p" 5; "d" "w" 5; "e" "p" 4;
"a" "a" "g" 4; "b" "o" "t" "v" 3; "c" "p" 5; "d" "w" 5; "e" "p" 4;
"a" "a" "g" 4; "b" "o" "t" "v" 3; "c" "p" 5; "d" "w" 5; "e" "p" 4;
"a" "a" "g" 4; "b" "o" "t" "v" 3; "c" "p" 5; "d" "w" 5; "e" "p" 5;
"a" "a" 4; "b" "o" "t" "v" 3; "c" "p" 5; "d" "w" 5; "e" "p" 5;
"a" "a" 4; "b" "o" "t" "v" "w" 3; "c" "p" 5; "d" "w" 5; "e" "p" 5;
"a" "a" 4; "b" "o" "t" "v" "w" 3; "c" "p" 5; "d" "w" 5; "e" "p" 5;
"a" "a" 4; "b" "o" "t" "v" "w" 3; "c" "p" 5; "d" "w" 5; "e" "p" 5;
"a" "a" 4; "b" "o" "t" "v" "w" 3; "c" "p" 5; "d" "w" 5; "e" "p" 5;
"a" "a" 4; "b" "o" "t" "v" "w" 3; "c" "p" 5; "d" "w" 5; "e" "p" 5;
"a" "a" 4; "b" "o" "t" "v" "w" 3; "c" "p" 5; "d" "w" 5; "e" "p" 5;
"a" "a" 4; "b" "o" "t" "v" "w" 3; "c" "p" 5; "d" "w" 5; "e" "p" 5;
"a" "a" 4; "b" "o" "t" "v" "w" 3; "c" "p" 5; "d" "w" 5; "e" "p" 5;
"a" "a" 4; "b" "o" "t" "v" "w" 3; "c" "p" 5; "d" "w" 5; "e" "p" 5;
"a" "a" 4; "b" "o" "t" "v" "w" 3; "c" "p" 5; "d" "w" 5; "e" "p" 5;
"a" "a" 4; "b" "o" "t" "v" "w" 3; "c" "p" 5; "d" "w" 5; "e" "p" 5;
