"b" "y" 1;
"b" "y" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "d" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "d" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "d" "w" 1;
"b" "y" 1; "d" "l" "o" "z" 1; "e" "d" "w" 1;
"a" "t" 1; "b" "y" 1; "d" "l" "o" "z" 1; "e" "d" "w" 1;
"a" "t" 1; "b" "y" 1; "d" "l" "o" "z" 1; "e" "d" "w" 1;
"a" "t" 1; "b" "y" 1; "d" "l" "o" "z" 1; "e" "d" "w" 1;
"a" "t" 1; "b" "y" 1; "d" "l" "o" "z" 1; "e" "d" "w" 1;
"a" "t" 1; "b" "y" 1; "d" "l" "o" "z" 1; "e" "d" "w" 1;
"a" "c" "d" "n" "s" "t" "w" "z" 1; "b" "j" "l" "p" "v" "y" 1; "c" "c" "f" "v" 1; "d" "l" "o" "u" "z" 1; "e" "d" "i" "u" "w" "x" 1;
"a" "c" "d" "n" "s" "t" "w" "z" 1; "b" "j" "l" "p" "v" "y" 1; "c" "c" "f" "v" 1; "d" "l" "o" "u" "z" 1; "e" "d" "i" "u" "w" "x" 1;
"a" "c" "d" "n" "s" "t" "w" "z" 1; "b" "j" "l" "p" "v" "y" 1; "c" "c" "f" "v" 1; "d" "l" "o" "u" "z" 1; "e" "d" "i" "u" "w" "x" 1;
"a" "c" "d" "n" "s" "t" "w" "z" 1; "b" "j" "l" "p" "v" "y" 1; "c" "c" "f" "v" 1; "d" "g" "l" "o" "u" "z" 1; "e" "d" "i" "u" "w" "x" 1;
"a" "c" "d" "i" "n" "s" "t" "w" "z" 1; "b" "j" "l" "p" "v" "y" 1; "c" "c" "f" "v" 1; "d" "g" "l" "o" "u" "z" 1; "e" "d" "i" "u" "w" "x" 1;
"a" "c" "d" "i" "n" "s" "t" "w" "z" 1; "b" "j" "l" "p" "v" "y" 1; "c" "c" "f" "m" "v" 1; "d" "g" "l" "o" "q" "u" "z" 1; "e" "d" "i" "u" "w" "x" 1;
"a" "c" "d" "i" "n" "s" "t" "w" "z" 1; "b" "c" "j" "l" "p" "v" "y" 1; "c" "c" "f" "k" "m" "v" 1; "d" "g" "l" "o" "q" "u" "z" 1; "e" "d" "i" "m" "u" "w" "x" 1;
"a" "c" "d" "i" "n" "s" "t" "w" "z" 1; "b" "c" "j" "l" "p" "v" "y" 1; "c" "c" "f" "k" "m" "v" 1; "d" "g" "l" "o" "q" "u" "z" 1; "e" "d" "i" "m" "u" "w" "x" 1;
"a" "c" "d" "i" "n" "s" "t" "w" "z" 1; "b" "c" "j" "l" "p" "v" "y" 1; "c" "c" "f" "k" "m" "v" 1; "d" "g" "l" "o" "q" "u" "z" 1; "e" "d" "i" "m" "u" "w" "x" 1;
"a" "c" "d" "i" "n" "s" "t" "w" "z" 1; "b" "c" "j" "l" "p" "v" "y" 1; "c" "c" "f" "k" "m" "v" 1; "d" "g" "l" "o" "q" "u" "z" 1; "e" "d" "i" "m" "u" "w" "x" 1;
"a" "c" "d" "i" "n" "s" "t" "w" "z" 1; "b" "c" "j" "l" "p" "v" "y" 1; "c" "c" "f" "k" "m" "v" 1; "d" "g" "l" "o" "q" "u" "z" 1; "e" "d" "i" "m" "u" "w" "x" 1;
"a" "c" "d" "i" "n" "s" "t" "w" "z" 1; "b" "c" "d" "j" "l" "p" "v" "y" 1; "c" "c" "d" "f" "k" "m" "v" 1; "d" "g" "l" "o" "q" "u" "z" 1; "e" "d" "i" "m" "u" "w" "x" 1;
"a" "c" "d" "i" "n" "s" "t" "w" "z" 1; "b" "c" "d" "j" "l" "p" "v" "y" 1; "c" "c" "d" "f" "k" "m" "v" 1; "d" "g" "l" "o" "q" "u" "z" 1; "e" "d" "i" "m" "u" "w" "x" 1;
"a" "c" "d" "i" "n" "s" "t" "w" "z" 1; "b" "c" "d" "j" "l" "p" "v" "y" 1; "c" "c" "d" "f" "k" "m" "v" 1; "d" "g" "l" "o" "q" "u" "z" 1; "e" "d" "i" "m" "u" "w" "x" 1;
"a" "c" "d" "i" "n" "s" "t" "w" "z" 1; "b" "c" "d" "j" "l" "p" "v" "y" 1; "c" "c" "d" "f" "k" "m" "v" 1; "d" "g" "l" "o" "q" "u" "z" 1; "e" "d" "i" "m" "u" "w" "x" 1;
"a" "c" "d" "i" "n" "s" "t" "w" "z" 1; "b" "c" "d" "j" "l" "p" "v" "y" 1; "c" "c" "d" "f" "k" "m" "v" 1; "d" "g" "l" "o" "q" "u" "z" 1; "e" "d" "i" "m" "u" "w" "x" 1;
"a" "c" "d" "i" "n" "s" "t" "w" "z" 1; "b" "c" "d" "j" "l" "p" "v" "y" 1; "c" "c" "d" "f" "k" "m" "n" "v" 1; "d" "g" "l" "o" "q" "t" "u" "z" 1; "e" "d" "i" "m" "q" "u" "w" "x" 1;
"a" "c" "d" "i" "n" "s" "t" "w" "z" 1; "b" "c" "d" "j" "l" "p" "v" "y" 1; "c" "c" "d" "f" "k" "m" "n" "v" 1; "d" "g" "l" "o" "q" "t" "u" "z" 1; "e" "d" "i" "m" "q" "u" "w" "x" 1;
"a" "c" "d" "i" "n" "s" "t" "w" "z" 1; "b" "c" "d" "j" "l" "p" "v" "y" 1; "c" "c" "d" "f" "k" "m" "n" "v" 1; "d" "g" "l" "o" "q" "t" "u" "z" 1; "e" "d" "i" "m" "q" "u" "w" "x" 1;
"a" "c" "d" "i" "n" "s" "t" "w" "z" 1; "b" "c" "d" "j" "l" "p" "v" "y" 1; "c" "c" "d" "f" "k" "m" "n" "v" 1; "d" "g" "l" "n" "o" "q" "t" "u" "z" 1; "e" "d" "i" "m" "n" "q" "u" "w" "x" 1;
"a" "c" "d" "i" "n" "s" "t" "w" "z" 1; "b" "c" "d" "j" "l" "p" "v" "y" 1; "c" "c" "d" "f" "k" "m" "n" "v" 1; "d" "g" "l" "n" "o" "q" "t" "u" "z" 1; "e" "d" "i" "m" "n" "q" "u" "w" "x" 1;
"a" "c" "d" "i" "n" "s" "t" "w" "z" 1; "b" "c" "d" "j" "l" "p" "v" "y" 1; "c" "c" "d" "f" "k" "m" "n" "v" 1; "d" "g" "l" "n" "o" "q" "t" "u" "z" 1; "e" "d" "i" "m" "n" "q" "u" "w" "x" 1;
"a" "c" "d" "i" "n" "s" "t" "w" "z" 1; "b" "c" "d" "j" "k" "l" "p" "v" "y" 1; "c" "c" "d" "f" "k" "m" "n" "q" "v" 1; "d" "g" "l" "n" "o" "q" "t" "u" "z" 1; "e" "d" "i" "m" "n" "q" "u" "w" "x" 1;
"a" "c" "d" "i" "n" "s" "t" "w" "z" 1; "b" "c" "d" "j" "k" "l" "p" "v" "y" 1; "c" "c" "d" "f" "k" "m" "n" "q" "v" 1; "d" "g" "l" "n" "o" "q" "t" "u" "z" 1; "e" "d" "i" "m" "n" "q" "u" "w" "x" 1;
"a" "c" "d" "i" "n" "s" "t" "w" "z" 1; "b" "c" "d" "f" "j" "k" "l" "p" "v" "y" 1; "c" "c" "d" "f" "k" "m" "n" "p" "q" "v" 1; "d" "g" "l" "n" "o" "q" "t" "u" "z" 1; "e" "d" "i" "l" "m" "n" "q" "u" "w" "x" 1;
"a" "c" "d" "i" "n" "s" "t" "w" "z" 1; "b" "c" "d" "f" "j" "k" "l" "p" "v" "y" 1; "c" "c" "d" "f" "k" "m" "n" "p" "q" "v" 1; "d" "g" "l" "n" "o" "q" "t" "u" "z" 1; "e" "d" "i" "l" "m" "n" "q" "u" "w" "x" 1;
"a" "c" "d" "i" "n" "s" "t" "w" "z" 1; "b" "c" "d" "f" "j" "k" "l" "p" "v" "y" 1; "c" "c" "d" "f" "k" "m" "n" "p" "q" "v" 1; "d" "g" "l" "n" "o" "q" "t" "u" "z" 1; "e" "d" "i" "l" "m" "n" "q" "u" "w" "x" 1;
"a" "c" "d" "i" "n" "s" "t" "w" "z" 1; "b" "c" "d" "f" "j" "k" "l" "p" "v" "y" 1; "c" "c" "d" "f" "k" "m" "n" "p" "q" "v" 1; "d" "g" "l" "n" "o" "q" "t" "u" "z" 1; "e" "d" "i" "l" "m" "n" "q" "u" "w" "x" 1;
"a" "c" "d" "i" "n" "s" "t" "w" "z" 1; "b" "c" "d" "f" "j" "k" "l" "p" "v" "y" 1; "c" "c" 2; "d" "g" "l" "n" "o" "q" "t" "u" "z" 1; "e" "d" "i" "l" "m" "n" "q" "u" "w" "x" 1;
"a" "c" "d" "i" "n" "s" "t" "w" "z" 1; "b" "c" "d" "f" "j" "k" "l" "p" "v" "y" 1; "c" "c" 2; "d" "g" "l" "n" "o" "q" "t" "u" "z" 1; "e" "d" "i" "l" "m" "n" "q" "u" "w" "x" 1;
"a" "c" "d" "i" "n" "s" "t" "w" "z" 1; "b" "c" "d" "f" "j" "k" "l" "p" "v" "y" 1; "c" "c" 2; "d" "g" "l" "n" "o" "q" "t" "u" "z" 1; "e" "d" "i" "l" "m" "n" "q" "u" "w" "x" 1;
"a" "c" "d" "i" "n" "s" "t" "w" "z" 1; "b" "p" 2; "c" "c" 2; "d" "g" "l" "n" "o" "q" "t" "u" "z" 1; "e" "d" "i" "l" "m" "n" "q" "u" "w" "x" 1;
"a" "c" "d" "i" "n" "s" "t" "w" "z" 1; "b" "p" 2; "c" "c" 2; "d" "g" "l" "n" "o" "q" "t" "u" "z" 1; "e" "d" "i" "l" "m" "n" "q" "u" "w" "x" 1;
"a" "w" 2; "b" "p" 2; "c" "c" 2; "d" "g" "l" "n" "o" "q" "t" "u" "z" 1; "e" "d" "i" "l" "m" "n" "q" "u" "w" "x" 1;
"a" "m" "w" 2; "b" "p" 2; "c" "c" 2; "d" "g" "l" "n" "o" "q" "t" "u" "z" 1; "e" "d" "i" "l" "m" "n" "q" "u" "w" "x" "y" 1;
"a" "m" "w" 2; "b" "p" 2; "c" "c" 2; "d" "g" "l" "n" "o" "q" "t" "u" "z" 1; "e" "d" "i" "l" "m" "n" "q" "u" "w" "x" "y" 1;
"a" "m" "w" 2; "b" "d" "p" 2; "c" "c" "k" 2; "d" "g" "l" "n" "o" "q" "t" "u" "z" 1; "e" "n" 2;
"a" "m" "w" 2; "b" "d" "p" "v" 2; "c" "c" "k" 2; "d" "g" "l" "n" "o" "q" "t" "u" "w" "z" 1; "e" "n" 2;
"a" "m" "w" 2; "b" "d" "p" "v" 2; "c" "c" "k" 2; "d" "b" "g" "l" "n" "o" "q" "t" "u" "w" "z" 1; "e" "l" "n" 2;
"a" "m" "w" 2; "b" "d" "p" "v" 2; "c" "c" "f" "k" 2; "d" "b" "g" "l" "n" "o" "q" "t" "u" "w" "z" 1; "e" "l" "n" 3;
"a" "m" "w" 2; "b" "d" "p" "v" 2; "c" "c" "f" "k" 2; "d" "b" "g" "l" "n" "o" "q" "t" "u" "w" "z" 1; "e" "l" "n" 3;
"a" "m" "w" 2; "b" "d" "p" "v" 2; "c" "c" "f" "k" 2; "d" "b" "g" "l" "n" "o" "q" "t" "u" "w" "z" 1; "e" "l" "n" 3;
"a" "m" "w" 2; "b" "d" "p" "v" 2; "c" "c" "f" "k" 2; "d" "b" "g" "l" "n" "o" "q" "t" "u" "w" "z" 1; "e" "l" "n" 3;
"a" "m" "w" 2; "b" "d" "p" "v" 2; "c" "c" "f" "k" 2; "d" "b" "g" "l" "n" "o" "q" "t" "u" "w" "z" 1; "e" "l" "n" 3;
"a" "m" "w" 2; "b" "d" "p" "v" 2; "c" "c" "f" "k" 2; "d" "b" "g" "l" "n" "o" "q" "t" "u" "w" "z" 1; "e" "l" "n" 3;
"a" "m" "w" 2; "b" "d" "p" "v" 2; "c" "c" "f" "k" 2; "d" "b" "g" "l" "n" "o" "q" "t" "u" "w" "z" 1; "e" "l" "n" 3;
"a" "m" "w" 2; "b" "d" "p" "v" 2; "c" "c" "f" "k" 2; "d" "b" "g" "l" "n" "o" "q" "t" "u" "w" "z" 1; "e" "l" "n" 3;
"a" "m" "w" 2; "b" "d" "p" "v" 2; "c" "c" "f" "k" 2; "d" "b" "g" "l" "n" "o" "q" "t" "u" "w" "z" 1; "e" "l" "n" 3;
"a" "m" "w" 2; "b" "d" "p" "v" 2; "c" "c" "f" "k" 2; "d" "b" "g" "l" "n" "o" "q" "t" "u" "w" "z" 1; "e" "l" "n" 3;
"a" "m" "w" 2; "b" "d" "p" "v" 2; "c" "c" "f" "k" 2; "d" "b" "g" "l" "n" "o" "q" "t" "u" "w" "z" 1; "e" "l" "n" 3;
"a" "m" "w" 2; "b" "d" "p" "v" 2; "c" "c" "f" "k" 2; "d" "b" "g" "l" "n" "o" "q" "t" "u" "w" "z" 1; "e" "l" "n" 3;
"a" "m" "w" 2; "b" "d" "p" "v" 2; "c" "c" "f" "k" 2; "d" "b" "g" "l" "n" "o" "q" "t" "u" "w" "z" 1; "e" "l" "n" 3;
"a" "m" "w" 2; "b" "d" "p" "v" 2; "c" "c" "f" "k" 2; "d" "b" "g" "l" "n" "o" "q" "t" "u" "w" "z" 1; "e" "l" "n" 3;
"a" "h" "m" "w" 2; "b" "d" "p" "v" 2; "c" "c" "f" "k" 2; "d" "b" "g" "l" "n" "o" "q" "t" "u" "w" "z" 1; "e" "l" "n" 3;
"a" "h" "m" "w" 2; "b" "d" "p" "v" 2; "c" "c" "f" "k" 2; "d" "b" "g" "l" "n" "o" "q" "t" "u" "w" "z" 1; "e" "l" "n" 3;
"a" "h" "m" "w" 2; "b" "d" "p" "v" 2; "c" "c" "f" "k" 2; "d" "b" "g" "l" "n" "o" "q" "t" "u" "w" "z" 1; "e" "l" "n" 3;
"a" "h" "m" "w" 2; "b" "d" "p" "v" 2; "c" "c" "f" "k" 2; "d" "b" "g" "l" "n" "o" "q" "t" "u" "w" "z" 1; "e" "l" "n" 3;
"a" "h" "m" "w" 2; "b" "d" "p" "v" 2; "c" "c" "f" "k" 2; "d" "b" "g" "l" "n" "o" "q" "t" "u" "w" "z" 1; "e" "l" "n" 3;
"a" "h" "m" "w" 2; "b" "d" "p" "v" 2; "c" "c" "f" "k" 2; "d" "b" "g" "l" "n" "o" "q" "t" "u" "w" "z" 1; "e" "l" "n" 3;
"a" "h" "m" "w" 2; "b" "d" "p" "v" 2; "c" "c" "f" "k" 2; "d" "q" 2; "e" "l" "n" 3;
"a" "h" "m" "w" 2; "b" "d" "p" "v" 2; "c" "c" "f" "k" 2; "d" "q" 2; "e" "l" "n" 3;
"a" "h" "m" "w" 2; "b" "d" "p" "v" 2; "c" "c" "f" "k" 2; "d" "q" 2; "e" "l" "n" 3;
"a" "h" "m" "w" 2; "b" "d" "p" "v" 2; "c" "c" "f" "k" 2; "d" "q" 2; "e" "l" "n" 3;
"a" "h" "m" "w" 2; "b" "d" "p" 2; "c" "c" "f" "k" 2; "d" "q" "z" 2; "e" "l" "n" 3;
"a" "h" "m" "w" 2; "b" "d" "p" 2; "c" "c" "f" "k" 2; "d" "q" "z" 2; "e" "l" "n" 3;
"a" "m" 3; "b" "d" "p" 2; "c" "c" "f" "k" 2; "d" "q" "z" 2; "e" "l" "n" 3;
"a" "m" 3; "b" "d" "p" 2; "c" "c" "f" "k" 2; "d" "q" "z" 2; "e" "l" "n" "q" 3;
"a" "m" 3; "b" "d" "p" 2; "c" "c" "f" "k" 2; "d" "q" "z" 2; "e" "l" "n" "q" 3;
"a" "m" 3; "b" "d" "p" 2; "c" "c" "f" "k" 2; "d" "q" "z" 2; "e" "l" 4;
"a" "m" 3; "b" "d" "p" 2; "c" "c" "f" "k" 2; "d" "q" "z" 2; "e" "l" 4;
"a" "m" 3; "b" "d" "p" 2; "c" "c" "f" "k" 2; "d" "q" "z" 2; "e" "l" 4;
"a" "m" 3; "b" "d" "p" 2; "c" "c" "f" "k" 2; "d" "q" "z" 2; "e" "l" 4;
"a" "m" 3; "b" "d" "p" 2; "c" "c" "f" "k" 2; "d" "q" "z" 2; "e" "l" 4;
"a" "m" 3; "b" "d" "p" 2; "c" "c" "f" "k" 2; "d" "q" "z" 2; "e" "l" 4;
"a" "m" 3; "b" "d" "p" 2; "c" "c" "f" "k" 2; "d" "q" "z" 2; "e" "l" 4;
"a" "m" 3; "b" "d" "p" 2; "c" "c" "f" "k" 2; "d" "q" "z" 2; "e" "l" 4;
"a" "m" "w" 3; "b" "d" "p" 2; "c" "c" "f" "k" 2; "d" "q" "z" 2; "e" "l" 4;
"a" "m" "w" 3; "b" "d" "g" "p" 2; "c" "c" "f" "k" 2; "d" "q" "z" 2; "e" "l" 4;
"a" "m" "w" 3; "b" "d" "e" "g" "p" 2; "c" "c" "f" "k" 2; "d" "q" "z" 2; "e" "l" 4;
"a" "m" "w" 3; "b" "d" "e" "g" "p" 2; "c" "c" "f" "k" 2; "d" "q" "z" 2; "e" "l" 4;
"a" "m" "w" 3; "b" "d" "e" "g" "p" 2; "c" "c" "f" "k" 2; "d" "q" "z" 2; "e" "l" 4;
"a" "m" 4; "b" "g" 3; "c" "a" "c" "f" "k" 2; "d" "q" "z" 2; "e" "l" 4;
"a" "m" 4; "b" "g" 3; "c" "a" "c" "f" "k" 2; "d" "q" "z" 2; "e" "l" 4;
"a" "m" 4; "b" "g" 3; "c" "a" "c" "f" "k" 2; "d" "q" "z" 2; "e" "l" 4;
"a" "m" 4; "b" "g" 3; "c" "a" "c" "f" "k" 2; "d" "z" 3; "e" "l" 4;
"a" "m" 4; "b" "g" 3; "c" "a" "c" "f" "k" 2; "d" "z" 3; "e" "l" 4;
"a" "m" 4; "b" "g" 3; "c" "a" "b" "c" "f" "k" 2; "d" "z" 3; "e" "l" 4;
"a" "m" 4; "b" "g" 3; "c" "a" "b" "c" "f" "k" 2; "d" "z" 3; "e" "l" 4;
"a" "m" 4; "b" "g" 3; "c" "a" "b" "c" "f" "k" 2; "d" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "g" 3; "c" "a" "b" "c" "f" "k" 2; "d" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "g" "k" 3; "c" "a" "b" "c" "f" "k" 2; "d" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "g" "k" 3; "c" "a" "b" "c" "f" "k" 2; "d" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "g" "k" 3; "c" "a" "b" "c" "f" "k" 2; "d" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "g" "k" 3; "c" "a" "b" "c" "f" "k" 2; "d" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "g" "k" 3; "c" "a" "b" "c" "f" "k" 2; "d" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "g" "k" 3; "c" "a" "b" "c" "f" "k" 2; "d" "u" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "g" "k" 3; "c" "a" "b" "c" "f" "k" 2; "d" "u" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "g" "k" 3; "c" "a" "b" "c" "f" "k" 2; "d" "u" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "g" "k" 3; "c" "a" "b" "c" "f" "k" 2; "d" "u" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "g" "k" 3; "c" "a" "b" "c" "f" "k" 2; "d" "u" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "g" "k" 3; "c" "a" "b" "c" "f" "k" 2; "d" "u" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "g" "k" 3; "c" "a" "b" "c" "f" "k" 2; "d" "u" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "g" "k" 3; "c" "a" "b" "c" "f" "k" 2; "d" "u" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "g" "k" 3; "c" "a" "b" "c" "f" "k" 2; "d" "u" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "g" "k" 3; "c" "a" "b" "c" "f" "k" 2; "d" "u" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "g" "k" 3; "c" "a" "b" "c" "f" "k" 2; "d" "u" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "g" "k" 3; "c" "a" "b" "c" "f" "k" 2; "d" "u" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "g" "k" 3; "c" "a" "b" "c" "f" "k" "t" 2; "d" "u" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "g" "k" 3; "c" "f" 3; "d" "u" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "g" "k" 3; "c" "f" 3; "d" "g" "u" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "g" "k" 3; "c" "f" 3; "d" "g" "u" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "g" "k" 3; "c" "f" 3; "d" "g" "u" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "g" "k" 3; "c" "f" 3; "d" "g" "u" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "g" "k" 3; "c" "f" 3; "d" "g" "u" "z" 3; "e" "l" 4;
