none
none
none
"a" "k" 1;
"a" "k" 1;
"a" "k" 1;
"a" "k" 1;
"a" "k" 1;
"a" "k" 1;
"a" "k" 1;
"a" "k" 1;
"a" "k" 1; "c" "e" 1;
"a" "k" 1; "c" "e" 1;
"a" "k" 1; "c" "e" 1;
"a" "k" 1; "c" "e" 1;
"a" "k" 1; "c" "e" 1;
"a" "k" 1; "c" "e" 1;
"a" "k" 1; "c" "e" 1;
"a" "k" 1; "c" "e" 1;
"a" "k" 1; "c" "e" 1;
"a" "k" 1; "c" "e" 1;
"a" "k" 1; "c" "e" 1;
"a" "k" 1; "c" "e" 1;
"a" "k" 1; "c" "e" 1;
"a" "k" 1; "c" "e" 1;
"a" "k" 1; "c" "e" 1;
"a" "k" 1; "c" "e" 1;
"a" "k" 1; "c" "e" 1;
"a" "k" 1; "c" "e" 1; "e" "g" "q" 1;
"a" "k" 1; "b" "i" "x" 1; "c" "e" "j" 1; "e" "c" "g" "q" 1;
"a" "d" "k" 1; "b" "i" "x" 1; "c" "e" "j" 1; "e" "c" "g" "q" 1;
"a" "d" "k" 1; "b" "i" "x" 1; "c" "e" "j" 1; "e" "c" "g" "q" 1;
"a" "d" "k" 1; "b" "i" "x" 1; "c" "e" "j" 1; "e" "c" "g" "q" 1;
"a" "d" "k" 1; "b" "i" "x" 1; "c" "e" "j" 1; "e" "c" "g" "q" "z" 1;
"a" "d" "k" 1; "b" "i" "x" 1; "c" "e" "j" 1; "e" "c" "g" "q" "z" 1;
"a" "d" "k" 1; "b" "i" "x" 1; "c" "e" "j" 1; "e" "c" "g" "l" "q" "z" 1;
"a" "d" "k" 1; "b" "i" "x" 1; "c" "e" "j" 1; "e" "c" "g" "l" "q" "z" 1;
"a" "d" "k" 1; "b" "g" "i" "x" 1; "c" "e" "j" "n" "v" 1; "e" "c" "g" "l" "q" "z" 1;
"a" "d" "k" 1; "b" "g" "i" "x" 1; "c" "e" "j" "n" "v" 1; "e" "c" "g" "l" "q" "z" 1;
"a" "d" "k" 1; "b" "g" "i" "x" 1; "c" "e" "j" "n" "v" 1; "e" "c" "g" "l" "q" "v" "z" 1;
"a" "d" 2; "b" "x" 3; "c" "j" 3; "d" "p" 3; "e" "k" "x" "z" 3;
"a" "d" 2; "b" "x" 3; "c" "j" 3; "d" "p" 3; "e" "k" "x" "z" 3;
"a" "d" 2; "b" "x" 3; "c" "j" 3; "d" "p" 3; "e" "k" "x" "z" 3;
"a" "d" 2; "b" "x" 3; "c" "j" 3; "d" "p" 3; "e" "k" "x" "z" 3;
"a" "d" 2; "b" "x" 3; "c" "j" 3; "d" "p" 3; "e" "k" "x" "z" 3;
"a" "d" 2; "b" "x" 3; "c" "j" 3; "d" "p" 3; "e" "k" "x" "z" 3;
"a" "d" 2; "b" "x" 3; "c" "j" 3; "d" "p" 3; "e" "k" "x" "z" 3;
"a" "d" 2; "b" "x" 3; "c" "j" 3; "d" "p" 3; "e" "k" "x" "z" 3;
"a" "d" 2; "b" "x" 3; "c" "j" 3; "d" "p" 3; "e" "k" "x" "z" 3;
"a" "d" 2; "b" "x" 3; "c" "j" 3; "d" "p" 3; "e" "k" "x" "z" 3;
"a" "d" 2; "b" "x" 3; "c" "j" 3; "d" "p" 3; "e" "k" "x" "z" 3;
"a" "d" 2; "b" "x" 3; "c" "j" 3; "d" "p" 3; "e" "k" "x" "z" 3;
"a" "d" 2; "b" "x" 3; "c" "j" 3; "d" "p" 3; "e" "k" "x" "z" 3;
"a" "d" 2; "b" "x" 4; "c" "j" 3; "d" "p" 3; "e" "k" "x" "z" 3;
"a" "d" 2; "b" "x" 4; "c" "j" 3; "d" "p" 3; "e" "k" "x" "z" 3;
"a" "d" 2; "b" "x" 4; "c" "j" 3; "d" "p" 3; "e" "k" "x" "z" 3;
"a" "d" 2; "b" "x" 4; "c" "j" 3; "d" "p" 3; "e" "k" "x" "z" 3;
"a" "d" 2; "b" "x" 4; "c" "j" 3; "d" "p" 3; "e" "k" "x" "z" 3;
"a" "d" 2; "b" "x" 4; "c" "j" 3; "d" "p" 3; "e" "k" "x" "z" 3;
"a" "d" 2; "b" "x" 4; "c" "j" 3; "d" "p" 3; "e" "k" "x" "z" 3;
"a" "d" 2; "b" "x" 4; "c" "j" 3; "d" "p" 3; "e" "k" "x" "z" 3;
"a" "d" 2; "b" "x" 4; "c" "j" 3; "d" "f" "p" 3; "e" "k" "x" "z" 3;
"a" "d" 2; "b" "x" 4; "c" "j" 3; "d" "f" "p" 3; "e" "k" "x" "z" 3;
"a" "d" 2; "b" "x" 4; "c" "j" 3; "d" "f" "p" 3; "e" "k" "x" "z" 3;
"a" "d" 2; "b" "x" 4; "c" "j" 3; "d" "f" "p" 3; "e" "k" "x" "z" 3;
"a" "d" 2; "b" "x" 4; "c" "j" 3; "d" "f" "p" 3; "e" "k" "x" "z" 3;
"a" "d" 2; "b" "x" 4; "c" "j" 3; "d" "f" "p" 3; "e" "k" "x" "z" 3;
"a" "d" "h" "s" 2; "b" "x" 4; "c" "j" 3; "d" "f" "p" 3; "e" "k" "x" "z" 3;
"a" "d" "h" "s" 2; "b" "x" 4; "c" "j" 3; "d" "f" "p" 3; "e" "k" "x" "z" 3;
"a" "d" "h" "s" 2; "b" "x" 4; "c" "j" 3; "d" "f" "p" 3; "e" "k" "x" "z" 3;
"a" "d" "h" "s" 2; "b" "x" 4; "c" "j" 3; "d" "f" "p" 3; "e" "k" "x" "z" 3;
"a" "d" "h" "s" 2; "b" "x" 4; "c" "j" 3; "d" "f" "p" 3; "e" "k" "x" "z" 3;
"a" "d" "h" "s" 2; "b" "x" 4; "c" "j" 3; "d" "f" "p" 3; "e" "z" 4;
"a" "d" "h" "s" 2; "b" "x" 4; "c" "j" 3; "d" "f" "p" 3; "e" "z" 4;
"a" "d" "h" "s" 2; "b" "x" 4; "c" "j" 3; "d" "f" "p" 3; "e" "z" 4;
"a" "d" "h" "s" 2; "b" "x" 4; "c" "j" 3; "d" "f" "p" 3; "e" "z" 4;
"a" "d" "h" "s" 2; "b" "x" 4; "c" "f" "j" 3; "d" "f" "p" 3; "e" "z" 4;
"a" "d" "h" "s" 2; "b" "x" 4; "c" "f" "j" 3; "d" "f" "p" 3; "e" "z" 4;
"a" "d" "h" "s" 2; "b" "x" 4; "c" "f" "j" 3; "d" "f" "p" 3; "e" "z" 4;
"a" "d" "h" "s" 2; "b" "x" 4; "c" "f" "j" 3; "d" "f" "p" 3; "e" "z" 4;
"a" "d" "h" "s" 2; "b" "x" 4; "c" "f" "j" 3; "d" "f" "p" 3; "e" "z" 4;
"a" "d" "h" "s" 2; "b" "x" 4; "c" "f" "j" 3; "d" "f" "p" 3; "e" "z" 4;
"a" "d" "h" "s" 2; "b" "x" 4; "c" "f" "j" 3; "d" "p" 4; "e" "z" 4;
"a" "d" "h" "s" 2; "b" "x" 4; "c" "f" "j" 3; "d" "p" 4; "e" "z" 4;
"a" "d" "h" "s" 2; "b" "x" 4; "c" "f" "j" 3; "d" "p" 4; "e" "z" 4;
"a" "d" "h" "s" 2; "b" "x" 4; "c" "f" "j" 3; "d" "p" 4; "e" "z" 4;
"a" "d" "h" "s" 2; "b" "x" 4; "c" "f" "j" 3; "d" "p" 4; "e" "z" 4;
"a" "d" "h" "s" 2; "b" "x" 4; "c" "f" "j" 3; "d" "p" 4; "e" "z" 4;
"a" "d" "h" "s" 2; "b" "x" 4; "c" "f" "j" 3; "d" "p" 4; "e" "z" 4;
"a" "d" "h" "s" 2; "b" "x" 4; "c" "f" "j" 3; "d" "p" 4; "e" "z" 4;
"a" "d" "h" "s" 2; "b" "x" 4; "c" "f" "j" 3; "d" "p" 4; "e" "z" 4;
"a" "d" "h" "r" "s" 2; "b" "x" 4; "c" "f" "j" 3; "d" "p" 4; "e" "z" 4;
"a" "d" "h" "r" "s" 2; "b" "x" 4; "c" "f" "j" 3; "d" "p" 4; "e" "z" 4;
"a" "d" "h" "r" "s" 2; "b" "x" 4; "c" "f" "j" 3; "d" "p" 4; "e" "z" 4;
"a" "d" "h" "r" "s" 2; "b" "x" 4; "c" "f" "j" 3; "d" "p" 4; "e" "z" 4;
"a" "d" "h" "r" "s" "w" 2; "b" "x" 4; "c" "f" "j" "v" 3; "d" "p" 4; "e" "z" 4;
"a" "d" "h" "r" "s" "w" 2; "b" "x" 4; "c" "f" "j" "v" "x" 3; "d" "p" 4; "e" "z" 4;
"a" "d" "h" "r" "s" "w" 2; "b" "x" 4; "c" "f" "j" "v" "x" 3; "d" "p" 5; "e" "z" 4;
"a" "d" "h" "r" "s" "w" 2; "b" "x" 4; "c" "f" "j" "v" "x" 3; "d" "p" 5; "e" "z" 4;
"a" "d" "h" "r" "s" "w" 2; "b" "x" 4; "c" "f" "j" "v" "x" 3; "d" "p" 5; "e" "z" 4;
"a" "d" "h" "r" "s" "w" 2; "b" "x" 4; "c" "f" "j" "v" "x" 3; "d" "p" 5; "e" "z" 4;
"a" "d" "h" "r" "s" "w" 2; "b" "x" 4; "c" "f" "j" "v" "x" 3; "d" "p" 5; "e" "z" 4;
"a" "d" "h" "r" "s" "w" 2; "b" "x" 4; "c" "f" "j" "v" "x" 3; "d" "p" 5; "e" "z" 4;
"a" "d" "h" "r" "s" "w" 2; "b" "x" 4; "c" "f" "j" "v" "x" 3; "d" "p" 5; "e" "z" 4;
"a" "r" 3; "b" "x" 4; "c" "f" "j" "v" "x" 3; "d" "p" 5; "e" "z" 4;
"a" "d" "r" 3; "b" "x" 4; "c" "f" "j" "v" "x" 3; "d" "p" 5; "e" "z" 4;
"a" "d" "r" 3; "b" "x" 4; "c" "f" "j" "v" "x" 3; "d" "p" 5; "e" "z" 4;
"a" "d" "r" 3; "b" "x" 4; "c" "f" "j" "v" "x" 3; "d" "p" 5; "e" "z" 4;
"a" "d" "r" 3; "b" "x" 4; "c" "f" "j" "v" "x" 3; "d" "p" 5; "e" "z" 4;
"a" "d" "r" 3; "b" "x" 4; "c" "f" "j" "v" "x" 3; "d" "p" 5; "e" "z" 4;
"a" "d" "r" 3; "b" "x" 4; "c" "f" "j" "v" "x" 3; "d" "p" 5; "e" "z" 4;
"a" "d" "r" 3; "b" "x" 4; "c" "f" "j" "v" "x" 3; "d" "p" 5; "e" "z" 4;
"a" "d" "r" 3; "b" "x" 4; "c" "f" "j" "v" "x" 3; "d" "p" 5; "e" "z" 4;
"a" "d" "r" 3; "b" "x" 4; "c" "f" "j" "v" "x" 3; "d" "p" 5; "e" "z" 4;
"a" "d" "r" 3; "b" "x" 4; "c" "f" "j" "v" "x" 3; "d" "p" 5; "e" "z" 4;
"a" "d" "r" 3; "b" "x" 4; "c" "f" "j" "v" "x" 3; "d" "p" 5; "e" "z" 4;
"a" "d" "r" 3; "b" "x" 4; "c" "f" "j" "v" "x" 3; "d" "p" 5; "e" "z" 4;
"a" "d" "r" 3; "b" "x" 4; "c" "f" "j" "v" "x" 3; "d" "p" 5; "e" "z" 4;
"a" "d" "r" 3; "b" "x" 4; "c" "f" "j" "v" "x" 3; "d" "p" 5; "e" "z" 4;
"a" "d" "r" 3; "b" "x" 4; "c" "f" "j" "v" "x" 3; "d" "p" 5; "e" "z" 4;
"a" "d" 4; "b" "x" 4; "c" "f" "j" "v" "x" 3; "d" "p" 5; "e" "z" 4;
"a" "d" 4; "b" "x" 4; "c" "f" "j" "v" "x" 3; "d" "p" 5; "e" "z" 4;
"a" "d" 4; "b" "x" 4; "c" "f" "j" "v" "x" 3; "d" "p" 5; "e" "z" 4;
"a" "d" 4; "b" "x" 4; "c" "f" "j" "v" "x" 3; "d" "p" 5; "e" "z" 4;
"a" "d" 4; "b" "x" 4; "c" "f" "j" "v" "x" 3; "d" "p" 5; "e" "z" 4;
"a" "d" 4; "b" "x" 4; "c" "f" "j" "v" "x" 3; "d" "p" 5; "e" "z" 4;
"a" "d" 4; "b" "x" 4; "c" "f" "j" "v" "x" 3; "d" "p" 5; "e" "z" 4;
"a" "d" 4; "b" "x" 4; "c" "f" "j" "v" "x" 3; "d" "p" 5; "e" "z" 4;
"a" "d" 4; "b" "x" 4; "c" "f" "j" "v" "x" 3; "d" "p" 5; "e" "z" 4;
"a" "d" 4; "b" "x" 4; "c" "f" "j" "v" "x" 3; "d" "p" 5; "e" "z" 4;
"a" "d" 4; "b" "x" 4; "c" "f" "j" "v" "x" 3; "d" "p" 5; "e" "z" 4;
"a" "d" 4; "b" "x" 4; "c" "f" "j" "v" "x" 3; "d" "p" 5; "e" "z" 4;
"a" "d" 4; "b" "x" 4; "c" "f" "j" "v" "x" 3; "d" "p" 5; "e" "z" 4;
"a" "d" 4; "b" "x" 4; "c" "f" "j" "v" "x" 3; "d" "p" 5; "e" "z" 4;
"a" "d" 4; "b" "x" 4; "c" "f" "j" "v" "x" 3; "d" "p" 5; "e" "z" 4;
"a" "d" 4; "b" "x" 4; "c" "f" "j" "v" "x" 3; "d" "p" 5; "e" "z" 4;
"a" "d" 4; "b" "x" 4; "c" "f" "j" "v" "x" 3; "d" "p" 5; "e" "z" 4;
"a" "d" 4; "b" "x" 4; "c" "f" "j" "v" "x" 3; "d" "p" 5; "e" "z" 4;
"a" "d" 4; "b" "x" 4; "c" "f" "j" "v" "x" 3; "d" "p" 5; "e" "z" 4;
"a" "d" 4; "b" "x" 4; "c" "f" "j" "v" "x" 3; "d" "p" 5; "e" "z" 5;
"a" "d" 4; "b" "x" 4; "c" "f" "j" "v" "x" 3; "d" "p" 5; "e" "z" 5;
"a" "d" 4; "b" "x" 4; "c" "f" "j" "v" "x" 3; "d" "p" 5; "e" "z" 5;
"a" "d" 4; "b" "x" 4; "c" "f" "j" "v" "x" 3; "d" "p" 5; "e" "z" 5;
"a" "d" 4; "b" "x" 4; "c" "f" "j" "v" "x" 3; "d" "p" 5; "e" "z" 5;
"a" "d" 4; "b" "x" 4; "c" "f" "j" "v" "x" 3; "d" "p" 5; "e" "z" 5;
"a" "d" 4; "b" "x" 4; "c" "f" "j" "v" "x" 3; "d" "p" 5; "e" "z" 5;
"a" "d" 4; "b" "x" 4; "c" "f" "j" "v" "x" 3; "d" "p" 5; "e" "z" 5;
"a" "d" 4; "b" "x" 4; "c" "f" "j" "v" "x" 3; "d" "p" 5; "e" "z" 5;
"a" "d" 4; "b" "x" 4; "c" "f" "j" "v" "x" 3; "d" "p" 4; "e" "z" 5;
"a" "d" 4; "b" "x" 4; "c" "f" "j" "v" "x" 3; "d" "p" 4; "e" "z" 5;
"a" "d" 4; "b" "x" 4; "c" "f" "j" "v" "x" 3; "d" "p" 4; "e" "z" 5;
"a" "d" 4; "b" "x" 4; "c" "f" "j" "v" "x" 3; "d" "p" 4; "e" "z" 5;
"a" "d" 4; "b" "x" 4; "c" "f" "j" "v" "x" 3; "d" "p" 4; "e" "z" 5;
"a" "d" 4; "b" "x" 5; "c" "f" "i" "j" "v" "x" 3; "d" "p" 4; "e" "z" 5;
