none
none
none
none
none
none
none
none
none
none
none
none
none
none
"a" "e" 1;
"a" "e" 1;
"a" "e" 1;
"a" "e" "h" 1;
"a" "e" "h" 1;
"a" "e" "h" 1;
"a" "e" "h" 1;
"a" "e" "h" 1;
"a" "e" "h" 1;
"a" "e" "h" 1;
"a" "e" "h" 1;
"a" "e" "h" 1;
"a" "e" "h" 1;
"a" "e" "h" 1;
"a" "e" "h" 1;
"a" "e" "h" 1;
"a" "e" "h" 1;
"a" "e" "h" 1;
"a" "e" "h" 1;
"a" "e" "h" 1;
"a" "e" "h" 1;
"a" "e" "h" 1;
"a" "e" "h" 1;
"a" "e" "h" 1; "e" "a" 1;
"a" "e" "h" 1; "e" "a" 1;
"a" "e" "h" 1; "e" "a" 1;
"a" "e" "h" 1; "e" "a" 1;
"a" "e" "h" 1; "e" "a" 1;
"a" "e" "h" 1; "e" "a" 1;
"a" "e" "h" 1; "e" "a" 1;
"a" "e" "h" 1; "e" "a" 1;
"a" "e" "h" 1; "d" "x" 1; "e" "a" 1;
"a" "e" "h" 1; "d" "x" 1; "e" "a" 1;
"a" "e" "h" 1; "c" "p" 1; "d" "x" 1; "e" "a" 1;
"a" "e" "h" 1; "c" "p" 1; "d" "x" 2; "e" "a" 1;
"a" "e" "h" 1; "c" "p" 1; "d" "x" 2; "e" "a" 1;
"a" "e" 2; "c" "f" "p" 1; "d" "x" 2; "e" "a" 1;
"a" "e" 2; "c" "f" "p" "t" 1; "d" "x" 2; "e" "a" "i" 1;
"a" "e" 2; "c" "f" "p" "t" 1; "d" "x" 2; "e" "a" "i" 1;
"a" "e" 3; "b" "f" "h" 1; "c" "e" "f" "o" "p" "t" 1; "d" "x" 2; "e" "a" "e" "i" 1;
"a" "e" 3; "b" "f" "h" "i" 1; "c" "e" "f" "o" "p" "t" 1; "d" "x" 2; "e" "a" "e" "i" 1;
"a" "e" 3; "b" "f" "h" "i" 1; "c" "e" "f" "o" "p" "t" 1; "d" "x" 2; "e" "a" "e" "i" 1;
"a" "e" 3; "b" "f" "h" "i" 1; "c" "e" "f" "o" "p" "t" 1; "d" "x" 2; "e" "a" "e" "i" 1;
"a" "e" 3; "b" "f" "h" "i" 1; "c" "e" "f" "o" "p" "t" 1; "d" "x" 2; "e" "a" "e" "i" 1;
"a" "e" 3; "b" "f" "h" "i" 1; "c" "e" "f" "o" "p" "t" 1; "d" "x" 2; "e" "a" "e" "i" 1;
"a" "e" 3; "b" "f" "h" "i" 1; "c" "e" "f" "o" "p" "t" 1; "d" "x" 2; "e" "a" "e" "h" "i" "q" 1;
"a" "e" 3; "b" "f" "h" "i" "v" 1; "c" "e" "f" "o" "p" "t" 1; "d" "x" 2; "e" "a" "e" "h" "i" "q" 1;
"a" "e" 3; "b" "f" "h" "i" "v" 1; "c" "e" "f" "o" "p" "t" 1; "d" "x" 2; "e" "a" "e" "h" "i" "q" 1;
"a" "e" 3; "b" "f" "h" "i" "v" 1; "c" "e" "f" "o" "p" "t" 1; "d" "x" 2; "e" "a" "e" "h" "i" "q" 1;
"a" "e" 3; "b" "f" "h" "i" "v" 1; "c" "e" "f" "o" "p" "t" 1; "d" "x" 2; "e" "a" "e" "h" "i" "q" 1;
"a" "e" 3; "b" "f" "h" "i" "v" 1; "c" "e" "f" "o" "p" "t" 1; "d" "x" 2; "e" "a" "e" "h" "i" "q" 1;
"a" "e" 3; "b" "f" "h" "i" "v" 1; "c" "t" 2; "d" "x" 2; "e" "a" "e" "h" "i" "q" 1;
"a" "e" 3; "b" "f" "h" "i" "v" 1; "c" "t" 2; "d" "x" 2; "e" "a" "e" "h" "i" "q" 1;
"a" "e" 3; "b" "f" "h" "i" "v" 1; "c" "t" 2; "d" "x" 2; "e" "a" "e" "h" "i" "q" 1;
"a" "e" 3; "b" "f" "h" "i" "v" 1; "c" "t" 2; "d" "x" 2; "e" "a" "e" "h" "i" "q" 1;
"a" "e" 3; "b" "f" "h" "i" "v" 1; "c" "t" 2; "d" "x" 2; "e" "a" "e" "h" "i" "q" 1;
"a" "e" 3; "b" "f" "h" "i" "n" "v" 1; "c" "t" 2; "d" "x" 2; "e" "a" "e" "h" "i" "q" 1;
"a" "e" 3; "b" "f" "h" "i" "n" "v" 1; "c" "t" 2; "d" "x" 2; "e" "a" "e" "h" "i" "q" 1;
"a" "e" 3; "b" "f" "h" "i" "n" "v" 1; "c" "t" 2; "d" "x" 2; "e" "a" "e" "h" "i" "q" 1;
"a" "e" 3; "b" "f" "h" "i" "n" "v" 1; "c" "t" 2; "d" "x" 2; "e" "a" "e" "h" "i" "q" 1;
"a" "e" 3; "b" "e" "f" "h" "i" "n" "v" 1; "c" "t" 2; "d" "d" "x" 2; "e" "a" "e" "h" "i" "q" 1;
"a" "e" 3; "b" "e" "f" "h" "i" "n" "v" 1; "c" "t" 2; "d" "d" "x" 2; "e" "a" "e" "h" "i" "q" 1;
"a" "e" 3; "b" "e" "f" "h" "i" "n" "v" 1; "c" "t" 2; "d" "d" "x" 2; "e" "a" "e" "h" "i" "q" 1;
"a" "e" 3; "b" "e" "f" "h" "i" "n" "v" 1; "c" "t" 2; "d" "d" "x" 2; "e" "a" "e" "h" "i" "q" 1;
"a" "e" 3; "b" "e" "f" "h" "i" "n" "v" 1; "c" "t" 2; "d" "d" "x" 2; "e" "a" "e" "h" "i" "q" 1;
"a" "e" 3; "b" "n" 2; "c" "t" 2; "d" "d" "x" 2; "e" "a" "e" "h" "i" "q" 1;
"a" "e" 3; "b" "n" 2; "c" "t" 2; "d" "d" "x" 2; "e" "a" "e" "h" "i" "q" 1;
"a" "e" 3; "b" "n" 2; "c" "t" 2; "d" "d" "x" 2; "e" "a" "e" "h" "i" "q" 1;
"a" "e" 3; "b" "n" 2; "c" "t" 2; "d" "d" "x" 2; "e" "a" "e" "h" "i" "q" 1;
"a" "e" 3; "b" "n" 2; "c" "t" 2; "d" "d" "x" 2; "e" "a" "e" "h" "i" "q" 1;
"a" "e" 3; "b" "n" 2; "c" "t" 2; "d" "d" "x" 2; "e" "a" "e" "h" "i" "q" 1;
"a" "e" 3; "b" "n" 2; "c" "t" 2; "d" "d" "x" 2; "e" "a" "e" "h" "i" "q" 1;
"a" "e" 3; "b" "n" 2; "c" "t" 2; "d" "d" "x" 2; "e" "d" "e" "h" "i" "q" "w" 1;
"a" "e" 3; "b" "m" "n" 2; "c" "t" 2; "d" "d" "x" 2; "e" "d" "e" "h" "i" "q" "w" 1;
"a" "e" 3; "b" "m" "n" 2; "c" "t" 2; "d" "d" "x" 2; "e" "d" "e" "h" "i" "q" "w" 1;
"a" "e" 3; "b" "m" "n" 2; "c" "t" 2; "d" "d" "x" 2; "e" "d" "e" "h" "i" "q" "u" "w" 1;
"a" "e" 3; "b" "m" "n" 2; "c" "t" 2; "d" "d" "x" 2; "e" "d" "e" "h" "i" "q" "u" "w" 1;
"a" "e" 3; "b" "m" "n" 2; "c" "t" 3; "d" "d" "x" 2; "e" "d" "e" "h" "i" "q" "u" "w" 1;
"a" "e" 3; "b" "h" "m" "n" 2; "c" "t" 3; "d" "d" "r" "x" 2; "e" "d" "e" "h" "i" "q" "u" "w" 1;
"a" "e" 3; "b" "h" "m" "n" 2; "c" "t" 3; "d" "d" "r" "x" 2; "e" "d" "e" "h" "i" "q" "u" "w" 1;
"a" "e" 3; "b" "h" "m" "n" 2; "c" "t" 3; "d" "d" "r" "x" 2; "e" "d" "e" "h" "i" "q" "u" "w" 1;
"a" "e" 3; "b" "h" "m" "n" 2; "c" "t" 3; "d" "d" "r" "x" 2; "e" "d" "e" "h" "i" "q" "u" "w" 1;
"a" "e" 3; "b" "h" "m" "n" 2; "c" "t" 3; "d" "d" "r" "x" 2; "e" "d" "e" "h" "i" "q" "u" "w" "z" 1;
"a" "e" 3; "b" "h" "m" "n" 2; "c" "t" 3; "d" "d" "r" "x" 2; "e" "d" "e" "h" "i" "q" "u" "w" "z" 1;
"a" "e" 3; "b" "h" "m" "n" 2; "c" "t" 3; "d" "d" "r" "x" 2; "e" "d" "e" "h" "i" "q" "u" "w" "z" 1;
"a" "e" 3; "b" "h" "m" "n" 2; "c" "t" 3; "d" "d" "q" "r" "x" 2; "e" "d" "e" "h" "i" "q" "u" "w" "z" 1;
"a" "e" 3; "b" "h" "m" "n" 2; "c" "t" 3; "d" "d" "q" "r" "x" 2; "e" "d" "e" "h" "i" "q" "u" "w" "z" 1;
"a" "e" 3; "b" "h" "m" "n" 2; "c" "t" 3; "d" "d" "q" "r" "x" 2; "e" "z" 2;
"a" "e" 3; "b" "h" "m" "n" 2; "c" "t" 3; "d" "d" "q" "r" "x" 2; "e" "z" 2;
"a" "e" 3; "b" "h" "m" "n" 2; "c" "t" 3; "d" "d" "q" "r" "x" 2; "e" "z" 2;
"a" "e" 3; "b" "h" "m" "n" 2; "c" "t" 3; "d" "d" "j" "q" "r" "x" 2; "e" "z" 2;
"a" "e" 3; "b" "h" "m" "n" 2; "c" "t" 3; "d" "d" "j" "q" "r" "x" "z" 2; "e" "z" 2;
"a" "e" 3; "b" "h" "m" "n" 2; "c" "t" 3; "d" "d" "j" "q" "r" "x" "z" 2; "e" "z" 2;
"a" "e" 3; "b" "h" "m" "n" 2; "c" "t" 3; "d" "d" "j" "q" "r" "x" "z" 2; "e" "z" 2;
"a" "e" 3; "b" "h" "m" "n" 2; "c" "t" 3; "d" "d" "j" "q" "r" "x" "z" 2; "e" "z" 2;
"a" "e" 3; "b" "h" "m" "n" 2; "c" "t" 3; "d" "d" "j" "q" "r" "x" "z" 2; "e" "z" 3;
"a" "e" 3; "b" "h" "m" "n" 2; "c" "t" 3; "d" "d" "j" "q" "r" "x" "z" 2; "e" "z" 3;
"a" "e" 3; "b" "h" "m" "n" 2; "c" "t" 3; "d" "d" "j" "q" "r" "x" "z" 2; "e" "z" 3;
"a" "e" 3; "b" "h" "m" "n" 2; "c" "t" 3; "d" "d" "j" "q" "r" "x" "z" 2; "e" "z" 3;
"a" "e" 3; "b" "h" "m" "n" 2; "c" "t" 3; "d" "d" 3; "e" "z" 3;
"a" "e" 3; "b" "h" "m" "n" 2; "c" "t" 3; "d" "d" 3; "e" "z" 3;
"a" "e" 3; "b" "h" "m" "n" 2; "c" "t" 3; "d" "d" 3; "e" "z" 3;
"a" "e" 3; "b" "h" "m" "n" 2; "c" "t" 3; "d" "d" 3; "e" "z" 3;
"a" "e" 3; "b" "h" "m" "n" 2; "c" "t" 3; "d" "d" 3; "e" "z" 3;
"a" "e" 3; "b" "h" "m" "n" 2; "c" "t" 3; "d" "d" 3; "e" "z" 3;
"a" "e" 3; "b" "h" "m" "n" 2; "c" "t" 3; "d" "d" 3; "e" "z" 3;
"a" "e" 3; "b" "h" "m" "n" 2; "c" "p" "t" 3; "d" "d" "z" 3; "e" "z" 3;
"a" "e" 3; "b" "h" "m" "n" 2; "c" "p" "t" 3; "d" "d" "z" 3; "e" "z" 3;
"a" "e" 3; "b" "h" "m" "n" 2; "c" "p" "t" 3; "d" "d" "z" 3; "e" "w" "z" 3;
"a" "e" 3; "b" "h" "m" "n" 2; "c" "p" "t" 3; "d" "d" "z" 3; "e" "w" "z" 3;
"a" "e" 3; "b" "h" "m" "n" 2; "c" "p" "t" 3; "d" "d" "z" 3; "e" "w" "z" 3;
"a" "e" 3; "b" "h" "m" "n" 2; "c" "p" "t" 3; "d" "d" "z" 3; "e" "w" "z" 3;
"a" "e" 3; "b" "d" "h" "m" "n" 2; "c" "p" 4; "d" "d" "z" 3; "e" "w" "z" 3;
"a" "e" 3; "b" "n" 3; "c" "p" 4; "d" "d" "z" 3; "e" "w" "z" 3;
"a" "e" 3; "b" "n" 3; "c" "p" 4; "d" "d" "z" 3; "e" "w" "z" 3;
"a" "e" 3; "b" "n" 3; "c" "p" 4; "d" "d" "z" 3; "e" "w" "z" 3;
"a" "e" 3; "b" "n" 3; "c" "p" 4; "d" "d" "j" "z" 3; "e" "w" "z" 3;
"a" "e" 3; "b" "n" 3; "c" "p" 4; "d" "d" "j" "z" 3; "e" "w" "z" 3;
"a" "e" 3; "b" "n" 3; "c" "p" 4; "d" "d" "j" "z" 3; "e" "w" "z" 3;
"a" "e" 3; "b" "n" 3; "c" "p" 4; "d" "d" "j" "z" 3; "e" "w" "z" 3;
"a" "e" 3; "b" "n" 3; "c" "p" 4; "d" "d" "j" "z" 3; "e" "w" "z" 3;
"a" "e" 3; "b" "n" 3; "c" "p" 4; "d" "d" "j" "z" 3; "e" "w" "z" 3;
"a" "e" 3; "b" "n" 3; "c" "p" 4; "d" "d" "j" "z" 3; "e" "w" "z" 3;
"a" "e" 3; "b" "n" 3; "c" "p" 4; "d" "d" "j" "z" 3; "e" "w" "z" 3;
"a" "e" 3; "b" "n" 3; "c" "p" 4; "d" "d" "j" "z" 3; "e" "w" "z" 3;
"a" "e" 3; "b" "n" 3; "c" "p" 4; "d" "d" "j" "z" 3; "e" "w" "z" 3;
"a" "e" 3; "b" "n" 3; "c" "p" 4; "d" "d" "j" "z" 3; "e" "w" "z" 3;
"a" "e" 3; "b" "n" 3; "c" "p" 4; "d" "d" "j" "z" 3; "e" "w" "z" 3;
"a" "e" 3; "b" "n" 3; "c" "p" 4; "d" "d" "j" "z" 3; "e" "w" "z" 3;
"a" "e" 3; "b" "n" 3; "c" "p" 4; "d" "d" "j" "z" 3; "e" "w" "z" 3;
"a" "e" 3; "b" "n" 3; "c" "p" 4; "d" "d" "j" "z" 3; "e" "w" "z" 3;
"a" "e" 3; "b" "n" 3; "c" "p" 4; "d" "d" "j" "z" 3; "e" "w" "z" 3;
"a" "e" 3; "b" "n" 3; "c" "p" 4; "d" "d" "j" "z" 3; "e" "w" "z" 3;
"a" "e" 3; "b" "n" 3; "c" "p" 4; "d" "d" "j" "z" 3; "e" "w" "z" 3;
"a" "e" 3; "b" "n" 3; "c" "p" 4; "d" "d" "j" "z" 3; "e" "w" "z" 3;
"a" "e" 3; "b" "n" 3; "c" "p" 4; "d" "d" "j" "z" 3; "e" "w" "z" 3;
"a" "e" 3; "b" "n" 3; "c" "p" 4; "d" "d" "j" "z" 3; "e" "w" "z" 3;
"a" "e" 3; "b" "n" 3; "c" "p" 4; "d" "d" "j" "z" 3; "e" "w" "z" 3;
"a" "e" 3; "b" "n" 3; "c" "p" 4; "d" "d" "j" "z" 3; "e" "w" "z" 3;
"a" "e" 3; "b" "n" 3; "c" "p" 4; "d" "d" "j" "z" 3; "e" "w" "z" 3;
"a" "e" 3; "b" "n" 3; "c" "p" 4; "d" "d" "j" "z" 3; "e" "w" "z" 3;
"a" "e" 3; "b" "n" 3; "c" "p" 4; "d" "d" "j" "z" 3; "e" "w" "z" 3;
"a" "e" 3; "b" "n" 3; "c" "p" 4; "d" "d" "j" "z" 3; "e" "w" "z" 3;
"a" "e" 3; "b" "n" 3; "c" "p" 4; "d" "d" "j" "z" 3; "e" "w" "z" 3;
"a" "e" 3; "b" "n" 3; "c" "p" 4; "d" "d" "j" "z" 3; "e" "w" "z" 3;
"a" "e" 3; "b" "n" 3; "c" "p" 4; "d" "d" "j" "z" 3; "e" "w" "z" 3;
"a" "e" 3; "b" "n" 3; "c" "p" 4; "d" "d" "j" "z" 3; "e" "w" "z" 3;
"a" "e" 3; "b" "n" 3; "c" "p" 4; "d" "d" "j" "z" 3; "e" "w" "z" 3;
"a" "e" 3; "b" "n" 3; "c" "p" 4; "d" "d" "j" "z" 3; "e" "w" "z" 3;
"a" "e" 3; "b" "n" 3; "c" "p" 4; "d" "d" "j" "z" 3; "e" "w" "z" 3;
"a" "e" 3; "b" "n" 3; "c" "p" 4; "d" "d" "j" "z" 3; "e" "w" "z" 3;
"a" "e" 3; "b" "n" 3; "c" "p" 4; "d" "d" "j" "z" 3; "e" "w" "z" 3;
"a" "e" 3; "b" "n" 3; "c" "p" 4; "d" "d" "j" "z" 3; "e" "w" "z" 3;
"a" "e" 3; "b" "n" 3; "c" "p" 4; "d" "j" 4; "e" "w" "z" 3;
"a" "e" 3; "b" "n" 3; "c" "p" 4; "d" "j" 4; "e" "w" "z" 3;
"a" "e" 3; "b" "n" 3; "c" "p" 4; "d" "j" 4; "e" "w" "z" 3;
"a" "e" "l" 3; "b" "n" 3; "c" "p" 4; "d" "j" 4; "e" "w" "z" 3;
"a" "e" "l" 3; "b" "n" 3; "c" "p" 4; "d" "j" 4; "e" "w" "z" 3;
"a" "e" "l" 3; "b" "n" 3; "c" "p" 4; "d" "j" 4; "e" "w" "z" 3;
"a" "e" "l" 3; "b" "n" 3; "c" "p" 4; "d" "j" 4; "e" "w" "z" 3;
"a" "e" "l" 3; "b" "n" 3; "c" "p" 4; "d" "j" 4; "e" "w" "z" 3;
"a" "e" "l" 3; "b" "m" "n" 3; "c" "p" 4; "d" "j" 4; "e" "w" "z" 3;
"a" "e" "l" 3; "b" "m" "n" 3; "c" "p" 4; "d" "j" 4; "e" "w" "z" 3;
"a" "e" "l" 3; "b" "m" "n" 3; "c" "p" 4; "d" "j" 4; "e" "w" "z" 3;
"a" "e" "l" 3; "b" "m" "n" 3; "c" "p" 4; "d" "j" 4; "e" "w" "z" 3;
"a" "e" "l" 3; "b" "m" "n" 3; "c" "p" 4; "d" "j" 4; "e" "w" "z" 3;
"a" "e" "l" 3; "b" "m" "n" 3; "c" "p" 4; "d" "j" 4; "e" "d" "w" "z" 3;
"a" "e" "l" 3; "b" "m" "n" 3; "c" "p" 4; "d" "j" 4; "e" "d" "w" "z" 3;
"a" "e" "l" 3; "b" "b" "m" "n" 3; "c" "p" 4; "d" "j" 4; "e" "d" "w" "z" 3;
"a" "e" "l" 3; "b" "b" "m" "n" 3; "c" "p" 4; "d" "j" 4; "e" "d" "w" "z" 3;
"a" "e" "l" 3; "b" "b" "m" "n" 3; "c" "p" 4; "d" "j" 4; "e" "d" "w" "z" 3;
"a" "e" "l" 3; "b" "b" "m" "n" 3; "c" "p" 4; "d" "j" 4; "e" "d" "w" "z" 3;
"a" "e" "l" 3; "b" "b" "m" "n" 3; "c" "p" 4; "d" "j" 4; "e" "d" "w" "z" 3;
"a" "e" "l" 3; "b" "b" "m" "n" 3; "c" "p" 4; "d" "j" 4; "e" "d" "w" "z" 3;
"a" "e" "l" 3; "b" "b" "m" "n" 3; "c" "p" 4; "d" "j" 4; "e" "d" "w" "z" 3;
"a" "e" "l" 3; "b" "b" "m" "n" 3; "c" "p" 4; "d" "j" 4; "e" "d" "w" "z" 3;
"a" "e" "l" 3; "b" "b" "m" "n" 3; "c" "p" 4; "d" "j" 4; "e" "d" "w" "z" 3;
"a" "e" "l" 3; "b" "b" "m" "n" 3; "c" "p" 4; "d" "j" 4; "e" "d" "w" "z" 3;
"a" "e" "l" 3; "b" "b" "m" "n" 3; "c" "p" 4; "d" "j" 4; "e" "d" "w" "z" 3;
"a" "e" "l" 3; "b" "b" "m" "n" 3; "c" "p" 4; "d" "j" 4; "e" "d" "w" "z" 3;
"a" "e" "l" 3; "b" "b" 4; "c" "p" 4; "d" "j" 4; "e" "d" "w" "z" 3;
"a" "e" "l" 3; "b" "b" 4; "c" "p" 4; "d" "j" 4; "e" "d" "w" "z" 3;
"a" "e" "l" 3; "b" "b" 4; "c" "p" 4; "d" "j" 4; "e" "d" "w" "z" 3;
"a" "e" "l" 3; "b" "b" 4; "c" "p" 4; "d" "j" 4; "e" "d" "w" "z" 3;
"a" "e" "l" 3; "b" "b" 4; "c" "p" 4; "d" "j" 4; "e" "d" "w" "z" 3;
"a" "e" "l" 3; "b" "b" 4; "c" "p" 4; "d" "j" 4; "e" "d" "w" "z" 3;
"a" "e" "l" 3; "b" "b" 4; "c" "p" 4; "d" "j" 4; "e" "d" "w" "z" 3;
"a" "e" "l" 3; "b" "b" 4; "c" "p" 4; "d" "j" 4; "e" "d" "w" "z" 3;
"a" "e" "l" 3; "b" "b" "n" 4; "c" "p" 4; "d" "j" 4; "e" "d" "w" "z" 3;
"a" "e" "l" 3; "b" "b" "n" 4; "c" "p" 4; "d" "j" 4; "e" "d" "w" "z" 3;
"a" "e" "l" 3; "b" "b" "n" 4; "c" "p" 4; "d" "j" 4; "e" "d" "w" "z" 3;
"a" "e" "l" 3; "b" "b" "n" 4; "c" "p" 4; "d" "j" 4; "e" "d" "w" "z" 3;
"a" "e" "l" 3; "b" "b" "n" 4; "c" "p" 4; "d" "j" 4; "e" "d" "w" "z" 3;
"a" "e" "l" 3; "b" "b" "n" 4; "c" "p" 4; "d" "j" 4; "e" "d" "w" "z" 3;
"a" "e" "l" 3; "b" "b" "n" 4; "c" "p" 4; "d" "j" 4; "e" "d" "e" "w" "z" 3;
"a" "e" "l" 3; "b" "b" "n" 4; "c" "p" 4; "d" "j" 4; "e" "d" "e" "w" "z" 3;
"a" "e" "l" 3; "b" "b" "n" 4; "c" "p" 4; "d" "j" 4; "e" "d" "e" "w" "z" 3;
"a" "e" "l" 3; "b" "b" "n" 4; "c" "p" 4; "d" "j" 4; "e" "d" "e" "w" "z" 3;
"a" "e" "l" 3; "b" "b" "n" 4; "c" "p" 4; "d" "j" 4; "e" "d" "e" "w" "z" 3;
"a" "e" "l" 3; "b" "b" "n" 4; "c" "p" 4; "d" "j" 4; "e" "d" "e" "w" "z" 3;
"a" "e" "l" 3; "b" "b" "n" 4; "c" "p" 4; "d" "j" 4; "e" "d" "e" "w" "z" 3;
"a" "e" "l" 3; "b" "b" "n" 4; "c" "p" 4; "d" "j" 4; "e" "d" "e" "w" "z" 3;
"a" "e" "l" 3; "b" "b" "n" 4; "c" "p" 4; "d" "j" 4; "e" "d" "e" "w" "z" 3;
"a" "e" "l" 3; "b" "b" "n" 4; "c" "p" 4; "d" "j" 4; "e" "d" "e" "w" "z" 3;
"a" "e" "l" 3; "b" "b" "n" 4; "c" "p" 5; "d" "j" 4; "e" "d" "e" "w" "z" 3;
"a" "e" "l" 3; "b" "b" "n" 4; "c" "p" 5; "d" "j" 4; "e" "d" "e" "w" "z" 3;
"a" "e" "l" 3; "b" "b" "n" 4; "c" "p" 5; "d" "j" 4; "e" "d" "e" "w" "z" 3;
"a" "e" "l" 3; "b" "b" "n" 4; "c" "p" 5; "d" "j" 4; "e" "d" "e" "w" "z" 3;
"a" "e" "l" 3; "b" "b" "n" 4; "c" "p" 5; "d" "j" 4; "e" "d" "e" "w" "z" 3;
"a" "e" "l" 3; "b" "b" "n" 4; "c" "p" 5; "d" "j" 4; "e" "d" "e" "w" "z" 3;
"a" "e" "l" 3; "b" "b" "n" 4; "c" "p" 5; "d" "j" 4; "e" "d" "e" "w" "z" 3;
"a" "e" "l" 3; "b" "b" "n" 4; "c" "p" 5; "d" "j" 4; "e" "d" "e" "w" "z" 3;
"a" "e" "l" 3; "b" "b" "n" 4; "c" "p" 5; "d" "j" 4; "e" "d" "e" "w" "z" 3;
"a" "e" "l" 3; "b" "b" "n" 4; "c" "p" 5; "d" "j" 4; "e" "d" "e" "w" "z" 3;
"a" "e" "l" 3; "b" "b" "m" "n" 4; "c" "p" 5; "d" "j" 4; "e" "d" "e" "w" "z" 3;
"a" "e" "l" 3; "b" "b" "m" "n" 4; "c" "p" 5; "d" "j" 4; "e" "d" "e" "l" "w" "z" 3;
"a" "e" "l" 3; "b" "b" "m" "n" 4; "c" "p" 5; "d" "j" 4; "e" "d" "e" "l" "w" "z" 3;
"a" "e" "l" 3; "b" "b" "m" "n" 4; "c" "p" 5; "d" "j" 4; "e" "d" "e" "l" "w" "z" 3;
"a" "e" "l" 3; "b" "b" "m" "n" 4; "c" "p" 5; "d" "j" 4; "e" "d" "e" "l" "w" "z" 3;
"a" "e" "l" 3; "b" "b" "m" "n" 4; "c" "p" 5; "d" "j" 4; "e" "d" "e" "l" "w" "z" 3;
"a" "e" "l" 3; "b" "b" "m" "n" 4; "c" "p" 5; "d" "j" 4; "e" "d" "e" "l" "q" "w" "z" 3;
"a" "e" "l" 3; "b" "b" "m" "n" 4; "c" "p" 5; "d" "j" 4; "e" "d" "e" "l" "q" "w" "z" 3;
"a" "e" "l" 3; "b" "b" "m" "n" 4; "c" "p" 5; "d" "j" 4; "e" "d" "e" "l" "q" "w" "z" 3;
"a" "e" "l" 3; "b" "b" "m" "n" 4; "c" "p" 5; "d" "j" 4; "e" "d" "e" "l" "q" "w" "z" 3;
"a" "e" "l" 3; "b" "b" "m" "n" 4; "c" "p" 5; "d" "j" 4; "e" "d" "e" "l" "q" "w" "z" 3;
"a" "e" "l" 3; "b" "b" "m" "n" 4; "c" "p" 5; "d" "j" 4; "e" "d" "e" "l" "q" "w" "z" 3;
