none
none
"a" "s" 1;
"a" "s" 1;
"a" "s" 1;
"a" "s" 1;
"a" "s" 1;
"a" "s" 1;
"a" "s" 1;
"a" "s" 1; "b" "s" 1;
"a" "s" 1; "b" "s" 1;
"a" "s" 1; "b" "s" "x" 1;
"a" "s" 1; "b" "s" "x" 1;
"a" "s" 1; "b" "s" "x" 1; "e" "x" 1;
"a" "s" 1; "b" "s" "x" 1; "e" "x" 1;
"a" "s" 1; "b" "s" "x" 1; "c" "x" 1; "e" "x" 1;
"a" "s" 1; "b" "s" "x" 1; "c" "x" 1; "e" "x" 1;
"a" "s" 1; "b" "s" "x" 1; "c" "x" 1; "e" "x" 1;
"a" "s" "v" 1; "b" "x" 2; "c" "x" 1; "e" "x" 1;
"a" "o" "s" "v" 1; "b" "x" 2; "c" "x" 1; "e" "x" 1;
"a" "o" "s" "v" 1; "b" "x" 2; "c" "x" 1; "e" "x" 1;
"a" "o" "s" "v" 1; "b" "x" 2; "c" "x" 1; "e" "x" 1;
"a" "o" "s" "v" 1; "b" "x" 2; "c" "x" 1; "e" "x" 1;
"a" "o" "s" "v" 1; "b" "x" 2; "c" "x" 1; "e" "x" 1;
"a" "o" "s" "v" 1; "b" "x" 2; "c" "x" 1; "e" "x" 1;
"a" "o" "s" "v" 1; "b" "x" 2; "c" "x" 1; "e" "x" 1;
"a" "o" "s" "v" 1; "b" "s" "x" 2; "c" "x" 1; "e" "x" 1;
"a" "a" "u" "w" 2; "b" "s" 3; "c" "a" 3; "d" "m" 2; "e" "h" 2;
"a" "a" "u" "w" 2; "b" "s" 3; "c" "a" 3; "d" "m" 2; "e" "h" 2;
"a" "a" "u" "w" 2; "b" "s" 3; "c" "a" 3; "d" "m" 2; "e" "h" 2;
"a" "a" "u" "w" 2; "b" "s" 3; "c" "a" 3; "d" "m" 2; "e" "h" 2;
"a" "a" "u" "w" 2; "b" "s" 3; "c" "a" 3; "d" "m" 3; "e" "h" 2;
"a" "a" "u" "w" 2; "b" "s" 3; "c" "a" 4; "d" "m" 3; "e" "h" 2;
"a" "a" "u" "w" 2; "b" "s" 3; "c" "a" 4; "d" "m" 3; "e" "h" 2;
"a" "a" "u" "w" 2; "b" "s" 3; "c" "a" 4; "d" "m" 3; "e" "h" 2;
"a" "a" "u" "w" 2; "b" "s" 3; "c" "a" 4; "d" "m" 3; "e" "h" 2;
"a" "a" "u" "w" 2; "b" "s" 3; "c" "a" 4; "d" "m" 3; "e" "h" 2;
"a" "a" "u" "w" 2; "b" "s" 3; "c" "a" 4; "d" "m" 3; "e" "h" 2;
"a" "a" "u" "w" 2; "b" "s" 3; "c" "a" 4; "d" "m" 3; "e" "h" 2;
"a" "a" "u" "w" 2; "b" "s" 3; "c" "a" 4; "d" "m" 3; "e" "h" 2;
"a" "a" "u" "w" 2; "b" "s" 3; "c" "a" 4; "d" "m" 3; "e" "h" 2;
"a" "a" "u" "w" 2; "b" "s" 3; "c" "a" 4; "d" "m" 3; "e" "h" 2;
"a" "a" "u" "w" 2; "b" "s" 3; "c" "a" 4; "d" "m" 3; "e" "h" 2;
"a" "a" "u" "w" 2; "b" "s" 3; "c" "a" 4; "d" "m" 3; "e" "h" 2;
"a" "a" "u" "w" 2; "b" "s" 3; "c" "a" 4; "d" "m" 3; "e" "h" 2;
"a" "a" "u" "w" 2; "b" "s" 3; "c" "a" 4; "d" "m" 3; "e" "h" 2;
"a" "a" "u" "w" 2; "b" "s" 3; "c" "a" 4; "d" "m" 3; "e" "h" 2;
"a" "a" "g" "u" "w" 2; "b" "s" 3; "c" "a" 4; "d" "m" 3; "e" "h" 2;
"a" "a" "g" "u" "w" 2; "b" "s" 3; "c" "a" 4; "d" "m" 3; "e" "h" 2;
"a" "a" "g" "u" "w" 2; "b" "s" 3; "c" "a" 4; "d" "m" 3; "e" "h" 2;
"a" "a" "g" "u" "w" 2; "b" "s" 3; "c" "a" 4; "d" "m" 3; "e" "h" 2;
"a" "w" 3; "b" "s" 3; "c" "a" 4; "d" "m" 3; "e" "h" 2;
"a" "w" 3; "b" "s" 3; "c" "a" 4; "d" "m" 3; "e" "h" 2;
"a" "w" 3; "b" "s" 3; "c" "a" 4; "d" "m" 3; "e" "h" 2;
"a" "w" 3; "b" "s" 3; "c" "a" 4; "d" "m" 3; "e" "h" 2;
"a" "w" 3; "b" "s" 3; "c" "a" 4; "d" "m" 3; "e" "h" 2;
"a" "w" 3; "b" "s" 3; "c" "a" 4; "d" "m" 3; "e" "h" 2;
"a" "w" 3; "b" "s" 3; "c" "a" 4; "d" "m" 3; "e" "h" 2;
"a" "w" 3; "b" "s" 3; "c" "a" 4; "d" "m" 3; "e" "h" 2;
"a" "w" 3; "b" "s" 3; "c" "a" 4; "d" "m" 3; "e" "h" 2;
"a" "w" 3; "b" "s" 3; "c" "a" 4; "d" "m" 3; "e" "h" 2;
"a" "w" 3; "b" "s" 3; "c" "a" 4; "d" "m" 3; "e" "h" 2;
"a" "w" 3; "b" "s" 3; "c" "a" 4; "d" "m" 3; "e" "h" 2;
"a" "w" 3; "b" "s" 3; "c" "a" 4; "d" "m" 3; "e" "h" 2;
"a" "w" 3; "b" "s" 4; "c" "a" 4; "d" "m" 3; "e" "h" 2;
"a" "w" 3; "b" "s" 4; "c" "a" 4; "d" "m" 3; "e" "h" 2;
"a" "w" 3; "b" "s" 4; "c" "a" 4; "d" "m" 3; "e" "h" 2;
"a" "w" 3; "b" "s" 4; "c" "a" 4; "d" "m" 3; "e" "h" 2;
"a" "w" 3; "b" "s" 4; "c" "a" 4; "d" "m" 3; "e" "h" 2;
"a" "w" 3; "b" "s" 4; "c" "a" 4; "d" "m" 3; "e" "h" 2;
"a" "w" 3; "b" "s" 4; "c" "a" 4; "d" "m" 3; "e" "h" 3;
"a" "w" 3; "b" "s" 4; "c" "a" 4; "d" "m" 3; "e" "h" 3;
"a" "w" 3; "b" "s" 4; "c" "a" 4; "d" "m" 3; "e" "h" 3;
"a" "w" 3; "b" "s" 4; "c" "a" 4; "d" "m" 3; "e" "h" "x" 3;
"a" "w" 3; "b" "s" 4; "c" "a" 4; "d" "m" 3; "e" "h" "x" 3;
"a" "w" 3; "b" "s" 4; "c" "a" 4; "d" "c" "m" 3; "e" "h" "x" 3;
"a" "w" 3; "b" "s" 5; "c" "a" 4; "d" "c" "m" 3; "e" "x" 4;
"a" "w" 4; "b" "s" 5; "c" "a" 4; "d" "c" "m" 3; "e" "x" 4;
"a" "w" 4; "b" "s" 5; "c" "a" 4; "d" "c" "m" "x" 3; "e" "x" 4;
"a" "w" 4; "b" "s" 5; "c" "a" 4; "d" "c" "m" "x" 3; "e" "x" 4;
"a" "w" 4; "b" "s" 5; "c" "a" 4; "d" "c" "m" "x" 3; "e" "x" 4;
"a" "w" 4; "b" "s" 5; "c" "a" 4; "d" "c" "m" "x" 3; "e" "x" 4;
"a" "w" 4; "b" "s" 5; "c" "a" 4; "d" "c" "m" "x" 3; "e" "x" 4;
"a" "w" 4; "b" "s" 5; "c" "a" 4; "d" "c" "m" "x" 3; "e" "x" 4;
"a" "w" 4; "b" "s" 5; "c" "a" 4; "d" "c" "h" "m" "x" 3; "e" "x" 4;
"a" "w" 4; "b" "s" 5; "c" "a" 4; "d" "c" "h" "m" "x" 3; "e" "x" 4;
"a" "w" 4; "b" "s" 5; "c" "a" 4; "d" "c" "h" "m" "x" 3; "e" "x" 4;
"a" "w" 4; "b" "s" 5; "c" "a" 4; "d" "c" "h" "m" "x" 3; "e" "x" 4;
"a" "w" 4; "b" "s" 5; "c" "a" 4; "d" "h" 4; "e" "x" 4;
"a" "w" 4; "b" "s" 5; "c" "a" 4; "d" "h" 4; "e" "x" 4;
"a" "w" 4; "b" "s" 5; "c" "a" 4; "d" "h" 4; "e" "x" 4;
"a" "w" 4; "b" "s" 5; "c" "a" 4; "d" "h" 4; "e" "x" 4;
"a" "w" 4; "b" "s" 5; "c" "a" 4; "d" "h" 4; "e" "x" 4;
"a" "w" 4; "b" "s" 5; "c" "a" 4; "d" "h" 4; "e" "x" 4;
"a" "w" 4; "b" "s" 5; "c" "a" 4; "d" "h" 4; "e" "x" 4;
"a" "w" 4; "b" "s" 5; "c" "a" 4; "d" "h" 4; "e" "x" 4;
"a" "w" 4; "b" "s" 5; "c" "a" 4; "d" "h" 4; "e" "x" 4;
"a" "w" 4; "b" "s" 5; "c" "a" 4; "d" "h" 4; "e" "x" 4;
"a" "w" 5; "b" "s" 5; "c" "a" 4; "d" "h" 4; "e" "x" 4;
"a" "w" 5; "b" "s" 5; "c" "a" 4; "d" "h" 4; "e" "x" 4;
"a" "w" 5; "b" "s" 5; "c" "a" 4; "d" "h" 4; "e" "x" 4;
"a" "w" 5; "b" "s" 5; "c" "a" 4; "d" "h" 4; "e" "x" 4;
"a" "w" 5; "b" "s" 5; "c" "a" 4; "d" "h" 4; "e" "x" 4;
"a" "w" 5; "b" "s" 5; "c" "a" 4; "d" "h" 4; "e" "x" 4;
"a" "w" 5; "b" "s" 5; "c" "a" 4; "d" "h" 4; "e" "x" 4;
"a" "w" 5; "b" "s" 5; "c" "a" 4; "d" "h" 4; "e" "x" 4;
"a" "w" 5; "b" "s" 5; "c" "a" 4; "d" "h" 4; "e" "x" 4;
"a" "w" 5; "b" "s" 5; "c" "a" 4; "d" "h" 4; "e" "x" 4;
"a" "w" 5; "b" "s" 5; "c" "a" 4; "d" "h" 4; "e" "x" 4;
"a" "w" 5; "b" "s" 5; "c" "a" 4; "d" "h" 4; "e" "x" 4;
"a" "w" 5; "b" "s" 5; "c" "a" 4; "d" "h" 4; "e" "x" 4;
"a" "w" 5; "b" "s" 5; "c" "a" 4; "d" "h" 4; "e" "x" 4;
"a" "w" 5; "b" "s" 6; "c" "a" 4; "d" "h" 4; "e" "x" 4;
"a" "w" 5; "b" "s" 6; "c" "a" 4; "d" "h" 4; "e" "x" 4;
"a" "w" 5; "b" "s" 6; "c" "a" 4; "d" "h" 4; "e" "x" 4;
"a" "w" 5; "b" "s" 6; "c" "a" 4; "d" "h" 4; "e" "x" 4;
"a" "w" 5; "b" "s" 6; "c" "a" 4; "d" "h" 4; "e" "x" 4;
"a" "w" 5; "b" "s" 6; "c" "a" 4; "d" "h" 4; "e" "x" 4;
"a" "w" 5; "b" "s" 6; "c" "a" 4; "d" "h" "s" 4; "e" "x" 4;
"a" "w" 5; "b" "s" 6; "c" "a" 4; "d" "h" "s" 4; "e" "x" 4;
"a" "w" 5; "b" "s" 6; "c" "a" 4; "d" "h" "s" 4; "e" "x" 4;
"a" "w" 5; "b" "s" 6; "c" "a" 4; "d" "h" "s" 4; "e" "x" 4;
"a" "w" 5; "b" "s" 6; "c" "a" 4; "d" "h" "s" 4; "e" "x" 4;
"a" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 4;
"a" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 4;
"a" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 4;
"a" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 4;
"a" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 4;
"a" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 4;
"a" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 4;
"a" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 4;
"a" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 4;
"a" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 4;
"a" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 4;
"a" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 4;
"a" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 4;
"a" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 4;
"a" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 4;
"a" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 4;
"a" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 4;
"a" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 4;
"a" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 4;
"a" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 4;
"a" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 4;
"a" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 4;
"a" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 4;
"a" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 4;
"a" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 4;
"a" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 4;
"a" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 4;
"a" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 4;
"a" "t" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 5;
"a" "t" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 5;
"a" "t" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 5;
"a" "t" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 5;
"a" "t" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 5;
"a" "t" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 5;
"a" "t" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 5;
"a" "t" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 5;
"a" "t" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 5;
"a" "t" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 5;
"a" "t" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 5;
"a" "t" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 5;
"a" "t" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 5;
"a" "t" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 5;
"a" "t" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 5;
"a" "t" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 5;
"a" "t" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 5;
"a" "t" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 5;
"a" "t" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 5;
"a" "t" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 5;
"a" "t" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 5;
"a" "t" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 5;
"a" "t" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 5;
"a" "t" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 5;
"a" "t" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 5;
"a" "t" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 5;
"a" "t" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 5;
"a" "t" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 5;
"a" "t" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 5;
"a" "t" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 5;
"a" "t" "w" 5; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 5;
"a" "w" 6; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 5;
"a" "w" 6; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 5;
"a" "w" 6; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 5;
"a" "w" 6; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 5;
"a" "w" 6; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 5;
"a" "w" 6; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 5;
"a" "w" 6; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 5;
"a" "w" 6; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 5;
"a" "w" 6; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 5;
"a" "w" 6; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 5;
"a" "w" 6; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "x" 5;
"a" "w" 6; "b" "s" 6; "c" "a" 5; "d" "h" "s" 4; "e" "a" "x" 5;
"a" "w" 6; "b" "s" 6; "c" "a" 6; "d" "h" "p" "s" 4; "e" "a" "x" 5;
"a" "w" 6; "b" "s" 6; "c" "a" 6; "d" "h" "p" "s" 4; "e" "a" "x" 5;
"a" "w" 6; "b" "s" 6; "c" "a" 6; "d" "h" "p" "s" 4; "e" "a" "x" 5;
"a" "w" 6; "b" "s" 6; "c" "a" 6; "d" "h" "p" "s" 4; "e" "a" "x" 5;
"a" "w" 6; "b" "s" 6; "c" "a" 6; "d" "h" "p" "s" 4; "e" "a" "x" 5;
"a" "w" 6; "b" "s" 6; "c" "a" 6; "d" "h" "p" "s" 4; "e" "a" "x" 5;
"a" "w" 6; "b" "s" 6; "c" "a" 6; "d" "h" "p" "s" 4; "e" "a" "x" 5;
"a" "w" 6; "b" "s" 6; "c" "a" 6; "d" "h" "p" "s" 4; "e" "a" "x" 5;
"a" "w" 6; "b" "s" 6; "c" "a" 6; "d" "h" "p" "s" 4; "e" "a" "x" 5;
"a" "t" 5; "b" "s" 5; "c" "a" 6; "d" "h" "p" "s" 4; "e" "a" "x" 5;
"a" "t" 5; "b" "s" 5; "c" "a" 6; "d" "h" "p" "s" 4; "e" "a" "x" 5;
"a" "t" 5; "b" "s" 5; "c" "a" 6; "d" "h" "p" "s" 4; "e" "a" "x" 5;
"a" "t" 5; "b" "s" 5; "c" "a" 6; "d" "h" "p" "s" 4; "e" "a" "x" 5;
"a" "t" 5; "b" "s" 5; "c" "a" 6; "d" "h" "p" "s" 4; "e" "a" "x" 5;
"a" "t" 5; "b" "s" 5; "c" "a" 6; "d" "h" "p" "s" 4; "e" "a" "x" 5;
"a" "t" 5; "b" "s" 5; "c" "a" 6; "d" "h" "p" "s" 4; "e" "a" "x" 5;
"a" "t" 5; "b" "s" 5; "c" "a" 6; "d" "h" "p" "s" 4; "e" "a" "x" 5;
"a" "t" 5; "b" "s" 5; "c" "a" 6; "d" "h" "p" "s" 4; "e" "a" "x" 5;
"a" "t" 5; "b" "s" 5; "c" "a" 6; "d" "h" "p" "s" 4; "e" "a" "x" 5;
"a" "t" 5; "b" "s" 5; "c" "a" 6; "d" "h" "p" "s" 4; "e" "a" "x" 5;
"a" "t" 5; "b" "s" 5; "c" "a" 6; "d" "h" "p" "s" 4; "e" "a" "x" 5;
"a" "t" 5; "b" "s" 5; "c" "a" 6; "d" "h" "p" "s" 4; "e" "a" "x" 5;
"a" "t" 5; "b" "s" 5; "c" "a" 6; "d" "h" "p" "s" 4; "e" "a" "x" 5;
"a" "t" 5; "b" "s" 5; "c" "a" 6; "d" "h" "p" "s" 4; "e" "a" "h" "x" 5;
"a" "t" 5; "b" "s" 5; "c" "a" 6; "d" "h" "p" "s" 4; "e" "a" "h" "x" 5;
"a" "t" 5; "b" "s" 5; "c" "a" 6; "d" "h" "p" "s" 4; "e" "a" "h" "x" 5;
"a" "t" 5; "b" "s" 5; "c" "a" 6; "d" "h" "p" "s" "x" 4; "e" "a" "h" "x" 5;
"a" "t" 5; "b" "s" 5; "c" "a" 6; "d" "h" "p" "s" "x" 4; "e" "a" "h" "x" 5;
"a" "t" 5; "b" "s" 5; "c" "a" 6; "d" "h" "p" "s" "x" 4; "e" "a" "h" "x" 5;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "h" "p" "s" "x" 4; "e" "a" "h" "x" 5;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "h" "p" "s" "x" 4; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "h" "p" "s" "x" 4; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "h" "p" "s" "x" 4; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "h" "p" "s" "x" 4; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "h" "p" "s" "x" 4; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "h" "p" "s" "x" 4; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "h" "p" "s" "x" 4; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "h" "p" "s" "x" 4; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "h" "p" "s" "x" 4; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "h" "p" "s" "x" 4; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "h" "p" "s" "x" 4; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "h" "p" "s" "x" 4; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "h" "p" "s" "x" 4; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "h" "p" "s" "x" 4; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "h" "p" "s" "x" 4; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "h" "k" "p" "s" "x" 4; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "h" "k" "p" "s" "x" 4; "e" "x" 6;
