none
none
none
none
none
none
none
none
none
none
none
none
none
none
"c" "k" 1;
"c" "k" 1;
"c" "k" 1; "d" "u" 1;
"b" "m" 1; "c" "k" 1; "d" "l" "u" 1;
"b" "m" 1; "c" "k" 1; "d" "l" "u" 1;
"b" "m" 1; "c" "k" 1; "d" "l" "u" 1;
"b" "m" 1; "c" "k" 1; "d" "l" "u" 1;
"a" "d" 1; "b" "m" 1; "c" "k" "l" 1; "d" "l" "u" 1;
"a" "d" 1; "b" "m" 1; "c" "k" "l" 1; "d" "l" "u" 1;
"a" "d" 1; "b" "m" 1; "c" "k" "l" 1; "d" "l" "u" 1;
"a" "d" 1; "b" "m" 1; "c" "k" "l" 1; "d" "l" "u" 1;
"a" "d" 1; "b" "m" 1; "c" "k" "l" 1; "d" "l" "u" 1;
"a" "d" 1; "b" "m" 1; "c" "k" "l" 1; "d" "l" "u" 1;
"a" "d" 1; "b" "m" 1; "c" "f" "k" "l" 1; "d" "l" "u" 1;
"a" "d" "v" 1; "b" "e" "f" "h" "l" "m" "t" 1; "c" "f" "k" "l" "m" "n" 1; "d" "d" "g" "l" "o" "t" "u" 1; "e" "e" 1;
"a" "d" "k" "v" 1; "b" "e" 2; "c" "f" "k" "l" "m" "n" 1; "d" "d" "g" "l" "o" "t" "u" 1; "e" "e" "s" "u" 1;
"a" "d" "k" "v" 1; "b" "e" 2; "c" "f" "k" "l" "m" "n" 1; "d" "d" "g" "l" "o" "t" "u" 1; "e" "e" "s" "u" 1;
"a" "d" "k" "v" 1; "b" "e" 2; "c" "f" 2; "d" "d" "g" "l" "o" "t" "u" 1; "e" "e" "q" "s" "u" 1;
"a" "d" "k" "s" "v" 1; "b" "e" 2; "c" "f" 2; "d" "d" "g" "l" "o" "t" "u" 1; "e" "e" "q" "s" "u" 1;
"a" "d" "k" "s" "v" 1; "b" "e" 2; "c" "f" 2; "d" "d" "g" "l" "o" "t" "u" 1; "e" "e" "q" "s" "u" 1;
"a" "d" "k" "s" "v" 1; "b" "e" 2; "c" "f" 2; "d" "d" "g" "l" "o" "t" "u" 1; "e" "e" "q" "s" "u" 1;
"a" "d" "k" "s" "v" 1; "b" "e" 2; "c" "f" 2; "d" "d" "g" "l" "o" "t" "u" 1; "e" "e" "q" "s" "u" 1;
"a" "d" "k" "s" "v" 1; "b" "e" 2; "c" "f" 2; "d" "d" "g" "l" "o" "t" "u" 1; "e" "e" "q" "s" "u" 1;
"a" "d" "k" "s" "v" 1; "b" "e" 2; "c" "f" 2; "d" "d" "g" "l" "o" "t" "u" 1; "e" "e" "p" "q" "s" "u" 1;
"a" "d" "k" "s" "v" 1; "b" "e" 2; "c" "f" 2; "d" "d" "g" "l" "o" "t" "u" 1; "e" "e" "p" "q" "s" "u" 1;
"a" "d" "k" "s" "v" 1; "b" "e" 2; "c" "f" 2; "d" "d" "g" "l" "o" "t" "u" 1; "e" "e" "g" "p" "q" "s" "u" 1;
"a" "d" "k" "s" "v" 1; "b" "e" 2; "c" "f" 2; "d" "d" "g" "l" "o" "t" "u" 1; "e" "e" "g" "p" "q" "s" "u" 1;
"a" "d" "k" "s" "v" 1; "b" "e" 2; "c" "f" 2; "d" "d" "g" "l" "o" "t" "u" 1; "e" "e" "g" "p" "q" "s" "u" 1;
"a" "d" "k" "s" "v" 1; "b" "e" 2; "c" "f" 2; "d" "d" "g" "l" "o" "t" "u" 1; "e" "e" "g" "p" "q" "s" "u" 1;
"a" "d" "k" "s" "v" 1; "b" "e" 2; "c" "f" 2; "d" "d" "g" "l" "o" "t" "u" 1; "e" "g" 2;
"a" "d" "k" "s" "v" 1; "b" "e" 2; "c" "f" 2; "d" "d" "g" "l" "o" "t" "u" 1; "e" "g" 2;
"a" "d" "k" "s" "v" 1; "b" "e" 2; "c" "f" 2; "d" "d" "g" "l" "o" "t" "u" 1; "e" "g" 2;
"a" "d" "k" "s" "v" 1; "b" "e" 2; "c" "f" 2; "d" "d" "g" "l" "o" "t" "u" 1; "e" "g" 2;
"a" "d" "k" "l" "s" "v" 1; "b" "e" "l" 2; "c" "f" 2; "d" "d" "g" "l" "o" "t" "u" 1; "e" "g" 2;
"a" "d" "k" "l" "s" "v" 1; "b" "e" "h" "l" 2; "c" "f" 2; "d" "d" "g" "l" "o" "t" "u" 1; "e" "g" 2;
"a" "d" "k" "l" "s" "v" "z" 1; "b" "e" "h" "l" 2; "c" "f" 2; "d" "d" "g" "l" "o" "t" "u" 1; "e" "g" 2;
"a" "d" "k" "l" "s" "v" "z" 1; "b" "e" "h" "l" 2; "c" "f" 2; "d" "d" "g" "l" "o" "t" "u" 1; "e" "g" 2;
"a" "d" "k" "l" "s" "v" "z" 1; "b" "e" "h" "l" 2; "c" "f" 2; "d" "d" "g" "l" "o" "t" "u" 1; "e" "g" 2;
"a" "d" "k" "l" "s" "v" "z" 1; "b" "e" "h" "l" 2; "c" "f" 2; "d" "d" "g" "l" "o" "t" "u" 1; "e" "g" 2;
"a" "d" "k" "l" "s" "v" "z" 1; "b" "e" "h" "l" 2; "c" "f" 2; "d" "g" "l" "o" "t" "u" "w" "y" 1; "e" "g" 2;
"a" "d" "k" "l" "s" "v" "z" 1; "b" "e" "h" "l" 2; "c" "a" "f" 2; "d" "g" "l" "o" "t" "u" "w" "y" 1; "e" "g" 2;
"a" "d" "k" "l" "s" "v" "z" 1; "b" "e" "h" "l" 2; "c" "a" "f" 2; "d" "g" "l" "o" "t" "u" "w" "y" 1; "e" "g" 2;
"a" "d" "k" "l" "s" "v" "z" 1; "b" "e" "h" "l" 2; "c" "a" 3; "d" "g" "l" "o" "t" "u" "w" "y" 1; "e" "g" 2;
"a" "d" "k" "l" "s" "v" "z" 1; "b" "e" "h" "l" 2; "c" "a" 3; "d" "g" "l" "o" "t" "u" "w" "y" 1; "e" "g" 2;
"a" "d" "k" "l" "s" "v" "z" 1; "b" "e" "h" "l" 2; "c" "a" 3; "d" "g" "l" "o" "t" "u" "w" "y" 1; "e" "g" 2;
"a" "d" "f" "k" "l" "s" "v" "z" 1; "b" "e" "h" "l" 2; "c" "a" 3; "d" "g" "l" "o" "t" "u" "w" "y" 1; "e" "g" 2;
"a" "d" "f" "k" "l" "s" "v" "z" 1; "b" "e" "h" "l" 2; "c" "a" 3; "d" "g" "l" "o" "t" "u" "w" "y" 1; "e" "g" 2;
"a" "d" "f" "k" "l" "s" "v" "z" 1; "b" "e" "f" "h" "l" 2; "c" "a" 3; "d" "g" "l" "o" "t" "u" "w" "y" 1; "e" "g" 2;
"a" "d" "f" "k" "l" "s" "t" "v" "z" 1; "b" "e" "f" "h" "l" 2; "c" "a" 3; "d" "g" "l" "o" "t" "u" "w" "y" 1; "e" "g" 2;
"a" "d" "f" "k" "l" "s" "t" "v" "z" 1; "b" "e" "f" "h" "l" 2; "c" "a" 3; "d" "g" "l" "o" "t" "u" "w" "y" 1; "e" "g" 2;
"a" "d" "f" "k" "l" "s" "t" "v" "z" 1; "b" "e" "f" "h" "l" 2; "c" "a" 3; "d" "g" "l" "o" "t" "u" "w" "y" 1; "e" "g" 2;
"a" "d" "f" "k" "l" "s" "t" "v" "z" 1; "b" "e" "f" "h" "l" 2; "c" "a" 3; "d" "g" "l" "o" "t" "u" "w" "y" 1; "e" "g" 2;
"a" "d" "f" "k" "l" "s" "t" "v" "z" 1; "b" "e" "f" "h" "l" 2; "c" "a" 3; "d" "g" "l" "o" "t" "u" "w" "y" 1; "e" "g" 2;
"a" "d" "f" "k" "l" "s" "t" "v" "z" 1; "b" "e" "f" "h" "l" 2; "c" "a" 3; "d" "g" "l" "o" "t" "u" "w" "y" 1; "e" "g" 2;
"a" "d" "f" "k" "l" "s" "t" "v" "z" 1; "b" "e" "f" "h" "l" 2; "c" "a" 3; "d" "g" "l" "o" "t" "u" "w" "y" 1; "e" "g" 2;
"a" "d" "f" "k" "l" "s" "t" "v" "z" 1; "b" "e" "f" "h" "l" 2; "c" "a" 3; "d" "g" "l" "o" "t" "u" "w" "y" 1; "e" "g" 2;
"a" "d" "f" "k" "l" "s" "t" "v" "z" 1; "b" "e" "f" "h" "l" 2; "c" "a" 3; "d" "g" "l" "o" "t" "u" "w" "y" 1; "e" "g" 2;
"a" "f" 2; "b" "e" "f" "h" "l" 2; "c" "a" 3; "d" "g" "l" "o" "t" "u" "w" "y" 1; "e" "g" 2;
"a" "f" 2; "b" "e" "f" "h" "l" 2; "c" "a" 3; "d" "g" "l" "o" "t" "u" "w" "y" 1; "e" "g" 2;
"a" "f" 2; "b" "h" 3; "c" "a" 3; "d" "g" "l" "o" "t" "u" "w" "y" 1; "e" "g" 2;
"a" "f" 2; "b" "h" 3; "c" "a" 3; "d" "g" "l" "o" "t" "u" "w" "y" 1; "e" "g" 2;
"a" "f" 2; "b" "h" 3; "c" "a" 3; "d" "g" "l" "o" "t" "u" "w" "y" 1; "e" "g" "q" 2;
"a" "f" 2; "b" "h" 3; "c" "a" 3; "d" "g" "l" "o" "t" "u" "w" "y" 1; "e" "q" 3;
"a" "f" 2; "b" "h" 3; "c" "a" 3; "d" "g" "l" "o" "t" "u" "w" "y" 1; "e" "q" 3;
"a" "f" 2; "b" "h" 3; "c" "a" 3; "d" "g" "l" "o" "t" "u" "w" "y" 1; "e" "q" 3;
"a" "f" 2; "b" "h" 3; "c" "a" 3; "d" "g" "l" "o" "t" "u" "w" "y" 1; "e" "q" 3;
"a" "f" 2; "b" "h" 3; "c" "a" 3; "d" "g" "l" "o" "t" "u" "w" "y" 1; "e" "q" 3;
"a" "f" 2; "b" "h" 3; "c" "a" 3; "d" "g" "l" "o" "t" "u" "w" "y" 1; "e" "q" 3;
"a" "f" 2; "b" "h" 3; "c" "a" 3; "d" "g" "l" "o" "t" "u" "w" "y" 1; "e" "q" 3;
"a" "f" 2; "b" "h" 3; "c" "a" 3; "d" "g" "l" "o" "t" "u" "w" "y" 1; "e" "q" 3;
"a" "f" 2; "b" "h" 3; "c" "a" 3; "d" "g" "l" "o" "t" "u" "w" "y" 1; "e" "q" 3;
"a" "f" 2; "b" "h" 3; "c" "a" 3; "d" "g" "l" "o" "t" "u" "w" "y" 1; "e" "q" 3;
"a" "f" "v" 2; "b" "h" 3; "c" "a" 3; "d" "g" "l" "o" "t" "u" "w" "y" 1; "e" "q" 3;
"a" "a" "f" "v" 2; "b" "h" 3; "c" "a" 3; "d" "t" 2; "e" "q" 3;
"a" "a" "f" "v" 2; "b" "h" 3; "c" "a" 3; "d" "t" 2; "e" "q" 3;
"a" "a" "f" "v" 2; "b" "h" 3; "c" "a" 3; "d" "t" 2; "e" "q" 3;
"a" "a" "f" "v" 2; "b" "h" 3; "c" "a" 3; "d" "l" "t" 2; "e" "q" 3;
"a" "a" "f" "v" 2; "b" "h" 3; "c" "a" 3; "d" "l" "t" 2; "e" "q" 3;
"a" "a" "f" "v" 2; "b" "h" 3; "c" "a" 3; "d" "l" "t" 2; "e" "q" 3;
"a" "a" "f" "v" 2; "b" "h" 3; "c" "a" 3; "d" "l" "t" 2; "e" "q" 3;
"a" "a" "f" "v" 2; "b" "h" 3; "c" "a" 3; "d" "l" "t" 2; "e" "q" 3;
"a" "a" "f" "s" "v" 2; "b" "h" 3; "c" "a" 3; "d" "l" "t" 2; "e" "q" 3;
"a" "a" "f" "s" "v" "z" 2; "b" "h" 3; "c" "a" 3; "d" "l" "t" 2; "e" "q" 3;
"a" "a" "f" "s" "v" "z" 2; "b" "h" 3; "c" "a" 3; "d" "l" "t" 2; "e" "q" 3;
"a" "a" "f" "s" "v" "z" 2; "b" "h" 3; "c" "a" 3; "d" "l" "t" 2; "e" "q" 3;
"a" "a" "f" "s" "v" "z" 2; "b" "h" 3; "c" "a" 3; "d" "l" "t" 2; "e" "q" 3;
"a" "a" "f" "s" "v" "z" 2; "b" "h" 3; "c" "a" 3; "d" "l" "t" 2; "e" "q" 3;
"a" "a" "f" "s" "v" "z" 2; "b" "h" 3; "c" "a" 3; "d" "l" "t" 2; "e" "q" 3;
"a" "a" "f" "i" "s" "v" "z" 2; "b" "h" 3; "c" "a" 3; "d" "l" "t" 2; "e" "q" "y" 3;
"a" "a" "f" "i" "s" "v" "z" 2; "b" "e" "f" "h" "p" 3; "c" "a" 3; "d" "l" "t" 2; "e" "q" "y" 3;
"a" "a" "f" "i" "s" "v" "z" 2; "b" "e" "f" "h" "p" 3; "c" "a" 3; "d" "l" "t" 2; "e" "q" "y" 3;
"a" "a" "f" "i" "s" "v" "z" 2; "b" "e" "f" "h" "p" 3; "c" "a" 3; "d" "l" "t" 2; "e" "q" "y" 3;
"a" "a" "f" "i" "s" "v" "z" 2; "b" "e" "f" "h" "p" 3; "c" "a" 3; "d" "l" "t" 2; "e" "q" "y" 3;
"a" "a" "f" "i" "s" "v" "z" 2; "b" "e" "f" "h" "p" 3; "c" "a" 3; "d" "l" "t" 2; "e" "q" "y" 3;
"a" "a" "f" "i" "s" "v" "z" 2; "b" "e" "f" "h" "p" 3; "c" "a" 3; "d" "l" "t" 2; "e" "q" "y" 3;
"a" "a" "f" "i" "s" "v" "z" 2; "b" "e" "f" "h" "p" 3; "c" "a" 3; "d" "l" "t" 2; "e" "q" "y" 3;
"a" "a" "f" "i" "s" "v" "z" 2; "b" "e" "f" "h" "p" 3; "c" "a" 3; "d" "l" "t" 2; "e" "q" "y" 3;
"a" "a" "f" "i" "s" "v" "z" 2; "b" "e" "f" "h" "p" 3; "c" "a" 3; "d" "l" "t" 2; "e" "q" "y" 3;
"a" "a" "f" "i" "s" "v" "z" 2; "b" "e" "f" "h" "p" 3; "c" "a" 3; "d" "l" "t" 2; "e" "q" "y" 3;
"a" "a" "f" "i" "s" "v" "z" 2; "b" "e" "f" "h" "p" 3; "c" "a" 3; "d" "l" "t" 2; "e" "q" "y" 3;
"a" "a" "f" "i" "s" "v" "z" 2; "b" "e" "f" "h" "p" 3; "c" "a" 3; "d" "l" "t" 2; "e" "q" "y" 3;
"a" "a" "f" "i" "s" "v" "z" 2; "b" "e" "f" "h" "p" 3; "c" "a" 3; "d" "l" "t" 2; "e" "q" "y" 3;
"a" "a" "f" "i" "l" "s" "v" "z" 2; "b" "e" "f" "h" "p" 3; "c" "a" 3; "d" "l" "t" 2; "e" "q" "y" 3;
"a" "a" "f" "i" "l" "s" "v" "z" 2; "b" "e" "f" "h" "p" 3; "c" "a" "f" 3; "d" "l" "t" 2; "e" "q" "y" 3;
"a" "a" "f" "i" "l" "s" "v" "z" 2; "b" "e" "f" "h" "p" 3; "c" "a" "f" 3; "d" "l" "t" 2; "e" "q" "y" 3;
"a" "a" "f" "i" "l" "s" "v" "z" 2; "b" "e" "f" "h" "p" 3; "c" "a" "f" 3; "d" "l" "t" 2; "e" "q" "y" 3;
"a" "a" "f" "i" "l" "s" "v" "z" 2; "b" "e" "f" "h" "p" 3; "c" "a" "f" 3; "d" "l" "t" 2; "e" "q" "y" 3;
"a" "a" "f" "i" "l" "s" "v" "z" 2; "b" "e" "f" "h" "p" 3; "c" "a" "f" 3; "d" "l" "t" 2; "e" "q" "y" 3;
"a" "a" "f" "i" "l" "s" "v" "z" 2; "b" "e" "f" "h" "p" 3; "c" "a" "f" 3; "d" "l" "t" 2; "e" "q" "y" 3;
"a" "a" "f" "i" "l" "s" "v" "z" 2; "b" "e" "f" "h" "p" 3; "c" "a" "f" 3; "d" "l" "t" 2; "e" "q" "y" 3;
"a" "a" "f" "i" "l" "s" "v" "z" 2; "b" "e" "f" "h" "p" 3; "c" "a" "f" 3; "d" "c" "l" "t" "w" 2; "e" "q" "y" 3;
"a" "a" "f" "i" "l" "s" "v" "z" 2; "b" "e" "f" "h" "p" 3; "c" "a" "f" 3; "d" "c" "l" "t" "w" 2; "e" "q" "y" 3;
"a" "a" "f" "i" "l" "s" "v" "z" 2; "b" "e" "f" "h" "p" 3; "c" "a" "f" 3; "d" "c" "l" "t" "w" 2; "e" "q" "y" 3;
"a" "a" "f" "i" "l" "s" "v" "z" 2; "b" "e" "f" "h" "p" 3; "c" "a" "f" 3; "d" "c" "l" "t" "w" 2; "e" "q" "y" 3;
"a" "a" "f" "i" "l" "s" "v" "z" 2; "b" "e" "f" "h" "p" 3; "c" "a" "f" 3; "d" "c" "l" "t" "w" 2; "e" "q" "y" 3;
"a" "a" "f" "i" "l" "s" "v" "z" 2; "b" "e" "f" "h" "p" 3; "c" "a" "f" 3; "d" "c" "l" "t" "w" 2; "e" "q" "y" 3;
"a" "a" "f" "i" "l" "s" "v" "z" 2; "b" "e" "f" "h" "p" 3; "c" "a" "f" 3; "d" "c" "l" "t" "w" 2; "e" "q" "y" 3;
"a" "a" "f" "i" "l" "s" "v" "z" 2; "b" "e" "f" "h" "p" 3; "c" "a" "f" 3; "d" "c" "l" "t" "w" 2; "e" "q" "y" 3;
"a" "a" "d" "i" "l" "s" "v" "z" 2; "b" "e" "f" "h" "p" 3; "c" "a" "f" 3; "d" "l" 3; "e" "q" "y" 3;
"a" "a" "d" "i" "l" "s" "v" "z" 2; "b" "e" "f" "h" "p" 3; "c" "a" "f" 3; "d" "l" 3; "e" "q" "y" 3;
"a" "s" 3; "b" "e" "f" "h" "m" "p" 3; "c" "a" "f" 3; "d" "l" 3; "e" "q" "v" "y" 3;
"a" "s" 3; "b" "e" "f" "h" "m" "p" 3; "c" "a" "f" 3; "d" "l" 3; "e" "q" "v" "y" 3;
"a" "s" 3; "b" "e" "f" "h" "m" "p" 3; "c" "f" 4; "d" "l" 3; "e" "q" "v" "y" 3;
"a" "s" 3; "b" "e" "f" "h" "m" "p" 3; "c" "f" 4; "d" "l" 3; "e" "q" "v" "y" 3;
"a" "s" 3; "b" "e" "f" "h" "m" "o" "p" 3; "c" "f" 4; "d" "l" 3; "e" "q" "v" "y" 3;
"a" "s" 3; "b" "e" "f" "h" "m" "o" "p" 3; "c" "f" 4; "d" "l" 3; "e" "q" "v" "y" 3;
"a" "s" 3; "b" "e" "f" "h" "m" "o" "p" 3; "c" "f" 4; "d" "l" "t" 3; "e" "q" "v" "y" 3;
"a" "s" 3; "b" "e" "f" "h" "m" "o" "p" 3; "c" "f" 4; "d" "l" "t" 3; "e" "q" "v" "y" 3;
"a" "s" 3; "b" "e" "f" "h" "m" "o" "p" 3; "c" "f" 4; "d" "l" "t" 3; "e" "q" "v" "y" 3;
"a" "s" 3; "b" "e" "f" "h" "m" "o" "p" 3; "c" "f" 4; "d" "l" "t" 3; "e" "q" "v" "y" 3;
"a" "s" 3; "b" "e" "f" "h" "m" "o" "p" 3; "c" "f" 4; "d" "l" "t" 3; "e" "q" "v" "y" 3;
"a" "s" 3; "b" "e" "f" "h" "m" "o" "p" 3; "c" "f" 4; "d" "l" "t" 3; "e" "q" "v" "y" 3;
"a" "s" 3; "b" "e" "f" "h" "m" "o" "p" 3; "c" "f" 4; "d" "l" "t" 3; "e" "q" "v" "y" 3;
"a" "s" 3; "b" "e" "f" "h" "m" "o" "p" 3; "c" "f" 4; "d" "l" "t" 3; "e" "q" "v" "y" 3;
"a" "s" 3; "b" "e" "f" "h" "m" "o" "p" 3; "c" "f" 4; "d" "l" "t" 3; "e" "p" "q" "v" "y" 3;
"a" "s" 3; "b" "e" "f" "h" "m" "o" "p" 3; "c" "f" 4; "d" "l" "t" 3; "e" "p" "q" "v" "y" 3;
"a" "s" 3; "b" "e" "f" "h" "m" "o" "p" 3; "c" "f" 4; "d" "l" "t" 3; "e" "p" "q" "v" "y" 3;
"a" "s" 3; "b" "e" "f" "h" "m" "o" "p" 3; "c" "f" 4; "d" "l" "t" 3; "e" "p" "q" "v" "y" 3;
"a" "s" 3; "b" "e" "f" "h" "m" "o" "p" 3; "c" "f" 4; "d" "l" "t" 3; "e" "p" "q" "v" "y" 3;
"a" "s" 3; "b" "e" "f" "h" "m" "o" "p" 3; "c" "f" 4; "d" "l" "t" 3; "e" "p" "q" "v" "y" 3;
"a" "s" 3; "b" "e" "f" "h" "m" "o" "p" 3; "c" "f" 4; "d" "l" "t" 3; "e" "p" "q" "v" "y" 3;
"a" "s" 3; "b" "e" "f" "h" "m" "o" "p" 3; "c" "f" 4; "d" "l" "t" 3; "e" "p" "q" "v" "y" 3;
"a" "s" 3; "b" "e" "f" "h" "m" "o" "p" 3; "c" "f" 4; "d" "l" "t" 3; "e" "p" "q" "v" "y" 3;
"a" "s" 3; "b" "e" "f" "h" "m" "o" "p" 3; "c" "f" 4; "d" "l" "t" 3; "e" "p" "q" "v" "y" 3;
"a" "s" 3; "b" "e" "f" "h" "m" "o" "p" 3; "c" "f" 4; "d" "l" "t" 3; "e" "p" "q" "v" "y" 3;
"a" "s" 3; "b" "e" "f" "h" "m" "o" "p" 3; "c" "f" 4; "d" "l" "t" 3; "e" "p" "q" "v" "y" 3;
"a" "s" 3; "b" "e" "f" "h" "m" "o" "p" 3; "c" "f" 4; "d" "l" "t" 3; "e" "p" "q" "v" "y" 3;
"a" "s" 3; "b" "e" "f" "h" "m" "o" "p" 3; "c" "f" 4; "d" "l" "t" 3; "e" "p" "q" "v" "y" 3;
"a" "s" 3; "b" "e" "f" "h" "m" "o" "p" 3; "c" "f" 4; "d" "l" "t" 3; "e" "p" "q" "v" "y" 3;
"a" "s" 3; "b" "e" "f" "h" "m" "o" "p" 3; "c" "f" 4; "d" "l" "t" 3; "e" "p" "q" "v" "y" 3;
"a" "s" 3; "b" "e" "f" "h" "m" "o" "p" 3; "c" "f" 4; "d" "l" "t" 3; "e" "p" "q" "v" "y" 3;
"a" "s" 3; "b" "e" "f" "h" "m" "o" "p" 3; "c" "f" 4; "d" "l" "t" 3; "e" "p" "q" "v" "y" 3;
"a" "s" 3; "b" "e" "f" "h" "m" "o" "p" 3; "c" "f" 4; "d" "l" "t" 3; "e" "p" "q" "v" "y" 3;
"a" "s" 3; "b" "e" "f" "h" "m" "o" "p" 3; "c" "f" 4; "d" "l" "t" 3; "e" "p" "q" "v" "y" 3;
"a" "s" 3; "b" "e" "f" "h" "m" "o" "p" 3; "c" "f" 4; "d" "l" "t" 3; "e" "g" "p" "q" "v" "y" 3;
"a" "s" 3; "b" "e" "f" "h" "m" "o" "p" 3; "c" "f" 4; "d" "l" "t" 3; "e" "g" "p" "q" "v" "y" 3;
"a" "s" 3; "b" "e" 4; "c" "f" 4; "d" "l" "t" 3; "e" "g" "p" "q" "v" "y" 3;
"a" "s" 3; "b" "e" 4; "c" "f" 4; "d" "l" "t" 3; "e" "g" "p" "q" "v" "y" 3;
"a" "s" 3; "b" "e" 4; "c" "f" 4; "d" "l" "t" 3; "e" "g" "p" "q" "v" "y" 3;
"a" "s" 3; "b" "e" 4; "c" "f" 4; "d" "l" "t" 3; "e" "g" "p" "q" "v" "y" 3;
"a" "s" 3; "b" "e" 4; "c" "f" 4; "d" "l" "t" 3; "e" "g" "p" "q" "v" "y" 3;
"a" "s" 3; "b" "e" 4; "c" "f" 4; "d" "l" "t" 3; "e" "g" "p" "q" "v" "y" 3;
"a" "s" 3; "b" "e" 4; "c" "f" 4; "d" "l" "t" 3; "e" "g" "p" "q" "v" "y" 3;
"a" "s" 3; "b" "e" 4; "c" "f" 4; "d" "l" "t" 3; "e" "g" "p" "q" "v" "y" 3;
"a" "s" 3; "b" "e" 4; "c" "f" 4; "d" "l" "t" 3; "e" "g" "p" "q" "v" "y" 3;
"a" "s" 3; "b" "e" 4; "c" "f" 4; "d" "l" "t" 3; "e" "g" "p" "q" "v" "y" 3;
"a" "s" 3; "b" "e" 4; "c" "f" 4; "d" "l" "t" 3; "e" "g" "p" "q" "u" "v" "y" 3;
"a" "s" 3; "b" "e" "o" 4; "c" "f" 4; "d" "l" "t" 3; "e" "g" "p" "q" "u" "v" "y" 3;
"a" "s" 3; "b" "e" "o" 4; "c" "f" 4; "d" "l" "t" 3; "e" "v" 4;
"a" "s" 3; "b" "e" "o" 4; "c" "f" 4; "d" "l" "t" 3; "e" "v" 4;
"a" "s" 3; "b" "e" "o" 4; "c" "f" 4; "d" "l" "t" 3; "e" "v" 4;
"a" "s" 3; "b" "e" "o" 4; "c" "f" 4; "d" "l" "t" 3; "e" "v" 4;
"a" "s" 3; "b" "e" "o" 4; "c" "f" 4; "d" "l" "t" 3; "e" "v" 4;
"a" "s" 3; "b" "e" "o" 4; "c" "f" 4; "d" "l" "t" 3; "e" "v" 4;
