none
none
none
none
none
none
none
none
none
none
none
none
none
"d" "g" 1;
"a" "g" 1; "d" "g" 1;
"a" "g" 1; "d" "g" "v" 1;
"a" "g" 1; "d" "g" "v" 1;
"a" "g" 1; "d" "g" "v" 1;
"a" "g" 1; "d" "g" "v" 1;
"a" "g" 1; "d" "g" "v" 1; "e" "x" 1;
"a" "g" 1; "b" "e" 1; "d" "g" "v" 1; "e" "x" 1;
"a" "g" 1; "b" "e" 1; "d" "g" "v" 1; "e" "x" 1;
"a" "g" 1; "b" "e" 1; "d" "g" "v" 1; "e" "x" 1;
"a" "g" 1; "b" "e" 1; "d" "g" "v" 1; "e" "x" 1;
"a" "g" 1; "b" "e" 1; "d" "g" "v" 1; "e" "x" 1;
"a" "g" 1; "b" "e" 1; "d" "g" "v" 1; "e" "x" 1;
"a" "g" 1; "b" "e" 1; "d" "g" "v" 1; "e" "x" 1;
"a" "g" 1; "b" "e" 1; "d" "g" "v" 1; "e" "x" 1;
"a" "g" 1; "b" "e" 1; "d" "g" "j" "v" 1; "e" "x" 1;
"a" "g" "w" 1; "b" "e" 1; "d" "g" "j" "v" 1; "e" "x" 1;
"a" "g" "w" 1; "b" "e" 1; "d" "g" "j" "v" 1; "e" "x" 1;
"a" "g" "w" 1; "b" "e" 1; "d" "g" "j" "v" 1; "e" "x" 1;
"a" "g" 3; "b" "e" "v" 2; "c" "a" "b" "u" "y" "z" 2; "d" "g" 4; "e" "g" "l" "s" "u" "v" 2;
"a" "g" 3; "b" "e" "m" "v" 2; "c" "a" "b" "u" "y" "z" 2; "d" "g" 4; "e" "g" "l" "s" "u" "v" 2;
"a" "g" 3; "b" "e" "m" "v" 2; "c" "a" "b" "u" "y" "z" 2; "d" "g" 4; "e" "g" "l" "s" "u" "v" 2;
"a" "g" 3; "b" "e" "m" "v" 2; "c" "a" "b" "u" "y" "z" 2; "d" "g" 4; "e" "g" "l" "s" "u" "v" 2;
"a" "g" 3; "b" "e" "m" "v" 2; "c" "a" "b" "u" "y" "z" 2; "d" "g" 4; "e" "g" "l" "s" "u" "v" 2;
"a" "g" 3; "b" "e" "m" "v" 2; "c" "a" "b" "u" "y" "z" 2; "d" "g" 4; "e" "l" 3;
"a" "g" 3; "b" "e" "i" "m" "v" 2; "c" "a" "b" "u" "y" "z" 2; "d" "g" 4; "e" "l" 3;
"a" "g" 3; "b" "e" "i" "m" "v" 2; "c" "a" "b" "u" "y" "z" 2; "d" "g" 4; "e" "l" 3;
"a" "g" 3; "b" "i" 3; "c" "a" "b" "u" "y" "z" 2; "d" "g" 4; "e" "l" 3;
"a" "g" 3; "b" "i" 3; "c" "z" 3; "d" "g" 4; "e" "l" 3;
"a" "g" 3; "b" "i" 3; "c" "z" 3; "d" "g" 4; "e" "l" 3;
"a" "g" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "l" 3;
"a" "g" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "g" "l" 3;
"a" "g" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "g" "l" 3;
"a" "g" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "g" "l" 3;
"a" "g" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "g" "l" 3;
"a" "g" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "g" "l" 3;
"a" "g" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "g" "l" 3;
"a" "g" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "g" "l" 3;
"a" "g" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "g" "l" 3;
"a" "g" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "g" "l" 3;
"a" "g" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "g" "l" 3;
"a" "g" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "g" "l" 3;
"a" "g" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "g" "l" 3;
"a" "g" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "g" "l" 3;
"a" "g" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "g" "l" 3;
"a" "g" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "g" "l" 3;
"a" "g" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "g" "l" 3;
"a" "g" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "g" "l" 3;
"a" "g" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "g" "l" 3;
"a" "g" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "g" "l" 3;
"a" "g" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "g" "l" 3;
"a" "g" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "g" "l" 3;
"a" "g" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "g" "l" 3;
"a" "g" "q" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "n" 4;
"a" "g" "q" "s" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "n" 4;
"a" "g" "q" "s" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "n" 4;
"a" "g" "q" "s" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "n" 4;
"a" "g" "q" "s" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "n" 4;
"a" "g" "q" "s" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "n" 4;
"a" "g" "q" "s" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "n" 4;
"a" "g" "q" "s" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "n" 4;
"a" "g" "q" "s" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "n" 4;
"a" "g" "q" "s" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "n" 4;
"a" "g" "q" "s" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "n" 4;
"a" "g" "q" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "n" 4;
"a" "g" "q" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "n" 4;
"a" "g" "q" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "n" 4;
"a" "g" "q" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "n" 4;
"a" "g" "q" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "n" 4;
"a" "g" "q" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "n" 4;
"a" "g" "q" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "n" 4;
"a" "g" "q" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "n" 4;
"a" "g" "q" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "n" 4;
"a" "g" "q" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "n" 4;
"a" "g" "q" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "l" "n" 4;
"a" "g" "q" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "l" "n" 4;
"a" "g" "q" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "l" "n" 4;
"a" "g" "q" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "l" "n" 4;
"a" "g" "q" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "l" "n" 4;
"a" "g" "q" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "l" "n" 4;
"a" "g" "q" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "l" "n" 4;
"a" "g" "q" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "l" "n" 4;
"a" "g" "q" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "l" "n" 4;
"a" "g" "q" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "l" "n" 4;
"a" "g" "q" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "l" "n" 4;
"a" "g" "q" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "l" "n" 4;
"a" "g" "q" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "l" "n" 4;
"a" "g" "q" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "l" "n" 4;
"a" "g" "q" 3; "b" "i" 3; "c" "z" 3; "d" "g" "x" 4; "e" "l" "n" 4;
"a" "g" "q" 3; "b" "i" 3; "c" "m" "z" 3; "d" "g" "x" 4; "e" "l" "n" 4;
"a" "g" "q" 3; "b" "i" 3; "c" "m" "z" 3; "d" "g" "x" 4; "e" "l" "n" 4;
"a" "g" "q" 3; "b" "i" 3; "c" "m" "z" 3; "d" "g" "x" 4; "e" "l" "n" 4;
"a" "g" "q" 3; "b" "i" 3; "c" "m" "z" 3; "d" "g" "x" 4; "e" "l" "n" 4;
"a" "g" "q" 3; "b" "i" 3; "c" "m" "z" 3; "d" "g" "x" 4; "e" "l" "n" 4;
"a" "g" "q" 3; "b" "i" 3; "c" "m" "z" 3; "d" "g" "x" 4; "e" "l" "n" 4;
"a" "g" "q" 3; "b" "i" 3; "c" "m" "z" 3; "d" "g" "x" 4; "e" "l" "n" 4;
"a" "g" "q" 3; "b" "i" 3; "c" "m" "z" 3; "d" "g" "x" 4; "e" "l" "n" 4;
"a" "g" "q" 3; "b" "i" 3; "c" "m" "z" 3; "d" "g" "x" 4; "e" "l" "n" 4;
"a" "g" "q" 3; "b" "i" 3; "c" "g" "m" "z" 3; "d" "g" "x" 4; "e" "l" "n" 4;
"a" "g" "q" 3; "b" "i" 3; "c" "g" "m" "z" 3; "d" "g" "x" 4; "e" "l" "n" 4;
"a" "g" "q" 3; "b" "i" 3; "c" "g" "m" "z" 3; "d" "g" "x" 4; "e" "l" "n" 4;
"a" "g" "q" 3; "b" "i" 3; "c" "g" "m" "z" 3; "d" "g" "x" 4; "e" "l" "n" 4;
"a" "g" "q" 3; "b" "i" 3; "c" "g" "m" "z" 3; "d" "g" "x" 4; "e" "l" "n" 4;
"a" "g" "q" 3; "b" "i" 3; "c" "g" "m" "z" 3; "d" "g" "x" 4; "e" "l" "n" 4;
"a" "g" "q" 3; "b" "i" 3; "c" "g" "m" "z" 3; "d" "g" "x" 4; "e" "l" "n" 4;
"a" "g" "q" 3; "b" "i" 3; "c" "g" "m" "z" 3; "d" "g" "x" 4; "e" "l" "n" 4;
"a" "g" "q" 3; "b" "i" 3; "c" "g" "m" "z" 3; "d" "g" "x" 4; "e" "l" "n" 4;
"a" "g" "q" 3; "b" "i" 3; "c" "g" "m" "z" 3; "d" "g" "x" 4; "e" "l" "n" 4;
"a" "g" "q" 3; "b" "i" 3; "c" "g" "m" "z" 3; "d" "g" "j" "x" 4; "e" "h" "l" "n" 4;
"a" "g" "q" 3; "b" "i" 3; "c" "g" "m" "z" 3; "d" "g" "j" "x" 4; "e" "h" "l" "n" 4;
"a" "g" "q" 3; "b" "i" 3; "c" "g" "m" "z" 3; "d" "c" "g" "j" "x" 4; "e" "h" "l" "n" 4;
"a" "g" "q" 3; "b" "i" 3; "c" "g" "m" "z" 3; "d" "c" "g" "j" "x" 4; "e" "h" "l" "n" 4;
"a" "g" "q" 3; "b" "i" 3; "c" "g" "m" "z" 3; "d" "c" "g" "j" "x" 4; "e" "h" "l" "n" 4;
"a" "g" "q" 3; "b" "i" 3; "c" "g" "m" "z" 3; "d" "c" "g" "j" "x" 4; "e" "h" "l" "n" 4;
"a" "g" "q" 3; "b" "i" 3; "c" "g" "m" "z" 3; "d" "c" "g" "j" "x" 4; "e" "h" "l" "n" 4;
"a" "g" "q" 3; "b" "i" 3; "c" "g" 4; "d" "c" "g" "j" "x" 4; "e" "h" "l" "n" 4;
"a" "g" "q" 3; "b" "i" 3; "c" "g" 4; "d" "c" "g" "j" "x" 4; "e" "h" "l" "n" 4;
"a" "g" "q" 3; "b" "i" 3; "c" "g" 4; "d" "c" "g" "j" "x" 4; "e" "h" "l" "n" 4;
"a" "g" "q" 3; "b" "a" "f" "i" "l" "m" "t" "u" "v" "x" 2; "c" "g" 4; "d" "c" "g" "j" "x" 4; "e" "h" "l" "n" 4;
"a" "g" "q" 3; "b" "a" "f" "i" "l" "m" "t" "u" "v" "x" 2; "c" "g" 4; "d" "c" "g" "j" "x" 4; "e" "h" "l" "n" 4;
