none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"a" "u" 1; "b" "a" 1;
"a" "u" 1; "b" "a" 1;
"a" "u" 1; "b" "a" 1;
"a" "u" 1; "b" "a" 1; "d" "b" 1;
"a" "e" "u" 1; "b" "a" 1; "d" "b" 1;
"a" "e" "u" 1; "b" "a" 1; "d" "a" "b" 1;
"a" "e" "u" 1; "b" "a" 1; "d" "a" "b" 1;
"a" "e" "u" 1; "b" "a" 1; "d" "a" "b" 1;
"a" "e" "u" 1; "b" "a" 1; "d" "a" "b" 1;
"a" "e" "u" 1; "b" "a" 1; "c" "c" 1; "d" "a" "b" 1;
"a" "e" "u" 1; "b" "a" 1; "c" "c" 1; "d" "a" "b" 1;
"a" "e" "u" 1; "b" "a" 1; "c" "c" 1; "d" "a" "b" 1;
"a" "e" "u" 1; "b" "a" 1; "c" "c" 1; "d" "a" "b" 1;
"a" "e" "u" 1; "b" "a" 1; "c" "c" 1; "d" "a" "b" 1;
"a" "e" 2; "b" "a" 3; "c" "a" "c" "i" "p" "r" 1; "d" "y" 2; "e" "d" "g" "h" "j" "l" "w" "z" 1;
"a" "e" 2; "b" "a" 3; "c" "a" "c" "i" "p" "r" 1; "d" "y" 2; "e" "d" "g" "h" "j" "l" "p" "w" "z" 1;
"a" "e" 2; "b" "a" 3; "c" "a" "c" "i" "p" "r" 1; "d" "y" 2; "e" "d" "g" "h" "j" "l" "p" "w" "z" 1;
"a" "e" 2; "b" "a" 3; "c" "a" "c" "i" "p" "r" 1; "d" "y" 2; "e" "d" "g" "h" "j" "l" "p" "w" "z" 1;
"a" "e" 2; "b" "a" 3; "c" "a" "c" "g" "i" "p" "r" 1; "d" "y" 2; "e" "d" "g" "h" "j" "l" "p" "w" "z" 1;
"a" "e" 2; "b" "a" 3; "c" "a" "c" "g" "i" "p" "r" 1; "d" "y" 2; "e" "d" "g" "h" "j" "l" "p" "w" "z" 1;
"a" "e" 2; "b" "a" 3; "c" "a" "c" "g" "i" "p" "r" "t" 1; "d" "y" 2; "e" "d" "g" "h" "j" "l" "p" "w" "z" 1;
"a" "e" 2; "b" "a" 3; "c" "a" "c" "g" "i" "p" "r" "t" 1; "d" "y" 2; "e" "d" "g" "h" "j" "l" "p" "w" "z" 1;
"a" "e" 2; "b" "a" 3; "c" "a" "c" "g" "i" "p" "r" "t" 1; "d" "y" 2; "e" "d" "g" "h" "j" "l" "p" "r" "w" "z" 1;
"a" "e" 2; "b" "a" 3; "c" "a" "c" "g" "i" "p" "r" "t" 1; "d" "y" 2; "e" "d" "g" "h" "j" "l" "p" "r" "w" "z" 1;
"a" "e" 3; "b" "a" 3; "c" "a" "c" "g" "i" "p" "r" "t" 1; "d" "y" 2; "e" "d" "g" "h" "j" "l" "p" "r" "w" "z" 1;
"a" "e" 3; "b" "a" 3; "c" "a" "c" "g" "i" "p" "r" "t" 1; "d" "y" 2; "e" "d" "g" "h" "j" "l" "p" "r" "w" "z" 1;
"a" "e" 3; "b" "a" 3; "c" "a" "c" "g" "i" "p" "r" "t" 1; "d" "y" 2; "e" "d" "g" "h" "j" "l" "p" "r" "w" "z" 1;
"a" "e" 3; "b" "a" 3; "c" "a" "c" "g" "i" "k" "p" "r" "t" 1; "d" "y" 2; "e" "d" "g" "h" "j" "l" "p" "r" "w" "z" 1;
"a" "e" 3; "b" "a" 3; "c" "a" "c" "g" "i" "k" "p" "r" "t" 1; "d" "y" 2; "e" "d" "g" "h" "j" "l" "p" "r" "w" "z" 1;
"a" "e" 3; "b" "a" 3; "c" "a" 2; "d" "y" 2; "e" "d" 2;
"a" "e" 3; "b" "a" 3; "c" "a" 2; "d" "y" 2; "e" "d" 2;
"a" "e" 3; "b" "a" 3; "c" "a" 2; "d" "y" 2; "e" "d" 2;
"a" "e" 3; "b" "a" 3; "c" "a" 2; "d" "y" 2; "e" "d" 2;
"a" "e" 3; "b" "a" 3; "c" "a" 2; "d" "y" 2; "e" "d" "w" 2;
"a" "e" 3; "b" "a" 3; "c" "a" 2; "d" "y" 2; "e" "d" "w" 2;
"a" "e" 3; "b" "a" 3; "c" "a" 2; "d" "y" 2; "e" "d" "w" 2;
"a" "e" 3; "b" "a" 3; "c" "a" 2; "d" "y" 2; "e" "d" "w" 2;
"a" "e" 3; "b" "a" "j" 3; "c" "a" 2; "d" "y" 2; "e" "d" "w" 2;
"a" "e" 3; "b" "a" "j" 3; "c" "a" 2; "d" "y" 2; "e" "d" "w" 2;
"a" "e" 3; "b" "a" "j" 3; "c" "a" 2; "d" "y" 2; "e" "d" "w" 2;
"a" "e" 3; "b" "a" "j" 3; "c" "a" 2; "d" "y" 2; "e" "d" "w" 2;
"a" "e" 3; "b" "a" "j" 3; "c" "a" 2; "d" "y" 2; "e" "d" "w" 2;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 2; "d" "y" 2; "e" "d" "w" 2;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 2; "d" "y" 2; "e" "d" "w" 2;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 2; "d" "y" 2; "e" "d" "w" 2;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 2; "d" "y" 2; "e" "d" "w" 2;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 2; "d" "y" 2; "e" "d" "w" 2;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 2; "d" "y" 2; "e" "d" "w" 2;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 2; "d" "y" 2; "e" "d" "w" 2;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 2; "d" "y" 2; "e" "d" "w" 2;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 2; "d" "y" 2; "e" "d" "w" 2;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 2; "d" "y" 2; "e" "d" "w" 2;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 2; "d" "y" 2; "e" "d" "w" 2;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 2; "d" "y" 2; "e" "d" "w" 2;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 2; "d" "y" 2; "e" "d" "w" 2;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 2; "d" "y" 2; "e" "d" "w" 2;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 2; "d" "y" 2; "e" "d" "w" 2;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 2; "d" "y" 2; "e" "d" "w" 2;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 2; "d" "y" 2; "e" "d" "w" 2;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 2; "d" "y" 2; "e" "d" 3;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 2; "d" "y" 2; "e" "d" 3;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 2; "d" "y" 2; "e" "d" 3;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 2; "d" "y" 2; "e" "d" 3;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 2; "d" "y" 2; "e" "d" 3;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 3; "d" "y" 2; "e" "d" 3;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 3; "d" "y" 2; "e" "d" 3;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 3; "d" "y" 2; "e" "d" 3;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 3; "d" "y" 2; "e" "d" 3;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 3; "d" "y" 2; "e" "d" 3;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 3; "d" "y" 2; "e" "d" 3;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 3; "d" "y" 2; "e" "d" 3;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 3; "d" "y" 2; "e" "d" 3;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 3; "d" "y" 2; "e" "d" 3;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 3; "d" "y" 2; "e" "d" 3;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 3; "d" "y" 2; "e" "d" 3;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 3; "d" "y" 2; "e" "d" 3;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 3; "d" "y" 2; "e" "d" 3;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 3; "d" "y" 2; "e" "d" 3;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 3; "d" "y" 2; "e" "d" 3;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 3; "d" "y" 2; "e" "d" 3;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 3; "d" "y" 2; "e" "d" 3;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 3; "d" "y" 2; "e" "d" 3;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 3; "d" "h" "y" 2; "e" "d" "w" 3;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 3; "d" "h" "y" 2; "e" "d" "w" 3;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 3; "d" "h" "y" 2; "e" "d" "w" 3;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 3; "d" "h" "y" 2; "e" "d" "w" 3;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 3; "d" "h" "y" 2; "e" "d" "w" 3;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 3; "d" "h" "y" 2; "e" "d" "w" 3;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 3; "d" "h" "y" 2; "e" "w" 4;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 3; "d" "h" "m" "y" 2; "e" "w" 4;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 3; "d" "h" "m" "v" "y" 2; "e" "w" 4;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 3; "d" "h" "m" "v" "y" 2; "e" "w" 4;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 3; "d" "h" "m" "v" "y" 2; "e" "w" 4;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 3; "d" "h" "m" "v" "y" 2; "e" "w" 4;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 3; "d" "h" "m" "v" "y" 2; "e" "w" 4;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 3; "d" "h" "m" "v" "y" 2; "e" "w" 4;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 3; "d" "h" "m" "v" "y" 2; "e" "w" 4;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 3; "d" "h" "m" "v" "y" 2; "e" "w" 4;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 3; "d" "h" "m" "p" "v" "y" 2; "e" "w" 4;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 3; "d" "h" "m" "p" "v" "y" 2; "e" "w" 4;
"a" "e" 4; "b" "a" "j" 3; "c" "a" 3; "d" "h" "m" "p" "v" "y" 2; "e" "w" 4;
"a" "e" 4; "b" "a" "j" 3; "c" "a" "p" 3; "d" "b" "h" "m" "p" "v" "y" 2; "e" "w" 4;
"a" "e" 4; "b" "a" "j" 3; "c" "a" "p" 3; "d" "b" "h" "m" "p" "v" "y" 2; "e" "w" 4;
"a" "e" 4; "b" "a" "j" 3; "c" "a" "p" 3; "d" "b" "h" "m" "p" "v" "y" 2; "e" "w" 4;
"a" "e" 4; "b" "j" 4; "c" "a" "p" 3; "d" "b" "h" "m" "p" "v" "y" 2; "e" "w" 4;
"a" "e" 4; "b" "j" 4; "c" "a" "p" 3; "d" "b" "h" "m" "p" "v" "y" 2; "e" "w" 4;
"a" "e" 4; "b" "j" 4; "c" "a" "p" 3; "d" "b" "h" "m" "p" "v" "y" 2; "e" "w" 4;
"a" "e" 4; "b" "j" 4; "c" "a" "p" 3; "d" "b" "h" "m" "p" "v" "y" 2; "e" "w" 4;
"a" "e" 4; "b" "j" 4; "c" "a" "p" 3; "d" "b" "h" "m" "p" "v" "y" 2; "e" "w" 4;
"a" "e" 4; "b" "j" 4; "c" "a" "p" 3; "d" "b" "h" "m" "p" "v" "y" 2; "e" "w" 4;
"a" "e" 4; "b" "j" 4; "c" "a" "p" 3; "d" "b" "h" "m" "p" "v" "y" 2; "e" "w" 4;
"a" "e" 4; "b" "j" 4; "c" "a" "p" 3; "d" "b" "h" "m" "p" "v" "y" 2; "e" "w" 4;
"a" "e" 4; "b" "j" 4; "c" "a" "p" 3; "d" "p" 3; "e" "w" 4;
"a" "e" 4; "b" "j" 4; "c" "a" "p" 3; "d" "p" 3; "e" "w" 4;
"a" "e" 4; "b" "j" 4; "c" "a" "p" 3; "d" "p" 3; "e" "o" "w" 4;
"a" "e" 4; "b" "j" 4; "c" "a" "p" 3; "d" "p" 3; "e" "o" "w" 4;
"a" "e" 4; "b" "j" 4; "c" "a" "p" 3; "d" "p" 3; "e" "o" "w" 4;
"a" "e" 4; "b" "j" 4; "c" "a" "p" 3; "d" "p" 3; "e" "o" "w" 4;
"a" "e" 4; "b" "j" 4; "c" "a" "p" 3; "d" "p" 3; "e" "o" "w" 4;
"a" "e" 4; "b" "j" 4; "c" "a" "p" 3; "d" "p" 3; "e" "o" "w" 4;
"a" "e" 4; "b" "j" 4; "c" "a" "p" 3; "d" "p" 3; "e" "o" "w" 4;
"a" "e" 4; "b" "j" 4; "c" "a" "p" 3; "d" "p" 3; "e" "o" "w" 4;
"a" "e" 4; "b" "j" 4; "c" "a" "p" 3; "d" "p" 3; "e" "o" "w" 4;
"a" "e" 4; "b" "j" 4; "c" "a" "p" 3; "d" "p" 3; "e" "o" "w" 4;
"a" "e" 4; "b" "j" 4; "c" "a" "p" 3; "d" "p" 3; "e" "o" "w" 4;
"a" "e" 4; "b" "j" 4; "c" "a" "p" 3; "d" "p" 3; "e" "o" "w" 4;
"a" "e" 4; "b" "j" 4; "c" "a" "p" 3; "d" "p" 3; "e" "o" "w" 4;
"a" "e" 4; "b" "j" 4; "c" "a" "p" 3; "d" "p" 3; "e" "o" "w" 4;
"a" "e" 4; "b" "j" 4; "c" "a" "p" 3; "d" "p" 3; "e" "o" "w" 4;
"a" "e" 4; "b" "j" 4; "c" "a" "c" "p" 3; "d" "p" 3; "e" "o" "w" 4;
"a" "e" 4; "b" "j" 4; "c" "a" "c" "p" 3; "d" "p" 3; "e" "o" "w" 4;
"a" "e" 4; "b" "j" 4; "c" "a" "c" "p" 3; "d" "p" 3; "e" "o" "w" 4;
"a" "e" 4; "b" "j" 4; "c" "a" "c" "p" 3; "d" "p" 3; "e" "o" "w" 4;
"a" "e" 4; "b" "j" 4; "c" "a" "c" "p" 3; "d" "p" 3; "e" "o" "w" 4;
"a" "e" 4; "b" "j" 4; "c" "a" "c" "p" 3; "d" "p" 3; "e" "o" "w" 4;
"a" "e" 4; "b" "j" 4; "c" "a" "c" "p" 3; "d" "p" 3; "e" "o" "w" 4;
"a" "e" 4; "b" "j" 4; "c" "a" "c" "p" 3; "d" "p" 3; "e" "o" "w" 4;
"a" "e" 4; "b" "j" 4; "c" "a" "c" "p" 3; "d" "p" 3; "e" "o" "w" 4;
"a" "e" 4; "b" "j" 4; "c" "a" "c" "p" 3; "d" "p" 3; "e" "o" "w" 4;
"a" "e" 4; "b" "j" 4; "c" "a" "c" "p" 3; "d" "p" 3; "e" "o" "w" 4;
"a" "e" 4; "b" "j" 4; "c" "a" "c" "p" 3; "d" "p" 3; "e" "o" "w" 4;
"a" "e" 4; "b" "j" 4; "c" "a" "c" "p" 3; "d" "p" 3; "e" "o" "w" 4;
"a" "e" 4; "b" "j" 4; "c" "a" "c" "p" 3; "d" "p" 3; "e" "o" "w" 4;
"a" "e" 4; "b" "j" 4; "c" "a" "c" "p" 3; "d" "p" 3; "e" "o" "w" 4;
"a" "e" 4; "b" "j" 4; "c" "a" "c" "p" 3; "d" "p" 3; "e" "o" "w" 4;
"a" "e" 4; "b" "j" 4; "c" "a" "c" "p" 3; "d" "p" 3; "e" "o" "w" 4;
"a" "e" 4; "b" "j" 4; "c" "a" "c" "p" 3; "d" "p" "y" 3; "e" "o" "w" 4;
"a" "e" 4; "b" "j" 4; "c" "a" "c" "p" 3; "d" "p" "y" 3; "e" "o" "w" 4;
"a" "e" 4; "b" "j" 4; "c" "a" "c" "p" 3; "d" "p" "y" 3; "e" "o" "w" 4;
"a" "e" 4; "b" "j" 4; "c" "a" "c" "p" 3; "d" "p" "y" 3; "e" "o" "w" 4;
"a" "e" 4; "b" "j" 4; "c" "a" "c" "p" 3; "d" "p" "y" 3; "e" "o" "w" 4;
"a" "e" 4; "b" "j" 4; "c" "a" "c" "p" 3; "d" "p" "y" 3; "e" "o" "w" 4;
"a" "e" 4; "b" "j" 4; "c" "a" "c" "p" 3; "d" "p" "y" 3; "e" "o" "w" 4;
"a" "e" 4; "b" "j" 4; "c" "a" "c" "p" 3; "d" "p" "y" 3; "e" "o" "w" 4;
"a" "e" 4; "b" "j" 4; "c" "a" "c" "p" 3; "d" "p" "y" 3; "e" "o" "w" 4;
"a" "e" 4; "b" "j" 4; "c" "a" "c" "p" 3; "d" "p" "y" 3; "e" "o" "w" 4;
"a" "e" 4; "b" "j" 4; "c" "a" "c" "p" 3; "d" "p" "y" 3; "e" "o" "w" 4;
"a" "e" 4; "b" "j" 4; "c" "a" "c" "p" 3; "d" "p" "y" 3; "e" "o" "w" 4;
"a" "e" 4; "b" "j" 4; "c" "a" 4; "d" "p" "y" 3; "e" "o" "w" 4;
"a" "e" 4; "b" "j" 4; "c" "a" 4; "d" "p" "y" 3; "e" "o" "w" 4;
"a" "e" 4; "b" "j" 4; "c" "a" 4; "d" "p" "y" 3; "e" "o" "w" 4;
"a" "e" 4; "b" "j" "n" 4; "c" "a" 4; "d" "p" "y" 3; "e" "o" 5;
"a" "e" 4; "b" "j" "n" 4; "c" "a" 4; "d" "p" "y" 3; "e" "o" 5;
"a" "e" 4; "b" "j" "n" 4; "c" "a" 4; "d" "p" "y" 3; "e" "o" 5;
"a" "e" 4; "b" "j" "n" 4; "c" "a" 4; "d" "p" "y" 3; "e" "o" 5;
"a" "e" 4; "b" "j" "n" 4; "c" "a" 4; "d" "p" "y" 3; "e" "o" 5;
"a" "e" 4; "b" "j" "n" 4; "c" "a" 4; "d" "p" "y" 3; "e" "o" 5;
"a" "e" 4; "b" "j" "n" 4; "c" "a" 4; "d" "p" "y" 3; "e" "o" 5;
"a" "e" 4; "b" "j" "n" 4; "c" "a" 4; "d" "p" "y" 3; "e" "o" 5;
"a" "e" 4; "b" "j" "n" 4; "c" "a" 4; "d" "p" "y" 3; "e" "o" 5;
"a" "e" 4; "b" "j" "n" 4; "c" "a" 4; "d" "p" "y" 3; "e" "o" 5;
"a" "e" 4; "b" "j" "n" 4; "c" "a" 4; "d" "p" "y" 3; "e" "o" 5;
"a" "e" 4; "b" "j" "n" 4; "c" "a" 4; "d" "p" "y" 3; "e" "o" 5;
"a" "e" 4; "b" "j" "n" 4; "c" "a" 4; "d" "p" "y" 3; "e" "o" 5;
"a" "e" 4; "b" "j" "n" 4; "c" "a" 4; "d" "p" "y" 3; "e" "o" 5;
"a" "e" 4; "b" "j" "n" 4; "c" "a" 4; "d" "p" "y" 3; "e" "o" 5;
"a" "e" 4; "b" "j" "n" 4; "c" "a" 4; "d" "p" "y" 3; "e" "o" 5;
"a" "e" 4; "b" "j" "n" 4; "c" "a" 4; "d" "p" "y" 3; "e" "o" 5;
"a" "e" 4; "b" "j" "n" 4; "c" "a" 4; "d" "p" "y" 3; "e" "o" 5;
"a" "e" 4; "b" "j" "n" 4; "c" "a" 4; "d" "p" "y" 3; "e" "o" 5;
"a" "e" 4; "b" "j" "n" 4; "c" "a" 4; "d" "p" "y" 3; "e" "o" 5;
"a" "e" 4; "b" "j" "n" 4; "c" "a" 4; "d" "p" "y" 3; "e" "o" 5;
"a" "e" 4; "b" "j" "n" 4; "c" "a" 4; "d" "p" "y" 3; "e" "o" 5;
"a" "e" 4; "b" "j" "n" 4; "c" "a" 5; "d" "p" "y" 3; "e" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "p" "y" 3; "e" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "p" "y" 3; "e" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "p" "y" 3; "e" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "p" "y" 3; "e" "o" 5;
