none
none
none
none
none
none
none
none
none
none
none
none
none
none
"a" "x" 1;
"a" "x" 1;
"a" "x" 1;
"a" "x" 1;
"a" "x" 1;
"a" "x" 1; "c" "c" 1;
"a" "x" 1; "c" "c" 1;
"a" "x" 1; "c" "c" 1;
"a" "x" 1; "c" "c" 1;
"a" "x" 1; "c" "c" 1;
"a" "x" 1; "b" "a" "s" 1; "c" "c" "x" "y" 1;
"a" "x" 1; "b" "a" "s" 1; "c" "c" "x" "y" 1;
"a" "x" 1; "b" "a" "s" 1; "c" "c" "x" "y" 1; "e" "l" 1;
"a" "x" 1; "b" "a" "s" 1; "c" "c" "x" "y" 1; "e" "l" 1;
"a" "x" 1; "b" "a" "s" 1; "c" "c" "x" "y" 1; "e" "l" 1;
"a" "x" 1; "b" "a" "s" 1; "c" "c" "x" "y" 1; "e" "l" 1;
"a" "x" 1; "b" "a" "s" 1; "c" "c" "x" "y" 1; "e" "l" 1;
"a" "x" 1; "b" "a" "s" 1; "c" "c" "x" "y" 1; "e" "l" 1;
"a" "x" 1; "b" "a" "s" 1; "c" "c" "x" "y" 1; "e" "l" 1;
"a" "x" 1; "b" "a" "s" 1; "c" "c" "x" "y" 1; "e" "l" 1;
"a" "x" 1; "b" "a" "s" 1; "c" "c" "x" "y" 1; "e" "d" "l" 1;
"a" "x" 1; "b" "a" "s" 1; "c" "c" "x" "y" 1; "e" "d" "l" 1;
"a" "x" 1; "b" "a" "s" 1; "c" "c" "x" "y" 1; "e" "d" "l" 1;
"a" "x" 1; "b" "a" "s" 1; "c" "c" "x" "y" 1; "e" "d" "l" 1;
"a" "x" 1; "b" "a" "b" "s" "t" 1; "c" "c" "x" "y" 1; "e" "d" "l" 1;
"a" "w" "x" 2; "b" "a" "b" "k" 2; "c" "c" 3; "d" "b" "d" "e" "u" "y" 1; "e" "l" 3;
"a" "w" "x" 2; "b" "a" "b" "k" 2; "c" "c" 3; "d" "b" "d" "e" "u" "y" 1; "e" "l" 3;
"a" "u" "w" "x" 2; "b" "a" "b" "k" 2; "c" "c" 3; "d" "b" "d" "e" "u" "y" 1; "e" "l" 3;
"a" "u" "w" "x" 2; "b" "a" "b" "k" 2; "c" "c" 3; "d" "b" "d" "e" "t" "u" "y" 1; "e" "l" 3;
"a" "w" 3; "b" "a" "b" "k" 2; "c" "c" 3; "d" "b" "d" "e" "t" "u" "w" "y" 1; "e" "l" 3;
"a" "w" 3; "b" "a" "b" "k" 2; "c" "c" 3; "d" "b" "d" "e" "t" "u" "w" "y" 1; "e" "l" 3;
"a" "w" 3; "b" "a" "b" "k" 2; "c" "c" 3; "d" "b" "d" "e" "t" "u" "w" "y" 1; "e" "l" 3;
"a" "w" 3; "b" "a" "b" "k" 2; "c" "c" 3; "d" "b" "d" "e" "t" "u" "w" "y" 1; "e" "l" 3;
"a" "w" 3; "b" "a" "b" "k" 2; "c" "c" 3; "d" "b" "d" "e" "t" "u" "w" "y" 1; "e" "l" 3;
"a" "w" 3; "b" "a" 3; "c" "c" 3; "d" "b" "d" "e" "p" "t" "u" "w" "y" 1; "e" "l" 3;
"a" "w" 3; "b" "a" 3; "c" "c" 3; "d" "b" "d" "e" "p" "t" "u" "w" "y" 1; "e" "l" 3;
"a" "w" 3; "b" "a" 3; "c" "c" 3; "d" "b" "d" "e" "p" "t" "u" "w" "y" 1; "e" "l" 3;
"a" "w" 3; "b" "a" 3; "c" "c" 3; "d" "b" "d" "e" "p" "t" "u" "w" "y" 1; "e" "l" 3;
"a" "w" 3; "b" "a" 3; "c" "c" 3; "d" "b" "d" "e" "p" "t" "u" "w" "y" 1; "e" "l" 3;
"a" "w" 3; "b" "a" 3; "c" "c" 3; "d" "b" "d" "e" "p" "t" "u" "w" "y" 1; "e" "l" 3;
"a" "w" 3; "b" "a" 3; "c" "c" 3; "d" "d" 2; "e" "l" 3;
"a" "w" 3; "b" "a" 3; "c" "c" 3; "d" "d" 2; "e" "l" 3;
"a" "w" 3; "b" "a" 3; "c" "c" 3; "d" "d" 2; "e" "l" 3;
"a" "w" 3; "b" "a" 3; "c" "c" 3; "d" "d" 2; "e" "l" 3;
"a" "w" 3; "b" "a" 3; "c" "c" 3; "d" "d" "u" 2; "e" "l" 3;
"a" "w" 3; "b" "a" 3; "c" "c" 3; "d" "d" "u" 2; "e" "l" 3;
"a" "w" 3; "b" "a" 3; "c" "c" 3; "d" "d" "u" 2; "e" "l" 3;
"a" "w" 3; "b" "a" 3; "c" "c" 3; "d" "d" "u" 2; "e" "l" 3;
"a" "w" 3; "b" "a" 3; "c" "c" 3; "d" "d" "u" 2; "e" "l" 3;
"a" "w" 3; "b" "a" 3; "c" "c" 3; "d" "d" "u" 2; "e" "l" 3;
"a" "w" 3; "b" "a" 3; "c" "c" 3; "d" "d" "u" "y" 2; "e" "l" 3;
"a" "w" 3; "b" "a" 3; "c" "c" 3; "d" "d" "u" "y" 2; "e" "l" 3;
"a" "w" 3; "b" "a" 3; "c" "c" 3; "d" "d" "u" "y" 2; "e" "l" 3;
"a" "w" 3; "b" "a" 3; "c" "c" 3; "d" "d" "u" "y" 2; "e" "l" 3;
"a" "w" 3; "b" "a" 3; "c" "c" 3; "d" "d" "u" "y" 2; "e" "l" 3;
"a" "w" 3; "b" "a" 3; "c" "c" 3; "d" "d" "u" "y" 2; "e" "l" 3;
"a" "w" 3; "b" "a" 3; "c" "c" 3; "d" "d" "u" "y" 2; "e" "l" 3;
"a" "w" 4; "b" "a" 3; "c" "c" 3; "d" "d" "u" "y" 2; "e" "l" 3;
"a" "w" 4; "b" "a" 3; "c" "c" 3; "d" "d" "u" "y" 2; "e" "l" 3;
"a" "w" 4; "b" "a" 3; "c" "c" "z" 3; "d" "d" "u" "y" 2; "e" "l" 3;
"a" "w" 4; "b" "a" 3; "c" "c" "z" 3; "d" "y" 3; "e" "l" 3;
"a" "w" 4; "b" "a" 3; "c" "c" "z" 3; "d" "y" 3; "e" "l" 3;
"a" "w" 4; "b" "a" 3; "c" "c" "z" 3; "d" "y" 3; "e" "l" 3;
"a" "w" 4; "b" "a" 3; "c" "c" "z" 3; "d" "y" 3; "e" "l" 3;
"a" "w" 4; "b" "a" 3; "c" "c" "z" 3; "d" "y" 3; "e" "l" 3;
"a" "w" 4; "b" "a" 3; "c" "c" "z" 3; "d" "y" 3; "e" "l" 3;
"a" "w" 4; "b" "a" 3; "c" "c" "z" 3; "d" "y" 3; "e" "l" 3;
"a" "w" 4; "b" "a" 3; "c" "c" "z" 3; "d" "y" 3; "e" "l" 3;
"a" "w" 4; "b" "a" 3; "c" "c" "z" 3; "d" "y" 3; "e" "l" 3;
"a" "w" 4; "b" "a" 3; "c" "c" "z" 3; "d" "y" 3; "e" "l" 3;
"a" "w" 4; "b" "a" 3; "c" "c" "z" 3; "d" "y" 3; "e" "l" 3;
"a" "w" 4; "b" "a" 3; "c" "c" "z" 3; "d" "y" 3; "e" "l" 3;
"a" "w" 4; "b" "a" 3; "c" "c" "z" 3; "d" "y" 3; "e" "l" 3;
"a" "w" 4; "b" "a" 3; "c" "c" "z" 3; "d" "y" 3; "e" "l" 3;
"a" "w" 4; "b" "a" 3; "c" "c" "z" 3; "d" "y" 3; "e" "l" 3;
"a" "w" 4; "b" "a" 3; "c" "c" "z" 3; "d" "y" 3; "e" "l" 3;
"a" "w" 4; "b" "a" 3; "c" "c" "z" 3; "d" "y" 3; "e" "l" 3;
"a" "w" 4; "b" "a" 3; "c" "c" "z" 3; "d" "y" 3; "e" "l" 3;
"a" "w" 4; "b" "a" 3; "c" "c" "z" 3; "d" "y" 3; "e" "l" 3;
"a" "w" 4; "b" "a" 3; "c" "c" "z" 3; "d" "y" 3; "e" "l" 3;
"a" "w" 4; "b" "a" 3; "c" "c" "z" 3; "d" "y" 3; "e" "l" 3;
"a" "w" 4; "b" "a" 3; "c" "c" "z" 3; "d" "y" 3; "e" "l" 3;
"a" "w" 4; "b" "a" 3; "c" "c" "z" 3; "d" "y" 3; "e" "l" 3;
"a" "w" 4; "b" "a" 3; "c" "c" 4; "d" "y" 3; "e" "l" 3;
"a" "w" 4; "b" "a" 3; "c" "c" 4; "d" "y" 3; "e" "l" 3;
"a" "w" 4; "b" "a" 3; "c" "c" 4; "d" "y" 3; "e" "l" 3;
"a" "w" 4; "b" "a" 3; "c" "c" 4; "d" "y" 3; "e" "l" 3;
"a" "w" 4; "b" "a" 3; "c" "c" 4; "d" "y" 3; "e" "l" 3;
"a" "w" 4; "b" "a" 3; "c" "c" 4; "d" "y" 3; "e" "l" 3;
"a" "w" 4; "b" "a" 3; "c" "c" 4; "d" "y" 3; "e" "l" 3;
"a" "w" 4; "b" "a" 3; "c" "c" 4; "d" "y" 3; "e" "l" 3;
"a" "w" 4; "b" "a" 3; "c" "c" 4; "d" "y" 3; "e" "l" 3;
"a" "w" 4; "b" "a" 3; "c" "c" 4; "d" "y" 3; "e" "l" 3;
"a" "w" 4; "b" "a" 3; "c" "c" 4; "d" "j" "y" 3; "e" "l" 3;
"a" "w" 4; "b" "a" 3; "c" "c" 4; "d" "j" "y" 3; "e" "l" 3;
"a" "w" 4; "b" "a" 3; "c" "c" 4; "d" "j" "y" 3; "e" "l" 3;
"a" "w" 4; "b" "a" 3; "c" "c" 4; "d" "j" "y" 3; "e" "l" 3;
"a" "w" 4; "b" "a" 3; "c" "c" 4; "d" "j" "y" 3; "e" "l" 3;
"a" "w" 4; "b" "a" 3; "c" "c" 4; "d" "j" "y" 3; "e" "l" 3;
"a" "w" 4; "b" "a" 3; "c" "c" 4; "d" "j" "y" 3; "e" "l" 3;
"a" "w" 4; "b" "a" 3; "c" "c" 4; "d" "j" "y" 3; "e" "l" 3;
"a" "w" 4; "b" "a" 3; "c" "c" 4; "d" "j" "u" "y" 3; "e" "l" "v" 3;
"a" "w" 4; "b" "a" 3; "c" "c" 4; "d" "j" "u" "y" 3; "e" "l" "v" 3;
"a" "w" 4; "b" "a" "b" 3; "c" "c" "l" 4; "d" "j" "u" "y" 3; "e" "l" "v" 3;
"a" "w" 4; "b" "a" "b" 3; "c" "c" "l" 4; "d" "j" "u" "y" 3; "e" "l" "v" 3;
"a" "w" 4; "b" "a" "b" 3; "c" "c" "l" "z" 4; "d" "j" "u" "y" 3; "e" "l" "v" 3;
"a" "w" 4; "b" "a" "b" 3; "c" "c" "l" "z" 4; "d" "j" "u" "y" 3; "e" "l" "v" 3;
"a" "w" 4; "b" "a" "b" 3; "c" "c" "l" "z" 4; "d" "j" "u" "y" 3; "e" "l" "v" 3;
"a" "w" 4; "b" "a" "b" 3; "c" "c" "l" "z" 4; "d" "j" "u" "y" 3; "e" "l" "s" "v" 3;
"a" "w" 4; "b" "a" "b" 3; "c" "c" "l" "z" 4; "d" "j" "u" "y" 3; "e" "l" "s" "v" 3;
"a" "w" 4; "b" "a" "b" 3; "c" "c" "l" "z" 4; "d" "j" "u" "y" 3; "e" "l" "s" "v" 3;
"a" "w" 4; "b" "b" 4; "c" "c" "l" "z" 4; "d" "j" "u" "y" 3; "e" "l" "s" "v" 3;
"a" "w" 4; "b" "b" 4; "c" "c" "l" "z" 4; "d" "j" "u" "y" 3; "e" "l" "s" "v" 3;
"a" "w" 4; "b" "b" 4; "c" "c" "d" "l" "z" 4; "d" "j" "u" "y" 3; "e" "l" "s" "v" 3;
"a" "w" 4; "b" "b" 4; "c" "c" "d" "l" "z" 4; "d" "j" "u" "y" 3; "e" "l" "s" "v" 3;
"a" "w" 4; "b" "b" 4; "c" "c" "d" "l" "z" 4; "d" "j" "u" "y" 3; "e" "l" "s" "v" 3;
"a" "w" 4; "b" "b" 4; "c" "c" "d" "l" "z" 4; "d" "j" "u" "y" 3; "e" "l" "s" "v" 3;
"a" "w" 4; "b" "b" 4; "c" "c" "d" "l" "z" 4; "d" "j" "u" "y" 3; "e" "l" "s" "v" 3;
"a" "w" 4; "b" "b" 4; "c" "c" "d" "l" "z" 4; "d" "j" "u" "y" 3; "e" "l" "s" "v" 3;
"a" "w" 4; "b" "b" 4; "c" "c" "d" "l" "z" 4; "d" "j" "u" "y" 3; "e" "l" "s" "v" 3;
"a" "w" 4; "b" "b" 4; "c" "c" "d" "l" "z" 4; "d" "j" "u" "y" 3; "e" "l" "s" "v" 3;
"a" "w" 4; "b" "b" 4; "c" "c" "d" "l" "z" 4; "d" "u" 4; "e" "l" "s" "v" 3;
"a" "w" 4; "b" "b" 4; "c" "c" "d" "l" "z" 4; "d" "u" 4; "e" "l" "s" "v" 3;
"a" "w" 4; "b" "b" 4; "c" "c" "d" "l" "z" 4; "d" "u" 4; "e" "l" "s" "v" 3;
"a" "w" 4; "b" "b" 4; "c" "c" "d" "l" "z" 4; "d" "u" 4; "e" "l" "s" "v" 3;
"a" "w" 4; "b" "b" 4; "c" "c" "d" "l" "z" 4; "d" "u" 4; "e" "l" "s" "v" 3;
"a" "w" "z" 4; "b" "b" 4; "c" "c" "d" "l" "z" 4; "d" "u" 4; "e" "l" "s" "v" 3;
"a" "w" "z" 4; "b" "b" 4; "c" "c" "d" "l" "z" 4; "d" "u" 4; "e" "l" "s" "v" 3;
"a" "w" "z" 4; "b" "b" 4; "c" "c" "d" "l" "z" 4; "d" "u" 4; "e" "l" "s" "v" 3;
"a" "w" "z" 4; "b" "b" 4; "c" "c" "d" "l" "z" 4; "d" "u" 4; "e" "l" "s" "v" 3;
"a" "w" "z" 4; "b" "b" 4; "c" "c" "d" "l" "z" 4; "d" "u" 4; "e" "l" "s" "v" 3;
"a" "w" "z" 4; "b" "b" 4; "c" "c" "d" "l" "z" 4; "d" "u" 4; "e" "l" "s" "v" 3;
"a" "w" "z" 4; "b" "b" 4; "c" "l" 5; "d" "u" 4; "e" "l" "s" "v" 3;
"a" "w" "z" 4; "b" "b" 4; "c" "l" 5; "d" "u" 4; "e" "l" "s" "v" 3;
"a" "w" "z" 4; "b" "b" 4; "c" "l" 5; "d" "u" 4; "e" "l" "s" "v" 3;
"a" "w" "z" 4; "b" "b" 4; "c" "l" 5; "d" "u" 4; "e" "l" "s" "v" 3;
"a" "w" "z" 4; "b" "b" 4; "c" "l" 5; "d" "u" 4; "e" "l" "s" "v" 3;
"a" "w" "z" 4; "b" "b" 4; "c" "l" 5; "d" "u" 4; "e" "l" "s" "v" "z" 3;
"a" "w" "z" 4; "b" "b" 4; "c" "l" 5; "d" "u" 4; "e" "l" "s" "v" "z" 3;
"a" "w" "z" 4; "b" "b" 4; "c" "l" 5; "d" "u" 4; "e" "l" "s" "v" "z" 3;
"a" "w" "z" 4; "b" "b" 4; "c" "l" 5; "d" "u" 4; "e" "l" "s" "v" "z" 3;
"a" "z" 5; "b" "b" 4; "c" "l" 5; "d" "u" 4; "e" "l" "s" "v" "z" 3;
"a" "z" 5; "b" "b" 4; "c" "l" 5; "d" "u" 4; "e" "l" "s" "v" "z" 3;
"a" "z" 5; "b" "b" 4; "c" "l" 5; "d" "u" 4; "e" "l" "s" "v" "z" 3;
"a" "z" 5; "b" "b" 4; "c" "l" 5; "d" "u" 4; "e" "l" "s" "v" "z" 3;
"a" "z" 5; "b" "b" 4; "c" "l" 5; "d" "u" 4; "e" "l" "s" "v" "z" 3;
"a" "z" 5; "b" "b" 4; "c" "l" 5; "d" "u" 4; "e" "l" "s" "v" "z" 3;
"a" "z" 5; "b" "b" 4; "c" "l" 5; "d" "u" 4; "e" "l" "s" "v" "z" 3;
"a" "z" 5; "b" "b" 4; "c" "l" 5; "d" "u" 4; "e" "l" "s" "v" "z" 3;
"a" "z" 5; "b" "b" 4; "c" "l" 5; "d" "u" 4; "e" "l" "s" "v" "z" 3;
"a" "z" 5; "b" "b" 4; "c" "l" 5; "d" "u" 4; "e" "l" "s" "v" "z" 3;
"a" "z" 5; "b" "b" 4; "c" "l" 5; "d" "u" 4; "e" "l" "s" "v" "z" 3;
"a" "z" 5; "b" "b" 4; "c" "l" 5; "d" "u" 4; "e" "l" "s" "v" "z" 3;
"a" "z" 5; "b" "b" 4; "c" "l" 5; "d" "u" 4; "e" "l" "s" "v" "z" 3;
"a" "z" 5; "b" "b" 4; "c" "l" 5; "d" "u" 4; "e" "l" "s" "v" "z" 3;
"a" "z" 5; "b" "b" 4; "c" "l" 5; "d" "u" 4; "e" "l" "s" "v" "z" 3;
"a" "z" 5; "b" "b" 4; "c" "l" 5; "d" "u" 4; "e" "l" "s" "v" "z" 3;
"a" "z" 5; "b" "b" 5; "c" "l" 5; "d" "u" 4; "e" "l" "s" "v" "z" 3;
"a" "z" 5; "b" "b" 5; "c" "l" 5; "d" "u" 4; "e" "l" "s" "v" "z" 3;
"a" "z" 5; "b" "b" 5; "c" "l" 5; "d" "u" 4; "e" "l" "s" "v" "z" 3;
"a" "z" 5; "b" "b" 5; "c" "l" 5; "d" "u" 4; "e" "l" "s" "v" "z" 3;
"a" "z" 5; "b" "b" 5; "c" "l" 5; "d" "u" 4; "e" "l" "s" "v" "z" 3;
"a" "z" 5; "b" "b" 5; "c" "l" 5; "d" "u" 4; "e" "l" "s" "v" "z" 3;
"a" "z" 5; "b" "b" 5; "c" "c" "l" 5; "d" "u" 4; "e" "l" "s" "v" "z" 3;
"a" "z" 5; "b" "b" 5; "c" "c" 6; "d" "u" 4; "e" "l" "s" "v" "z" 3;
"a" "z" 5; "b" "b" 5; "c" "c" 6; "d" "u" 4; "e" "l" "s" "v" "z" 3;
"a" "z" 5; "b" "b" 5; "c" "c" 6; "d" "d" "u" 4; "e" "l" "s" "v" "z" 3;
"a" "z" 5; "b" "b" 5; "c" "c" 6; "d" "d" "u" 4; "e" "l" "s" "v" "z" 3;
"a" "z" 5; "b" "b" 5; "c" "c" 6; "d" "d" 5; "e" "l" "s" "v" "z" 3;
