none
none
none
none
none
none
none
"c" "l" 1;
"c" "l" 1;
"c" "l" 1;
"c" "l" 1; "e" "x" 1;
"c" "l" 1; "e" "x" 1;
"c" "d" "l" 1; "e" "x" 1;
"c" "d" "l" 1; "e" "x" 1;
"b" "y" 1; "c" "d" "l" 1; "d" "r" 1; "e" "x" 1;
"b" "y" 1; "c" "d" "l" 1; "d" "r" 1; "e" "t" "x" 1;
"b" "y" 1; "c" "d" "l" 1; "d" "r" 1; "e" "t" "x" 1;
"b" "y" 1; "c" "d" "l" 1; "d" "r" 1; "e" "t" "x" 1;
"b" "y" 1; "c" "d" "l" 1; "d" "r" 1; "e" "t" "x" 1;
"a" "m" 1; "b" "y" "z" 1; "c" "d" "l" "r" "u" 1; "d" "g" "r" "v" "y" 1; "e" "t" "x" 1;
"a" "m" 1; "b" "y" "z" 1; "c" "d" "l" "r" "u" 1; "d" "g" "r" "v" "y" 1; "e" "t" "x" 1;
"a" "m" 1; "b" "y" "z" 1; "c" "d" "l" "r" "u" 1; "d" "g" "r" "v" "y" 1; "e" "t" "x" 1;
"a" "m" 1; "b" "y" "z" 1; "c" "d" "l" "o" "r" "t" "u" 1; "d" "g" "r" "v" "y" 1; "e" "t" "v" "x" 1;
"a" "m" 1; "b" "y" "z" 1; "c" "d" "l" "o" "r" "t" "u" 1; "d" "g" "r" "v" "y" 1; "e" "t" "u" "v" "x" 1;
"a" "m" 1; "b" "y" "z" 1; "c" "b" "d" "l" "o" "r" "t" "u" 1; "d" "g" "n" "r" "v" "y" 1; "e" "t" "u" "v" "x" 1;
"a" "m" 1; "b" "y" "z" 1; "c" "b" "d" "l" "o" "r" "t" "u" 1; "d" "g" "n" "r" "v" "y" 1; "e" "t" "u" "v" "x" 1;
"a" "h" "m" 1; "b" "y" "z" 1; "c" "d" "l" 2; "d" "g" "m" "n" "r" "v" "y" 1; "e" "t" "u" "v" "x" 1;
"a" "h" "m" 1; "b" "y" "z" 1; "c" "d" "l" 2; "d" "g" "m" "n" "r" "v" "y" 1; "e" "t" "u" "v" "x" 1;
"a" "h" "m" 1; "b" "y" "z" 1; "c" "d" "l" 2; "d" "g" "m" "n" "r" "v" "y" 1; "e" "t" "u" "v" "x" 1;
"a" "h" "m" 1; "b" "y" "z" 1; "c" "d" "l" 2; "d" "g" "m" "n" "r" "v" "y" 1; "e" "t" "u" "v" "x" 1;
"a" "h" "m" 1; "b" "y" "z" 1; "c" "d" "l" 2; "d" "g" "m" "n" "r" "v" "y" 1; "e" "t" "u" "v" "x" 1;
"a" "m" 2; "b" "y" "z" 1; "c" "d" "l" 2; "d" "g" "m" "n" "r" "v" "y" 1; "e" "t" "u" "v" "x" 1;
"a" "h" "m" 2; "b" "n" "y" "z" 1; "c" "d" "l" 2; "d" "g" "k" "m" "n" "r" "v" "y" 1; "e" "t" "u" "v" "x" 1;
"a" "h" "m" 2; "b" "n" "y" "z" 1; "c" "d" 4; "d" "g" "k" "m" "n" "r" "v" "y" 1; "e" "r" "t" "u" "v" "x" 1;
"a" "h" "m" 2; "b" "n" "y" "z" 1; "c" "d" 4; "d" "g" "k" "m" "n" "r" "v" "y" 1; "e" "r" "t" "u" "v" "x" 1;
"a" "h" "m" 2; "b" "n" "y" "z" 1; "c" "d" 4; "d" "g" "k" "m" "n" "r" "v" "y" 1; "e" "i" "r" "t" "u" "v" "w" "x" 1;
"a" "h" "m" 2; "b" "n" "y" "z" 1; "c" "d" 4; "d" "g" "k" "m" "n" "r" "v" "y" 1; "e" "i" "r" "t" "u" "v" "w" "x" 1;
"a" "h" "m" 2; "b" "n" "y" "z" 1; "c" "d" 4; "d" "g" "k" "m" "n" "r" "v" "y" 1; "e" "i" "r" "t" "u" "v" "w" "x" 1;
"a" "h" "m" 2; "b" "n" "y" "z" 1; "c" "d" 4; "d" "g" "k" "m" "n" "r" "v" "y" 1; "e" "g" "i" "r" "t" "u" "v" "w" "x" 1;
"a" "h" "m" "o" 2; "b" "d" "n" "y" "z" 1; "c" "d" 4; "d" "g" "k" "m" "n" "r" "v" "y" 1; "e" "g" "i" "r" "t" "u" "v" "w" "x" 1;
"a" "h" "m" "o" 2; "b" "d" "n" "y" "z" 1; "c" "d" 4; "d" "g" "k" "m" "n" "r" "v" "y" 1; "e" "g" "i" "r" "t" "u" "v" "w" "x" 1;
"a" "h" "m" "o" 2; "b" "d" "n" "y" "z" 1; "c" "d" 4; "d" "g" "k" "m" "n" "r" "v" "y" 1; "e" "g" "i" "r" "t" "u" "v" "w" "x" 1;
"a" "h" "m" "o" 2; "b" "d" "n" "y" "z" 1; "c" "d" 4; "d" "g" "k" "m" "n" "r" "v" "y" 1; "e" "g" "i" "r" "t" "u" "v" "w" "x" 1;
"a" "h" "m" "o" 2; "b" "d" "n" "y" "z" 1; "c" "d" 4; "d" "g" "k" "m" "n" "r" "v" "y" 1; "e" "g" "i" "r" "t" "u" "v" "w" "x" 1;
"a" "h" "m" "o" 2; "b" "d" "n" "y" "z" 1; "c" "d" 4; "d" "g" "k" "m" "n" "r" "v" "y" 1; "e" "g" "i" "r" "t" "u" "v" "w" "x" 1;
"a" "h" "m" "o" 2; "b" "d" "n" "y" "z" 1; "c" "d" 4; "d" "v" 2; "e" "g" "i" "r" "t" "u" "v" "w" "x" 1;
"a" "h" "m" "o" 2; "b" "y" 2; "c" "d" 4; "d" "v" 2; "e" "g" "i" "k" "r" "t" "u" "v" "w" "x" 1;
"a" "h" "m" "o" 2; "b" "y" 2; "c" "d" 4; "d" "v" 2; "e" "g" "i" "k" "r" "t" "u" "v" "w" "x" 1;
"a" "h" "k" "m" "o" 2; "b" "y" 2; "c" "d" 4; "d" "g" "v" 2; "e" "g" "i" "k" "r" "t" "u" "v" "w" "x" 1;
"a" "h" "k" "m" "o" 2; "b" "y" 2; "c" "d" 4; "d" "g" "v" 2; "e" "g" "i" "k" "r" "t" "u" "v" "w" "x" 1;
"a" "h" "k" "m" "o" 2; "b" "y" 2; "c" "d" 4; "d" "g" "v" 2; "e" "g" "i" "k" "r" "t" "u" "v" "w" "x" 1;
"a" "h" "k" "m" "o" 2; "b" "y" 2; "c" "d" 4; "d" "g" "v" 2; "e" "g" "i" "k" "r" "t" "u" "v" "w" "x" 1;
"a" "h" "k" "m" "o" 2; "b" "y" 2; "c" "d" 4; "d" "g" "v" 2; "e" "g" "i" "k" "r" "t" "u" "v" "w" "x" 1;
"a" "h" "k" "m" "o" 2; "b" "y" "z" 2; "c" "d" 4; "d" "g" "v" 2; "e" "g" "i" "k" "r" "t" "u" "v" "w" "x" 1;
"a" "h" "k" "m" "o" 2; "b" "y" "z" 2; "c" "d" 4; "d" "g" "v" 2; "e" "g" "i" "k" "r" "t" "u" "v" "w" "x" 1;
"a" "h" "k" "m" "o" 2; "b" "y" "z" 2; "c" "d" 4; "d" "g" "v" 2; "e" "g" "i" "k" "r" "t" "u" "v" "w" "x" 1;
"a" "h" "k" "m" "o" 2; "b" "y" "z" 2; "c" "d" 5; "d" "v" 3; "e" "g" "h" "i" "k" "r" "u" "v" "w" "x" 1;
"a" "m" 3; "b" "y" "z" 2; "c" "d" 5; "d" "v" 3; "e" "g" "h" "i" "k" "r" "u" "v" "w" "x" 1;
"a" "m" 3; "b" "y" "z" 2; "c" "d" 5; "d" "v" 3; "e" "g" "h" "i" "k" "r" "u" "v" "w" "x" 1;
"a" "m" 4; "b" "y" "z" 2; "c" "d" 5; "d" "v" 3; "e" "g" "h" "i" "k" "r" "u" "v" "w" "x" 1;
"a" "m" 4; "b" "y" "z" 2; "c" "d" 5; "d" "v" 3; "e" "g" "h" "i" "k" "r" "u" "v" "w" "x" 1;
"a" "m" 4; "b" "y" "z" 2; "c" "d" 5; "d" "v" 3; "e" "g" "h" "i" "k" "r" "u" "v" "w" "x" 1;
"a" "m" 4; "b" "y" "z" 2; "c" "d" 5; "d" "v" 3; "e" "g" "h" "i" "k" "r" "u" "v" "w" "x" 1;
"a" "m" 4; "b" "y" "z" 2; "c" "d" 5; "d" "v" 3; "e" "g" "h" "i" "k" "r" "u" "v" "w" "x" 1;
"a" "m" 4; "b" "y" "z" 2; "c" "d" 5; "d" "v" 3; "e" "g" "h" "i" "k" "r" "u" "v" "w" "x" 1;
"a" "m" 4; "b" "y" "z" 2; "c" "d" 5; "d" "v" 3; "e" "g" "h" "i" "k" "r" "u" "v" "w" "x" 1;
"a" "m" 4; "b" "y" "z" 2; "c" "d" 5; "d" "v" 3; "e" "g" "h" "i" "k" "r" "u" "v" "w" "x" 1;
"a" "m" 4; "b" "y" "z" 2; "c" "d" 5; "d" "v" 3; "e" "d" "g" "h" "i" "k" "r" "u" "v" "w" "x" 1;
"a" "m" 4; "b" "m" "y" "z" 2; "c" "d" 5; "d" "v" 3; "e" "d" "g" "h" "i" "k" "r" "u" "v" "w" "x" 1;
"a" "m" 4; "b" "m" "y" "z" 2; "c" "d" 4; "d" "v" 3; "e" "d" "g" "h" "i" "k" "r" "u" "v" "w" "x" 1;
"a" "m" 4; "b" "m" "y" "z" 2; "c" "d" 4; "d" "v" 3; "e" "d" "g" "h" "i" "k" "o" "r" "u" "v" "w" "x" 1;
"a" "m" 4; "b" "m" "y" "z" 2; "c" "d" 4; "d" "v" 3; "e" "d" "g" "h" "i" "k" "o" "r" "u" "v" "w" "x" 1;
"a" "m" 4; "b" "m" "y" "z" 2; "c" "d" 4; "d" "v" 3; "e" "d" "g" "h" "i" "k" "o" "r" "u" "v" "w" "x" 1;
"a" "m" 4; "b" "m" "y" "z" 2; "c" "d" 4; "d" "v" 3; "e" "d" "g" "h" "i" "k" "o" "r" "u" "v" "w" "x" 1;
"a" "m" 4; "b" "m" "y" "z" 2; "c" "d" 4; "d" "v" 3; "e" "d" "g" "h" "i" "k" "o" "r" "u" "v" "w" "x" 1;
"a" "m" 4; "b" "m" "y" "z" 2; "c" "d" 4; "d" "v" 3; "e" "d" "g" "h" "i" "k" "o" "r" "u" "v" "w" "x" 1;
"a" "m" 4; "b" "m" "y" "z" 2; "c" "d" 4; "d" "v" 3; "e" "o" 2;
"a" "m" 4; "b" "m" "y" "z" 2; "c" "d" 4; "d" "v" 3; "e" "o" 2;
"a" "m" 4; "b" "m" "y" "z" 2; "c" "d" 4; "d" "v" 3; "e" "o" 2;
"a" "m" 4; "b" "m" "y" "z" 2; "c" "d" 4; "d" "v" 3; "e" "o" 2;
"a" "m" 4; "b" "m" "y" "z" 2; "c" "d" 4; "d" "v" 3; "e" "o" 2;
"a" "m" 4; "b" "m" "y" "z" 2; "c" "d" 4; "d" "v" 3; "e" "o" 2;
"a" "m" 4; "b" "m" "y" "z" 2; "c" "d" 4; "d" "v" 3; "e" "o" 2;
"a" "m" 4; "b" "i" "m" "y" "z" 2; "c" "d" 4; "d" "v" 3; "e" "a" "o" 2;
"a" "m" 4; "b" "i" "m" "y" "z" 2; "c" "d" 4; "d" "v" 3; "e" "a" "o" 2;
"a" "m" 4; "b" "i" "m" "y" "z" 2; "c" "d" 4; "d" "v" 3; "e" "a" "o" 2;
"a" "m" 4; "b" "i" "m" "y" "z" 2; "c" "d" 4; "d" "v" 3; "e" "a" "o" 2;
"a" "m" 4; "b" "i" "m" "y" "z" 2; "c" "d" 4; "d" "v" 3; "e" "a" "o" 2;
"a" "m" 4; "b" "i" "m" "y" "z" 2; "c" "d" 4; "d" "r" "v" 3; "e" "a" "o" 2;
"a" "m" 4; "b" "i" "m" "y" "z" 2; "c" "d" 4; "d" "r" "v" 3; "e" "a" "o" 2;
"a" "m" 4; "b" "i" "m" "y" "z" 2; "c" "d" 4; "d" "r" "v" 3; "e" "a" "o" 2;
"a" "m" 4; "b" "i" "m" "y" "z" 2; "c" "d" 4; "d" "r" "v" 3; "e" "a" "o" 2;
"a" "m" 4; "b" "i" "m" "y" "z" 2; "c" "d" 4; "d" "r" "v" 3; "e" "a" "o" 2;
"a" "m" 4; "b" "i" "m" "y" "z" 2; "c" "d" 4; "d" "r" "v" 3; "e" "a" "o" 2;
"a" "m" 5; "b" "i" "m" "y" "z" 2; "c" "d" 4; "d" "r" "v" 3; "e" "a" "o" 2;
"a" "m" 5; "b" "i" "m" "y" "z" 2; "c" "d" 4; "d" "r" "v" 3; "e" "a" "o" 2;
"a" "m" 5; "b" "i" "m" "y" "z" 2; "c" "d" 4; "d" "r" "v" 3; "e" "a" "o" 2;
"a" "m" 5; "b" "i" "m" "y" "z" 2; "c" "d" 4; "d" "r" "v" 3; "e" "a" "o" 2;
"a" "m" 5; "b" "i" "m" "y" "z" 2; "c" "d" 4; "d" "r" "v" 3; "e" "a" "o" 2;
"a" "m" 5; "b" "i" "m" "y" "z" 2; "c" "d" 4; "d" "r" "v" 3; "e" "a" "o" 2;
"a" "m" 5; "b" "i" "m" "y" "z" 2; "c" "d" 4; "d" "r" "v" 3; "e" "a" "o" 2;
"a" "m" 5; "b" "i" "m" "y" "z" 2; "c" "d" 4; "d" "r" "v" 3; "e" "a" "o" 2;
"a" "m" 5; "b" "i" "m" "y" "z" 2; "c" "d" 4; "d" "r" "v" 3; "e" "a" "o" 2;
"a" "m" 5; "b" "i" "m" "y" "z" 2; "c" "d" 4; "d" "r" "v" 3; "e" "a" "o" 2;
"a" "m" 5; "b" "i" "m" "y" "z" 2; "c" "d" 4; "d" "r" "v" 3; "e" "a" "o" 2;
"a" "m" 5; "b" "e" "i" "m" "y" "z" 2; "c" "d" 4; "d" "n" "r" "v" 3; "e" "a" "f" "o" 2;
"a" "m" 5; "b" "e" "i" "m" "y" "z" 2; "c" "d" 4; "d" "n" "r" "v" 3; "e" "a" "f" "o" 2;
"a" "m" 5; "b" "e" "i" "m" "y" "z" 2; "c" "d" 4; "d" "n" "r" "v" 3; "e" "a" "f" "o" 2;
"a" "m" 5; "b" "e" "i" "m" "y" "z" 2; "c" "d" 4; "d" "n" "r" "v" 3; "e" "a" "f" "o" 2;
"a" "m" 5; "b" "e" "i" "m" "y" "z" 2; "c" "d" 4; "d" "n" "r" "v" 3; "e" "a" "f" "k" "o" 2;
"a" "m" 5; "b" "e" "i" "m" "y" "z" 2; "c" "d" 4; "d" "n" "r" "v" 3; "e" "a" "f" "k" "o" 2;
"a" "m" 5; "b" "e" "i" "m" "y" "z" 2; "c" "d" 4; "d" "n" "r" "v" 3; "e" "a" "f" "k" "o" 2;
"a" "m" 5; "b" "e" "i" "m" "y" "z" 2; "c" "d" 4; "d" "n" "r" "v" 3; "e" "a" "f" "k" "o" 2;
"a" "m" 5; "b" "e" "i" "m" "y" "z" 2; "c" "d" 4; "d" "n" "r" "v" 3; "e" "a" "f" "k" "o" 2;
"a" "m" 5; "b" "e" "i" "m" "y" "z" 2; "c" "d" 4; "d" "n" "r" "v" 3; "e" "a" "f" "k" "o" 2;
"a" "m" 5; "b" "e" "i" "m" "y" "z" 2; "c" "d" 4; "d" "n" "r" "v" 3; "e" "a" "f" "k" "o" 2;
"a" "m" 5; "b" "e" "i" "m" "y" "z" 2; "c" "d" 4; "d" "n" "r" 3; "e" "a" "f" "k" "o" "v" "w" 2;
"a" "m" 5; "b" "e" "i" "m" "y" "z" 2; "c" "d" 4; "d" "n" "r" 3; "e" "a" "f" "k" "o" "v" "w" 2;
"a" "m" 5; "b" "e" "i" "m" "y" "z" 2; "c" "d" 4; "d" "n" "r" 3; "e" "a" "f" "k" "o" "v" "w" 2;
"a" "m" 5; "b" "e" "i" "m" "y" "z" 2; "c" "d" 4; "d" "n" "r" 3; "e" "a" "f" "k" "o" "v" "w" 2;
"a" "m" 5; "b" "e" "i" "m" "y" "z" 2; "c" "d" 4; "d" "n" "r" 3; "e" "a" "f" "i" "k" "o" "v" "w" 2;
"a" "m" 5; "b" "e" "i" "m" "y" "z" 2; "c" "d" 4; "d" "n" "r" 3; "e" "a" "f" "i" "k" "o" "v" "w" 2;
"a" "m" 5; "b" "e" "i" "m" "y" "z" 2; "c" "d" 4; "d" "n" "r" 3; "e" "w" 3;
"a" "m" 5; "b" "e" "i" "m" "y" "z" 2; "c" "d" 4; "d" "n" "r" 3; "e" "w" 3;
"a" "m" 5; "b" "e" "i" "m" "y" "z" 2; "c" "d" 4; "d" "n" "r" 3; "e" "w" 3;
"a" "m" 5; "b" "e" "i" "m" "y" "z" 2; "c" "d" 4; "d" "n" "r" 3; "e" "w" 3;
"a" "m" 5; "b" "e" "i" "m" "y" "z" 2; "c" "d" 4; "d" "n" "r" 3; "e" "w" 3;
"a" "m" 5; "b" "e" "i" "m" "y" "z" 2; "c" "d" 4; "d" "n" "r" 3; "e" "w" 3;
"a" "m" 5; "b" "e" "i" "m" "y" "z" 2; "c" "d" 4; "d" "n" "r" 3; "e" "m" "w" 3;
"a" "m" 5; "b" "e" "i" "m" "y" "z" 2; "c" "d" 4; "d" "n" "r" 3; "e" "m" "w" 3;
"a" "m" 5; "b" "e" "i" "m" "y" "z" 2; "c" "d" 4; "d" "n" "r" 3; "e" "m" "w" 3;
"a" "m" 5; "b" "e" "i" "m" "y" "z" 2; "c" "d" 4; "d" "n" "r" 3; "e" "m" "w" 3;
"a" "m" 5; "b" "e" "i" "m" "y" "z" 2; "c" "d" 4; "d" "n" "r" 3; "e" "m" "w" 3;
"a" "m" 5; "b" "e" "i" "m" "y" "z" 2; "c" "d" 4; "d" "n" "r" 3; "e" "m" "w" 3;
"a" "m" 5; "b" "e" "i" "m" "y" "z" 2; "c" "d" 4; "d" "n" "r" 3; "e" "m" "w" 3;
"a" "m" 5; "b" "e" "i" "m" "y" "z" 2; "c" "d" 4; "d" "n" "r" 3; "e" "m" "w" 3;
"a" "m" 5; "b" "e" "i" "m" "y" "z" 2; "c" "d" 5; "d" "n" "r" 3; "e" "m" "w" 3;
"a" "m" 5; "b" "e" "i" "m" "y" "z" 2; "c" "d" 5; "d" "n" "r" 3; "e" "m" "w" 3;
"a" "m" 5; "b" "e" "i" "m" "y" "z" 2; "c" "d" 5; "d" "n" "r" 3; "e" "m" "w" 3;
"a" "m" 5; "b" "e" "i" "m" "y" "z" 2; "c" "d" 5; "d" "n" "r" 3; "e" "m" "w" 3;
"a" "m" 5; "b" "e" "i" "m" "y" "z" 2; "c" "d" 5; "d" "n" 4; "e" "m" "w" 3;
"a" "m" 5; "b" "e" "i" "m" "y" "z" 2; "c" "d" 5; "d" "n" 4; "e" "m" "w" 3;
"a" "m" 5; "b" "e" "i" "m" "y" "z" 2; "c" "d" 5; "d" "n" 4; "e" "m" "w" 3;
"a" "m" 5; "b" "i" 3; "c" "d" 5; "d" "n" 4; "e" "m" "w" 3;
"a" "m" 5; "b" "i" 3; "c" "d" 5; "d" "n" 4; "e" "m" "w" 3;
"a" "m" 5; "b" "i" 3; "c" "d" 5; "d" "n" 4; "e" "m" "w" 3;
"a" "m" 5; "b" "i" 3; "c" "d" 5; "d" "n" 4; "e" "m" "w" 3;
"a" "m" 5; "b" "i" 3; "c" "d" 5; "d" "n" 4; "e" "m" "w" 3;
"a" "m" 5; "b" "i" 3; "c" "d" 5; "d" "n" 4; "e" "m" "w" 3;
"a" "m" 5; "b" "i" 3; "c" "d" 5; "d" "n" 4; "e" "m" "w" 3;
"a" "m" 5; "b" "i" 3; "c" "d" 5; "d" "n" 4; "e" "m" "w" 3;
"a" "m" 5; "b" "i" 3; "c" "d" 5; "d" "n" 4; "e" "m" "w" 3;
"a" "m" 5; "b" "i" 3; "c" "d" 5; "d" "n" 4; "e" "m" "w" 3;
"a" "m" 5; "b" "i" 3; "c" "d" 5; "d" "n" 4; "e" "m" "w" 3;
"a" "m" 5; "b" "i" 3; "c" "d" 5; "d" "n" 4; "e" "m" "w" 3;
"a" "m" 5; "b" "i" 3; "c" "d" 5; "d" "n" 4; "e" "m" "w" 3;
"a" "m" 5; "b" "i" 3; "c" "d" 5; "d" "n" 4; "e" "m" "w" 3;
"a" "m" 5; "b" "i" 3; "c" "d" 5; "d" "n" 4; "e" "m" "w" 3;
"a" "m" 5; "b" "i" 3; "c" "d" 5; "d" "n" 4; "e" "m" "w" 3;
"a" "m" 5; "b" "i" 3; "c" "d" 5; "d" "n" 4; "e" "m" "w" 3;
"a" "m" 5; "b" "i" 3; "c" "d" 5; "d" "n" 4; "e" "m" "w" 3;
"a" "m" 5; "b" "i" 3; "c" "d" 5; "d" "n" 4; "e" "m" "w" 3;
"a" "m" 5; "b" "i" 3; "c" "d" 5; "d" "n" 4; "e" "m" "w" 3;
"a" "m" 5; "b" "i" 3; "c" "d" 5; "d" "n" 4; "e" "d" "m" "w" 3;
"a" "m" 5; "b" "i" 3; "c" "d" 5; "d" "n" 4; "e" "d" "m" "w" 3;
"a" "m" 5; "b" "i" 3; "c" "d" 5; "d" "n" 4; "e" "d" "m" "w" 3;
"a" "m" 5; "b" "i" 3; "c" "d" 5; "d" "n" 4; "e" "d" "m" "v" "w" 3;
"a" "m" 5; "b" "i" 3; "c" "d" 5; "d" "n" 4; "e" "d" "m" "v" "w" 3;
"a" "m" 5; "b" "i" 3; "c" "d" 5; "d" "n" 4; "e" "d" "m" "v" "w" 3;
"a" "m" 5; "b" "i" 3; "c" "d" 5; "d" "n" 4; "e" "d" "m" "v" "w" 3;
"a" "m" 5; "b" "i" 3; "c" "d" 5; "d" "n" 4; "e" "d" "m" "v" "w" 3;
"a" "m" 5; "b" "i" 3; "c" "d" 5; "d" "n" 4; "e" "d" "m" "v" "w" 3;
"a" "m" 5; "b" "i" 3; "c" "d" 5; "d" "n" 4; "e" "d" "m" "v" "w" 3;
"a" "m" 5; "b" "i" 3; "c" "d" 5; "d" "n" 4; "e" "d" "m" "v" "w" 3;
"a" "m" 5; "b" "i" 3; "c" "d" 5; "d" "n" 4; "e" "d" "m" "v" "w" 3;
"a" "m" 5; "b" "i" 3; "c" "d" 5; "d" "g" "n" 4; "e" "d" "m" "v" "w" 3;
"a" "m" 5; "b" "i" 3; "c" "d" 5; "d" "g" "n" 4; "e" "d" "m" "v" "w" 3;
"a" "m" 5; "b" "i" 3; "c" "d" 5; "d" "g" "n" 4; "e" "d" "m" "v" "w" 3;
"a" "m" 5; "b" "i" 3; "c" "d" 5; "d" "g" "n" 4; "e" "d" "m" "v" "w" 3;
"a" "m" 5; "b" "i" 3; "c" "d" 5; "d" "g" "n" 4; "e" "d" "m" "v" "w" 3;
"a" "m" 5; "b" "i" "n" 3; "c" "d" 5; "d" "g" "n" 4; "e" "d" "m" "v" "w" 3;
"a" "m" 5; "b" "i" "n" 3; "c" "d" 5; "d" "g" "n" 4; "e" "d" "m" "v" "w" 3;
"a" "m" 5; "b" "i" "n" 3; "c" "d" 5; "d" "g" "n" 4; "e" "m" 4;
"a" "m" 5; "b" "i" "n" 3; "c" "d" 5; "d" "g" "n" 4; "e" "m" 4;
"a" "m" 5; "b" "n" 4; "c" "d" 5; "d" "g" "n" 4; "e" "m" 4;
"a" "m" 5; "b" "n" 4; "c" "d" 5; "d" "g" "n" 4; "e" "m" 4;
"a" "m" 5; "b" "n" 4; "c" "d" 5; "d" "g" "n" 4; "e" "m" 4;
"a" "m" 5; "b" "n" 4; "c" "d" 5; "d" "g" "n" 4; "e" "m" 4;
"a" "m" 5; "b" "n" 4; "c" "d" 5; "d" "g" "n" 4; "e" "m" 4;
"a" "m" 5; "b" "n" 4; "c" "d" 5; "d" "g" "n" 4; "e" "m" 4;
"a" "m" 5; "b" "n" 4; "c" "d" 5; "d" "g" "n" 4; "e" "m" 4;
"a" "m" 5; "b" "n" 4; "c" "d" 5; "d" "g" "n" 4; "e" "m" 4;
"a" "m" 5; "b" "n" 4; "c" "d" 5; "d" "g" "n" 4; "e" "m" 4;
"a" "m" 5; "b" "n" 4; "c" "d" 5; "d" "g" "n" 4; "e" "k" "m" 4;
"a" "m" 5; "b" "n" 4; "c" "d" 5; "d" "g" "n" 4; "e" "k" "m" 4;
"a" "m" 5; "b" "n" 4; "c" "d" 5; "d" "g" "n" 4; "e" "k" "m" 4;
"a" "m" 5; "b" "n" 4; "c" "d" 5; "d" "g" "n" 4; "e" "k" "m" 4;
"a" "m" 5; "b" "n" 4; "c" "d" 5; "d" "g" "n" 4; "e" "k" "m" 4;
"a" "m" 5; "b" "n" 4; "c" "d" 5; "d" "g" "n" 4; "e" "k" "m" 4;
"a" "m" 5; "b" "n" 4; "c" "d" 5; "d" "g" "n" 4; "e" "k" "m" 4;
"a" "m" 5; "b" "n" 4; "c" "d" 5; "d" "g" "n" 4; "e" "k" "m" 4;
"a" "m" 5; "b" "n" 4; "c" "d" 5; "d" "g" "n" 4; "e" "k" "m" 4;
"a" "m" 5; "b" "n" 4; "c" "d" 5; "d" "g" "n" 4; "e" "k" "m" 4;
"a" "m" 5; "b" "n" 4; "c" "d" 5; "d" "g" "n" 4; "e" "k" "m" 4;
"a" "m" 5; "b" "n" 4; "c" "d" 5; "d" "g" "n" 4; "e" "k" "m" 4;
"a" "m" 5; "b" "n" 4; "c" "d" 5; "d" "g" "n" 4; "e" "k" "m" 4;
"a" "m" 5; "b" "n" 4; "c" "d" 5; "d" "g" "n" 4; "e" "k" "m" 4;
"a" "m" 5; "b" "n" 4; "c" "d" 5; "d" "g" "n" 4; "e" "k" "m" 4;
"a" "m" 5; "b" "n" 4; "c" "d" 5; "d" "g" "n" 4; "e" "k" "m" 4;
"a" "m" 5; "b" "n" 4; "c" "d" 5; "d" "g" "n" 4; "e" "k" "m" 4;
"a" "m" 5; "b" "n" 4; "c" "d" 5; "d" "g" "n" 4; "e" "k" "m" 4;
"a" "m" 5; "b" "n" 4; "c" "d" 5; "d" "g" "n" 4; "e" "k" "m" 4;
"a" "m" 5; "b" "n" 4; "c" "d" 5; "d" "g" "n" 4; "e" "k" "m" 4;
"a" "m" 5; "b" "n" 4; "c" "d" 5; "d" "g" "n" 4; "e" "k" "m" 4;
