none
none
none
"d" "o" 1;
"d" "o" 1;
"a" "x" 1; "b" "z" 1; "d" "o" 1;
"a" "x" 1; "b" "z" 1; "d" "o" 1;
"a" "x" 1; "b" "z" 1; "d" "o" 1;
"a" "x" 1; "b" "z" 1; "d" "o" 1;
"a" "x" 1; "b" "z" 1; "d" "o" 1;
"a" "x" 1; "b" "z" 1; "d" "o" 1;
"a" "x" 1; "b" "z" 1; "d" "o" 1;
"a" "x" 1; "b" "z" 1; "d" "o" 1;
"a" "x" 1; "b" "z" 1; "d" "o" 1;
"a" "x" 1; "b" "z" 1; "d" "o" 1;
"a" "x" 1; "b" "z" 1; "d" "o" 1;
"a" "x" 1; "b" "z" 1; "d" "j" "o" 1;
"a" "x" 1; "b" "z" 1; "d" "j" "o" 1;
"a" "x" 1; "b" "z" 1; "d" "j" "o" 1;
"a" "x" 1; "b" "z" 1; "d" "j" "o" 1;
"a" "x" 1; "b" "z" 1; "d" "j" "o" 1;
"a" "x" 1; "b" "z" 1; "d" "j" "o" 1;
"a" "x" 1; "b" "z" 1; "d" "j" "o" 1;
"a" "x" 1; "b" "z" 1; "d" "j" "o" 1;
"a" "x" 1; "b" "z" 1; "d" "j" "o" 1;
"a" "x" 1; "b" "z" 1; "d" "j" "o" 1;
"a" "x" 1; "b" "z" 1; "d" "j" "o" 1;
"a" "x" 1; "b" "z" 1; "d" "j" "o" 1;
"a" "x" 1; "b" "z" 1; "c" "i" 1; "d" "j" "o" 1;
"a" "x" 1; "b" "z" 1; "c" "i" 1; "d" "j" "o" 1;
"a" "x" 1; "b" "z" 1; "c" "i" 1; "d" "j" "o" 1;
"a" "x" 1; "b" "z" 1; "c" "i" 1; "d" "j" "o" 1;
"a" "x" 1; "b" "z" 1; "c" "i" 1; "d" "j" "o" 1;
"a" "x" 1; "b" "z" 1; "c" "i" 1; "d" "j" "o" 1;
"a" "x" 1; "b" "z" 1; "c" "i" 1; "d" "j" "o" 1;
"a" "x" 1; "b" "z" 1; "c" "i" 1; "d" "j" "o" 1;
"a" "x" 1; "b" "z" 1; "c" "i" 1; "d" "j" "o" 1;
"a" "x" 1; "b" "m" "z" 1; "c" "i" 1; "d" "j" "o" 1;
"a" "x" 1; "b" "m" "z" 1; "c" "i" 1; "d" "j" "o" 1;
"a" "x" 1; "b" "m" "z" 1; "c" "i" 1; "d" "j" "o" 1;
"a" "a" "m" "x" 1; "b" "k" 3; "c" "h" "i" "y" 1; "d" "b" "j" "m" "o" 1; "e" "e" "i" "m" "z" 1;
"a" "a" "m" "x" 1; "b" "k" 3; "c" "h" "i" "y" 1; "d" "b" "j" "m" "o" 1; "e" "e" "i" "m" "z" 1;
"a" "a" "m" "x" 1; "b" "k" 3; "c" "h" "i" "y" 1; "d" "b" "j" "m" "o" 1; "e" "e" "i" "m" "z" 1;
"a" "a" "m" "x" 1; "b" "k" 3; "c" "a" "h" "i" "t" "y" 1; "d" "b" "e" "j" "m" "o" "p" 1; "e" "e" "i" "m" "z" 1;
"a" "a" "m" "x" 1; "b" "k" 3; "c" "a" "h" "i" "t" "y" 1; "d" "b" "e" "j" "m" "o" "p" 1; "e" "b" "e" "i" "m" "z" 1;
"a" "a" "m" "x" 1; "b" "k" 3; "c" "a" "h" "i" "t" "y" 1; "d" "b" "e" "h" "j" "m" "o" "p" 1; "e" "b" 2;
"a" "a" "m" "x" 1; "b" "k" 3; "c" "a" "h" "i" "t" "y" 1; "d" "b" "e" "h" "j" "m" "o" "p" 1; "e" "b" 2;
"a" "a" "m" "x" 1; "b" "k" 3; "c" "a" "h" "i" "t" "y" 1; "d" "b" "e" "h" "j" "m" "o" "p" 1; "e" "b" 2;
"a" "a" "m" "x" 1; "b" "k" 3; "c" "a" "h" "i" "t" "y" 1; "d" "b" "e" "h" "j" "m" "o" "p" 1; "e" "b" 2;
"a" "a" "m" "x" 1; "b" "k" 3; "c" "a" "h" "i" "t" "y" 1; "d" "b" "e" "h" "j" "m" "o" "p" 1; "e" "b" 2;
"a" "a" "m" "x" 1; "b" "k" 3; "c" "a" "b" "h" "i" "t" "y" 1; "d" "b" "e" "h" "j" "m" "o" "p" 1; "e" "b" 2;
"a" "a" "m" "x" 1; "b" "k" 3; "c" "a" "b" "h" "i" "t" "y" 1; "d" "b" "e" "h" "j" "m" "o" "p" 1; "e" "b" 2;
"a" "a" "m" "x" 1; "b" "k" 3; "c" "a" "b" "h" "i" "t" "y" 1; "d" "b" "e" "h" "j" "m" "o" "p" "q" 1; "e" "b" 2;
"a" "a" "m" "x" 1; "b" "k" 3; "c" "a" "b" "h" "i" "t" "y" 1; "d" "b" "e" "h" "j" "m" "o" "p" "q" 1; "e" "b" 2;
"a" "a" "m" "x" 1; "b" "k" 3; "c" "a" "b" "h" "i" "t" "y" 1; "d" "b" "e" "h" "j" "m" "o" "p" "q" 1; "e" "b" 2;
"a" "a" "m" "x" 1; "b" "k" 3; "c" "a" "b" "h" "i" "t" "y" 1; "d" "b" "e" "h" "j" "m" "o" "p" "q" 1; "e" "b" 2;
"a" "a" "m" "x" 1; "b" "k" 3; "c" "a" "b" "h" "i" "t" "y" 1; "d" "b" "e" "h" "j" "m" "o" "p" "q" 1; "e" "b" "e" 2;
"a" "a" "m" "x" 1; "b" "k" 3; "c" "a" "b" "h" "i" "t" "y" 1; "d" "b" "e" "h" "j" "m" "o" "p" "q" 1; "e" "b" "e" 2;
"a" "a" "m" "x" 1; "b" "k" 3; "c" "a" "b" "h" "i" "t" "y" 1; "d" "b" "e" "h" "j" "m" "o" "p" "q" "s" 1; "e" "b" "e" 2;
"a" "a" "m" "x" 1; "b" "k" 4; "c" "a" "b" "h" "i" "t" "y" 1; "d" "b" "e" "h" "j" "m" "o" "p" "q" "s" 1; "e" "b" "e" 2;
"a" "a" "m" "r" "x" 1; "b" "k" 4; "c" "a" "b" "e" "h" "i" "t" "y" 1; "d" "b" "e" "h" "j" "m" "o" "p" "q" "s" 1; "e" "b" "e" 2;
"a" "a" "m" "r" "x" 1; "b" "k" 4; "c" "a" "b" "e" "h" "i" "t" "y" 1; "d" "b" "e" "h" "j" "m" "o" "p" "q" "s" 1; "e" "b" "e" "m" 2;
"a" "a" "m" "r" "x" 1; "b" "k" 4; "c" "a" "b" "e" "h" "i" "t" "y" 1; "d" "b" "e" "h" "j" "m" "o" "p" "q" "s" 1; "e" "b" "e" "m" 2;
"a" "a" "m" "r" "x" 1; "b" "k" 4; "c" "a" "b" "e" "h" "i" "t" "y" 1; "d" "m" 2; "e" "b" "e" "m" 2;
"a" "a" "m" "r" "x" 1; "b" "k" 4; "c" "a" "b" "e" "h" "i" "t" "y" 1; "d" "m" 2; "e" "b" "e" "m" 2;
"a" "a" "m" "r" "x" 1; "b" "k" 4; "c" "a" "b" "e" "h" "i" "t" "y" 1; "d" "m" 2; "e" "b" "e" "m" 2;
"a" "a" "m" "r" "x" 1; "b" "k" 4; "c" "a" "b" "e" "h" "i" "t" "y" 1; "d" "m" 2; "e" "b" "e" "m" 2;
"a" "a" "m" "r" "x" 1; "b" "k" 4; "c" "a" "b" "e" "h" "i" "t" "y" 1; "d" "m" 2; "e" "b" "e" "m" 2;
"a" "m" 2; "b" "k" 4; "c" "a" "b" "e" "h" "i" "t" "y" 1; "d" "m" "p" 2; "e" "b" "e" "m" 2;
"a" "m" 2; "b" "k" 5; "c" "a" "b" "e" "h" "i" "t" "x" "y" 1; "d" "m" "p" 2; "e" "b" "e" "m" 2;
"a" "m" 2; "b" "k" 5; "c" "a" "b" "e" "h" "i" "t" "x" "y" 1; "d" "m" "p" 2; "e" "b" "e" "m" 2;
"a" "m" 2; "b" "k" 5; "c" "a" "b" "e" "h" "i" "t" "x" "y" 1; "d" "m" "p" 2; "e" "b" "e" "m" 2;
"a" "m" 2; "b" "k" 5; "c" "a" "b" "e" "h" "i" "t" "x" "y" 1; "d" "h" "m" "p" 2; "e" "b" "e" "m" 2;
"a" "m" 2; "b" "k" 5; "c" "a" "b" "e" "h" "i" "t" "x" "y" 1; "d" "h" "m" "p" 2; "e" "b" "e" "m" 2;
"a" "m" 2; "b" "k" 5; "c" "a" "b" "e" "h" "i" "t" "x" "y" 1; "d" "h" "m" "p" 2; "e" "a" "b" "e" "m" 2;
"a" "m" 2; "b" "k" 5; "c" "a" "b" "e" "h" "i" "t" "x" "y" 1; "d" "h" "m" "p" 2; "e" "a" "b" "e" "m" 2;
"a" "m" 2; "b" "k" 5; "c" "a" "b" "e" "h" "i" "t" "x" "y" 1; "d" "h" "m" "p" 2; "e" "a" "b" "e" "m" 2;
"a" "m" 2; "b" "k" 5; "c" "a" "b" "e" "h" "i" "t" "x" "y" 1; "d" "h" "m" "p" 2; "e" "a" "b" "e" "m" 2;
"a" "m" 2; "b" "k" 5; "c" "a" "b" "e" "h" "i" "t" "x" "y" 1; "d" "h" "m" "p" 2; "e" "a" "b" "e" "m" 2;
"a" "m" 2; "b" "k" 5; "c" "a" "b" "e" "h" "i" "t" "x" "y" 1; "d" "h" "m" "p" 2; "e" "a" "b" "e" "m" 2;
"a" "m" 2; "b" "k" 5; "c" "a" "b" "e" "h" "i" "j" "t" "x" "y" 1; "d" "h" "m" "p" 2; "e" "a" "b" "e" "m" 2;
"a" "m" 2; "b" "k" 5; "c" "a" "b" "e" "h" "i" "j" "t" "x" "y" 1; "d" "h" "m" "p" 2; "e" "a" "b" "e" "m" 2;
"a" "m" 2; "b" "k" 5; "c" "a" "b" "e" "h" "i" "j" "t" "x" "y" 1; "d" "h" "m" "p" "q" 2; "e" "a" "b" "e" "m" 2;
"a" "m" 2; "b" "k" 5; "c" "a" "b" "e" "h" "i" "j" "t" "x" "y" 1; "d" "h" "m" "p" "q" 2; "e" "a" "b" "e" "m" 2;
"a" "m" 2; "b" "k" 5; "c" "a" "b" "e" "h" "i" "j" "t" "x" "y" 1; "d" "h" "m" "p" "q" 2; "e" "a" "b" "e" "m" 2;
"a" "m" 2; "b" "k" 5; "c" "a" "b" "e" "h" "i" "j" "t" "x" "y" 1; "d" "e" "h" "m" "p" "q" 2; "e" "a" "b" "e" "m" 2;
"a" "m" 2; "b" "k" 5; "c" "a" "b" "e" "h" "i" "j" "t" "x" "y" 1; "d" "e" "h" "m" "p" "q" 2; "e" "a" "b" "e" "m" "t" 2;
"a" "m" 2; "b" "k" 5; "c" "a" "b" "e" "h" "i" "j" "t" "x" "y" "z" 1; "d" "e" "h" "m" "p" "q" 2; "e" "a" "b" "e" "m" "t" 2;
"a" "m" 2; "b" "k" 5; "c" "a" "b" "e" "h" "i" "j" "t" "x" "y" "z" 1; "d" "e" "h" "m" "p" "q" 2; "e" "a" "b" "e" "m" "r" "t" 2;
"a" "m" 2; "b" "k" 5; "c" "a" "b" "e" "h" "i" "j" "t" "x" "y" "z" 1; "d" "e" "h" "m" "p" "q" 2; "e" "a" "b" "e" "m" "r" "t" 2;
"a" "m" 2; "b" "k" 5; "c" "a" "b" "e" "h" "i" "j" "t" "x" "y" "z" 1; "d" "e" "h" "m" "p" "q" 2; "e" "a" "b" "e" "m" "r" "t" 2;
"a" "m" 2; "b" "k" 5; "c" "a" "b" "e" "h" "i" "j" "t" "x" "y" "z" 1; "d" "e" "h" "m" "p" "q" 2; "e" "a" "b" "e" "m" "r" "t" 2;
"a" "m" 2; "b" "k" 5; "c" "a" "b" "e" "h" "i" "j" "t" "x" "y" "z" 1; "d" "e" "h" "m" "p" "q" 2; "e" "a" "b" "e" "m" "r" "t" 2;
"a" "m" 2; "b" "k" 5; "c" "a" "b" "e" "h" "i" "j" "t" "x" "y" "z" 1; "d" "e" "h" "m" "p" "q" 2; "e" "a" "b" "e" "m" "r" "t" 2;
"a" "m" 2; "b" "k" 5; "c" "a" "b" "e" "h" "i" "j" "t" "x" "y" "z" 1; "d" "q" 3; "e" "a" "b" "e" "m" "o" "r" "t" "z" 2;
"a" "m" 2; "b" "k" 5; "c" "a" "b" "e" "h" "i" "j" "t" "x" "y" "z" 1; "d" "q" 3; "e" "a" "b" "e" "m" "o" "r" "t" "z" 2;
"a" "m" 2; "b" "k" 5; "c" "a" "b" "e" "h" "i" "j" "t" "x" "y" "z" 1; "d" "q" 3; "e" "a" "b" "e" "m" "o" "r" "t" "z" 2;
"a" "m" 2; "b" "k" 5; "c" "a" "b" "e" "h" "i" "j" "t" "x" "y" "z" 1; "d" "q" 3; "e" "a" "b" "e" "m" "o" "r" "t" "z" 2;
"a" "m" "o" 2; "b" "k" 5; "c" "a" "b" "e" "h" "i" "j" "t" "x" "y" "z" 1; "d" "q" 3; "e" "a" "b" "e" "m" "o" "r" "t" "z" 2;
"a" "m" "o" 2; "b" "k" 5; "c" "a" "b" "e" "h" "i" "j" "t" "x" "y" "z" 1; "d" "q" 3; "e" "a" "b" "e" "m" "o" "r" "t" "z" 2;
"a" "m" "o" 2; "b" "k" 5; "c" "a" "b" "e" "h" "i" "j" "t" "x" "y" "z" 1; "d" "q" 3; "e" "a" "b" "e" "m" "o" "r" "t" "z" 2;
"a" "m" "o" 2; "b" "k" 6; "c" "a" "b" "e" "h" "i" "j" "t" "u" "x" "y" "z" 1; "d" "q" 3; "e" "r" 3;
"a" "m" "o" 2; "b" "k" 6; "c" "a" "b" "e" "h" "i" "j" "t" "u" "x" "y" "z" 1; "d" "q" 3; "e" "r" 3;
"a" "m" "o" 2; "b" "k" 6; "c" "a" "b" "e" "h" "i" "j" "t" "u" "x" "y" "z" 1; "d" "q" 3; "e" "r" 3;
"a" "m" "o" 2; "b" "k" 6; "c" "e" 2; "d" "q" 3; "e" "e" "r" 3;
"a" "m" "o" 2; "b" "k" 6; "c" "e" 2; "d" "q" 3; "e" "e" "r" 3;
"a" "m" "o" 2; "b" "k" 6; "c" "e" 2; "d" "q" 3; "e" "e" "r" 3;
"a" "m" "o" "x" 2; "b" "k" 6; "c" "e" 2; "d" "q" 3; "e" "e" "r" 3;
"a" "m" "o" "x" 2; "b" "k" 6; "c" "e" 2; "d" "q" 3; "e" "e" "r" 3;
"a" "m" "o" "x" 2; "b" "k" 6; "c" "e" 2; "d" "q" 3; "e" "e" "r" 3;
"a" "m" "o" "x" 2; "b" "k" 6; "c" "e" 2; "d" "q" 3; "e" "e" "r" 3;
"a" "m" "o" "x" 2; "b" "k" 6; "c" "e" 2; "d" "q" 3; "e" "e" "r" 3;
"a" "m" "o" "x" 2; "b" "k" 6; "c" "e" 2; "d" "q" 3; "e" "e" "r" 3;
"a" "m" "o" "x" 2; "b" "k" 6; "c" "e" 2; "d" "q" 3; "e" "e" "r" 3;
"a" "m" "o" "x" 2; "b" "k" 6; "c" "e" 2; "d" "q" 3; "e" "e" "r" 3;
"a" "m" "o" "x" 2; "b" "k" 6; "c" "e" 2; "d" "q" 3; "e" "e" "r" 3;
"a" "m" "o" "x" 2; "b" "k" 6; "c" "e" 2; "d" "q" 3; "e" "e" "r" 3;
"a" "m" "o" "x" 2; "b" "k" 6; "c" "e" 2; "d" "q" 3; "e" "e" "r" 3;
"a" "c" "m" "o" "x" 2; "b" "k" 6; "c" "e" 2; "d" "q" 3; "e" "e" "r" 3;
"a" "c" "m" "o" "x" 2; "b" "k" 6; "c" "e" 2; "d" "q" 3; "e" "e" "r" 3;
"a" "c" "m" "o" "x" 2; "b" "k" 6; "c" "e" 2; "d" "q" 3; "e" "e" "r" 3;
"a" "a" "c" "k" "m" "o" "x" 2; "b" "k" 6; "c" "e" 2; "d" "q" 3; "e" "e" "r" 3;
"a" "a" "c" "k" "m" "o" "x" 2; "b" "k" 6; "c" "e" 2; "d" "q" 3; "e" "e" "r" 3;
"a" "a" "c" "k" "m" "o" "x" 2; "b" "k" 6; "c" "e" 2; "d" "q" 3; "e" "e" 4;
"a" "a" "c" "k" "m" "o" "x" 2; "b" "k" 6; "c" "e" 2; "d" "q" 3; "e" "e" 4;
"a" "a" "c" "k" "m" "o" "x" 2; "b" "k" 6; "c" "e" 2; "d" "q" 3; "e" "e" 4;
"a" "a" "c" "k" "m" "o" "x" 2; "b" "k" 6; "c" "e" 2; "d" "q" 3; "e" "e" 4;
"a" "a" "c" "k" "m" "o" "x" 2; "b" "k" 6; "c" "a" "e" 2; "d" "q" 3; "e" "e" 4;
"a" "a" "c" "k" "m" "o" "x" 2; "b" "k" 6; "c" "a" "e" 2; "d" "q" 3; "e" "e" 5;
"a" "a" "c" "k" "m" "o" "x" 2; "b" "k" 6; "c" "a" "e" 2; "d" "q" 3; "e" "e" 5;
"a" "k" 3; "b" "k" 6; "c" "a" "e" 2; "d" "q" 3; "e" "e" 5;
"a" "k" 3; "b" "k" 6; "c" "a" "e" 2; "d" "q" 3; "e" "e" 5;
"a" "k" 3; "b" "k" 6; "c" "a" "e" 2; "d" "q" 3; "e" "e" 5;
"a" "k" 3; "b" "k" 6; "c" "a" "e" 2; "d" "q" 3; "e" "e" 5;
"a" "k" 3; "b" "k" 6; "c" "a" "e" 2; "d" "q" 3; "e" "e" 5;
"a" "k" 3; "b" "k" 6; "c" "a" "e" 2; "d" "q" 3; "e" "e" 5;
"a" "k" 3; "b" "k" 6; "c" "a" "e" 2; "d" "q" 3; "e" "e" 5;
"a" "k" 3; "b" "k" 6; "c" "a" "e" 2; "d" "q" 3; "e" "e" 5;
"a" "k" 3; "b" "k" 6; "c" "a" "e" 2; "d" "q" 3; "e" "e" 5;
"a" "k" 3; "b" "k" 6; "c" "a" "e" 2; "d" "q" 3; "e" "e" 5;
"a" "c" "k" 3; "b" "k" 6; "c" "a" "e" 2; "d" "q" 3; "e" "e" 5;
"a" "c" "k" "o" 3; "b" "k" 6; "c" "a" "e" 2; "d" "q" 3; "e" "e" 5;
"a" "c" "k" "o" 3; "b" "k" 6; "c" "a" "e" "q" 2; "d" "q" 3; "e" "e" 6;
"a" "c" "k" "o" 3; "b" "k" 6; "c" "a" "e" "q" 2; "d" "q" 3; "e" "e" 6;
"a" "c" "k" "o" 3; "b" "k" 6; "c" "a" "e" "q" 2; "d" "q" 3; "e" "e" 6;
"a" "c" "k" "o" 3; "b" "k" 6; "c" "a" "e" "q" 2; "d" "q" 3; "e" "e" 6;
"a" "c" "k" "o" 3; "b" "k" 6; "c" "a" "e" "q" 2; "d" "q" 3; "e" "e" 6;
"a" "c" "k" "o" 3; "b" "k" 6; "c" "a" "e" "j" "q" 2; "d" "q" 3; "e" "e" 6;
"a" "c" "k" "o" 3; "b" "k" 6; "c" "a" "e" "j" "q" 2; "d" "q" 3; "e" "e" 6;
"a" "c" "k" "o" 3; "b" "k" 6; "c" "a" "b" "e" "j" "o" "q" 2; "d" "q" 3; "e" "e" 6;
"a" "c" "k" "o" 3; "b" "k" 6; "c" "a" "b" "e" "j" "o" "q" 2; "d" "q" 3; "e" "e" 6;
"a" "c" "k" "o" 3; "b" "k" 6; "c" "a" "b" "e" "j" "o" "q" 2; "d" "q" 3; "e" "e" 6;
"a" "c" "k" "o" 3; "b" "k" 7; "c" "a" "b" "e" "j" "o" "q" "v" 2; "d" "p" "q" 3; "e" "e" 6;
"a" "c" "k" "o" 3; "b" "k" 7; "c" "a" "b" "e" "j" "o" "q" "v" 2; "d" "p" "q" 3; "e" "e" 6;
"a" "c" "k" "o" 3; "b" "k" 7; "c" "a" "b" "e" "j" "o" "q" "v" 2; "d" "p" "q" 3; "e" "e" 6;
"a" "c" "o" 3; "b" "k" 7; "c" "a" "b" "e" "j" "o" "q" "v" 2; "d" "p" "q" 3; "e" "e" 6;
"a" "c" "o" 3; "b" "k" 7; "c" "a" "b" "e" "j" "o" "q" "v" 2; "d" "p" "q" 3; "e" "e" 6;
"a" "c" "o" 3; "b" "k" 7; "c" "a" "b" "e" "j" "o" "q" "v" 2; "d" "p" "q" 3; "e" "e" 6;
"a" "c" "o" 3; "b" "k" 7; "c" "a" "b" "e" "j" "o" "q" "v" 2; "d" "p" "q" 3; "e" "e" 6;
"a" "c" "o" 3; "b" "k" 7; "c" "a" "b" "e" "j" "o" "q" "v" 2; "d" "p" "q" 3; "e" "e" 6;
"a" "c" "o" 3; "b" "k" 7; "c" "a" "b" "e" "j" "o" "q" "v" 2; "d" "p" "q" 3; "e" "e" 6;
"a" "c" "o" 3; "b" "k" 7; "c" "a" "b" "e" "j" "o" "q" "v" 2; "d" "p" "q" 3; "e" "e" 6;
"a" "c" "o" 3; "b" "k" 7; "c" "a" "b" "e" "h" "j" "o" "q" "v" 2; "d" "p" "q" 3; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "a" "b" "e" "h" "j" "o" "q" "v" 2; "d" "m" "p" "q" 3; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "a" "b" "e" "h" "j" "o" "q" "v" 2; "d" "m" "p" "q" 3; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "a" "b" "e" "h" "j" "o" "q" "v" 2; "d" "m" "p" "q" 3; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "a" "b" "e" "h" "j" "o" "q" "v" 2; "d" "m" "p" "q" 3; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "a" "b" "e" "h" "j" "o" "q" "v" 2; "d" "m" "p" "q" 3; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "a" "b" "e" "h" "j" "o" "q" "v" 2; "d" "m" "p" "q" 3; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "a" "b" "e" "h" "j" "o" "q" "v" 2; "d" "m" "p" "q" 3; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "a" "b" "e" "h" "j" "o" "q" "v" 2; "d" "m" "p" "q" 3; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "j" 3; "d" "m" "p" "q" 3; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "j" 3; "d" "m" "p" "q" 3; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "h" "j" 3; "d" "m" "p" "q" 3; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "h" "j" 3; "d" "m" "p" "q" 3; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "h" "j" 3; "d" "m" "p" "q" 3; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "h" "j" 3; "d" "m" "p" "q" 3; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "h" "j" 3; "d" "m" "p" "q" 3; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "h" "j" 3; "d" "m" "p" "q" 3; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "h" "j" 3; "d" "m" "p" "q" 3; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "h" "j" 3; "d" "m" "p" "q" 3; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "h" "j" 3; "d" "m" "p" "q" 3; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "q" 4; "d" "m" "p" "q" 3; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "q" 4; "d" "m" "p" "q" 3; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "q" 4; "d" "m" "p" "q" 3; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "q" 4; "d" "m" "p" "q" 3; "e" "e" 6;
