none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"a" "b" 1;
"a" "b" "i" 1;
"a" "b" "i" 1;
"a" "b" "i" 1;
"a" "b" "i" 1;
"a" "b" "i" 1;
"a" "b" "i" 1;
"a" "b" "i" 1;
"a" "b" "i" 1;
"a" "b" "i" 1;
"a" "b" "i" 1;
"a" "b" "i" 1;
"a" "b" "i" 1;
"a" "b" "i" 1; "d" "h" 1;
"a" "b" "i" 1; "b" "b" 1; "d" "h" 1;
"a" "b" "i" 1; "b" "b" 1; "d" "h" 1;
"a" "b" "i" 1; "b" "b" 1; "d" "h" 1;
"a" "b" "i" 1; "b" "b" 1; "d" "h" 1;
"a" "i" 2; "b" "b" "i" 1; "d" "h" "i" 1;
"a" "i" 2; "b" "b" "i" 1; "d" "h" "i" 1;
"a" "i" 2; "b" "b" "c" "i" 1; "d" "f" "h" "i" 1;
"a" "i" 2; "b" "b" "c" "i" 1; "d" "f" "h" "i" 1;
"a" "i" 2; "b" "b" "c" "i" 1; "d" "f" "h" "i" 1;
"a" "i" 2; "b" "b" "c" "i" 1; "d" "f" "h" "i" 1;
"a" "i" 2; "b" "b" "c" "i" 1; "d" "f" "h" "i" 1;
"a" "i" 2; "b" "b" "c" "i" 1; "d" "f" "h" "i" 1;
"a" "i" 2; "b" "b" "c" "i" 1; "d" "f" "h" "i" 1;
"a" "i" 2; "b" "b" "c" "i" 1; "d" "f" "h" "i" 1;
"a" "i" 2; "b" "b" "c" "i" 1; "d" "f" "h" "i" "p" 1;
"a" "i" 2; "b" "b" "c" "i" 1; "d" "a" "c" "f" "h" "i" "p" 1;
"a" "i" 2; "b" "b" "c" "i" 1; "d" "a" "c" "f" "h" "i" "p" 1;
"a" "i" 2; "b" "b" "c" "i" 1; "d" "a" "c" "f" "h" "i" "p" 1; "e" "i" 1;
"a" "i" 2; "b" "b" "c" "i" 1; "d" "a" "c" "f" "h" "i" "p" 1; "e" "i" 1;
"a" "i" 2; "b" "b" "c" "i" "p" 1; "d" "a" "c" "f" "h" "i" "p" 1; "e" "i" 1;
"a" "i" 2; "b" "b" "c" "i" "p" 1; "d" "a" "c" "f" "h" "i" "p" 1; "e" "i" 1;
"a" "i" 2; "b" "b" "c" "i" "p" 1; "d" "a" "c" "f" "h" "i" "p" 1; "e" "e" "i" 1;
"a" "i" 2; "b" "b" "c" "f" "i" "p" 1; "d" "a" "c" "f" "h" "i" "p" 1; "e" "e" "i" 1;
"a" "i" 2; "b" "b" "c" "f" "i" "p" 1; "d" "a" "c" "f" "h" "i" "p" 1; "e" "e" "i" 1;
"a" "i" 2; "b" "i" 2; "d" "p" 2; "e" "e" "i" "j" 1;
"a" "c" "g" "i" "n" "t" "w" 2; "b" "i" 3; "c" "u" 5; "d" "i" "o" "p" "w" 3; "e" "x" 3;
"a" "c" "g" "i" "n" "t" "w" 2; "b" "i" 3; "c" "u" 5; "d" "i" "o" "p" "w" 3; "e" "x" 3;
"a" "c" "g" "i" "n" "t" "w" 2; "b" "i" 3; "c" "u" 5; "d" "i" "o" "p" "w" 3; "e" "x" 3;
"a" "c" "g" "i" "n" "t" "w" 2; "b" "i" 3; "c" "u" 5; "d" "i" "o" "p" "w" 3; "e" "x" 3;
"a" "c" "g" "i" "n" "t" "w" 2; "b" "i" 3; "c" "u" 5; "d" "i" "o" "p" "w" 3; "e" "x" 3;
"a" "c" "g" "i" "n" "t" "w" 2; "b" "a" "i" 3; "c" "u" 5; "d" "i" "o" "p" "w" 3; "e" "x" 3;
"a" "c" "g" "i" "n" "t" "w" 2; "b" "a" "i" 3; "c" "u" 5; "d" "i" "o" "p" "w" 3; "e" "x" 3;
"a" "c" "g" "i" "n" "t" "w" 2; "b" "a" "i" 3; "c" "u" 5; "d" "i" "o" "p" "w" 3; "e" "x" 3;
"a" "c" "g" "i" "n" "t" "w" 2; "b" "a" "i" 3; "c" "u" 5; "d" "i" "o" "p" "w" 3; "e" "x" 3;
"a" "c" "g" "i" "n" "t" "w" 2; "b" "a" "i" 3; "c" "u" 5; "d" "i" "o" "p" "w" 3; "e" "x" 3;
"a" "c" "g" "i" "n" "t" "w" 2; "b" "a" "i" 3; "c" "u" 5; "d" "i" "o" "p" "w" 3; "e" "x" 3;
"a" "c" "g" "i" "n" "t" "w" 2; "b" "a" "i" 3; "c" "u" 5; "d" "c" "i" "o" "p" "w" 3; "e" "x" 3;
"a" "c" "g" "i" "n" "t" "w" 2; "b" "a" "i" 3; "c" "u" 5; "d" "c" "i" "o" "p" "w" 3; "e" "x" 3;
"a" "c" "g" "i" "n" "t" "w" 2; "b" "a" "i" 3; "c" "u" 5; "d" "c" "i" "o" "p" "w" 3; "e" "x" 3;
"a" "c" "g" "i" "n" "t" "w" 2; "b" "a" "i" 3; "c" "u" 5; "d" "c" "i" "o" "p" "w" 3; "e" "x" 3;
"a" "c" "g" "i" "n" "t" "w" 2; "b" "a" "i" 3; "c" "u" 5; "d" "c" "i" "o" "p" "w" 3; "e" "x" 3;
"a" "c" "g" "i" "l" "n" "t" "w" 2; "b" "a" "i" 3; "c" "u" 5; "d" "c" "i" "o" "p" "w" 3; "e" "x" 3;
"a" "c" "g" "i" "l" "n" "t" "w" 2; "b" "a" "i" 3; "c" "u" 5; "d" "c" "i" "o" "p" "w" 3; "e" "x" 3;
"a" "c" "g" "i" "l" "n" "t" "w" 2; "b" "a" "i" 3; "c" "u" 5; "d" "c" "i" "o" "p" "w" 3; "e" "x" 3;
"a" "c" "g" "i" "l" "n" "t" "w" 2; "b" "a" "i" 3; "c" "u" 5; "d" "c" "i" "o" "p" "w" 3; "e" "x" 3;
"a" "c" "g" "i" "l" "n" "t" "w" 2; "b" "a" "i" "j" "m" 3; "c" "u" 5; "d" "c" "i" "o" "p" "t" "w" 3; "e" "x" 3;
"a" "c" "g" "i" "l" "n" "t" "w" 2; "b" "a" "i" "j" "m" 3; "c" "u" 5; "d" "c" "i" "o" "p" "t" "w" 3; "e" "x" 3;
"a" "c" "g" "i" "l" "n" "t" "w" 2; "b" "a" "i" "j" "m" 3; "c" "u" 5; "d" "c" "i" "o" "p" "t" "w" 3; "e" "x" 3;
"a" "c" "g" "i" "l" "n" "t" "w" 2; "b" "a" "i" "j" "m" 3; "c" "u" 5; "d" "c" "i" "o" "p" "t" "w" 3; "e" "x" 3;
"a" "c" "g" "i" "l" "n" "t" "w" 2; "b" "a" "i" "j" "m" 3; "c" "u" 6; "d" "c" "i" "o" "p" "t" "w" 3; "e" "x" 3;
"a" "c" "g" "i" "l" "n" "t" "w" 2; "b" "a" "i" "j" "m" 3; "c" "u" 6; "d" "c" "i" "o" "p" "t" "w" 3; "e" "x" 3;
"a" "c" "g" "i" "l" "n" "t" "w" 2; "b" "a" "i" "j" "m" 3; "c" "u" 6; "d" "c" "i" "o" "p" "t" "w" 3; "e" "x" 3;
"a" "c" "g" "i" "l" "n" "t" "w" 2; "b" "a" "i" "j" "m" 3; "c" "u" 6; "d" "c" "i" "o" "p" "t" "w" 3; "e" "x" 3;
"a" "c" "g" "i" "l" "n" "t" "w" 2; "b" "a" "i" "j" "m" 3; "c" "u" 6; "d" "c" "i" "o" "p" "s" "t" "w" 3; "e" "x" 3;
"a" "c" "g" "i" "l" "n" "t" "w" 2; "b" "a" "i" "j" "m" 3; "c" "u" 6; "d" "c" "i" "o" "p" "s" "t" "w" 3; "e" "x" 3;
"a" "l" 3; "b" "a" "i" "j" "m" 3; "c" "u" 6; "d" "c" "i" "o" "p" "s" "t" "w" 3; "e" "x" 3;
"a" "l" 3; "b" "a" "i" "j" "m" 3; "c" "u" 6; "d" "c" "i" "o" "p" "s" "t" "w" 3; "e" "x" 3;
"a" "l" 3; "b" "a" "i" "j" "m" 3; "c" "u" 6; "d" "c" "i" "o" "p" "s" "t" "w" 3; "e" "x" 3;
"a" "i" "l" 3; "b" "a" "i" "j" "m" "q" 3; "c" "u" 6; "d" "c" "i" "o" "p" "s" "t" "w" 3; "e" "x" 3;
"a" "l" 4; "b" "a" "i" "j" "m" "q" 3; "c" "u" 6; "d" "c" 4; "e" "x" 3;
"a" "l" 4; "b" "a" "i" "j" "m" "q" 3; "c" "u" 6; "d" "c" 4; "e" "x" 3;
"a" "l" 4; "b" "a" "i" "j" "m" "q" 3; "c" "u" 6; "d" "c" 4; "e" "x" 3;
"a" "l" 4; "b" "a" "i" "j" "m" "q" 3; "c" "u" 6; "d" "c" 4; "e" "p" "x" 3;
"a" "l" 4; "b" "a" "i" "j" "m" "q" 3; "c" "u" 6; "d" "c" 4; "e" "p" "x" 3;
"a" "l" 4; "b" "a" "i" "j" "m" "q" 3; "c" "u" 6; "d" "c" 4; "e" "p" "x" 3;
"a" "l" 4; "b" "a" "i" "j" "m" "q" 3; "c" "u" 6; "d" "c" 4; "e" "p" "x" 3;
"a" "l" 4; "b" "a" "i" "j" "m" "q" 3; "c" "u" 6; "d" "c" 4; "e" "p" "x" 3;
"a" "l" 4; "b" "a" "i" "j" "m" "q" 3; "c" "u" 6; "d" "c" 4; "e" "p" "x" 3;
"a" "l" 4; "b" "a" "i" "j" "m" "q" 3; "c" "u" 6; "d" "c" "t" 4; "e" "p" "x" 3;
"a" "l" 4; "b" "a" "i" "j" "m" "q" 3; "c" "u" 6; "d" "c" "t" 4; "e" "p" "x" 3;
"a" "l" 4; "b" "a" "i" "j" "m" "q" 3; "c" "u" 6; "d" "c" "t" 4; "e" "p" "x" 3;
"a" "l" 4; "b" "a" "i" "j" "m" "q" 3; "c" "u" 6; "d" "c" "t" 4; "e" "p" "x" 3;
"a" "l" 4; "b" "a" "i" "j" "m" "q" 3; "c" "u" 6; "d" "c" "t" 4; "e" "p" "x" 3;
"a" "l" 4; "b" "a" "i" "j" "m" "q" 3; "c" "u" 6; "d" "c" "t" 4; "e" "p" "x" 3;
"a" "l" 4; "b" "a" "i" "j" "m" "q" 3; "c" "u" 5; "d" "c" "t" 4; "e" "p" "x" 3;
"a" "l" 4; "b" "a" "i" "j" "m" "q" 3; "c" "u" 5; "d" "c" "t" 4; "e" "p" "x" 3;
"a" "l" 4; "b" "a" "i" "j" "m" "q" 3; "c" "u" 5; "d" "c" "t" 4; "e" "p" "x" 3;
"a" "l" 4; "b" "a" "i" "j" "m" "q" 3; "c" "u" 5; "d" "c" "t" 4; "e" "p" "x" 3;
"a" "l" 4; "b" "a" "i" "j" "m" "q" 3; "c" "u" 5; "d" "c" "t" 4; "e" "p" "x" 3;
"a" "l" 4; "b" "q" 4; "c" "u" 5; "d" "c" "t" 4; "e" "p" "x" 3;
"a" "l" 4; "b" "q" 4; "c" "u" 5; "d" "c" "t" 4; "e" "p" "x" 3;
"a" "l" 4; "b" "q" 4; "c" "u" 5; "d" "c" "t" 4; "e" "p" "x" 3;
"a" "l" 4; "b" "q" 4; "c" "u" 5; "d" "c" "o" "t" 4; "e" "p" "x" 3;
"a" "l" 4; "b" "q" 4; "c" "u" 5; "d" "c" "o" "t" 4; "e" "p" "x" 3;
"a" "l" 4; "b" "q" 4; "c" "u" 5; "d" "c" "o" "t" 4; "e" "p" "x" 3;
"a" "l" 4; "b" "q" 4; "c" "u" 5; "d" "c" "o" "t" 4; "e" "p" "x" 3;
"a" "l" 4; "b" "a" "i" "j" "m" "q" 3; "c" "u" 5; "d" "c" "o" "t" 4; "e" "p" "x" 3;
"a" "l" 4; "b" "a" "i" "j" "m" "q" 3; "c" "u" 5; "d" "c" "o" "t" "w" 4; "e" "p" "q" "x" 3;
