none
none
none
none
"a" "f" 1; "b" "t" 1;
"a" "f" 1; "b" "t" 1;
"a" "f" 1; "b" "t" 1;
"a" "f" 1; "b" "t" 1;
"a" "f" 1; "b" "t" 1; "d" "y" 1;
"a" "f" 1; "b" "t" 1; "d" "y" 1;
"a" "f" 1; "b" "t" 1; "c" "w" 1; "d" "y" 1;
"a" "f" 1; "b" "t" 1; "c" "w" 1; "d" "y" 1;
"a" "f" 1; "b" "t" 1; "c" "w" 1; "d" "y" 1;
"a" "f" 1; "b" "t" 1; "c" "w" 1; "d" "y" 1;
"a" "f" 1; "b" "t" 1; "c" "w" 1; "d" "y" 1;
"a" "f" 1; "b" "t" 1; "c" "w" 1; "d" "y" 1;
"a" "f" 1; "b" "t" 1; "c" "w" 1; "d" "y" 1;
"a" "f" 1; "b" "b" "t" 1; "c" "e" "w" 1; "d" "y" 1;
"a" "g" 2; "b" "t" 2; "c" "i" "w" 2; "d" "i" "k" "n" "y" 1; "e" "d" "y" 2;
"a" "g" 2; "b" "t" 2; "c" "i" "w" 2; "d" "i" "k" "n" "y" 1; "e" "d" "y" 2;
"a" "g" 2; "b" "t" 2; "c" "e" "i" "w" 2; "d" "i" "k" "n" "y" 1; "e" "d" "y" 2;
"a" "g" 2; "b" "t" 2; "c" "e" "i" "w" 2; "d" "g" "i" "k" "n" "y" 1; "e" "d" "y" 2;
"a" "g" 2; "b" "t" 2; "c" "e" "i" "w" 2; "d" "g" "i" "k" "n" "y" 1; "e" "d" "y" 2;
"a" "g" 2; "b" "t" 2; "c" "e" "i" "w" 2; "d" "g" "i" "k" "n" "y" 1; "e" "d" "y" 2;
"a" "g" 2; "b" "t" 2; "c" "e" "i" "w" 2; "d" "g" "i" "k" "n" "y" 1; "e" "d" "y" 2;
"a" "g" 2; "b" "t" 2; "c" "e" "i" "w" 2; "d" "c" "g" "i" "k" "n" "y" 1; "e" "d" "y" 2;
"a" "g" 2; "b" "t" 2; "c" "e" "i" "w" 2; "d" "c" "g" "i" "k" "n" "y" 1; "e" "d" "y" 2;
"a" "g" 2; "b" "t" 2; "c" "e" "i" "w" 2; "d" "c" "g" "i" "k" "n" "y" 1; "e" "d" "y" 2;
"a" "g" 2; "b" "t" 2; "c" "e" "i" "w" 2; "d" "c" "g" "i" "k" "n" "o" "y" 1; "e" "d" "y" 2;
"a" "g" 2; "b" "t" 2; "c" "e" "i" "w" 2; "d" "c" "g" "i" "k" "n" "o" "y" 1; "e" "d" "y" 2;
"a" "g" 2; "b" "t" 2; "c" "e" "i" "w" 2; "d" "c" "g" "i" "k" "n" "o" "y" 1; "e" "d" "y" 2;
"a" "g" 2; "b" "t" 2; "c" "e" "i" "w" 2; "d" "c" "g" "i" "k" "n" "o" "y" 1; "e" "d" "y" 2;
"a" "g" 2; "b" "t" 2; "c" "e" "i" "r" "w" 2; "d" "c" "g" "i" "k" "n" "o" "y" 1; "e" "d" "y" 2;
"a" "g" 2; "b" "t" 2; "c" "e" "i" "r" "w" 2; "d" "c" "g" "i" "k" "n" "o" "y" 1; "e" "d" "y" 2;
"a" "g" 2; "b" "t" 2; "c" "e" "i" "r" "w" 2; "d" "c" "g" "i" "k" "n" "o" "y" 1; "e" "d" 3;
"a" "g" 2; "b" "t" 2; "c" "e" "f" "i" "r" "w" 2; "d" "c" "g" "i" "k" "n" "o" "y" 1; "e" "d" 3;
"a" "g" 2; "b" "t" 2; "c" "e" "f" "i" "r" "w" 2; "d" "c" "g" "i" "k" "n" "o" "y" 1; "e" "d" 3;
"a" "g" 2; "b" "t" 2; "c" "e" "f" "i" "r" "w" 2; "d" "c" "g" "i" "k" "n" "o" "y" 1; "e" "d" 3;
"a" "g" 2; "b" "t" 2; "c" "e" "f" "i" "r" "w" 2; "d" "c" "g" "i" "k" "n" "o" "y" 1; "e" "d" 3;
"a" "f" "g" 2; "b" "t" "y" 2; "c" "e" "f" "i" "r" "w" 2; "d" "c" "g" "i" "k" "n" "o" "y" 1; "e" "d" 3;
"a" "f" "g" 2; "b" "t" "y" 2; "c" "e" "f" "i" "r" "w" 2; "d" "c" "g" "i" "k" "n" "o" "y" 1; "e" "d" 3;
"a" "f" "g" 2; "b" "t" "y" 2; "c" "e" "f" "i" "r" "w" 2; "d" "c" "g" "i" "k" "n" "o" "y" 1; "e" "d" 3;
"a" "f" "g" 2; "b" "t" "y" 2; "c" "e" "f" "i" "r" "w" 2; "d" "c" "g" "i" "k" "n" "o" "y" 1; "e" "d" 3;
"a" "f" "g" 2; "b" "t" "y" 2; "c" "e" 3; "d" "c" "g" "i" "k" "n" "o" "y" 1; "e" "d" 3;
"a" "f" "g" 2; "b" "t" "y" 2; "c" "e" 3; "d" "c" "g" "i" "k" "n" "o" "y" 1; "e" "d" 3;
"a" "f" "g" 2; "b" "t" "y" 2; "c" "e" 3; "d" "c" "d" "g" "i" "k" "n" "o" "y" 1; "e" "d" 3;
"a" "f" "g" 2; "b" "t" "y" 2; "c" "e" 3; "d" "c" "d" "g" "i" "k" "n" "o" "y" 1; "e" "d" 3;
"a" "f" "g" 2; "b" "y" 3; "c" "e" 3; "d" "c" "d" "g" "i" "k" "n" "o" "y" 1; "e" "d" 3;
"a" "f" "g" 2; "b" "y" 3; "c" "e" 3; "d" "g" 2; "e" "d" 3;
"a" "f" "g" 2; "b" "y" 3; "c" "e" 3; "d" "g" 2; "e" "d" 3;
"a" "f" "g" 2; "b" "y" 3; "c" "e" 3; "d" "g" 2; "e" "d" 3;
"a" "f" "g" "o" 2; "b" "y" 3; "c" "e" 3; "d" "g" 2; "e" "d" "y" 3;
"a" "f" "g" "k" "l" "o" 2; "b" "y" 3; "c" "e" 3; "d" "g" 2; "e" "d" "y" 3;
"a" "a" "f" "g" "k" "l" "o" 2; "b" "y" 3; "c" "e" 3; "d" "g" 2; "e" "d" "y" 3;
"a" "a" "f" "g" "k" "l" "o" 2; "b" "y" 3; "c" "e" 3; "d" "g" 2; "e" "d" "y" 3;
"a" "a" "f" "g" "k" "l" "o" 2; "b" "y" 3; "c" "e" 3; "d" "g" 2; "e" "d" "y" 3;
"a" "a" "f" "g" "k" "l" "o" 2; "b" "y" 3; "c" "e" 3; "d" "b" "g" 2; "e" "d" "y" 3;
"a" "a" "f" "g" "k" "l" "o" 2; "b" "y" 3; "c" "e" 3; "d" "b" "g" 2; "e" "d" "y" 3;
"a" "a" "f" "g" "k" "l" "o" 2; "b" "y" 3; "c" "e" 3; "d" "b" "g" 2; "e" "d" "y" 3;
"a" "a" "f" "g" "k" "l" "o" 2; "b" "y" 3; "c" "e" 3; "d" "b" "g" 2; "e" "y" 4;
"a" "a" "f" "g" "k" "l" "o" 2; "b" "y" 3; "c" "e" 3; "d" "b" "g" 2; "e" "y" 4;
"a" "a" "f" "g" "k" "l" "o" 2; "b" "y" 3; "c" "e" 3; "d" "b" "g" 2; "e" "y" 4;
"a" "a" "f" "g" "k" "l" "o" 2; "b" "y" 3; "c" "e" 3; "d" "b" "g" 2; "e" "y" 4;
"a" "a" "f" "g" "k" "l" "o" 2; "b" "y" 3; "c" "e" 3; "d" "b" "g" 2; "e" "y" 4;
"a" "a" "f" "g" "k" "l" "o" 2; "b" "y" 3; "c" "e" 3; "d" "b" "g" 2; "e" "y" 4;
"a" "a" "f" "g" "k" "l" "o" 2; "b" "y" 3; "c" "e" 3; "d" "b" "g" 2; "e" "y" 4;
"a" "a" "f" "g" "k" "l" "o" 2; "b" "y" 3; "c" "e" 3; "d" "b" "g" 2; "e" "y" 4;
"a" "a" "f" "g" "k" "l" "o" 2; "b" "y" 3; "c" "e" 3; "d" "b" "g" 2; "e" "y" 4;
"a" "a" "f" "g" "k" "l" "o" 2; "b" "y" 3; "c" "e" 3; "d" "b" "g" 2; "e" "y" 4;
"a" "a" "f" "g" "k" "l" "o" 2; "b" "y" 3; "c" "e" 3; "d" "b" "g" "i" 2; "e" "y" 4;
"a" "a" "f" "g" "k" "l" "o" 2; "b" "y" 3; "c" "e" 3; "d" "b" "g" "i" 2; "e" "y" 4;
"a" "a" "f" "g" "k" "l" "o" 2; "b" "y" 4; "c" "e" "y" 3; "d" "b" "g" "i" 2; "e" "y" 4;
"a" "a" "f" "g" "k" "l" "o" 2; "b" "y" 4; "c" "e" "y" 3; "d" "b" "g" "i" 2; "e" "y" 4;
"a" "a" "f" "g" "k" "l" "o" 2; "b" "y" 4; "c" "e" "y" 3; "d" "b" "g" "i" 2; "e" "y" 4;
"a" "a" "f" "g" "k" "l" "o" 2; "b" "y" 4; "c" "e" "y" 3; "d" "b" "g" "i" "y" 2; "e" "y" 4;
"a" "a" "f" "g" "k" "l" "o" 2; "b" "y" 4; "c" "e" "y" 3; "d" "b" "g" "i" "y" 2; "e" "y" 4;
"a" "a" "f" "g" "k" "l" "o" 2; "b" "y" 4; "c" "e" "y" 3; "d" "b" "g" "i" "y" 2; "e" "y" 4;
"a" "a" "f" "g" "k" "l" "o" 2; "b" "y" 4; "c" "e" "y" 3; "d" "b" "g" "i" "y" 2; "e" "y" 4;
"a" "a" "f" "g" "k" "l" "o" 2; "b" "y" 4; "c" "e" "y" 3; "d" "b" "g" "i" "y" 2; "e" "y" 4;
"a" "a" "f" "g" "k" "l" "o" 2; "b" "y" 4; "c" "e" "y" 3; "d" "b" "g" "i" "y" 2; "e" "y" 4;
"a" "a" "f" "g" "k" "l" "o" 2; "b" "y" 4; "c" "e" "u" "w" "y" 3; "d" "b" "g" "i" "y" 2; "e" "y" 4;
"a" "a" "f" "g" "k" "l" "o" 2; "b" "y" 4; "c" "e" "u" "w" "y" 3; "d" "b" "g" "i" "y" 2; "e" "y" 4;
"a" "a" "f" "g" "k" "l" "m" "o" 2; "b" "y" 4; "c" "e" "u" "w" "y" 3; "d" "b" "g" "i" "y" 2; "e" "y" 4;
"a" "a" "f" "g" "k" "l" "m" "o" "w" 2; "b" "y" 4; "c" "w" 4; "d" "b" "g" "i" "m" "y" 2; "e" "y" 4;
"a" "a" "f" "g" "k" "l" "m" "o" "w" 2; "b" "y" 4; "c" "w" 4; "d" "b" "g" "i" "m" "y" 2; "e" "y" 4;
"a" "a" 3; "b" "y" 4; "c" "w" 4; "d" "b" "g" "i" "m" "y" 2; "e" "y" 4;
"a" "a" 3; "b" "y" 4; "c" "w" 4; "d" "b" "g" "i" "m" "y" 2; "e" "y" 4;
"a" "a" 3; "b" "y" 4; "c" "w" 4; "d" "b" "g" "i" "m" "y" 2; "e" "y" 4;
"a" "a" 3; "b" "y" 4; "c" "w" 4; "d" "b" "g" "i" "m" "y" 2; "e" "y" 4;
"a" "a" 3; "b" "y" 4; "c" "w" 4; "d" "b" "g" "i" "m" "y" 2; "e" "y" 4;
"a" "a" 3; "b" "y" 4; "c" "w" 4; "d" "b" "g" "i" "m" "y" 2; "e" "y" 4;
"a" "a" 3; "b" "y" 4; "c" "w" 4; "d" "b" "g" "i" "m" "y" 2; "e" "y" 4;
"a" "a" 3; "b" "y" 4; "c" "w" 4; "d" "b" "g" "i" "m" "y" 2; "e" "y" 4;
"a" "a" 3; "b" "y" 4; "c" "w" 4; "d" "b" "g" "i" "m" "y" 2; "e" "y" 4;
"a" "a" 3; "b" "y" 4; "c" "w" 4; "d" "b" "g" "i" "m" "y" 2; "e" "y" 4;
"a" "a" 3; "b" "y" 4; "c" "w" 4; "d" "b" "g" "i" "m" "y" 2; "e" "y" 4;
"a" "a" 3; "b" "y" 4; "c" "w" 4; "d" "y" 3; "e" "y" 4;
"a" "a" 3; "b" "y" 4; "c" "w" 4; "d" "y" 3; "e" "y" 4;
"a" "a" 3; "b" "y" 5; "c" "w" 4; "d" "y" 3; "e" "y" 4;
"a" "a" 3; "b" "y" 5; "c" "w" 4; "d" "y" 3; "e" "y" 4;
"a" "a" 3; "b" "y" 5; "c" "w" 4; "d" "y" 3; "e" "y" 4;
"a" "a" 3; "b" "y" 5; "c" "w" 4; "d" "y" 3; "e" "y" 4;
"a" "a" 3; "b" "y" 5; "c" "w" 4; "d" "y" 3; "e" "y" 4;
"a" "a" 4; "b" "y" 5; "c" "w" 4; "d" "y" 3; "e" "y" 4;
"a" "a" 4; "b" "y" 5; "c" "w" 4; "d" "y" 3; "e" "y" 4;
"a" "a" 4; "b" "y" 5; "c" "w" 4; "d" "y" 3; "e" "y" 4;
"a" "a" 4; "b" "y" 5; "c" "w" 4; "d" "y" 3; "e" "y" 4;
"a" "a" 4; "b" "y" 5; "c" "w" 4; "d" "y" 3; "e" "y" 4;
"a" "a" 4; "b" "y" 5; "c" "w" 4; "d" "y" 3; "e" "y" 4;
"a" "a" 4; "b" "y" 5; "c" "w" 4; "d" "y" 3; "e" "d" "y" 4;
"a" "a" 4; "b" "y" 5; "c" "w" 4; "d" "y" 3; "e" "d" "y" 4;
"a" "a" 4; "b" "y" 5; "c" "w" 4; "d" "y" 3; "e" "d" "y" 4;
"a" "a" 4; "b" "y" 5; "c" "w" 4; "d" "l" "y" 3; "e" "d" "y" 4;
"a" "a" 4; "b" "y" 5; "c" "w" 4; "d" "l" "y" 3; "e" "d" "y" 4;
"a" "a" 4; "b" "y" 5; "c" "e" "w" 4; "d" "l" "y" 3; "e" "d" "y" 4;
"a" "a" 4; "b" "y" 5; "c" "e" "w" 4; "d" "l" "y" 3; "e" "d" "y" 4;
"a" "a" 4; "b" "y" 5; "c" "e" "w" 4; "d" "l" "y" 3; "e" "d" "y" 4;
"a" "a" 4; "b" "y" 5; "c" "e" "w" 4; "d" "l" "y" 3; "e" "d" "y" 4;
"a" "a" 4; "b" "y" 5; "c" "e" "w" 4; "d" "l" "y" 3; "e" "d" "y" 4;
"a" "a" 4; "b" "y" 5; "c" "e" "w" 4; "d" "l" "y" 3; "e" "d" "y" 4;
"a" "a" 4; "b" "y" 5; "c" "e" "w" 4; "d" "l" "y" 3; "e" "d" "y" 4;
"a" "a" 4; "b" "y" 5; "c" "e" "w" 4; "d" "l" "y" 3; "e" "d" "y" 4;
"a" "a" 4; "b" "y" 5; "c" "e" "w" 4; "d" "l" "y" 3; "e" "d" "y" 4;
"a" "a" 4; "b" "y" 5; "c" "e" "u" "w" 4; "d" "l" "y" 3; "e" "d" "y" 4;
"a" "a" 4; "b" "y" 5; "c" "e" "u" "w" 4; "d" "l" "y" 3; "e" "d" "y" 4;
"a" "a" 4; "b" "y" 5; "c" "e" "u" "w" 4; "d" "l" "y" 3; "e" "d" "y" 4;
"a" "a" 4; "b" "y" 5; "c" "e" "u" "w" 4; "d" "l" "y" 3; "e" "d" "y" 4;
"a" "a" 4; "b" "y" 5; "c" "e" "u" "w" 4; "d" "i" "l" "y" 3; "e" "d" "y" 4;
"a" "a" 4; "b" "y" 5; "c" "e" "u" "w" 4; "d" "i" "l" "y" 3; "e" "d" "y" 4;
"a" "a" 4; "b" "y" 5; "c" "e" "u" "w" 4; "d" "i" "l" "y" 3; "e" "d" "y" 4;
"a" "a" 4; "b" "y" 5; "c" "e" "u" "w" 4; "d" "i" "l" "y" 3; "e" "d" "y" 4;
"a" "a" 4; "b" "y" 5; "c" "e" "u" "w" 4; "d" "i" "l" "y" 3; "e" "d" "y" 4;
"a" "a" 4; "b" "y" 5; "c" "e" "u" "w" 4; "d" "i" "l" "y" 3; "e" "d" "y" 4;
"a" "a" 4; "b" "y" 5; "c" "e" "u" "w" 4; "d" "i" "l" "y" 3; "e" "d" "y" 4;
"a" "a" 4; "b" "y" 5; "c" "e" "u" "w" 4; "d" "i" "l" "y" 3; "e" "d" "y" 4;
"a" "a" 4; "b" "y" 5; "c" "e" "u" "w" 4; "d" "i" "l" "y" 3; "e" "d" "y" 4;
"a" "a" 4; "b" "y" 5; "c" "e" "u" "w" 4; "d" "i" "l" "y" 3; "e" "d" "y" 4;
"a" "a" 4; "b" "y" 5; "c" "e" "u" "w" 4; "d" "i" "l" "y" 3; "e" "d" "y" 4;
"a" "a" 4; "b" "y" 5; "c" "e" "u" "w" 4; "d" "i" "l" "y" 3; "e" "d" "y" 4;
"a" "a" 4; "b" "y" 5; "c" "e" "u" "w" 4; "d" "i" "l" "y" 3; "e" "d" "y" 4;
"a" "a" 4; "b" "y" 5; "c" "e" "u" "w" 4; "d" "i" "l" "y" 3; "e" "d" "y" 4;
"a" "a" 4; "b" "y" 5; "c" "e" "u" "w" 4; "d" "i" "l" "y" 3; "e" "d" "y" 4;
"a" "a" 4; "b" "y" 5; "c" "e" "u" "w" "y" 4; "d" "i" "l" "r" "y" 3; "e" "d" "s" "t" "y" 4;
"a" "a" 4; "b" "y" 5; "c" "e" "u" "w" "y" 4; "d" "i" "l" "r" "y" 3; "e" "d" "s" "t" "y" 4;
"a" "a" 4; "b" "y" 5; "c" "e" "u" "w" "y" 4; "d" "i" "l" "r" "y" 3; "e" "d" "s" "t" "y" 4;
"a" "a" 4; "b" "y" 5; "c" "e" "u" "w" "y" 4; "d" "i" "l" "r" "y" "z" 3; "e" "d" "s" "t" "y" 4;
"a" "a" 4; "b" "y" 5; "c" "e" "u" "w" "y" 4; "d" "i" "l" "r" "y" "z" 3; "e" "d" "s" "t" "y" 4;
"a" "a" 4; "b" "y" 5; "c" "e" "u" "w" "y" 4; "d" "i" "l" "r" "y" "z" 3; "e" "d" "s" "t" "y" 4;
"a" "a" 4; "b" "y" 5; "c" "e" "u" "w" "y" 4; "d" "i" "l" "r" "y" "z" 3; "e" "d" "s" "t" "y" 4;
"a" "a" 4; "b" "y" 5; "c" "e" "u" "w" "y" 4; "d" "i" "l" "r" "y" "z" 3; "e" "d" "s" "t" "y" 4;
"a" "a" 4; "b" "y" 5; "c" "e" "u" "w" "y" 4; "d" "i" "l" "r" "y" "z" 3; "e" "d" "s" "t" "y" 4;
"a" "a" 4; "b" "y" 5; "c" "e" "u" "w" "y" 4; "d" "i" "l" "r" "y" "z" 3; "e" "t" 5;
"a" "a" 4; "b" "y" 5; "c" "e" "u" "w" "y" 4; "d" "i" "l" "r" "y" "z" 3; "e" "t" 5;
"a" "a" 4; "b" "y" 5; "c" "e" "u" "w" "y" 4; "d" "i" "l" "r" "y" "z" 3; "e" "t" 5;
"a" "a" 4; "b" "y" 5; "c" "e" "u" "w" "y" 4; "d" "i" "l" "r" "y" "z" 3; "e" "t" 5;
"a" "a" 4; "b" "y" 5; "c" "e" "u" "w" "y" 4; "d" "i" "l" "r" "y" "z" 3; "e" "t" 5;
"a" "a" 4; "b" "y" 5; "c" "e" "u" "w" "y" 4; "d" "i" "l" "r" "y" "z" 3; "e" "t" 5;
"a" "a" 4; "b" "y" 5; "c" "e" "u" "w" "y" 4; "d" "i" "l" "r" "y" "z" 3; "e" "t" 5;
"a" "a" 4; "b" "y" 5; "c" "e" "u" "w" "y" 4; "d" "i" "l" "r" "y" "z" 3; "e" "t" 5;
"a" "a" 4; "b" "y" 5; "c" "e" "u" "w" "y" 4; "d" "i" "l" "r" "y" "z" 3; "e" "t" 5;
"a" "a" 4; "b" "y" 5; "c" "e" "u" "w" "y" 4; "d" "i" "l" "r" "y" "z" 3; "e" "t" 5;
"a" "a" 4; "b" "y" 5; "c" "e" "u" "w" "y" 4; "d" "i" "l" "r" "y" "z" 3; "e" "t" 5;
