none
none
none
none
none
none
none
none
none
"b" "g" 1;
"b" "g" 1;
"b" "f" "g" 1; "c" "g" 1;
"b" "f" "g" 1; "c" "g" 1;
"b" "f" "g" 1; "c" "g" 1;
"b" "f" "g" "k" 1; "c" "g" 1;
"b" "f" "g" "k" 1; "c" "g" 1; "e" "l" 1;
"b" "f" "g" "k" 1; "c" "g" 1; "e" "l" 1;
"b" "f" "g" "k" 1; "c" "g" 1; "e" "l" 1;
"b" "f" "g" "k" 1; "c" "g" 1; "e" "l" 1;
"b" "f" "g" "k" 1; "c" "g" 1; "e" "l" 1;
"b" "f" "g" "k" 1; "c" "a" "g" 1; "e" "l" 1;
"b" "f" "g" "k" 1; "c" "a" "g" 1; "e" "l" 1;
"b" "f" "g" "k" 1; "c" "a" "g" 1; "e" "l" 2;
"a" "y" 1; "b" "f" "g" "k" 1; "c" "a" "g" 1; "e" "l" 2;
"a" "y" 1; "b" "f" "g" "k" 1; "c" "a" "g" 1; "e" "l" 2;
"a" "y" 1; "b" "f" "g" "k" 1; "c" "a" "g" 1; "e" "l" 2;
"a" "y" 1; "b" "f" "g" "k" 1; "c" "a" "g" 1; "e" "l" 2;
"a" "y" 1; "b" "f" "g" "k" 1; "c" "a" "g" 1; "e" "l" 2;
"a" "g" "v" "y" 1; "b" "f" "g" "k" 1; "c" "a" "g" 1; "e" "l" 2;
"a" "g" "v" "y" 1; "b" "f" "g" "k" 1; "c" "a" "g" 1; "e" "l" 2;
"a" "g" "v" "y" 1; "b" "f" "g" "k" 1; "c" "a" "g" 1; "e" "l" 2;
"a" "g" "v" "y" 1; "b" "f" "g" "k" 1; "c" "a" "g" 1; "e" "l" 2;
"a" "g" "v" "y" 1; "b" "f" "g" "k" 1; "c" "a" "g" 1; "e" "l" 2;
"a" "g" "v" "y" 1; "b" "f" "g" "k" 1; "c" "a" "g" 1; "e" "l" 2;
"a" "g" "v" "y" 1; "b" "f" "g" "k" 1; "c" "a" "g" 1; "e" "l" 2;
"a" "y" 2; "b" "k" 2; "c" "x" 2; "d" "k" "m" "q" "t" 1; "e" "l" 2;
"a" "y" 2; "b" "k" 2; "c" "x" 2; "d" "k" "m" "q" "t" 1; "e" "l" 2;
"a" "y" 2; "b" "k" 2; "c" "x" 2; "d" "k" "m" "q" "t" 1; "e" "l" 2;
"a" "y" 2; "b" "k" 2; "c" "x" 2; "d" "e" "k" "m" "q" "t" 1; "e" "l" "s" 2;
"a" "y" 2; "b" "k" 2; "c" "x" 2; "d" "e" "k" "m" "q" "t" 1; "e" "l" "s" 2;
"a" "y" 2; "b" "k" 2; "c" "x" 2; "d" "e" "k" "m" "q" "t" 1; "e" "l" "s" 2;
"a" "y" 2; "b" "k" 2; "c" "x" 2; "d" "e" "g" "k" "m" "q" "t" 1; "e" "l" "s" 2;
"a" "y" 2; "b" "k" 2; "c" "x" 2; "d" "e" "g" "k" "m" "n" "q" "t" 1; "e" "f" "l" "s" 2;
"a" "f" "y" 2; "b" "k" 2; "c" "x" 2; "d" "e" "g" "k" "m" "n" "q" "t" 1; "e" "f" "l" "s" 2;
"a" "f" "y" 2; "b" "k" 2; "c" "x" 2; "d" "e" "g" "k" "m" "n" "q" "t" 1; "e" "f" "l" "s" 2;
"a" "f" "y" 2; "b" "k" 2; "c" "x" 2; "d" "e" "g" "k" "m" "n" "q" "t" 1; "e" "f" "l" "s" 2;
"a" "f" "y" 2; "b" "k" 2; "c" "x" 2; "d" "e" "g" "k" "m" "n" "q" "t" 1; "e" "f" "l" "s" 2;
"a" "f" "y" 2; "b" "k" 2; "c" "x" 2; "d" "e" "g" "k" "m" "n" "q" "t" 1; "e" "f" "l" "s" 2;
"a" "f" "y" 2; "b" "k" 2; "c" "x" 2; "d" "m" 2; "e" "f" "l" "n" "s" 2;
"a" "f" "y" 2; "b" "k" 2; "c" "f" "x" 2; "d" "k" "m" 2; "e" "f" "l" "n" "s" 2;
"a" "f" "y" 2; "b" "k" 2; "c" "f" "x" 2; "d" "k" "m" 2; "e" "f" "l" "n" "s" 2;
"a" "f" "p" "y" 2; "b" "k" 2; "c" "f" "x" 2; "d" "k" "m" 2; "e" "f" "l" "n" "s" 2;
"a" "f" "p" "y" 2; "b" "k" 2; "c" "f" "x" 2; "d" "k" "m" 2; "e" "f" "l" "n" "s" 2;
"a" "f" "p" "s" "y" 2; "b" "k" 2; "c" "f" "x" 2; "d" "e" "k" "m" 2; "e" "f" "l" "n" "s" 2;
"a" "s" 3; "b" "k" 2; "c" "f" "x" 2; "d" "e" "k" "m" 2; "e" "f" "l" "n" "s" 2;
"a" "s" 3; "b" "k" 2; "c" "f" "x" 2; "d" "e" "k" "m" 2; "e" "f" "l" "n" "s" 2;
"a" "s" 3; "b" "k" 2; "c" "f" "x" 2; "d" "e" "k" "m" 2; "e" "s" 3;
"a" "s" 3; "b" "k" 2; "c" "f" "x" 2; "d" "e" "k" "m" 2; "e" "s" 3;
"a" "s" 3; "b" "k" 3; "c" "f" "x" 2; "d" "e" "k" "m" 2; "e" "s" 3;
"a" "s" 3; "b" "k" 3; "c" "f" 3; "d" "e" "k" "m" 2; "e" "s" 3;
"a" "s" 3; "b" "k" 3; "c" "f" 3; "d" "e" "k" "m" 2; "e" "s" 3;
"a" "s" 3; "b" "k" 3; "c" "f" 3; "d" "e" "k" "m" 2; "e" "s" 3;
"a" "s" 3; "b" "k" 3; "c" "f" 3; "d" "e" "k" "m" 2; "e" "s" 3;
"a" "s" 3; "b" "k" 3; "c" "f" 3; "d" "e" "k" "m" 2; "e" "s" 3;
"a" "s" 3; "b" "k" 3; "c" "f" 3; "d" "e" "k" "m" 2; "e" "s" 3;
"a" "s" 3; "b" "k" 3; "c" "f" 3; "d" "e" "k" "m" 2; "e" "s" 3;
"a" "s" 3; "b" "k" 3; "c" "f" 3; "d" "e" "k" "m" 2; "e" "s" 3;
"a" "s" 3; "b" "k" 3; "c" "f" 3; "d" "e" "k" "m" 2; "e" "s" 3;
"a" "s" 3; "b" "k" 3; "c" "f" 3; "d" "e" "k" "m" 2; "e" "s" 3;
"a" "s" 3; "b" "k" 3; "c" "f" 3; "d" "e" "k" "m" 2; "e" "s" 3;
"a" "s" 3; "b" "k" 3; "c" "f" 3; "d" "e" "k" "m" 2; "e" "s" 3;
"a" "s" 3; "b" "k" 3; "c" "f" 3; "d" "e" "k" "m" 2; "e" "s" 3;
"a" "s" 3; "b" "k" 3; "c" "f" 3; "d" "e" "k" "m" 2; "e" "s" 3;
"a" "s" 3; "b" "k" 3; "c" "f" 3; "d" "e" "k" "m" 2; "e" "s" 3;
"a" "s" 3; "b" "k" 3; "c" "f" 3; "d" "e" "k" "m" 2; "e" "l" "s" 3;
"a" "s" 3; "b" "k" 3; "c" "f" 3; "d" "e" "k" "m" 2; "e" "l" "s" 3;
"a" "s" 3; "b" "k" 3; "c" "f" 3; "d" "e" "k" "m" 2; "e" "l" "s" 3;
"a" "s" 3; "b" "k" 3; "c" "f" 3; "d" "e" "k" "m" 2; "e" "l" "s" 3;
"a" "s" 3; "b" "k" 3; "c" "f" 3; "d" "e" "k" "m" 2; "e" "l" "s" 3;
"a" "s" 3; "b" "k" 3; "c" "f" 3; "d" "e" "k" "m" 2; "e" "l" "s" 3;
"a" "s" 3; "b" "k" 3; "c" "f" 3; "d" "e" "k" "m" 2; "e" "l" "s" 3;
"a" "s" 3; "b" "k" 3; "c" "f" 3; "d" "e" "k" "m" 2; "e" "l" "s" 3;
"a" "s" 3; "b" "k" 3; "c" "f" 3; "d" "e" "k" "m" "x" 2; "e" "l" "s" 3;
"a" "s" 3; "b" "k" 3; "c" "f" 3; "d" "e" "k" "m" "x" 2; "e" "l" "s" 3;
"a" "s" 3; "b" "k" 3; "c" "f" 3; "d" "e" "k" "m" "x" 2; "e" "l" "s" 3;
"a" "s" 3; "b" "k" 3; "c" "f" 3; "d" "e" "k" "m" "x" 2; "e" "l" "s" 3;
"a" "s" 3; "b" "k" 3; "c" "f" 3; "d" "e" "k" "m" "q" "x" 2; "e" "l" "s" 3;
"a" "s" 3; "b" "k" 3; "c" "f" 3; "d" "e" "k" "m" "q" "x" 2; "e" "l" "s" 3;
"a" "s" 3; "b" "k" 3; "c" "f" 3; "d" "e" "k" "m" "q" "x" 2; "e" "l" "s" 3;
"a" "s" 3; "b" "k" 3; "c" "f" 3; "d" "e" "k" "m" "q" "x" 2; "e" "l" "s" 3;
"a" "s" 3; "b" "k" 3; "c" "f" 3; "d" "e" "k" "m" "q" "x" 2; "e" "l" "s" 3;
"a" "s" 3; "b" "k" 3; "c" "f" 3; "d" "e" "k" "m" "q" "x" 2; "e" "l" "s" 3;
"a" "s" 3; "b" "k" 3; "c" "f" 3; "d" "e" "k" "m" "q" "x" 2; "e" "l" "s" 3;
"a" "s" 3; "b" "k" 3; "c" "f" 3; "d" "e" "k" "m" "q" "x" 2; "e" "l" "s" 3;
"a" "s" 3; "b" "k" 3; "c" "f" 3; "d" "e" "k" "m" "q" "x" 2; "e" "l" "s" 3;
"a" "s" 3; "b" "k" 3; "c" "f" 3; "d" "q" 3; "e" "l" "s" 3;
"a" "s" 3; "b" "k" 3; "c" "f" 3; "d" "q" 3; "e" "l" "s" 3;
"a" "s" 3; "b" "k" 3; "c" "f" 3; "d" "k" "q" 3; "e" "l" "s" 3;
"a" "s" 3; "b" "k" 3; "c" "f" 3; "d" "k" "q" 3; "e" "l" "s" 3;
"a" "s" 4; "b" "k" 3; "c" "f" 3; "d" "k" 4; "e" "l" "s" 3;
"a" "s" 4; "b" "k" 3; "c" "f" 3; "d" "k" 4; "e" "l" "s" 3;
"a" "s" 4; "b" "k" 3; "c" "f" 3; "d" "k" 4; "e" "l" "s" 3;
"a" "s" 4; "b" "k" 3; "c" "f" 3; "d" "k" 4; "e" "l" "s" 3;
"a" "s" 4; "b" "k" 3; "c" "f" 3; "d" "k" 4; "e" "l" "s" 4;
"a" "s" 4; "b" "k" 3; "c" "f" 3; "d" "k" 4; "e" "l" "s" 4;
"a" "f" "s" 4; "b" "k" 3; "c" "f" 3; "d" "k" 4; "e" "l" "s" 4;
"a" "f" "s" 4; "b" "k" 3; "c" "f" 3; "d" "k" 4; "e" "l" "s" 4;
"a" "f" "s" 4; "b" "k" 3; "c" "f" 3; "d" "k" 4; "e" "l" "s" 4;
"a" "f" "s" 4; "b" "k" 3; "c" "f" 3; "d" "k" 4; "e" "l" "s" 4;
"a" "f" "s" 4; "b" "k" 3; "c" "f" 3; "d" "k" 4; "e" "l" "s" 4;
"a" "f" "s" 4; "b" "k" 3; "c" "f" 3; "d" "k" 4; "e" "l" "s" 4;
"a" "f" "s" 4; "b" "k" 3; "c" "f" 3; "d" "k" 4; "e" "l" "s" 4;
"a" "f" "s" 4; "b" "k" 3; "c" "f" 3; "d" "k" 4; "e" "l" "s" 4;
"a" "f" "s" 4; "b" "k" 3; "c" "f" 3; "d" "k" 4; "e" "l" "s" 4;
"a" "f" "s" 4; "b" "k" 3; "c" "f" 3; "d" "k" 4; "e" "l" "s" 4;
"a" "f" "s" 4; "b" "k" 3; "c" "f" 3; "d" "k" 4; "e" "s" 5;
"a" "f" "s" 4; "b" "k" 3; "c" "f" 3; "d" "k" 4; "e" "s" 5;
"a" "f" "s" 4; "b" "k" 3; "c" "f" 3; "d" "k" 4; "e" "s" 5;
"a" "f" "s" 4; "b" "k" 3; "c" "f" 3; "d" "k" 4; "e" "s" 5;
"a" "f" "s" 4; "b" "k" 3; "c" "f" 3; "d" "k" 4; "e" "s" 5;
"a" "f" 5; "b" "k" 3; "c" "f" 3; "d" "k" 4; "e" "s" 5;
"a" "f" 5; "b" "k" 3; "c" "f" "x" 3; "d" "k" 4; "e" "s" 5;
"a" "f" 5; "b" "k" 3; "c" "f" "x" 3; "d" "k" 4; "e" "s" 5;
"a" "f" 5; "b" "k" 3; "c" "f" "x" 3; "d" "k" 4; "e" "s" 5;
"a" "f" 5; "b" "k" 3; "c" "f" "x" 3; "d" "k" 4; "e" "s" 5;
"a" "f" 5; "b" "k" 3; "c" "f" "x" 3; "d" "k" 4; "e" "s" 5;
"a" "f" 5; "b" "k" 3; "c" "f" "x" 3; "d" "k" 4; "e" "l" "s" 5;
"a" "f" 5; "b" "k" 3; "c" "f" "x" 3; "d" "k" 4; "e" "l" "s" 5;
"a" "f" 5; "b" "k" "o" 3; "c" "f" "x" 3; "d" "k" 4; "e" "l" "s" 5;
"a" "f" 5; "b" "k" "o" 3; "c" "f" "x" 3; "d" "k" 4; "e" "l" "s" 5;
"a" "f" 5; "b" "k" "o" 3; "c" "f" "x" 3; "d" "k" 4; "e" "l" "s" 5;
"a" "f" 5; "b" "k" "o" 3; "c" "f" "x" 3; "d" "k" 4; "e" "l" "s" 5;
"a" "f" 5; "b" "k" "o" 3; "c" "f" "x" 3; "d" "k" 4; "e" "l" "s" 5;
"a" "f" "x" 5; "b" "k" "o" 3; "c" "f" "x" 3; "d" "k" 4; "e" "l" "s" 5;
"a" "f" "x" 5; "b" "k" "o" 3; "c" "f" "x" 3; "d" "k" 4; "e" "l" "s" 5;
"a" "f" "x" 5; "b" "k" "o" 3; "c" "f" "x" 3; "d" "k" 4; "e" "l" "s" 5;
"a" "f" "x" 5; "b" "k" "o" 3; "c" "f" "x" 3; "d" "k" 4; "e" "l" "s" 5;
"a" "x" 5; "b" "k" "o" 3; "c" "f" "x" 3; "d" "k" 4; "e" "l" "s" 5;
"a" "x" 5; "b" "k" "o" 3; "c" "f" "x" 3; "d" "k" 4; "e" "l" "s" 5;
"a" "x" 5; "b" "k" "o" 3; "c" "f" "x" 3; "d" "k" 4; "e" "l" "s" 5;
"a" "x" 5; "b" "k" "o" 3; "c" "f" "x" 3; "d" "k" 4; "e" "l" "s" 5;
"a" "x" 5; "b" "k" "o" 3; "c" "f" "x" 3; "d" "k" 4; "e" "l" "s" 5;
"a" "x" 5; "b" "k" "o" 3; "c" "f" "x" 3; "d" "k" 4; "e" "l" "s" 5;
"a" "x" 5; "b" "k" "o" 3; "c" "f" "x" 3; "d" "k" 4; "e" "l" "s" 5;
"a" "x" 5; "b" "k" "o" 3; "c" "f" "x" 3; "d" "k" 4; "e" "l" "s" 5;
"a" "i" "x" 5; "b" "k" "o" 3; "c" "f" "x" 3; "d" "k" 4; "e" "l" "s" 5;
"a" "i" "x" 5; "b" "k" "o" 3; "c" "f" "x" 3; "d" "k" 4; "e" "l" "s" 5;
"a" "i" "x" 5; "b" "k" "o" 3; "c" "f" "x" 3; "d" "k" 4; "e" "l" "s" 5;
"a" "i" "x" 5; "b" "k" "o" 3; "c" "f" "x" 3; "d" "k" 4; "e" "l" "s" 5;
"a" "i" "x" 5; "b" "k" "o" 3; "c" "f" "x" 3; "d" "k" 4; "e" "l" "s" 5;
"a" "i" "x" 5; "b" "k" "o" 3; "c" "f" "x" 3; "d" "k" 4; "e" "l" "s" 5;
"a" "i" "x" 5; "b" "k" "o" 3; "c" "f" "x" 3; "d" "k" 4; "e" "l" "s" 5;
"a" "i" "x" 5; "b" "k" "o" 3; "c" "f" "x" 3; "d" "k" 4; "e" "l" "s" 5;
"a" "i" "x" 5; "b" "k" "o" 3; "c" "f" "x" 3; "d" "k" 4; "e" "l" "s" 5;
"a" "i" "x" 5; "b" "o" 4; "c" "f" "x" 3; "d" "k" 5; "e" "l" "s" 5;
"a" "i" "x" 5; "b" "o" 4; "c" "f" "x" 3; "d" "k" 5; "e" "l" "s" 5;
"a" "i" "x" 5; "b" "o" 4; "c" "f" "x" 3; "d" "k" 5; "e" "l" "s" 5;
"a" "i" "x" 5; "b" "o" 4; "c" "f" "x" 3; "d" "k" 5; "e" "l" "s" 5;
"a" "i" "x" 5; "b" "o" 4; "c" "f" "x" 3; "d" "k" 5; "e" "l" "s" 5;
"a" "i" "x" 5; "b" "o" 4; "c" "f" "x" 3; "d" "k" 5; "e" "l" "s" 5;
"a" "i" "x" 5; "b" "o" 4; "c" "f" "x" 3; "d" "k" 5; "e" "l" "s" 5;
"a" "i" "x" 5; "b" "o" 4; "c" "f" "x" 3; "d" "k" 5; "e" "l" "s" 5;
"a" "i" "x" 5; "b" "o" 4; "c" "f" "x" 3; "d" "k" 5; "e" "l" "s" 5;
"a" "i" "x" 5; "b" "o" 4; "c" "f" "x" 3; "d" "k" 5; "e" "l" "s" 5;
"a" "x" 6; "b" "o" 4; "c" "f" "x" 3; "d" "k" 5; "e" "l" "s" 5;
"a" "x" 6; "b" "o" 4; "c" "f" "x" 3; "d" "k" 5; "e" "l" "s" 5;
"a" "x" 6; "b" "o" 4; "c" "f" "x" 3; "d" "k" 6; "e" "l" "s" 5;
"a" "x" 6; "b" "o" 4; "c" "f" "x" 3; "d" "k" 6; "e" "l" "s" 5;
"a" "x" 6; "b" "o" 4; "c" "f" "x" 3; "d" "k" 6; "e" "l" "s" 5;
"a" "x" 6; "b" "o" 4; "c" "f" 4; "d" "k" 6; "e" "l" "s" 5;
"a" "x" 6; "b" "o" 4; "c" "f" 4; "d" "k" 6; "e" "l" "s" 5;
"a" "x" 6; "b" "o" 4; "c" "f" 4; "d" "k" 6; "e" "l" "s" 5;
"a" "x" 6; "b" "o" "w" 4; "c" "f" 4; "d" "k" 6; "e" "l" "s" 5;
"a" "x" 6; "b" "o" "w" 4; "c" "f" 4; "d" "k" 6; "e" "l" "s" 5;
"a" "x" 6; "b" "o" "w" 4; "c" "f" 4; "d" "k" 6; "e" "l" "s" 5;
"a" "x" 6; "b" "o" "w" 4; "c" "f" 5; "d" "k" 6; "e" "l" "s" 5;
"a" "x" 6; "b" "o" "w" 4; "c" "f" 5; "d" "k" 6; "e" "l" "s" 5;
"a" "x" 6; "b" "o" "w" 4; "c" "f" 5; "d" "k" 6; "e" "l" "s" 5;
"a" "x" 6; "b" "o" "w" 4; "c" "f" 5; "d" "k" 6; "e" "l" "s" 5;
"a" "x" 6; "b" "o" "w" 4; "c" "f" 5; "d" "k" 6; "e" "l" "s" 5;
"a" "x" 6; "b" "o" "w" 4; "c" "f" 5; "d" "k" 6; "e" "l" "s" 5;
"a" "x" 6; "b" "o" "w" 4; "c" "f" 5; "d" "k" 6; "e" "l" "s" 5;
"a" "x" 6; "b" "o" "w" 4; "c" "f" 5; "d" "k" 6; "e" "l" "s" 5;
"a" "x" 6; "b" "w" 5; "c" "f" 5; "d" "k" 6; "e" "l" "s" 5;
"a" "x" 6; "b" "w" 5; "c" "f" 5; "d" "k" 6; "e" "l" "s" 5;
"a" "x" 6; "b" "w" 5; "c" "f" 5; "d" "k" 6; "e" "l" "s" 5;
"a" "x" 6; "b" "w" 5; "c" "f" 5; "d" "k" 6; "e" "l" "s" 5;
"a" "x" 6; "b" "w" 5; "c" "f" 5; "d" "k" 6; "e" "l" "s" 5;
"a" "x" 6; "b" "w" 5; "c" "f" 5; "d" "k" 6; "e" "l" "s" 5;
"a" "x" 6; "b" "w" 5; "c" "f" 5; "d" "k" 6; "e" "l" "s" 5;
"a" "x" 6; "b" "w" 5; "c" "f" 5; "d" "k" 6; "e" "s" 6;
"a" "x" 6; "b" "o" "w" 4; "c" "f" 5; "d" "k" 6; "e" "s" 6;
"a" "x" 6; "b" "o" "w" 4; "c" "f" 5; "d" "k" 6; "e" "s" 6;
"a" "x" 6; "b" "o" "w" 4; "c" "f" 6; "d" "k" 6; "e" "s" 6;
"a" "x" 6; "b" "o" "w" 4; "c" "f" 6; "d" "k" 6; "e" "s" 6;
"a" "x" 6; "b" "o" "w" 4; "c" "f" 6; "d" "k" 6; "e" "s" 6;
"a" "x" 6; "b" "o" "w" 4; "c" "f" 6; "d" "k" 6; "e" "s" 6;
"a" "x" 6; "b" "o" "w" 4; "c" "f" 6; "d" "k" 6; "e" "s" 6;
"a" "x" 6; "b" "o" "w" 4; "c" "f" 6; "d" "k" 6; "e" "s" 6;
"a" "x" 6; "b" "o" "w" 4; "c" "f" 6; "d" "k" 6; "e" "s" 6;
"a" "x" 6; "b" "o" "w" 4; "c" "f" 6; "d" "k" 6; "e" "s" 6;
"a" "x" 6; "b" "o" "w" 4; "c" "f" 6; "d" "k" 6; "e" "s" 6;
"a" "x" 6; "b" "o" "w" 4; "c" "f" 6; "d" "k" 6; "e" "s" 6;
"a" "x" 6; "b" "o" "w" 4; "c" "f" 6; "d" "k" 6; "e" "s" 6;
"a" "x" 6; "b" "o" "w" 4; "c" "f" 6; "d" "k" 6; "e" "s" 6;
"a" "x" 6; "b" "o" "w" 4; "c" "f" 6; "d" "k" 6; "e" "s" 6;
"a" "x" 6; "b" "o" "w" 4; "c" "f" 6; "d" "k" 6; "e" "s" 6;
"a" "x" 6; "b" "o" "w" 4; "c" "f" 6; "d" "k" 6; "e" "s" 6;
"a" "x" 6; "b" "o" "w" 4; "c" "f" 6; "d" "k" 6; "e" "s" 6;
"a" "x" 6; "b" "o" "w" 4; "c" "f" 6; "d" "k" 6; "e" "s" 6;
"a" "x" 6; "b" "o" "w" 4; "c" "f" 6; "d" "k" 6; "e" "s" 6;
"a" "x" 6; "b" "o" 5; "c" "f" 6; "d" "k" 6; "e" "s" 6;
"a" "x" 6; "b" "o" 5; "c" "f" 6; "d" "k" 6; "e" "s" 6;
"a" "x" 6; "b" "o" 5; "c" "f" 6; "d" "k" 6; "e" "s" 6;
"a" "x" 6; "b" "o" 5; "c" "f" 6; "d" "k" 6; "e" "s" 6;
"a" "x" 6; "b" "o" 5; "c" "f" 6; "d" "k" 6; "e" "s" 6;
"a" "x" 6; "b" "o" 5; "c" "f" 6; "d" "k" 6; "e" "s" 6;
"a" "x" 6; "b" "o" 5; "c" "f" 6; "d" "k" 6; "e" "s" 6;
"a" "x" 6; "b" "o" 5; "c" "f" 6; "d" "k" 6; "e" "s" 6;
"a" "x" 6; "b" "o" 5; "c" "f" 6; "d" "k" 6; "e" "s" 6;
"a" "x" 6; "b" "o" 5; "c" "f" 6; "d" "k" 6; "e" "s" 6;
"a" "x" 6; "b" "o" 5; "c" "f" 6; "d" "k" 6; "e" "s" 6;
"a" "x" 6; "b" "o" 5; "c" "f" 6; "d" "k" 6; "e" "s" 6;
"a" "x" 6; "b" "o" 5; "c" "f" 6; "d" "k" 6; "e" "s" 6;
"a" "x" 6; "b" "o" 5; "c" "f" 6; "d" "k" 6; "e" "s" 6;
"a" "x" 6; "b" "o" 5; "c" "f" 6; "d" "k" 6; "e" "s" 6;
"a" "x" 6; "b" "o" 5; "c" "f" 6; "d" "k" 6; "e" "s" 6;
"a" "x" 6; "b" "o" 5; "c" "f" 6; "d" "k" 6; "e" "s" 6;
"a" "x" 6; "b" "o" 5; "c" "f" 6; "d" "k" 6; "e" "s" 6;
"a" "x" 6; "b" "o" 5; "c" "f" 6; "d" "k" 6; "e" "s" 6;
"a" "x" 6; "b" "o" 5; "c" "f" 6; "d" "k" 6; "e" "s" 6;
