none
none
none
none
none
none
none
"e" "u" 1;
"e" "u" 1;
"e" "u" 1;
"c" "u" 1; "e" "u" 1;
"c" "u" 1; "e" "u" 1;
"c" "u" 1; "e" "u" 1;
"c" "u" 1; "e" "u" 1;
"c" "u" 1; "e" "u" 1;
"c" "u" 1; "e" "u" 1;
"b" "r" 1; "c" "u" 1; "e" "u" 1;
"b" "r" 1; "c" "u" 1; "e" "u" 1;
"b" "r" 1; "c" "u" 1; "e" "u" 1;
"a" "k" 1; "b" "r" 1; "c" "u" 1; "e" "u" 1;
"a" "k" 1; "b" "r" 1; "c" "u" 1; "e" "u" 1;
"a" "k" "p" 1; "b" "r" 1; "c" "u" 1; "e" "u" "x" 1;
"a" "k" "p" 1; "b" "r" 1; "c" "u" 1; "e" "x" 2;
"a" "k" "p" 1; "b" "r" 1; "c" "u" 1; "e" "x" 2;
"a" "k" "p" 1; "b" "r" 1; "c" "u" 1; "e" "x" 2;
"a" "k" "p" 1; "b" "r" 1; "c" "u" 1; "e" "x" 2;
"a" "k" 2; "b" "r" 1; "c" "u" 1; "e" "x" 2;
"a" "k" 2; "b" "r" "y" 1; "c" "u" 1; "e" "x" 2;
"a" "k" 2; "b" "r" "y" 1; "c" "u" 1; "e" "x" 2;
"a" "k" 2; "b" "r" "y" 1; "c" "u" 1; "e" "x" 2;
"a" "k" 2; "b" "r" "y" 1; "c" "u" 1; "e" "x" 2;
"a" "k" 2; "b" "r" "y" 1; "c" "u" 1; "e" "x" 2;
"a" "k" 2; "b" "r" "y" 1; "c" "u" 1; "e" "x" 2;
"a" "k" 2; "b" "r" "y" 1; "c" "u" 1; "e" "x" 2;
"a" "k" 2; "b" "r" "y" 1; "c" "b" "u" 1; "e" "x" 2;
"a" "k" 2; "b" "r" "y" 1; "c" "b" "u" 1; "e" "x" 2;
"a" "f" "k" 2; "b" "r" "y" 1; "c" "u" 2; "e" "x" 2;
"a" "f" "i" "k" 3; "b" "a" 3; "c" "u" 3; "d" "u" 3; "e" "u" "x" 3;
"a" "f" "i" "k" 3; "b" "a" 3; "c" "u" 3; "d" "u" 3; "e" "u" "x" 3;
"a" "f" "i" "k" 3; "b" "a" 3; "c" "u" 3; "d" "u" 3; "e" "u" "x" 3;
"a" "f" "i" "k" 3; "b" "a" 3; "c" "u" 3; "d" "u" 3; "e" "u" "x" 3;
"a" "f" "i" "k" 3; "b" "a" 3; "c" "u" 3; "d" "u" 3; "e" "u" 4;
"a" "f" "i" "k" 3; "b" "a" 3; "c" "u" 3; "d" "u" 3; "e" "u" 4;
"a" "f" "i" "k" "u" 3; "b" "a" 3; "c" "u" 3; "d" "u" 3; "e" "u" 4;
"a" "f" "i" "k" "u" 3; "b" "a" 3; "c" "u" 3; "d" "u" 3; "e" "u" 4;
"a" "f" "i" "k" "u" 3; "b" "a" "z" 3; "c" "u" 3; "d" "u" 3; "e" "u" 4;
"a" "f" "i" "k" "u" 3; "b" "a" "z" 3; "c" "u" 3; "d" "u" 3; "e" "u" 4;
"a" "k" "u" 4; "b" "a" "z" 3; "c" "u" 3; "d" "u" 3; "e" "u" 4;
"a" "k" "u" 4; "b" "a" "z" 3; "c" "u" 3; "d" "k" "u" 3; "e" "u" 4;
"a" "k" "u" 4; "b" "a" "z" 3; "c" "u" 3; "d" "k" "u" 3; "e" "u" 4;
"a" "k" "u" 4; "b" "a" "z" 3; "c" "u" 3; "d" "k" "u" 3; "e" "u" 4;
"a" "k" "u" 4; "b" "a" "z" 3; "c" "u" 3; "d" "k" "u" 3; "e" "u" 4;
"a" "k" "u" 4; "b" "a" "z" 3; "c" "u" 3; "d" "k" "u" 3; "e" "u" 4;
"a" "k" "u" 4; "b" "a" "z" 3; "c" "u" 3; "d" "k" "u" "v" 3; "e" "u" 4;
"a" "k" "u" 4; "b" "a" "z" 3; "c" "u" 3; "d" "k" "u" "v" 3; "e" "u" 4;
"a" "k" "u" 4; "b" "a" "z" 3; "c" "u" 3; "d" "k" "u" "v" 3; "e" "u" 4;
"a" "k" "u" 4; "b" "a" "r" "z" 3; "c" "u" 3; "d" "k" "u" "v" 3; "e" "u" 4;
"a" "k" "u" 4; "b" "a" "r" "z" 3; "c" "u" 3; "d" "k" "u" "v" 3; "e" "u" 4;
"a" "k" "u" 4; "b" "a" "r" "z" 3; "c" "u" 3; "d" "u" 4; "e" "u" 4;
"a" "k" "u" 4; "b" "a" "r" "z" 3; "c" "u" 3; "d" "u" 4; "e" "u" 4;
"a" "k" "u" 4; "b" "a" "r" "z" 3; "c" "u" 3; "d" "u" 4; "e" "u" 4;
"a" "k" "u" 4; "b" "z" 4; "c" "u" 3; "d" "u" 4; "e" "u" 4;
"a" "k" "u" 4; "b" "z" 4; "c" "u" 3; "d" "u" 4; "e" "u" 4;
"a" "k" 5; "b" "z" 4; "c" "u" 3; "d" "u" 4; "e" "u" 4;
"a" "k" 5; "b" "z" 4; "c" "u" 3; "d" "u" 4; "e" "u" 4;
"a" "k" 5; "b" "z" 4; "c" "u" 3; "d" "u" 4; "e" "u" 4;
"a" "k" 5; "b" "z" 4; "c" "u" 3; "d" "u" 4; "e" "u" 4;
"a" "k" 5; "b" "z" 4; "c" "u" 3; "d" "u" 4; "e" "u" 4;
"a" "k" 5; "b" "z" 4; "c" "u" 3; "d" "u" 4; "e" "u" 4;
"a" "k" 5; "b" "z" 4; "c" "u" 3; "d" "u" 4; "e" "u" 4;
"a" "k" 5; "b" "z" 4; "c" "u" 3; "d" "u" 4; "e" "u" 4;
"a" "k" 5; "b" "z" 4; "c" "u" 3; "d" "u" 4; "e" "u" 4;
"a" "k" 5; "b" "z" 4; "c" "u" 3; "d" "u" 4; "e" "u" 4;
"a" "k" 5; "b" "z" 4; "c" "u" 3; "d" "u" 4; "e" "u" 4;
"a" "k" 5; "b" "z" 4; "c" "u" 3; "d" "u" 4; "e" "u" 4;
"a" "k" 5; "b" "z" 4; "c" "u" 3; "d" "u" 4; "e" "u" 4;
"a" "k" 5; "b" "z" 4; "c" "u" 3; "d" "u" 4; "e" "u" 4;
"a" "k" 5; "b" "z" 5; "c" "u" 3; "d" "u" 4; "e" "u" 4;
"a" "k" 5; "b" "z" 5; "c" "u" 3; "d" "u" 4; "e" "u" 4;
"a" "k" 5; "b" "z" 5; "c" "u" 3; "d" "u" 4; "e" "u" 4;
"a" "k" 5; "b" "z" 5; "c" "u" 3; "d" "u" 4; "e" "u" 4;
"a" "k" 5; "b" "z" 5; "c" "u" 3; "d" "u" 4; "e" "u" 4;
"a" "k" 5; "b" "z" 5; "c" "u" 3; "d" "u" 4; "e" "u" 4;
"a" "k" 5; "b" "z" 5; "c" "u" 3; "d" "u" 4; "e" "u" 4;
"a" "k" 5; "b" "z" 5; "c" "u" 3; "d" "u" 4; "e" "u" 4;
"a" "k" 5; "b" "z" 5; "c" "u" 3; "d" "u" 4; "e" "u" 4;
"a" "k" 5; "b" "z" 5; "c" "u" 3; "d" "u" 4; "e" "u" 4;
"a" "k" 5; "b" "z" 5; "c" "u" 3; "d" "u" 4; "e" "u" 4;
"a" "k" 5; "b" "z" 5; "c" "u" 3; "d" "u" 4; "e" "u" 4;
"a" "k" 5; "b" "z" 5; "c" "u" 3; "d" "u" 4; "e" "u" 4;
"a" "k" 5; "b" "z" 5; "c" "u" 3; "d" "u" 4; "e" "u" 4;
"a" "k" 5; "b" "z" 5; "c" "u" 3; "d" "u" 4; "e" "u" 4;
"a" "k" 5; "b" "z" 5; "c" "u" 3; "d" "u" 4; "e" "u" 4;
"a" "k" 5; "b" "z" 5; "c" "u" 3; "d" "u" 4; "e" "u" 4;
"a" "k" 5; "b" "z" 5; "c" "u" 3; "d" "u" 4; "e" "u" 4;
"a" "k" 5; "b" "z" 5; "c" "u" 3; "d" "u" 4; "e" "u" 4;
"a" "k" 5; "b" "z" 5; "c" "k" "u" 3; "d" "u" 4; "e" "u" 4;
"a" "k" 5; "b" "z" 5; "c" "k" "u" 3; "d" "u" 4; "e" "u" 4;
"a" "k" 5; "b" "z" 5; "c" "k" "u" 3; "d" "u" 4; "e" "u" 4;
"a" "k" 5; "b" "z" 5; "c" "k" "u" 3; "d" "u" 4; "e" "u" 4;
"a" "k" 5; "b" "z" 5; "c" "k" "u" 3; "d" "u" 4; "e" "u" 4;
"a" "k" 5; "b" "z" 5; "c" "k" "u" 3; "d" "u" 4; "e" "u" 4;
"a" "k" 5; "b" "z" 5; "c" "k" "u" 3; "d" "u" 4; "e" "u" 4;
"a" "k" 5; "b" "z" 5; "c" "k" "u" 3; "d" "u" 4; "e" "u" 4;
"a" "k" 5; "b" "z" 5; "c" "k" "u" 3; "d" "u" 4; "e" "u" "x" 4;
"a" "k" 5; "b" "z" 5; "c" "k" "u" 3; "d" "u" 4; "e" "u" "x" 4;
"a" "k" 5; "b" "z" 5; "c" "k" "u" 3; "d" "g" "u" 4; "e" "u" "x" 4;
"a" "k" 5; "b" "z" 5; "c" "k" "u" 3; "d" "g" "u" 4; "e" "u" "x" 4;
"a" "k" 5; "b" "z" 5; "c" "k" "u" 3; "d" "g" "u" 4; "e" "u" "x" 4;
"a" "k" 5; "b" "z" 5; "c" "k" "u" 3; "d" "g" "u" 4; "e" "u" "x" 4;
"a" "k" 5; "b" "z" 5; "c" "k" "u" 3; "d" "g" "u" 4; "e" "u" "x" 4;
"a" "k" 5; "b" "z" 5; "c" "k" "u" 3; "d" "g" "u" 4; "e" "u" "x" 4;
"a" "k" 5; "b" "z" 5; "c" "k" "u" 3; "d" "g" "u" 4; "e" "u" "x" 4;
"a" "f" "k" 5; "b" "z" 5; "c" "k" "u" 3; "d" "g" "u" 4; "e" "u" "x" 4;
"a" "f" "k" 5; "b" "z" 5; "c" "k" "u" 3; "d" "g" "u" 4; "e" "u" "x" 4;
"a" "f" "k" 5; "b" "z" 5; "c" "k" "u" 3; "d" "g" "u" 4; "e" "u" "x" 4;
"a" "f" "k" 5; "b" "z" 5; "c" "k" "u" 3; "d" "g" "u" 4; "e" "u" "x" 4;
"a" "f" "k" 5; "b" "z" 5; "c" "k" "p" "u" 3; "d" "g" "u" 4; "e" "u" "x" 4;
"a" "f" "k" 5; "b" "z" 5; "c" "k" "p" "u" 3; "d" "g" "u" 4; "e" "u" "x" 4;
"a" "f" "k" 5; "b" "z" 5; "c" "k" "p" "u" 3; "d" "g" "u" 4; "e" "u" "x" 4;
"a" "f" "k" 5; "b" "z" 5; "c" "k" "p" "u" 3; "d" "g" "u" 4; "e" "u" "x" 4;
"a" "f" "k" 5; "b" "z" 5; "c" "k" "p" "u" 3; "d" "g" "u" 4; "e" "u" "x" 4;
"a" "f" "k" 5; "b" "z" 5; "c" "k" "p" "u" 3; "d" "g" "u" 4; "e" "u" "x" 4;
"a" "f" "k" 5; "b" "z" 5; "c" "k" "p" "u" 3; "d" "g" "u" 4; "e" "u" "x" 4;
"a" "f" "k" 5; "b" "z" 5; "c" "k" "p" "u" 3; "d" "g" "u" 4; "e" "u" "x" 4;
"a" "f" "k" 5; "b" "z" 5; "c" "k" "p" "u" 3; "d" "g" "u" 4; "e" "u" 5;
"a" "f" "k" 5; "b" "z" 5; "c" "k" "p" "u" 3; "d" "g" "u" 4; "e" "u" 5;
"a" "f" "k" 5; "b" "z" 5; "c" "k" "p" "u" 3; "d" "g" "u" 4; "e" "u" 5;
"a" "f" "k" 5; "b" "z" 5; "c" "k" "p" "u" 3; "d" "g" "u" 4; "e" "u" 5;
"a" "f" "k" 5; "b" "z" 5; "c" "k" "p" "u" 3; "d" "g" "u" 4; "e" "u" 5;
"a" "f" "k" 5; "b" "z" 5; "c" "k" "p" "u" 3; "d" "g" "u" 4; "e" "u" 5;
"a" "f" "k" 5; "b" "z" 5; "c" "k" "p" "u" 3; "d" "g" "u" 4; "e" "u" 5;
"a" "f" "k" 5; "b" "z" 5; "c" "k" "p" "u" 3; "d" "g" "u" 4; "e" "u" 5;
"a" "d" "f" "k" 5; "b" "z" 5; "c" "k" "p" "u" 3; "d" "g" "u" 4; "e" "u" 5;
"a" "d" "f" "k" 5; "b" "z" 5; "c" "k" "p" "u" 3; "d" "g" "u" 4; "e" "u" 5;
"a" "d" "f" "k" 5; "b" "z" 5; "c" "k" "p" "u" 3; "d" "g" "u" 4; "e" "u" 5;
"a" "d" "f" "k" 5; "b" "z" 5; "c" "k" "p" "u" 3; "d" "g" "u" 4; "e" "u" 5;
"a" "d" "f" "k" 5; "b" "z" 5; "c" "u" 4; "d" "g" "u" 4; "e" "u" 5;
"a" "d" "f" "k" 5; "b" "z" 5; "c" "u" 4; "d" "g" "u" 4; "e" "u" 5;
"a" "d" "f" "k" 5; "b" "z" 5; "c" "u" 4; "d" "g" "u" 4; "e" "u" 5;
"a" "d" "f" "k" 5; "b" "z" 5; "c" "u" 4; "d" "g" "u" 4; "e" "u" 5;
"a" "d" "f" "k" 5; "b" "z" 5; "c" "u" 4; "d" "g" "u" 4; "e" "u" 5;
"a" "d" "f" "k" 5; "b" "z" 5; "c" "u" 4; "d" "g" "u" 4; "e" "u" 5;
"a" "d" "f" "k" 5; "b" "z" 5; "c" "u" 4; "d" "g" "u" 4; "e" "u" 5;
"a" "d" "f" "k" 5; "b" "z" 5; "c" "u" 4; "d" "g" "u" 4; "e" "u" 5;
"a" "d" "f" "k" 5; "b" "z" 5; "c" "u" 4; "d" "g" "u" 4; "e" "u" 5;
"a" "d" "f" "k" 5; "b" "z" 5; "c" "u" 4; "d" "g" "u" 4; "e" "u" 5;
"a" "d" "f" "k" 5; "b" "z" 5; "c" "u" 4; "d" "g" "u" 4; "e" "u" 5;
"a" "d" "f" "k" 5; "b" "z" 5; "c" "u" 4; "d" "g" "u" 4; "e" "u" 5;
"a" "d" "f" "k" 5; "b" "z" 5; "c" "u" 4; "d" "g" "u" 4; "e" "u" 5;
"a" "d" "f" "k" 5; "b" "z" 5; "c" "u" 4; "d" "g" "u" 4; "e" "u" 5;
"a" "d" "f" "k" 5; "b" "z" 5; "c" "u" 4; "d" "g" "u" 4; "e" "u" 5;
"a" "d" "f" "k" 5; "b" "z" 5; "c" "u" 4; "d" "u" 4; "e" "u" 5;
"a" "d" "f" "k" 5; "b" "x" "z" 5; "c" "u" 4; "d" "u" 4; "e" "c" "u" "x" 4;
"a" "d" "f" "k" 5; "b" "x" "z" 5; "c" "u" 4; "d" "u" 4; "e" "c" "u" "x" 4;
"a" "d" "f" "k" 5; "b" "x" "z" 5; "c" "u" 4; "d" "u" 4; "e" "c" "u" "x" 4;
"a" "d" "f" "k" 5; "b" "x" "z" 5; "c" "u" 4; "d" "u" 4; "e" "c" "u" "x" 4;
"a" "d" "f" "k" 5; "b" "x" "z" 5; "c" "u" 4; "d" "u" 4; "e" "c" "u" "x" 4;
"a" "d" "f" "k" 5; "b" "x" "z" 5; "c" "u" 4; "d" "u" 4; "e" "c" "u" "x" 4;
"a" "d" "f" "k" 5; "b" "x" "z" 5; "c" "u" 4; "d" "u" 4; "e" "c" "u" "x" 4;
"a" "d" "f" "k" 5; "b" "x" "z" 5; "c" "u" 4; "d" "u" 4; "e" "c" "u" "x" 4;
"a" "d" "f" "k" 5; "b" "x" "z" 5; "c" "p" "u" 4; "d" "u" 4; "e" "c" "u" "x" 4;
"a" "d" "f" "k" 5; "b" "x" "z" 5; "c" "p" "u" 4; "d" "u" 4; "e" "u" 5;
"a" "d" "f" "k" 5; "b" "x" "z" 5; "c" "p" "u" 4; "d" "u" 4; "e" "u" 5;
"a" "d" "f" "k" 5; "b" "x" "z" 5; "c" "p" "u" 4; "d" "u" 4; "e" "u" 5;
"a" "d" "f" "k" 5; "b" "x" "z" 5; "c" "p" "u" 4; "d" "u" 4; "e" "u" 5;
"a" "d" "f" "k" 5; "b" "x" "z" 5; "c" "p" 5; "d" "u" 4; "e" "u" 5;
"a" "d" "f" "k" 5; "b" "x" "z" 5; "c" "p" 5; "d" "u" 4; "e" "u" 5;
"a" "d" "f" "k" "u" 5; "b" "x" "z" 5; "c" "p" 5; "d" "u" 4; "e" "u" 5;
"a" "d" "f" "k" "u" 5; "b" "x" "z" 5; "c" "p" 5; "d" "u" 4; "e" "u" 5;
"a" "d" "f" "k" "u" 5; "b" "x" "z" 5; "c" "p" 5; "d" "u" 4; "e" "u" 5;
"a" "d" "f" "k" "u" 5; "b" "x" "z" 5; "c" "p" 5; "d" "u" 4; "e" "u" 5;
"a" "d" "f" "k" "u" 5; "b" "x" "z" 5; "c" "p" 5; "d" "u" 4; "e" "u" 5;
"a" "d" "f" "k" "u" 5; "b" "x" "z" 5; "c" "p" 5; "d" "u" 4; "e" "u" 5;
"a" "d" "f" "k" "u" 5; "b" "x" "z" 5; "c" "p" 5; "d" "u" 4; "e" "u" 5;
"a" "d" "f" "k" "u" 5; "b" "x" "z" 5; "c" "p" 5; "d" "u" 4; "e" "u" 5;
"a" "d" "f" "k" "u" 5; "b" "x" "z" 5; "c" "p" 5; "d" "u" 4; "e" "u" 5;
"a" "d" "f" "k" "u" 5; "b" "x" "z" 5; "c" "p" 5; "d" "u" 4; "e" "u" 5;
"a" "d" "f" "k" "u" 5; "b" "x" "z" 5; "c" "p" 5; "d" "u" 4; "e" "u" 5;
"a" "d" "f" "k" "u" 5; "b" "x" "z" 5; "c" "p" 5; "d" "u" 4; "e" "u" 5;
"a" "d" "f" "k" "u" 5; "b" "x" 5; "c" "p" 5; "d" "u" 4; "e" "u" 5;
"a" "d" "f" "k" "u" 5; "b" "x" 5; "c" "p" 5; "d" "u" 4; "e" "u" 5;
"a" "d" "f" "k" "u" 5; "b" "x" 5; "c" "p" 5; "d" "u" 4; "e" "u" 5;
"a" "d" "f" "k" "u" 5; "b" "x" 5; "c" "p" 5; "d" "u" 4; "e" "u" 5;
"a" "d" "f" "k" "u" 5; "b" "x" 5; "c" "p" 5; "d" "u" 4; "e" "u" 5;
"a" "d" "f" "k" "u" 5; "b" "x" 5; "c" "p" 5; "d" "u" 4; "e" "u" 5;
