none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"e" "p" 1;
"e" "p" 1;
"c" "x" 1; "e" "p" 1;
"c" "x" 1; "d" "s" 1; "e" "p" 1;
"c" "x" 1; "d" "s" 1; "e" "p" 1;
"c" "x" 1; "d" "s" 1; "e" "h" "p" 1;
"c" "x" 1; "d" "s" 1; "e" "h" "p" 1;
"c" "x" 1; "d" "s" 1; "e" "h" "p" 1;
"c" "x" 1; "d" "s" 1; "e" "h" "p" 1;
"c" "x" 1; "d" "s" 1; "e" "h" "p" 1;
"c" "x" 1; "d" "s" 1; "e" "h" "p" 1;
"c" "x" 1; "d" "s" 1; "e" "h" "p" 1;
"c" "x" 1; "d" "s" 1; "e" "h" "p" 1;
"c" "x" 1; "d" "s" 1; "e" "h" "p" 1;
"c" "x" 1; "d" "s" 1; "e" "g" "h" "p" 1;
"a" "i" 1; "c" "x" 1; "d" "s" 1; "e" "g" "h" "p" 1;
"a" "i" 1; "c" "x" 1; "d" "s" 1; "e" "g" "h" "p" 1;
"a" "i" 1; "c" "x" 1; "d" "s" 1; "e" "g" "h" "p" 1;
"a" "i" 1; "c" "x" 1; "d" "s" 1; "e" "g" "h" "p" 1;
"a" "g" "i" 1; "c" "x" 1; "d" "s" 1; "e" "g" "h" "p" 1;
"a" "g" "i" 1; "c" "v" "x" 1; "d" "s" 1; "e" "g" "h" "p" 1;
"a" "g" "i" 1; "c" "v" "x" 1; "d" "s" 1; "e" "g" "h" "p" 1;
"a" "g" "i" 1; "c" "v" "x" 1; "d" "s" 1; "e" "g" "h" "p" 1;
"a" "g" "i" 1; "c" "j" "v" "x" 1; "d" "s" 1; "e" "g" "h" "k" "p" 1;
"a" "g" "i" 1; "c" "c" "j" "v" "x" 1; "d" "s" 1; "e" "g" "h" "k" "p" 1;
"a" "g" "i" "j" "p" "q" 1; "b" "k" 2; "c" "c" 2; "d" "g" "s" 1; "e" "g" "h" 2;
"a" "g" "i" "j" "p" "q" 1; "b" "k" 2; "c" "c" 2; "d" "g" "s" 1; "e" "g" "h" 2;
"a" "g" "i" "j" "p" "q" 1; "b" "k" 2; "c" "c" 2; "d" "g" "s" 1; "e" "g" "h" 2;
"a" "g" "i" "j" "p" "q" 1; "b" "k" 2; "c" "c" 2; "d" "g" "s" 1; "e" "g" "h" 2;
"a" "g" "i" "j" "p" "q" 1; "b" "k" 2; "c" "c" 2; "d" "g" "s" 1; "e" "g" "h" 2;
"a" "g" "i" "j" "p" "q" "y" 1; "b" "k" 2; "c" "c" 2; "d" "g" "s" 1; "e" "g" "h" 2;
"a" "g" "i" "j" "p" "q" "y" 1; "b" "k" 2; "c" "c" 2; "d" "g" "s" 1; "e" "g" "h" 2;
"a" "g" "i" "j" "p" "q" "y" 1; "b" "k" 2; "c" "c" 2; "d" "g" "s" 1; "e" "g" "h" 2;
"a" "g" "i" "j" "k" "p" "q" "y" 1; "b" "k" 2; "c" "c" 2; "d" "g" "q" "s" 1; "e" "g" "h" 2;
"a" "g" "i" "j" "k" "p" "q" "y" 1; "b" "k" "v" 2; "c" "c" 2; "d" "s" 2; "e" "g" "h" 2;
"a" "g" "i" "j" "k" "p" "q" "y" 1; "b" "k" "v" 2; "c" "c" 2; "d" "s" 2; "e" "g" "h" 2;
"a" "f" "g" "i" "j" "k" "p" "q" "y" 1; "b" "k" "v" 2; "c" "c" 2; "d" "s" 2; "e" "g" 3;
"a" "f" "g" "i" "j" "k" "p" "q" "r" "y" 1; "b" "k" "v" 2; "c" "c" "v" 2; "d" "g" "n" "q" "s" "v" 1; "e" "g" 3;
"a" "f" "g" "i" "j" "k" "p" "q" "r" "y" 1; "b" "k" "v" 2; "c" "c" "v" 2; "d" "g" "j" "n" "q" "s" "v" 1; "e" "g" 3;
"a" "f" "g" "i" "j" "k" "p" "q" "r" "y" 1; "b" "k" "v" 2; "c" "c" "v" 2; "d" "g" "j" "n" "q" "s" "v" 1; "e" "g" 3;
"a" "f" "g" "i" "j" "k" "p" "q" "r" "y" 1; "b" "k" "v" 2; "c" "c" "v" 2; "d" "v" 2; "e" "g" 3;
"a" "f" "g" "i" "j" "k" "p" "q" "r" "y" 1; "b" "k" "v" 2; "c" "c" "v" 2; "d" "v" 2; "e" "g" 3;
"a" "q" 2; "b" "k" "v" 2; "c" "c" "v" 2; "d" "v" 2; "e" "g" 3;
"a" "q" 2; "b" "k" "v" 2; "c" "c" "v" 2; "d" "v" 2; "e" "g" 3;
"a" "k" "q" 2; "b" "k" "v" 2; "c" "c" "v" 2; "d" "v" 2; "e" "g" 3;
"a" "k" "q" 2; "b" "k" "v" 2; "c" "c" "v" 2; "d" "v" 2; "e" "g" 3;
"a" "k" "q" 2; "b" "k" "v" 2; "c" "c" "v" 2; "d" "v" 2; "e" "g" 3;
"a" "k" "q" 2; "b" "k" "v" 2; "c" "c" "h" "v" 2; "d" "v" 2; "e" "g" 3;
"a" "k" "q" 2; "b" "k" "v" 2; "c" "c" "h" "v" 2; "d" "v" 2; "e" "g" 3;
"a" "k" "q" 2; "b" "k" "v" 2; "c" "c" "h" "v" 2; "d" "v" 2; "e" "g" 3;
"a" "k" "q" 2; "b" "k" "v" 2; "c" "c" "h" "v" 2; "d" "n" "v" 2; "e" "g" "h" 2;
"a" "k" "q" 2; "b" "k" "v" 2; "c" "c" "h" "v" 2; "d" "n" "v" 2; "e" "g" "h" "z" 2;
"a" "k" "q" 2; "b" "k" "v" 2; "c" "c" "h" "v" 2; "d" "n" "v" 2; "e" "g" "h" "z" 2;
"a" "k" "q" 2; "b" "k" "v" 2; "c" "c" "h" "v" 2; "d" "n" "v" 2; "e" "g" "h" "z" 2;
"a" "k" "q" 2; "b" "k" "v" 2; "c" "c" "h" "v" 2; "d" "n" "v" 2; "e" "g" "h" "z" 2;
"a" "k" "q" 2; "b" "k" "v" 2; "c" "c" "h" "v" 2; "d" "n" "v" 2; "e" "g" "h" "z" 2;
"a" "k" "q" 2; "b" "k" "v" 2; "c" "c" "h" "v" 2; "d" "n" "v" 2; "e" "g" "h" "z" 2;
"a" "k" "q" 2; "b" "k" "v" 2; "c" "c" "h" "v" 2; "d" "n" "v" 2; "e" "g" "h" "z" 2;
"a" "k" "q" 2; "b" "k" "v" 2; "c" "c" "h" "v" 2; "d" "n" "v" 2; "e" "g" "h" "z" 2;
"a" "k" "q" 2; "b" "k" "v" 2; "c" "c" "h" "v" 2; "d" "n" "v" 2; "e" "g" "h" "z" 2;
"a" "k" "q" 2; "b" "k" "v" 2; "c" "c" "h" "v" 2; "d" "n" "v" 2; "e" "g" "h" "z" 2;
"a" "k" "q" 2; "b" "k" "v" 2; "c" "c" "h" "v" 2; "d" "n" "v" 2; "e" "g" "h" "z" 2;
"a" "k" "q" 2; "b" "k" "v" 2; "c" "c" "h" "v" 2; "d" "n" "v" 2; "e" "g" "h" "z" 2;
"a" "k" "q" 2; "b" "k" "v" 2; "c" "c" "h" "v" 2; "d" "g" "n" "v" 2; "e" "g" "h" "z" 2;
"a" "k" "q" 2; "b" "k" "v" 2; "c" "c" "h" "v" 2; "d" "g" "n" "v" 2; "e" "g" "h" "z" 2;
"a" "k" "q" 2; "b" "k" "v" 2; "c" "c" "h" "v" 2; "d" "g" "n" "v" 2; "e" "g" "h" "z" 2;
"a" "k" "q" 2; "b" "k" "v" 2; "c" "c" "h" "v" 2; "d" "g" "n" "v" 2; "e" "g" "h" "z" 2;
"a" "k" "q" 2; "b" "k" "v" 2; "c" "c" "h" "v" 2; "d" "g" "n" "v" 2; "e" "g" "h" "z" 2;
"a" "k" "q" 2; "b" "k" "v" 2; "c" "c" "h" "v" 2; "d" "g" "n" "v" 2; "e" "g" "h" "z" 2;
"a" "k" "q" 2; "b" "k" "v" 2; "c" "c" "h" "v" 2; "d" "g" "n" "v" 2; "e" "g" "h" "z" 2;
"a" "k" "q" 2; "b" "c" "k" "v" 2; "c" "c" "h" "v" 2; "d" "g" "n" "v" 2; "e" "g" "h" "z" 2;
"a" "k" "q" 2; "b" "c" "k" "v" 2; "c" "c" "h" "v" 2; "d" "g" "n" "v" 2; "e" "g" "h" "z" 2;
"a" "k" "q" 2; "b" "c" "k" "v" 2; "c" "c" "h" "v" 2; "d" "g" "n" "v" 2; "e" "g" "h" "z" 2;
"a" "k" "q" 2; "b" "c" "k" "v" 2; "c" "c" "h" "j" "v" 2; "d" "g" "n" "v" 2; "e" "g" "h" "z" 2;
"a" "k" "q" 2; "b" "c" "k" "v" 2; "c" "c" "h" "j" "v" 2; "d" "g" "n" "s" "v" 2; "e" "g" "h" "z" 2;
"a" "k" "q" 2; "b" "c" "k" "v" 2; "c" "c" "h" "j" "v" 2; "d" "g" "n" "s" "v" 2; "e" "g" "h" "z" 2;
"a" "k" "q" 2; "b" "c" "k" "v" 2; "c" "c" "h" "j" "v" 2; "d" "g" "n" "s" "v" 2; "e" "g" 3;
"a" "k" "q" 2; "b" "c" "k" "v" 2; "c" "c" "h" "j" "v" 2; "d" "g" "n" "s" "v" 2; "e" "g" 3;
"a" "k" "q" 2; "b" "c" "k" "v" 2; "c" "c" "h" "j" "v" 2; "d" "g" "n" "s" "v" 2; "e" "g" 3;
"a" "k" "q" 2; "b" "c" "k" "l" "v" 2; "c" "c" "h" "j" "v" 2; "d" "g" "n" "s" "v" 2; "e" "g" 3;
"a" "k" "q" 2; "b" "c" "k" "l" "v" 2; "c" "c" "h" "j" "v" 2; "d" "g" "n" "s" "v" 2; "e" "g" 3;
"a" "k" "q" 2; "b" "c" "k" "l" "v" 2; "c" "c" "h" "j" "v" 2; "d" "g" "n" "s" "v" 2; "e" "g" 3;
"a" "k" "q" 2; "b" "c" 3; "c" "c" "h" "j" "v" 2; "d" "g" "n" "s" "v" 2; "e" "g" 3;
"a" "k" "q" 2; "b" "c" 3; "c" "c" "h" "j" "v" 2; "d" "g" "n" "s" "v" 2; "e" "g" 3;
"a" "k" "q" 2; "b" "c" 3; "c" "c" "h" "j" "v" 2; "d" "g" "n" "s" "v" 2; "e" "g" 3;
"a" "k" "q" "y" 2; "b" "c" 3; "c" "h" 3; "d" "g" "n" "s" "v" 2; "e" "g" 3;
"a" "k" "q" "y" 2; "b" "c" 3; "c" "h" 3; "d" "g" "n" "s" "v" 2; "e" "g" 3;
"a" "k" "q" "y" 2; "b" "c" 3; "c" "h" 3; "d" "g" "n" "s" "v" 2; "e" "g" 3;
"a" "k" "q" "y" 2; "b" "c" 3; "c" "h" 3; "d" "g" "n" "s" "v" 2; "e" "g" 3;
"a" "k" "q" "y" 2; "b" "c" 3; "c" "h" 3; "d" "g" "n" "s" "v" 2; "e" "g" 3;
"a" "k" "q" "y" 2; "b" "c" 3; "c" "h" 3; "d" "g" "n" "s" "v" 2; "e" "g" 3;
"a" "k" "q" "y" 2; "b" "c" 3; "c" "h" 3; "d" "g" "n" "s" "v" 2; "e" "g" 3;
"a" "k" "q" "y" 2; "b" "c" 3; "c" "h" 3; "d" "g" "n" "s" "v" 2; "e" "g" 3;
"a" "k" "q" "y" 2; "b" "c" "l" 3; "c" "h" 3; "d" "s" 3; "e" "g" "h" 3;
"a" "k" "q" "y" 2; "b" "c" "l" 3; "c" "h" 3; "d" "s" 3; "e" "g" "h" 3;
"a" "k" "q" "y" 2; "b" "c" "l" 3; "c" "h" 3; "d" "s" 3; "e" "g" "h" 3;
"a" "k" "q" "y" 2; "b" "c" "l" 3; "c" "h" 3; "d" "s" 3; "e" "g" "h" 3;
"a" "g" "k" "q" "y" 2; "b" "c" "l" 3; "c" "h" 3; "d" "s" 3; "e" "g" "h" 3;
"a" "g" "k" "q" "y" 2; "b" "c" "l" 3; "c" "h" 3; "d" "s" 3; "e" "g" "h" 3;
"a" "g" "k" "q" "y" 2; "b" "c" "l" 3; "c" "h" 3; "d" "s" 3; "e" "g" "h" 3;
"a" "g" "k" "q" "y" 2; "b" "c" "l" 3; "c" "h" 3; "d" "s" 3; "e" "g" "h" 3;
"a" "g" "k" "q" "y" 2; "b" "c" "l" 3; "c" "h" 3; "d" "s" 3; "e" "g" "h" 3;
"a" "g" "k" "q" "y" 2; "b" "c" "l" 3; "c" "h" 3; "d" "s" 3; "e" "g" "h" 3;
"a" "g" "k" "q" "y" 2; "b" "c" "l" 3; "c" "h" 3; "d" "s" 3; "e" "g" "h" 3;
"a" "g" "k" "q" "y" 2; "b" "c" "l" 3; "c" "h" 3; "d" "s" 3; "e" "g" "h" 3;
"a" "g" "k" "q" "y" 2; "b" "c" "f" "k" "l" 3; "c" "h" 3; "d" "s" 3; "e" "g" "h" 3;
"a" "g" "k" "q" "y" 2; "b" "c" "f" "k" "l" 3; "c" "h" 3; "d" "s" 3; "e" "g" "h" 3;
"a" "g" "k" "q" "y" 2; "b" "c" "f" "k" "l" 3; "c" "h" 3; "d" "s" 3; "e" "g" "h" 3;
"a" "g" "k" "q" "y" 2; "b" "c" "f" "k" "l" 3; "c" "h" 3; "d" "s" 3; "e" "g" "h" 3;
"a" "g" "k" "q" "y" 2; "b" "c" "f" "k" "l" 3; "c" "h" 3; "d" "s" 4; "e" "g" "h" 3;
"a" "g" "k" "n" "q" "y" 2; "b" "c" "f" "k" "l" 3; "c" "h" 3; "d" "s" 4; "e" "g" "h" 3;
"a" "g" "k" "n" "q" "y" 2; "b" "c" "f" "k" "l" 3; "c" "h" 3; "d" "s" 4; "e" "g" "h" 3;
"a" "g" "k" "n" "q" "y" 2; "b" "c" "f" "k" "l" 3; "c" "h" 3; "d" "s" 4; "e" "g" "h" 3;
"a" "g" "k" "n" "q" "y" 2; "b" "c" "f" "k" "l" 3; "c" "h" 3; "d" "s" 4; "e" "g" "h" 3;
"a" "g" "k" "n" "q" "y" 2; "b" "c" "f" "k" "l" 3; "c" "h" 3; "d" "s" 4; "e" "g" "h" 3;
"a" "g" "k" "n" "q" "y" 2; "b" "c" "f" "k" "l" 3; "c" "h" 3; "d" "s" 4; "e" "g" "h" 3;
"a" "g" "k" "n" "q" "y" 2; "b" "c" "f" "k" "l" 3; "c" "h" 3; "d" "s" 4; "e" "g" "h" 3;
"a" "g" "k" "n" "q" "y" 2; "b" "c" "f" "k" "l" 3; "c" "h" 3; "d" "s" 4; "e" "g" "h" 3;
"a" "g" "k" "n" "q" "y" 2; "b" "c" "f" "k" "l" 3; "c" "h" 3; "d" "s" 4; "e" "g" "h" 3;
"a" "g" "k" "n" "q" "y" 2; "b" "c" "f" "k" "l" 3; "c" "h" "t" 3; "d" "s" 4; "e" "g" "h" 3;
"a" "g" "k" "n" "q" "y" 2; "b" "c" "f" "k" "l" 3; "c" "h" "t" 3; "d" "s" 4; "e" "g" "h" 3;
"a" "g" "k" "n" "q" "y" 2; "b" "c" "f" "k" "l" "v" 3; "c" "h" "t" 3; "d" "s" 4; "e" "g" "h" 3;
"a" "g" "k" "n" "q" "y" 2; "b" "c" "f" "k" "l" "v" 3; "c" "h" "t" 3; "d" "s" 4; "e" "g" "h" 3;
"a" "g" "k" "n" "q" "y" 2; "b" "c" "f" "k" "l" "v" "z" 3; "c" "h" "t" 3; "d" "s" 4; "e" "g" "h" 3;
"a" "g" "k" "n" "q" "y" 2; "b" "c" "f" "k" "l" "v" "z" 3; "c" "h" "t" 3; "d" "s" 4; "e" "g" "h" 3;
"a" "g" "k" "n" "q" "y" 2; "b" "c" "f" "k" "l" "v" "z" 3; "c" "h" "t" 3; "d" "s" 4; "e" "g" "h" 3;
"a" "g" "k" "n" "q" "y" 2; "b" "c" "f" "k" "l" "v" "z" 3; "c" "h" "t" 3; "d" "s" 4; "e" "g" "h" 3;
"a" "g" "k" "n" "q" "y" 2; "b" "c" "f" "k" "l" "v" "z" 3; "c" "h" "t" 3; "d" "s" 4; "e" "g" "h" 3;
"a" "g" "k" "n" "q" "y" 2; "b" "c" "f" "k" "l" "v" "z" 3; "c" "h" "t" 3; "d" "s" 4; "e" "g" "h" 3;
"a" "g" "k" "n" "q" "y" 2; "b" "c" "f" "k" "l" "v" "z" 3; "c" "h" "t" 3; "d" "s" 4; "e" "g" "h" 3;
"a" "g" "k" "n" "q" "y" 2; "b" "c" "f" "k" "l" "v" "z" 3; "c" "h" "t" 3; "d" "s" 4; "e" "g" "h" 3;
"a" "g" "k" "n" "q" "y" 2; "b" "c" "f" "k" "l" "v" "z" 3; "c" "h" "i" "t" 3; "d" "s" 4; "e" "g" "h" 3;
"a" "g" "k" "n" "q" "y" 2; "b" "c" "f" "k" "l" "v" "z" 3; "c" "h" "i" "t" 3; "d" "s" 5; "e" "g" "h" 3;
"a" "g" "k" "n" "q" "y" 2; "b" "c" "f" "k" "l" "v" "z" 3; "c" "h" "i" "t" 3; "d" "s" 5; "e" "g" "h" 3;
"a" "g" "k" "n" "q" "y" 2; "b" "c" "f" "k" "l" "v" "z" 3; "c" "h" "i" "t" 3; "d" "s" 5; "e" "g" "h" 3;
"a" "g" "k" "n" "q" "y" 2; "b" "c" "f" "k" "l" "v" "z" 3; "c" "h" "i" "t" 3; "d" "s" 5; "e" "g" "h" 3;
"a" "n" 3; "b" "c" "f" "k" "l" "v" "z" 3; "c" "h" 4; "d" "s" 5; "e" "g" "h" 3;
"a" "n" 3; "b" "c" "f" "k" "v" "z" 3; "c" "h" 4; "d" "s" 5; "e" "g" "h" 3;
"a" "n" 3; "b" "c" "f" "k" "v" "z" 3; "c" "h" 4; "d" "s" 5; "e" "g" "h" 3;
"a" "n" 3; "b" "c" "f" "k" "v" "z" 3; "c" "h" 4; "d" "s" 5; "e" "g" "h" 3;
"a" "n" 3; "b" "c" "f" "k" "v" "z" 3; "c" "h" 4; "d" "s" 5; "e" "g" "h" 3;
"a" "n" 3; "b" "c" "f" "k" "v" "z" 3; "c" "h" 4; "d" "s" 5; "e" "g" "h" 3;
"a" "n" 3; "b" "c" "f" "k" "v" "z" 3; "c" "h" 4; "d" "s" 5; "e" "g" "h" 3;
"a" "n" 3; "b" "c" "f" "k" "v" "z" 3; "c" "h" 4; "d" "s" 5; "e" "g" "h" 3;
"a" "g" "n" 3; "b" "c" "f" "k" "s" "v" "z" 3; "c" "h" 4; "d" "s" 5; "e" "g" "h" 3;
"a" "g" "n" 3; "b" "c" "f" "h" "k" "s" "v" "z" 3; "c" "h" 4; "d" "s" 5; "e" "g" "h" 3;
"a" "g" "n" 3; "b" "c" "f" "h" "k" "s" "v" "z" 3; "c" "h" 4; "d" "s" 5; "e" "g" "h" 3;
"a" "g" "n" 3; "b" "c" "f" "h" "k" "s" "v" "z" 3; "c" "h" 4; "d" "s" 5; "e" "g" "h" 3;
"a" "g" "n" 3; "b" "c" "f" "h" "k" "s" "v" "z" 3; "c" "h" 4; "d" "s" 5; "e" "g" "h" 3;
"a" "g" "n" 3; "b" "c" "f" "h" "k" "p" "s" "v" "z" 3; "c" "h" 4; "d" "s" 5; "e" "g" "h" 3;
"a" "g" "n" 3; "b" "c" "f" "h" "k" "p" "s" "v" "z" 3; "c" "h" 4; "d" "s" 5; "e" "g" 4;
"a" "g" "n" 3; "b" "c" "f" "h" "k" "p" "s" "v" "z" 3; "c" "h" 4; "d" "s" 5; "e" "g" 4;
"a" "g" "n" 3; "b" "c" "f" "h" "k" "p" "s" "v" "z" 3; "c" "h" 4; "d" "s" 5; "e" "g" "h" 3;
"a" "g" "n" 3; "b" "c" "f" "h" "k" "p" "s" "v" "z" 3; "c" "h" 4; "d" "s" 5; "e" "g" "h" 3;
"a" "g" "n" 3; "b" "c" "f" "h" "k" "p" "s" "v" "z" 3; "c" "h" 4; "d" "s" 5; "e" "g" "h" 3;
"a" "g" "n" 3; "b" "c" "f" "h" "k" "l" "p" "s" "v" "z" 3; "c" "h" "t" 4; "d" "s" 5; "e" "h" 4;
"a" "g" "n" 3; "b" "c" "f" "h" "k" "l" "p" "s" "v" "z" 3; "c" "h" "t" 4; "d" "s" 5; "e" "h" 4;
"a" "g" "n" 3; "b" "c" "f" "h" "k" "l" "p" "s" "v" "z" 3; "c" "h" "t" 4; "d" "s" 5; "e" "h" 4;
"a" "g" "n" 3; "b" "v" 4; "c" "h" "t" 4; "d" "s" 5; "e" "h" 4;
"a" "g" "n" 3; "b" "v" 4; "c" "h" "t" 4; "d" "s" 5; "e" "h" 4;
"a" "g" "n" 3; "b" "v" 4; "c" "h" "t" 4; "d" "s" 5; "e" "h" 4;
"a" "g" "n" 3; "b" "v" 4; "c" "h" "t" 4; "d" "s" 5; "e" "h" 4;
"a" "g" "n" 3; "b" "v" 4; "c" "h" "t" 4; "d" "s" 5; "e" "h" 4;
"a" "g" "n" 3; "b" "v" 4; "c" "h" "t" 4; "d" "s" 5; "e" "h" 4;
"a" "g" "n" 3; "b" "v" 4; "c" "h" "t" 4; "d" "s" 5; "e" "h" 4;
"a" "g" "n" 3; "b" "v" 4; "c" "h" "t" 4; "d" "s" 5; "e" "h" 4;
"a" "g" "n" 3; "b" "v" 4; "c" "h" "t" 4; "d" "s" 5; "e" "h" 4;
"a" "g" "n" 3; "b" "v" 4; "c" "h" "t" 4; "d" "s" 5; "e" "h" 4;
"a" "g" "n" 3; "b" "v" 4; "c" "h" "t" 4; "d" "s" 5; "e" "h" 4;
"a" "g" "n" 3; "b" "v" 4; "c" "h" "t" 4; "d" "s" 5; "e" "h" 4;
"a" "g" "n" 3; "b" "v" 4; "c" "h" "t" 4; "d" "s" 5; "e" "h" 4;
"a" "g" "n" 3; "b" "v" 4; "c" "h" "t" 4; "d" "s" 5; "e" "h" 4;
"a" "g" "n" 3; "b" "v" 4; "c" "h" "i" "t" 4; "d" "s" 5; "e" "h" 4;
"a" "g" "n" 3; "b" "v" 4; "c" "h" "i" "t" 4; "d" "s" 5; "e" "h" 4;
"a" "g" "n" 3; "b" "v" 4; "c" "h" "i" "t" 4; "d" "s" 5; "e" "h" 4;
"a" "g" "n" 3; "b" "v" 4; "c" "h" "i" "t" 4; "d" "s" 5; "e" "h" 4;
"a" "g" "n" 3; "b" "v" 4; "c" "h" "i" "t" 4; "d" "s" 5; "e" "h" 4;
"a" "g" "n" "q" 3; "b" "v" 4; "c" "h" "i" "t" 4; "d" "s" 5; "e" "h" 4;
"a" "g" "n" "q" 3; "b" "v" 4; "c" "h" "i" "t" 4; "d" "s" 5; "e" "h" 4;
"a" "g" "n" "q" 3; "b" "v" 4; "c" "h" "i" "t" 4; "d" "s" 5; "e" "h" 4;
"a" "g" "n" "q" 3; "b" "v" 4; "c" "h" "i" "t" 4; "d" "s" 5; "e" "h" 4;
"a" "g" "n" "q" 3; "b" "v" 4; "c" "h" "i" "t" 4; "d" "s" 5; "e" "h" 4;
"a" "g" "n" "q" 3; "b" "v" 4; "c" "h" "i" "t" 4; "d" "s" 5; "e" "h" 4;
"a" "g" "n" "q" 3; "b" "v" 4; "c" "h" "i" "t" 4; "d" "s" 5; "e" "h" 4;
"a" "g" "n" "q" 3; "b" "v" 4; "c" "h" "i" "t" 4; "d" "s" 5; "e" "g" "h" 4;
"a" "g" "n" "q" 3; "b" "v" 4; "c" "h" "i" "t" 4; "d" "s" 5; "e" "g" "h" 4;
"a" "g" "n" "q" 3; "b" "v" 4; "c" "h" "i" "t" 4; "d" "s" 5; "e" "g" "h" 4;
"a" "g" "n" "q" 3; "b" "v" 4; "c" "h" "i" "t" 4; "d" "s" 5; "e" "g" "h" 4;
"a" "g" "n" "q" 3; "b" "v" 4; "c" "h" "i" "t" 4; "d" "s" 5; "e" "g" "h" 4;
"a" "g" "n" "q" 3; "b" "v" 4; "c" "h" "i" "t" 4; "d" "s" 5; "e" "g" "h" 4;
"a" "g" "n" "q" 3; "b" "v" 4; "c" "h" "i" "t" 4; "d" "s" 5; "e" "g" "h" 4;
"a" "g" "n" "q" 3; "b" "v" 4; "c" "h" "i" "t" 4; "d" "s" 5; "e" "g" "h" 4;
"a" "g" "n" "q" 3; "b" "v" 4; "c" "h" "i" "t" 4; "d" "s" 5; "e" "g" "h" 4;
"a" "g" "n" "q" 3; "b" "v" 4; "c" "h" "i" "t" 4; "d" "s" 5; "e" "g" "h" 4;
"a" "g" "n" "q" 3; "b" "v" 4; "c" "h" "i" "t" 4; "d" "s" 5; "e" "g" "h" 4;
