none
none
none
none
none
none
none
"d" "v" 1;
"d" "v" 1;
"b" "d" 1; "d" "v" 1;
"a" "w" 1; "b" "d" 1; "c" "w" 1; "d" "v" 1;
"a" "w" 1; "b" "d" 1; "c" "w" 1; "d" "v" 1;
"a" "i" "v" "w" 1; "b" "b" "d" 1; "c" "s" 2; "d" "d" "e" "m" "s" "v" "y" 1; "e" "f" "h" "v" 1;
"a" "i" "v" "w" 1; "b" "b" "d" 1; "c" "s" 2; "d" "d" "e" "m" "s" "v" "y" 1; "e" "f" "h" "v" 1;
"a" "i" "v" "w" 1; "b" "b" "d" 1; "c" "s" 2; "d" "d" "e" "m" "s" "v" "y" 1; "e" "f" "h" "v" 1;
"a" "i" "v" "w" 1; "b" "b" "d" 1; "c" "s" 2; "d" "d" "e" "m" "s" "v" "y" 1; "e" "f" "h" "v" 1;
"a" "i" "v" "w" 1; "b" "b" "d" 1; "c" "s" "w" 2; "d" "d" "e" "m" "s" "v" "y" 1; "e" "f" "h" "v" 1;
"a" "i" "v" "w" 1; "b" "b" "d" 1; "c" "s" "w" 2; "d" "d" "e" "m" "s" "v" "y" 1; "e" "f" "h" "v" 1;
"a" "i" "v" "w" 1; "b" "b" "d" 1; "c" "s" "w" 2; "d" "d" "e" "m" "s" "v" "y" 1; "e" "f" "h" "v" 1;
"a" "a" "i" "v" "w" 1; "b" "b" "d" 1; "c" "s" "w" 2; "d" "s" 2; "e" "v" 2;
"a" "a" "i" "v" "w" 1; "b" "b" "d" 1; "c" "s" "w" 2; "d" "s" 2; "e" "v" 2;
"a" "a" "i" "v" "w" 1; "b" "b" "d" 1; "c" "s" "w" 2; "d" "s" 2; "e" "v" 2;
"a" "a" "i" "v" "w" 1; "b" "b" "d" 1; "c" "s" "w" 2; "d" "s" 2; "e" "v" 2;
"a" "a" "i" "v" "w" 1; "b" "b" "d" 1; "c" "s" "w" 2; "d" "s" 2; "e" "v" 2;
"a" "a" "i" "v" "w" 1; "b" "b" "d" 1; "c" "s" "w" 2; "d" "s" 2; "e" "v" 2;
"a" "a" "i" "v" "w" 1; "b" "b" "d" 1; "c" "s" "w" 2; "d" "s" 2; "e" "v" 2;
"a" "a" "i" "v" "w" 1; "b" "b" "d" 1; "c" "s" "w" 2; "d" "s" 2; "e" "v" 2;
"a" "a" "i" "v" "w" 1; "b" "b" "d" 1; "c" "s" "w" 2; "d" "s" 2; "e" "v" 2;
"a" "a" "i" "v" "w" 1; "b" "b" "d" 1; "c" "s" "w" 2; "d" "s" 2; "e" "v" 2;
"a" "a" "i" "v" "w" 1; "b" "b" "d" 1; "c" "s" "w" 2; "d" "s" 2; "e" "v" 2;
"a" "a" "i" "v" "w" 1; "b" "b" "d" "k" 1; "c" "s" "w" 2; "d" "s" 2; "e" "v" 2;
"a" "a" "i" "v" "w" 1; "b" "b" "d" "k" 1; "c" "s" "w" 2; "d" "s" 2; "e" "v" 2;
"a" "a" "i" "m" "v" "w" 1; "b" "b" "d" "k" 1; "c" "w" 3; "d" "s" 2; "e" "v" 2;
"a" "a" "i" "m" "v" "w" 1; "b" "b" "d" "k" 1; "c" "w" 3; "d" "s" 2; "e" "v" 2;
"a" "a" "i" "m" "v" "w" 1; "b" "b" "d" "k" 1; "c" "w" 3; "d" "s" 2; "e" "v" 2;
"a" "a" "i" "m" "v" "w" 1; "b" "b" "d" "k" 1; "c" "w" 3; "d" "s" 2; "e" "v" 2;
"a" "a" "i" "m" "v" "w" 1; "b" "b" "d" "k" 1; "c" "w" 3; "d" "s" 2; "e" "v" 2;
"a" "a" "i" "m" "v" "w" 1; "b" "b" "d" "k" 1; "c" "w" 3; "d" "d" "s" 2; "e" "v" 3;
"a" "a" "i" "m" "v" "w" 1; "b" "b" "d" "k" 1; "c" "w" 3; "d" "d" "e" "s" 2; "e" "v" 3;
"a" "a" "i" "j" "m" "v" "w" 1; "b" "b" "d" "h" "k" 1; "c" "w" 3; "d" "s" 3; "e" "v" 3;
"a" "a" "i" "j" "m" "p" "v" "w" 1; "b" "b" "d" "h" "k" 1; "c" "w" 3; "d" "s" 3; "e" "v" 3;
"a" "a" "i" "j" "m" "p" "v" "w" 1; "b" "b" "d" "h" "k" 1; "c" "w" 3; "d" "s" 3; "e" "v" 3;
"a" "a" "i" "j" "m" "p" "v" "w" 1; "b" "b" "d" "h" "k" 1; "c" "w" 3; "d" "s" 3; "e" "v" 3;
"a" "a" "i" "j" "m" "p" "v" "w" 1; "b" "b" "d" "h" "k" 1; "c" "w" 3; "d" "s" 3; "e" "v" 3;
"a" "a" "i" "j" "m" "p" "v" "w" 1; "b" "b" "d" "h" "k" 1; "c" "w" 3; "d" "s" 3; "e" "v" 3;
"a" "a" "i" "j" "m" "p" "v" "w" 1; "b" "b" "d" "h" "k" 1; "c" "w" 3; "d" "s" 3; "e" "v" 3;
"a" "a" "i" "j" "m" "p" "v" "w" 1; "b" "b" "d" "h" "k" 1; "c" "w" 3; "d" "s" 3; "e" "v" 3;
"a" "a" "i" "j" "m" "p" "v" "w" 1; "b" "b" "d" "h" "k" 1; "c" "w" 3; "d" "s" 3; "e" "v" 3;
"a" "a" 2; "b" "b" "d" "h" "k" 1; "c" "w" 3; "d" "s" 3; "e" "v" 3;
"a" "a" "f" 2; "b" "d" 2; "c" "w" 3; "d" "s" 3; "e" "v" 3;
"a" "a" "f" 2; "b" "d" 2; "c" "w" 3; "d" "s" 3; "e" "v" 3;
"a" "a" "f" 2; "b" "d" 2; "c" "w" 3; "d" "s" 3; "e" "v" 3;
"a" "a" "f" 2; "b" "d" 2; "c" "w" 3; "d" "s" 3; "e" "v" 3;
"a" "a" "f" 2; "b" "d" 2; "c" "w" 3; "d" "s" 3; "e" "v" 3;
"a" "a" "f" 2; "b" "d" 2; "c" "w" 3; "d" "s" 3; "e" "v" 3;
"a" "f" 3; "b" "d" 3; "c" "w" 3; "d" "s" 3; "e" "v" 3;
"a" "f" 3; "b" "d" 3; "c" "w" 3; "d" "s" 3; "e" "v" 3;
"a" "f" 3; "b" "d" 3; "c" "w" 3; "d" "s" 3; "e" "v" 3;
"a" "f" 3; "b" "d" 3; "c" "w" 3; "d" "s" 3; "e" "v" 3;
"a" "f" 3; "b" "d" 3; "c" "w" 3; "d" "s" 3; "e" "v" 3;
"a" "f" 3; "b" "d" 3; "c" "v" "w" 3; "d" "s" 3; "e" "v" 3;
"a" "f" 3; "b" "d" 3; "c" "v" "w" 3; "d" "s" 3; "e" "v" 3;
"a" "f" 3; "b" "d" 3; "c" "v" "w" 3; "d" "s" 3; "e" "v" 3;
"a" "f" 3; "b" "d" 3; "c" "v" "w" 3; "d" "s" 3; "e" "v" 3;
"a" "f" 3; "b" "d" 3; "c" "v" "w" 3; "d" "s" 3; "e" "v" 3;
"a" "f" 3; "b" "d" 3; "c" "v" 3; "d" "s" 3; "e" "v" 3;
"a" "f" 3; "b" "d" 3; "c" "v" 3; "d" "s" 3; "e" "v" 3;
"a" "f" 3; "b" "d" 3; "c" "v" 3; "d" "s" 3; "e" "v" 3;
"a" "f" 3; "b" "d" 3; "c" "v" 3; "d" "s" 3; "e" "v" 3;
"a" "f" 3; "b" "d" 3; "c" "v" 3; "d" "s" 3; "e" "v" 3;
"a" "f" 3; "b" "d" 3; "c" "v" 3; "d" "s" 3; "e" "v" 3;
"a" "f" 3; "b" "d" 3; "c" "v" 3; "d" "s" 3; "e" "v" 3;
"a" "f" 3; "b" "d" 3; "c" "v" 3; "d" "d" "s" 3; "e" "v" 3;
"a" "f" 3; "b" "d" 3; "c" "v" 3; "d" "d" "s" 3; "e" "v" 3;
"a" "f" 3; "b" "d" 3; "c" "v" 3; "d" "d" "s" 3; "e" "v" 3;
"a" "f" 3; "b" "d" 3; "c" "v" 3; "d" "d" "s" 3; "e" "v" 3;
"a" "f" 3; "b" "d" 3; "c" "v" 3; "d" "d" "s" 3; "e" "v" 3;
"a" "f" 3; "b" "d" 3; "c" "v" 3; "d" "d" "s" 3; "e" "v" 3;
"a" "f" 3; "b" "d" 3; "c" "v" 3; "d" "s" 4; "e" "v" 3;
"a" "f" 3; "b" "d" 3; "c" "v" 3; "d" "s" 4; "e" "b" "v" 3;
"a" "f" 3; "b" "d" 3; "c" "v" 3; "d" "s" 4; "e" "b" "v" 3;
"a" "f" 3; "b" "d" 3; "c" "v" 3; "d" "s" 4; "e" "b" "v" 3;
"a" "f" 3; "b" "d" 3; "c" "v" 3; "d" "s" 4; "e" "b" "v" 3;
"a" "f" 3; "b" "d" 3; "c" "v" 3; "d" "s" 4; "e" "b" "v" 3;
"a" "f" 3; "b" "d" 3; "c" "v" 3; "d" "s" 4; "e" "b" "v" 3;
"a" "f" 3; "b" "d" 3; "c" "v" 3; "d" "s" 4; "e" "b" "v" 3;
"a" "f" 4; "b" "d" 3; "c" "v" 3; "d" "s" 4; "e" "b" "v" 3;
"a" "f" 4; "b" "d" 3; "c" "v" 3; "d" "s" 4; "e" "b" "v" 3;
"a" "f" 4; "b" "d" 3; "c" "v" 3; "d" "s" 4; "e" "b" "v" 3;
"a" "f" 4; "b" "d" 3; "c" "v" 3; "d" "s" 4; "e" "b" "v" 3;
"a" "f" 4; "b" "d" 3; "c" "v" 3; "d" "s" 4; "e" "b" "v" 3;
"a" "f" 4; "b" "d" 3; "c" "v" 3; "d" "s" 4; "e" "b" "v" 3;
"a" "f" 4; "b" "d" 3; "c" "v" 3; "d" "s" 4; "e" "b" "v" 3;
"a" "f" 4; "b" "d" 3; "c" "v" 3; "d" "s" 4; "e" "b" "v" 3;
"a" "f" 4; "b" "d" 3; "c" "v" 3; "d" "s" 4; "e" "b" "v" 3;
"a" "f" 4; "b" "d" 3; "c" "v" 3; "d" "s" 4; "e" "b" "v" 3;
"a" "f" 4; "b" "d" 3; "c" "v" 3; "d" "s" 4; "e" "b" "v" 3;
"a" "f" 4; "b" "d" 3; "c" "b" "d" "e" "i" "m" "p" "q" "r" "s" "v" "w" "y" 2; "d" "s" 4; "e" "b" "v" 3;
"a" "f" 4; "b" "d" 3; "c" "b" "d" "e" "i" "m" "p" "q" "r" "s" "v" "w" "y" 2; "d" "s" 4; "e" "v" 4;
"a" "f" 4; "b" "d" 3; "c" "b" "d" "e" "i" "m" "p" "q" "r" "s" "v" "w" "y" 2; "d" "s" 4; "e" "v" 4;
"a" "f" 4; "b" "d" 3; "c" "p" 3; "d" "s" 5; "e" "v" 4;
"a" "f" 4; "b" "d" 3; "c" "p" 3; "d" "s" 5; "e" "v" 4;
"a" "f" 4; "b" "d" 3; "c" "p" 3; "d" "s" 5; "e" "v" 4;
"a" "f" 4; "b" "d" 3; "c" "p" 3; "d" "s" 5; "e" "v" 4;
"a" "f" 4; "b" "d" 3; "c" "b" "p" 3; "d" "s" 5; "e" "v" 4;
"a" "f" 4; "b" "d" 3; "c" "b" "p" 3; "d" "s" 5; "e" "v" 4;
"a" "f" 4; "b" "d" 3; "c" "b" "p" 3; "d" "s" 5; "e" "v" 4;
"a" "f" 4; "b" "d" 3; "c" "b" "p" 3; "d" "s" 5; "e" "v" 4;
"a" "f" 4; "b" "d" 3; "c" "b" "p" 3; "d" "s" 5; "e" "v" 4;
"a" "a" "f" 3; "b" "d" 3; "c" "b" "p" 3; "d" "s" 5; "e" "v" 4;
"a" "a" "f" 3; "b" "d" 3; "c" "b" "p" 3; "d" "s" 5; "e" "v" 4;
"a" "a" "f" 3; "b" "d" 3; "c" "b" "m" "p" 3; "d" "s" 5; "e" "v" 4;
"a" "a" "f" 3; "b" "d" 3; "c" "b" "m" "p" 3; "d" "s" 5; "e" "v" 4;
"a" "a" "f" 3; "b" "d" 3; "c" "b" "m" "p" 3; "d" "s" 5; "e" "v" 4;
"a" "a" "f" 3; "b" "d" 3; "c" "b" "m" "p" 3; "d" "s" 5; "e" "v" 4;
"a" "a" "f" 3; "b" "d" 3; "c" "b" "m" "p" 3; "d" "s" 5; "e" "v" 4;
"a" "a" "f" 3; "b" "d" 3; "c" "b" "m" "p" 3; "d" "s" 5; "e" "v" 4;
"a" "a" "f" 3; "b" "d" 3; "c" "b" "m" "p" 3; "d" "s" 5; "e" "v" 4;
"a" "a" "f" 3; "b" "d" 3; "c" "b" "m" "p" 3; "d" "s" 5; "e" "v" 4;
"a" "a" "f" 3; "b" "d" 3; "c" "b" "m" "p" 3; "d" "s" 5; "e" "v" 4;
"a" "a" "f" 3; "b" "d" 3; "c" "b" "m" "p" 3; "d" "s" 5; "e" "v" 4;
"a" "a" "f" 3; "b" "d" 3; "c" "b" "m" "p" 3; "d" "s" 5; "e" "v" 4;
"a" "a" "f" 3; "b" "d" 3; "c" "b" "m" "p" 3; "d" "s" 5; "e" "v" 4;
"a" "a" "f" 3; "b" "d" 3; "c" "b" "m" "p" 3; "d" "s" 5; "e" "v" 4;
"a" "a" "f" 3; "b" "d" 3; "c" "b" "m" "p" 3; "d" "s" 5; "e" "v" 4;
"a" "a" "f" 3; "b" "d" 3; "c" "b" "m" "p" 3; "d" "s" 5; "e" "v" 4;
"a" "a" "b" "f" 3; "b" "d" 3; "c" "b" "m" "p" 3; "d" "s" 5; "e" "v" 4;
"a" "a" "b" "f" 3; "b" "d" 3; "c" "b" "m" "p" 3; "d" "s" 5; "e" "v" 4;
"a" "a" "b" "f" 3; "b" "d" 3; "c" "b" "m" "p" 3; "d" "s" 5; "e" "v" 4;
"a" "a" "b" "f" 3; "b" "d" "i" 3; "c" "b" "m" "p" 3; "d" "s" 5; "e" "v" 4;
"a" "a" "b" "f" 3; "b" "d" "i" 3; "c" "b" "m" "p" 3; "d" "s" 5; "e" "v" 4;
"a" "a" "b" "f" "s" 3; "b" "d" "i" 3; "c" "b" "m" "p" 3; "d" "s" 5; "e" "v" 4;
"a" "a" "b" "f" "s" 3; "b" "d" "i" 3; "c" "b" "m" "p" 3; "d" "s" 5; "e" "v" 4;
"a" "a" "b" "f" "s" 3; "b" "d" "i" "n" 3; "c" "b" "m" "p" 3; "d" "s" 5; "e" "v" 4;
"a" "a" "b" "f" "s" 3; "b" "d" "i" "n" 3; "c" "b" "m" "p" 3; "d" "s" 5; "e" "v" 4;
"a" "a" "b" "f" "s" 3; "b" "d" "i" "n" 3; "c" "b" "m" "p" 3; "d" "s" 5; "e" "v" 4;
"a" "a" "b" "f" "s" 3; "b" "d" "i" "n" 3; "c" "b" "m" "p" 3; "d" "s" 5; "e" "v" 4;
"a" "a" "b" "f" "s" 3; "b" "d" "i" "n" 3; "c" "b" "m" "p" 3; "d" "s" 5; "e" "v" 4;
"a" "a" "b" "f" "s" 3; "b" "d" "i" "n" 3; "c" "b" "m" "p" 3; "d" "s" 5; "e" "v" 4;
"a" "a" "b" "f" "s" 3; "b" "d" "i" "n" 3; "c" "b" "m" "p" 3; "d" "s" 5; "e" "v" 4;
"a" "a" "b" "f" "s" 3; "b" "d" "i" "n" 3; "c" "b" "m" "p" 3; "d" "s" 5; "e" "v" 4;
"a" "a" "b" "f" "s" 3; "b" "d" "i" "n" 3; "c" "b" "m" "p" 3; "d" "s" 5; "e" "v" 4;
"a" "a" "b" "f" "s" 3; "b" "d" "i" "n" 3; "c" "b" "m" "p" "r" 3; "d" "s" 5; "e" "v" 4;
"a" "a" "b" "f" "s" 3; "b" "d" "i" "n" 3; "c" "b" "m" "p" "r" 3; "d" "s" 5; "e" "v" 4;
"a" "a" "b" "f" "s" 3; "b" "d" "i" "n" 3; "c" "b" "m" "p" "r" 3; "d" "s" 5; "e" "v" 4;
"a" "a" "b" "f" "s" 3; "b" "d" "i" "n" 3; "c" "b" "m" "p" "r" 3; "d" "s" 5; "e" "v" 4;
"a" "a" "b" "f" "s" 3; "b" "d" "i" "n" 3; "c" "b" "m" "p" "r" 3; "d" "s" 5; "e" "v" 4;
"a" "a" "b" "f" "s" 3; "b" "d" "i" "n" 3; "c" "b" "m" "p" "r" 3; "d" "s" 5; "e" "v" 4;
"a" "a" "b" "f" "s" 3; "b" "d" "i" "n" 3; "c" "b" "m" "p" "r" 3; "d" "s" 5; "e" "v" 4;
"a" "a" "b" "e" "f" "s" 3; "b" "d" "i" "n" 3; "c" "b" "m" "p" "r" 3; "d" "s" 5; "e" "v" 4;
"a" "a" "b" "e" "f" "s" 3; "b" "d" "i" "n" 3; "c" "b" "m" "p" "r" 3; "d" "e" "s" 5; "e" "v" 4;
"a" "a" "b" "e" "f" "s" 3; "b" "d" "i" "n" 3; "c" "b" "m" "p" "r" 3; "d" "e" "s" 5; "e" "v" 4;
"a" "a" "b" "e" "f" "s" 3; "b" "d" "i" "n" 3; "c" "b" "m" "p" "r" "s" 3; "d" "e" "s" 5; "e" "v" 4;
"a" "a" "b" "e" "f" "s" 3; "b" "d" "i" "n" 3; "c" "b" "m" "p" "r" "s" 3; "d" "e" "s" 5; "e" "v" 4;
"a" "a" "b" "e" "f" "s" 3; "b" "d" "i" "n" 3; "c" "b" 4; "d" "e" "s" 5; "e" "v" 4;
"a" "a" "b" "e" "f" "s" 3; "b" "d" "i" "n" 3; "c" "b" 4; "d" "e" "s" 5; "e" "v" 4;
"a" "a" "b" "e" "f" "s" 3; "b" "d" "i" "n" 3; "c" "b" 4; "d" "e" "s" 5; "e" "v" 4;
"a" "a" "b" "e" "f" "s" 3; "b" "d" "i" "n" 3; "c" "b" 4; "d" "e" "s" 5; "e" "v" 4;
"a" "a" "b" "e" "f" "s" 3; "b" "d" "i" "n" 3; "c" "b" 4; "d" "e" "s" 5; "e" "v" 4;
"a" "a" "b" "e" "f" "s" 3; "b" "d" "i" "n" 3; "c" "b" 4; "d" "e" "s" 5; "e" "v" 4;
"a" "a" "b" "e" "f" "s" 3; "b" "d" "i" "n" 3; "c" "b" 4; "d" "e" "s" 5; "e" "v" 4;
"a" "a" "b" "e" "f" "s" 3; "b" "d" "i" "n" 3; "c" "b" 4; "d" "e" "s" 5; "e" "v" 4;
"a" "a" "b" "e" "f" "s" 3; "b" "d" "i" "n" 3; "c" "b" 4; "d" "e" "s" 5; "e" "v" 4;
"a" "a" "b" "e" "f" "s" 3; "b" "d" "i" "n" 3; "c" "b" 4; "d" "e" "s" 5; "e" "v" 4;
"a" "a" "b" "e" "f" "s" 3; "b" "d" "i" "n" 3; "c" "b" 4; "d" "e" "s" 5; "e" "v" 4;
"a" "a" "b" "e" "f" "s" 3; "b" "d" "i" "n" 3; "c" "b" "s" 4; "d" "e" "s" 5; "e" "v" 4;
"a" "a" "b" "e" "f" "s" 3; "b" "d" "i" "n" 3; "c" "b" "s" 4; "d" "e" "s" 5; "e" "v" 4;
"a" "a" "b" "e" "f" "s" 3; "b" "d" "i" "n" 3; "c" "b" "s" 4; "d" "e" "s" 5; "e" "v" 4;
"a" "a" "b" "e" "f" "s" 3; "b" "d" "i" "n" 3; "c" "b" "s" 4; "d" "e" "s" 5; "e" "v" 4;
"a" "a" "b" "e" "f" "s" 3; "b" "d" "i" "n" 3; "c" "b" "s" 4; "d" "e" "s" 5; "e" "v" 4;
"a" "a" "b" "e" "f" "s" 3; "b" "d" "i" "n" 3; "c" "b" "s" 4; "d" "e" "s" 5; "e" "v" 4;
"a" "a" "b" "e" "f" "s" 3; "b" "d" "i" "n" 3; "c" "b" "s" 4; "d" "e" "s" 5; "e" "v" 4;
"a" "a" "b" "e" "f" "s" 3; "b" "d" "i" "n" 3; "c" "b" "s" 4; "d" "e" "s" 5; "e" "v" 4;
"a" "a" "b" "e" "f" "s" 3; "b" "d" "i" "n" 3; "c" "b" "s" 4; "d" "e" "s" 5; "e" "v" 4;
"a" "a" "b" "e" "f" "s" 3; "b" "d" "i" "n" 3; "c" "b" "s" 4; "d" "e" "s" 5; "e" "v" 4;
"a" "a" "b" "e" "f" "s" 3; "b" "d" "i" "n" 3; "c" "b" "s" 4; "d" "e" "s" 5; "e" "v" 4;
"a" "a" "b" "e" "f" "s" 3; "b" "d" "i" "n" 3; "c" "b" "s" 4; "d" "e" "s" 5; "e" "v" 4;
"a" "a" "b" "e" "f" "s" 3; "b" "d" "i" "n" 3; "c" "b" "q" "s" 4; "d" "e" "s" 5; "e" "v" 4;
"a" "a" "b" "e" "f" "s" 3; "b" "d" "i" "n" 3; "c" "b" "q" "s" 4; "d" "e" "s" 5; "e" "v" 4;
"a" "a" "b" "e" "f" "s" 3; "b" "d" "i" "n" 3; "c" "b" "q" "s" 4; "d" "e" "s" 5; "e" "v" 4;
"a" "a" "b" "e" "f" "s" 3; "b" "d" "i" "n" 3; "c" "b" "q" "s" 4; "d" "e" "s" 5; "e" "v" 4;
"a" "a" "b" "e" "f" "m" "s" 3; "b" "d" "i" "n" 3; "c" "b" "q" "s" 4; "d" "e" "s" 5; "e" "v" 4;
"a" "a" "b" "e" "f" "m" "s" 3; "b" "d" "i" "n" 3; "c" "b" "m" "q" "s" 4; "d" "e" "s" 5; "e" "v" 4;
"a" "a" "b" "e" "f" "m" "s" 3; "b" "d" "i" "n" 3; "c" "b" "m" "q" "s" 4; "d" "e" "s" 5; "e" "v" 4;
"a" "a" "b" "e" "f" "m" "s" 3; "b" "d" "i" "n" 3; "c" "b" "m" "q" "s" 4; "d" "e" "s" 5; "e" "v" 4;
