none
none
none
none
none
none
"b" "h" 1;
"b" "h" 1; "d" "r" 1;
"b" "h" 1; "d" "r" 1;
"b" "h" 1; "d" "r" 1;
"b" "h" 1; "d" "r" 1;
"b" "h" 1; "d" "r" 1;
"b" "h" 1; "d" "r" 1;
"b" "h" 1; "d" "r" 1;
"b" "h" 1; "d" "r" 1;
"b" "h" 1; "d" "r" 1;
"b" "h" 1; "d" "r" 1;
"b" "h" 1; "d" "r" 1; "e" "d" 1;
"b" "h" 1; "d" "r" 1; "e" "d" 1;
"b" "h" 1; "d" "r" 1; "e" "d" 1;
"b" "h" 1; "d" "r" 1; "e" "d" 1;
"b" "h" 1; "d" "r" 1; "e" "d" 1;
"b" "h" 1; "d" "r" 1; "e" "d" 1;
"b" "h" 1; "d" "r" 1; "e" "d" 1;
"b" "h" 1; "d" "h" "r" 1; "e" "d" "t" 1;
"b" "h" 1; "d" "h" "r" 1; "e" "d" "t" 1;
"b" "h" 1; "d" "h" "r" 1; "e" "d" "t" 1;
"b" "h" 1; "d" "h" "r" 1; "e" "d" "k" "t" "x" 1;
"b" "h" 1; "d" "h" "r" 1; "e" "d" "k" "t" "x" 1;
"b" "h" "k" 1; "c" "h" 1; "d" "h" "r" 1; "e" "d" "k" "t" "x" 1;
"b" "f" "h" "k" 1; "c" "h" 1; "d" "h" "r" 1; "e" "d" "k" "m" "t" "x" 1;
"b" "f" "h" "k" 1; "c" "h" 1; "d" "h" "r" 1; "e" "d" "k" "m" "t" "x" 1;
"b" "f" "h" "k" 1; "c" "h" 1; "d" "h" "r" 1; "e" "d" "k" "m" "t" "x" 1;
"b" "f" "h" "k" 1; "c" "h" 1; "d" "h" "r" 1; "e" "d" "k" "m" "t" "x" 1;
"b" "f" "h" "k" 1; "c" "h" "y" 1; "d" "h" "r" 1; "e" "d" "k" "m" "t" "x" 1;
"b" "f" "h" "k" 1; "c" "h" "y" 1; "d" "r" 2; "e" "d" "k" "m" "t" "x" 1;
"b" "c" "f" "h" "k" 1; "c" "h" "y" 1; "d" "r" 2; "e" "d" "k" "m" "t" "x" 1;
"b" "h" 2; "c" "g" "h" "y" 1; "d" "r" 2; "e" "d" "k" "m" "t" "x" 1;
"b" "h" 2; "c" "g" "h" "y" 1; "d" "r" 2; "e" "m" 2;
"b" "h" 2; "c" "g" "h" "y" 1; "d" "r" 2; "e" "m" 2;
"b" "h" 2; "c" "g" "h" "y" 1; "d" "r" 2; "e" "m" 2;
"b" "h" 2; "c" "g" "h" "y" 1; "d" "r" 2; "e" "m" 2;
"b" "h" 2; "c" "g" "h" "y" 1; "d" "r" 2; "e" "m" 2;
"b" "h" 2; "c" "g" "h" "y" 1; "d" "r" 2; "e" "m" 2;
"b" "h" 2; "c" "g" "h" "s" "y" 1; "d" "r" 2; "e" "m" 2;
"b" "h" 2; "c" "g" "h" "s" "y" 1; "d" "r" 2; "e" "m" "t" 2;
"b" "h" 2; "c" "g" "h" "s" "y" 1; "d" "r" 2; "e" "m" "t" 2;
"b" "h" 2; "c" "g" "h" "s" "y" 1; "d" "r" 2; "e" "m" "t" 2;
"b" "h" 2; "c" "g" "h" "s" "y" 1; "d" "r" 2; "e" "m" "t" 2;
"b" "h" 2; "c" "g" "h" "l" "s" "y" 1; "d" "r" 2; "e" "m" "t" 2;
"b" "h" 2; "c" "g" "h" "l" "s" "y" 1; "d" "r" 2; "e" "m" "t" 2;
"b" "h" 2; "c" "g" "h" "l" "s" "y" 1; "d" "r" 2; "e" "m" "t" 2;
"b" "h" 2; "c" "g" "h" "l" "s" "y" 1; "d" "r" 2; "e" "m" "t" 2;
"b" "h" 2; "c" "s" 2; "d" "r" 2; "e" "m" "t" 2;
"a" "a" "b" "e" "h" "j" "q" "s" "t" "u" "y" 1; "b" "c" "f" "h" 2; "c" "l" "s" 2; "d" "r" 3; "e" "m" "p" "t" 2;
"a" "a" "b" "e" "h" "j" "q" "s" "t" "u" "y" 1; "b" "c" "f" "h" 2; "c" "l" "s" 2; "d" "r" 3; "e" "m" "p" "t" 2;
"a" "a" "b" "e" "h" "j" "q" "s" "t" "u" "y" 1; "b" "c" "f" "h" 2; "c" "l" "s" 2; "d" "r" 3; "e" "m" "p" "t" 2;
"a" "a" "b" "e" "h" "j" "q" "s" "t" "u" "y" 1; "b" "c" "f" "h" 2; "c" "l" "s" 2; "d" "r" 3; "e" "m" "p" "t" 2;
"a" "a" "b" "e" "h" "j" "q" "s" "t" "u" "y" 1; "b" "c" "f" "h" 2; "c" "l" "s" 2; "d" "r" 3; "e" "m" "p" "t" 2;
"a" "a" "b" "e" "h" "j" "q" "s" "t" "u" "y" 1; "b" "c" "f" "h" 2; "c" "l" "s" 2; "d" "r" 3; "e" "m" "p" "t" 2;
"a" "a" "b" "e" "h" "j" "q" "s" "t" "u" "y" 1; "b" "c" "f" "h" 2; "c" "l" "s" 2; "d" "r" 3; "e" "m" "p" "t" 2;
"a" "a" "b" "e" "h" "j" "q" "s" "t" "u" "y" 1; "b" "c" "f" "h" 2; "c" "l" "s" 2; "d" "r" 3; "e" "m" "p" "t" 2;
"a" "a" "b" "e" "h" "j" "q" "s" "t" "u" "y" 1; "b" "c" "f" "h" 2; "c" "l" "s" 2; "d" "r" 3; "e" "m" "p" "t" 2;
"a" "a" "b" "e" "h" "j" "q" "s" "t" "u" "y" 1; "b" "c" "f" "h" 2; "c" "l" "s" 2; "d" "r" 3; "e" "d" "m" "p" "t" 2;
"a" "a" "b" "e" "h" "j" "q" "s" "t" "u" "y" 1; "b" "c" "f" "h" 2; "c" "l" "s" 2; "d" "r" 3; "e" "d" "m" "p" "t" 2;
"a" "a" "b" "e" "h" "j" "q" "s" "t" "u" "y" 1; "b" "c" "f" "h" 2; "c" "l" "s" 2; "d" "r" 3; "e" "d" "m" "p" "t" 2;
"a" "s" "u" 2; "b" "c" "f" "h" 2; "c" "l" "s" 2; "d" "r" 3; "e" "p" 3;
"a" "s" "u" 2; "b" "c" "f" "h" 2; "c" "l" "s" 2; "d" "r" 3; "e" "p" 3;
"a" "s" "u" 2; "b" "c" "f" "h" 2; "c" "l" "s" 2; "d" "r" 3; "e" "p" 3;
"a" "s" "u" 2; "b" "c" "f" "h" 2; "c" "l" "s" 2; "d" "r" 3; "e" "p" 3;
"a" "s" "u" 2; "b" "c" "f" "h" 2; "c" "l" "s" 2; "d" "r" 3; "e" "p" 3;
"a" "s" "u" 2; "b" "c" "f" "h" "q" 2; "c" "l" "s" "z" 2; "d" "r" 3; "e" "p" 3;
"a" "s" "u" 2; "b" "c" "f" "h" "q" 2; "c" "l" "s" "z" 2; "d" "r" 3; "e" "p" 3;
"a" "s" "u" 2; "b" "c" "f" "h" "q" 2; "c" "l" "s" "z" 2; "d" "r" 3; "e" "p" 3;
"a" "s" "u" 2; "b" "c" "f" "h" "q" 2; "c" "l" "s" "z" 2; "d" "r" 3; "e" "p" 3;
"a" "s" "u" 2; "b" "c" "f" "h" "q" 2; "c" "l" "s" "z" 2; "d" "r" 3; "e" "p" 3;
"a" "s" "u" 2; "b" "c" "f" "h" "q" 2; "c" "l" "s" "z" 2; "d" "r" 3; "e" "p" 3;
"a" "s" "u" 2; "b" "c" "f" "h" "q" 2; "c" "l" "s" "z" 2; "d" "r" 3; "e" "p" 3;
"a" "s" "u" 2; "b" "c" "f" "h" "q" 2; "c" "s" "z" 2; "d" "r" 3; "e" "p" 3;
"a" "s" "u" 2; "b" "c" "e" "f" "h" "q" 2; "c" "s" "z" 2; "d" "r" 3; "e" "p" 3;
"a" "s" "u" 2; "b" "c" "e" "f" "h" "q" 2; "c" "s" "z" 2; "d" "r" 3; "e" "p" 3;
"a" "s" "u" 2; "b" "c" "e" "f" "h" "q" 2; "c" "s" "z" 2; "d" "r" 3; "e" "p" 3;
"a" "s" "u" 2; "b" "c" "e" "f" "h" "q" 2; "c" "s" "z" 2; "d" "r" 3; "e" "d" "p" 3;
"a" "s" "u" 2; "b" "c" "e" "f" "h" "q" 2; "c" "s" "z" 2; "d" "r" 3; "e" "d" "p" 3;
"a" "s" "u" 2; "b" "c" "e" "f" "h" "q" 2; "c" "s" "z" 2; "d" "r" 3; "e" "d" "p" 3;
"a" "s" "u" 2; "b" "c" "e" "f" "h" "q" 2; "c" "s" "z" 2; "d" "r" 3; "e" "d" "p" 3;
"a" "s" "u" 2; "b" "c" "e" "f" "h" "q" 2; "c" "s" "z" 2; "d" "r" 3; "e" "d" "p" 3;
"a" "s" "u" 2; "b" "c" "e" "f" "h" "q" 2; "c" "s" "z" 2; "d" "r" 3; "e" "d" "p" 3;
"a" "s" "u" 2; "b" "c" "e" "f" "h" "q" 2; "c" "s" "z" 2; "d" "r" 3; "e" "d" "p" 3;
"a" "s" "u" 2; "b" "c" "e" "f" "h" "q" 2; "c" "s" "z" 2; "d" "r" 3; "e" "d" "p" 3;
"a" "s" "u" 2; "b" "c" "e" "f" "h" "q" 2; "c" "s" "z" 2; "d" "r" 3; "e" "d" "p" 3;
"a" "j" "s" "u" 2; "b" "c" "e" "f" "h" "q" 2; "c" "s" "z" 2; "d" "r" 3; "e" "d" "p" 3;
"a" "j" "s" "u" 2; "b" "c" "e" "f" "h" "q" 2; "c" "s" "z" 2; "d" "r" 3; "e" "d" "p" 3;
"a" "j" "s" "u" 2; "b" "c" "e" "f" "h" "q" 2; "c" "s" "z" 2; "d" "r" 3; "e" "d" "m" "p" 3;
"a" "b" "j" "s" "u" 2; "b" "c" "e" "f" "h" "q" 2; "c" "h" "n" "s" "z" 2; "d" "r" 3; "e" "d" "m" "p" 3;
"a" "b" "j" "s" "u" 2; "b" "c" "e" "f" "h" "q" 2; "c" "h" "n" "s" "z" 2; "d" "r" 3; "e" "d" "m" "p" 3;
"a" "b" "j" "s" "u" 2; "b" "c" "e" "f" "h" "q" 2; "c" "h" "n" "s" "z" 2; "d" "r" 3; "e" "d" "m" "p" 3;
"a" "b" "j" "s" "u" 2; "b" "c" "e" "f" "h" "q" 2; "c" "h" "n" "s" "z" 2; "d" "r" 3; "e" "d" "m" "p" 3;
"a" "b" "j" "s" "u" 2; "b" "c" "e" "f" "h" "q" 2; "c" "h" "n" "s" "z" 2; "d" "r" 3; "e" "d" "m" "p" 3;
"a" "b" "j" "s" "u" 2; "b" "c" "e" "f" "h" "q" 2; "c" "h" "n" "s" "z" 2; "d" "r" 3; "e" "d" "m" "p" 3;
"a" "b" "j" "s" "u" 2; "b" "c" "e" "f" "h" "q" 2; "c" "h" "n" "s" "z" 2; "d" "r" 3; "e" "d" "m" "p" "t" 3;
"a" "b" "j" "s" "u" 2; "b" "c" "e" "f" "h" "q" 2; "c" "h" "n" "s" "z" 2; "d" "r" 3; "e" "d" "m" "p" "t" 3;
"a" "b" "j" "s" "u" 2; "b" "c" "e" "f" "h" "q" "t" 2; "c" "n" 3; "d" "r" 3; "e" "d" "m" "p" "t" 3;
"a" "b" "j" "s" "u" 2; "b" "c" "e" "f" "h" "q" "t" 2; "c" "n" 3; "d" "r" 3; "e" "d" "m" "p" "t" 3;
"a" "b" "j" "s" "u" 2; "b" "c" "e" "f" "h" "q" "t" 2; "c" "n" 3; "d" "r" 3; "e" "d" "m" "p" "t" 3;
"a" "b" "j" "s" "u" 2; "b" "c" "e" "f" "h" "q" "t" 2; "c" "n" 3; "d" "r" 3; "e" "d" "m" "p" "t" 3;
"a" "b" "j" "s" "u" 2; "b" "c" "e" "f" "h" "q" "t" 2; "c" "n" 3; "d" "r" 3; "e" "d" "m" "p" "t" 3;
"a" "b" "j" "s" "u" 2; "b" "c" "e" "f" "h" "q" "t" 2; "c" "n" 3; "d" "r" 3; "e" "d" "m" "p" "t" 3;
"a" "b" "j" "s" "u" 2; "b" "c" "e" "f" "h" "q" "t" 2; "c" "n" 3; "d" "r" 3; "e" "d" "m" "p" "t" 3;
"a" "b" "j" "s" "u" 2; "b" "c" "e" "f" "h" "q" "t" 2; "c" "n" 3; "d" "r" 3; "e" "d" "m" "p" "t" 3;
"a" "b" "j" "s" "u" 2; "b" "c" "e" "f" "h" "q" "t" 2; "c" "n" 3; "d" "r" 3; "e" "d" "m" "p" "t" 3;
"a" "b" "j" "s" "u" 2; "b" "c" "e" "f" "h" "q" "t" 2; "c" "n" 3; "d" "r" 3; "e" "d" "m" "p" "t" 3;
"a" "b" "j" "s" "u" 2; "b" "c" "e" "f" "h" "q" "t" 2; "c" "n" 3; "d" "r" 3; "e" "d" "m" "p" "t" 3;
"a" "b" 3; "b" "c" "e" "f" "h" "q" "t" 2; "c" "n" 3; "d" "r" 3; "e" "d" "m" "p" "t" 3;
"a" "b" 3; "b" "c" "e" "f" "h" "q" "t" 2; "c" "n" 3; "d" "r" 3; "e" "d" "m" "p" "t" 3;
"a" "b" 3; "b" "c" "e" "f" "h" "o" "q" "t" 2; "c" "n" 3; "d" "r" 3; "e" "d" 4;
"a" "b" 3; "b" "c" "e" "f" "h" "o" "q" "t" 2; "c" "n" 3; "d" "r" 3; "e" "d" 4;
"a" "b" 3; "b" "c" "e" "f" "h" "o" "q" "t" 2; "c" "n" 3; "d" "r" 3; "e" "d" 4;
"a" "b" 3; "b" "c" "e" "f" "h" "o" "q" "t" 2; "c" "n" 3; "d" "r" 3; "e" "d" 4;
"a" "b" 3; "b" "c" "e" "f" "h" "o" "q" "t" 2; "c" "n" 3; "d" "r" 3; "e" "d" 4;
"a" "b" 3; "b" "c" "e" "f" "h" "o" "q" "t" 2; "c" "n" 3; "d" "r" 3; "e" "d" 4;
"a" "b" 3; "b" "c" "e" "f" "h" "o" "q" "t" 2; "c" "n" 3; "d" "d" "r" 3; "e" "d" 4;
"a" "b" 3; "b" "c" "e" "f" "h" "o" "q" "t" 2; "c" "n" 3; "d" "d" "r" 3; "e" "d" "p" 4;
"a" "b" 3; "b" "c" "e" "f" "h" "o" "q" "t" 2; "c" "n" 3; "d" "d" "r" 3; "e" "d" "p" 4;
"a" "b" 4; "b" "c" "e" "f" "h" "o" "q" "t" 2; "c" "n" 3; "d" "d" "r" 3; "e" "d" "p" 4;
"a" "b" 4; "b" "c" "e" "f" "h" "o" "q" "t" 2; "c" "n" 3; "d" "d" "r" 3; "e" "d" "p" 4;
"a" "b" 4; "b" "o" 3; "c" "n" 3; "d" "d" "j" "r" 3; "e" "d" "p" 4;
"a" "b" 4; "b" "o" 3; "c" "n" 3; "d" "d" "j" "r" 3; "e" "d" "p" 4;
"a" "b" 4; "b" "o" 3; "c" "n" 3; "d" "d" "j" "r" 3; "e" "d" "p" 4;
"a" "b" 4; "b" "o" 3; "c" "n" 3; "d" "d" "j" "r" 3; "e" "d" "p" 4;
"a" "b" 4; "b" "o" 3; "c" "n" 3; "d" "d" "j" "r" 3; "e" "d" "p" 4;
"a" "b" 4; "b" "o" 3; "c" "n" 3; "d" "d" "j" "r" 3; "e" "d" "p" 4;
"a" "b" 4; "b" "o" 3; "c" "n" 3; "d" "r" 4; "e" "p" 5;
"a" "b" 4; "b" "o" 3; "c" "n" 3; "d" "r" 4; "e" "p" 5;
"a" "b" 4; "b" "o" 3; "c" "n" 3; "d" "r" 4; "e" "p" 5;
"a" "b" 4; "b" "o" 3; "c" "n" 3; "d" "r" 4; "e" "p" 5;
"a" "b" 4; "b" "o" 3; "c" "n" 3; "d" "r" 4; "e" "p" 5;
"a" "b" 4; "b" "o" 3; "c" "n" 3; "d" "r" 4; "e" "p" 5;
"a" "b" 4; "b" "o" 3; "c" "n" 3; "d" "r" 4; "e" "p" 5;
"a" "b" 4; "b" "o" 3; "c" "n" 3; "d" "r" 4; "e" "p" 5;
"a" "b" 4; "b" "o" 3; "c" "n" 3; "d" "r" 4; "e" "p" 5;
"a" "b" 4; "b" "o" 3; "c" "n" 3; "d" "r" 4; "e" "p" 5;
"a" "b" 4; "b" "o" 3; "c" "n" 3; "d" "r" 4; "e" "p" 5;
"a" "b" 4; "b" "o" 3; "c" "n" 3; "d" "r" 4; "e" "p" 5;
"a" "b" 4; "b" "o" 3; "c" "n" 3; "d" "j" "r" 4; "e" "p" 5;
"a" "b" 4; "b" "o" 3; "c" "n" 3; "d" "j" "r" 4; "e" "p" 5;
"a" "b" 4; "b" "o" 3; "c" "n" 3; "d" "r" 4; "e" "p" 5;
"a" "b" 4; "b" "o" 3; "c" "n" 3; "d" "d" "r" 4; "e" "p" 5;
"a" "b" 4; "b" "o" 3; "c" "n" 3; "d" "d" "r" 4; "e" "p" 5;
"a" "b" 4; "b" "o" 3; "c" "n" 3; "d" "d" "r" 4; "e" "p" 5;
"a" "b" 4; "b" "o" 3; "c" "n" 3; "d" "d" "r" 4; "e" "p" 5;
"a" "b" 4; "b" "o" 3; "c" "n" 3; "d" "d" "r" 4; "e" "p" 5;
"a" "b" 4; "b" "b" "o" 3; "c" "n" 3; "d" "d" "r" 4; "e" "p" 5;
"a" "b" 4; "b" "b" "o" 3; "c" "n" 3; "d" "d" "r" 4; "e" "p" 5;
"a" "b" 4; "b" "b" "o" 3; "c" "n" 3; "d" "d" "r" 4; "e" "p" 5;
"a" "b" 4; "b" "b" "o" 3; "c" "n" 3; "d" "d" "r" 4; "e" "p" 5;
"a" "b" 4; "b" "b" "o" 3; "c" "n" 3; "d" "d" "r" 4; "e" "p" 5;
"a" "b" 4; "b" "b" "o" 3; "c" "n" 3; "d" "d" "r" 4; "e" "p" 5;
"a" "b" 4; "b" "b" "o" 3; "c" "n" 3; "d" "d" "r" 4; "e" "p" 5;
"a" "b" 4; "b" "b" "o" 3; "c" "n" 3; "d" "d" "r" 4; "e" "p" 5;
"a" "b" 4; "b" "b" "o" 3; "c" "n" 3; "d" "d" "r" 4; "e" "p" 5;
"a" "b" 4; "b" "b" "o" 3; "c" "n" 3; "d" "d" "r" 4; "e" "p" 5;
"a" "b" 4; "b" "b" "o" 3; "c" "h" "n" 3; "d" "d" "r" 4; "e" "p" 5;
"a" "b" 5; "b" "b" "o" 3; "c" "h" "n" 3; "d" "d" "r" 4; "e" "p" 5;
"a" "b" 5; "b" "b" "o" 3; "c" "h" "n" 3; "d" "d" "r" 4; "e" "p" 5;
"a" "b" 5; "b" "b" "o" 3; "c" "h" "n" 3; "d" "d" "r" 4; "e" "p" 5;
"a" "b" 5; "b" "b" "o" 3; "c" "h" "n" 3; "d" "d" "r" 4; "e" "p" 5;
"a" "b" 5; "b" "b" "o" "q" 3; "c" "h" "n" 3; "d" "d" "r" 4; "e" "p" 5;
"a" "b" 5; "b" "b" "o" "q" 3; "c" "h" "n" 3; "d" "d" 5; "e" "p" 5;
"a" "b" 5; "b" "b" "o" "q" 3; "c" "h" "n" 3; "d" "d" 5; "e" "p" 5;
"a" "b" 5; "b" "b" "o" "q" 3; "c" "h" "n" 3; "d" "d" 5; "e" "p" 5;
"a" "b" 5; "b" "b" "o" "q" 3; "c" "h" "n" 3; "d" "d" 5; "e" "p" 5;
"a" "b" 5; "b" "b" "o" "q" 3; "c" "h" "n" "z" 3; "d" "d" 5; "e" "p" 5;
"a" "b" 5; "b" "b" "o" "q" 3; "c" "h" "n" "z" 3; "d" "d" 5; "e" "p" 5;
"a" "b" 5; "b" "b" "o" "q" 3; "c" "h" "n" "z" 3; "d" "d" 5; "e" "p" 5;
"a" "b" 5; "b" "b" "o" "q" 3; "c" "h" "n" "z" 3; "d" "d" 5; "e" "p" 5;
"a" "b" 5; "b" "b" "o" "q" 3; "c" "h" "n" "z" 3; "d" "d" 5; "e" "p" 5;
"a" "b" 5; "b" "b" "o" "q" 3; "c" "h" "n" "z" 3; "d" "d" 5; "e" "p" 5;
"a" "b" 5; "b" "b" "o" "q" 3; "c" "h" "n" "z" 3; "d" "d" 5; "e" "p" 5;
"a" "b" 5; "b" "b" "o" "q" 3; "c" "h" "n" "z" 3; "d" "d" 5; "e" "p" 5;
"a" "b" 5; "b" "b" "e" "o" 3; "c" "h" "n" "z" 3; "d" "d" 5; "e" "p" 5;
"a" "b" 5; "b" "b" "e" "f" "o" 3; "c" "h" "n" "z" 3; "d" "d" 5; "e" "p" 5;
"a" "b" 5; "b" "b" "e" "f" "o" 3; "c" "h" "n" "z" 3; "d" "d" 5; "e" "p" 5;
"a" "b" 5; "b" "b" "e" "f" "h" "o" 3; "c" "h" "n" "z" 3; "d" "d" 5; "e" "p" 5;
"a" "b" 5; "b" "b" "e" "f" "h" "o" 3; "c" "h" "n" "z" 3; "d" "d" 5; "e" "p" 5;
"a" "b" 5; "b" "b" "e" "f" "h" "o" 3; "c" "h" "n" "z" 3; "d" "d" 5; "e" "d" "p" 5;
