none
none
none
none
none
none
none
none
none
none
"a" "l" 1;
"a" "l" 1;
"a" "l" 1;
"a" "l" 1;
"a" "l" 1;
"a" "l" 1;
"a" "l" 1;
"a" "l" 1;
"a" "l" 1;
"a" "l" 1;
"a" "l" "t" 1;
"a" "l" "t" 1;
"a" "l" "t" 1; "b" "x" 1;
"a" "l" "t" 1; "b" "x" 1;
"a" "l" "t" 1; "b" "x" 1;
"a" "l" "t" 1; "b" "x" 1; "c" "g" 1;
"a" "l" "t" 1; "b" "x" 1; "c" "g" 1;
"a" "l" "t" 1; "b" "x" 1; "c" "g" 1;
"a" "l" "t" 1; "b" "x" 1; "c" "g" 1;
"a" "l" "t" 1; "b" "x" 1; "c" "g" "u" 1;
"a" "l" "t" 1; "b" "x" 1; "c" "g" "u" 1;
"a" "l" "t" 1; "b" "x" 1; "c" "g" "u" 1;
"a" "e" "l" "t" 1; "b" "x" 1; "c" "g" "o" "u" 1;
"a" "e" "l" "t" 1; "b" "i" "x" "z" 1; "c" "g" "o" "u" 1; "d" "t" 1;
"a" "e" "l" "t" 1; "b" "i" "x" "z" 1; "c" "g" "o" "u" 1; "d" "t" 1;
"a" "e" "l" "t" 1; "b" "i" "x" "z" 1; "c" "g" "o" "u" 1; "d" "t" 1;
"a" "e" "l" "t" 1; "b" "i" "x" "z" 1; "c" "g" "o" "u" 1; "d" "t" 1;
"a" "e" "l" "t" 1; "b" "i" "x" "z" 1; "c" "g" "o" "u" 1; "d" "t" 1;
"a" "e" "l" "t" 1; "b" "i" "x" "z" 1; "c" "g" "o" "u" 1; "d" "t" 1;
"a" "e" "l" "t" 1; "b" "i" "x" "z" 1; "c" "g" "o" "u" 1; "d" "e" "t" 1;
"a" "e" "l" "t" 1; "b" "i" "x" "z" 1; "c" "g" "o" "u" 1; "d" "e" "t" 1;
"a" "e" "l" "t" 1; "b" "i" "x" "z" 1; "c" "g" "o" "u" 1; "d" "e" "p" "t" 1;
"a" "w" 2; "b" "b" "i" "x" "z" 1; "c" "e" "g" "j" "o" "s" "u" "y" "z" 1; "d" "e" 2; "e" "a" "c" "e" "h" "m" "r" "u" "z" 1;
"a" "w" 2; "b" "b" "i" "x" "z" 1; "c" "e" "g" "j" "o" "s" "u" "y" "z" 1; "d" "e" 2; "e" "a" "c" "e" "h" "m" "r" "u" "z" 1;
"a" "w" 2; "b" "b" "i" "x" "z" 1; "c" "e" "g" "j" "o" "s" "u" "y" "z" 1; "d" "e" 2; "e" "a" "c" "e" "h" "m" "r" "u" "z" 1;
"a" "w" 2; "b" "a" "b" "i" "x" "z" 1; "c" "e" "g" "j" "o" "s" "u" "y" "z" 1; "d" "e" 2; "e" "a" "c" "e" "h" "m" "r" "u" "z" 1;
"a" "w" 2; "b" "a" "b" "i" "x" "z" 1; "c" "c" "e" "g" "j" "o" "s" "u" "y" "z" 1; "d" "e" 2; "e" "a" "c" "e" "h" "m" "r" "u" "z" 1;
"a" "w" 2; "b" "a" "b" "i" "x" "z" 1; "c" "c" "e" "g" "j" "o" "s" "u" "y" "z" 1; "d" "e" 2; "e" "a" "c" "e" "h" "m" "r" "u" "z" 1;
"a" "w" 2; "b" "a" "b" "i" "x" "z" 1; "c" "c" "e" "g" "j" "o" "s" "u" "y" "z" 1; "d" "e" 2; "e" "a" "c" "e" "h" "m" "r" "u" "z" 1;
"a" "w" 2; "b" "a" "b" "i" "x" "z" 1; "c" "c" "e" "g" "j" "o" "s" "u" "y" "z" 1; "d" "e" 2; "e" "a" "c" "e" "h" "m" "r" "u" "z" 1;
"a" "w" 2; "b" "a" "b" "i" "x" "z" 1; "c" "e" 2; "d" "e" 2; "e" "a" "c" "e" "h" "m" "r" "u" "z" 1;
"a" "w" 2; "b" "a" "b" "i" "x" "z" 1; "c" "e" 2; "d" "e" 2; "e" "a" "c" "e" "h" "m" "r" "u" "z" 1;
"a" "w" 2; "b" "a" "b" "i" "x" "z" 1; "c" "e" 3; "d" "e" 2; "e" "a" "c" "e" "h" "m" "r" "u" "z" 1;
"a" "w" 2; "b" "a" "b" "i" "x" "z" 1; "c" "e" 3; "d" "e" 2; "e" "a" "c" "e" "h" "m" "r" "u" "z" 1;
"a" "w" 2; "b" "a" "b" "i" "x" "z" 1; "c" "e" 3; "d" "e" 2; "e" "a" "c" "e" "h" "m" "r" "u" "y" "z" 1;
"a" "w" 2; "b" "a" "b" "f" "i" "x" "z" 1; "c" "e" 4; "d" "e" 2; "e" "a" "c" "e" "h" "m" "r" "u" "y" "z" 1;
"a" "w" 2; "b" "a" "b" "f" "i" "x" "z" 1; "c" "e" 4; "d" "e" 2; "e" "a" "c" "e" "h" "m" "r" "u" "y" "z" 1;
"a" "w" 2; "b" "a" "b" "f" "i" "x" "z" 1; "c" "e" 4; "d" "e" 2; "e" "a" "c" "e" "h" "m" "r" "u" "y" "z" 1;
"a" "t" "w" 2; "b" "a" "b" "f" "i" "x" "z" 1; "c" "e" 4; "d" "e" 2; "e" "a" "c" "e" "h" "m" "r" "u" "y" "z" 1;
"a" "t" "w" 2; "b" "a" "b" "f" "i" "x" "z" 1; "c" "e" 4; "d" "e" 2; "e" "a" "c" "e" "h" "m" "r" "u" "y" "z" 1;
"a" "t" "w" 2; "b" "a" "b" "f" "i" "u" "x" "z" 1; "c" "e" 4; "d" "e" 2; "e" "a" "c" "e" "h" "m" "r" "u" "y" "z" 1;
"a" "t" "w" 2; "b" "a" "b" "f" "i" "u" "x" "z" 1; "c" "e" 4; "d" "e" 2; "e" "a" "c" "e" "h" "m" "r" "u" "y" "z" 1;
"a" "t" "w" 2; "b" "a" "b" "f" "i" "u" "x" "z" 1; "c" "e" 4; "d" "e" 2; "e" "a" "c" "e" "h" "m" "r" "u" "y" "z" 1;
"a" "t" "w" 2; "b" "a" "b" "f" "i" "u" "x" "z" 1; "c" "e" 4; "d" "e" 2; "e" "m" 2;
"a" "t" "w" 2; "b" "a" "b" "f" "i" "u" "x" "z" 1; "c" "e" 4; "d" "e" 2; "e" "m" 2;
"a" "t" "w" 2; "b" "a" "b" "f" "i" "u" "x" "z" 1; "c" "e" 4; "d" "e" 2; "e" "m" 2;
"a" "t" "w" 2; "b" "a" "b" "f" "i" "u" "x" "z" 1; "c" "e" 4; "d" "e" 2; "e" "m" 2;
"a" "t" "w" 2; "b" "a" "b" "f" "i" "u" "x" "z" 1; "c" "e" 4; "d" "e" 2; "e" "m" 2;
"a" "t" "w" 2; "b" "a" "b" "f" "i" "u" "x" "z" 1; "c" "e" 4; "d" "e" 2; "e" "m" 2;
"a" "t" "w" 2; "b" "a" "b" "f" "i" "u" "x" "z" 1; "c" "e" 4; "d" "e" "p" 2; "e" "m" 2;
"a" "t" "w" 2; "b" "a" "b" "f" "i" "u" "x" "z" 1; "c" "e" 4; "d" "e" "k" "p" 2; "e" "m" 2;
"a" "t" "w" 2; "b" "a" "b" "f" "i" "u" "x" "z" 1; "c" "e" 4; "d" "e" "k" "p" 2; "e" "m" 2;
"a" "t" "w" 2; "b" "u" "z" 2; "c" "e" 4; "d" "e" "k" "p" 2; "e" "m" 2;
"a" "t" "w" 2; "b" "u" "z" 2; "c" "e" 4; "d" "e" "k" "p" 2; "e" "m" 2;
"a" "t" "w" 2; "b" "u" "z" 2; "c" "e" 4; "d" "e" "k" "p" 2; "e" "m" 2;
"a" "t" "w" 2; "b" "d" "u" "z" 2; "c" "e" 4; "d" "e" "k" "p" 2; "e" "h" "m" 2;
"a" "t" "w" 2; "b" "d" "u" "z" 2; "c" "e" 4; "d" "e" "k" "p" 2; "e" "h" "m" 2;
"a" "t" "w" 2; "b" "d" "u" "z" 2; "c" "e" 4; "d" "k" 3; "e" "h" "m" 2;
"a" "t" "w" 2; "b" "d" "u" "z" 2; "c" "e" 4; "d" "k" 3; "e" "h" "m" 2;
"a" "t" "w" 2; "b" "d" "u" "z" 2; "c" "e" 4; "d" "k" 3; "e" "h" "m" 2;
"a" "t" "w" 2; "b" "d" "u" "z" 2; "c" "e" 4; "d" "k" 3; "e" "h" "m" 2;
"a" "t" "w" 2; "b" "d" "u" "z" 2; "c" "e" 4; "d" "k" 3; "e" "h" "m" 2;
"a" "j" "t" "w" 2; "b" "d" "u" "z" 2; "c" "e" 4; "d" "k" 3; "e" "h" "m" 2;
"a" "j" "t" "w" 2; "b" "d" "u" "z" 2; "c" "e" 4; "d" "k" 3; "e" "h" "m" 2;
"a" "j" "t" "w" 2; "b" "d" "u" "z" 2; "c" "e" 4; "d" "k" 3; "e" "h" "m" 2;
"a" "j" "t" "w" 2; "b" "d" "u" "z" 2; "c" "e" 5; "d" "k" 3; "e" "h" "m" 2;
"a" "j" "t" "w" 2; "b" "d" "u" "z" 2; "c" "e" 5; "d" "k" 3; "e" "h" "m" 2;
"a" "j" "k" "t" "w" 2; "b" "d" "u" "z" 2; "c" "e" 5; "d" "k" 3; "e" "h" "m" 2;
"a" "j" "k" "t" "w" 2; "b" "d" "u" "z" 2; "c" "e" 5; "d" "k" 3; "e" "h" "m" 2;
"a" "j" "k" "t" "w" 2; "b" "d" "u" "z" 2; "c" "e" 5; "d" "k" 3; "e" "h" "m" 2;
"a" "j" "k" "t" "w" 2; "b" "d" "u" "z" 2; "c" "e" 5; "d" "k" 3; "e" "h" "m" 2;
"a" "j" "k" "t" "w" 2; "b" "d" "u" "z" 2; "c" "e" 5; "d" "k" 3; "e" "h" "m" 2;
"a" "j" "k" "t" "w" 2; "b" "d" "u" "z" 2; "c" "e" 5; "d" "k" 3; "e" "h" "m" 2;
"a" "j" "k" "t" "w" 2; "b" "d" "u" "z" 2; "c" "e" 5; "d" "k" 3; "e" "h" "m" 2;
"a" "j" "k" "t" "w" 2; "b" "d" "u" "z" 2; "c" "e" 5; "d" "k" 3; "e" "h" "m" 2;
"a" "j" "k" "t" "w" 2; "b" "d" "u" "z" 2; "c" "e" 5; "d" "k" 3; "e" "h" "m" 2;
"a" "j" "k" "t" "w" 2; "b" "d" "u" "z" 2; "c" "e" 5; "d" "k" 3; "e" "g" "h" "m" 2;
"a" "j" "k" "r" "t" "w" 2; "b" "d" "u" "z" 2; "c" "e" 5; "d" "k" 3; "e" "g" "h" "m" 2;
"a" "j" "k" "r" "t" "w" 2; "b" "d" "u" "v" "z" 2; "c" "e" 5; "d" "k" 3; "e" "g" "h" "m" 2;
"a" "j" "k" "m" "r" "t" "w" 2; "b" "d" "u" "v" "z" 2; "c" "e" 5; "d" "k" 3; "e" "g" "h" "m" 2;
"a" "j" "k" "m" "r" "t" "w" 2; "b" "d" "u" "v" "z" 2; "c" "e" 5; "d" "k" 3; "e" "g" "h" "m" 2;
"a" "j" "k" "m" "r" "t" "w" 2; "b" "d" "u" "v" "z" 2; "c" "e" 5; "d" "k" 3; "e" "g" "h" "m" 2;
"a" "j" "k" "m" "r" "t" "w" 2; "b" "d" "u" "v" "z" 2; "c" "e" 5; "d" "k" 3; "e" "g" "h" "m" 2;
"a" "w" 3; "b" "d" "u" "v" "z" 2; "c" "e" 5; "d" "k" 3; "e" "g" "h" "m" "s" 2;
"a" "w" 3; "b" "d" "u" "v" "z" 2; "c" "e" 5; "d" "k" 3; "e" "g" "h" "m" "s" 2;
"a" "m" "w" 3; "b" "d" "u" "v" "z" 2; "c" "e" 5; "d" "k" 3; "e" "g" "h" "m" "s" 2;
"a" "m" "w" 3; "b" "d" "u" "v" "z" 2; "c" "e" 5; "d" "k" 3; "e" "g" "h" "m" "s" 2;
"a" "m" "w" 3; "b" "d" "u" "v" "x" "z" 2; "c" "e" 5; "d" "k" 3; "e" "g" "h" "m" "s" 2;
"a" "m" "w" 3; "b" "d" "u" "v" "x" "z" 2; "c" "e" 5; "d" "k" 3; "e" "g" "h" "m" "s" 2;
"a" "m" "w" 3; "b" "d" "u" "v" "x" "z" 2; "c" "e" 5; "d" "k" 3; "e" "g" "h" "m" "s" 2;
"a" "m" "w" 3; "b" "d" "u" "v" "x" "z" 2; "c" "e" 5; "d" "k" 3; "e" "g" "h" "m" "s" 2;
"a" "m" "w" 3; "b" "b" "d" "u" "v" "x" "z" 2; "c" "e" 5; "d" "k" 3; "e" "s" 3;
"a" "m" "w" 3; "b" "b" "d" "u" "v" "x" "z" 2; "c" "e" 5; "d" "k" 3; "e" "s" 3;
"a" "m" "w" 3; "b" "b" "d" "u" "v" "x" "z" 2; "c" "e" 5; "d" "k" 3; "e" "s" 3;
"a" "w" 4; "b" "b" "d" "u" "v" "x" "z" 2; "c" "e" 5; "d" "k" 3; "e" "s" 3;
"a" "w" 4; "b" "b" "d" "u" "v" "x" "z" 2; "c" "e" 5; "d" "k" 3; "e" "s" 3;
"a" "w" 4; "b" "b" "d" "u" "v" "x" "z" 2; "c" "e" 5; "d" "k" 3; "e" "s" 3;
"a" "w" 4; "b" "b" "d" "u" "v" "x" "z" 2; "c" "e" 5; "d" "k" 3; "e" "s" 3;
"a" "w" 4; "b" "b" "d" "u" "v" "x" "z" 2; "c" "e" 5; "d" "k" 3; "e" "s" 3;
"a" "w" 4; "b" "b" "d" "u" "v" "x" "z" 2; "c" "e" 5; "d" "k" "n" "w" 3; "e" "e" "s" 3;
"a" "w" 4; "b" "b" "d" "u" "v" "x" "z" 2; "c" "e" 5; "d" "k" "n" "w" 3; "e" "e" "s" 3;
"a" "w" 4; "b" "u" 3; "c" "e" 5; "d" "k" "n" "w" 3; "e" "e" "s" 3;
"a" "w" 4; "b" "u" 3; "c" "e" 5; "d" "k" "n" "w" 3; "e" "e" "s" 3;
"a" "w" 4; "b" "u" 3; "c" "e" 5; "d" "k" "n" "w" 3; "e" "e" "s" 3;
"a" "w" 4; "b" "u" "z" 3; "c" "e" 5; "d" "k" "n" "w" 3; "e" "e" "s" 3;
"a" "w" 4; "b" "u" "z" 3; "c" "e" 5; "d" "k" "n" "w" 3; "e" "e" "s" 3;
"a" "w" 4; "b" "u" "z" 3; "c" "e" 5; "d" "k" "n" "w" 3; "e" "e" "s" 3;
"a" "w" 4; "b" "z" 4; "c" "e" 5; "d" "k" "n" "w" 3; "e" "e" "h" "s" 3;
"a" "w" 4; "b" "z" 4; "c" "e" 5; "d" "k" "n" "w" 3; "e" "e" "h" "s" 3;
"a" "w" 4; "b" "z" 4; "c" "e" 5; "d" "k" "n" "w" 3; "e" "e" "h" "s" 3;
"a" "w" 4; "b" "z" 4; "c" "e" 5; "d" "e" "k" "n" "w" 3; "e" "e" "h" "s" 3;
"a" "w" 4; "b" "z" 4; "c" "e" 5; "d" "e" "k" "n" "w" 3; "e" "e" "h" "s" 3;
"a" "w" 4; "b" "z" 4; "c" "e" 5; "d" "e" "k" "n" "w" 3; "e" "e" "h" "s" 3;
"a" "w" 4; "b" "z" 4; "c" "e" 5; "d" "e" "k" "n" "w" 3; "e" "e" "h" "s" 3;
"a" "w" 4; "b" "z" 4; "c" "e" 5; "d" "e" "k" "n" "w" 3; "e" "e" "h" "s" 3;
"a" "w" 4; "b" "z" 4; "c" "e" 5; "d" "e" "k" "n" "w" 3; "e" "e" "h" "s" 3;
"a" "w" 4; "b" "z" 4; "c" "e" 5; "d" "e" "k" "n" "w" 3; "e" "e" "h" "m" "s" 3;
"a" "w" 4; "b" "z" 4; "c" "e" 5; "d" "e" "k" "n" "w" 3; "e" "e" "h" "m" "s" 3;
"a" "w" 4; "b" "z" 4; "c" "e" 5; "d" "e" "k" "n" "w" 3; "e" "e" "h" "m" "s" 3;
"a" "w" 4; "b" "z" 4; "c" "e" 5; "d" "e" "k" "n" "w" 3; "e" "e" "h" "m" "s" 3;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 5; "d" "e" "k" "n" "w" 3; "e" "e" "h" "m" "s" 3;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 5; "d" "e" "k" "n" "w" 3; "e" "e" "h" "m" "s" 3;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 5; "d" "e" "k" "n" "w" 3; "e" "e" "h" "j" "m" "s" "z" 3;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 5; "d" "e" "k" "n" "w" 3; "e" "e" "h" "j" "m" "s" "z" 3;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 5; "d" "d" "e" "k" "n" "w" 3; "e" "e" "h" "j" "m" "s" "z" 3;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 5; "d" "d" "e" "k" "n" "w" 3; "e" "e" "h" "j" "m" "s" "z" 3;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 5; "d" "d" "e" "k" "n" "w" 3; "e" "e" "h" "j" "m" "s" "z" 3;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 5; "d" "k" 4; "e" "e" "h" "j" "m" "s" "z" 3;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 5; "d" "k" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 5; "d" "k" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 5; "d" "k" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 5; "d" "k" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 5; "d" "k" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 5; "d" "k" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 5; "d" "k" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 5; "d" "k" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 5; "d" "k" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 5; "d" "k" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 5; "d" "k" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 5; "d" "k" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 5; "d" "k" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 5; "d" "k" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 6; "d" "k" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 6; "d" "k" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 6; "d" "k" "w" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 6; "d" "d" "k" "w" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 6; "d" "d" "k" "w" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 6; "d" "d" "k" "n" "w" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 6; "d" "d" "k" "n" "w" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 6; "d" "d" "k" "n" "w" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 6; "d" "d" "k" "n" "w" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 6; "d" "d" "k" "n" "w" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 6; "d" "d" "k" "n" "w" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 6; "d" "d" "k" "n" "w" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 6; "d" "k" "n" "w" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 6; "d" "k" "n" "w" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 6; "d" "k" "n" "w" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 6; "d" "k" "n" "w" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 6; "d" "k" "n" "w" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 6; "d" "k" "n" "w" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 6; "d" "k" "n" "w" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 6; "d" "k" "n" "w" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 6; "d" "k" "n" "w" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 6; "d" "k" "n" "w" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 6; "d" "k" "n" "w" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 6; "d" "k" "n" "w" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 6; "d" "k" "n" "w" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 6; "d" "k" "n" "w" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 6; "d" "k" "n" "w" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 6; "d" "k" "n" "w" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 6; "d" "k" "n" "w" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 6; "d" "k" "n" "w" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 6; "d" "k" "n" "w" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 6; "d" "k" "n" "w" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 6; "d" "k" "n" "w" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 6; "d" "k" "n" "w" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 6; "d" "k" "n" "w" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 6; "d" "k" "n" "w" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 6; "d" "k" "n" "w" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 6; "d" "k" "n" "w" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 6; "d" "k" "n" "w" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 6; "d" "k" "n" "w" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 6; "d" "k" "n" "w" 4; "e" "z" 4;
