none
none
none
none
none
none
none
none
"e" "r" 1;
"e" "p" "r" 1;
"e" "p" "r" 1;
"e" "p" "r" 1;
"e" "p" "r" 1;
"e" "p" "r" 1;
"e" "p" "r" 1;
"b" "r" 1; "e" "p" "r" 1;
"b" "r" 1; "e" "p" "r" 1;
"b" "r" 1; "e" "p" "r" 1;
"b" "r" 1; "e" "p" "r" 1;
"b" "r" 1; "e" "p" "r" 1;
"b" "r" 1; "e" "p" "r" 1;
"a" "d" 1; "b" "r" 1; "e" "p" "r" 1;
"a" "d" 1; "b" "r" 1; "e" "p" "r" 1;
"a" "d" 1; "b" "r" 1; "e" "p" "r" 1;
"a" "d" 1; "b" "r" 1; "c" "i" 1; "e" "e" "p" "r" 1;
"a" "d" 1; "b" "r" 1; "c" "i" "j" 1; "e" "e" 2;
"a" "d" 1; "b" "r" 1; "c" "i" "j" 1; "e" "e" 2;
"a" "d" 1; "b" "r" 1; "c" "i" "j" 1; "e" "e" 2;
"a" "d" 1; "b" "g" "q" "r" 1; "c" "i" "j" 1; "e" "e" 2;
"a" "d" 1; "b" "g" "q" "r" 1; "c" "i" "j" 1; "e" "e" 2;
"a" "d" 1; "b" "g" "q" "r" 1; "c" "i" "j" 1; "e" "e" 2;
"a" "d" 1; "b" "g" "q" "r" 1; "c" "i" "j" 1; "e" "e" 2;
"a" "d" 1; "b" "g" "q" "r" 1; "c" "i" "j" 1; "e" "e" 2;
"a" "g" "h" 2; "b" "q" 2; "c" "i" 2; "d" "b" 2; "e" "e" 2;
"a" "g" "h" 2; "b" "q" 2; "c" "i" 2; "d" "b" 2; "e" "e" 2;
"a" "g" "h" 2; "b" "q" 2; "c" "i" 2; "d" "b" 3; "e" "e" 2;
"a" "g" "h" "i" 2; "b" "q" 2; "c" "i" 2; "d" "b" 3; "e" "e" "s" 2;
"a" "g" "h" "i" 2; "b" "q" 2; "c" "a" "i" 2; "d" "b" 3; "e" "e" "s" 2;
"a" "g" "h" "i" 2; "b" "o" "q" 2; "c" "a" "i" 2; "d" "b" 3; "e" "e" "s" 2;
"a" "g" "h" "i" 2; "b" "o" "q" 2; "c" "a" "i" 2; "d" "b" 3; "e" "e" "s" 2;
"a" "g" "h" "i" 2; "b" "o" "q" 2; "c" "a" "i" 2; "d" "b" 3; "e" "e" "s" 2;
"a" "g" "h" "i" 2; "b" "o" "q" 2; "c" "a" "i" 2; "d" "b" 3; "e" "e" "s" 2;
"a" "g" "h" "i" 2; "b" "o" "q" 2; "c" "a" "i" 2; "d" "b" 3; "e" "e" "s" 2;
"a" "g" "h" "i" 2; "b" "o" "q" 2; "c" "a" "i" 2; "d" "b" 3; "e" "e" "s" 2;
"a" "g" "h" "i" 2; "b" "o" "q" 2; "c" "a" "i" 2; "d" "b" 3; "e" "e" "s" 2;
"a" "g" "h" "i" 2; "b" "o" "q" 2; "c" "a" "i" 2; "d" "b" 3; "e" "e" "s" 2;
"a" "g" "h" "i" 2; "b" "o" "q" 2; "c" "a" "i" "m" 2; "d" "b" 3; "e" "e" "s" 2;
"a" "g" "h" "i" 2; "b" "o" "q" 2; "c" "a" "i" "m" 2; "d" "b" 4; "e" "e" "s" 2;
"a" "g" "h" "i" 2; "b" "o" "q" 2; "c" "a" "i" "m" 2; "d" "b" 4; "e" "e" "s" 2;
"a" "g" "h" "i" 2; "b" "o" "q" 2; "c" "a" "i" "m" 2; "d" "b" 4; "e" "e" "s" 2;
"a" "g" "h" "i" 2; "b" "i" "o" "q" 2; "c" "a" "i" "m" "r" 2; "d" "b" 4; "e" "e" "s" 2;
"a" "g" "h" "i" 2; "b" "i" "o" "q" 2; "c" "a" "i" "m" "r" 2; "d" "b" 4; "e" "e" "r" "s" 2;
"a" "g" "h" "i" 2; "b" "i" "o" "q" 2; "c" "a" "i" "m" "r" 2; "d" "b" 4; "e" "e" "r" "s" 2;
"a" "g" "h" "i" 2; "b" "i" "o" "q" 2; "c" "a" "i" "m" "r" 2; "d" "b" 4; "e" "e" "r" "s" 2;
"a" "g" "h" "i" 2; "b" "i" "o" "q" 2; "c" "a" "i" "m" "r" 2; "d" "b" 4; "e" "e" "r" "s" 2;
"a" "g" "h" "i" 2; "b" "i" "o" "q" 2; "c" "a" "i" "m" "r" 2; "d" "b" 4; "e" "e" "r" "s" 2;
"a" "g" "h" "i" 2; "b" "i" "o" "q" 2; "c" "a" "i" "m" "r" 2; "d" "b" 4; "e" "e" "r" "s" 2;
"a" "g" "h" "i" 2; "b" "i" "o" "q" 2; "c" "a" "i" "m" "r" 2; "d" "b" 4; "e" "e" "q" "r" "s" 2;
"a" "g" "h" "i" 2; "b" "i" "o" "q" 2; "c" "a" "i" "m" "r" 2; "d" "b" 4; "e" "e" "q" "r" "s" 2;
"a" "g" "h" "i" 2; "b" "i" "o" "q" 2; "c" "a" "i" "m" "r" 2; "d" "b" 4; "e" "e" "q" "r" "s" 2;
"a" "g" "h" "i" "z" 2; "b" "i" "o" "q" 2; "c" "a" "i" "m" "r" 2; "d" "b" 4; "e" "e" "q" "r" "s" 2;
"a" "g" "h" "i" "z" 2; "b" "i" "o" "q" 2; "c" "a" "i" "m" "r" 2; "d" "b" 4; "e" "e" "q" "r" "s" 2;
"a" "g" "h" "i" "z" 2; "b" "i" "o" "q" 2; "c" "a" "i" "m" "r" 2; "d" "b" 4; "e" "e" "q" "r" "s" 2;
"a" "g" "h" "i" "z" 2; "b" "i" "o" "q" 2; "c" "a" "i" "m" "r" 2; "d" "b" 4; "e" "e" "q" "r" "s" 2;
"a" "g" 3; "b" "i" "o" "q" 2; "c" "a" "i" "m" "r" 2; "d" "b" 4; "e" "e" "q" "r" "s" 2;
"a" "g" 3; "b" "i" "o" "q" 2; "c" "a" "i" "m" "r" 2; "d" "b" 4; "e" "q" 3;
"a" "g" 3; "b" "i" "o" "q" 2; "c" "a" "i" "m" "r" 2; "d" "b" 4; "e" "q" 3;
"a" "g" 3; "b" "i" "o" "q" 2; "c" "a" "i" "m" "r" 2; "d" "b" 4; "e" "q" 3;
"a" "g" 3; "b" "i" "o" "q" 2; "c" "a" "i" "m" "r" 2; "d" "b" 4; "e" "q" 3;
"a" "g" 3; "b" "i" "o" "q" 2; "c" "a" "i" "m" "r" 2; "d" "b" 4; "e" "q" 3;
"a" "g" 3; "b" "i" "o" "q" 2; "c" "a" "i" "m" "r" 2; "d" "b" 4; "e" "q" 3;
"a" "g" 3; "b" "a" "i" "o" "q" 2; "c" "a" "i" "m" "r" 2; "d" "b" 4; "e" "q" 3;
"a" "g" 3; "b" "a" "i" "o" "q" 2; "c" "a" "i" "m" "r" 2; "d" "b" 4; "e" "q" 3;
"a" "g" 3; "b" "a" "i" "o" "q" "r" 2; "c" "a" "i" "m" "r" 2; "d" "b" 4; "e" "q" 3;
"a" "g" 3; "b" "a" "i" "o" "q" "r" 2; "c" "a" "i" "m" "r" 2; "d" "b" 4; "e" "q" "v" 3;
"a" "g" 3; "b" "a" "i" "o" "q" "r" 2; "c" "a" "i" "m" "r" 2; "d" "b" 4; "e" "q" "v" 3;
"a" "g" 3; "b" "a" "i" "o" "q" "r" 2; "c" "a" "i" "m" "r" 2; "d" "b" 4; "e" "q" "v" 3;
"a" "g" 3; "b" "a" "i" "o" "q" "r" 2; "c" "a" "i" "m" "r" 2; "d" "b" 4; "e" "q" "v" 3;
"a" "g" 3; "b" "a" "i" "o" "q" "r" 2; "c" "a" 3; "d" "b" 4; "e" "q" "v" 3;
"a" "g" 3; "b" "a" "i" "o" "q" "r" 2; "c" "a" 3; "d" "b" 4; "e" "q" "v" 3;
"a" "g" 3; "b" "a" "i" "o" "q" "r" 2; "c" "a" 3; "d" "b" 4; "e" "q" "v" 3;
"a" "g" 3; "b" "a" "i" "o" "q" "r" 2; "c" "a" 3; "d" "b" 4; "e" "q" "v" 3;
"a" "g" 3; "b" "a" "i" "o" "q" "r" 2; "c" "a" 3; "d" "b" 4; "e" "q" "v" 3;
"a" "g" 3; "b" "a" "i" "o" "q" "r" 2; "c" "a" 3; "d" "b" 4; "e" "q" "v" 3;
"a" "g" 3; "b" "a" "i" "o" "q" "r" 2; "c" "a" 3; "d" "b" 4; "e" "q" "v" 3;
"a" "g" 3; "b" "r" 3; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" 3; "b" "r" 3; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" 3; "b" "r" 3; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" 3; "b" "r" 3; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" 3; "b" "r" 3; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" 3; "b" "r" 3; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" 3; "b" "r" 3; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" 3; "b" "r" 3; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" 3; "b" "r" 3; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" 3; "b" "r" 3; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" 3; "b" "r" 3; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" 3; "b" "r" 3; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" 3; "b" "r" 3; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" 3; "b" "r" 3; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" 3; "b" "r" 3; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" 3; "b" "r" 3; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" 3; "b" "o" "r" 3; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" 3; "b" "o" "r" 3; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" 3; "b" "o" "r" 3; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" 3; "b" "o" "r" 3; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" 3; "b" "o" "r" 3; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" 3; "b" "o" "r" 3; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" "h" 3; "b" "o" "r" 3; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" "h" "i" 3; "b" "o" "r" 3; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" "h" "i" 3; "b" "o" "r" 3; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" "h" "i" 3; "b" "o" "r" 3; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" "h" "i" 3; "b" "o" "r" 3; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" "h" "i" 3; "b" "o" "r" 3; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" "h" "i" 3; "b" "o" "r" 3; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" "h" "i" 3; "b" "o" "r" 3; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" "h" "i" 3; "b" "r" 4; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" "h" "i" 3; "b" "r" 4; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" "h" "i" 3; "b" "r" 4; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" "h" "i" 3; "b" "r" 4; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" "h" "i" 3; "b" "r" 4; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" "h" "i" 3; "b" "r" 4; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" "h" "i" 3; "b" "r" 4; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" "h" "i" 3; "b" "r" 4; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" "h" "i" 3; "b" "r" 4; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" "h" "i" 3; "b" "r" 4; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" "h" "i" 3; "b" "r" 4; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" "h" "i" 3; "b" "r" 4; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" "h" "i" 3; "b" "r" 4; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" "h" "i" 3; "b" "r" 4; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" "h" "i" 3; "b" "r" 4; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" "h" "i" 3; "b" "r" 4; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" "h" "i" 3; "b" "r" 4; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" "h" "i" 3; "b" "r" 4; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" "h" "i" 3; "b" "r" 4; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" "h" "i" 3; "b" "r" 4; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" "h" "i" 3; "b" "r" 4; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" "h" "i" 3; "b" "r" 4; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" "h" "i" 3; "b" "r" 4; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" "h" "i" 3; "b" "r" 4; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" "h" "i" 3; "b" "r" 4; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" "h" "i" 3; "b" "r" 4; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" "h" "i" 3; "b" "r" 4; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" "h" "i" 3; "b" "r" 4; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" "h" "i" 3; "b" "r" 4; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" "h" "i" "m" 3; "b" "r" 4; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" "h" "i" "m" 3; "b" "r" 4; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" "h" "i" "m" 3; "b" "r" 4; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" "h" "i" "m" 3; "b" "r" 4; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" "h" "i" "m" 3; "b" "r" 4; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" "h" "i" "m" 3; "b" "r" 4; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" "h" "i" "m" 3; "b" "r" 4; "c" "a" 3; "d" "b" 4; "e" "q" 4;
"a" "g" "h" "i" "m" 3; "b" "r" 4; "c" "a" "i" 3; "d" "b" 4; "e" "q" 4;
"a" "g" "h" "i" "m" 3; "b" "r" 4; "c" "a" "i" 3; "d" "b" 4; "e" "q" 4;
"a" "g" "h" "i" "m" 3; "b" "r" 4; "c" "a" "i" 3; "d" "b" 4; "e" "q" 4;
"a" "d" "g" "h" "i" "m" 3; "b" "r" 4; "c" "a" "i" 3; "d" "b" 4; "e" "q" 4;
"a" "d" "g" "h" "i" "m" 3; "b" "r" 4; "c" "a" "i" "r" 3; "d" "b" 4; "e" "q" 4;
"a" "d" "g" "h" "i" "m" 3; "b" "r" 4; "c" "a" "i" "r" 3; "d" "b" 4; "e" "q" 4;
"a" "d" "g" "h" "i" "m" 3; "b" "r" 4; "c" "a" "i" "r" 3; "d" "b" 4; "e" "q" 4;
"a" "d" "g" "h" "i" "m" 3; "b" "r" 4; "c" "a" "i" "r" 3; "d" "b" 4; "e" "q" 4;
"a" "d" "g" "h" "i" "m" 3; "b" "r" 4; "c" "a" "i" "r" 3; "d" "b" 4; "e" "q" 4;
"a" "d" "g" "h" "i" "m" 3; "b" "r" 4; "c" "a" "i" "r" 3; "d" "b" 4; "e" "q" 4;
"a" "d" "g" "h" "i" "m" 3; "b" "r" 4; "c" "a" "i" "r" 3; "d" "b" 4; "e" "q" 4;
"a" "d" "g" "h" "i" "m" 3; "b" "r" 4; "c" "a" "i" "r" 3; "d" "b" 4; "e" "q" 4;
"a" "d" "g" "h" "i" "m" 3; "b" "r" 4; "c" "a" "i" "r" 3; "d" "b" 4; "e" "q" 4;
"a" "d" "g" "h" "i" "m" 3; "b" "r" 4; "c" "a" "i" "r" 3; "d" "b" 4; "e" "q" 4;
"a" "d" "g" "h" "i" "m" 3; "b" "r" 4; "c" "a" "i" "r" 3; "d" "b" 4; "e" "q" 4;
"a" "d" "g" "h" "i" "m" 3; "b" "r" 4; "c" "a" "i" "r" 3; "d" "b" 4; "e" "q" 4;
"a" "d" "g" "h" "i" "m" 3; "b" "o" "r" 4; "c" "a" "i" "r" 3; "d" "b" 4; "e" "q" 4;
"a" "d" "g" "h" "i" "m" 3; "b" "o" "r" 4; "c" "a" "i" "r" 3; "d" "b" 4; "e" "q" 4;
"a" "d" "g" "h" "i" "m" 3; "b" "o" "r" 4; "c" "a" "i" "r" 3; "d" "b" 4; "e" "q" 4;
"a" "i" 4; "b" "o" "r" 4; "c" "a" "i" "r" 3; "d" "b" 4; "e" "q" 4;
"a" "i" 4; "b" "o" "r" 4; "c" "a" "i" "r" 3; "d" "b" 4; "e" "q" 4;
"a" "g" "i" 4; "b" "o" "r" 4; "c" "a" "i" "r" "t" 3; "d" "b" 4; "e" "q" 4;
"a" "g" "i" 4; "b" "o" "r" 4; "c" "a" "i" "r" "t" 3; "d" "b" 4; "e" "q" 4;
"a" "g" "i" 4; "b" "o" "r" 4; "c" "a" "i" "r" "t" 3; "d" "b" 4; "e" "q" 4;
"a" "g" "i" 4; "b" "o" "r" 4; "c" "a" "i" "r" "t" 3; "d" "b" 4; "e" "q" 4;
"a" "g" "i" 4; "b" "o" "r" 4; "c" "a" "i" "r" "t" 3; "d" "b" 4; "e" "q" 4;
"a" "g" "i" 4; "b" "o" "r" 4; "c" "a" "i" "r" "t" 3; "d" "b" 4; "e" "q" 4;
"a" "g" "i" 4; "b" "o" "r" 4; "c" "a" "i" "r" "t" 3; "d" "b" 4; "e" "q" 4;
"a" "g" "i" 4; "b" "o" "r" 4; "c" "a" "i" "r" "t" 3; "d" "b" "y" 4; "e" "q" 4;
