none
none
none
none
none
none
none
none
none
none
none
none
none
"c" "t" 1; "d" "g" 1;
"c" "t" 1; "d" "g" 1;
"c" "t" 1; "d" "g" 1;
"c" "t" 1; "d" "g" 1;
"c" "t" 1; "d" "g" 1;
"c" "e" "t" 1; "d" "g" 1;
"b" "z" 1; "c" "e" "t" 1; "d" "g" 1;
"b" "z" 1; "c" "e" "t" 1; "d" "g" 1;
"b" "z" 1; "c" "e" "t" 1; "d" "g" 1;
"b" "z" 1; "c" "e" "t" 1; "d" "e" "g" 1;
"b" "z" 1; "c" "e" "t" 1; "d" "e" "g" 1;
"b" "z" 1; "c" "e" "t" 1; "d" "e" "g" "v" 1;
"b" "w" "z" 1; "c" "e" "t" 1; "d" "e" "g" "v" 1;
"b" "w" "z" 1; "c" "e" "t" 1; "d" "e" "g" "v" 1;
"b" "w" "z" 1; "c" "e" "q" "t" 1; "d" "e" "g" "v" 1;
"a" "z" 1; "b" "w" "z" 1; "c" "e" "q" "t" 1; "d" "e" "g" "v" 1;
"a" "m" "z" 1; "b" "w" "z" 1; "c" "e" "q" "t" 1; "d" "e" "g" "v" 1;
"a" "m" "z" 1; "b" "w" "z" 1; "c" "e" "q" "t" 1; "d" "e" "g" "v" 1;
"a" "m" "z" 1; "b" "w" "z" 1; "c" "e" "q" "t" 1; "d" "e" "g" "v" 1;
"a" "m" "z" 1; "b" "w" "z" 1; "c" "e" "q" "t" 1; "d" "e" "g" "v" 1;
"a" "m" "z" 1; "b" "w" "z" 1; "c" "e" "q" "t" 1; "d" "e" "g" "v" 1;
"a" "m" "z" 1; "b" "w" "z" 1; "c" "e" "q" "t" 1; "d" "e" "g" "v" 1;
"a" "m" "z" 1; "b" "w" "z" 1; "c" "e" "q" "t" 1; "d" "e" "g" "v" 1;
"a" "e" "m" "z" 1; "b" "w" "z" 1; "c" "e" "q" "t" 1; "d" "e" "g" "v" 1;
"a" "e" "m" "z" 1; "b" "w" "z" 1; "c" "e" "q" "t" 1; "d" "e" "g" "v" 1;
"a" "e" "m" "z" 1; "b" "w" "z" 1; "c" "e" "q" "t" 1; "d" "e" "g" "v" 1;
"a" "e" "m" "z" 1; "b" "w" "z" 1; "c" "e" "q" "t" 1; "d" "e" "g" "v" 1;
"a" "e" "m" "z" 1; "b" "w" "z" 1; "c" "e" "q" "t" 1; "d" "e" "g" "v" 1;
"a" "e" "m" "z" 1; "b" "w" "z" 1; "c" "e" "q" "t" 1; "d" "e" "g" "v" 1;
"a" "d" "e" "m" "u" "z" 1; "b" "w" "z" 1; "c" "e" "q" "t" "v" 1; "d" "e" "g" "v" "z" 1;
"a" "d" "e" "m" "u" "z" 1; "b" "w" "z" 1; "c" "e" "q" "t" "v" 1; "d" "e" "g" "v" "z" 1;
"a" "d" "e" "j" "l" "m" "p" "r" "u" "z" 1; "b" "c" "f" "v" "w" "x" "z" 1; "c" "q" "t" "v" 1; "d" "q" 2; "e" "m" 2;
"a" "d" "e" "j" "l" "m" "p" "r" "u" "z" 1; "b" "z" 2; "c" "q" "t" "v" 1; "d" "q" 2; "e" "m" 2;
"a" "d" "e" "j" "l" "m" "p" "r" "u" "z" 1; "b" "z" 2; "c" "c" "l" "q" "t" "v" 1; "d" "q" 2; "e" "m" 2;
"a" "d" "e" "j" "l" "m" "p" "r" "u" "z" 1; "b" "z" 2; "c" "c" "l" "q" "t" "v" 1; "d" "q" 2; "e" "m" "x" 2;
"a" "d" "e" "j" "l" "m" "p" "r" "u" "z" 1; "b" "z" 2; "c" "c" "l" "q" "t" "v" 1; "d" "q" 2; "e" "m" "x" 2;
"a" "d" "e" "j" "l" "m" "p" "r" "u" "z" 1; "b" "z" 2; "c" "c" "l" "q" "t" "v" 1; "d" "q" 2; "e" "m" "x" 2;
"a" "d" "e" "j" "l" "m" "p" "r" "u" "z" 1; "b" "z" 2; "c" "c" "l" "q" "t" "v" 1; "d" "q" 2; "e" "m" "x" 2;
"a" "d" "e" "j" "l" "m" "p" "r" "u" "z" 1; "b" "z" 2; "c" "c" "l" "q" "t" "v" 1; "d" "q" 2; "e" "m" "x" 2;
"a" "d" "e" "j" "l" "m" "p" "r" "u" "z" 1; "b" "z" 2; "c" "c" "l" "q" "t" "v" 1; "d" "q" 2; "e" "m" "x" 2;
"a" "d" "e" "j" "l" "m" "p" "r" "u" "z" 1; "b" "z" 2; "c" "c" "l" "q" "t" "v" "w" 1; "d" "q" 2; "e" "m" "x" 2;
"a" "d" "e" "j" "l" "m" "p" "r" "u" "z" 1; "b" "z" 2; "c" "c" "l" "q" "t" "u" "v" "w" 1; "d" "q" 2; "e" "m" "x" 2;
"a" "d" "e" "j" "l" "m" "p" "r" "u" "z" 1; "b" "z" 2; "c" "b" "c" "l" "q" "t" "u" "v" "w" 1; "d" "q" 2; "e" "m" "x" 2;
"a" "d" "e" "j" "l" "m" "p" "r" "u" "z" 1; "b" "z" 2; "c" "b" "c" "l" "q" "t" "u" "v" "w" 1; "d" "q" 2; "e" "m" "x" 2;
"a" "d" "e" "j" "l" "m" "p" "r" "u" "z" 1; "b" "z" 2; "c" "b" "c" "l" "q" "t" "u" "v" "w" 1; "d" "q" 2; "e" "m" "x" 2;
"a" "d" "e" "j" "l" "m" "p" "r" "u" "z" 1; "b" "z" 2; "c" "b" "c" "l" "q" "t" "u" "v" "w" 1; "d" "q" 2; "e" "m" "x" 2;
"a" "d" "e" "j" "l" "m" "p" "r" "u" "z" 1; "b" "z" 2; "c" "b" "c" "l" "q" "t" "u" "v" "w" 1; "d" "q" 2; "e" "m" "x" 2;
"a" "d" "e" "j" "l" "m" "p" "r" "u" "z" 1; "b" "z" 2; "c" "b" "c" "l" "q" "t" "u" "v" "w" 1; "d" "q" 2; "e" "m" "x" 2;
"a" "d" "e" "j" "l" "m" "p" "r" "u" "z" 1; "b" "z" 2; "c" "b" "c" "l" "q" "t" "u" "v" "w" 1; "d" "q" 2; "e" "m" "x" 2;
"a" "d" "e" "j" "l" "m" "p" "r" "u" "z" 1; "b" "z" 2; "c" "b" "c" "l" "q" "t" "u" "v" "w" 1; "d" "q" 2; "e" "m" "x" 2;
"a" "d" 2; "b" "z" 2; "c" "b" "c" "l" "q" "t" "u" "v" "w" 1; "d" "p" "q" 2; "e" "m" "x" 2;
"a" "d" "r" 2; "b" "z" 2; "c" "v" 2; "d" "p" "q" 2; "e" "m" "x" 2;
"a" "d" "r" 2; "b" "z" 2; "c" "v" 2; "d" "p" "q" 2; "e" "m" "x" 2;
"a" "d" "r" 2; "b" "z" 2; "c" "v" 2; "d" "p" "q" 2; "e" "m" "x" 2;
"a" "d" "r" 2; "b" "z" 2; "c" "v" 2; "d" "p" "q" 2; "e" "m" "x" 2;
"a" "d" "r" 2; "b" "z" 2; "c" "v" 2; "d" "l" "p" "q" 2; "e" "m" "x" 2;
"a" "d" "r" 2; "b" "z" 2; "c" "v" 2; "d" "l" "p" "q" 2; "e" "m" "x" 2;
"a" "d" "r" 2; "b" "z" 2; "c" "v" 2; "d" "l" "p" "q" 2; "e" "a" "m" "x" 2;
"a" "d" "r" 2; "b" "z" 2; "c" "v" "w" 2; "d" "l" "p" "q" 2; "e" "a" "m" "x" 2;
"a" "d" "r" 2; "b" "z" 2; "c" "v" "w" 2; "d" "l" "p" "q" 2; "e" "a" "m" "x" 2;
"a" "d" "p" "r" 2; "b" "z" 2; "c" "v" "w" 2; "d" "l" "p" "q" 2; "e" "a" "m" "x" 2;
"a" "d" "p" "r" 2; "b" "z" 2; "c" "v" "w" 2; "d" "l" "p" "q" 2; "e" "a" "m" "x" 2;
"a" "d" 3; "b" "z" 2; "c" "v" "w" 2; "d" "l" "p" "q" 2; "e" "a" "m" "x" 2;
"a" "d" 3; "b" "z" 2; "c" "v" "w" 2; "d" "l" "p" "q" 2; "e" "a" "m" "x" 2;
"a" "d" 3; "b" "z" 2; "c" "v" "w" 2; "d" "l" "p" "q" 2; "e" "m" 3;
"a" "d" 3; "b" "z" 2; "c" "v" "w" 2; "d" "l" "p" "q" 2; "e" "m" 3;
"a" "d" 3; "b" "z" 2; "c" "v" "w" 2; "d" "l" "p" "q" 2; "e" "m" 3;
"a" "d" 3; "b" "z" 2; "c" "v" "w" 2; "d" "l" "p" "q" 2; "e" "m" 3;
"a" "d" 3; "b" "z" 2; "c" "v" "w" 2; "d" "l" "p" "q" 2; "e" "m" 3;
"a" "d" 3; "b" "z" 2; "c" "v" "w" 2; "d" "l" "p" "q" 2; "e" "m" 3;
"a" "d" 3; "b" "z" 2; "c" "v" "w" 2; "d" "l" "p" "q" 2; "e" "m" 3;
"a" "d" 3; "b" "z" 2; "c" "v" "w" 2; "d" "l" "p" "q" 2; "e" "m" 3;
"a" "d" 3; "b" "z" 2; "c" "v" "w" 2; "d" "l" "p" "q" 2; "e" "m" 3;
"a" "d" 3; "b" "z" 2; "c" "v" "w" 2; "d" "l" "p" "q" 2; "e" "m" 3;
"a" "d" 3; "b" "z" 2; "c" "v" "w" 2; "d" "l" "p" "q" 2; "e" "m" 3;
"a" "d" 3; "b" "z" 2; "c" "v" "w" 2; "d" "l" "p" "q" 2; "e" "m" 3;
"a" "d" 3; "b" "z" 2; "c" "v" "w" 2; "d" "l" "p" "q" 2; "e" "m" 3;
"a" "d" 3; "b" "z" 2; "c" "v" "w" 2; "d" "l" "p" "q" 2; "e" "m" 3;
"a" "d" 3; "b" "f" "z" 2; "c" "v" "w" 2; "d" "l" "p" "q" 2; "e" "m" 3;
"a" "d" 3; "b" "f" "z" 2; "c" "v" "w" 2; "d" "l" "p" "q" 2; "e" "m" 3;
"a" "d" 3; "b" "f" "v" "z" 2; "c" "v" "w" 2; "d" "l" "p" "q" 2; "e" "m" 3;
"a" "d" 3; "b" "f" "v" "z" 2; "c" "v" "w" 2; "d" "q" 3; "e" "m" 3;
"a" "d" 3; "b" "f" "v" "z" 2; "c" "v" "w" 2; "d" "q" 3; "e" "m" 3;
"a" "d" 3; "b" "f" "v" "z" 2; "c" "p" "v" "w" 2; "d" "q" 3; "e" "m" 3;
"a" "d" 3; "b" "f" "v" "z" 2; "c" "p" "v" "w" 2; "d" "q" 3; "e" "m" 3;
"a" "d" 3; "b" "f" "v" "z" 2; "c" "p" "v" "w" 2; "d" "q" 3; "e" "m" 3;
"a" "d" 3; "b" "f" "v" "z" 2; "c" "p" "v" "w" 2; "d" "q" 3; "e" "m" 3;
"a" "d" 3; "b" "f" "v" "z" 2; "c" "p" "v" "w" 2; "d" "q" 3; "e" "m" 3;
"a" "d" 3; "b" "f" "v" "z" 2; "c" "p" "v" "w" 2; "d" "q" 3; "e" "m" 3;
"a" "d" 3; "b" "f" "v" "z" 2; "c" "f" "p" "v" "w" 2; "d" "q" 3; "e" "m" 3;
"a" "d" 3; "b" "f" "v" "z" 2; "c" "f" "p" "v" "w" 2; "d" "q" 3; "e" "m" "u" 3;
"a" "d" 3; "b" "f" "g" "v" "z" 2; "c" "f" "p" "t" "v" "w" 2; "d" "q" 3; "e" "m" "u" 3;
"a" "d" 3; "b" "v" 3; "c" "f" "g" "p" "t" "v" "w" 2; "d" "q" 3; "e" "m" "u" 3;
"a" "d" 3; "b" "v" 3; "c" "f" "g" "p" "t" "v" "w" 2; "d" "q" 3; "e" "m" "u" 3;
"a" "d" 3; "b" "v" 3; "c" "f" "g" "p" "t" "v" "w" 2; "d" "q" 3; "e" "m" "u" 3;
"a" "d" 3; "b" "v" 3; "c" "f" "g" "p" "t" "v" "w" 2; "d" "q" 3; "e" "m" "u" 3;
"a" "d" 3; "b" "v" 3; "c" "f" "g" "p" "t" "v" "w" 2; "d" "q" 3; "e" "m" "u" 3;
"a" "d" 3; "b" "v" 3; "c" "f" "g" "p" "t" "v" "w" 2; "d" "q" 3; "e" "m" 4;
"a" "d" 3; "b" "v" 3; "c" "f" "g" "p" "t" "v" "w" 2; "d" "q" 3; "e" "m" 4;
"a" "d" 3; "b" "v" 3; "c" "f" "g" "p" "t" "v" "w" 2; "d" "q" 3; "e" "m" 4;
"a" "d" 3; "b" "v" 3; "c" "f" "g" "p" "t" "v" "w" 2; "d" "q" 3; "e" "m" 4;
"a" "d" 3; "b" "v" 3; "c" "f" "g" "p" "t" "v" "w" 2; "d" "q" 3; "e" "m" 4;
"a" "d" 3; "b" "v" 3; "c" "f" "g" "p" "t" "v" "w" 2; "d" "q" 3; "e" "m" 4;
"a" "d" 3; "b" "v" 3; "c" "f" "g" "p" "t" "v" "w" 2; "d" "q" 3; "e" "m" 4;
"a" "d" 3; "b" "v" 3; "c" "f" "g" "p" "t" "v" "w" 2; "d" "q" 3; "e" "m" 4;
"a" "d" 3; "b" "v" 3; "c" "f" "g" "p" "t" "v" "w" 2; "d" "q" 3; "e" "m" 4;
"a" "d" 3; "b" "v" 3; "c" "f" "g" "p" "t" "v" "w" 2; "d" "q" 3; "e" "m" 4;
"a" "d" 3; "b" "v" 3; "c" "f" "g" "p" "t" "v" "w" 2; "d" "q" 3; "e" "m" 4;
"a" "d" 3; "b" "v" 3; "c" "f" "g" "p" "t" "v" "w" 2; "d" "q" 3; "e" "m" 4;
"a" "d" 3; "b" "v" 3; "c" "f" "g" "p" "t" "v" "w" 2; "d" "q" 3; "e" "m" 4;
"a" "d" 3; "b" "v" 3; "c" "f" "g" "p" "t" "v" "w" 2; "d" "q" 3; "e" "m" 4;
"a" "d" 3; "b" "v" 3; "c" "f" "g" "p" "t" "v" "w" 2; "d" "q" 3; "e" "m" 4;
"a" "d" 3; "b" "v" 3; "c" "f" "g" "p" "t" "v" "w" 2; "d" "q" 3; "e" "m" 4;
"a" "d" 3; "b" "v" 3; "c" "f" "g" "p" "t" "v" "w" 2; "d" "q" 3; "e" "m" 4;
"a" "d" 3; "b" "v" 3; "c" "f" "g" "p" "t" "v" "w" 2; "d" "q" 3; "e" "m" 4;
"a" "d" 3; "b" "v" 3; "c" "f" "g" "p" "t" "v" "w" 2; "d" "q" 3; "e" "m" 4;
"a" "d" 3; "b" "v" 3; "c" "c" "f" "g" "p" "t" "v" "w" 2; "d" "q" 3; "e" "m" 4;
"a" "d" 3; "b" "v" 3; "c" "c" "f" "g" "p" "t" "v" "w" 2; "d" "q" 3; "e" "m" "y" 4;
"a" "d" "p" 3; "b" "v" 3; "c" "c" "f" "g" "p" "t" "v" "w" 2; "d" "q" 3; "e" "m" "y" 4;
"a" "d" "p" 3; "b" "v" 3; "c" "c" "f" "g" "p" "t" "v" "w" 2; "d" "q" 3; "e" "m" "y" 4;
"a" "d" "p" 3; "b" "g" "v" 3; "c" "c" "f" "g" "p" "t" "v" "w" 2; "d" "q" 3; "e" "m" "y" 4;
"a" "d" "p" 3; "b" "g" "v" 3; "c" "c" "f" "g" "p" "t" "v" "w" 2; "d" "q" 3; "e" "m" "y" 4;
"a" "d" "p" 3; "b" "g" "v" 3; "c" "c" "f" "g" "p" "t" "v" "w" 2; "d" "q" 3; "e" "m" "y" 4;
"a" "d" "p" 3; "b" "g" "v" 3; "c" "c" "f" "g" "p" "t" "v" "w" 2; "d" "q" 3; "e" "m" "y" 4;
"a" "d" "p" 3; "b" "g" "v" 3; "c" "c" "f" "g" "p" "t" "v" "w" 2; "d" "q" 3; "e" "m" "y" 4;
"a" "d" "p" 3; "b" "g" "v" 3; "c" "c" "f" "g" "p" "t" "v" "w" 2; "d" "q" 3; "e" "m" "y" 4;
"a" "d" "p" 3; "b" "g" "v" 3; "c" "c" "f" "g" "p" "t" "v" "w" 2; "d" "q" 3; "e" "m" "y" 4;
"a" "d" "p" 3; "b" "g" "v" 3; "c" "c" "f" "g" "p" "t" "v" "w" 2; "d" "q" 3; "e" "m" "y" 4;
"a" "d" "p" 3; "b" "g" "v" 3; "c" "c" "f" "g" "p" "t" "v" "w" 2; "d" "q" 3; "e" "m" "y" 4;
"a" "d" "p" 3; "b" "g" "v" 3; "c" "c" "f" "g" "p" "t" "v" "w" 2; "d" "q" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "v" 3; "c" "c" "f" "g" "p" "t" "v" "w" 2; "d" "q" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "v" 3; "c" "c" "f" "g" "p" "t" "v" "w" 2; "d" "q" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "v" 3; "c" "c" "f" "g" "p" "t" "v" "w" 2; "d" "q" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "v" 3; "c" "c" "f" "g" "p" "t" "v" "w" 2; "d" "q" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "v" 3; "c" "c" "f" "g" "p" "t" "v" "w" 2; "d" "q" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "v" 3; "c" "c" "f" "g" "p" "t" "v" "w" 2; "d" "q" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "v" 3; "c" "w" 3; "d" "q" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "v" 3; "c" "g" "w" 3; "d" "q" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "v" 3; "c" "g" "w" 3; "d" "q" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "v" 3; "c" "g" "w" 3; "d" "q" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "v" 3; "c" "g" "w" 3; "d" "q" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "v" 3; "c" "g" "w" 3; "d" "q" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "v" 3; "c" "g" "w" 3; "d" "q" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "i" "v" 3; "c" "g" "j" "w" 3; "d" "q" "y" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "i" "v" 3; "c" "g" "j" "w" 3; "d" "q" "y" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "i" "v" 3; "c" "g" "j" "w" 3; "d" "q" "y" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "i" "v" 3; "c" "g" "j" "w" 3; "d" "q" "y" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "i" "v" 3; "c" "g" "j" "w" 3; "d" "q" "y" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "i" "v" 3; "c" "g" "j" "w" 3; "d" "q" "y" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "i" "v" 3; "c" "g" "j" "w" 3; "d" "q" "y" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "i" "v" 3; "c" "g" "j" "w" 3; "d" "q" "y" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "i" "v" 3; "c" "g" "j" "w" 3; "d" "q" "y" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "i" "v" 3; "c" "g" "j" "w" 3; "d" "q" "y" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "i" "v" 3; "c" "g" "j" "w" 3; "d" "q" "y" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "i" "v" 3; "c" "g" "j" "t" "w" 3; "d" "q" "y" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "i" "v" 3; "c" "g" "j" "t" "w" 3; "d" "q" "y" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "i" "v" 3; "c" "g" "j" "t" "w" 3; "d" "q" "y" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "i" "v" 3; "c" "g" "j" "t" "w" 3; "d" "q" "y" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "i" "v" 3; "c" "g" "j" "t" "w" 3; "d" "q" "y" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "i" "v" 3; "c" "g" "j" "t" "w" 3; "d" "q" "y" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "i" "v" 3; "c" "g" "j" "t" "w" 3; "d" "q" "y" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "i" "v" 3; "c" "g" "j" "t" "w" 3; "d" "l" "q" "y" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "i" "v" 3; "c" "g" "j" "t" "w" 3; "d" "l" "q" "y" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "i" "v" 3; "c" "g" "j" "t" "w" 3; "d" "l" "q" "y" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "i" "v" 3; "c" "g" "j" "p" "t" "w" 3; "d" "l" "q" "y" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "i" "v" 3; "c" "g" "j" "p" "t" "w" 3; "d" "l" "q" "y" 3; "e" "m" "y" 4;
