none
none
none
none
none
none
none
"a" "i" 1; "e" "e" 1;
"a" "i" 1; "e" "e" 1;
"a" "i" 1; "e" "e" "y" 1;
"a" "i" 1; "c" "r" 1; "e" "e" "y" 1;
"a" "i" 1; "c" "r" 1; "e" "e" "y" 1;
"a" "i" 1; "c" "r" 1; "e" "e" "y" 1;
"a" "i" 1; "c" "r" 1; "e" "e" "y" 1;
"a" "i" 1; "c" "r" 1; "e" "e" "y" 1;
"a" "i" "k" 1; "c" "r" 1; "e" "e" "y" 1;
"a" "i" "k" 1; "c" "r" 1; "e" "e" "y" 1;
"a" "i" "k" 1; "c" "r" 1; "e" "e" "y" 1;
"a" "i" "k" 1; "c" "r" 1; "e" "e" "y" 1;
"a" "i" "k" 1; "c" "r" 1; "e" "e" "y" 1;
"a" "i" "k" 1; "c" "r" 1; "e" "e" "y" 1;
"a" "i" "k" 1; "c" "r" 1; "e" "e" "y" 1;
"a" "i" "k" 1; "b" "y" 1; "c" "r" 1; "e" "e" "y" 1;
"a" "i" "k" 1; "b" "y" 1; "c" "r" 1; "e" "e" "y" 1;
"a" "i" "k" 1; "b" "y" 1; "c" "r" 1; "e" "e" "y" 1;
"a" "i" "k" 1; "b" "y" 1; "c" "r" "t" 1; "e" "e" "y" 1;
"a" "i" "k" 1; "b" "y" 1; "c" "r" "t" 1; "e" "e" "y" 1;
"a" "i" "k" 1; "b" "y" 1; "c" "r" "t" 1; "e" "e" "y" 1;
"a" "i" "k" 1; "b" "y" 1; "c" "r" "t" "z" 1; "e" "e" "y" 1;
"a" "i" "k" 1; "b" "y" 1; "c" "r" "t" "y" "z" 1; "e" "e" "y" 1;
"a" "i" "k" 1; "b" "y" 1; "c" "r" "t" "y" "z" 1; "e" "e" "y" 1;
"a" "i" "k" 1; "b" "y" 1; "c" "r" "t" "y" "z" 1; "e" "e" "y" 1;
"a" "i" "k" 1; "b" "y" 1; "c" "r" "t" "y" "z" 1; "e" "d" "e" "y" 1;
"a" "i" "k" "o" 1; "b" "p" "y" 1; "c" "r" "t" "y" "z" 1; "e" "d" "e" "y" 1;
"a" "i" "k" "o" "r" 1; "b" "p" "y" 1; "c" "r" "t" "y" "z" 1; "e" "d" "e" "h" "y" 1;
"a" "i" "k" "o" "r" 1; "b" "p" "y" 1; "c" "r" "t" "y" "z" 1; "e" "d" "e" "h" "y" 1;
"a" "i" "k" "o" "r" 1; "b" "p" "y" 1; "c" "r" "t" "y" "z" 1; "e" "d" "e" "h" "y" 1;
"a" "i" "k" "o" "r" 1; "b" "p" "y" 1; "c" "r" "t" "y" "z" 1; "e" "d" "e" "h" "y" 1;
"a" "i" "k" "o" "r" 1; "b" "p" "y" "z" 1; "c" "r" "t" "y" "z" 1; "e" "d" "e" "h" "y" 1;
"a" "i" "k" "m" "o" "r" 1; "b" "p" "y" "z" 1; "c" "r" "t" "y" "z" 1; "e" "d" "e" "h" "y" 1;
"a" "i" "k" "m" "o" "r" 1; "b" "p" "y" "z" 1; "c" "r" "t" "y" "z" 1; "e" "d" "e" "h" "y" 1;
"a" "i" "k" "m" "o" "r" 1; "b" "p" "y" "z" 1; "c" "r" "t" "y" "z" 1; "e" "d" "e" "h" "y" 1;
"a" "i" "k" "m" "o" "r" 1; "b" "p" "y" "z" 1; "c" "r" "t" "x" "y" "z" 1; "e" "d" "e" "h" "y" 1;
"a" "i" "k" "m" "o" "r" 1; "b" "p" "y" "z" 1; "c" "r" "t" "x" "y" "z" 1; "e" "d" "e" "h" "y" 1;
"a" "i" "k" "m" "o" "r" 1; "b" "p" "y" "z" 1; "c" "r" "t" "x" "y" "z" 1; "e" "d" "e" "h" "y" 1;
"a" "i" "k" "m" "o" "r" 1; "b" "p" "y" "z" 1; "c" "y" 2; "e" "d" "e" "h" "y" 1;
"a" "k" 2; "b" "i" "p" "q" "r" "y" "z" 1; "c" "y" 2; "e" "y" 2;
"a" "k" 2; "b" "i" "p" "q" "r" "y" "z" 1; "c" "y" 2; "e" "y" 2;
"a" "k" 2; "b" "i" "p" "q" "r" "y" "z" 1; "c" "y" 2; "e" "y" 2;
"a" "k" 2; "b" "i" "p" "q" "r" "y" "z" 1; "c" "y" 2; "e" "y" 2;
"a" "k" 2; "b" "i" "p" "q" "r" "y" "z" 1; "c" "y" 2; "e" "y" 2;
"a" "k" 2; "b" "i" "p" "q" "r" "y" "z" 1; "c" "y" 2; "e" "y" 2;
"a" "k" 2; "b" "i" "p" "q" "r" "y" "z" 1; "c" "y" 2; "e" "y" 2;
"a" "k" 2; "b" "i" "p" "q" "r" "y" "z" 1; "c" "y" 2; "e" "y" 2;
"a" "k" 2; "b" "i" "p" "q" "r" "y" "z" 1; "c" "y" 2; "e" "y" 2;
"a" "k" 2; "b" "i" "p" "q" "r" "y" "z" 1; "c" "y" 2; "e" "y" 2;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 7; "d" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 7; "d" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 7; "d" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 7; "d" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 7; "d" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 7; "d" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 7; "d" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 7; "d" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 7; "d" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 7; "d" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 7; "d" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 7; "d" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 7; "d" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 7; "d" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 7; "d" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 7; "d" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 7; "d" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 7; "d" "f" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 7; "d" "f" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 7; "d" "f" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 7; "d" "f" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 7; "d" "f" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 7; "d" "f" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 7; "d" "f" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 7; "d" "f" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 7; "d" "f" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 7; "d" "f" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 7; "d" "f" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 7; "d" "f" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 7; "d" "f" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 7; "d" "f" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 7; "d" "f" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 7; "d" "f" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 7; "d" "f" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 7; "d" "f" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 7; "d" "f" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 7; "d" "f" "p" 4; "e" "b" "e" "h" "i" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 7; "d" "f" "p" 4; "e" "b" "e" "h" "i" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 7; "d" "f" "p" 4; "e" "b" "e" "h" "i" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 7; "d" "f" "p" 4; "e" "b" "e" "h" "i" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 7; "d" "f" "p" 4; "e" "b" "e" "h" "i" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 7; "d" "f" "p" 4; "e" "b" "e" "h" "i" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 7; "d" "f" "p" 4; "e" "b" "e" "h" "i" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 7; "d" "f" "p" 4; "e" "b" "e" "i" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 7; "d" "f" "p" 4; "e" "b" "e" "i" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 7; "d" "f" "p" 4; "e" "b" "e" "i" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 7; "d" "f" "p" 4; "e" "b" "e" "i" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 7; "d" "f" "p" 4; "e" "b" "e" "i" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 7; "d" "f" "p" 4; "e" "b" "e" "i" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 7; "d" "f" "p" 4; "e" "b" "e" "i" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 7; "d" "f" "p" 4; "e" "b" "e" "i" "p" 3;
"a" "d" 5; "b" "a" "p" "s" 4; "c" "y" 7; "d" "f" "p" 4; "e" "b" "e" "i" "p" 3;
"a" "d" 5; "b" "a" "p" "s" 4; "c" "y" 7; "d" "f" "p" 4; "e" "b" "e" "i" "p" 3;
"a" "d" 5; "b" "a" "p" "s" 4; "c" "y" 7; "d" "f" "p" 4; "e" "b" "e" "i" "p" "z" 3;
"a" "d" 5; "b" "a" "p" "s" 4; "c" "y" 7; "d" "d" "f" "p" 4; "e" "z" 4;
"a" "d" 5; "b" "a" "p" "s" 4; "c" "y" 7; "d" "d" "f" "p" 4; "e" "z" 4;
"a" "d" 5; "b" "a" "p" "s" 4; "c" "y" 7; "d" "d" "f" "p" 4; "e" "z" 4;
"a" "d" 5; "b" "a" "p" "s" 4; "c" "y" 7; "d" "d" "f" "p" 4; "e" "z" 4;
"a" "d" 5; "b" "a" "p" "s" 4; "c" "y" 7; "d" "d" "f" "p" 4; "e" "z" 4;
"a" "d" 5; "b" "a" "p" "s" 4; "c" "y" 7; "d" "d" "f" "p" 4; "e" "z" 4;
"a" "d" 5; "b" "a" "p" "s" 4; "c" "y" 7; "d" "d" "f" "p" 4; "e" "z" 4;
"a" "d" 5; "b" "a" "p" "s" 4; "c" "y" 7; "d" "d" "f" "p" 4; "e" "z" 4;
"a" "d" 5; "b" "a" "p" "s" 4; "c" "y" 7; "d" "d" "f" "p" 4; "e" "z" 4;
"a" "d" 5; "b" "a" "p" "s" 4; "c" "y" 7; "d" "d" "f" "p" 4; "e" "z" 4;
"a" "d" 5; "b" "a" "p" "s" 4; "c" "y" 7; "d" "d" "f" "p" 4; "e" "z" 4;
"a" "d" 5; "b" "a" "p" "s" 4; "c" "y" 7; "d" "d" "f" "p" 4; "e" "z" 4;
"a" "d" 5; "b" "a" "p" "s" 4; "c" "y" 7; "d" "d" "f" "p" 4; "e" "z" 4;
"a" "d" 5; "b" "a" "p" "s" 4; "c" "y" 7; "d" "d" "f" "m" "p" 4; "e" "z" 4;
"a" "d" 5; "b" "a" "p" "s" 4; "c" "y" 7; "d" "d" "f" "m" "p" "y" 4; "e" "z" 4;
"a" "d" 5; "b" "a" "p" "s" 4; "c" "y" 7; "d" "d" "f" "m" "p" "y" 4; "e" "z" 4;
"a" "d" 5; "b" "a" "p" "s" 4; "c" "y" 7; "d" "d" "f" "m" "p" "y" 4; "e" "z" 4;
"a" "d" 5; "b" "a" "p" "s" 4; "c" "y" 7; "d" "d" "f" "m" "p" "y" 4; "e" "z" 4;
"a" "d" 5; "b" "a" "p" "s" 4; "c" "y" 7; "d" "d" "f" "m" "p" "y" 4; "e" "z" 4;
"a" "d" 5; "b" "a" "p" "s" 4; "c" "y" 7; "d" "d" "f" "m" "p" "y" 4; "e" "z" 4;
"a" "d" 5; "b" "a" "p" "s" 4; "c" "y" 7; "d" "d" "f" "m" "p" "y" 4; "e" "z" 4;
"a" "d" 5; "b" "a" "p" "s" 4; "c" "y" 8; "d" "d" "f" "m" "p" "y" 4; "e" "z" 4;
"a" "d" 5; "b" "a" "p" "s" 4; "c" "y" 8; "d" "d" "f" "m" "p" "y" 4; "e" "z" 4;
"a" "d" 5; "b" "a" "p" "s" 4; "c" "y" 8; "d" "d" "f" "m" "p" "y" 4; "e" "z" 4;
"a" "d" 5; "b" "a" "p" "s" 4; "c" "y" 8; "d" "d" "f" "m" "p" "y" 4; "e" "z" 4;
"a" "d" 5; "b" "a" "p" "s" 4; "c" "y" 8; "d" "d" "f" "m" "p" "y" 4; "e" "z" 4;
"a" "d" 5; "b" "a" "p" "s" 4; "c" "y" 8; "d" "d" "f" "m" "p" "y" 4; "e" "z" 4;
"a" "d" 5; "b" "a" "p" "s" 4; "c" "y" 8; "d" "d" "f" "m" "p" "y" 4; "e" "z" 4;
"a" "d" 5; "b" "a" "p" "s" 4; "c" "y" 8; "d" "d" "f" "m" "p" "y" 4; "e" "z" 4;
"a" "d" 5; "b" "a" "p" "s" 4; "c" "y" 8; "d" "d" "f" "m" "p" "y" 4; "e" "z" 4;
"a" "d" 5; "b" "a" "p" "s" 4; "c" "y" 8; "d" "d" "f" "m" "p" "y" 4; "e" "z" 4;
"a" "d" 5; "b" "a" "p" "s" 4; "c" "y" 8; "d" "d" "f" "m" "p" "y" 4; "e" "z" 4;
"a" "d" 5; "b" "a" "p" "s" 4; "c" "y" 8; "d" "d" "f" "m" "p" "y" 4; "e" "z" 4;
"a" "d" 5; "b" "a" "p" "s" 4; "c" "y" 8; "d" "d" "f" "m" "p" "y" 4; "e" "z" 4;
"a" "d" 5; "b" "a" "p" "s" 4; "c" "y" 8; "d" "d" "f" "m" "p" "y" 4; "e" "z" 4;
"a" "d" 5; "b" "a" "p" "s" 4; "c" "y" 8; "d" "d" "f" "m" "p" "y" 4; "e" "z" 4;
"a" "d" 5; "b" "a" "p" "s" 4; "c" "y" 8; "d" "d" "f" "m" "p" "y" 4; "e" "z" 4;
"a" "d" 5; "b" "a" "p" "s" 4; "c" "y" 8; "d" "d" "f" "m" "p" "y" 4; "e" "z" 4;
"a" "d" 5; "b" "a" "p" "s" 4; "c" "y" 8; "d" "d" "f" "m" "p" "y" 4; "e" "z" 4;
"a" "d" 5; "b" "a" "p" "s" 4; "c" "y" 8; "d" "d" "f" "m" "p" "y" 4; "e" "z" 4;
"a" "d" 5; "b" "a" "p" "s" 4; "c" "y" 8; "d" "d" "f" "m" "p" "y" 4; "e" "z" 4;
"a" "d" 5; "b" "a" "p" "s" 4; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 5; "b" "a" "p" "s" 4; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 5; "b" "a" "p" "s" 4; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 5; "b" "a" "p" "s" 4; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 5; "b" "a" "p" "s" 4; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 5; "b" "a" "p" "s" 4; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 5; "b" "a" "p" "s" 4; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 5; "b" "a" "p" "s" 4; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 5; "b" "a" "p" "s" 4; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 5; "b" "a" "p" "s" 4; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 5; "b" "a" "p" "s" 4; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 5; "b" "a" "p" "s" 4; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 6; "b" "a" "p" "s" 4; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 6; "b" "a" "p" "s" 4; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 6; "b" "a" "p" "s" 4; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 6; "b" "a" "p" "s" 4; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 6; "b" "a" "p" "s" 4; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 6; "b" "a" "p" "s" 4; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 6; "b" "a" "p" "s" 4; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 6; "b" "p" 5; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 6; "b" "p" 5; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 6; "b" "p" 5; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 6; "b" "p" 5; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 6; "b" "p" 5; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 6; "b" "p" 5; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 6; "b" "p" 5; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 6; "b" "p" 5; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 6; "b" "p" 5; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 6; "b" "p" 5; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 6; "b" "p" 5; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 6; "b" "p" 5; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 6; "b" "p" 5; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 6; "b" "p" 5; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 6; "b" "p" 5; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 6; "b" "p" 5; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 6; "b" "p" 5; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 6; "b" "p" 5; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 6; "b" "p" 5; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 6; "b" "p" 5; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 6; "b" "p" 5; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 6; "b" "p" 5; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 6; "b" "p" 5; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 6; "b" "p" 5; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 6; "b" "p" 5; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 6; "b" "p" 5; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 6; "b" "p" 5; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 6; "b" "p" 5; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 6; "b" "p" 5; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 6; "b" "p" 5; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 6; "b" "p" 5; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 6; "b" "p" 5; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 6; "b" "p" 5; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 6; "b" "p" 5; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 6; "b" "p" 5; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 6; "b" "p" 5; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 6; "b" "p" 5; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 6; "b" "p" 5; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 6; "b" "p" 5; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 6; "b" "p" 5; "c" "y" 8; "d" "f" 5; "e" "z" 4;
"a" "d" 6; "b" "p" 5; "c" "y" 8; "d" "f" "p" 5; "e" "z" 4;
"a" "d" 6; "b" "p" 5; "c" "y" 8; "d" "f" "p" 5; "e" "z" 4;
"a" "d" 6; "b" "p" 5; "c" "y" 8; "d" "f" "p" 5; "e" "z" 4;
"a" "d" 6; "b" "p" 5; "c" "y" 8; "d" "f" "p" 5; "e" "z" 4;
"a" "d" 6; "b" "p" 5; "c" "y" 8; "d" "f" "p" 5; "e" "z" 4;
"a" "d" 6; "b" "p" 5; "c" "y" 8; "d" "f" "p" 5; "e" "z" 4;
"a" "d" 6; "b" "p" 5; "c" "y" 8; "d" "d" "f" "p" 5; "e" "z" 4;
"a" "d" 6; "b" "p" 5; "c" "y" 8; "d" "d" "f" "p" 5; "e" "z" 4;
"a" "d" 6; "b" "p" 5; "c" "y" 8; "d" "d" "f" "p" 5; "e" "z" 4;
"a" "d" 6; "b" "p" 5; "c" "y" 8; "d" "d" "f" "p" 5; "e" "z" 4;
"a" "d" 6; "b" "p" 5; "c" "y" 8; "d" "d" "f" "p" 5; "e" "z" 4;
