none
none
none
none
none
none
"c" "c" 1;
"c" "c" 1;
"c" "c" 1;
"c" "c" 1;
"c" "c" 1; "d" "k" 1;
"c" "c" 1; "d" "k" 1;
"c" "c" 1; "d" "k" 1;
"c" "c" 1; "d" "k" 1;
"c" "c" 1; "d" "k" 1;
"c" "c" 1; "d" "k" 1;
"c" "c" 1; "d" "k" 1;
"c" "c" 1; "d" "k" 1;
"c" "c" 1; "d" "k" 1;
"c" "c" 1; "d" "k" 1;
"c" "c" 1; "d" "k" 1;
"c" "c" 1; "d" "k" 1;
"c" "c" 1; "d" "k" 1;
"c" "c" "r" 1; "d" "k" 1;
"c" "c" "r" 1; "d" "k" 1;
"c" "c" "r" 1; "d" "k" 1;
"c" "c" "r" 1; "d" "k" 1;
"c" "c" "r" 1; "d" "k" 1;
"c" "c" "r" 1; "d" "k" "s" 1;
"c" "c" "r" 1; "d" "k" "s" 1;
"c" "c" "r" "y" 1; "d" "k" "q" "s" 1;
"c" "c" "r" "y" 1; "d" "k" "q" "s" 1;
"c" "c" "r" "y" 1; "d" "k" "q" "s" 1;
"a" "r" 1; "c" "c" "r" "y" 1; "d" "k" "q" "s" 1;
"a" "r" 1; "c" "c" "r" "y" 1; "d" "k" "q" "s" 1;
"a" "r" 1; "c" "c" "r" "y" 1; "d" "k" "q" "s" 1;
"a" "r" 1; "c" "c" "i" "p" "r" "y" 1; "d" "k" "q" "s" 1;
"a" "r" 1; "b" "s" 1; "c" "c" "i" "p" "r" "y" 1; "d" "k" "q" "s" 1;
"a" "r" 1; "b" "s" 2; "c" "c" "i" "p" "r" "y" 1; "d" "k" "q" "s" 1;
"a" "r" 1; "b" "s" 2; "c" "c" "i" "p" "r" "y" 1; "d" "k" "q" "s" 1;
"a" "r" 1; "b" "s" 2; "c" "c" "i" "p" "r" "y" 1; "d" "k" "q" "s" 1;
"a" "r" 1; "b" "s" 2; "c" "c" "i" "p" "r" "y" 1; "d" "k" "q" "s" 1;
"a" "r" 1; "b" "s" 2; "c" "c" "i" "p" "r" "y" 1; "d" "k" "q" "s" 1;
"a" "r" 1; "b" "s" 2; "c" "c" "i" "o" "p" "r" "y" 1; "d" "k" "q" "s" 1;
"a" "r" 1; "b" "s" 2; "c" "c" "i" "o" "p" "r" "y" 1; "d" "k" "q" "s" 1;
"a" "f" "i" "r" 1; "b" "s" 2; "c" "i" 2; "d" "k" "o" "q" "s" 1;
"a" "f" "i" "r" 1; "b" "s" 2; "c" "i" 2; "d" "k" "o" "q" "s" 1;
"a" "f" "i" "r" "x" 1; "b" "s" 2; "c" "i" 2; "d" "k" "o" "q" "s" 1;
"a" "f" "i" "r" "x" 1; "b" "s" 2; "c" "i" 2; "d" "k" "o" "q" "s" 1;
"a" "f" "i" "r" "x" 1; "b" "s" 2; "c" "i" 2; "d" "k" "l" "o" "q" "s" 1;
"a" "f" "i" "r" "x" 1; "b" "s" 2; "c" "i" 2; "d" "k" "l" "o" "q" "s" 1;
"a" "f" "i" "r" "x" 1; "b" "s" 2; "c" "i" 2; "d" "k" "l" "o" "q" "s" 1;
"a" "f" "i" "r" "x" 1; "b" "s" 2; "c" "i" 2; "d" "k" "l" "o" "q" "s" 1;
"a" "f" "i" "r" "x" 1; "b" "s" 2; "c" "i" 2; "d" "b" "j" "k" "l" "o" "q" "s" 1; "e" "x" 2;
"a" "f" "i" "r" "x" 1; "b" "s" 2; "c" "d" "i" 2; "d" "b" "j" "k" "l" "o" "q" "s" 1; "e" "x" 2;
"a" "f" "i" "r" "x" 1; "b" "s" 2; "c" "d" "i" 2; "d" "b" "j" "k" "l" "o" "q" "s" 1; "e" "x" 2;
"a" "f" "i" "r" "x" 1; "b" "s" 2; "c" "d" "i" 2; "d" "b" "j" "k" "l" "o" "q" "s" 1; "e" "x" 2;
"a" "f" "i" "m" "r" "x" 1; "b" "s" 2; "c" "d" "i" "r" 2; "d" "b" "j" "k" "l" "o" "q" "s" 1; "e" "x" 2;
"a" "f" "i" "m" "r" "x" 1; "b" "s" 2; "c" "d" "i" "r" 2; "d" "b" "j" "k" "l" "o" "q" "s" 1; "e" "x" 2;
"a" "f" "i" "m" "r" "x" 1; "b" "s" 2; "c" "d" "i" "r" 2; "d" "b" "j" "k" "l" "o" "q" "s" 1; "e" "x" 2;
"a" "f" "i" "m" "r" "x" 1; "b" "s" 2; "c" "d" "i" "r" 2; "d" "b" "j" "k" "l" "o" "q" "s" 1; "e" "x" 2;
"a" "f" "i" "m" "r" "x" 1; "b" "s" 2; "c" "d" "i" "r" 2; "d" "b" "j" "k" "l" "o" "q" "s" 1; "e" "x" 2;
"a" "f" "i" "m" "r" "x" 1; "b" "s" 2; "c" "d" "i" "r" 2; "d" "b" "j" "k" "l" "o" "q" "s" 1; "e" "x" 2;
"a" "f" "i" "m" "r" "s" "x" 1; "b" "s" "t" 2; "c" "d" "i" "r" "y" 2; "d" "b" "j" "k" "l" "o" "q" "r" "s" "t" 1; "e" "x" 2;
"a" "f" "i" "m" "r" "s" "x" 1; "b" "s" "t" 2; "c" "d" "i" "r" "y" 2; "d" "b" "j" "k" "l" "o" "r" "s" "t" 1; "e" "x" 2;
"a" "f" "h" "i" "m" "r" "s" "x" 1; "b" "m" "s" "t" 2; "c" "d" "i" "r" "y" 2; "d" "b" "j" "k" "l" "o" "r" "s" "t" 1; "e" "x" 2;
"a" "f" "h" "i" "m" "r" "s" "x" 1; "b" "m" "s" "t" 2; "c" "d" "i" "r" "y" 2; "d" "b" "j" "k" "l" "o" "r" "s" "t" 1; "e" "x" 2;
"a" "f" "h" "i" "m" "r" "s" "x" 1; "b" "m" "s" "t" 2; "c" "d" "i" "r" "y" 2; "d" "b" "j" "k" "l" "o" "r" "s" "t" 1; "e" "x" 2;
"a" "f" "h" "i" "m" "r" "s" "x" 1; "b" "m" "s" "t" 2; "c" "d" "i" "r" "y" 2; "d" "b" "j" "k" "l" "o" "r" "s" "t" 1; "e" "x" 2;
"a" "f" "h" "i" "m" "r" "s" "x" 1; "b" "m" "s" "t" 2; "c" "d" "i" "r" "y" 2; "d" "b" "j" "k" "l" "o" "r" "s" "t" 1; "e" "x" 2;
"a" "f" "h" "i" "m" "r" "s" "x" 1; "b" "m" "s" "t" 2; "c" "d" "i" "r" "y" 2; "d" "b" "j" "k" "l" "o" "r" "s" "t" 1; "e" "x" 2;
"a" "f" "h" "i" "m" "r" "s" "x" 1; "b" "m" "s" "t" 2; "c" "d" "i" "r" "y" 2; "d" "b" "j" "k" "l" "o" "r" "s" "t" 1; "e" "x" 2;
"a" "f" "h" "i" "m" "r" "s" "x" 1; "b" "g" "m" "s" "t" 2; "c" "d" "i" "r" "y" 2; "d" "b" "j" "k" "l" "o" "r" "s" "t" "y" 1; "e" "x" 2;
"a" "f" "h" "i" "m" "r" "s" "x" 1; "b" "g" "m" "s" 2; "c" "d" "i" "r" "y" 2; "d" "b" "j" "k" "l" "o" "r" "s" "t" "y" 1; "e" "x" 2;
"a" "f" "h" "i" "m" "r" "s" "x" 1; "b" "g" "m" "s" 2; "c" "d" "i" "r" "y" 2; "d" "b" "j" "k" "l" "o" "r" "s" "t" "y" 1; "e" "x" 2;
"a" "b" "f" "h" "i" "m" "r" "s" "x" 1; "b" "g" "m" "s" 2; "c" "d" "i" "r" "y" 2; "d" "b" 2; "e" "x" 2;
"a" "b" "f" "h" "i" "m" "r" "s" "x" 1; "b" "g" "m" "s" 2; "c" "d" "i" "r" "y" 2; "d" "b" "r" 2; "e" "x" 2;
"a" "b" "f" "h" "i" "m" "r" "s" "x" 1; "b" "g" "m" "s" 2; "c" "d" "i" "r" "s" "y" 2; "d" "b" "r" 2; "e" "x" 2;
"a" "b" "f" "h" "i" "m" "r" "s" "x" 1; "b" "g" "m" "s" 2; "c" "d" "i" "r" "s" "y" 2; "d" "b" "r" 2; "e" "x" 2;
"a" "b" "f" "h" "i" "m" "r" "s" "x" 1; "b" "g" "m" "s" 2; "c" "d" "i" "r" "s" "y" 2; "d" "b" "r" 2; "e" "p" "x" 2;
"a" "b" "f" "h" "i" "m" "r" "s" "x" 1; "b" "g" "m" "s" 2; "c" "d" "i" "r" "s" "y" 2; "d" "b" "r" 2; "e" "p" "x" 2;
"a" "b" "f" "h" "i" "m" "r" "s" "x" 1; "b" "g" "m" "s" 2; "c" "d" "i" "r" "s" "y" 2; "d" "b" "r" 2; "e" "p" "x" 2;
"a" "b" "f" "h" "i" "m" "r" "s" "x" 1; "b" "g" "m" "s" 2; "c" "d" "i" "r" "s" "y" 2; "d" "b" "r" 2; "e" "p" "x" 2;
"a" "b" "f" "h" "i" "m" "r" "s" "x" 1; "b" "g" "m" "s" 2; "c" "d" "i" "r" "s" "y" 2; "d" "b" "r" 2; "e" "p" "x" 2;
"a" "b" "f" "h" "i" "m" "r" "s" "x" 1; "b" "g" "m" "s" 2; "c" "d" "i" "r" "s" "y" 2; "d" "b" "r" 2; "e" "p" "x" 2;
"a" "b" "f" "h" "i" "m" "r" "s" "x" 1; "b" "g" "m" "s" 2; "c" "d" "i" "r" "s" "y" 2; "d" "b" "r" 2; "e" "p" "x" 2;
"a" "b" "f" "h" "i" "m" "r" "s" "x" 1; "b" "g" "m" "s" 2; "c" "d" "i" "r" "s" "y" 2; "d" "b" "r" 2; "e" "p" "x" 2;
"a" "b" "f" "h" "i" "m" "r" "s" "x" 1; "b" "g" "m" "s" 2; "c" "d" "i" "r" "s" "y" 2; "d" "b" "r" 2; "e" "p" "x" 2;
"a" "b" "c" "f" "h" "i" "m" "p" "r" "s" "x" 1; "b" "g" "m" "s" 2; "c" "d" "i" "r" "s" "y" 2; "d" "b" "f" "r" 2; "e" "p" "x" 2;
"a" "b" "c" "f" "h" "i" "m" "p" "r" "s" "x" 1; "b" "g" "m" "s" 2; "c" "d" "i" "r" "s" "y" 2; "d" "b" "f" "r" 2; "e" "p" "x" 2;
"a" "b" "c" "f" "h" "i" "m" "p" "r" "s" "x" 1; "b" "g" "m" "s" 2; "c" "d" "i" "r" "s" "y" 2; "d" "b" "f" "r" 2; "e" "p" "x" 2;
"a" "b" "c" "f" "h" "i" "m" "p" "r" "s" "x" 1; "b" "g" "m" "s" "z" 2; "c" "d" "i" "r" "s" "y" 2; "d" "b" "f" "r" 2; "e" "p" "x" 2;
"a" "b" "c" "f" "h" "i" "m" "p" "r" "s" "x" 1; "b" "g" "m" "s" "z" 2; "c" "d" "i" "r" "s" "y" 2; "d" "b" "f" "r" 2; "e" "p" "x" 2;
"a" "b" "c" "f" "h" "i" "m" "p" "r" "s" "x" 1; "b" "g" "m" "s" "z" 2; "c" "d" "i" "r" "s" "y" 2; "d" "b" "f" "r" 2; "e" "p" "x" 2;
"a" "b" "c" "f" "h" "i" "m" "p" "r" "s" "x" 1; "b" "g" "m" "s" "z" 2; "c" "d" "i" "r" "s" "y" 2; "d" "b" "f" "r" 2; "e" "p" "x" 2;
"a" "b" "c" "f" "h" "i" "m" "n" "p" "r" "s" "x" 1; "b" "g" "m" "s" "z" 2; "c" "d" "i" "r" "s" "y" 2; "d" "b" "f" "r" 2; "e" "p" "x" 2;
"a" "b" "c" "f" "h" "i" "m" "n" "p" "r" "s" "x" 1; "b" "g" "m" "s" "z" 2; "c" "d" "i" "r" "s" "y" 2; "d" "b" "f" "r" 2; "e" "p" "x" 2;
"a" "b" "c" "f" "h" "i" "m" "n" "p" "r" "s" "x" 1; "b" "g" "m" "s" "z" 2; "c" "d" "i" "r" "s" "y" 2; "d" "b" "f" "r" "w" 2; "e" "p" "x" 2;
"a" "b" "c" "f" "h" "i" "m" "n" "p" "r" "s" "x" 1; "b" "g" "m" "q" "s" "z" 2; "c" "d" "i" "r" "s" "y" 2; "d" "b" "f" "r" "w" 2; "e" "p" "x" 2;
"a" "b" "c" "f" "h" "i" "m" "n" "p" "r" "s" "x" 1; "b" "g" "m" "q" "s" "z" 2; "c" "d" "i" "r" "s" "y" 2; "d" "b" "f" "r" "w" 2; "e" "p" "x" 2;
"a" "b" "c" "f" "h" "i" "m" "n" "p" "r" "s" "x" 1; "b" "g" "m" "q" "s" "z" 2; "c" "d" "i" "r" "s" "y" 2; "d" "b" "f" "r" "w" 2; "e" "p" "x" 2;
"a" "b" "c" "f" "h" "i" "m" "n" "p" "r" "s" "x" 1; "b" "g" "m" "q" "s" "z" 2; "c" "d" "i" "r" "s" "y" 2; "d" "b" "f" "r" "w" 2; "e" "p" "x" 2;
"a" "b" "c" "f" "h" "i" "m" "n" "p" "r" "s" "x" 1; "b" "g" "m" "q" "s" "z" 2; "c" "d" "i" "r" "s" "y" 2; "d" "b" "f" "r" "w" 2; "e" "p" "q" "x" 2;
"a" "b" "c" "f" "h" "i" "m" "n" "p" "r" "s" "x" 1; "b" "g" "m" "q" "s" "z" 2; "c" "d" "i" "r" "s" "y" 2; "d" "b" "f" "r" "w" 2; "e" "p" "q" "x" 2;
"a" "b" "c" "f" "h" "i" "m" "n" "p" "r" "s" "u" "x" 1; "b" "g" "m" "q" "s" "z" 2; "c" "d" "i" "r" "s" "y" 2; "d" "b" "f" "r" "w" 2; "e" "p" "q" "t" "x" 2;
"a" "b" "c" "f" "h" "i" "m" "n" "p" "r" "s" "u" "x" 1; "b" "m" 3; "c" "d" "i" "r" "s" "y" 2; "d" "b" "f" "r" "w" 2; "e" "p" "q" "t" "x" 2;
"a" "b" "c" "f" "h" "i" "m" "n" "p" "r" "s" "u" "x" 1; "b" "m" 3; "c" "d" 3; "d" "f" 3; "e" "p" "q" "t" "x" 2;
"a" "b" "c" "f" "h" "i" "m" "n" "p" "r" "s" "u" "x" 1; "b" "m" 3; "c" "d" 3; "d" "f" 3; "e" "p" "q" "t" "x" 2;
"a" "b" "c" "f" "h" "i" "m" "n" "p" "r" "s" "u" "x" 1; "b" "m" 3; "c" "d" 3; "d" "f" 3; "e" "p" "q" "t" "x" 2;
"a" "b" 2; "b" "m" 3; "c" "d" 3; "d" "f" 3; "e" "p" "q" "t" "x" 2;
"a" "b" 2; "b" "m" 3; "c" "d" 3; "d" "f" 3; "e" "p" "q" "t" "x" 2;
"a" "b" 2; "b" "m" 3; "c" "d" 3; "d" "f" 3; "e" "p" "q" "t" "x" 2;
"a" "b" 2; "b" "m" 3; "c" "d" 3; "d" "f" 3; "e" "p" "q" "t" "x" 2;
"a" "b" 2; "b" "m" 3; "c" "d" 3; "d" "f" 3; "e" "p" "q" "t" "x" 2;
"a" "b" 2; "b" "m" 3; "c" "d" 3; "d" "f" 3; "e" "p" "q" "t" "x" 2;
"a" "b" 2; "b" "m" 3; "c" "d" 3; "d" "f" 3; "e" "p" "q" "t" "x" 2;
"a" "b" 2; "b" "m" 3; "c" "d" 3; "d" "f" 3; "e" "p" "q" "t" "x" 2;
"a" "b" 2; "b" "m" 3; "c" "d" 3; "d" "f" 3; "e" "p" "q" "t" "x" 2;
"a" "b" 2; "b" "m" 3; "c" "d" 3; "d" "f" 3; "e" "p" "q" "t" "x" 2;
"a" "b" 2; "b" "m" 3; "c" "d" "s" 3; "d" "f" 3; "e" "p" "q" "t" "x" 2;
"a" "b" 2; "b" "m" 3; "c" "d" "s" 3; "d" "f" 3; "e" "p" "q" "t" "x" 2;
"a" "b" 2; "b" "m" 3; "c" "s" 4; "d" "f" 3; "e" "p" "q" "t" "x" 2;
"a" "b" 2; "b" "m" 3; "c" "s" 4; "d" "f" 3; "e" "p" "q" "t" "x" 2;
"a" "b" 2; "b" "m" 3; "c" "s" 4; "d" "f" 3; "e" "f" "p" "q" "t" "x" 2;
"a" "b" 2; "b" "m" 3; "c" "s" 4; "d" "f" 3; "e" "f" "p" "q" "t" "x" 2;
"a" "b" 2; "b" "m" 3; "c" "s" 4; "d" "f" 3; "e" "f" "p" "q" "t" "x" 2;
"a" "b" 2; "b" "m" 3; "c" "s" 4; "d" "f" 3; "e" "f" "p" "q" "t" "x" 2;
"a" "b" 2; "b" "m" 3; "c" "s" 4; "d" "f" 3; "e" "f" "p" "q" "t" "x" 2;
"a" "b" 2; "b" "m" 3; "c" "s" 4; "d" "f" 3; "e" "f" "p" "q" "t" "x" 2;
"a" "b" 2; "b" "m" 3; "c" "s" 4; "d" "f" 3; "e" "f" "p" "q" "t" "x" 2;
"a" "b" 2; "b" "m" 3; "c" "s" 4; "d" "f" 3; "e" "f" "p" "q" "t" "x" 2;
"a" "b" 2; "b" "m" 3; "c" "s" 4; "d" "f" 3; "e" "f" "p" "q" "t" "x" 2;
"a" "b" 2; "b" "m" 3; "c" "s" 4; "d" "f" 3; "e" "f" "p" "q" "t" "x" 2;
"a" "b" 2; "b" "m" 3; "c" "s" 4; "d" "f" 3; "e" "f" "p" "q" "t" "x" 2;
"a" "b" 2; "b" "m" 3; "c" "s" 4; "d" "f" 3; "e" "f" "p" "q" "t" "x" 2;
"a" "b" 2; "b" "m" 3; "c" "s" 4; "d" "f" 3; "e" "f" "p" "q" "t" "x" 2;
"a" "b" 2; "b" "m" 3; "c" "s" 4; "d" "f" 3; "e" "f" "p" "q" "t" "x" 2;
"a" "b" 2; "b" "m" 3; "c" "s" 4; "d" "b" "f" 3; "e" "f" "p" "q" "t" "x" 2;
"a" "b" 2; "b" "m" 3; "c" "s" 4; "d" "b" "f" 3; "e" "f" "p" "q" "t" "x" 2;
"a" "b" 2; "b" "m" 3; "c" "s" 4; "d" "b" "f" 3; "e" "f" "p" "q" "t" "x" 2;
"a" "b" 2; "b" "m" 3; "c" "s" 4; "d" "b" "f" 3; "e" "f" "p" "q" "t" "x" 2;
"a" "b" 2; "b" "m" 3; "c" "s" 4; "d" "b" "f" 3; "e" "f" "p" "q" "t" "x" 2;
"a" "b" "r" 2; "b" "m" 3; "c" "s" 4; "d" "b" "f" 3; "e" "f" "p" "q" "t" "x" 2;
"a" "b" "r" 2; "b" "m" 3; "c" "s" 4; "d" "b" "f" 3; "e" "f" "p" "q" "t" "x" 2;
"a" "b" "r" 2; "b" "g" "m" 3; "c" "s" 4; "d" "b" "f" 3; "e" "f" "p" "q" "t" "x" 2;
"a" "b" "r" 2; "b" "g" "m" 3; "c" "s" 4; "d" "b" "f" 3; "e" "f" "p" "q" "t" "x" 2;
"a" "b" "r" 2; "b" "g" "m" 3; "c" "s" 4; "d" "b" "f" 3; "e" "f" "p" "q" "s" "t" "x" 2;
"a" "b" "r" 2; "b" "g" "m" 3; "c" "s" 4; "d" "b" "f" 3; "e" "f" "p" "q" "s" "t" "x" 2;
"a" "b" "r" 2; "b" "g" "m" 3; "c" "s" 4; "d" "b" "f" 3; "e" "f" "p" "q" "s" "t" "x" 2;
"a" "b" "r" 2; "b" "g" "m" 3; "c" "s" 4; "d" "b" "f" 3; "e" "f" "p" "q" "s" "t" "x" 2;
"a" "b" "r" 2; "b" "g" "m" 3; "c" "s" 4; "d" "b" "f" 3; "e" "f" "p" "q" "s" "t" "x" 2;
"a" "b" "r" 2; "b" "g" "m" 3; "c" "s" 4; "d" "b" "f" 3; "e" "f" "p" "q" "s" "t" "x" 2;
"a" "b" "r" 2; "b" "g" "m" 3; "c" "s" 4; "d" "b" "f" 3; "e" "f" "p" "q" "s" "t" "x" 2;
"a" "b" "r" 2; "b" "g" "m" 3; "c" "s" 4; "d" "b" "f" 3; "e" "f" "p" "q" "s" "t" "x" 2;
"a" "b" "r" 2; "b" "g" "m" 3; "c" "s" 4; "d" "b" "f" 3; "e" "f" "p" "q" "s" "t" "x" 2;
"a" "b" "r" 2; "b" "g" "m" 3; "c" "s" 4; "d" "b" "f" 3; "e" "c" "f" "p" "q" "s" "t" "x" 2;
"a" "b" "r" 2; "b" "g" "m" 3; "c" "s" 4; "d" "b" "f" "w" 3; "e" "c" "f" "p" "q" "s" "t" "x" 2;
"a" "b" "r" 2; "b" "g" "m" 3; "c" "s" 4; "d" "b" "f" "w" 3; "e" "c" "f" "p" "q" "s" "t" "x" 2;
"a" "b" "r" 2; "b" "g" "m" 3; "c" "s" 4; "d" "b" "f" "w" 3; "e" "f" 3;
"a" "b" "r" 2; "b" "g" "m" 3; "c" "s" 4; "d" "b" "f" "o" "r" "w" 3; "e" "f" 3;
"a" "b" "r" 2; "b" "g" "m" 3; "c" "s" 4; "d" "b" "f" "o" "r" "w" 3; "e" "f" 3;
"a" "b" "r" 2; "b" "g" "m" 3; "c" "s" 4; "d" "b" "f" "o" "r" "w" 3; "e" "f" 3;
"a" "b" "r" 2; "b" "g" "m" 3; "c" "s" 4; "d" "b" "f" "o" "r" "w" "x" 3; "e" "f" 3;
"a" "b" "r" 2; "b" "g" "m" "z" 3; "c" "s" 4; "d" "b" "f" "o" "r" "w" "x" 3; "e" "f" 3;
"a" "b" "r" 2; "b" "g" "m" "z" 3; "c" "s" 4; "d" "b" "f" "o" "r" "w" "x" 3; "e" "f" 3;
"a" "b" "r" 2; "b" "g" "m" "z" 3; "c" "s" 4; "d" "b" "f" "o" "r" "w" "x" 3; "e" "f" 3;
"a" "b" "r" 2; "b" "g" "m" "z" 3; "c" "s" 4; "d" "b" "f" "o" "r" "w" "x" 3; "e" "f" 3;
"a" "b" "r" 2; "b" "g" "m" "z" 3; "c" "s" 4; "d" "b" "f" "o" "r" "w" "x" 3; "e" "f" 3;
"a" "b" "r" 2; "b" "g" "m" "z" 3; "c" "s" 4; "d" "b" "f" "o" "r" "w" "x" 3; "e" "f" "x" 3;
"a" "b" "r" 2; "b" "g" "m" "z" 3; "c" "s" 4; "d" "b" "f" "o" "r" "w" "x" 3; "e" "f" "x" 3;
