none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"c" "x" 1;
"c" "x" 1;
"c" "x" 1;
"c" "x" 1;
"c" "x" 1;
"a" "p" 1; "c" "x" 1;
"a" "p" 1; "c" "x" 1;
"a" "p" 1; "c" "x" 1;
"a" "p" 1; "c" "x" 1;
"a" "p" 1; "c" "x" 1;
"a" "p" 1; "c" "x" 1;
"a" "p" 1; "b" "k" 1; "c" "o" "x" 1; "d" "s" 1;
"a" "p" 1; "b" "k" 1; "c" "o" "x" 1; "d" "e" "s" 1;
"a" "p" 1; "b" "k" 1; "c" "o" "x" 1; "d" "e" "s" 1;
"a" "p" 1; "b" "k" 1; "c" "o" "x" 1; "d" "e" "s" 1;
"a" "p" 1; "b" "k" 1; "c" "o" "x" 1; "d" "e" "s" "v" 1;
"a" "p" 1; "b" "k" 1; "c" "o" "x" 1; "d" "e" "s" "v" 1;
"a" "p" 1; "b" "k" 1; "c" "o" "x" 1; "d" "e" "s" "v" 1;
"a" "p" 1; "b" "k" 1; "c" "o" "x" 1; "d" "e" "s" "v" 1;
"a" "p" 1; "b" "k" 1; "c" "o" "x" 1; "d" "e" "s" "v" 1;
"a" "p" 1; "b" "k" 1; "c" "o" "x" 1; "d" "e" "s" "v" 1;
"a" "p" 1; "b" "k" 1; "c" "m" "o" "x" 1; "d" "e" "s" "v" 1;
"a" "p" 1; "b" "k" 1; "c" "m" "o" "x" 1; "d" "e" "s" "v" 1;
"a" "p" 1; "b" "k" 1; "c" "m" "o" "x" 1; "d" "e" "s" "v" 1;
"a" "p" 1; "b" "k" 1; "c" "m" "o" "x" 1; "d" "e" "s" "v" 1;
"a" "p" 1; "b" "k" 1; "c" "m" "o" "x" 1; "d" "e" "s" "v" 1;
"a" "k" "l" "n" "p" "s" "w" 1; "b" "k" "r" 1; "c" "e" "m" "o" "q" "t" "x" 1; "d" "e" "j" "p" "s" "v" 1; "e" "c" "m" "q" "r" 1;
"a" "k" "l" "n" "p" "s" "w" 1; "b" "k" "r" 1; "c" "e" "m" "o" "q" "t" "x" 1; "d" "e" "j" "p" "s" "v" 1; "e" "c" "m" "q" "r" 1;
"a" "k" "l" "n" "p" "s" "w" 1; "b" "k" "r" "s" 1; "c" "e" "m" "o" "q" "t" "x" 1; "d" "e" "j" "p" "s" "v" 1; "e" "c" "m" "q" "r" 1;
"a" "k" "l" "n" "p" "s" "w" 1; "b" "k" "r" "s" 1; "c" "e" "m" "o" "q" "t" "x" 1; "d" "e" "j" "p" "s" "v" 1; "e" "c" "m" "q" "r" 1;
"a" "k" "l" "n" "p" "s" "w" 1; "b" "k" "r" "s" 1; "c" "e" "m" "o" "q" "t" "x" 1; "d" "e" "j" "p" "s" "v" 1; "e" "c" "m" "q" "r" 1;
"a" "k" "l" "n" "p" "s" "w" 1; "b" "k" "r" "s" 1; "c" "e" "m" "o" "q" "t" "x" 1; "d" "e" "j" "p" "s" "v" 1; "e" "c" "m" "q" "r" 1;
"a" "k" "l" "n" "p" "s" "w" 1; "b" "k" "r" "s" 1; "c" "e" "m" "o" "q" "t" "x" 1; "d" "e" "j" "p" "s" "v" 1; "e" "c" "m" "q" "r" 1;
"a" "k" "l" "n" "p" "s" "w" 1; "b" "k" "r" "s" 1; "c" "e" "m" "o" "q" "t" "x" 1; "d" "e" "j" "p" "s" "v" 1; "e" "c" "m" "q" "r" 1;
"a" "k" "l" "n" "p" "s" "w" 1; "b" "k" "n" "r" "s" 1; "c" "e" "m" "o" "q" "t" "x" 1; "d" "j" 2; "e" "m" 2;
"a" "d" "k" "l" "n" "p" "s" "w" 1; "b" "k" "n" "q" "r" "s" 1; "c" "e" "m" "o" "q" "t" "x" 1; "d" "e" "j" 2; "e" "m" 2;
"a" "d" "k" "l" "n" "p" "s" "w" 1; "b" "k" "n" "q" "r" "s" 1; "c" "e" "m" "o" "q" "t" "x" 1; "d" "e" "j" 2; "e" "m" 2;
"a" "d" "k" "l" "n" "p" "s" "w" 1; "b" "k" "n" "q" "r" "s" 1; "c" "e" "j" "m" "o" "q" "t" "x" 1; "d" "e" "j" 2; "e" "m" 2;
"a" "d" "k" "l" "n" "p" "s" "w" 1; "b" "k" "n" "q" "r" "s" 1; "c" "e" "j" "m" "o" "q" "t" "x" 1; "d" "e" "j" 2; "e" "m" 3;
"a" "d" "j" "k" "l" "n" "p" "s" "w" "z" 1; "b" "c" "d" "k" "n" "q" "r" "s" "z" 1; "c" "e" "j" "m" "o" "q" "t" "x" 1; "d" "e" "j" 2; "e" "m" 3;
"a" "d" "j" "k" "l" "n" "p" "s" "w" "z" 1; "b" "c" "d" "k" "n" "q" "r" "s" "z" 1; "c" "e" "j" "m" "o" "q" "t" "x" 1; "d" "e" "j" 2; "e" "m" 3;
"a" "d" "j" "k" "l" "n" "p" "s" "w" "z" 1; "b" "s" 2; "c" "e" "j" "m" "o" "q" "t" "x" 1; "d" "e" "j" 2; "e" "m" 3;
"a" "p" 2; "b" "s" 2; "c" "e" "j" "m" "o" "q" "t" "x" 1; "d" "e" "j" 2; "e" "m" 3;
"a" "p" 2; "b" "s" 2; "c" "e" "j" "m" "o" "q" "t" "x" 1; "d" "e" "j" 2; "e" "m" 3;
"a" "p" 2; "b" "s" 2; "c" "e" "j" "m" "o" "q" "t" "x" 1; "d" "e" "j" 2; "e" "m" 3;
"a" "p" 2; "b" "s" 2; "c" "e" "j" "m" "o" "q" "t" "x" 1; "d" "e" "j" 2; "e" "m" 3;
"a" "p" 2; "b" "s" 2; "c" "e" "j" "m" "o" "q" "t" "x" 1; "d" "e" "j" 2; "e" "m" 3;
"a" "p" 2; "b" "s" 2; "c" "e" "j" "m" "o" "q" "t" "x" 1; "d" "e" "j" 2; "e" "m" 3;
"a" "p" 2; "b" "s" 2; "c" "e" "j" "m" "o" "q" "t" "x" 1; "d" "e" "j" 2; "e" "m" 3;
"a" "p" 2; "b" "s" 2; "c" "e" "j" "m" "o" "q" "t" "x" 1; "d" "e" "j" 2; "e" "m" 3;
"a" "p" 2; "b" "s" 2; "c" "e" "j" "m" "o" "q" "t" "x" 1; "d" "e" "j" 2; "e" "m" 3;
"a" "p" 2; "b" "s" 2; "c" "e" "j" "m" "o" "q" "t" "x" 1; "d" "e" 3; "e" "m" 3;
"a" "p" 2; "b" "s" 2; "c" "e" "j" "m" "o" "q" "t" "x" 1; "d" "e" 3; "e" "m" 3;
"a" "p" 2; "b" "s" 2; "c" "e" "j" "m" "o" "q" "t" "x" 1; "d" "e" 3; "e" "m" 3;
"a" "p" 2; "b" "s" 2; "c" "e" "j" "m" "o" "q" "t" "x" 1; "d" "e" 3; "e" "m" 3;
"a" "p" "s" 2; "b" "s" 2; "c" "e" "j" "m" "o" "q" "t" "v" "x" 1; "d" "e" 3; "e" "m" 3;
"a" "p" "s" 2; "b" "s" 2; "c" "e" "j" "m" "o" "q" "t" "v" "x" 1; "d" "e" 3; "e" "m" 3;
"a" "p" "s" 2; "b" "s" 2; "c" "e" "j" "m" "o" "q" "t" "v" "x" 1; "d" "e" 3; "e" "m" 3;
"a" "c" "p" "s" 2; "b" "s" 2; "c" "e" "j" "m" "o" "q" "t" "v" "x" 1; "d" "e" 3; "e" "m" 3;
"a" "c" "p" "s" 2; "b" "s" 2; "c" "e" "j" "m" "o" "q" "t" "v" "x" 1; "d" "e" 3; "e" "m" 3;
"a" "c" "p" "s" 2; "b" "s" 2; "c" "e" "j" "m" "o" "q" "t" "v" "x" 1; "d" "e" 3; "e" "m" 3;
"a" "c" "p" "s" 2; "b" "s" 2; "c" "e" "j" "m" "o" "q" "t" "v" "x" 1; "d" "e" 3; "e" "m" 3;
"a" "c" "p" "s" 2; "b" "s" 2; "c" "e" "j" "m" "o" "q" "t" "v" "x" 1; "d" "e" 3; "e" "m" 3;
"a" "c" "p" "s" 2; "b" "s" 2; "c" "e" "j" "m" "o" "q" "t" "v" "x" 1; "d" "e" 3; "e" "m" 3;
"a" "c" "p" "s" 2; "b" "s" 2; "c" "e" "j" "m" "o" "q" "t" "v" "x" 1; "d" "e" 3; "e" "m" 3;
"a" "c" "p" "s" 2; "b" "s" 2; "c" "e" "j" "m" "o" "q" "t" "v" "x" 1; "d" "e" 3; "e" "m" 3;
"a" "c" "p" "s" 2; "b" "q" "s" 2; "c" "e" "j" "m" "o" "q" "t" "v" "x" 1; "d" "e" 3; "e" "m" 3;
"a" "c" "p" "s" 2; "b" "q" "s" 2; "c" "e" "j" "m" "o" "q" "t" "v" "x" 1; "d" "e" 3; "e" "m" 3;
"a" "c" "p" "s" 2; "b" "q" "s" 2; "c" "e" "j" "m" "o" "q" "t" "v" "x" 1; "d" "e" 3; "e" "m" 3;
"a" "c" "p" "s" 2; "b" "q" "s" "u" 2; "c" "d" "e" "j" "m" "o" "q" "t" "v" "x" 1; "d" "e" 3; "e" "m" 3;
"a" "c" "p" "s" 2; "b" "q" "s" "u" 2; "c" "d" "e" "j" "m" "o" "q" "t" "v" "x" 1; "d" "e" 3; "e" "m" 3;
"a" "a" "c" "p" "s" 2; "b" "q" "s" "u" 2; "c" "b" "d" "e" "j" "m" "o" "q" "t" "v" "x" 1; "d" "e" 3; "e" "m" 3;
"a" "a" "c" "p" "s" 2; "b" "q" "s" "u" 2; "c" "b" "d" "e" "j" "m" "o" "q" "t" "v" "x" 1; "d" "e" 3; "e" "m" 3;
"a" "a" "c" "n" "p" "s" 2; "b" "q" "s" "u" 2; "c" "b" "d" "e" "j" "l" "m" "o" "q" "t" "v" "x" 1; "d" "e" 3; "e" "m" 3;
"a" "a" "c" "n" "p" "s" 2; "b" "q" "s" "u" 2; "c" "b" "d" "e" "j" "l" "m" "o" "q" "t" "v" "x" 1; "d" "e" 3; "e" "m" 3;
"a" "a" "c" "n" "p" "s" 2; "b" "q" "s" "u" 2; "c" "b" "d" "e" "j" "l" "m" "o" "q" "t" "v" "x" 1; "d" "e" 3; "e" "e" "m" 3;
"a" "a" "c" "n" "p" "s" 2; "b" "q" "s" "u" 2; "c" "b" "d" "e" "j" "l" "m" "o" "q" "t" "v" "x" 1; "d" "e" 3; "e" "e" "m" 3;
"a" "a" "c" "n" "p" "s" 2; "b" "q" "s" "u" 2; "c" "b" "d" "e" "j" "l" "m" "o" "q" "t" "v" "x" 1; "d" "e" 3; "e" "e" "m" 3;
"a" "a" "c" "n" "p" "s" 2; "b" "q" "s" "u" 2; "c" "b" "d" "e" "j" "l" "m" "o" "q" "t" "v" "x" 1; "d" "e" 3; "e" "e" "m" 3;
"a" "a" "c" "n" "p" "s" 2; "b" "q" "s" "u" 2; "c" "b" "d" "e" "j" "l" "m" "o" "q" "t" "v" "x" 1; "d" "e" 3; "e" "e" "m" 3;
"a" "a" "c" "n" "p" "s" 2; "b" "q" "s" "u" 2; "c" "b" "d" "e" "j" "l" "m" "o" "q" "t" "v" "x" 1; "d" "e" 3; "e" "e" "m" 3;
"a" "n" 3; "b" "q" "s" "u" 2; "c" "b" "d" "e" "j" "l" "m" "o" "q" "t" "v" "x" 1; "d" "e" 3; "e" "e" "m" 3;
"a" "n" 3; "b" "q" "s" "u" 2; "c" "b" "d" "e" "j" "l" "m" "o" "q" "t" "v" "x" 1; "d" "e" 3; "e" "e" "m" 3;
"a" "n" 3; "b" "q" "s" "u" 2; "c" "b" "d" "e" "j" "l" "m" "o" "q" "t" "v" "x" 1; "d" "e" 3; "e" "e" "m" 3;
"a" "n" 3; "b" "q" "s" "u" 2; "c" "b" "d" "e" "j" "l" "m" "o" "q" "t" "v" "x" 1; "d" "e" 3; "e" "e" "m" 3;
"a" "n" 3; "b" "q" "s" "u" 2; "c" "b" "d" "e" "j" "l" "m" "o" "q" "t" "v" "x" 1; "d" "e" 3; "e" "e" "m" 3;
"a" "n" 3; "b" "u" 3; "c" "b" "d" "e" "j" "l" "m" "o" "q" "t" "v" "x" 1; "d" "e" 3; "e" "e" "m" 3;
"a" "n" 3; "b" "u" 3; "c" "b" "d" "e" "j" "l" "m" "o" "q" "t" "v" "x" 1; "d" "e" 3; "e" "e" "m" 3;
"a" "n" 3; "b" "u" 3; "c" "b" "d" "e" "j" "l" "m" "o" "q" "t" "v" "x" 1; "d" "e" 3; "e" "e" "m" 3;
"a" "n" 3; "b" "u" 3; "c" "b" "d" "e" "j" "l" "m" "o" "q" "t" "v" "x" 1; "d" "e" 3; "e" "e" "m" 3;
"a" "n" 3; "b" "u" 3; "c" "b" "d" "e" "j" "l" "m" "n" "o" "q" "t" "v" "w" "x" 1; "d" "e" 3; "e" "e" "m" 3;
"a" "n" 3; "b" "u" 3; "c" "b" "d" "e" "j" "l" "m" "n" "o" "q" "t" "v" "w" "x" 1; "d" "e" 3; "e" "e" "m" 3;
"a" "n" 3; "b" "u" 3; "c" "b" "d" "e" "j" "l" "m" "n" "o" "q" "t" "v" "w" "x" 1; "d" "e" 3; "e" "e" "m" 3;
"a" "n" 3; "b" "u" 3; "c" "b" "d" "e" "j" "l" "m" "n" "o" "q" "t" "v" "w" "x" 1; "d" "e" 3; "e" "e" "m" 3;
"a" "n" 3; "b" "u" 3; "c" "b" "d" "e" "j" "l" "m" "n" "o" "q" "t" "v" "w" "x" 1; "d" "e" 3; "e" "e" "m" 3;
"a" "n" 3; "b" "u" 3; "c" "b" "d" "e" "j" "l" "m" "n" "o" "q" "t" "v" "w" "x" 1; "d" "e" 3; "e" "e" "m" 3;
"a" "n" 3; "b" "u" 3; "c" "b" "d" "e" "j" "l" "m" "n" "o" "q" "t" "v" "w" "x" 1; "d" "e" 3; "e" "e" "m" 3;
"a" "n" 3; "b" "u" 3; "c" "b" "d" "e" "j" "l" "m" "n" "o" "q" "t" "v" "w" "x" 1; "d" "e" 3; "e" "e" "m" 3;
"a" "n" 3; "b" "u" 4; "c" "b" "d" "e" "j" "l" "m" "n" "o" "q" "t" "v" "w" "x" 1; "d" "e" 3; "e" "e" "m" 3;
"a" "n" 3; "b" "u" 4; "c" "b" "d" "e" "j" "l" "m" "n" "o" "q" "t" "v" "w" "x" 1; "d" "e" 3; "e" "e" "m" 3;
"a" "n" 3; "b" "u" 4; "c" "b" "d" "e" "j" "l" "m" "n" "o" "q" "t" "v" "w" "x" 1; "d" "e" 3; "e" "e" "m" 3;
"a" "n" 3; "b" "u" 4; "c" "b" "d" "e" "j" "l" "m" "n" "o" "q" "t" "v" "w" "x" 1; "d" "e" 3; "e" "e" "m" 3;
"a" "n" 3; "b" "u" 4; "c" "b" "d" "e" "j" "l" "m" "n" "o" "q" "t" "v" "w" "x" 1; "d" "e" 3; "e" "e" "m" 3;
"a" "n" 3; "b" "u" 4; "c" "b" "d" "e" "j" "l" "m" "n" "o" "q" "t" "v" "w" "x" 1; "d" "e" 3; "e" "e" "m" 3;
"a" "n" 3; "b" "u" 4; "c" "b" "d" "e" "j" "l" "m" "n" "o" "q" "t" "v" "w" "x" 1; "d" "e" 3; "e" "e" "m" 3;
"a" "n" 3; "b" "u" 4; "c" "b" "d" "e" "j" "l" "m" "n" "o" "q" "t" "v" "w" "x" 1; "d" "e" 3; "e" "e" "m" 3;
"a" "n" 3; "b" "u" 4; "c" "b" "d" "e" "j" "l" "m" "n" "o" "q" "t" "v" "w" "x" 1; "d" "e" 3; "e" "e" "m" "x" 3;
"a" "n" 3; "b" "u" 4; "c" "b" "d" "e" "j" "l" "m" "n" "o" "q" "t" "v" "w" "x" 1; "d" "e" 3; "e" "e" "m" "x" 3;
"a" "n" 3; "b" "u" 4; "c" "b" "d" "e" "j" "l" "m" "n" "o" "q" "t" "v" "w" "x" 1; "d" "e" 3; "e" "e" "m" "x" 3;
"a" "n" 3; "b" "u" 4; "c" "b" "d" "e" "j" "l" "m" "n" "o" "q" "t" "v" "w" "x" 1; "d" "e" 3; "e" "e" "m" "x" 3;
"a" "n" 3; "b" "u" 4; "c" "b" "d" "e" "j" "l" "m" "n" "o" "q" "t" "v" "w" "x" 1; "d" "e" 3; "e" "e" "m" "x" 3;
"a" "n" 3; "b" "u" 4; "c" "b" "d" "e" "j" "l" "m" "n" "o" "q" "t" "v" "w" "x" 1; "d" "e" 3; "e" "e" "m" "x" 3;
"a" "n" 3; "b" "u" 4; "c" "b" "d" "e" "j" "l" "m" "n" "o" "q" "t" "v" "w" "x" 1; "d" "e" 3; "e" "e" "m" "x" 3;
"a" "n" 3; "b" "u" 4; "c" "b" "d" "e" "j" "l" "m" "n" "o" "q" "t" "v" "w" "x" 1; "d" "e" 3; "e" "e" "m" "x" 3;
"a" "n" 3; "b" "u" 4; "c" "b" "d" "e" "j" "l" "m" "n" "o" "q" "t" "v" "w" "x" 1; "d" "e" 3; "e" "e" "m" "x" 3;
"a" "n" 3; "b" "u" 4; "c" "b" "d" "e" "j" "l" "m" "n" "o" "q" "t" "v" "w" "x" 1; "d" "e" 3; "e" "e" "m" "x" 3;
"a" "n" 3; "b" "u" 4; "c" "b" "d" "e" "j" "l" "m" "n" "o" "q" "t" "v" "w" "x" 1; "d" "e" 3; "e" "e" "m" "x" 3;
"a" "n" 3; "b" "u" 4; "c" "b" "d" "e" "j" "l" "m" "n" "o" "q" "t" "v" "w" "x" 1; "d" "e" 3; "e" "e" "m" "x" 3;
"a" "n" 3; "b" "u" 4; "c" "b" "d" "e" "j" "l" "m" "n" "o" "q" "t" "v" "w" "x" 1; "d" "e" 3; "e" "e" "m" "x" 3;
"a" "n" 3; "b" "u" 4; "c" "b" "d" "e" "i" "j" "l" "m" "n" "o" "q" "t" "v" "w" "x" 1; "d" "e" 3; "e" "e" "m" "x" 3;
"a" "n" 3; "b" "u" 4; "c" "b" "d" "e" "i" "j" "l" "m" "n" "o" "q" "t" "v" "w" "x" 1; "d" "e" 3; "e" "e" "m" "x" 3;
"a" "n" 3; "b" "u" 4; "c" "b" "d" "e" "i" "j" "l" "m" "n" "o" "q" "t" "v" "w" "x" 1; "d" "e" 3; "e" "e" "m" "x" 3;
"a" "n" 3; "b" "u" 4; "c" "b" "d" "e" "i" "j" "l" "m" "n" "o" "q" "t" "v" "w" "x" 1; "d" "e" 3; "e" "e" "m" "x" 3;
"a" "n" 3; "b" "u" 4; "c" "b" "d" "e" "i" "j" "l" "m" "n" "o" "q" "t" "v" "w" "x" 1; "d" "e" 3; "e" "e" "m" "x" 3;
"a" "n" 3; "b" "u" 4; "c" "i" 2; "d" "e" 3; "e" "e" "m" "x" 3;
"a" "n" 3; "b" "u" 4; "c" "i" 2; "d" "e" 3; "e" "e" "m" "x" 3;
"a" "n" 3; "b" "u" 4; "c" "b" "i" 2; "d" "e" 3; "e" "e" "m" "x" 3;
"a" "n" 3; "b" "u" 4; "c" "b" "i" 2; "d" "e" 3; "e" "e" "m" "x" 3;
"a" "n" 3; "b" "u" 4; "c" "b" "i" 2; "d" "e" 3; "e" "e" "m" "x" 3;
"a" "n" 3; "b" "u" 4; "c" "b" "i" 2; "d" "e" 3; "e" "e" "m" "x" 3;
"a" "n" 3; "b" "u" 4; "c" "b" "i" 2; "d" "e" 3; "e" "e" "m" "x" 3;
"a" "n" 3; "b" "u" 4; "c" "b" "i" 2; "d" "e" 3; "e" "e" "m" "x" 3;
"a" "n" 3; "b" "u" 4; "c" "b" "i" 2; "d" "e" 3; "e" "e" "m" "x" 3;
"a" "n" 3; "b" "u" 4; "c" "b" "i" 2; "d" "e" 3; "e" "e" "m" "x" 3;
"a" "n" 3; "b" "u" 4; "c" "b" "i" 2; "d" "e" 3; "e" "e" "m" "x" 3;
"a" "a" "n" 3; "b" "u" 4; "c" "b" 3; "d" "e" 3; "e" "e" "m" "x" 3;
"a" "a" "n" 3; "b" "u" 4; "c" "b" 3; "d" "e" "r" 3; "e" "e" "m" "x" 3;
"a" "a" "n" 3; "b" "u" 4; "c" "b" 3; "d" "e" "r" 3; "e" "e" "m" "x" 3;
"a" "a" "n" 3; "b" "u" 4; "c" "b" 3; "d" "e" "r" 3; "e" "e" "m" "x" 3;
"a" "a" "n" 3; "b" "u" 5; "c" "b" 3; "d" "e" "r" 3; "e" "e" "m" "x" 3;
"a" "a" "n" 3; "b" "u" 5; "c" "b" 3; "d" "e" "r" 3; "e" "e" "m" "x" 3;
"a" "a" "n" 3; "b" "u" 5; "c" "b" 3; "d" "e" "r" 3; "e" "e" "m" "x" 3;
"a" "a" "n" 3; "b" "u" 5; "c" "b" 3; "d" "e" "r" 3; "e" "e" "m" "x" 3;
"a" "a" "n" 3; "b" "u" 5; "c" "b" 3; "d" "e" "r" 3; "e" "e" "m" "x" 3;
"a" "a" "n" 3; "b" "u" 5; "c" "b" 3; "d" "e" "r" 3; "e" "e" "m" "x" 3;
"a" "a" "n" 3; "b" "u" 5; "c" "b" 3; "d" "e" "r" 3; "e" "e" "m" "x" 3;
"a" "a" "n" 3; "b" "u" 5; "c" "b" 3; "d" "e" "r" 3; "e" "e" "m" "x" 3;
"a" "a" "n" 3; "b" "u" 5; "c" "b" 3; "d" "e" "r" 3; "e" "e" "m" "x" 3;
"a" "a" "n" 3; "b" "u" 5; "c" "b" 3; "d" "e" "r" 3; "e" "e" "m" "x" 3;
"a" "a" "n" 3; "b" "u" 5; "c" "b" 3; "d" "e" "r" 3; "e" "e" "m" "x" 3;
"a" "a" "n" 3; "b" "u" 5; "c" "b" "k" 3; "d" "e" "r" 3; "e" "e" "m" "x" 3;
"a" "a" "n" 3; "b" "u" 5; "c" "b" "k" 3; "d" "e" "r" 3; "e" "e" "m" "x" 3;
"a" "a" "n" 3; "b" "u" 5; "c" "b" "k" 3; "d" "e" "r" 3; "e" "e" "m" "x" 3;
"a" "a" "n" 3; "b" "u" 5; "c" "b" 4; "d" "e" "r" 3; "e" "e" "m" "x" 3;
"a" "a" "n" 3; "b" "u" 5; "c" "b" 4; "d" "e" "r" 3; "e" "e" "m" "x" 3;
"a" "a" "n" 3; "b" "u" 5; "c" "b" 4; "d" "e" "r" 3; "e" "e" "m" "x" 3;
"a" "a" "n" 3; "b" "u" 5; "c" "b" 4; "d" "e" "r" 3; "e" "e" "m" "x" 3;
"a" "a" "n" 3; "b" "u" 5; "c" "b" 4; "d" "e" "r" 3; "e" "e" "m" "x" 3;
"a" "a" "n" 3; "b" "u" 5; "c" "b" 4; "d" "e" "r" 3; "e" "e" "m" "x" 3;
"a" "a" "n" 3; "b" "u" 5; "c" "b" 4; "d" "e" "r" 3; "e" "e" "m" "x" 3;
"a" "a" "n" 3; "b" "u" 5; "c" "b" 4; "d" "e" "r" 3; "e" "e" "m" "x" 3;
"a" "a" "n" 3; "b" "u" 5; "c" "b" 4; "d" "e" "r" 3; "e" "e" "m" "x" 3;
"a" "n" 4; "b" "u" 5; "c" "b" 4; "d" "e" "r" 3; "e" "e" "m" "x" 3;
"a" "n" 4; "b" "u" 5; "c" "b" 4; "d" "e" "r" 3; "e" "e" "m" "x" 3;
"a" "n" 4; "b" "u" 5; "c" "b" 4; "d" "e" "r" 3; "e" "e" "m" "x" 3;
"a" "n" 4; "b" "u" 5; "c" "b" 4; "d" "e" "r" 3; "e" "e" "m" "x" 3;
"a" "n" 4; "b" "u" 5; "c" "b" 4; "d" "e" "r" 3; "e" "e" "m" "x" 3;
"a" "n" 4; "b" "u" 5; "c" "b" 4; "d" "e" "r" 3; "e" "e" "m" "x" 3;
"a" "n" 4; "b" "u" 5; "c" "b" 4; "d" "e" "r" 3; "e" "e" "m" "x" 3;
"a" "n" 4; "b" "u" 5; "c" "b" 4; "d" "e" "r" 3; "e" "e" "m" "x" 3;
"a" "n" 4; "b" "u" 5; "c" "b" 4; "d" "e" "r" 3; "e" "e" "m" "x" 3;
"a" "n" 4; "b" "u" 5; "c" "b" 4; "d" "e" "r" 3; "e" "e" "m" "x" 3;
