none
none
none
none
none
none
none
none
none
none
none
none
"b" "h" 1;
"b" "h" 1;
"b" "h" 1;
"b" "h" 1;
"b" "h" 1;
"b" "f" "h" 1;
"b" "f" "h" 1;
"b" "f" "h" 1;
"b" "f" "h" 1;
"b" "f" "h" 1;
"b" "f" "h" 1;
"b" "f" "h" 1;
"b" "f" "h" 1; "e" "y" 1;
"b" "f" "h" 1; "e" "y" 1;
"b" "f" "h" 1; "e" "y" 1;
"b" "f" "h" 1; "e" "y" 1;
"b" "f" "h" "k" 1; "e" "b" "y" 1;
"b" "f" "h" "k" 1; "d" "x" 1; "e" "b" "y" 1;
"b" "f" "h" "k" 1; "d" "x" 1; "e" "b" "y" 1;
"b" "f" "h" "k" 1; "d" "x" 1; "e" "b" "y" 1;
"b" "f" "h" "k" 1; "d" "x" 1; "e" "b" "y" 1;
"b" "f" "h" "k" 1; "d" "x" 1; "e" "b" "y" 1;
"b" "f" "h" "k" 1; "d" "x" 1; "e" "b" "y" 1;
"b" "f" "h" "k" 1; "d" "x" 1; "e" "b" "y" 1;
"a" "b" 1; "b" "f" "h" "k" 1; "d" "x" 1; "e" "b" "y" 1;
"a" "b" 1; "b" "f" "h" "k" 1; "d" "x" 1; "e" "b" "y" 1;
"a" "b" 1; "b" "f" "h" "k" 1; "d" "x" 1; "e" "b" "y" 1;
"a" "b" 1; "b" "f" "h" "k" 1; "d" "x" 1; "e" "b" "y" 1;
"a" "b" 1; "b" "f" "h" "k" 1; "d" "x" 1; "e" "b" "y" 1;
"a" "b" 1; "b" "f" "h" "k" 1; "d" "x" 1; "e" "b" "y" 1;
"a" "b" "z" 1; "b" "f" "h" "k" 1; "d" "c" "x" 1; "e" "b" "y" 1;
"a" "b" "z" 1; "b" "f" "h" "k" 1; "d" "c" "x" 1; "e" "b" "y" 1;
"a" "b" "z" 1; "b" "f" "h" "k" 1; "d" "c" "x" 1; "e" "b" "y" 1;
"a" "b" "z" 1; "b" "f" "h" "k" 1; "d" "c" "x" 1; "e" "b" "y" 1;
"a" "b" "z" 1; "b" "f" "h" "k" 1; "d" "c" "x" 1; "e" "b" "y" 1;
"a" "b" "z" 1; "b" "f" "h" "k" 1; "d" "c" "x" 1; "e" "b" "y" 1;
"a" "b" "z" 1; "b" "d" "f" "h" "k" 1; "d" "c" "x" 1; "e" "b" "f" "y" 1;
"a" "b" "z" 1; "b" "d" "f" "h" "k" 1; "d" "c" "x" 1; "e" "b" "f" "y" 1;
"a" "b" "f" "z" 1; "b" "d" "f" "h" "k" 1; "d" "c" "x" 1; "e" "b" "f" "y" 1;
"a" "b" "f" "z" 1; "b" "d" "f" "h" "k" 1; "d" "c" "x" 1; "e" "b" "f" "y" 1;
"a" "b" "f" "z" 1; "b" "d" "f" "h" "k" 1; "d" "c" "x" 1; "e" "b" "f" "y" 1;
"a" "b" "f" "z" 1; "b" "d" "f" "h" "k" 1; "d" "c" "x" 1; "e" "b" "f" "y" 1;
"a" "b" "f" "z" 1; "b" "d" "f" "h" "k" 1; "d" "c" "x" 1; "e" "b" "f" "y" 1;
"a" "b" "f" "z" 1; "b" "d" "f" "h" "k" 1; "d" "c" "x" 1; "e" "b" "f" "y" 1;
"a" "b" "f" "z" 1; "b" "d" "f" "h" "k" "l" 1; "d" "c" "x" 1; "e" "b" "f" "y" 1;
"a" "b" "f" "j" "z" 1; "b" "d" "f" "h" "k" "l" 1; "d" "c" "x" 1; "e" "b" "f" "y" 1;
"a" "b" 2; "b" "d" "f" "h" "k" "l" 1; "d" "c" "p" "x" 1; "e" "b" "f" "y" 1;
"a" "b" 2; "b" "d" "f" "h" "k" "l" 1; "d" "c" "p" "x" 1; "e" "b" "f" "y" 1;
"a" "b" 2; "b" "h" "l" 2; "c" "f" "g" "w" 1; "d" "a" "c" "n" "p" "r" "x" 1; "e" "f" 2;
"a" "b" 3; "b" "h" "l" 2; "c" "f" "g" "w" 1; "d" "x" 2; "e" "f" 2;
"a" "b" 3; "b" "h" "l" 2; "c" "f" "g" "w" 1; "d" "x" 2; "e" "f" 2;
"a" "b" 3; "b" "h" "l" 2; "c" "a" "c" "f" "g" "w" 1; "d" "a" "x" 2; "e" "f" 2;
"a" "b" 3; "b" "h" "l" 2; "c" "a" "c" "f" "g" "w" 1; "d" "a" "x" 2; "e" "f" 2;
"a" "b" 3; "b" "h" "l" 2; "c" "a" "c" "f" "g" "w" 1; "d" "a" "x" 2; "e" "f" 2;
"a" "b" 3; "b" "h" "l" 2; "c" "a" "c" "f" "g" "w" 1; "d" "a" "x" 2; "e" "f" 2;
"a" "b" 3; "b" "h" "l" 2; "c" "a" "c" "f" "g" "w" 1; "d" "a" "x" 2; "e" "f" 2;
"a" "b" 3; "b" "h" "l" 2; "c" "a" "c" "f" "g" "w" 1; "d" "a" "x" 2; "e" "f" 2;
"a" "b" 3; "b" "h" "l" 2; "c" "a" "c" "f" "g" "w" 1; "d" "a" "x" 2; "e" "f" 2;
"a" "b" 3; "b" "h" "l" 2; "c" "a" "c" "f" "g" "w" 1; "d" "a" "x" 2; "e" "f" 2;
"a" "b" 3; "b" "h" "l" 2; "c" "a" "c" "f" "g" "w" 1; "d" "a" "x" 2; "e" "f" 2;
"a" "b" 3; "b" "h" "l" 2; "c" "a" "c" "f" "g" "w" 1; "d" "a" "x" 2; "e" "f" 2;
"a" "b" 3; "b" "h" "l" 2; "c" "a" "c" "f" "g" "w" "z" 1; "d" "a" "x" 2; "e" "f" 2;
"a" "b" 3; "b" "h" "l" 2; "c" "a" "c" "f" "g" "w" "z" 1; "d" "a" "x" 2; "e" "f" 2;
"a" "b" 3; "b" "d" "h" "l" 2; "c" "a" "c" "f" "g" "w" "z" 1; "d" "a" "x" 2; "e" "f" 2;
"a" "b" 3; "b" "d" "h" "l" 2; "c" "a" "c" "f" "g" "w" "z" 1; "d" "a" "x" 2; "e" "f" 2;
"a" "b" 3; "b" "d" "h" "l" 2; "c" "a" "c" "f" "g" "w" "z" 1; "d" "a" "x" 2; "e" "f" 2;
"a" "b" 3; "b" "d" "h" "l" 2; "c" "a" "c" "f" "g" "m" "w" "z" 1; "d" "a" "x" 2; "e" "f" "g" 2;
"a" "b" 3; "b" "d" "h" "l" 2; "c" "a" "c" "f" "g" "m" "w" "z" 1; "d" "a" "x" 2; "e" "f" "g" 2;
"a" "b" 3; "b" "d" "h" "l" 2; "c" "a" "c" "f" "g" "m" "w" "z" 1; "d" "a" "x" 2; "e" "f" "g" "j" 2;
"a" "b" 3; "b" "d" "h" "l" 2; "c" "a" "c" "f" "g" "m" "w" "z" 1; "d" "a" "x" 2; "e" "f" "g" "j" 2;
"a" "b" 3; "b" "d" "h" "l" 2; "c" "a" "c" "f" "g" "i" "m" "w" "z" 1; "d" "a" "c" "x" 2; "e" "f" "g" "j" 2;
"a" "b" 3; "b" "d" "h" "l" 2; "c" "a" "c" "f" "g" "i" "m" "w" "z" 1; "d" "a" "c" "x" 2; "e" "f" "g" "j" 2;
"a" "b" 3; "b" "d" "h" "l" 2; "c" "a" "c" "f" "g" "i" "m" "w" "z" 1; "d" "a" "c" "x" 2; "e" "f" "g" "j" 2;
"a" "b" 3; "b" "d" "h" "l" 2; "c" "a" 2; "d" "a" "c" "x" 2; "e" "f" "g" "j" 2;
"a" "b" 3; "b" "d" "h" "l" 2; "c" "a" 2; "d" "a" "c" "x" 2; "e" "f" "g" "j" 2;
"a" "b" 3; "b" "d" "h" "l" 2; "c" "a" 2; "d" "a" "c" "x" 2; "e" "f" "g" "j" 2;
"a" "b" 3; "b" "d" "h" "l" 2; "c" "a" 2; "d" "a" "c" "x" 2; "e" "f" "g" "j" 2;
"a" "b" 3; "b" "d" "h" "l" 2; "c" "a" 2; "d" "a" "c" "x" 2; "e" "f" "g" "j" 2;
"a" "b" 3; "b" "d" "h" "l" 2; "c" "a" 2; "d" "a" "c" "x" 2; "e" "f" "g" "j" 2;
"a" "b" 3; "b" "d" "h" "l" 2; "c" "a" "f" 2; "d" "a" "c" "p" "x" 2; "e" "j" 3;
"a" "b" 3; "b" "d" "h" "l" 2; "c" "a" "f" 2; "d" "a" "c" "p" "x" 2; "e" "j" 3;
"a" "b" 3; "b" "d" "h" "l" 2; "c" "a" "f" 2; "d" "a" "c" "p" "x" 2; "e" "j" 3;
"a" "b" 3; "b" "d" "h" "l" 2; "c" "a" "f" 2; "d" "a" "c" "p" "x" 2; "e" "j" 3;
"a" "b" 3; "b" "d" "h" "l" 2; "c" "a" "f" 2; "d" "a" "c" "p" "x" 2; "e" "j" 3;
"a" "b" 3; "b" "d" "h" "l" 2; "c" "a" "f" 2; "d" "a" "c" "p" "x" 2; "e" "j" 3;
"a" "b" 3; "b" "d" "h" "l" 2; "c" "a" "f" 2; "d" "a" "c" "p" "x" 2; "e" "j" 3;
"a" "b" 3; "b" "d" "h" "l" 2; "c" "a" "f" 2; "d" "a" "c" "p" "x" 2; "e" "j" 3;
"a" "b" 3; "b" "d" "h" "l" 2; "c" "a" "f" 2; "d" "a" "c" "p" "x" 2; "e" "j" 3;
"a" "b" 3; "b" "d" "h" "l" 2; "c" "a" "f" 2; "d" "a" "c" "p" "x" 2; "e" "j" 3;
"a" "b" 3; "b" "d" "h" "l" 2; "c" "a" "f" 2; "d" "a" "c" "p" "x" 2; "e" "j" 3;
"a" "b" 3; "b" "d" "h" "l" 2; "c" "a" "f" 2; "d" "a" "c" "p" "x" 2; "e" "j" 3;
"a" "b" 3; "b" "d" "h" "l" 2; "c" "a" "f" 2; "d" "a" "c" "p" "x" 2; "e" "j" 3;
"a" "b" 3; "b" "d" "h" "l" 2; "c" "a" "f" 2; "d" "a" "c" "k" "p" "x" 2; "e" "j" 3;
"a" "b" 4; "b" "d" "h" "l" 2; "c" "a" "f" 2; "d" "a" "c" "h" "k" "p" "x" 2; "e" "j" 3;
"a" "b" 4; "b" "d" "h" "l" 2; "c" "a" "f" 2; "d" "a" "c" "h" "k" "p" "x" 2; "e" "j" 3;
"a" "b" 4; "b" "d" "h" "l" 2; "c" "a" "f" 2; "d" "a" "c" "h" "k" "p" "x" 2; "e" "j" 3;
"a" "b" 4; "b" "d" "h" "l" 2; "c" "a" "f" 2; "d" "a" "c" "h" "k" "p" "x" 2; "e" "j" 3;
"a" "b" 4; "b" "d" "h" "l" 2; "c" "a" "f" 2; "d" "a" "c" "h" "k" "p" "x" 2; "e" "j" 3;
"a" "b" 4; "b" "d" "h" "l" 2; "c" "a" "f" 2; "d" "a" "c" "h" "k" "p" "x" 2; "e" "j" 3;
"a" "b" 4; "b" "d" "h" "l" 2; "c" "a" "f" 2; "d" "a" "c" "h" "k" "p" "x" 2; "e" "j" 3;
"a" "b" 4; "b" "d" "h" "l" 2; "c" "a" "f" 2; "d" "a" "c" "h" "k" "p" "x" 2; "e" "j" 3;
"a" "b" 4; "b" "d" "h" "l" 2; "c" "a" "f" 2; "d" "a" "c" "h" "k" "p" "x" 2; "e" "j" 3;
"a" "b" 4; "b" "a" "d" "h" "l" 2; "c" "a" "f" 2; "d" "a" "c" "h" "k" "p" "x" 2; "e" "j" 3;
"a" "b" 4; "b" "a" "d" "h" "k" "l" 2; "c" "a" "f" 2; "d" "c" 3; "e" "j" 3;
"a" "b" 4; "b" "a" "d" "h" "k" "l" 2; "c" "a" "f" 2; "d" "c" 3; "e" "j" 3;
"a" "b" 4; "b" "a" "d" "h" "k" "l" 2; "c" "a" "f" 2; "d" "c" 3; "e" "j" 3;
"a" "b" 4; "b" "a" "d" "h" "k" "l" 2; "c" "a" "f" 2; "d" "c" 3; "e" "j" 3;
"a" "b" 4; "b" "a" "d" "h" "k" "l" 2; "c" "a" "f" "i" "z" 2; "d" "c" 3; "e" "j" 3;
"a" "b" 4; "b" "a" "d" "h" "k" "l" 2; "c" "a" "f" "i" "z" 2; "d" "c" 3; "e" "j" 3;
"a" "b" 4; "b" "a" "d" "h" "k" "l" 2; "c" "a" "f" "i" "z" 2; "d" "c" 3; "e" "j" 3;
"a" "b" 4; "b" "a" "d" "h" "k" "l" 2; "c" "a" "f" "i" "z" 2; "d" "c" 3; "e" "j" 3;
"a" "b" 4; "b" "a" "d" "h" "k" "l" 2; "c" "a" "f" "i" "z" 2; "d" "c" 3; "e" "j" 3;
"a" "b" 4; "b" "a" "d" "h" "k" "l" 2; "c" "a" "f" "i" "z" 2; "d" "c" 3; "e" "j" 3;
"a" "b" 4; "b" "a" "d" "h" "k" "l" 2; "c" "a" 3; "d" "c" 3; "e" "j" 3;
"a" "b" 4; "b" "a" "d" "h" "k" "l" 2; "c" "a" 3; "d" "c" 3; "e" "j" 3;
"a" "b" 4; "b" "a" "d" "h" "k" "l" 2; "c" "a" 3; "d" "c" 3; "e" "j" 3;
"a" "b" 4; "b" "a" "d" "h" "k" "l" 2; "c" "a" 3; "d" "c" 3; "e" "j" 3;
"a" "b" 4; "b" "a" "d" "h" "k" "l" 2; "c" "a" 3; "d" "c" 3; "e" "j" 3;
"a" "b" 4; "b" "a" "d" "h" "k" "l" 2; "c" "a" 3; "d" "c" 3; "e" "j" 3;
"a" "b" 4; "b" "a" "d" "h" "k" "l" 2; "c" "a" "i" 3; "d" "c" 3; "e" "j" 3;
"a" "b" 4; "b" "a" "d" "h" "k" "l" 2; "c" "a" "i" 3; "d" "c" 3; "e" "j" 3;
"a" "b" 4; "b" "a" "d" "h" "k" "l" 2; "c" "a" "i" 3; "d" "c" 3; "e" "j" 3;
"a" "b" 4; "b" "a" "d" "h" "k" "l" 2; "c" "a" "i" 3; "d" "c" 3; "e" "j" 3;
"a" "b" 4; "b" "a" "d" "h" "k" "l" 2; "c" "a" "i" 3; "d" "c" 3; "e" "j" 3;
"a" "b" 4; "b" "a" "d" "h" "k" "l" 2; "c" "a" "i" 3; "d" "c" 3; "e" "j" 3;
"a" "b" 4; "b" "a" "h" 3; "c" "a" "i" 3; "d" "c" 3; "e" "j" 3;
"a" "b" 4; "b" "a" "h" 3; "c" "a" "i" 3; "d" "c" 3; "e" "j" 3;
"a" "b" 4; "b" "a" "h" 3; "c" "a" "i" 3; "d" "c" 3; "e" "j" 3;
"a" "b" 4; "b" "a" "h" 3; "c" "a" "i" 3; "d" "c" 3; "e" "j" 3;
"a" "b" 4; "b" "a" "h" 3; "c" "a" "i" 3; "d" "c" 3; "e" "f" "j" 3;
"a" "b" 4; "b" "a" "h" 3; "c" "a" "i" 3; "d" "c" 3; "e" "f" "j" 3;
"a" "b" 4; "b" "a" "h" 3; "c" "a" "i" 3; "d" "c" 3; "e" "f" "j" 3;
"a" "b" 4; "b" "a" "h" 3; "c" "a" "i" 3; "d" "c" 3; "e" "f" "j" 3;
"a" "b" 4; "b" "a" "h" 3; "c" "a" "i" 3; "d" "c" "x" 3; "e" "f" "j" 3;
"a" "b" 4; "b" "a" "h" 3; "c" "a" "i" 3; "d" "c" "x" 3; "e" "f" "j" 3;
"a" "b" 4; "b" "a" "h" 3; "c" "a" "i" 3; "d" "c" "x" 3; "e" "f" "j" 3;
"a" "b" 4; "b" "a" "h" 3; "c" "a" "i" 3; "d" "c" "x" 3; "e" "f" "j" 3;
"a" "b" 4; "b" "a" "h" 3; "c" "a" "i" 3; "d" "c" "x" 3; "e" "f" "j" 3;
"a" "b" 4; "b" "a" "h" 3; "c" "a" "i" 3; "d" "c" "x" 3; "e" "f" "j" 3;
"a" "b" 4; "b" "a" "h" 3; "c" "a" "i" 3; "d" "c" "x" 3; "e" "f" "j" 3;
"a" "b" 4; "b" "a" "h" 3; "c" "a" "i" 3; "d" "c" "x" 3; "e" "f" "j" 3;
"a" "b" 4; "b" "a" "h" 3; "c" "a" "i" 3; "d" "c" "x" 3; "e" "f" "j" 3;
"a" "b" 4; "b" "a" "h" 3; "c" "a" "i" 3; "d" "c" "x" 3; "e" "f" "j" 3;
"a" "b" 4; "b" "a" "h" "k" 3; "c" "a" "i" 3; "d" "c" "x" 3; "e" "f" "j" 3;
"a" "b" 4; "b" "a" "h" "k" 3; "c" "a" "i" 3; "d" "c" "x" 3; "e" "f" "j" 3;
"a" "b" 4; "b" "a" "h" "k" 3; "c" "a" "i" 3; "d" "c" "x" 3; "e" "f" "j" 3;
"a" "b" 4; "b" "a" "h" "k" 3; "c" "a" "i" 3; "d" "c" "x" 3; "e" "f" "j" 3;
"a" "b" 4; "b" "k" 4; "c" "a" "i" "z" 3; "d" "c" "x" 3; "e" "f" "j" 3;
"a" "b" 4; "b" "k" 4; "c" "a" "i" "z" 3; "d" "c" "x" 3; "e" "f" "j" 3;
"a" "b" 4; "b" "k" 4; "c" "a" "i" "z" 3; "d" "c" "x" 3; "e" "f" "j" 3;
"a" "b" 4; "b" "k" 4; "c" "a" "i" "z" 3; "d" "c" "x" 3; "e" "f" "j" 3;
"a" "b" 4; "b" "k" 4; "c" "a" "i" "z" 3; "d" "c" "x" 3; "e" "f" "j" 3;
"a" "b" 4; "b" "k" 4; "c" "a" "i" "z" 3; "d" "c" "x" 3; "e" "f" "j" 3;
"a" "b" 4; "b" "k" 4; "c" "a" "i" "z" 3; "d" "c" "x" 3; "e" "f" "j" 3;
"a" "b" 4; "b" "k" 4; "c" "a" "i" "z" 3; "d" "c" "x" 3; "e" "f" "j" 3;
"a" "b" 4; "b" "k" 4; "c" "a" "i" "z" 3; "d" "c" "x" 3; "e" "f" "j" 3;
"a" "b" 4; "b" "k" 4; "c" "a" "i" "z" 3; "d" "c" "x" 3; "e" "f" "j" 3;
"a" "b" 4; "b" "k" 4; "c" "a" "i" "z" 3; "d" "c" "x" 3; "e" "f" "j" 3;
"a" "b" 4; "b" "k" 4; "c" "a" "i" "z" 3; "d" "c" "x" 3; "e" "f" "j" 3;
"a" "b" 4; "b" "k" 4; "c" "a" "i" "z" 3; "d" "c" "x" 3; "e" "f" "j" 3;
"a" "b" 4; "b" "k" 4; "c" "a" "i" "z" 3; "d" "c" "x" 3; "e" "f" "j" 3;
"a" "b" 4; "b" "k" 4; "c" "a" "i" "z" 3; "d" "c" "x" 3; "e" "f" "j" 3;
"a" "b" 4; "b" "k" 4; "c" "a" "i" "z" 3; "d" "c" "x" 3; "e" "f" "j" 3;
"a" "b" 4; "b" "k" 4; "c" "a" "i" "z" 3; "d" "c" "x" 3; "e" "f" "j" 3;
"a" "b" 4; "b" "k" 4; "c" "a" "i" "z" 3; "d" "c" "x" 3; "e" "f" "j" 3;
"a" "b" 4; "b" "k" 4; "c" "a" "g" "i" "z" 3; "d" "c" "x" 3; "e" "f" "j" 3;
"a" "b" 4; "b" "k" 4; "c" "a" "g" "i" "z" 3; "d" "c" "x" 3; "e" "f" "j" 3;
"a" "b" 4; "b" "k" 4; "c" "a" "g" "i" "z" 3; "d" "c" "x" 3; "e" "f" "j" 3;
"a" "b" 4; "b" "k" 4; "c" "a" "g" "i" "z" 3; "d" "c" "x" 3; "e" "f" "j" 3;
"a" "b" 4; "b" "k" 4; "c" "a" "g" "i" "z" 3; "d" "c" "x" 3; "e" "f" "j" 3;
"a" "b" 4; "b" "k" 4; "c" "a" "g" "i" "z" 3; "d" "c" "x" 3; "e" "f" "j" 3;
"a" "b" 4; "b" "k" 4; "c" "a" "g" "z" 3; "d" "c" "x" 3; "e" "f" "j" 3;
"a" "b" 4; "b" "k" 4; "c" "a" "g" "z" 3; "d" "c" "x" 3; "e" "f" "j" 3;
"a" "b" 4; "b" "k" 4; "c" "a" "g" "z" 3; "d" "c" "x" 3; "e" "f" "j" 3;
"a" "b" 4; "b" "k" 4; "c" "a" "g" "i" "z" 3; "d" "c" 4; "e" "f" "j" 3;
"a" "b" "k" 4; "b" "k" 4; "c" "a" "g" "i" "z" 3; "d" "c" 5; "e" "f" "j" 3;
"a" "b" "k" 4; "b" "k" 4; "c" "a" "g" "i" "z" 3; "d" "c" 5; "e" "f" "j" 3;
"a" "b" "k" 4; "b" "k" 4; "c" "a" "g" "i" "z" 3; "d" "c" 5; "e" "f" "j" 3;
"a" "b" "k" 4; "b" "k" 4; "c" "a" "g" "i" "z" 3; "d" "c" 5; "e" "f" "j" 3;
"a" "b" "k" 4; "b" "k" 4; "c" "a" "g" "i" "z" 3; "d" "c" 5; "e" "f" "j" 3;
"a" "b" "k" 4; "b" "k" 4; "c" "a" "g" "i" "z" 3; "d" "c" 5; "e" "f" "j" 3;
"a" "b" "k" 4; "b" "k" 4; "c" "a" "g" "i" "z" 3; "d" "c" 5; "e" "f" "j" 3;
