none
none
none
none
none
none
none
none
"d" "a" 1;
"d" "a" 1;
"d" "a" 1;
"d" "a" 1;
"c" "w" 1; "d" "a" 1;
"c" "w" 1; "d" "a" 1;
"c" "w" 1; "d" "a" 1;
"b" "y" 1; "c" "w" 1; "d" "a" 1;
"b" "y" 1; "c" "w" 1; "d" "a" 1;
"b" "y" 1; "c" "w" 1; "d" "a" 1;
"b" "y" 1; "c" "w" 1; "d" "a" 1;
"b" "y" 1; "c" "w" 1; "d" "a" 1;
"a" "x" 1; "b" "y" 1; "c" "w" 1; "d" "a" 1;
"a" "x" 1; "b" "y" 1; "c" "w" 1; "d" "a" 1;
"a" "t" 3; "b" "u" 2; "c" "p" "y" "z" 1; "d" "b" "z" 2; "e" "w" 2;
"a" "t" 3; "b" "u" 2; "c" "p" "y" "z" 1; "d" "b" "z" 2; "e" "w" 2;
"a" "t" 3; "b" "u" 2; "c" "p" "y" "z" 1; "d" "b" "z" 2; "e" "w" 2;
"a" "t" 3; "b" "u" 3; "c" "p" "y" "z" 1; "d" "b" "z" 2; "e" "w" 2;
"a" "t" 3; "b" "u" 3; "c" "b" "p" "y" "z" 1; "d" "b" "z" 2; "e" "w" 2;
"a" "t" 4; "b" "u" 3; "c" "b" "c" "p" "y" "z" 1; "d" "b" "z" 2; "e" "w" 2;
"a" "t" 4; "b" "u" 3; "c" "b" "c" "p" "y" "z" 1; "d" "b" "z" 2; "e" "w" 2;
"a" "t" 4; "b" "u" 3; "c" "b" "c" "p" "y" "z" 1; "d" "b" "z" 2; "e" "w" 2;
"a" "t" 4; "b" "u" 3; "c" "b" "c" "p" "y" "z" 1; "d" "b" "z" 2; "e" "w" 2;
"a" "t" 4; "b" "u" 3; "c" "b" "c" "p" "y" "z" 1; "d" "b" "z" 2; "e" "w" 2;
"a" "t" 4; "b" "u" 3; "c" "b" "c" "p" "y" "z" 1; "d" "b" "z" 2; "e" "w" 2;
"a" "t" 4; "b" "u" 3; "c" "b" "c" "p" "y" "z" 1; "d" "b" "z" 2; "e" "w" 2;
"a" "t" 4; "b" "u" 3; "c" "b" "c" "o" "p" "y" "z" 1; "d" "b" "z" 2; "e" "w" 2;
"a" "t" 4; "b" "u" 3; "c" "b" "c" "o" "p" "y" "z" 1; "d" "b" "z" 2; "e" "w" 2;
"a" "t" 4; "b" "u" 3; "c" "b" "c" "d" "o" "p" "y" "z" 1; "d" "b" "z" 2; "e" "w" 2;
"a" "t" 4; "b" "u" 3; "c" "b" "c" "d" "o" "p" "y" "z" 1; "d" "b" "z" 2; "e" "w" 2;
"a" "t" 4; "b" "u" 3; "c" "b" "c" "d" "o" "p" "y" "z" 1; "d" "z" 3; "e" "w" 2;
"a" "t" 4; "b" "u" 3; "c" "b" "c" "d" "o" "p" "y" 1; "d" "z" 3; "e" "w" 2;
"a" "t" 4; "b" "u" 3; "c" "b" "c" "d" "o" "p" "y" 1; "d" "z" 3; "e" "w" 2;
"a" "t" 4; "b" "u" 3; "c" "b" "c" "d" "o" "p" "y" 1; "d" "z" 3; "e" "w" 2;
"a" "t" 4; "b" "u" 3; "c" "b" "c" "d" "o" "p" "y" 1; "d" "z" 3; "e" "w" 2;
"a" "t" 4; "b" "u" 3; "c" "b" "c" "d" "o" "p" "y" 1; "d" "z" 3; "e" "w" 2;
"a" "t" 4; "b" "u" 3; "c" "b" "c" "d" "k" "o" "p" "s" "y" 1; "d" "z" 3; "e" "w" 2;
"a" "t" 4; "b" "u" 3; "c" "b" "c" "d" "k" "o" "p" "s" "y" 1; "d" "z" 3; "e" "w" 2;
"a" "t" 4; "b" "u" 3; "c" "b" "c" "d" "k" "o" "p" "s" "y" 1; "d" "z" 3; "e" "w" 2;
"a" "t" 4; "b" "u" 3; "c" "b" "c" "d" "k" "o" "p" "s" "y" 1; "d" "z" 3; "e" "w" 2;
"a" "t" 4; "b" "u" 3; "c" "b" "c" "d" "k" "o" "p" "s" "w" "x" "y" 1; "d" "z" 3; "e" "c" "w" 2;
"a" "t" 4; "b" "u" 3; "c" "b" "c" "d" "k" "o" "p" "s" "w" "x" "y" 1; "d" "z" 3; "e" "c" "w" 2;
"a" "t" 4; "b" "u" 3; "c" "b" "c" "d" "k" "o" "p" "s" "w" "x" "y" 1; "d" "z" 3; "e" "c" "w" 2;
"a" "t" 4; "b" "u" 3; "c" "b" "c" "d" "k" "o" "p" "s" "w" "x" "y" 1; "d" "z" 3; "e" "c" "w" 2;
"a" "t" 4; "b" "u" 3; "c" "b" "c" "d" "k" "o" "p" "s" "w" "x" "y" 1; "d" "z" 3; "e" "c" "w" 2;
"a" "t" 4; "b" "u" 3; "c" "b" "c" "d" "k" "o" "p" "s" "w" "x" "y" 1; "d" "z" 3; "e" "c" "w" 2;
"a" "t" 4; "b" "u" 3; "c" "b" "c" "d" "k" "o" "p" "s" "w" "x" "y" 1; "d" "z" 3; "e" "c" "w" 2;
"a" "t" 4; "b" "u" 3; "c" "b" "c" "d" "k" "o" "p" "s" "w" "x" "y" 1; "d" "z" 3; "e" "c" "w" 2;
"a" "t" 4; "b" "u" 3; "c" "b" "c" "d" "k" "o" "p" "s" "w" "x" "y" 1; "d" "z" 3; "e" "c" "w" 2;
"a" "t" 4; "b" "u" 3; "c" "b" "c" "d" "k" "o" "p" "s" "w" "x" "y" 1; "d" "z" 3; "e" "c" "w" 2;
"a" "t" 4; "b" "u" 3; "c" "b" "c" "d" "k" "o" "p" "s" "w" "x" "y" 1; "d" "z" 3; "e" "c" "w" 2;
"a" "t" 4; "b" "u" 3; "c" "b" "c" "d" "k" "o" "p" "s" "w" "x" "y" 1; "d" "z" 3; "e" "c" "w" 2;
"a" "t" 4; "b" "u" 3; "c" "b" "c" "d" "k" "o" "p" "s" "w" "x" "y" 1; "d" "z" 3; "e" "c" "w" 2;
"a" "t" 4; "b" "u" 3; "c" "b" "c" "d" "k" "o" "p" "s" "w" "x" "y" 1; "d" "z" 3; "e" "c" "w" 2;
"a" "t" 4; "b" "u" 3; "c" "b" "c" "d" "k" "o" "p" "s" "w" "x" "y" 1; "d" "z" 3; "e" "c" "o" "w" 2;
"a" "t" 4; "b" "u" 3; "c" "b" "c" "d" "k" "o" "p" "s" "t" "w" "x" "y" 1; "d" "z" 3; "e" "c" "j" "o" "w" 2;
"a" "t" 4; "b" "u" 3; "c" "b" "c" "d" "k" "o" "p" "s" "t" "w" "x" "y" 1; "d" "z" 3; "e" "c" "j" "o" "w" 2;
"a" "t" 4; "b" "u" 3; "c" "b" "c" "d" "k" "o" "p" "s" "t" "w" "x" "y" 1; "d" "z" 3; "e" "c" "j" "o" "w" 2;
"a" "t" 4; "b" "u" 3; "c" "b" "c" "d" "k" "o" "p" "s" "t" "w" "x" "y" 1; "d" "z" 3; "e" "c" "j" "o" "w" 2;
"a" "t" 4; "b" "u" 3; "c" "b" "c" "d" "k" "o" "p" "s" "t" "w" "x" "y" 1; "d" "z" 3; "e" "c" "j" "o" "w" 2;
"a" "t" 4; "b" "u" 3; "c" "b" "c" "d" "k" "o" "p" "s" "t" "v" "w" "x" "y" 1; "d" "z" 3; "e" "c" "j" "o" "w" 2;
"a" "t" 4; "b" "u" 3; "c" "b" "c" "d" "k" "o" "p" "s" "t" "v" "w" "x" "y" 1; "d" "z" 3; "e" "c" "j" "o" "w" 2;
"a" "t" 4; "b" "u" 3; "c" "b" "c" "d" "k" "o" "p" "s" "t" "v" "w" "x" "y" 1; "d" "z" 3; "e" "b" "c" "j" "o" "w" 2;
"a" "t" 4; "b" "u" 3; "c" "b" "c" "d" "k" "o" "p" "s" "t" "v" "w" "x" "y" 1; "d" "z" 3; "e" "b" "c" "j" "o" "w" 2;
"a" "t" 4; "b" "u" 3; "c" "b" "c" "d" "k" "o" "p" "s" "t" "v" "w" "x" "y" 1; "d" "z" 3; "e" "b" "c" "j" "o" "w" 2;
"a" "t" 4; "b" "u" 3; "c" "c" 2; "d" "z" 3; "e" "b" "c" "j" "o" "w" 2;
"a" "t" 4; "b" "u" 3; "c" "c" 2; "d" "z" 3; "e" "b" "c" "j" "o" "w" 2;
"a" "t" 4; "b" "u" 3; "c" "c" 2; "d" "z" 3; "e" "b" "c" "j" "o" "w" 2;
"a" "t" 4; "b" "u" 3; "c" "c" 2; "d" "z" 3; "e" "b" "c" "j" "o" "w" 2;
"a" "t" 4; "b" "u" 3; "c" "c" 2; "d" "z" 3; "e" "b" "c" "j" "o" "w" 2;
"a" "t" 4; "b" "u" 3; "c" "c" 2; "d" "z" 3; "e" "b" "c" "j" "o" "w" 2;
"a" "t" 4; "b" "u" 3; "c" "c" 2; "d" "z" 3; "e" "b" "c" "j" "o" "w" 2;
"a" "t" 4; "b" "u" 3; "c" "c" 2; "d" "z" 3; "e" "b" "c" "j" "o" "w" 2;
"a" "t" 4; "b" "u" 3; "c" "c" 2; "d" "z" 3; "e" "b" "c" "j" "o" "w" 2;
"a" "t" 4; "b" "u" 3; "c" "c" 2; "d" "z" 3; "e" "b" "c" "j" "o" "w" 2;
"a" "t" 4; "b" "u" 3; "c" "c" 2; "d" "z" 3; "e" "b" "c" "j" "o" "w" 2;
"a" "t" 4; "b" "u" 2; "c" "c" 2; "d" "z" 3; "e" "b" "c" "j" "o" "w" 2;
"a" "t" 4; "b" "u" 2; "c" "c" 2; "d" "z" 3; "e" "b" "c" "j" "o" "w" 2;
"a" "t" 4; "b" "u" 2; "c" "c" 2; "d" "z" 3; "e" "b" "c" "j" "o" "w" 2;
"a" "t" 4; "b" "u" 2; "c" "c" 2; "d" "z" 3; "e" "b" "c" "j" "o" "w" 2;
"a" "t" 4; "b" "u" 2; "c" "c" 2; "d" "z" 3; "e" "b" "c" "e" "j" "o" "w" 2;
"a" "t" 4; "b" "e" "u" 2; "c" "c" "l" 2; "d" "z" 3; "e" "b" "c" "e" "j" "o" "w" 2;
"a" "t" 4; "b" "e" "u" 2; "c" "c" "l" 2; "d" "z" 3; "e" "b" "c" "e" "j" "o" "w" 2;
"a" "t" 4; "b" "e" "u" 2; "c" "c" "l" 2; "d" "z" 3; "e" "b" "c" "e" "j" "o" "w" 2;
"a" "t" 4; "b" "e" "u" 2; "c" "c" "l" 2; "d" "z" 3; "e" "b" "c" "e" "j" "o" "w" 2;
"a" "t" 4; "b" "e" "u" 2; "c" "c" "l" 2; "d" "z" 3; "e" "b" "c" "e" "j" "o" "w" 2;
"a" "t" 4; "b" "e" "u" 2; "c" "c" "l" 2; "d" "z" 3; "e" "b" "c" "e" "j" "o" "w" 2;
"a" "t" 4; "b" "e" "u" 2; "c" "c" "l" 2; "d" "z" 3; "e" "b" "c" "e" "j" "o" "w" 2;
"a" "t" 4; "b" "e" 3; "c" "c" "l" 2; "d" "s" "z" 3; "e" "b" "c" "e" "j" "o" "w" 2;
"a" "t" 4; "b" "e" 3; "c" "c" "l" 2; "d" "s" "z" 3; "e" "b" "c" "e" "j" "o" "w" 2;
"a" "t" 4; "b" "e" 3; "c" "c" "l" 2; "d" "s" "z" 3; "e" "b" "c" "e" "j" "o" "w" 2;
"a" "t" 4; "b" "e" 3; "c" "c" "l" 2; "d" "s" "z" 3; "e" "b" "c" "e" "j" "o" "w" 2;
"a" "t" 4; "b" "e" 3; "c" "c" "l" 2; "d" "s" "z" 3; "e" "b" "c" "e" "j" "o" "w" 2;
"a" "t" 4; "b" "e" 3; "c" "c" "l" 2; "d" "s" "z" 3; "e" "b" "c" "e" "j" "o" "w" 2;
"a" "t" 4; "b" "e" 3; "c" "c" "l" 2; "d" "s" "z" 3; "e" "b" "c" "e" "j" "o" "w" 2;
"a" "t" 4; "b" "e" 3; "c" "c" "l" 2; "d" "s" "z" 3; "e" "b" "c" "e" "j" "o" "w" 2;
"a" "t" 4; "b" "e" 3; "c" "c" "f" "l" 2; "d" "p" "s" "z" 3; "e" "b" "c" "e" "j" "o" "w" 2;
"a" "t" 4; "b" "e" 3; "c" "c" "f" "l" "v" 2; "d" "p" "s" "z" 3; "e" "e" 3;
"a" "t" 4; "b" "e" 3; "c" "c" "f" "l" "v" 2; "d" "p" "s" "z" 3; "e" "e" 3;
"a" "t" 4; "b" "e" 3; "c" "c" "f" "l" "v" 2; "d" "p" "s" "z" 3; "e" "e" 3;
"a" "t" 4; "b" "e" 3; "c" "c" "f" "l" "v" 2; "d" "p" "s" "z" 3; "e" "e" 3;
"a" "t" 4; "b" "e" 3; "c" "c" "f" "l" "v" "w" 2; "d" "p" "s" "z" 3; "e" "c" "e" 3;
"a" "t" 4; "b" "e" 3; "c" "c" "f" "l" "v" "w" 2; "d" "p" "s" "z" 3; "e" "c" "e" 3;
"a" "t" 4; "b" "e" 3; "c" "c" "f" "l" "t" "v" "w" 2; "d" "p" "s" "z" 3; "e" "c" "e" 3;
"a" "t" 4; "b" "e" 3; "c" "c" "f" "l" "t" "v" "w" 2; "d" "p" "s" "z" 3; "e" "c" "e" 3;
"a" "t" 4; "b" "e" 3; "c" "c" "f" "l" "t" "v" "w" 2; "d" "p" "s" "z" 3; "e" "c" "e" 3;
"a" "t" 4; "b" "e" 3; "c" "c" "f" "l" "t" "v" "w" 2; "d" "p" "s" "z" 3; "e" "c" "e" 3;
"a" "t" 4; "b" "e" 3; "c" "c" "f" "l" "t" "v" "w" 2; "d" "p" "s" "z" 3; "e" "c" "e" 3;
"a" "t" 4; "b" "e" 3; "c" "c" "f" "l" "t" "v" "w" 2; "d" "p" "s" "z" 3; "e" "e" 4;
"a" "t" 4; "b" "e" 3; "c" "t" 3; "d" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 3; "c" "t" "v" 3; "d" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 3; "c" "t" "v" 3; "d" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 3; "c" "t" "v" 3; "d" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 3; "c" "t" "v" 3; "d" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 3; "c" "t" "v" 3; "d" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 3; "c" "t" "v" 3; "d" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "t" "v" 3; "d" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "t" "v" 3; "d" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "t" "v" 3; "d" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "t" "v" 3; "d" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "t" "v" 3; "d" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "t" "v" 3; "d" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "t" "v" 3; "d" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "t" "v" 3; "d" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "t" "v" "w" 3; "d" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "t" "v" "w" 3; "d" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "t" "v" "w" 3; "d" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "t" "v" "w" 3; "d" "r" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "t" 4; "d" "b" "r" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "t" 4; "d" "b" "r" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "t" 4; "d" "b" "r" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "t" 4; "d" "b" "r" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "t" 4; "d" "b" "r" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "t" 4; "d" "b" "r" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "t" 4; "d" "b" "r" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "t" 4; "d" "b" "r" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "t" 4; "d" "b" "r" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "t" 4; "d" "b" "r" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "t" 4; "d" "b" "r" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "t" 4; "d" "b" "r" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "t" 4; "d" "b" "r" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "t" 4; "d" "b" "r" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "t" 4; "d" "b" "r" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "t" 4; "d" "b" "r" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "t" 4; "d" "b" "r" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "t" 4; "d" "b" "r" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "t" 4; "d" "b" "r" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "t" 4; "d" "b" "r" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "t" 4; "d" "b" "r" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "t" 4; "d" "b" "r" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "t" 4; "d" "b" "r" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "t" 4; "d" "b" "r" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "t" 4; "d" "b" "r" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "t" 4; "d" "b" "r" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "t" 4; "d" "b" "r" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "t" 4; "d" "b" "r" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "j" "t" 4; "d" "b" "r" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "j" "t" 4; "d" "b" "r" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "j" "t" 4; "d" "b" "r" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "j" "t" 4; "d" "b" "r" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "j" "t" 4; "d" "b" "r" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "j" "t" 4; "d" "b" "p" "r" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "j" "t" 4; "d" "b" "p" "r" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "j" "t" 4; "d" "b" "p" "r" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "j" "t" 4; "d" "b" "p" "r" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "j" "t" 4; "d" "b" "p" "r" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "j" "t" 4; "d" "b" "p" "r" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "j" "t" 4; "d" "b" "p" "r" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "j" "t" 4; "d" "b" "p" "r" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "j" "t" 4; "d" "b" "p" "r" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "j" "t" 4; "d" "b" "p" "r" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "j" "t" 4; "d" "b" "p" "r" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "j" "t" 4; "d" "b" "p" "r" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "j" "t" 4; "d" "b" "p" "r" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" 4; "c" "j" "t" 4; "d" "b" "p" "r" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" "r" 4; "c" "j" "t" 4; "d" "b" "p" "r" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" "r" 4; "c" "j" "t" 4; "d" "b" "p" "r" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" "r" 4; "c" "j" "t" 4; "d" "b" "p" "r" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" "r" 4; "c" "j" "t" 4; "d" "b" "p" "r" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" "r" 4; "c" "j" "t" 4; "d" "b" "p" "r" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" "r" 4; "c" "j" "t" 4; "d" "b" "p" "r" "s" 4; "e" "e" 4;
"a" "t" 4; "b" "e" "r" 4; "c" "j" "t" 4; "d" "b" "p" "r" "s" 4; "e" "e" 4;
"a" "t" "x" 4; "b" "e" "r" 4; "c" "j" "t" 4; "d" "b" "i" "o" "p" "r" "s" 4; "e" "e" 4;
"a" "t" "x" 4; "b" "e" "r" 4; "c" "j" "t" 4; "d" "o" 5; "e" "e" 4;
"a" "t" "x" 4; "b" "e" "r" 4; "c" "f" "j" "t" 4; "d" "o" 5; "e" "e" 4;
"a" "t" "x" 4; "b" "e" "r" 4; "c" "f" "j" "t" 4; "d" "o" 5; "e" "e" 4;
"a" "t" "x" 4; "b" "e" "r" 4; "c" "f" "j" "t" 4; "d" "o" 5; "e" "e" 4;
"a" "t" "x" 4; "b" "e" "r" 4; "c" "f" "j" "t" 4; "d" "o" 5; "e" "e" 4;
"a" "t" "x" 4; "b" "e" "r" 4; "c" "f" "j" "t" 4; "d" "o" 5; "e" "e" 4;
"a" "t" "x" 4; "b" "e" "r" 4; "c" "f" "j" "t" 4; "d" "o" 5; "e" "e" 4;
"a" "t" "x" 4; "b" "e" "r" 4; "c" "f" "j" "t" 4; "d" "o" 5; "e" "e" 4;
"a" "t" "x" 4; "b" "e" "r" 4; "c" "f" "j" "t" 4; "d" "o" 5; "e" "e" 4;
"a" "t" "x" 4; "b" "e" "r" 4; "c" "f" "j" "t" 4; "d" "o" 5; "e" "e" 4;
"a" "t" "x" 4; "b" "e" "r" 4; "c" "f" "j" "t" 4; "d" "o" 5; "e" "e" 4;
"a" "t" "x" 4; "b" "e" "r" 4; "c" "f" "j" "t" 4; "d" "o" 5; "e" "e" 4;
"a" "t" "x" 4; "b" "e" "r" 4; "c" "f" "j" "t" 4; "d" "o" 5; "e" "e" 4;
"a" "t" "x" 4; "b" "e" "r" 4; "c" "f" "j" "t" 4; "d" "o" 5; "e" "e" 4;
"a" "t" "x" 4; "b" "e" "r" 4; "c" "f" "j" "t" 4; "d" "o" 5; "e" "e" 4;
"a" "t" "x" 4; "b" "e" "r" 4; "c" "f" "j" "t" 4; "d" "o" 5; "e" "e" 4;
"a" "t" "x" 4; "b" "e" "r" 4; "c" "f" "j" "t" 4; "d" "o" 5; "e" "e" 4;
"a" "t" "x" 4; "b" "e" "r" 4; "c" "f" "j" "t" 4; "d" "o" 5; "e" "e" 4;
"a" "t" "x" 4; "b" "e" "r" 4; "c" "f" "j" "t" 4; "d" "o" 5; "e" "e" 4;
"a" "t" "x" 4; "b" "e" "r" 4; "c" "f" "j" "t" 4; "d" "o" 5; "e" "e" 4;
"a" "t" "x" 4; "b" "e" "r" 4; "c" "f" "j" "t" 4; "d" "o" 5; "e" "e" 4;
