none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"d" "v" 1;
"d" "v" 1;
"d" "v" 1;
"c" "r" 1; "d" "v" 1;
"c" "r" 1; "d" "v" 1;
"c" "f" "r" 1; "d" "v" 1;
"c" "f" "r" 1; "d" "v" 1;
"c" "f" "r" 1; "d" "v" 1; "e" "p" 1;
"c" "f" "r" 1; "d" "v" 1; "e" "p" 1;
"c" "f" "r" 1; "d" "v" 1; "e" "p" 1;
"c" "f" "r" 1; "d" "v" 1; "e" "p" 1;
"c" "f" "r" 1; "d" "v" 1; "e" "p" 1;
"c" "f" "r" 1; "d" "v" 1; "e" "p" 1;
"c" "f" "r" 1; "d" "v" 1; "e" "p" 1;
"b" "g" 1; "c" "f" "r" 1; "d" "v" 1; "e" "b" "p" 1;
"b" "g" 1; "c" "f" "r" 1; "d" "v" 1; "e" "b" "m" "p" 1;
"b" "g" "h" 1; "c" "f" "r" "z" 1; "d" "v" 1; "e" "b" "m" "p" 1;
"a" "a" 2; "b" "j" 2; "c" "b" "d" "f" "n" "p" "r" "s" "t" "u" "z" 1; "d" "d" "k" "n" "v" 1; "e" "b" 2;
"a" "a" 2; "b" "j" 2; "c" "b" "d" "f" "n" "p" "r" "s" "t" "u" "z" 1; "d" "b" "d" "k" "n" "v" 1; "e" "b" 2;
"a" "a" 2; "b" "j" 2; "c" "b" "d" "f" "n" "p" "r" "s" "t" "u" "z" 1; "d" "b" "d" "k" "n" "v" 1; "e" "b" 2;
"a" "a" 2; "b" "j" 2; "c" "b" "d" "f" "n" "p" "r" "s" "t" "u" "z" 1; "d" "b" "d" "k" "n" "v" 1; "e" "b" 2;
"a" "a" "f" 2; "b" "j" 2; "c" "b" "d" "f" "n" "p" "r" "s" "t" "u" "z" 1; "d" "b" "d" "i" "k" "n" "v" 1; "e" "b" 2;
"a" "a" "f" 2; "b" "j" 2; "c" "b" "d" "f" "n" "p" "r" "s" "t" "u" "z" 1; "d" "b" "d" "i" "k" "n" "v" 1; "e" "b" 2;
"a" "a" "f" 2; "b" "j" 2; "c" "b" "d" "f" "n" "p" "r" "s" "t" "u" "z" 1; "d" "b" "d" "i" "k" "n" "v" 1; "e" "b" 2;
"a" "a" "f" 2; "b" "j" 2; "c" "b" "d" "f" "n" "p" "r" "s" "t" "u" "z" 1; "d" "b" "d" "i" "k" "n" "v" 1; "e" "b" 2;
"a" "a" "f" 2; "b" "j" 2; "c" "b" "d" "f" "n" "p" "r" "s" "t" "u" "z" 1; "d" "b" "d" "i" "k" "n" "v" 1; "e" "b" 2;
"a" "a" "f" 2; "b" "j" 2; "c" "b" "d" "f" "n" "p" "r" "s" "t" "u" "z" 1; "d" "b" "d" "g" "i" "k" "n" "v" 1; "e" "b" 2;
"a" "f" 3; "b" "j" 2; "c" "b" "d" "f" "n" "p" "r" "s" "t" "u" "z" 1; "d" "b" "d" "g" "i" "k" "m" "n" "v" 1; "e" "b" 2;
"a" "f" 3; "b" "j" 2; "c" "b" "d" "f" "n" "p" "r" "s" "t" "u" "v" "z" 1; "d" "b" "d" "e" "g" "i" "k" "m" "n" "v" 1; "e" "b" 2;
"a" "f" 3; "b" "j" 2; "c" "b" "d" "f" "n" "p" "r" "s" "t" "u" "v" "z" 1; "d" "b" "d" "e" "g" "i" "k" "m" "n" "v" 1; "e" "b" 2;
"a" "f" 3; "b" "j" 2; "c" "b" "d" "f" "n" "p" "r" "s" "t" "u" "v" "z" 1; "d" "b" "d" "e" "g" "i" "k" "m" "n" "v" 1; "e" "b" 2;
"a" "f" 3; "b" "j" 2; "c" "b" "d" "f" "n" "p" "r" "s" "t" "u" "v" "z" 1; "d" "b" "d" "e" "g" "i" "k" "m" "n" "v" 1; "e" "b" 2;
"a" "f" 3; "b" "j" 2; "c" "b" "d" "f" "n" "p" "r" "s" "t" "u" "v" "z" 1; "d" "b" "d" "e" "g" "i" "k" "m" "n" "v" 1; "e" "b" 2;
"a" "f" 3; "b" "j" 2; "c" "b" "d" "f" "n" "p" "r" "s" "t" "u" "v" "z" 1; "d" "b" "d" "e" "g" "i" "k" "m" "n" "v" 1; "e" "b" 2;
"a" "f" 3; "b" "j" 2; "c" "b" "d" "f" "n" "p" "r" "s" "t" "u" "v" "z" 1; "d" "b" "d" "e" "g" "i" "k" "m" "n" "v" 1; "e" "b" 2;
"a" "f" 3; "b" "j" 2; "c" "b" "d" "f" "k" "n" "p" "r" "s" "t" "u" "v" "z" 1; "d" "b" "d" "e" "g" "i" "k" "m" "n" "v" 1; "e" "b" 2;
"a" "f" 3; "b" "j" 2; "c" "b" "d" "f" "k" "n" "p" "r" "s" "t" "u" "v" "z" 1; "d" "v" 2; "e" "b" 2;
"a" "f" 3; "b" "j" 2; "c" "b" "d" "f" "k" "n" "p" "r" "s" "t" "u" "v" "z" 1; "d" "v" 2; "e" "b" 2;
"a" "f" 3; "b" "j" 2; "c" "b" "d" "f" "k" "n" "p" "r" "s" "t" "u" "v" "z" 1; "d" "v" 2; "e" "b" 2;
"a" "f" 3; "b" "j" 2; "c" "b" "d" "f" "k" "n" "p" "r" "s" "t" "u" "v" "w" "x" "z" 1; "d" "v" 2; "e" "b" 2;
"a" "f" 3; "b" "j" 2; "c" "b" "d" "f" "k" "n" "p" "r" "s" "t" "u" "v" "w" "x" "z" 1; "d" "v" 2; "e" "b" 2;
"a" "f" 3; "b" "j" 2; "c" "b" "d" "f" "k" "n" "p" "r" "s" "t" "u" "v" "w" "x" "z" 1; "d" "v" 2; "e" "b" 2;
"a" "f" 3; "b" "j" 2; "c" "b" "d" "f" "k" "n" "p" "r" "s" "t" "u" "v" "w" "x" "z" 1; "d" "v" 2; "e" "b" 2;
"a" "f" 3; "b" "j" 2; "c" "b" "d" "f" "k" "n" "p" "r" "s" "t" "u" "v" "w" "x" "z" 1; "d" "v" 2; "e" "b" 2;
"a" "f" 3; "b" "j" 2; "c" "b" "d" "f" "k" "n" "p" "r" "s" "t" "u" "v" "w" "x" "z" 1; "d" "v" 2; "e" "b" 2;
"a" "f" 3; "b" "j" 2; "c" "b" "d" "f" "g" "k" "n" "p" "r" "s" "t" "u" "v" "w" "x" "z" 1; "d" "v" 2; "e" "b" 2;
"a" "f" 3; "b" "j" 2; "c" "t" 2; "d" "v" 2; "e" "b" 2;
"a" "f" 3; "b" "j" "t" 2; "c" "t" 2; "d" "v" 2; "e" "b" 2;
"a" "f" 3; "b" "j" "t" 2; "c" "t" 2; "d" "v" 2; "e" "b" 2;
"a" "f" 3; "b" "j" "t" 2; "c" "t" 2; "d" "v" 2; "e" "b" 2;
"a" "f" 3; "b" "j" "t" 2; "c" "t" 2; "d" "v" 2; "e" "b" 2;
"a" "f" 3; "b" "j" "t" 2; "c" "t" 2; "d" "v" 2; "e" "b" 2;
"a" "f" 3; "b" "j" "t" 2; "c" "t" 2; "d" "v" 2; "e" "b" 2;
"a" "f" 3; "b" "j" "t" 2; "c" "t" 2; "d" "v" 2; "e" "b" 2;
"a" "f" 3; "b" "j" "t" 2; "c" "t" 2; "d" "v" 2; "e" "b" 2;
"a" "f" 3; "b" "j" "l" "t" 2; "c" "t" 2; "d" "v" 2; "e" "b" "t" 2;
"a" "f" 3; "b" "g" "j" "l" "t" 2; "c" "t" 2; "d" "v" 2; "e" "b" 3;
"a" "f" 3; "b" "g" "j" "l" "t" 2; "c" "t" 2; "d" "v" 2; "e" "b" 3;
"a" "f" 3; "b" "g" "j" "l" "t" 2; "c" "t" 2; "d" "v" 2; "e" "b" 3;
"a" "f" 3; "b" "g" "j" "l" "t" 2; "c" "t" 2; "d" "g" "v" 2; "e" "b" 3;
"a" "f" 3; "b" "g" "j" "l" "t" 2; "c" "p" "t" 2; "d" "f" "g" "v" 2; "e" "b" 3;
"a" "f" 3; "b" "g" "j" "l" "t" 2; "c" "k" "p" "s" "t" "z" 2; "d" "f" "g" "v" 2; "e" "b" 3;
"a" "f" 3; "b" "g" "j" "l" "t" 2; "c" "k" "p" "s" "t" "z" 2; "d" "f" "g" "v" 2; "e" "b" 3;
"a" "f" 3; "b" "g" "j" "l" "t" 2; "c" "k" "p" "s" "t" "z" 2; "d" "f" "g" "v" 2; "e" "b" 3;
"a" "f" 3; "b" "g" "j" "l" "t" 2; "c" "k" "p" "s" "t" "z" 2; "d" "f" "g" "v" 2; "e" "b" 3;
"a" "f" 3; "b" "g" "j" "l" "t" 2; "c" "k" "p" "s" "t" "z" 2; "d" "f" "g" "v" 2; "e" "b" 3;
"a" "f" "z" 3; "b" "g" "j" "l" "t" 2; "c" "k" "p" "s" "t" "z" 2; "d" "f" "g" "v" 2; "e" "b" 3;
"a" "f" "z" 3; "b" "g" "j" "l" "t" 2; "c" "k" "p" "s" "t" "z" 2; "d" "f" "g" "v" 2; "e" "b" 3;
"a" "f" "z" 3; "b" "g" "j" "l" "t" 2; "c" "k" "p" "s" "t" "z" 2; "d" "f" "g" "v" 2; "e" "b" 3;
"a" "f" "z" 3; "b" "g" "j" "l" "t" 2; "c" "k" "p" "s" "t" "z" 2; "d" "f" "g" "v" 2; "e" "b" 3;
"a" "f" "z" 3; "b" "g" "j" "l" "t" 2; "c" "k" "p" "s" "t" "z" 2; "d" "f" "g" "v" 2; "e" "b" 3;
"a" "f" "z" 3; "b" "g" "j" "l" "s" "t" 2; "c" "k" "p" "s" "t" "z" 2; "d" "f" "g" "v" 2; "e" "b" 3;
"a" "f" "z" 3; "b" "g" "j" "l" "s" "t" 2; "c" "k" "p" "s" "t" "z" 2; "d" "f" "g" "v" 2; "e" "b" 3;
"a" "f" "z" 3; "b" "g" "j" "l" "s" "t" 2; "c" "k" "p" "s" "t" "z" 2; "d" "f" "g" "v" 2; "e" "b" 3;
"a" "f" "z" 3; "b" "g" "j" "l" "s" "t" 2; "c" "k" "p" "s" "t" "z" 2; "d" "f" "g" "v" 2; "e" "b" 3;
"a" "f" "z" 3; "b" "g" "j" "l" "s" "t" 2; "c" "k" "p" "s" "t" "z" 2; "d" "f" "g" "v" 2; "e" "b" 3;
"a" "f" "z" 3; "b" "j" 3; "c" "k" "p" "s" "t" "z" 2; "d" "f" 3; "e" "b" 3;
"a" "f" "z" 3; "b" "j" 3; "c" "k" "p" "s" "t" "z" 2; "d" "f" 3; "e" "b" 3;
"a" "f" "z" 3; "b" "j" 3; "c" "k" "p" "s" "t" "z" 2; "d" "f" 3; "e" "b" 3;
"a" "f" "z" 3; "b" "j" 3; "c" "k" "p" "s" "t" "z" 2; "d" "f" 3; "e" "b" 3;
"a" "f" "z" 3; "b" "j" 3; "c" "k" "p" "s" "t" "z" 2; "d" "f" 3; "e" "b" 3;
"a" "f" "z" 3; "b" "j" 3; "c" "k" "p" "s" "t" "z" 2; "d" "f" 3; "e" "b" 3;
"a" "f" "z" 3; "b" "j" 3; "c" "k" "p" "s" "t" "z" 2; "d" "f" 3; "e" "b" 3;
"a" "f" "z" 3; "b" "j" 3; "c" "k" "p" "t" "z" 2; "d" "f" 3; "e" "b" 3;
"a" "f" "z" 3; "b" "j" 3; "c" "k" "p" "t" "z" 2; "d" "f" "v" 3; "e" "b" 3;
"a" "f" "z" 3; "b" "j" 3; "c" "k" "p" "t" "z" 2; "d" "f" "v" 3; "e" "b" 3;
"a" "f" "u" "z" 3; "b" "j" 3; "c" "p" 3; "d" "f" "v" 3; "e" "b" 3;
"a" "f" "u" "z" 3; "b" "j" 3; "c" "p" 3; "d" "f" "v" 3; "e" "b" 3;
"a" "f" "u" "z" 3; "b" "j" 3; "c" "p" 3; "d" "f" "v" 3; "e" "b" 3;
"a" "f" "u" "x" "z" 3; "b" "j" 3; "c" "p" 3; "d" "f" "v" 3; "e" "b" 3;
"a" "f" "u" "x" "z" 3; "b" "j" 3; "c" "p" 3; "d" "f" "v" 3; "e" "b" 3;
"a" "f" "u" "x" "z" 3; "b" "j" 3; "c" "p" 3; "d" "f" "v" 3; "e" "b" 3;
"a" "f" "u" "x" "z" 3; "b" "j" 3; "c" "p" 3; "d" "f" "v" 3; "e" "b" 3;
"a" "f" "u" "x" "z" 3; "b" "j" 3; "c" "p" 3; "d" "f" "v" 3; "e" "b" 3;
"a" "f" "u" "x" "z" 3; "b" "j" 3; "c" "p" 3; "d" "f" "v" 3; "e" "b" 3;
"a" "f" "u" "x" "z" 3; "b" "j" 3; "c" "p" 3; "d" "f" "v" 3; "e" "b" 3;
"a" "f" "u" "x" "z" 3; "b" "j" 3; "c" "p" 3; "d" "f" "v" 3; "e" "b" 3;
"a" "f" "u" "x" "z" 3; "b" "j" 3; "c" "p" 3; "d" "f" "v" 3; "e" "b" 3;
"a" "f" "u" "x" "z" 3; "b" "j" 3; "c" "p" 3; "d" "f" "v" 3; "e" "b" 3;
"a" "f" "u" "x" "z" 3; "b" "j" 3; "c" "p" 3; "d" "f" "v" 3; "e" "b" 3;
"a" "f" "u" "x" "z" 3; "b" "j" 3; "c" "p" 3; "d" "f" "v" 3; "e" "b" "w" 3;
"a" "f" "u" "x" "z" 3; "b" "j" 3; "c" "p" 3; "d" "f" "v" 3; "e" "b" "w" 3;
"a" "f" "u" "x" "z" 3; "b" "j" 3; "c" "p" 3; "d" "f" "v" 3; "e" "b" "w" 3;
"a" "f" "u" "x" "z" 3; "b" "j" 3; "c" "p" 3; "d" "f" "v" 3; "e" "b" "w" 3;
"a" "f" "u" "x" "z" 3; "b" "j" 3; "c" "p" 3; "d" "f" "v" 3; "e" "b" "w" 3;
"a" "f" "u" "x" "z" 3; "b" "j" 3; "c" "p" 3; "d" "f" "v" 3; "e" "b" "w" 3;
"a" "f" "u" "x" "z" 3; "b" "j" 3; "c" "p" 3; "d" "f" "v" 3; "e" "b" "w" 3;
"a" "f" "u" "x" "z" 3; "b" "j" 3; "c" "p" 3; "d" "f" "v" 3; "e" "b" "w" 3;
"a" "f" "u" "x" "z" 3; "b" "j" 3; "c" "p" 3; "d" "f" "v" 3; "e" "b" "w" 3;
"a" "f" "u" "x" "z" 3; "b" "j" "l" 3; "c" "p" 3; "d" "f" "v" 3; "e" "b" "w" 3;
"a" "f" "u" "x" "z" 3; "b" "j" "l" 3; "c" "p" 3; "d" "f" "v" 3; "e" "b" "w" 3;
"a" "f" "u" "x" "z" 3; "b" "j" "l" 3; "c" "p" 3; "d" "f" "v" 3; "e" "b" "w" 3;
"a" "f" "u" "x" "z" 3; "b" "j" "l" 3; "c" "p" 3; "d" "f" "v" 3; "e" "b" "w" 3;
"a" "f" "u" "x" "z" 3; "b" "f" "j" "l" 3; "c" "p" 3; "d" "f" "v" 3; "e" "b" "w" 3;
"a" "f" "u" "x" "z" 3; "b" "f" "j" "l" 3; "c" "p" 3; "d" "f" "i" "v" 3; "e" "b" "w" 3;
"a" "f" "u" "x" "z" 3; "b" "f" "j" "l" 3; "c" "p" 3; "d" "f" "i" "v" 3; "e" "b" "w" 3;
"a" "f" "u" "x" "z" 3; "b" "f" "j" "l" 3; "c" "p" 3; "d" "f" "i" "v" 3; "e" "b" "w" 3;
"a" "a" "f" "u" "x" "z" 3; "b" "f" "j" "l" 3; "c" "p" 3; "d" "f" "i" "v" 3; "e" "b" "w" 3;
"a" "f" 4; "b" "f" "j" "l" 3; "c" "p" 3; "d" "f" "i" "v" 3; "e" "b" "w" 3;
"a" "f" 4; "b" "f" "j" "l" 3; "c" "p" 3; "d" "f" "i" "v" 3; "e" "b" "w" 3;
"a" "f" 4; "b" "b" "f" "j" "l" 3; "c" "p" 3; "d" "f" "i" "v" 3; "e" "b" "w" 3;
"a" "f" 4; "b" "b" "f" "j" "l" "x" 3; "c" "n" "p" "z" 3; "d" "f" "i" "v" 3; "e" "b" "w" 3;
"a" "f" 4; "b" "b" "f" "j" "l" "x" 3; "c" "n" "p" "z" 3; "d" "f" "i" "v" 3; "e" "b" "w" 3;
"a" "f" 4; "b" "b" "f" "j" "l" "x" 3; "c" "n" "p" "z" 3; "d" "f" "i" "v" 3; "e" "b" "w" 3;
"a" "f" 4; "b" "b" "f" "j" "l" "x" 3; "c" "n" "p" "z" 3; "d" "f" "i" "v" 3; "e" "b" "w" 3;
"a" "f" 4; "b" "b" "f" "j" "l" "x" 3; "c" "n" "p" "z" 3; "d" "f" "i" "v" 3; "e" "b" "w" 3;
"a" "f" 4; "b" "b" "f" "j" "l" "x" 3; "c" "n" "p" "z" 3; "d" "f" "i" "v" 3; "e" "b" "w" 3;
"a" "f" 4; "b" "b" "f" "j" "l" "x" 3; "c" "n" "p" "z" 3; "d" "f" "i" "v" 3; "e" "b" "w" 3;
"a" "f" 4; "b" "b" "f" "j" "l" "x" 3; "c" "n" "p" "z" 3; "d" "f" "i" "v" 3; "e" "b" "w" 3;
"a" "f" 4; "b" "b" "f" "j" "l" "x" 3; "c" "n" "p" "z" 3; "d" "f" "i" "v" 3; "e" "b" "w" 3;
"a" "f" 4; "b" "b" "f" "j" "l" "x" 3; "c" "n" "p" "z" 3; "d" "f" "i" "v" 3; "e" "b" 4;
"a" "f" 4; "b" "b" "f" "j" "l" "x" 3; "c" "z" 4; "d" "f" "i" "v" 3; "e" "b" 4;
"a" "f" 4; "b" "b" "f" "j" "l" "p" "x" 3; "c" "z" 4; "d" "f" "i" "v" 3; "e" "b" 4;
"a" "f" 4; "b" "b" "f" "j" "l" "p" "x" 3; "c" "z" 4; "d" "f" "i" "v" 3; "e" "b" 4;
"a" "f" 4; "b" "b" "f" "j" "l" "p" "x" 3; "c" "z" 4; "d" "f" "i" "v" 3; "e" "b" 4;
"a" "f" 4; "b" "b" "f" "j" "l" "p" "x" 3; "c" "z" 4; "d" "f" "i" "v" 3; "e" "b" 4;
"a" "f" 4; "b" "l" 4; "c" "z" 4; "d" "f" "i" "v" 3; "e" "b" 4;
"a" "f" 4; "b" "l" 4; "c" "z" 4; "d" "f" "i" "v" 3; "e" "b" 4;
"a" "f" 4; "b" "l" 4; "c" "z" 4; "d" "f" "i" "v" 3; "e" "b" 4;
"a" "f" 4; "b" "l" 4; "c" "z" 4; "d" "f" "i" "v" 3; "e" "b" 4;
"a" "f" 4; "b" "l" 4; "c" "z" 4; "d" "f" "i" "v" 3; "e" "b" 4;
"a" "f" 4; "b" "l" 4; "c" "z" 4; "d" "d" "f" "i" "v" 3; "e" "b" 4;
"a" "f" 4; "b" "l" 4; "c" "z" 4; "d" "d" "f" "i" "v" 3; "e" "b" 4;
"a" "f" 4; "b" "l" 4; "c" "z" 4; "d" "d" "f" "i" "v" 3; "e" "b" 4;
"a" "f" 4; "b" "l" 4; "c" "z" 4; "d" "d" "f" "i" "v" 3; "e" "b" 4;
"a" "f" 5; "b" "l" 4; "c" "z" 4; "d" "d" "f" "i" "v" 3; "e" "b" 4;
"a" "f" 5; "b" "l" 4; "c" "z" 4; "d" "d" "f" "i" "v" 3; "e" "b" 4;
"a" "f" 5; "b" "l" 4; "c" "z" 4; "d" "d" "f" "i" "v" 3; "e" "b" 4;
"a" "f" 5; "b" "l" "x" 4; "c" "z" 4; "d" "d" "f" "i" "v" 3; "e" "b" 4;
"a" "f" 5; "b" "l" "x" 4; "c" "z" 4; "d" "d" "f" "i" "v" 3; "e" "b" 4;
"a" "f" 5; "b" "l" "x" 4; "c" "z" 4; "d" "d" "f" "i" "v" 3; "e" "b" 4;
"a" "f" 5; "b" "b" "l" "x" 4; "c" "z" 4; "d" "d" "f" "g" "i" "v" 3; "e" "b" 4;
"a" "f" 5; "b" "b" "l" "x" 4; "c" "z" 4; "d" "d" "f" "g" "i" "v" 3; "e" "b" 4;
"a" "f" 5; "b" "b" "l" "x" 4; "c" "z" 4; "d" "d" "f" "g" "i" "v" 3; "e" "b" 4;
"a" "f" 5; "b" "b" "l" "x" 4; "c" "z" 4; "d" "d" "f" "g" "i" "v" 3; "e" "b" 4;
"a" "f" 5; "b" "b" "l" "x" 4; "c" "z" 4; "d" "d" "f" "g" "i" "v" 3; "e" "b" 4;
"a" "f" 5; "b" "b" "l" "x" 4; "c" "z" 4; "d" "d" "f" "g" "i" "v" 3; "e" "b" 4;
"a" "f" 5; "b" "b" "l" "x" 4; "c" "z" 4; "d" "f" 4; "e" "b" 4;
"a" "f" 5; "b" "b" "l" "x" 4; "c" "z" 4; "d" "f" 4; "e" "b" 4;
"a" "f" 5; "b" "b" "l" "x" 4; "c" "z" 4; "d" "f" 4; "e" "b" 4;
"a" "f" 5; "b" "b" "l" "x" 4; "c" "z" 4; "d" "f" 4; "e" "b" 4;
"a" "f" 5; "b" "b" "l" "x" 4; "c" "z" 4; "d" "f" 4; "e" "b" 4;
"a" "f" 5; "b" "b" "l" "x" 4; "c" "z" 4; "d" "f" 4; "e" "b" 4;
"a" "f" 5; "b" "b" "l" "x" 4; "c" "z" 4; "d" "f" 4; "e" "b" 4;
"a" "f" 5; "b" "b" "l" "x" 4; "c" "z" 4; "d" "f" 4; "e" "b" 4;
"a" "f" 5; "b" "b" "l" "x" 4; "c" "z" 4; "d" "f" 4; "e" "b" 4;
"a" "f" 5; "b" "b" "l" "x" 4; "c" "z" 4; "d" "f" 4; "e" "b" 4;
"a" "f" 5; "b" "l" 5; "c" "z" 4; "d" "f" 4; "e" "b" 4;
"a" "f" 5; "b" "l" 5; "c" "z" 4; "d" "f" 4; "e" "b" 4;
"a" "f" 5; "b" "l" 5; "c" "z" 4; "d" "f" 4; "e" "b" 4;
"a" "f" 5; "b" "l" 5; "c" "z" 4; "d" "f" 4; "e" "b" 4;
"a" "f" 5; "b" "l" 5; "c" "z" 4; "d" "f" 4; "e" "b" 4;
"a" "f" 5; "b" "l" 5; "c" "z" 4; "d" "f" 4; "e" "b" 4;
"a" "f" 5; "b" "l" 5; "c" "z" 4; "d" "f" 4; "e" "b" 4;
"a" "f" 5; "b" "l" 5; "c" "z" 4; "d" "f" 5; "e" "b" 4;
"a" "f" 5; "b" "l" 5; "c" "z" 4; "d" "f" 5; "e" "b" 4;
"a" "f" 5; "b" "l" 5; "c" "z" 4; "d" "f" 5; "e" "b" 4;
"a" "f" 5; "b" "l" 5; "c" "z" 4; "d" "f" 5; "e" "b" 4;
"a" "f" 5; "b" "l" 5; "c" "z" 4; "d" "f" 5; "e" "b" 4;
"a" "f" 5; "b" "l" 5; "c" "z" 4; "d" "f" 5; "e" "b" 4;
"a" "f" 5; "b" "l" 5; "c" "z" 4; "d" "f" 5; "e" "b" 4;
"a" "f" 5; "b" "l" 5; "c" "g" "z" 4; "d" "f" 5; "e" "b" 4;
"a" "f" 5; "b" "l" 5; "c" "g" "z" 4; "d" "f" 5; "e" "b" 4;
"a" "f" 5; "b" "l" 5; "c" "g" "z" 4; "d" "f" 5; "e" "b" 4;
"a" "f" 5; "b" "l" 5; "c" "g" 5; "d" "f" 5; "e" "b" 4;
"a" "f" 5; "b" "l" 5; "c" "g" 5; "d" "f" 5; "e" "b" 4;
"a" "f" 5; "b" "l" 5; "c" "g" 5; "d" "f" 4; "e" "b" 4;
"a" "f" "g" 5; "b" "l" 5; "c" "g" 5; "d" "f" 4; "e" "b" 4;
"a" "f" "g" 5; "b" "l" 5; "c" "g" 5; "d" "f" 4; "e" "b" 4;
"a" "f" "g" 5; "b" "l" 5; "c" "g" 5; "d" "f" 4; "e" "b" 4;
"a" "f" "g" 5; "b" "l" "x" 5; "c" "g" 5; "d" "f" 4; "e" "b" "w" 4;
"a" "f" "g" 5; "b" "l" "x" 5; "c" "g" 5; "d" "f" 4; "e" "b" "w" 4;
"a" "f" "g" 5; "b" "l" "x" 5; "c" "g" 5; "d" "f" 4; "e" "b" "w" 4;
