none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"a" "b" 1;
"a" "b" 1; "d" "s" 1; "e" "s" 1;
"a" "b" 1; "d" "s" 1; "e" "s" 1;
"a" "b" 1; "d" "s" 1; "e" "s" 1;
"a" "b" 1; "d" "s" 1; "e" "s" 1;
"a" "b" 1; "d" "s" 1; "e" "s" 1;
"a" "b" 1; "d" "s" 1; "e" "s" 1;
"a" "b" 1; "d" "s" 1; "e" "s" 1;
"a" "b" 1; "d" "s" 1; "e" "s" 1;
"a" "b" 1; "d" "s" 1; "e" "s" 1;
"a" "b" 1; "b" "b" 1; "d" "s" 1; "e" "s" 1;
"a" "b" 1; "b" "b" 1; "d" "s" 1; "e" "s" 1;
"a" "b" 1; "b" "b" 1; "d" "s" 1; "e" "s" 1;
"a" "b" 1; "b" "b" 1; "d" "s" 1; "e" "s" 1;
"a" "b" "c" 1; "b" "b" 1; "d" "s" 1; "e" "s" 1;
"a" "b" "c" 1; "b" "b" 1; "d" "s" 1; "e" "s" 1;
"a" "c" 2; "b" "a" "b" "j" "u" 1; "c" "s" 1; "d" "b" "f" "j" "s" 1; "e" "b" "s" 1;
"a" "c" 2; "b" "a" "b" "j" "u" 1; "c" "s" 1; "d" "b" "f" "j" "s" 1; "e" "b" "s" 1;
"a" "c" 2; "b" "a" "b" "j" "u" 1; "c" "s" 1; "d" "b" "f" "j" "s" 1; "e" "b" "s" 1;
"a" "c" 2; "b" "a" "b" "j" "o" "u" 1; "c" "s" 1; "d" "b" "f" "j" "s" 1; "e" "b" "n" "s" 1;
"a" "c" 2; "b" "a" "b" "j" "o" "u" 1; "c" "s" 1; "d" "b" "f" "j" "s" 1; "e" "b" "n" "s" 1;
"a" "c" 2; "b" "a" "b" "j" "o" "u" 1; "c" "s" "v" "z" 1; "d" "b" "f" "j" "s" 1; "e" "b" "n" "s" 1;
"a" "c" 2; "b" "a" "b" "f" "j" "l" "o" "u" 1; "c" "s" "v" "z" 1; "d" "b" "f" "j" "q" "s" 1; "e" "b" "n" "s" 1;
"a" "c" 2; "b" "a" "b" "f" "j" "l" "o" "u" 1; "c" "q" "s" "v" "z" 1; "d" "b" "f" "j" "q" "s" 1; "e" "b" "n" "s" 1;
"a" "c" 2; "b" "a" "b" "f" "j" "l" "o" "u" 1; "c" "q" "s" "v" "z" 1; "d" "b" "f" "j" "q" "s" 1; "e" "b" "n" "s" 1;
"a" "c" 2; "b" "a" "b" "f" "j" "l" "o" "u" 1; "c" "q" "s" "v" "z" 1; "d" "b" "f" "j" "q" "s" 1; "e" "b" "n" "s" 1;
"a" "c" 2; "b" "a" "b" "f" "j" "l" "o" "u" 1; "c" "c" "q" "s" "v" "z" 1; "d" "b" "f" "j" "q" "s" 1; "e" "b" "n" "s" 1;
"a" "c" 2; "b" "a" "b" "f" "j" "l" "o" "u" 1; "c" "c" "q" "s" "v" "z" 1; "d" "b" "f" "j" "q" "s" 1; "e" "b" "n" "s" 1;
"a" "c" 2; "b" "a" "b" "f" "j" "l" "o" "u" 1; "c" "c" "q" "s" "v" "z" 1; "d" "b" "f" "j" "q" "s" 1; "e" "b" "n" "s" 1;
"a" "c" 2; "b" "a" "b" "f" "j" "l" "o" "u" 1; "c" "s" 2; "d" "b" "f" "i" "j" "q" "s" 1; "e" "n" 2;
"a" "c" 2; "b" "a" "b" "f" "j" "l" "o" "u" 1; "c" "s" 2; "d" "b" "f" "i" "j" "q" "s" 1; "e" "n" 2;
"a" "c" 2; "b" "a" "b" "f" "j" "l" "o" "u" 1; "c" "s" 2; "d" "b" "f" "i" "j" "q" "s" 1; "e" "n" 2;
"a" "c" 2; "b" "a" "b" "f" "j" "l" "o" "u" 1; "c" "s" 2; "d" "b" "f" "i" "j" "q" "s" 1; "e" "n" 2;
"a" "c" 2; "b" "a" "b" "f" "j" "l" "o" "u" 1; "c" "s" 2; "d" "b" "f" "i" "j" "q" "s" 1; "e" "n" 2;
"a" "c" 2; "b" "a" "b" "f" "j" "l" "o" "u" 1; "c" "s" 2; "d" "b" "f" "i" "j" "q" "s" 1; "e" "a" "n" "w" 2;
"a" "c" 2; "b" "a" "b" "f" "j" "l" "o" "u" 1; "c" "s" 2; "d" "b" "f" "i" "j" "q" "s" 1; "e" "a" "n" "w" 2;
"a" "c" 2; "b" "a" "b" "f" "j" "l" "o" "u" 1; "c" "s" 2; "d" "b" "f" "i" "j" "q" "s" 1; "e" "a" "n" "w" 2;
"a" "c" 2; "b" "a" "b" "f" "j" "l" "o" "u" 1; "c" "s" "v" 2; "d" "b" "f" "i" "j" "q" "s" 1; "e" "a" "n" "w" 2;
"a" "c" 2; "b" "a" "b" "f" "j" "l" "o" "u" 1; "c" "s" "v" 2; "d" "b" "f" "i" "j" "q" "s" 1; "e" "a" "n" "w" 2;
"a" "b" "c" 2; "b" "f" 2; "c" "s" 3; "d" "b" "f" "i" "j" "q" "s" 1; "e" "a" "n" "w" 2;
"a" "b" "c" 2; "b" "f" 2; "c" "s" 3; "d" "b" "f" "i" "j" "q" "s" 1; "e" "a" "n" "w" 2;
"a" "b" "c" 2; "b" "b" "f" 2; "c" "s" 3; "d" "b" "f" "i" "j" "q" "s" 1; "e" "a" "n" "w" 2;
"a" "c" 3; "b" "b" "f" 2; "c" "s" 3; "d" "b" "f" "i" "j" "q" "s" 1; "e" "a" "n" "w" 2;
"a" "c" 3; "b" "b" "f" 2; "c" "s" 3; "d" "b" "f" "i" "j" "q" "s" 1; "e" "a" "n" "o" "w" 2;
"a" "c" 3; "b" "b" "f" 2; "c" "s" 3; "d" "b" "f" "i" "j" "q" "s" 1; "e" "a" "n" "o" "w" 2;
"a" "c" 3; "b" "b" "f" 2; "c" "s" "y" 3; "d" "b" "f" "i" "j" "q" "s" 1; "e" "a" "n" "o" "w" 2;
"a" "c" 3; "b" "b" "f" 2; "c" "s" "y" 3; "d" "i" 2; "e" "a" "n" "o" "w" 2;
"a" "c" 3; "b" "b" "f" 2; "c" "s" "y" 3; "d" "i" 2; "e" "a" "n" "o" "w" 2;
"a" "c" 3; "b" "b" "f" 2; "c" "s" "y" 3; "d" "i" 2; "e" "a" "n" "o" "w" 2;
"a" "c" 3; "b" "b" "f" 2; "c" "s" "y" 3; "d" "i" 2; "e" "a" "n" "o" "w" 2;
"a" "c" 3; "b" "b" "f" 2; "c" "s" "y" 3; "d" "i" 2; "e" "w" 3;
"a" "c" 3; "b" "b" "f" 2; "c" "s" "v" "y" 3; "d" "i" 2; "e" "w" 3;
"a" "c" 3; "b" "b" "f" 2; "c" "s" "v" "y" 3; "d" "i" 2; "e" "w" 3;
"a" "c" 3; "b" "b" "f" 2; "c" "s" "v" "y" 3; "d" "i" 2; "e" "w" 3;
"a" "c" 3; "b" "b" "f" 2; "c" "s" "v" "y" 3; "d" "i" 2; "e" "w" 3;
"a" "c" 3; "b" "b" "f" 2; "c" "s" "v" "y" 3; "d" "i" 2; "e" "w" 3;
"a" "c" 3; "b" "b" "f" 2; "c" "s" "v" "y" 3; "d" "i" 2; "e" "w" 3;
"a" "c" 3; "b" "b" "f" 2; "c" "s" "v" "y" 3; "d" "i" 2; "e" "w" 3;
"a" "c" 3; "b" "b" "f" 2; "c" "s" "v" "y" 3; "d" "i" 2; "e" "w" 3;
"a" "c" 3; "b" "b" "f" 2; "c" "s" "v" "y" 3; "d" "i" 2; "e" "w" 3;
"a" "c" 3; "b" "b" "f" 2; "c" "s" "v" "y" 3; "d" "i" 2; "e" "w" 3;
"a" "c" 3; "b" "b" "f" 2; "c" "s" "v" "y" 3; "d" "i" 2; "e" "n" "w" 3;
"a" "c" 3; "b" "b" "f" 2; "c" "s" "v" "y" 3; "d" "i" 2; "e" "n" "w" 3;
"a" "c" 3; "b" "b" "f" 2; "c" "y" 4; "d" "i" 3; "e" "n" "w" 3;
"a" "c" 3; "b" "b" "f" 2; "c" "s" "y" 4; "d" "i" 3; "e" "n" "w" 3;
"a" "c" 3; "b" "b" "f" 2; "c" "s" "y" 4; "d" "i" 3; "e" "n" "w" 3;
"a" "c" 3; "b" "b" "f" 2; "c" "s" "y" 4; "d" "i" 3; "e" "n" "w" 3;
"a" "c" 3; "b" "b" "f" 2; "c" "s" "v" "y" 4; "d" "i" 3; "e" "n" "w" 3;
"a" "c" 3; "b" "b" "f" 2; "c" "s" "v" "y" 4; "d" "i" 3; "e" "n" "w" 3;
"a" "c" 3; "b" "b" "f" 2; "c" "s" "v" "y" 4; "d" "i" 3; "e" "n" "w" 3;
"a" "c" 3; "b" "b" "f" 2; "c" "s" "v" "y" 4; "d" "i" 3; "e" "n" "w" 3;
"a" "c" 3; "b" "b" "f" 2; "c" "s" "v" "y" 4; "d" "i" 3; "e" "n" "w" 3;
"a" "c" 3; "b" "b" "f" 2; "c" "s" "v" "y" 4; "d" "i" 3; "e" "n" "w" 3;
"a" "c" 3; "b" "b" "f" 2; "c" "s" "v" "y" 4; "d" "i" 3; "e" "n" 4;
"a" "c" 3; "b" "b" "f" 2; "c" "s" "v" "y" 4; "d" "i" 3; "e" "n" 4;
"a" "c" 3; "b" "b" "f" 2; "c" "s" "v" "y" 4; "d" "i" 3; "e" "n" 4;
"a" "c" 3; "b" "b" "f" 2; "c" "s" "v" "y" 4; "d" "i" 3; "e" "n" 4;
"a" "c" 3; "b" "b" "f" 2; "c" "s" "v" "y" 4; "d" "i" 3; "e" "n" 4;
"a" "c" 3; "b" "b" "f" 2; "c" "s" "v" "y" 4; "d" "i" 3; "e" "n" 4;
"a" "c" 3; "b" "b" "f" 2; "c" "s" "v" "y" 4; "d" "i" 3; "e" "n" 4;
"a" "c" 3; "b" "b" "f" 2; "c" "v" 5; "d" "i" 3; "e" "n" 4;
"a" "c" 3; "b" "f" 3; "c" "v" 5; "d" "i" 3; "e" "n" 4;
"a" "c" 3; "b" "f" 3; "c" "v" 5; "d" "i" 3; "e" "n" 4;
"a" "c" 3; "b" "f" 3; "c" "v" 5; "d" "i" 3; "e" "n" 4;
"a" "c" 4; "b" "f" 3; "c" "v" 5; "d" "i" 3; "e" "n" 4;
"a" "c" 4; "b" "f" 3; "c" "v" 5; "d" "i" 3; "e" "n" 4;
"a" "c" 4; "b" "f" 3; "c" "v" 5; "d" "i" 3; "e" "n" 4;
"a" "c" 4; "b" "f" 3; "c" "v" 6; "d" "c" "i" 3; "e" "n" 4;
"a" "c" 4; "b" "f" 3; "c" "v" 6; "d" "c" "i" 3; "e" "n" 4;
"a" "c" 4; "b" "f" 3; "c" "v" 6; "d" "c" "i" 3; "e" "n" 4;
"a" "c" 4; "b" "f" 3; "c" "v" 6; "d" "c" "i" 3; "e" "n" 4;
"a" "c" 4; "b" "f" 3; "c" "v" 6; "d" "c" "i" 3; "e" "n" 4;
"a" "c" 4; "b" "f" 3; "c" "v" 6; "d" "c" "i" 3; "e" "n" 4;
"a" "c" 4; "b" "f" 3; "c" "v" 6; "d" "c" "i" "j" 3; "e" "n" 4;
"a" "c" 4; "b" "f" 3; "c" "v" 6; "d" "c" "i" "j" 3; "e" "n" 4;
"a" "c" 4; "b" "f" 3; "c" "v" 6; "d" "c" "i" "j" 3; "e" "n" 4;
"a" "c" 4; "b" "f" 3; "c" "v" 6; "d" "c" "i" "j" 3; "e" "n" 4;
"a" "c" 4; "b" "f" 3; "c" "v" 6; "d" "c" "i" "j" 3; "e" "n" 4;
"a" "c" 4; "b" "f" 3; "c" "v" 6; "d" "c" "i" "j" 3; "e" "n" 4;
"a" "c" 4; "b" "f" 3; "c" "v" 6; "d" "c" "i" "j" 3; "e" "n" 4;
"a" "c" 4; "b" "f" 3; "c" "v" 6; "d" "c" "i" "j" 3; "e" "n" 4;
"a" "c" 4; "b" "f" 3; "c" "v" 6; "d" "c" "i" "j" 3; "e" "n" 4;
"a" "c" 4; "b" "f" 3; "c" "v" 6; "d" "c" "i" "j" 3; "e" "n" 4;
"a" "c" 4; "b" "f" 3; "c" "v" 6; "d" "c" "i" "j" 3; "e" "n" 4;
"a" "c" 4; "b" "f" 3; "c" "v" 6; "d" "c" "i" "j" 3; "e" "n" 4;
"a" "c" 4; "b" "f" 3; "c" "v" 6; "d" "c" "i" "j" 3; "e" "n" 4;
"a" "c" 4; "b" "f" 3; "c" "v" 6; "d" "c" "i" "j" 3; "e" "n" 4;
"a" "c" 4; "b" "f" 3; "c" "v" 6; "d" "c" 4; "e" "n" 4;
"a" "c" 4; "b" "f" 3; "c" "v" 6; "d" "c" 4; "e" "n" 4;
"a" "c" 4; "b" "f" 3; "c" "v" 6; "d" "c" 4; "e" "n" 4;
"a" "c" 4; "b" "f" 3; "c" "v" 6; "d" "c" 4; "e" "n" 4;
"a" "c" 4; "b" "f" 3; "c" "v" 6; "d" "c" 4; "e" "n" 4;
"a" "c" 4; "b" "f" 3; "c" "v" 6; "d" "c" 4; "e" "n" 4;
"a" "c" 4; "b" "f" 3; "c" "v" 6; "d" "c" 4; "e" "n" 4;
"a" "c" 5; "b" "f" 3; "c" "v" 6; "d" "c" 4; "e" "n" 4;
"a" "c" 5; "b" "f" 3; "c" "v" 6; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "f" 3; "c" "v" 6; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "f" 3; "c" "v" 6; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "f" 3; "c" "v" 6; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "f" 3; "c" "v" 6; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "f" 3; "c" "v" 6; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "f" 3; "c" "v" 6; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "f" 3; "c" "v" 6; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "f" 3; "c" "v" 6; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "f" 3; "c" "v" 6; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "f" 3; "c" "v" 6; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "f" 3; "c" "v" 6; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "f" 3; "c" "v" 6; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "f" 3; "c" "v" 6; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "f" 3; "c" "v" 6; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "f" 3; "c" "v" 6; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "f" 3; "c" "v" 6; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "f" 3; "c" "v" 6; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "f" 3; "c" "v" 6; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "f" 3; "c" "v" 6; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "f" 3; "c" "v" 6; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "f" 3; "c" "v" 6; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "f" 3; "c" "v" 6; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "f" 3; "c" "v" 6; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "f" 3; "c" "v" 6; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "f" 3; "c" "v" 6; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "f" 3; "c" "v" "y" 6; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "l" 3; "c" "v" "y" 6; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "l" 3; "c" "v" "y" 6; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "l" 3; "c" "v" "y" 6; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "l" 3; "c" "v" "y" 6; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "l" 3; "c" "v" "y" 6; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "l" 3; "c" "v" "y" 6; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "l" 3; "c" "v" "y" 6; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "l" 3; "c" "v" "y" 6; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "l" 3; "c" "v" "y" 6; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "l" 3; "c" "v" "y" 6; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "l" 3; "c" "v" "y" 6; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "l" 3; "c" "v" "y" 6; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "l" 3; "c" "v" "y" 6; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "l" 3; "c" "v" "y" 6; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "l" 3; "c" "v" "y" 6; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "l" 3; "c" "v" "y" 6; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "l" 3; "c" "v" "y" 6; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "l" 3; "c" "v" "y" 6; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "l" 3; "c" "v" "y" 6; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "l" 3; "c" "v" "y" 6; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "l" 3; "c" "v" "y" 6; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "l" 3; "c" "v" "y" 6; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "l" 3; "c" "v" "y" 6; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "l" 3; "c" "v" "y" 6; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "l" 3; "c" "v" "y" 6; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "l" 3; "c" "v" "y" 6; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "l" 3; "c" "v" 7; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "l" 3; "c" "v" 7; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "l" 3; "c" "v" 7; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "l" 3; "c" "v" 7; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "l" 3; "c" "v" 7; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "l" 3; "c" "v" 7; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "f" "l" 3; "c" "v" 7; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "f" "l" 3; "c" "v" 7; "d" "c" 4; "e" "n" "s" 4;
"a" "c" 5; "b" "f" "l" 3; "c" "v" 7; "d" "c" 4; "e" "l" "n" "s" 4;
"a" "c" 5; "b" "f" "l" 3; "c" "v" 7; "d" "c" 4; "e" "l" "n" "s" 4;
"a" "c" 5; "b" "f" "l" 3; "c" "v" 7; "d" "c" 4; "e" "l" "n" "s" 4;
"a" "c" 5; "b" "f" "l" 3; "c" "v" 7; "d" "c" "o" 4; "e" "l" 5;
"a" "c" 5; "b" "f" "l" 3; "c" "v" 7; "d" "c" "o" 4; "e" "l" 5;
"a" "c" 5; "b" "f" "l" 3; "c" "v" 7; "d" "c" "o" 4; "e" "l" 5;
"a" "c" 5; "b" "f" "l" 3; "c" "v" 7; "d" "c" "o" 4; "e" "l" 5;
"a" "c" 5; "b" "f" 4; "c" "v" 7; "d" "c" "o" 4; "e" "l" 5;
"a" "c" 5; "b" "f" 4; "c" "v" 7; "d" "c" "o" 4; "e" "l" 5;
"a" "c" 5; "b" "f" 4; "c" "v" 7; "d" "c" "o" 4; "e" "l" 5;
"a" "c" 5; "b" "f" 4; "c" "v" 7; "d" "c" "o" 4; "e" "l" 5;
"a" "c" 5; "b" "f" 4; "c" "v" 7; "d" "c" "o" "u" 4; "e" "l" "n" 5;
"a" "c" 5; "b" "f" 4; "c" "v" 7; "d" "c" "o" "u" 4; "e" "l" "n" 5;
"a" "c" 5; "b" "f" 4; "c" "v" 7; "d" "c" "o" "u" 4; "e" "l" "n" 5;
"a" "c" 5; "b" "f" 4; "c" "v" 7; "d" "c" "o" "u" 4; "e" "l" "n" 5;
"a" "c" 5; "b" "f" 4; "c" "v" 7; "d" "c" "o" "u" 4; "e" "l" "n" 5;
"a" "c" 5; "b" "f" 4; "c" "v" 7; "d" "c" "o" "u" 4; "e" "l" "n" 5;
"a" "c" 5; "b" "f" 4; "c" "v" 7; "d" "c" "o" "u" 4; "e" "l" "n" 5;
"a" "c" 5; "b" "f" 4; "c" "v" 7; "d" "c" "o" "u" 4; "e" "l" "n" 5;
"a" "c" 5; "b" "f" 4; "c" "v" 7; "d" "c" "o" "u" 4; "e" "l" "n" 5;
"a" "c" 5; "b" "f" 4; "c" "v" 7; "d" "c" "o" "u" 4; "e" "l" "n" 5;
"a" "c" 6; "b" "f" 4; "c" "v" 7; "d" "c" "o" "u" 4; "e" "l" "n" 5;
"a" "c" 6; "b" "f" 4; "c" "v" 7; "d" "c" "o" "u" 4; "e" "l" "n" 5;
"a" "c" 6; "b" "f" 4; "c" "v" 7; "d" "c" "o" "u" 4; "e" "l" "n" 5;
"a" "c" 6; "b" "f" 4; "c" "v" 7; "d" "c" "o" "u" 4; "e" "l" "n" 5;
"a" "c" 6; "b" "f" 4; "c" "v" 7; "d" "c" "o" "u" 4; "e" "l" "n" 5;
"a" "c" 6; "b" "f" 4; "c" "v" 7; "d" "c" "o" "u" 4; "e" "l" "n" 5;
"a" "c" 6; "b" "f" 4; "c" "v" 7; "d" "c" "o" "u" 4; "e" "l" "n" 5;
"a" "c" 6; "b" "f" 4; "c" "v" 7; "d" "c" "o" "u" 4; "e" "l" "n" 5;
"a" "c" 6; "b" "a" "f" 4; "c" "v" "y" 7; "d" "c" "o" "u" 4; "e" "l" "n" 5;
"a" "c" 6; "b" "a" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" "u" 4; "e" "l" "n" 5;
"a" "c" 6; "b" "a" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" "u" 4; "e" "l" "n" 5;
"a" "c" 6; "b" "a" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" "u" 4; "e" "l" "n" 5;
"a" "c" 6; "b" "a" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" "u" 4; "e" "l" "n" 5;
"a" "c" 6; "b" "a" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" "u" 4; "e" "l" "n" 5;
"a" "c" 6; "b" "a" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" "u" 4; "e" "l" "n" 5;
"a" "c" 6; "b" "a" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" "u" 4; "e" "l" "n" 5;
"a" "c" 6; "b" "a" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" "u" 4; "e" "l" "n" 5;
"a" "c" 6; "b" "a" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" "u" 4; "e" "l" "n" 5;
"a" "c" 6; "b" "a" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" "u" 4; "e" "l" "n" 5;
"a" "c" 7; "b" "a" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" "u" 4; "e" "l" "n" 5;
"a" "c" 7; "b" "a" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" "u" 4; "e" "l" "n" 5;
"a" "c" 7; "b" "a" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" "q" "u" 4; "e" "l" "n" "o" 5;
"a" "c" 7; "b" "a" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" "q" "u" 4; "e" "l" "n" "o" 5;
"a" "c" 7; "b" "a" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" "q" "u" 4; "e" "l" "n" "o" 5;
"a" "c" 7; "b" "a" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" "q" "u" 4; "e" "l" "n" "o" 5;
"a" "c" 7; "b" "a" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" "q" "u" 4; "e" "l" "n" "o" 5;
"a" "c" 7; "b" "a" "c" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" "q" "u" 4; "e" "l" "n" "o" 5;
