none
none
none
none
none
none
none
none
none
none
none
none
none
"e" "s" 1;
"e" "s" 1;
"e" "s" 1;
"e" "s" 1;
"e" "s" 1;
"e" "s" 1;
"e" "s" 1;
"e" "s" 1;
"e" "s" 1;
"e" "s" 1;
"d" "b" 1; "e" "s" 2;
"b" "w" 1; "d" "b" 1; "e" "s" 2;
"b" "w" 1; "d" "b" 1; "e" "s" 2;
"b" "w" 1; "d" "b" 1; "e" "s" 2;
"b" "w" 1; "d" "b" 1; "e" "s" 2;
"b" "w" 1; "d" "b" 1; "e" "s" 2;
"b" "w" 1; "d" "b" 1; "e" "s" 2;
"b" "w" 1; "d" "b" 1; "e" "s" 2;
"b" "w" 1; "d" "b" 1; "e" "s" 2;
"b" "w" 1; "d" "b" 1; "e" "s" 2;
"b" "j" "w" 1; "d" "b" 1; "e" "s" 2;
"b" "j" "w" 1; "d" "b" 1; "e" "s" 2;
"b" "j" "w" 1; "d" "b" 1; "e" "s" 2;
"a" "g" 1; "b" "j" "w" 1; "d" "b" 1; "e" "s" 2;
"a" "g" 1; "b" "j" "s" "w" 1; "d" "b" 1; "e" "s" 2;
"a" "g" "j" 1; "b" "j" "s" "w" 1; "d" "b" "y" 1; "e" "s" 2;
"a" "g" "j" 1; "b" "j" "s" "w" 1; "d" "b" "y" 1; "e" "s" 2;
"a" "g" "j" 1; "b" "j" "s" "w" 1; "d" "b" "y" 1; "e" "s" 2;
"a" "g" "j" 1; "b" "j" "s" "w" 1; "d" "b" "x" "y" 1; "e" "s" 2;
"a" "g" "j" 1; "b" "j" "s" "w" 1; "d" "b" "x" "y" 1; "e" "s" 2;
"a" "f" "g" "j" 1; "b" "j" "l" 2; "c" "j" 1; "d" "b" "e" "l" "u" "x" "y" 1; "e" "s" "t" 2;
"a" "f" "g" "j" 1; "b" "j" "l" 2; "c" "j" 1; "d" "b" "e" "l" "u" "x" "y" 1; "e" "s" "t" 2;
"a" "f" "g" "j" 1; "b" "j" "l" 2; "c" "j" 1; "d" "b" "e" "l" "u" "x" "y" 1; "e" "s" "t" 2;
"a" "a" "f" "g" "j" 1; "b" "j" "l" 2; "c" "j" 1; "d" "b" "e" "l" "u" "x" "y" 1; "e" "s" "t" 2;
"a" "a" "b" "f" "g" "j" 1; "b" "j" "l" 2; "c" "j" 1; "d" "b" "e" "l" "s" "u" "x" "y" 1; "e" "s" "t" 2;
"a" "a" "b" "f" "g" "j" 1; "b" "j" "l" 2; "c" "j" 1; "d" "b" "e" "l" "s" "u" "x" "y" 1; "e" "s" "t" 2;
"a" "a" "b" "f" "g" "j" 1; "b" "j" "l" 2; "c" "j" 1; "d" "b" "e" "l" "s" "u" "x" "y" 1; "e" "s" "t" 2;
"a" "a" "b" "f" "g" "j" 1; "b" "j" "l" 2; "c" "j" 1; "d" "b" "e" "l" "s" "u" "x" "y" 1; "e" "s" "t" 2;
"a" "a" "b" "f" "g" "j" 1; "b" "j" "l" 2; "c" "j" "w" 1; "d" "b" "e" "l" "s" "u" "x" "y" 1; "e" "s" "t" 2;
"a" "a" "b" "e" "f" "g" "j" "p" "t" "v" 1; "b" "j" "l" 2; "c" "j" "w" 1; "d" "b" "e" "l" "s" "u" "x" "y" 1; "e" "s" "t" 2;
"a" "a" "b" "e" "f" "g" "j" "p" "t" "v" 1; "b" "j" "l" 2; "c" "w" 2; "d" "b" "e" "l" "s" "u" "x" "y" 1; "e" "s" "t" 2;
"a" "a" "b" "e" "f" "g" "j" "p" "t" "v" 1; "b" "j" "l" 2; "c" "w" 2; "d" "b" "e" "l" "s" "u" "x" "y" 1; "e" "s" "t" 2;
"a" "a" "b" "e" "f" "g" "j" "p" "t" "v" 1; "b" "j" 3; "c" "w" 2; "d" "b" "e" "l" "s" "u" "x" "y" 1; "e" "s" "t" 2;
"a" "a" "b" "e" "f" "g" "j" "p" "t" "v" 1; "b" "j" 3; "c" "w" 2; "d" "b" "e" "l" "s" "u" "x" "y" 1; "e" "s" "t" 2;
"a" "a" "b" "e" "f" "g" "j" "p" "t" "v" 1; "b" "j" 3; "c" "w" 2; "d" "b" "e" "l" "s" "u" "x" "y" 1; "e" "s" "t" 2;
"a" "a" "b" "e" "f" "g" "j" "p" "t" "v" 1; "b" "j" 3; "c" "w" 2; "d" "b" "e" "l" "s" "u" "x" "y" 1; "e" "s" "t" 2;
"a" "a" "b" "e" "f" "g" "j" "p" "t" "v" 1; "b" "j" 3; "c" "w" 2; "d" "u" 2; "e" "s" "t" 2;
"a" "a" "b" "e" "f" "g" "j" "p" "t" "v" 1; "b" "j" 3; "c" "w" 2; "d" "u" 2; "e" "s" "t" 2;
"a" "f" 2; "b" "j" 3; "c" "w" 2; "d" "u" 2; "e" "s" "t" 2;
"a" "f" 2; "b" "j" 3; "c" "w" 2; "d" "e" "u" 2; "e" "s" "t" 2;
"a" "f" 2; "b" "j" 3; "c" "w" 2; "d" "e" "u" 2; "e" "s" "t" 2;
"a" "f" 2; "b" "j" 3; "c" "w" 2; "d" "b" "e" "u" 2; "e" "s" "t" 2;
"a" "f" 2; "b" "j" 3; "c" "w" 2; "d" "b" "e" "u" "x" 2; "e" "s" "t" 2;
"a" "f" 2; "b" "j" 3; "c" "w" 2; "d" "b" "e" "u" "x" 2; "e" "s" "t" 2;
"a" "f" 2; "b" "j" 3; "c" "w" 2; "d" "b" "e" "u" "x" 2; "e" "s" "t" "w" 2;
"a" "f" 2; "b" "j" 3; "c" "w" 2; "d" "b" "e" "u" "x" 2; "e" "s" "t" "w" 2;
"a" "f" 2; "b" "j" 3; "c" "w" 2; "d" "b" "e" "u" "x" 2; "e" "s" "t" "w" 2;
"a" "f" 2; "b" "j" 3; "c" "w" 2; "d" "b" "e" "u" "x" 2; "e" "s" "t" "w" 2;
"a" "f" 2; "b" "j" 3; "c" "w" 2; "d" "b" "e" "u" "x" 2; "e" "s" "t" "w" 2;
"a" "f" 2; "b" "j" 3; "c" "w" 2; "d" "b" "e" "u" "x" 2; "e" "s" "t" "w" 2;
"a" "f" 2; "b" "j" 3; "c" "w" 2; "d" "b" "e" "u" "x" 2; "e" "t" 3;
"a" "f" 2; "b" "j" 3; "c" "w" 2; "d" "b" "e" "u" "x" 2; "e" "t" 3;
"a" "f" 2; "b" "j" 3; "c" "w" 2; "d" "b" "e" "u" "x" 2; "e" "t" 3;
"a" "f" 2; "b" "j" 3; "c" "w" 2; "d" "b" "e" "u" "x" 2; "e" "t" 3;
"a" "f" 2; "b" "j" 3; "c" "w" 2; "d" "b" "e" "u" "x" 2; "e" "t" 3;
"a" "f" "t" 2; "b" "j" 3; "c" "w" 2; "d" "b" "e" "u" "x" 2; "e" "t" 3;
"a" "f" "t" 2; "b" "j" 3; "c" "w" 2; "d" "b" "e" "u" "x" 2; "e" "t" 3;
"a" "f" "t" 2; "b" "j" 3; "c" "w" 2; "d" "b" "e" "u" "x" "y" 2; "e" "t" 3;
"a" "f" "t" "v" 2; "b" "j" 3; "c" "w" 2; "d" "b" "e" "u" "x" "y" 2; "e" "t" 3;
"a" "f" "t" "v" 2; "b" "j" 3; "c" "w" 2; "d" "b" "e" "u" "x" "y" 2; "e" "t" 3;
"a" "f" "t" "v" 2; "b" "j" 3; "c" "w" 2; "d" "b" "e" "u" "x" "y" 2; "e" "t" 3;
"a" "f" "t" "v" 2; "b" "j" 3; "c" "w" 2; "d" "b" "e" "u" "x" "y" 2; "e" "t" 3;
"a" "f" "t" "v" 2; "b" "j" 3; "c" "w" 2; "d" "b" "e" "u" "x" "y" 2; "e" "t" 3;
"a" "f" "t" "v" 2; "b" "j" 3; "c" "w" 2; "d" "b" "e" "u" "x" "y" 2; "e" "t" 3;
"a" "f" "t" "v" 2; "b" "j" 3; "c" "w" "x" 2; "d" "b" "e" "u" "x" "y" 2; "e" "t" "w" 3;
"a" "f" "t" "v" 2; "b" "j" 3; "c" "w" "x" 2; "d" "b" "e" "u" "x" "y" 2; "e" "t" "w" 3;
"a" "f" "t" "v" 2; "b" "j" 3; "c" "w" "x" 2; "d" "b" "e" "u" "x" "y" 2; "e" "t" "w" 3;
"a" "f" "t" "v" 2; "b" "j" 3; "c" "w" "x" 2; "d" "b" "e" "u" "x" "y" 2; "e" "t" "w" 3;
"a" "f" "t" "v" 2; "b" "j" 3; "c" "w" "x" 2; "d" "b" "e" "u" "x" "y" 2; "e" "t" "w" 3;
"a" "f" "t" "v" 2; "b" "j" 3; "c" "w" "x" 2; "d" "y" 3; "e" "t" "w" 3;
"a" "f" "t" "v" 2; "b" "j" 3; "c" "w" "x" 2; "d" "y" 3; "e" "t" "w" 3;
"a" "f" "t" "v" 2; "b" "j" 3; "c" "w" "x" 2; "d" "y" 3; "e" "t" "w" 3;
"a" "f" "t" "v" 2; "b" "j" 3; "c" "w" "x" 2; "d" "y" 3; "e" "t" "w" 3;
"a" "f" "t" "v" 2; "b" "j" 3; "c" "w" "x" 2; "d" "y" 3; "e" "t" "w" 3;
"a" "f" "t" "v" 2; "b" "j" 3; "c" "x" 3; "d" "y" 3; "e" "t" "w" 3;
"a" "f" "t" "v" 2; "b" "j" 3; "c" "x" 3; "d" "y" 3; "e" "t" "w" 3;
"a" "f" "t" "v" 2; "b" "j" 3; "c" "x" 3; "d" "y" 3; "e" "t" "w" 3;
"a" "f" "t" "v" 2; "b" "j" 3; "c" "x" 3; "d" "y" 3; "e" "t" "w" 3;
"a" "f" "t" "v" 2; "b" "j" 3; "c" "x" 3; "d" "y" 3; "e" "t" "w" 3;
"a" "b" "f" "t" "v" 2; "b" "j" 3; "c" "x" 3; "d" "y" 3; "e" "t" "w" 3;
"a" "b" "f" "t" "v" 2; "b" "j" 3; "c" "x" 3; "d" "y" 3; "e" "t" "w" 3;
"a" "b" "f" "t" "v" 2; "b" "j" 3; "c" "x" 3; "d" "y" 3; "e" "t" "w" 3;
"a" "b" "f" "t" "v" 2; "b" "j" 3; "c" "x" 3; "d" "y" 3; "e" "t" "w" 3;
"a" "t" 3; "b" "j" 3; "c" "x" 3; "d" "y" 3; "e" "t" "w" 3;
"a" "t" 3; "b" "j" 3; "c" "x" 3; "d" "y" 3; "e" "t" "w" 3;
"a" "t" 3; "b" "j" 3; "c" "x" 3; "d" "y" 3; "e" "t" "w" 3;
"a" "t" 3; "b" "j" 3; "c" "x" 3; "d" "y" 3; "e" "t" "w" 3;
"a" "t" 3; "b" "j" 3; "c" "x" 3; "d" "y" 3; "e" "t" "w" 3;
"a" "t" 3; "b" "j" 3; "c" "x" 3; "d" "y" 3; "e" "t" "w" 3;
"a" "t" "v" 3; "b" "j" 3; "c" "x" 3; "d" "y" 3; "e" "t" "w" 3;
"a" "t" "v" 3; "b" "j" 3; "c" "x" 4; "d" "y" 3; "e" "t" "w" 3;
"a" "t" "v" 3; "b" "j" 3; "c" "x" 4; "d" "y" 3; "e" "t" "w" 3;
"a" "t" "v" 3; "b" "j" 3; "c" "x" 4; "d" "y" 3; "e" "t" "w" 3;
"a" "t" "v" 3; "b" "j" 3; "c" "x" 4; "d" "y" 3; "e" "t" "w" 3;
"a" "t" "v" 3; "b" "j" 3; "c" "x" 4; "d" "y" 3; "e" "t" "w" 3;
"a" "t" "v" 3; "b" "j" 3; "c" "x" 4; "d" "y" 3; "e" "t" "w" 3;
"a" "t" "v" 3; "b" "j" 3; "c" "x" 4; "d" "x" "y" 3; "e" "t" "w" 3;
"a" "t" "v" 3; "b" "j" 3; "c" "x" 4; "d" "x" "y" 3; "e" "t" "w" 3;
"a" "t" "v" 3; "b" "j" 3; "c" "x" 4; "d" "x" "y" 3; "e" "t" "w" 3;
"a" "t" "v" 3; "b" "j" 3; "c" "x" 4; "d" "x" "y" 3; "e" "t" "w" 3;
"a" "t" "v" 3; "b" "j" 3; "c" "x" 4; "d" "x" "y" 3; "e" "t" "w" 3;
"a" "t" "v" 3; "b" "j" 3; "c" "x" 4; "d" "x" "y" 3; "e" "t" "w" 3;
"a" "b" "t" "v" 3; "b" "j" "x" 3; "c" "x" 4; "d" "x" "y" 3; "e" "t" "w" 3;
"a" "b" "t" "v" 3; "b" "j" "x" 3; "c" "x" 4; "d" "x" "y" 3; "e" "t" "w" 3;
"a" "b" "t" "v" 3; "b" "j" "x" 3; "c" "x" 4; "d" "x" "y" 3; "e" "t" "w" 3;
"a" "b" "t" "v" 3; "b" "j" "x" 3; "c" "x" 4; "d" "x" "y" 3; "e" "t" "w" 3;
"a" "b" "t" "v" 3; "b" "j" "x" 3; "c" "x" 4; "d" "x" "y" 3; "e" "t" "w" 3;
"a" "b" "t" "v" 3; "b" "j" "x" 3; "c" "x" 4; "d" "x" "y" 3; "e" "t" "w" 3;
"a" "b" "t" "v" 3; "b" "j" "x" 3; "c" "x" 4; "d" "x" "y" 3; "e" "t" "w" 3;
"a" "b" "t" "v" 3; "b" "j" "x" 3; "c" "x" 4; "d" "x" "y" 3; "e" "t" "w" 3;
"a" "b" "t" "v" 3; "b" "j" "x" 3; "c" "x" 4; "d" "x" "y" 3; "e" "t" "w" 3;
"a" "b" "t" "v" 3; "b" "j" "x" 3; "c" "x" 4; "d" "x" "y" 3; "e" "t" "w" 3;
"a" "b" "t" "v" 3; "b" "j" "x" 3; "c" "x" 4; "d" "x" "y" 3; "e" "t" "w" 3;
"a" "b" "t" "v" 3; "b" "j" "x" 3; "c" "x" 4; "d" "x" "y" 3; "e" "t" "w" 3;
"a" "b" "t" "v" 3; "b" "j" "x" 3; "c" "x" 4; "d" "x" "y" 3; "e" "t" "w" 3;
"a" "b" "t" "v" 3; "b" "j" "x" 3; "c" "x" 4; "d" "x" "y" 3; "e" "t" "w" 3;
"a" "b" "t" "v" 3; "b" "j" "x" 3; "c" "x" 4; "d" "x" "y" 3; "e" "t" "w" 3;
"a" "b" "t" "v" 3; "b" "j" "x" 3; "c" "x" 4; "d" "x" "y" 3; "e" "t" "w" 3;
"a" "b" "t" "v" 3; "b" "j" "x" 3; "c" "x" 4; "d" "x" "y" 3; "e" "t" "w" 3;
"a" "b" "t" "v" 3; "b" "j" "x" 3; "c" "x" 4; "d" "x" "y" 3; "e" "t" "w" 3;
"a" "b" "t" "v" 3; "b" "j" "x" 3; "c" "x" 4; "d" "d" "x" "y" 3; "e" "t" "w" 3;
"a" "b" "t" "v" 3; "b" "j" "x" 3; "c" "x" 4; "d" "d" "x" "y" 3; "e" "t" "w" 3;
"a" "b" "t" "v" 3; "b" "j" "x" 3; "c" "x" 4; "d" "d" "x" "y" 3; "e" "t" "w" 3;
"a" "b" "t" "v" 3; "b" "j" "x" 3; "c" "x" 4; "d" "d" "x" "y" 3; "e" "t" "w" 3;
"a" "b" "t" "v" 3; "b" "j" "x" 3; "c" "x" 4; "d" "d" "x" "y" 3; "e" "t" "w" 3;
"a" "b" "t" "v" 3; "b" "j" "x" 3; "c" "x" 4; "d" "d" "x" "y" 3; "e" "t" "w" 3;
"a" "b" "t" "v" 3; "b" "j" "x" 3; "c" "x" 4; "d" "d" "x" "y" 3; "e" "t" "w" 3;
"a" "b" "t" "v" 3; "b" "j" "x" 3; "c" "x" 4; "d" "d" "x" "y" 3; "e" "t" "w" 3;
"a" "b" "t" "v" 3; "b" "j" "x" 3; "c" "x" 4; "d" "d" "x" "y" 3; "e" "t" "w" 3;
"a" "b" "t" "v" 3; "b" "j" "x" 3; "c" "x" 4; "d" "d" "e" "x" "y" 3; "e" "t" "w" 3;
"a" "b" "t" "v" 3; "b" "j" "x" 3; "c" "x" 4; "d" "d" "e" "x" "y" 3; "e" "t" "w" 3;
"a" "b" "t" "v" 3; "b" "j" "x" 3; "c" "x" 4; "d" "d" "e" "x" "y" 3; "e" "t" "w" 3;
"a" "b" "t" "v" 3; "b" "j" "x" 3; "c" "x" 4; "d" "d" "e" "x" "y" 3; "e" "t" "w" 3;
"a" "b" "t" "v" 3; "b" "j" "x" 3; "c" "x" 4; "d" "d" "e" "x" "y" 3; "e" "t" "w" 3;
"a" "v" 4; "b" "j" "x" 3; "c" "x" 4; "d" "d" "e" "x" "y" 3; "e" "t" "w" 3;
"a" "v" 4; "b" "j" "x" 3; "c" "x" 4; "d" "d" "e" "x" "y" 3; "e" "t" "w" 3;
"a" "v" 4; "b" "j" "x" 3; "c" "x" 4; "d" "d" "e" "x" "y" 3; "e" "t" "w" 3;
"a" "v" 4; "b" "j" "x" 3; "c" "x" 4; "d" "d" "e" "x" "y" 3; "e" "t" "w" 3;
"a" "v" 4; "b" "j" "x" 3; "c" "x" 4; "d" "d" "e" "x" "y" 3; "e" "t" "w" 3;
"a" "v" 4; "b" "j" "x" 3; "c" "x" 4; "d" "d" "e" "x" "y" 3; "e" "t" "w" 3;
"a" "v" 4; "b" "j" "x" 3; "c" "x" 4; "d" "d" "e" "x" "y" 3; "e" "t" "w" 3;
"a" "v" 4; "b" "j" "x" 3; "c" "x" 4; "d" "d" "e" "x" "y" 3; "e" "t" "w" 3;
"a" "v" 4; "b" "j" "x" 3; "c" "x" 4; "d" "d" "e" "x" "y" 3; "e" "t" "w" 3;
"a" "v" 4; "b" "j" "x" 3; "c" "x" 4; "d" "d" "e" "x" "y" 3; "e" "t" "w" 3;
"a" "v" 4; "b" "j" "x" 3; "c" "x" 4; "d" "d" "e" "l" "x" "y" 3; "e" "t" "w" 3;
"a" "v" 4; "b" "j" "x" 3; "c" "x" 4; "d" "d" "e" "l" "x" "y" 3; "e" "t" "w" 3;
"a" "v" 4; "b" "j" "x" 3; "c" "x" 4; "d" "d" "e" "l" "x" "y" 3; "e" "t" "w" 3;
"a" "v" 4; "b" "j" "x" 3; "c" "x" 5; "d" "d" "e" "l" "x" "y" 3; "e" "t" "w" 3;
"a" "v" 4; "b" "j" "x" 3; "c" "x" 5; "d" "d" "e" "l" "x" "y" 3; "e" "t" "w" 3;
"a" "v" 4; "b" "j" "x" 3; "c" "x" 5; "d" "d" "e" "l" "x" "y" 3; "e" "t" "w" 3;
"a" "v" 4; "b" "j" "x" 3; "c" "x" 5; "d" "d" "e" "l" "x" "y" 3; "e" "t" "w" 3;
"a" "v" 4; "b" "j" "x" 3; "c" "x" 5; "d" "d" "e" "l" "x" "y" 3; "e" "t" "w" 3;
"a" "b" "v" 4; "b" "j" "x" 3; "c" "x" 5; "d" "d" "e" "l" "x" "y" 3; "e" "t" "w" 3;
"a" "b" "v" 4; "b" "j" "x" 3; "c" "x" 5; "d" "d" "e" "l" "x" "y" 3; "e" "t" "w" 3;
"a" "b" "v" 4; "b" "j" "n" "x" 3; "c" "x" 5; "d" "d" "e" "l" "x" "y" 3; "e" "t" "w" 3;
"a" "b" "v" 4; "b" "j" "n" "x" 3; "c" "x" 5; "d" "d" "e" "l" "x" "y" 3; "e" "l" "t" "w" 3;
"a" "b" "v" 4; "b" "j" "n" "x" 3; "c" "x" 5; "d" "d" "e" "l" "x" "y" 3; "e" "l" "t" "w" 3;
"a" "b" "v" 4; "b" "j" "n" "x" 3; "c" "x" 5; "d" "d" "e" "l" "x" "y" 3; "e" "l" "t" "w" 3;
"a" "b" "v" 4; "b" "j" "n" "s" "x" 3; "c" "x" 5; "d" "c" "d" "e" "l" "x" "y" 3; "e" "l" "t" "w" 3;
"a" "b" "v" 4; "b" "j" "n" "s" "x" 3; "c" "x" 5; "d" "c" "d" "e" "l" "x" "y" 3; "e" "l" "t" "w" 3;
"a" "b" "v" 4; "b" "j" "n" "s" "u" "x" 3; "c" "x" 5; "d" "c" "d" "e" "l" "x" "y" 3; "e" "l" "t" "w" 3;
"a" "b" "v" 4; "b" "j" "n" "s" "u" "x" 3; "c" "x" 5; "d" "c" "d" "e" "l" "x" "y" 3; "e" "l" "t" "w" 3;
"a" "b" "v" 4; "b" "j" "n" "s" "u" "x" 3; "c" "x" 5; "d" "c" "d" "e" "l" "x" "y" 3; "e" "l" "t" "w" 3;
"a" "b" "v" 4; "b" "j" "n" "s" "u" "x" 3; "c" "x" 5; "d" "c" "d" "e" "l" "x" "y" 3; "e" "l" "t" "w" 3;
"a" "b" "v" 4; "b" "j" "n" "s" "u" "x" 3; "c" "x" 5; "d" "c" "d" "e" "l" "x" "y" 3; "e" "l" "t" "w" 3;
"a" "b" "v" 4; "b" "j" "n" "s" "u" "x" 3; "c" "x" 5; "d" "x" 4; "e" "l" "t" "w" 3;
"a" "b" "v" 4; "b" "j" "n" "s" "u" "x" 3; "c" "x" 5; "d" "x" 4; "e" "l" "t" "w" 3;
"a" "b" "v" 4; "b" "j" "n" "s" "u" "x" 3; "c" "x" 5; "d" "x" 4; "e" "l" "t" "w" 3;
"a" "b" "v" 4; "b" "j" "n" "s" "u" "x" 3; "c" "x" 5; "d" "x" 4; "e" "l" "t" "w" 3;
"a" "b" "v" 4; "b" "j" "n" "s" "u" "x" 3; "c" "x" 5; "d" "x" 4; "e" "l" "t" "w" 3;
"a" "b" "v" 4; "b" "j" "n" "s" "u" "x" 3; "c" "x" 5; "d" "x" 4; "e" "l" "t" "w" 3;
"a" "b" "v" 4; "b" "j" "n" "s" "u" "x" 3; "c" "x" 5; "d" "x" 4; "e" "l" "t" "w" 3;
"a" "b" "v" 4; "b" "j" "n" "s" "u" "x" 3; "c" "x" 5; "d" "x" 4; "e" "l" "o" "t" "w" 3;
"a" "b" "v" 4; "b" "j" "n" "s" "u" "x" 3; "c" "x" 5; "d" "x" 4; "e" "l" "o" "t" "w" 3;
"a" "b" "v" 4; "b" "j" "n" "s" "u" "x" 3; "c" "x" 5; "d" "x" 4; "e" "j" "l" "o" "t" "w" 3;
"a" "b" "v" 4; "b" "j" "n" "s" "u" "x" 3; "c" "x" 5; "d" "x" 4; "e" "l" 4;
"a" "b" "v" 4; "b" "h" "j" "n" "s" "u" "x" 3; "c" "x" 5; "d" "x" 4; "e" "l" 4;
"a" "b" "v" 4; "b" "h" "j" "n" "s" "u" "x" 3; "c" "x" 5; "d" "x" 4; "e" "l" 4;
"a" "b" "v" 4; "b" "h" "j" "n" "s" "u" "x" 3; "c" "x" 5; "d" "x" 4; "e" "l" 4;
"a" "b" "v" 4; "b" "h" "j" "n" "s" "u" "x" 3; "c" "x" 5; "d" "x" 4; "e" "l" 4;
"a" "b" "v" 4; "b" "h" "j" "n" "s" "u" "x" 3; "c" "x" 5; "d" "x" 4; "e" "l" 4;
"a" "b" "v" 4; "b" "h" "j" "n" "s" "u" "x" 3; "c" "x" 5; "d" "x" 4; "e" "l" 4;
"a" "b" "v" 4; "b" "h" "j" "n" "s" "u" "x" 3; "c" "x" 5; "d" "x" 4; "e" "l" 4;
"a" "b" "v" 4; "b" "h" "j" "n" "s" "u" "x" 3; "c" "x" 5; "d" "x" 4; "e" "l" 4;
"a" "b" "v" 4; "b" "h" "j" "n" "s" "u" "x" 3; "c" "x" 5; "d" "x" 4; "e" "l" 4;
"a" "b" "v" 4; "b" "h" "j" "n" "s" "u" "x" 3; "c" "x" 5; "d" "x" 4; "e" "l" 4;
"a" "b" "v" 4; "b" "h" "j" "n" "s" "u" "x" 3; "c" "x" 5; "d" "x" 4; "e" "l" 4;
"a" "b" "v" 4; "b" "h" "j" "n" "s" "u" "x" 3; "c" "x" 5; "d" "x" 4; "e" "l" 4;
"a" "b" "v" 4; "b" "h" "j" "n" "s" "u" "x" 3; "c" "x" 5; "d" "x" 4; "e" "l" 4;
"a" "b" "v" 4; "b" "h" "j" "n" "s" "u" "x" 3; "c" "x" 5; "d" "x" 4; "e" "l" 4;
"a" "b" "v" 4; "b" "h" "j" "n" "s" "u" "x" 3; "c" "x" 5; "d" "x" 4; "e" "l" 4;
"a" "b" "v" 4; "b" "h" "j" "n" "s" "u" "x" 3; "c" "x" 5; "d" "x" 4; "e" "l" 4;
"a" "b" "v" 4; "b" "h" "j" "n" "s" "u" "x" 3; "c" "x" 5; "d" "x" 4; "e" "l" 4;
"a" "b" "v" 4; "b" "h" "j" "n" "s" "u" "x" 3; "c" "x" 5; "d" "x" 4; "e" "l" 4;
"a" "b" "v" 4; "b" "h" "j" "n" "s" "u" "x" 3; "c" "x" 5; "d" "x" 4; "e" "l" 4;
"a" "b" "v" 4; "b" "h" "j" "n" "s" "u" "x" 3; "c" "x" 5; "d" "x" 4; "e" "l" 4;
"a" "b" "v" 4; "b" "h" "j" "n" "s" "u" "x" 3; "c" "x" 5; "d" "x" 4; "e" "l" 4;
"a" "b" "v" 4; "b" "h" "j" "n" "s" "u" "x" 3; "c" "x" 5; "d" "x" 4; "e" "l" 4;
"a" "b" "v" 4; "b" "h" "j" "n" "s" "u" "x" 3; "c" "x" 5; "d" "x" 4; "e" "l" 4;
"a" "v" 5; "b" "h" "j" "n" "s" "u" "x" 3; "c" "x" 5; "d" "x" 4; "e" "l" 4;
