none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"b" "h" 1;
"b" "h" 1; "d" "h" 1;
"b" "h" 1; "d" "h" 1;
"b" "h" 1; "c" "b" 1; "d" "h" "m" 1;
"b" "h" 1; "c" "b" 1; "d" "h" "m" "s" 1;
"a" "t" 1; "b" "h" 1; "c" "b" 1; "d" "h" "m" "s" 1;
"a" "t" 1; "b" "h" 1; "c" "b" "v" 1; "d" "h" "m" "s" 1;
"a" "t" 1; "b" "h" 1; "c" "b" "v" 1; "d" "h" "m" "s" 1;
"a" "t" 1; "b" "h" 1; "c" "b" "v" 1; "d" "h" "m" "s" 1;
"a" "t" 1; "b" "h" 1; "c" "b" "v" 1; "d" "h" "m" "s" 1;
"a" "k" 3; "b" "a" "h" 3; "c" "x" 2; "d" "a" "m" "p" 2; "e" "s" 4;
"a" "k" 3; "b" "a" "h" 3; "c" "x" 2; "d" "a" "m" "p" 2; "e" "s" 4;
"a" "k" 3; "b" "a" "h" 3; "c" "x" 2; "d" "a" "m" "p" 2; "e" "s" 4;
"a" "k" 3; "b" "a" "h" 3; "c" "x" 2; "d" "a" "m" "p" 2; "e" "s" 4;
"a" "k" 3; "b" "a" "h" 3; "c" "x" 2; "d" "a" "m" "p" 2; "e" "s" 4;
"a" "k" 3; "b" "a" "h" 3; "c" "x" 2; "d" "a" "m" "p" 2; "e" "s" 4;
"a" "k" 3; "b" "a" "h" 3; "c" "x" 2; "d" "a" "m" "p" 2; "e" "s" 4;
"a" "k" 3; "b" "a" "h" 3; "c" "x" 2; "d" "a" "m" "p" 2; "e" "s" 4;
"a" "k" 3; "b" "a" "h" 3; "c" "x" 2; "d" "a" "m" "p" 2; "e" "s" 4;
"a" "k" 3; "b" "a" "h" 3; "c" "x" 2; "d" "a" "m" "p" 2; "e" "s" 4;
"a" "k" 3; "b" "a" "h" 3; "c" "x" 2; "d" "a" "m" "p" 2; "e" "s" 4;
"a" "k" 3; "b" "a" "h" 3; "c" "x" 2; "d" "a" "m" "p" 2; "e" "s" 4;
"a" "k" 3; "b" "a" "h" 3; "c" "x" 2; "d" "a" "m" "p" 2; "e" "s" 4;
"a" "k" 3; "b" "a" "h" 3; "c" "x" 2; "d" "p" 3; "e" "s" 4;
"a" "k" 3; "b" "a" "h" 3; "c" "x" 2; "d" "p" 3; "e" "s" 4;
"a" "k" 3; "b" "a" "h" 3; "c" "x" 2; "d" "p" 3; "e" "s" 4;
"a" "k" 3; "b" "a" "h" 3; "c" "b" "x" 2; "d" "p" 3; "e" "s" 4;
"a" "k" 3; "b" "a" "h" 3; "c" "b" "x" 2; "d" "p" 3; "e" "s" 4;
"a" "k" 3; "b" "a" "h" 3; "c" "b" "x" 2; "d" "p" 3; "e" "s" 4;
"a" "k" 3; "b" "a" "h" 3; "c" "b" "x" 2; "d" "p" 3; "e" "s" 4;
"a" "k" 3; "b" "a" "h" 3; "c" "b" "x" 2; "d" "p" 3; "e" "s" 4;
"a" "k" 3; "b" "a" "h" 3; "c" "b" "x" 2; "d" "p" 3; "e" "s" 4;
"a" "k" 3; "b" "a" "h" 3; "c" "b" "x" 2; "d" "p" 3; "e" "s" 4;
"a" "k" 3; "b" "a" "h" 3; "c" "b" "x" 2; "d" "p" 3; "e" "s" 4;
"a" "k" 3; "b" "a" "h" 3; "c" "b" "x" 2; "d" "p" 3; "e" "s" 4;
"a" "k" 3; "b" "a" "h" 3; "c" "b" "x" 2; "d" "p" 3; "e" "s" 4;
"a" "k" 3; "b" "a" "h" 3; "c" "b" "f" "x" 2; "d" "p" 3; "e" "s" 4;
"a" "k" 3; "b" "a" "h" 3; "c" "b" "f" "x" 2; "d" "p" 3; "e" "s" 4;
"a" "k" 3; "b" "a" "h" 3; "c" "b" "f" "x" 2; "d" "p" 3; "e" "s" 4;
"a" "k" 3; "b" "a" "h" 3; "c" "b" "f" "x" 2; "d" "p" 3; "e" "s" 4;
"a" "k" 3; "b" "a" "h" 3; "c" "b" "f" "x" 2; "d" "p" 3; "e" "s" 4;
"a" "k" 3; "b" "a" "h" "r" 3; "c" "b" "f" "x" 2; "d" "m" "p" 3; "e" "s" 4;
"a" "k" 3; "b" "a" "h" "r" 3; "c" "b" "f" "x" 2; "d" "m" "p" 3; "e" "m" "p" "s" "t" 3;
"a" "k" 3; "b" "a" "h" "r" 3; "c" "b" "f" "x" 2; "d" "m" "p" 3; "e" "m" "p" "s" "t" 3;
"a" "k" 3; "b" "a" "h" "r" 3; "c" "b" "f" "x" 2; "d" "m" "p" 3; "e" "m" "p" "s" "t" 3;
"a" "k" 3; "b" "a" "h" "r" 3; "c" "b" "f" "x" 2; "d" "m" "p" 3; "e" "m" "p" "s" "t" 3;
"a" "k" 3; "b" "a" "h" "r" 3; "c" "b" "f" "x" 2; "d" "m" "p" 3; "e" "m" "p" "s" "t" 3;
"a" "k" 3; "b" "a" "h" "r" 3; "c" "b" "f" "x" 2; "d" "m" "p" 3; "e" "m" "p" "s" "t" 3;
"a" "k" 3; "b" "a" "h" "r" 3; "c" "b" "f" "x" 2; "d" "m" "p" 3; "e" "m" "p" "s" "t" 3;
"a" "k" 3; "b" "a" "h" "r" 3; "c" "b" "f" "x" 2; "d" "m" "p" 3; "e" "m" "p" "s" "t" 3;
"a" "k" 3; "b" "a" "h" "r" 3; "c" "b" "f" "x" 2; "d" "m" "p" 3; "e" "m" "p" "s" "t" 3;
"a" "k" 3; "b" "a" "h" "r" 3; "c" "b" "f" "x" 2; "d" "m" "p" 3; "e" "m" "p" "s" "t" 3;
"a" "k" 3; "b" "a" "h" "r" 3; "c" "b" "f" "x" 2; "d" "m" "p" 3; "e" "m" "p" "s" "t" 3;
"a" "k" 3; "b" "a" "h" "r" 3; "c" "b" "f" "x" 2; "d" "m" "p" 3; "e" "m" "p" "s" "t" 3;
"a" "k" 3; "b" "a" "h" "r" 3; "c" "b" "f" "x" 2; "d" "m" "p" 3; "e" "m" "p" "s" "t" 3;
"a" "k" 3; "b" "a" "h" "r" 3; "c" "b" "f" "x" 2; "d" "m" "p" 3; "e" "m" "p" "s" "t" 3;
"a" "k" 3; "b" "a" "h" "r" 3; "c" "b" "f" "x" 2; "d" "m" "p" 3; "e" "m" "p" "s" "t" 3;
"a" "k" 3; "b" "a" "h" "r" "u" 3; "c" "b" "f" "x" 2; "d" "m" "p" 3; "e" "m" "p" "s" "t" 3;
"a" "k" 3; "b" "a" "h" "r" "u" 3; "c" "b" "f" "x" 2; "d" "m" "p" 3; "e" "m" "p" "s" "t" 3;
"a" "k" 3; "b" "a" "h" "r" "u" 3; "c" "b" "f" "x" 2; "d" "m" "p" 3; "e" "m" "p" "s" "t" 3;
"a" "k" 3; "b" "a" "h" "r" "u" 3; "c" "b" "f" "x" 2; "d" "m" "p" 3; "e" "m" "p" "s" "t" 3;
"a" "k" 3; "b" "a" "h" "r" "u" 3; "c" "b" "f" "x" 2; "d" "m" "p" 3; "e" "m" "p" "s" "t" 3;
"a" "k" 3; "b" "a" "h" "r" "u" 3; "c" "b" "f" "x" 2; "d" "m" "p" 3; "e" "m" "p" "s" "t" 3;
"a" "k" 3; "b" "a" "h" "r" "u" 3; "c" "b" "d" "f" "x" "y" 2; "d" "m" "p" 3; "e" "m" "p" "s" "t" 3;
"a" "k" 3; "b" "a" "h" "r" "u" 3; "c" "b" "d" "f" "x" "y" 2; "d" "m" "p" 3; "e" "m" "p" "s" "t" 3;
"a" "k" 3; "b" "a" "h" "r" "u" 3; "c" "b" "d" "f" "x" "y" 2; "d" "m" "p" 3; "e" "m" "p" "s" "t" 3;
"a" "k" 3; "b" "a" "h" "r" "u" 3; "c" "b" "d" "f" "k" "x" "y" 2; "d" "m" "p" 3; "e" "m" "p" "s" "t" 3;
"a" "k" 3; "b" "a" "h" "r" "u" 3; "c" "f" 3; "d" "m" "p" 3; "e" "m" "p" "s" "t" 3;
"a" "k" 3; "b" "a" "h" "r" "u" 3; "c" "f" 3; "d" "m" "p" 3; "e" "m" "p" "s" "t" 3;
"a" "k" 3; "b" "a" 4; "c" "f" 3; "d" "m" "p" 3; "e" "m" "p" "s" "t" 3;
"a" "k" 3; "b" "a" 4; "c" "f" 3; "d" "m" "p" 3; "e" "m" "p" "s" "t" 3;
"a" "k" 3; "b" "a" 4; "c" "f" "k" 3; "d" "m" "p" 3; "e" "m" "p" "s" "t" 3;
"a" "k" 3; "b" "a" 4; "c" "f" "k" 3; "d" "m" "p" 3; "e" "m" "p" "s" "t" 3;
"a" "k" 3; "b" "a" 4; "c" "f" "k" 3; "d" "m" "p" 3; "e" "m" "p" "s" "t" 3;
"a" "k" 3; "b" "a" "u" 4; "c" "f" "k" 3; "d" "m" "p" 3; "e" "m" "p" "s" "t" 3;
"a" "k" 3; "b" "a" "u" 4; "c" "d" "f" "k" 3; "d" "m" "p" 3; "e" "m" "p" "s" "t" 3;
"a" "k" 3; "b" "a" "u" 4; "c" "d" "f" "k" 3; "d" "m" "p" 3; "e" "m" "p" "s" "t" 3;
"a" "k" 3; "b" "a" "u" 4; "c" "d" "f" "k" 3; "d" "m" "p" 3; "e" "m" "p" "s" "t" 3;
"a" "k" 3; "b" "a" "u" 4; "c" "d" "f" "k" 3; "d" "m" "p" 3; "e" "m" "p" "s" "t" 3;
"a" "k" 3; "b" "a" "u" 4; "c" "d" "f" "k" 3; "d" "m" "p" 3; "e" "m" "p" "s" "t" 3;
"a" "k" 3; "b" "a" "u" 4; "c" "d" "f" "k" 3; "d" "a" "m" "p" 3; "e" "m" "p" "s" "t" 3;
"a" "k" 3; "b" "a" "u" 4; "c" "d" "f" "k" 3; "d" "a" "m" "p" 3; "e" "m" "p" "s" "t" 3;
"a" "k" 3; "b" "a" "u" 4; "c" "d" "f" "k" 3; "d" "a" "m" "p" 3; "e" "m" "p" "s" "t" 3;
"a" "k" 3; "b" "a" "u" 4; "c" "d" "f" "k" 3; "d" "a" "m" "p" 3; "e" "m" "p" "s" "t" 3;
"a" "k" 3; "b" "a" "u" 4; "c" "d" "f" "k" 3; "d" "a" "m" "p" 3; "e" "m" "p" "s" "t" 3;
"a" "k" 3; "b" "a" "u" 4; "c" "d" "f" "k" "t" 3; "d" "a" "m" "p" 3; "e" "m" "p" "s" "t" 3;
"a" "k" 3; "b" "a" "u" 4; "c" "d" "f" "k" "t" 3; "d" "a" "m" "p" 3; "e" "m" "p" "s" "t" 3;
"a" "k" 3; "b" "a" "u" 4; "c" "d" "f" "k" "t" "x" 3; "d" "a" "m" "p" 3; "e" "m" "p" "s" "t" 3;
"a" "k" 3; "b" "a" "u" 4; "c" "d" "f" "k" "t" "x" 3; "d" "a" "m" "p" 3; "e" "m" "p" "s" "t" 3;
"a" "k" 3; "b" "a" "u" 4; "c" "d" "f" "k" "t" "x" 3; "d" "a" "m" "p" 3; "e" "p" "s" "t" 3;
"a" "k" 3; "b" "a" "u" 4; "c" "d" "f" "k" "t" "x" 3; "d" "a" "m" "p" 3; "e" "p" "s" "t" 3;
"a" "k" 3; "b" "a" "u" 4; "c" "d" "f" "k" "t" "x" 3; "d" "a" "m" "p" 3; "e" "p" "s" "t" 3;
"a" "k" 3; "b" "a" "u" 4; "c" "x" 4; "d" "a" "m" "p" 3; "e" "p" "s" "t" 3;
"a" "k" 3; "b" "a" "u" 4; "c" "x" 4; "d" "a" "m" "p" 3; "e" "p" "s" "t" 3;
"a" "k" 3; "b" "a" "u" 4; "c" "x" 4; "d" "a" "m" "p" 3; "e" "p" "s" "t" 3;
"a" "k" 3; "b" "a" "u" 4; "c" "x" 4; "d" "a" "m" "p" 3; "e" "p" "s" "t" 3;
"a" "k" 3; "b" "a" "u" 4; "c" "x" 4; "d" "a" "m" "p" 3; "e" "p" "s" "t" 3;
"a" "k" 3; "b" "a" "u" 4; "c" "x" 4; "d" "a" "m" "p" 3; "e" "p" "s" "t" 3;
"a" "k" 3; "b" "a" "u" 4; "c" "x" 4; "d" "a" "m" "p" 3; "e" "p" "s" "t" 3;
"a" "k" 3; "b" "a" "u" 4; "c" "x" 4; "d" "a" "m" "p" 3; "e" "p" "s" "t" 3;
"a" "k" 3; "b" "a" "u" 4; "c" "x" 4; "d" "m" 4; "e" "p" "s" "t" 3;
"a" "k" 3; "b" "a" "u" 4; "c" "x" 4; "d" "m" 4; "e" "p" "s" "t" 3;
"a" "k" 3; "b" "a" "u" 4; "c" "x" 4; "d" "m" 4; "e" "p" "s" "t" 3;
"a" "b" "k" 3; "b" "a" "u" 4; "c" "x" 4; "d" "m" 4; "e" "p" "s" "t" 3;
"a" "b" "k" 3; "b" "a" "u" 4; "c" "x" 4; "d" "m" 4; "e" "p" "s" "t" 3;
"a" "b" "k" 3; "b" "a" "u" 4; "c" "x" 4; "d" "m" 4; "e" "p" "s" "t" 3;
"a" "b" "k" 3; "b" "a" "u" 4; "c" "x" 4; "d" "m" 4; "e" "p" "s" "t" 3;
"a" "b" "k" 3; "b" "a" "u" 4; "c" "x" 4; "d" "m" 4; "e" "p" "s" "t" 3;
"a" "b" "k" 3; "b" "a" "u" 4; "c" "x" 4; "d" "m" 4; "e" "p" "s" "t" 3;
"a" "b" "k" 3; "b" "a" "u" 4; "c" "x" 4; "d" "m" 4; "e" "p" "s" "t" 3;
"a" "b" "k" 3; "b" "a" "u" 4; "c" "x" 4; "d" "m" 4; "e" "p" "s" "t" 3;
"a" "b" "k" 3; "b" "a" "u" 4; "c" "x" "y" 4; "d" "m" 4; "e" "p" "s" "t" 3;
"a" "b" "k" 3; "b" "a" "u" 4; "c" "x" "y" 4; "d" "m" 4; "e" "p" "s" "t" 3;
"a" "b" "k" 3; "b" "a" "u" 4; "c" "y" 5; "d" "m" 4; "e" "p" "s" "t" 3;
"a" "b" "k" 3; "b" "a" "u" 4; "c" "y" 5; "d" "m" 4; "e" "p" "s" "t" 3;
"a" "b" "k" 3; "b" "a" "u" 4; "c" "y" 5; "d" "m" 4; "e" "p" "s" "t" 3;
"a" "b" "k" 3; "b" "a" "u" 4; "c" "y" 5; "d" "m" 4; "e" "p" "s" "t" 3;
"a" "b" "k" 3; "b" "a" "u" 4; "c" "y" 5; "d" "m" 4; "e" "p" "s" "t" 3;
"a" "b" "k" 3; "b" "a" "u" 4; "c" "y" 5; "d" "m" 4; "e" "p" "s" "t" 3;
"a" "b" "k" 3; "b" "a" "u" 4; "c" "y" 5; "d" "m" 4; "e" "p" "s" "t" 3;
"a" "b" "k" 3; "b" "a" "u" 4; "c" "y" 5; "d" "m" 4; "e" "p" "s" "t" 3;
"a" "b" "k" 3; "b" "a" "u" 4; "c" "y" 5; "d" "m" 4; "e" "p" "s" "t" 3;
"a" "b" "k" 3; "b" "a" "u" 4; "c" "y" 5; "d" "m" 4; "e" "p" "s" "t" 3;
"a" "b" "k" 3; "b" "a" "u" 4; "c" "y" 5; "d" "m" 4; "e" "p" "s" "t" 3;
"a" "b" "k" 3; "b" "a" "u" 4; "c" "y" 5; "d" "m" 4; "e" "p" "s" "t" 3;
"a" "b" "k" 3; "b" "a" "u" 4; "c" "y" 5; "d" "m" 4; "e" "p" "s" "t" 3;
"a" "b" "k" 3; "b" "a" "u" 4; "c" "y" 5; "d" "m" 4; "e" "p" "s" "t" 3;
"a" "b" "k" 3; "b" "a" "u" 4; "c" "y" 5; "d" "m" 4; "e" "p" "s" "t" 3;
"a" "b" "k" 3; "b" "a" "u" 4; "c" "y" 5; "d" "m" 4; "e" "p" "s" "t" 3;
"a" "b" "k" 3; "b" "a" "u" 4; "c" "y" 5; "d" "m" 4; "e" "p" "s" "t" 3;
"a" "b" "k" 3; "b" "a" "u" 4; "c" "y" 5; "d" "m" 4; "e" "p" "s" "t" 3;
"a" "b" "k" 3; "b" "a" "u" 4; "c" "y" 5; "d" "m" 4; "e" "p" "s" "t" 3;
"a" "b" "k" 3; "b" "a" "u" 4; "c" "y" 5; "d" "m" 4; "e" "p" "s" "t" 3;
"a" "b" "k" 3; "b" "a" "u" 4; "c" "y" 5; "d" "m" 4; "e" "p" "s" "t" 3;
"a" "b" "k" 3; "b" "a" "u" 4; "c" "y" 5; "d" "m" 4; "e" "p" "s" "t" 3;
"a" "b" "k" 3; "b" "a" "u" 4; "c" "y" 5; "d" "m" 4; "e" "p" "s" "t" 3;
"a" "b" "k" 3; "b" "a" "u" 4; "c" "y" 5; "d" "m" 4; "e" "p" "s" "t" 3;
"a" "b" "k" 3; "b" "a" "u" 4; "c" "y" 5; "d" "m" 4; "e" "p" "s" "t" 3;
"a" "b" "k" 3; "b" "a" "u" 4; "c" "y" 5; "d" "m" 4; "e" "p" "s" "t" 3;
"a" "b" "k" 3; "b" "a" "u" 4; "c" "y" 5; "d" "m" 4; "e" "p" "s" "t" 3;
"a" "b" "e" "k" 3; "b" "a" "u" 4; "c" "y" 5; "d" "m" 4; "e" "p" "s" "t" 3;
"a" "b" "e" "k" 3; "b" "a" "u" 4; "c" "y" 5; "d" "m" 4; "e" "p" "s" "t" 3;
"a" "b" "e" "k" 3; "b" "a" "u" 4; "c" "y" 5; "d" "m" 4; "e" "p" "s" "t" 3;
"a" "b" "e" "k" 3; "b" "a" "u" 4; "c" "y" 5; "d" "m" 4; "e" "p" "s" "t" 3;
"a" "b" "e" "k" 3; "b" "a" "u" 4; "c" "y" 5; "d" "m" 4; "e" "p" "s" "t" 3;
"a" "b" "e" "k" 3; "b" "a" "u" 4; "c" "y" 5; "d" "m" 4; "e" "p" "s" "t" 3;
