none
none
none
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"b" "b" 1; "e" "t" 1;
"b" "b" "q" 1; "e" "t" 1;
"b" "b" "q" 1; "e" "t" 1;
"b" "b" "q" 1; "e" "t" 1;
"b" "b" "q" 1; "e" "t" 1;
"b" "b" "q" 1; "e" "t" 1;
"b" "b" "q" 1; "e" "t" 1;
"b" "b" "q" 1; "e" "t" 1;
"b" "b" "q" 1; "e" "t" 1;
"b" "b" "q" 1; "e" "t" 1;
"b" "b" "q" 1; "e" "t" 1;
"b" "b" "q" 1; "e" "t" 1;
"b" "b" "q" 1; "e" "t" 1;
"b" "b" "q" 1; "e" "t" 1;
"b" "b" "q" 1; "e" "t" 1;
"b" "b" "q" 1; "e" "t" 1;
"b" "b" "q" 1; "e" "t" 1;
"b" "b" "q" 1; "c" "y" 1; "e" "t" 1;
"b" "b" "q" 1; "c" "y" 1; "e" "t" 1;
"b" "b" "q" 1; "c" "y" 1; "e" "t" 1;
"b" "b" "q" 1; "c" "y" 1; "e" "t" 1;
"b" "b" "q" 1; "c" "y" 1; "e" "t" 1;
"b" "b" "q" 1; "c" "y" 1; "e" "t" 1;
"b" "b" "q" 1; "c" "y" 1; "e" "t" 1;
"b" "b" "q" 1; "c" "y" 1; "e" "k" "t" 1;
"b" "b" "q" 1; "c" "y" 1; "e" "k" "t" 1;
"b" "b" "q" "t" 1; "c" "y" 1; "d" "k" 1; "e" "k" "t" 1;
"b" "b" "q" "t" 1; "c" "y" 1; "d" "k" 1; "e" "k" "t" 1;
"b" "b" "q" "t" 1; "c" "y" 1; "d" "k" 1; "e" "k" "t" 1;
"b" "b" "q" "t" 1; "c" "y" 1; "d" "k" 1; "e" "k" "t" "y" 1;
"b" "b" "q" "t" 1; "c" "y" 1; "d" "k" 1; "e" "k" "t" "y" 1;
"b" "b" "e" "q" "t" 1; "c" "y" 1; "d" "k" 1; "e" "k" "t" "y" 1;
"b" "b" "e" "q" "t" 1; "c" "m" "y" 1; "d" "b" "k" 1; "e" "k" "t" "y" 1;
"a" "d" 1; "b" "b" "e" "m" "q" "t" 1; "c" "b" "m" "u" "y" 1; "d" "a" "b" "e" "h" "k" "l" "y" 1; "e" "k" "t" "y" 1;
"a" "d" 1; "b" "b" "e" "m" "q" "t" 1; "c" "b" "m" "u" "y" 1; "d" "a" "b" "e" "h" "k" "l" "y" 1; "e" "k" "t" "y" 1;
"a" "d" 1; "b" "b" "e" "m" "q" "t" 1; "c" "b" "m" "u" "y" 1; "d" "a" "b" "e" "h" "k" "l" "y" 1; "e" "k" "t" "y" 1;
"a" "d" 1; "b" "b" "e" "m" "q" "t" 1; "c" "b" "m" "u" "y" 1; "d" "a" "b" "e" "h" "k" "l" "y" 1; "e" "k" "t" "y" 1;
"a" "d" "l" 1; "b" "b" "e" "m" "q" "t" 1; "c" "b" "m" "u" "y" 1; "d" "a" "b" "e" "h" "k" "l" "y" 1; "e" "k" "o" "t" "y" 1;
"a" "d" "l" 1; "b" "b" "e" "m" "q" "t" 1; "c" "b" "m" "u" "y" 1; "d" "a" "b" "e" "h" "k" "l" "y" 1; "e" "k" "o" "t" "y" 1;
"a" "d" "l" 1; "b" "b" "e" "m" "q" "t" 1; "c" "b" "m" "u" "y" 1; "d" "a" "b" "e" "h" "k" "l" "y" 1; "e" "k" "o" "t" "y" 1;
"a" "d" "l" 1; "b" "b" "e" "m" "q" "t" 1; "c" "b" "m" "u" "y" 1; "d" "a" "b" "e" "h" "k" "l" "y" 1; "e" "k" "o" "t" "y" 1;
"a" "d" "l" 1; "b" "b" "e" "m" "q" "t" 1; "c" "b" "m" "u" "y" 1; "d" "a" "b" "e" "h" "k" "l" "y" 1; "e" "k" "o" "t" "y" 1;
"a" "d" "l" 1; "b" "b" "e" "m" "q" "t" 1; "c" "b" "m" "u" "y" 1; "d" "a" "b" "e" "h" "k" "l" "y" 1; "e" "k" "o" "t" "y" 1;
"a" "d" "l" 1; "b" "b" "e" "m" "p" "q" "t" 1; "c" "b" "m" "u" "y" 1; "d" "a" "b" "e" "h" "k" "l" "y" 1; "e" "k" "o" "t" "y" 1;
"a" "d" "l" 1; "b" "p" 2; "c" "b" "m" "u" "w" "y" "z" 1; "d" "a" "b" "e" "h" "k" "l" "y" 1; "e" "k" "o" "t" "y" 1;
"a" "d" "l" 1; "b" "p" 2; "c" "b" "m" "u" "w" "y" "z" 1; "d" "a" "b" "e" "h" "k" "l" "y" 1; "e" "k" "o" "t" "y" 1;
"a" "d" "l" 1; "b" "p" 2; "c" "b" "m" "u" "w" "y" "z" 1; "d" "a" "b" "e" "h" "k" "l" "y" 1; "e" "k" "o" "t" "y" 1;
"a" "d" "l" "o" 1; "b" "p" 2; "c" "b" "m" "u" "w" "y" "z" 1; "d" "a" "b" "e" "h" "k" "l" "y" 1; "e" "k" "o" "t" "y" 1;
"a" "d" "l" "o" 1; "b" "p" 2; "c" "b" "m" "u" "w" "y" "z" 1; "d" "a" "b" "e" "h" "k" "l" "y" 1; "e" "k" "o" "t" "y" 1;
"a" "d" "l" "o" 1; "b" "p" 2; "c" "b" "m" "u" "w" "y" "z" 1; "d" "a" "b" "e" "h" "k" "l" "y" 1; "e" "k" "o" "t" "y" 1;
"a" "d" "l" "n" "o" 1; "b" "p" 2; "c" "b" "m" "u" "w" "y" "z" 1; "d" "a" "b" "e" "h" "k" "l" "y" 1; "e" "k" "o" "t" "y" 1;
"a" "d" "l" "n" "o" 1; "b" "p" 2; "c" "b" "m" "u" "w" "y" "z" 1; "d" "a" "b" "e" "h" "k" "l" "y" 1; "e" "k" 2;
"a" "d" "l" "n" "o" 1; "b" "p" 2; "c" "b" "g" "m" "u" "w" "y" "z" 1; "d" "a" "b" "e" "h" "k" "l" "y" 1; "e" "k" 2;
"a" "d" "l" "n" "o" 1; "b" "p" 2; "c" "b" "g" "m" "u" "w" "y" "z" 1; "d" "a" "b" "e" "h" "k" "l" "y" 1; "e" "k" 2;
"a" "d" "l" "n" "o" 1; "b" "p" 2; "c" "b" "g" "m" "u" "w" "y" "z" 1; "d" "a" "b" "e" "h" "k" "l" "y" 1; "e" "k" 2;
"a" "d" "l" "n" "o" 1; "b" "p" 2; "c" "b" "g" "m" "u" "w" "y" "z" 1; "d" "a" "b" "e" "h" "k" "l" "y" 1; "e" "k" 2;
"a" "d" "l" "n" "o" "p" "v" 1; "b" "p" 3; "c" "b" "g" "m" "u" "w" "y" "z" 1; "d" "a" "b" "e" "h" "k" "l" "y" 1; "e" "k" 2;
"a" "d" "l" "n" "o" "p" "v" 1; "b" "p" 3; "c" "b" "g" "m" "u" "w" "y" "z" 1; "d" "a" "b" "e" "h" "k" "l" "y" 1; "e" "k" 2;
"a" "d" "l" "n" "o" "p" "v" "w" 1; "b" "p" 3; "c" "b" "g" "m" "u" "w" "y" "z" 1; "d" "a" "b" "e" "h" "k" "l" "y" 1; "e" "k" 2;
"a" "w" 2; "b" "p" 3; "c" "b" "g" "m" "u" "w" "y" "z" 1; "d" "k" 2; "e" "k" 2;
"a" "w" 2; "b" "p" 3; "c" "g" 2; "d" "k" 2; "e" "k" 2;
"a" "w" 2; "b" "p" 3; "c" "g" 2; "d" "k" 2; "e" "k" 2;
"a" "w" 2; "b" "p" 3; "c" "g" 2; "d" "k" 2; "e" "k" 2;
"a" "w" 2; "b" "p" 3; "c" "g" 2; "d" "k" 2; "e" "k" 2;
"a" "w" 2; "b" "p" 3; "c" "g" 2; "d" "e" "k" 2; "e" "k" 2;
"a" "w" 2; "b" "p" 3; "c" "g" 2; "d" "e" "k" 2; "e" "k" 2;
"a" "w" 2; "b" "p" 3; "c" "g" 2; "d" "a" "e" "k" 2; "e" "k" "t" 2;
"a" "w" 2; "b" "p" 3; "c" "g" 2; "d" "a" "e" "k" 2; "e" "k" "t" 2;
"a" "w" 2; "b" "p" 3; "c" "g" 2; "d" "a" "e" "k" 2; "e" "k" "t" 2;
"a" "w" 2; "b" "p" 3; "c" "g" 2; "d" "a" "e" "k" 2; "e" "k" "t" 2;
"a" "w" 2; "b" "p" 3; "c" "g" 2; "d" "a" "e" "k" 2; "e" "k" "t" 2;
"a" "w" 2; "b" "p" 3; "c" "g" 2; "d" "a" "e" "k" 2; "e" "k" "t" 2;
"a" "w" 2; "b" "p" 3; "c" "g" 2; "d" "a" "e" "k" 2; "e" "k" "t" 2;
"a" "w" 2; "b" "p" 3; "c" "g" 2; "d" "a" "e" "k" 2; "e" "k" "t" 2;
"a" "a" "w" 2; "b" "p" 3; "c" "g" 2; "d" "a" "e" "k" 2; "e" "k" "t" 2;
"a" "a" "w" 2; "b" "p" 3; "c" "g" 2; "d" "a" "e" "k" 2; "e" "k" "t" 2;
"a" "a" "w" 2; "b" "p" 3; "c" "g" 2; "d" "a" "e" "k" 2; "e" "k" "t" 2;
"a" "a" "w" 2; "b" "p" 3; "c" "g" 2; "d" "a" "e" "k" 2; "e" "k" "t" 2;
"a" "a" "w" 2; "b" "p" 3; "c" "g" "u" 2; "d" "a" "e" "k" 2; "e" "k" "t" 2;
"a" "a" "w" 2; "b" "p" 3; "c" "g" "u" 2; "d" "a" "e" "k" 2; "e" "k" "t" 2;
"a" "a" "w" 2; "b" "p" 3; "c" "g" "u" 2; "d" "a" "e" "k" 2; "e" "k" "t" 2;
"a" "a" "w" 2; "b" "p" 3; "c" "g" "u" 2; "d" "a" "e" "k" 2; "e" "k" "t" 2;
"a" "a" "w" 2; "b" "p" 3; "c" "g" "u" 2; "d" "a" "e" "k" 2; "e" "k" "t" 2;
"a" "a" "w" 2; "b" "p" 3; "c" "g" "u" 2; "d" "a" "e" "k" 2; "e" "k" "t" 2;
"a" "a" "w" 2; "b" "p" 3; "c" "g" "u" 2; "d" "a" "e" "k" 2; "e" "k" "t" 2;
"a" "a" "w" 2; "b" "p" 3; "c" "g" "u" 2; "d" "a" "e" "k" 2; "e" "k" "t" 2;
"a" "a" "w" 2; "b" "p" 3; "c" "g" "u" 2; "d" "a" "e" "k" 2; "e" "k" "t" 2;
"a" "a" "w" 2; "b" "p" 3; "c" "g" "u" 2; "d" "a" "e" "k" 2; "e" "k" "t" 2;
"a" "a" "w" 2; "b" "p" 3; "c" "g" "u" 2; "d" "a" "e" "k" 2; "e" "k" "t" 2;
"a" "a" "w" 2; "b" "p" 3; "c" "g" "u" 2; "d" "a" "e" "k" 2; "e" "k" "t" 2;
"a" "a" "w" 2; "b" "p" 3; "c" "g" "u" 2; "d" "a" "b" "e" "h" "k" 2; "e" "k" "t" 2;
"a" "a" "w" 2; "b" "p" 3; "c" "g" "u" 2; "d" "a" "b" "e" "h" "k" 2; "e" "k" "t" 2;
"a" "a" "w" 2; "b" "p" 3; "c" "g" "u" 2; "d" "a" "b" "e" "g" "h" "k" 2; "e" "k" "t" 2;
"a" "a" "w" 2; "b" "p" 3; "c" "g" "u" 2; "d" "a" "b" "e" "g" "h" "k" 2; "e" "k" "t" 2;
"a" "a" "w" 2; "b" "p" 3; "c" "g" "u" 2; "d" "a" "b" "e" "g" "h" "k" 2; "e" "k" "t" 2;
"a" "a" "n" "w" 2; "b" "p" 3; "c" "g" "u" 2; "d" "a" "b" "e" "g" "h" "k" 2; "e" "k" "t" 2;
"a" "a" "n" "w" 2; "b" "p" 3; "c" "g" "u" 2; "d" "a" "b" "e" "g" "h" "k" 2; "e" "k" "t" 2;
"a" "a" "n" "w" 2; "b" "p" 3; "c" "g" "u" 2; "d" "a" "b" "e" "g" "h" "k" 2; "e" "k" "t" 2;
"a" "a" "n" "w" 2; "b" "p" 3; "c" "g" "u" 2; "d" "a" "b" "e" "g" "h" "k" 2; "e" "k" "t" 2;
"a" "a" "n" "w" 2; "b" "p" 3; "c" "g" "u" "z" 2; "d" "a" "b" "e" "g" "h" "k" 2; "e" "k" "t" 2;
"a" "a" "n" "w" 2; "b" "p" 3; "c" "g" "u" "z" 2; "d" "a" "b" "e" "g" "h" "k" 2; "e" "k" "t" 2;
"a" "a" "n" "w" 2; "b" "p" 3; "c" "g" "u" "z" 2; "d" "a" "b" "e" "g" "h" "k" 2; "e" "k" "t" 2;
"a" "a" "n" "w" 2; "b" "p" 3; "c" "g" "u" "z" 2; "d" "a" "b" "e" "g" "h" "k" 2; "e" "k" "t" 2;
"a" "a" "n" "w" 2; "b" "p" 3; "c" "g" "u" "z" 2; "d" "a" "b" "e" "g" "h" "k" 2; "e" "k" "t" 2;
"a" "a" "n" "w" 2; "b" "p" 3; "c" "g" "u" "z" 2; "d" "a" "b" "e" "g" "h" "k" 2; "e" "k" "t" 2;
"a" "a" "n" "w" 2; "b" "p" 3; "c" "g" "u" "z" 2; "d" "a" "b" "e" "g" "h" "k" 2; "e" "k" "t" 2;
"a" "a" "n" "w" 2; "b" "p" 3; "c" "g" 3; "d" "a" "b" "e" "g" "h" "k" "l" 2; "e" "k" "t" 2;
"a" "a" "n" "w" 2; "b" "p" 3; "c" "g" 3; "d" "a" "b" "e" "g" "h" "k" "l" 2; "e" "k" "t" 2;
"a" "a" "n" "w" 2; "b" "b" "p" 3; "c" "g" 3; "d" "a" "b" "e" "g" "h" "k" "l" 2; "e" "k" "t" 2;
"a" "a" "n" "w" 2; "b" "b" "p" 3; "c" "g" 3; "d" "a" "b" "e" "g" "h" "k" "l" 2; "e" "k" "t" 2;
"a" "a" "n" "w" 2; "b" "b" "p" 3; "c" "g" 3; "d" "a" "b" "e" "g" "h" "k" "l" 2; "e" "k" "t" 2;
"a" "a" "n" "w" 2; "b" "b" "p" 3; "c" "g" 3; "d" "a" "b" "e" "g" "h" "k" "l" 2; "e" "k" "t" 2;
"a" "a" "n" "w" 2; "b" "b" "p" 3; "c" "g" 3; "d" "a" "b" "e" "g" "h" "k" "l" 2; "e" "k" "t" 2;
"a" "a" "n" "w" 2; "b" "b" "p" 3; "c" "g" 3; "d" "a" "b" "e" "g" "h" "k" "l" 2; "e" "k" "t" 2;
"a" "a" "n" "w" 2; "b" "b" "p" 3; "c" "g" 3; "d" "a" "b" "e" "g" "h" "k" "l" 2; "e" "k" "t" 2;
"a" "a" "n" "w" 2; "b" "b" "p" 3; "c" "g" 3; "d" "a" "b" "e" "g" "h" "k" "l" 2; "e" "k" "t" 2;
"a" "a" "n" "w" 2; "b" "b" "p" 3; "c" "g" 3; "d" "a" "b" "e" "g" "h" "k" "l" 2; "e" "k" "t" 2;
"a" "a" "n" "w" 2; "b" "b" "p" 3; "c" "g" 3; "d" "a" "b" "e" "g" "h" "k" "l" 2; "e" "k" "t" 2;
"a" "a" "n" "w" 2; "b" "b" "p" 3; "c" "g" 3; "d" "a" "b" "e" "g" "h" "k" "l" 2; "e" "k" "t" 2;
"a" "a" "n" "w" 2; "b" "b" "p" 3; "c" "g" 3; "d" "a" "b" "e" "g" "h" "k" "l" 2; "e" "k" "t" 2;
"a" "a" "n" "w" 2; "b" "b" "p" 3; "c" "g" 3; "d" "k" 3; "e" "k" "t" 2;
"a" "a" "n" "w" 2; "b" "b" "p" 3; "c" "g" 3; "d" "k" 3; "e" "k" "t" 2;
"a" "a" "n" "w" 2; "b" "b" "p" 3; "c" "g" 3; "d" "k" 3; "e" "k" "t" 2;
"a" "a" "n" "w" 2; "b" "b" "p" 3; "c" "g" 3; "d" "e" "k" 3; "e" "k" "t" 2;
"a" "a" "n" "w" 2; "b" "b" "p" 3; "c" "g" 3; "d" "e" "k" 3; "e" "k" "t" 2;
"a" "a" "n" "w" 2; "b" "b" "p" 3; "c" "g" 3; "d" "e" "k" 3; "e" "k" "t" 2;
"a" "a" "n" "w" 2; "b" "b" "p" 3; "c" "g" 3; "d" "e" "k" 3; "e" "k" "t" 2;
"a" "a" "n" "o" "w" 2; "b" "b" "p" 3; "c" "g" 3; "d" "e" "k" 3; "e" "k" "t" 2;
"a" "a" "n" "o" "w" 2; "b" "b" "p" 3; "c" "g" 3; "d" "e" "k" 3; "e" "k" "t" 2;
"a" "a" "n" "o" "w" 2; "b" "b" "p" 3; "c" "g" 3; "d" "e" "h" "k" 3; "e" "k" "t" 2;
"a" "a" "n" "o" "w" 2; "b" "b" "p" 3; "c" "g" 3; "d" "e" "h" "k" 3; "e" "k" "t" 2;
"a" "a" "n" "o" "w" 2; "b" "b" "p" 3; "c" "g" 3; "d" "e" "h" "k" 3; "e" "k" "p" "t" 2;
"a" "a" "n" "o" "w" 2; "b" "b" "p" 3; "c" "g" 3; "d" "e" "h" "k" 3; "e" "k" "p" "t" 2;
"a" "a" "n" "o" "w" 2; "b" "b" "p" 3; "c" "g" 3; "d" "e" "h" "k" 3; "e" "k" "p" "t" 2;
"a" "a" "n" "o" "w" 2; "b" "b" "p" 3; "c" "g" 3; "d" "e" "h" "k" 3; "e" "k" "p" "t" "u" 2;
"a" "a" "d" "n" "o" "w" 2; "b" "b" "p" 3; "c" "g" 3; "d" "e" "h" "k" 3; "e" "k" "p" "t" "u" "z" 2;
"a" "a" "d" "n" "o" "w" 2; "b" "b" "p" 3; "c" "g" 3; "d" "e" "h" "k" 3; "e" "k" "p" "t" "u" "z" 2;
"a" "a" "d" "n" "o" "w" 2; "b" "b" "p" 3; "c" "g" 3; "d" "e" "h" "k" 3; "e" "k" "p" "t" "u" "z" 2;
"a" "a" "d" "n" "o" "w" 2; "b" "b" "p" 3; "c" "g" 3; "d" "e" "h" "k" 3; "e" "k" "p" "t" "u" "z" 2;
"a" "a" "d" "n" "o" "w" 2; "b" "b" "p" 3; "c" "g" 3; "d" "e" "h" "k" 3; "e" "k" "p" "t" "u" "z" 2;
"a" "a" "d" "n" "o" "p" "w" 2; "b" "b" "p" 3; "c" "g" 3; "d" "e" "h" "k" 3; "e" "k" "p" "t" "u" "z" 2;
"a" "a" "d" "n" "o" "p" "w" 2; "b" "b" "p" 3; "c" "g" 3; "d" "e" "h" "k" 3; "e" "k" "p" "t" "u" "z" 2;
"a" "a" "d" "n" "o" "p" "w" 2; "b" "b" "p" 3; "c" "g" 3; "d" "e" "h" "k" 3; "e" "k" "p" "t" "u" "z" 2;
"a" "a" "d" "n" "o" "p" "w" 2; "b" "b" "p" 3; "c" "g" 3; "d" "e" "h" "k" 3; "e" "u" 3;
"a" "a" "d" "n" "o" "p" "w" 2; "b" "b" "p" 3; "c" "g" 3; "d" "e" "h" "k" 3; "e" "u" 3;
"a" "a" "d" "n" "o" "p" "w" 2; "b" "b" "p" 3; "c" "g" 3; "d" "e" "g" "h" "k" 3; "e" "u" 3;
"a" "a" "d" "n" "o" "p" "w" 2; "b" "b" "p" 3; "c" "g" 3; "d" "e" "g" "h" "k" 3; "e" "u" 3;
"a" "p" 4; "b" "b" "p" 3; "c" "g" 3; "d" "e" "g" "h" "k" 3; "e" "u" 3;
"a" "p" 4; "b" "b" "d" "j" "p" 3; "c" "g" 3; "d" "e" "g" "h" "k" 3; "e" "u" 3;
"a" "p" 4; "b" "b" "d" "j" "p" 3; "c" "g" 3; "d" "e" "g" "h" "k" 3; "e" "u" 3;
"a" "p" 4; "b" "b" "d" "j" "p" 3; "c" "g" 3; "d" "e" "g" "h" "k" 3; "e" "u" 3;
"a" "p" 4; "b" "b" "d" "j" "p" 3; "c" "g" 3; "d" "e" "g" "h" "k" 3; "e" "u" 3;
"a" "p" 4; "b" "b" "d" "j" "p" 3; "c" "g" 3; "d" "e" "g" "h" "k" 3; "e" "u" 3;
"a" "p" 4; "b" "b" "d" "j" "p" 3; "c" "g" 3; "d" "e" "g" "h" "k" 3; "e" "u" 3;
"a" "p" 4; "b" "b" "d" "j" "p" 3; "c" "g" "z" 3; "d" "e" "g" "h" "k" 3; "e" "u" 3;
"a" "p" 4; "b" "b" "d" "j" "p" 3; "c" "g" "z" 3; "d" "e" "g" "h" "k" 3; "e" "u" 3;
"a" "p" 4; "b" "j" 4; "c" "g" "z" 3; "d" "e" "g" "h" "k" 3; "e" "u" 3;
"a" "p" 4; "b" "j" 4; "c" "g" "z" 3; "d" "e" "g" "h" "k" 3; "e" "u" 3;
"a" "p" 4; "b" "j" 4; "c" "g" "z" 3; "d" "e" "g" "h" "k" 3; "e" "u" 3;
"a" "p" 4; "b" "j" 4; "c" "g" "z" 3; "d" "e" "g" "h" "k" 3; "e" "u" 3;
"a" "p" 4; "b" "j" 4; "c" "g" "z" 3; "d" "e" "g" "h" "k" 3; "e" "u" 3;
"a" "p" 4; "b" "j" 4; "c" "g" "z" 3; "d" "e" "g" "h" "k" 3; "e" "u" 3;
"a" "p" 4; "b" "j" 4; "c" "g" "z" 3; "d" "e" "g" "h" "k" 3; "e" "u" 3;
"a" "p" 4; "b" "j" 4; "c" "g" "z" 3; "d" "e" "g" "h" "k" 3; "e" "u" 3;
"a" "p" 4; "b" "j" 4; "c" "g" "z" 3; "d" "e" "g" "h" "k" 3; "e" "u" 3;
"a" "p" 4; "b" "j" 4; "c" "g" "z" 3; "d" "e" "g" "h" "k" 3; "e" "u" 3;
"a" "p" 4; "b" "j" 4; "c" "g" "z" 3; "d" "e" "g" "h" "k" 3; "e" "u" 3;
"a" "p" 4; "b" "j" 4; "c" "g" "z" 3; "d" "e" "g" "h" "k" 3; "e" "u" 3;
"a" "p" 4; "b" "j" 4; "c" "g" "z" 3; "d" "e" "g" "h" "k" 3; "e" "u" 3;
"a" "p" 4; "b" "j" 4; "c" "g" "z" 3; "d" "e" "g" "h" "k" 3; "e" "u" 3;
"a" "p" 4; "b" "j" 4; "c" "g" "z" 3; "d" "e" "g" "h" "k" 3; "e" "u" 3;
"a" "p" 4; "b" "j" 4; "c" "g" "z" 3; "d" "e" "g" "h" "k" 3; "e" "u" 3;
"a" "p" 4; "b" "j" 4; "c" "g" "z" 3; "d" "e" 4; "e" "u" 3;
"a" "p" 4; "b" "j" 4; "c" "g" "z" 3; "d" "e" 4; "e" "l" "u" 3;
"a" "p" 4; "b" "j" 5; "c" "z" 4; "d" "e" 4; "e" "l" "u" 3;
"a" "p" 4; "b" "j" 5; "c" "z" 4; "d" "e" 4; "e" "l" "u" 3;
"a" "p" 4; "b" "j" 5; "c" "z" 4; "d" "e" 4; "e" "l" "u" 3;
"a" "p" 4; "b" "j" 5; "c" "z" 4; "d" "e" 4; "e" "l" "u" 3;
"a" "p" 4; "b" "j" 5; "c" "z" 4; "d" "e" 4; "e" "l" "u" 3;
"a" "p" 4; "b" "j" 5; "c" "z" 4; "d" "e" 4; "e" "l" "u" 3;
"a" "p" 4; "b" "j" 5; "c" "z" 4; "d" "e" 4; "e" "l" "u" 3;
"a" "p" 4; "b" "j" 5; "c" "z" 4; "d" "e" 4; "e" "l" "u" 3;
"a" "p" 4; "b" "j" 5; "c" "z" 4; "d" "e" 4; "e" "l" "u" 3;
"a" "p" 4; "b" "j" 5; "c" "z" 4; "d" "e" 4; "e" "l" "u" 3;
