none
none
none
none
"c" "n" 1;
"c" "n" 1;
"c" "n" 1; "e" "z" 1;
"c" "n" 1; "e" "z" 1;
"c" "n" 1; "e" "z" 1;
"c" "n" 1; "e" "z" 2;
"c" "n" 1; "d" "c" "w" 1; "e" "z" 2;
"a" "i" 1; "c" "n" 1; "d" "c" "w" 1; "e" "z" 2;
"a" "i" 1; "c" "n" 1; "d" "c" "w" 1; "e" "z" 2;
"a" "i" 1; "c" "n" 1; "d" "c" "w" 1; "e" "z" 2;
"a" "i" "z" 1; "c" "n" 1; "d" "c" "w" 1; "e" "z" 2;
"a" "i" "z" 1; "c" "n" 1; "d" "c" "w" 1; "e" "z" 2;
"a" "i" "z" 1; "c" "n" 1; "d" "c" "w" 1; "e" "i" "z" 2;
"a" "i" "z" 1; "c" "n" 1; "d" "c" "w" 1; "e" "i" "z" 2;
"a" "i" "n" "z" 1; "c" "n" 1; "d" "c" "w" 1; "e" "i" "z" 2;
"a" "n" "u" 2; "b" "a" "b" "h" "t" "y" "z" 1; "c" "b" "j" "l" "n" 1; "d" "o" "w" 2; "e" "i" "j" "z" 2;
"a" "n" "u" 2; "b" "a" "b" "h" "t" "y" "z" 1; "c" "b" "j" "l" "n" 1; "d" "o" "w" 2; "e" "i" "j" "z" 2;
"a" "n" "u" 2; "b" "a" "b" "h" "t" "y" "z" 1; "c" "b" "i" "j" "l" "n" 1; "d" "o" "w" 2; "e" "i" "j" "z" 2;
"a" "n" "u" 2; "b" "a" "b" "h" "t" "y" "z" 1; "c" "b" "i" "j" "l" "m" "n" 1; "d" "o" "w" 2; "e" "i" "j" "z" 2;
"a" "n" "u" 2; "b" "a" 2; "c" "b" "i" "j" "l" "m" "n" 1; "d" "o" "w" 2; "e" "i" "j" "z" 2;
"a" "n" "u" 2; "b" "a" 2; "c" "b" "i" "j" "l" "m" "n" 1; "d" "o" "w" 2; "e" "i" "j" "z" 2;
"a" "n" "u" 2; "b" "a" 2; "c" "b" "i" "j" "l" "m" "n" 1; "d" "o" "w" 2; "e" "i" "j" "z" 2;
"a" "n" "u" 2; "b" "a" 2; "c" "b" "i" "j" "l" "m" "n" 1; "d" "o" "w" 2; "e" "i" "j" "z" 2;
"a" "n" "u" 2; "b" "a" 2; "c" "b" "i" "j" "l" "m" "n" 1; "d" "o" "w" 2; "e" "i" "j" "z" 2;
"a" "n" "u" 2; "b" "a" 2; "c" "b" "i" "j" "l" "m" "n" 1; "d" "o" "w" 2; "e" "i" "j" "z" 2;
"a" "n" "u" 2; "b" "a" 2; "c" "b" "i" "j" "l" "m" "n" 1; "d" "o" "w" 2; "e" "i" "j" "z" 2;
"a" "n" "u" 2; "b" "a" 2; "c" "b" "i" "j" "l" "m" "n" 1; "d" "o" "w" 2; "e" "i" "j" "z" 2;
"a" "n" "u" 2; "b" "a" 2; "c" "a" "b" "i" "j" "l" "m" "n" 1; "d" "o" "w" 2; "e" "i" "j" "z" 2;
"a" "n" "u" 2; "b" "a" 2; "c" "a" "b" "i" "j" "l" "m" "n" 1; "d" "o" "w" 2; "e" "i" "j" "z" 2;
"a" "n" "u" 2; "b" "a" 2; "c" "a" "b" "i" "j" "l" "m" "n" 1; "d" "o" "w" 2; "e" "i" "j" "z" 2;
"a" "n" "u" 2; "b" "a" 2; "c" "a" "b" "i" "j" "l" "m" "n" 1; "d" "o" "w" 2; "e" "i" "j" "z" 2;
"a" "n" "u" 2; "b" "a" 2; "c" "a" "b" "i" "j" "l" "m" "n" 1; "d" "o" "w" 2; "e" "i" "j" "z" 2;
"a" "n" "u" 2; "b" "a" 2; "c" "a" "b" "i" "j" "l" "m" "n" 1; "d" "o" "w" 2; "e" "i" "j" "z" 2;
"a" "n" "u" "x" 2; "b" "a" 2; "c" "a" "b" "i" "j" "l" "m" "n" "y" 1; "d" "o" "w" 2; "e" "i" "j" "z" 2;
"a" "n" "u" "x" 2; "b" "a" 2; "c" "a" "b" "i" "j" "l" "m" "n" "y" 1; "d" "o" "w" 2; "e" "i" "j" "z" 2;
"a" "x" 3; "b" "a" 2; "c" "a" "b" "i" "j" "l" "m" "n" "y" 1; "d" "o" "w" 2; "e" "i" "j" "z" 2;
"a" "x" 3; "b" "a" 2; "c" "a" "b" "i" "j" "l" "m" "n" "y" 1; "d" "o" "w" 2; "e" "i" "j" "z" 2;
"a" "x" 3; "b" "a" 2; "c" "a" "b" "i" "j" "l" "m" "n" "y" 1; "d" "o" "w" 2; "e" "i" "j" "z" 2;
"a" "x" 3; "b" "a" 2; "c" "a" "b" "i" "j" "l" "m" "n" "y" 1; "d" "o" "w" 2; "e" "i" "j" "z" 2;
"a" "x" 3; "b" "a" 2; "c" "a" "b" "i" "j" "l" "m" "n" "y" 1; "d" "o" "w" 2; "e" "i" "j" "z" 2;
"a" "x" 3; "b" "a" 2; "c" "a" "b" "i" "j" "l" "m" "n" "y" 1; "d" "o" "w" 2; "e" "i" "j" "z" 2;
"a" "x" 3; "b" "a" 2; "c" "a" "b" "i" "j" "l" "m" "n" "y" 1; "d" "o" "w" 2; "e" "i" "j" "z" 2;
"a" "x" 3; "b" "a" 2; "c" "a" "b" "i" "j" "l" "m" "n" "y" 1; "d" "o" "w" 2; "e" "i" "j" "z" 2;
"a" "x" 3; "b" "a" 2; "c" "a" "b" "i" "j" "l" "m" "n" "y" 1; "d" "o" "w" 2; "e" "i" "j" "z" 2;
"a" "x" 3; "b" "a" 2; "c" "a" "b" "i" "j" "l" "m" "n" "y" 1; "d" "o" "w" 2; "e" "i" "j" "z" 2;
"a" "x" 3; "b" "a" 2; "c" "a" "b" "i" "j" "l" "m" "n" "y" 1; "d" "o" "w" 2; "e" "i" "j" "z" 2;
"a" "x" 3; "b" "a" 2; "c" "a" "b" "i" "j" "l" "m" "n" "y" 1; "d" "o" "w" 2; "e" "i" "j" "z" 2;
"a" "x" 3; "b" "a" 2; "c" "a" "b" "i" "j" "l" "m" "n" "y" 1; "d" "o" "w" 2; "e" "i" "j" "z" 2;
"a" "x" 3; "b" "a" "v" 2; "c" "a" "b" "i" "j" "l" "m" "n" "y" 1; "d" "o" "w" 2; "e" "i" "j" "z" 2;
"a" "x" 3; "b" "a" "v" 2; "c" "a" "b" "i" "j" "l" "m" "n" "y" 1; "d" "o" "w" 2; "e" "i" "j" "z" 2;
"a" "x" 3; "b" "a" "v" 2; "c" "a" "b" "i" "j" "l" "m" "n" "y" 1; "d" "o" "w" 2; "e" "i" "j" "z" 2;
"a" "x" 3; "b" "a" "v" 2; "c" "a" "b" "i" "j" "l" "m" "n" "y" 1; "d" "o" "r" "w" 2; "e" "i" "j" "z" 2;
"a" "x" 3; "b" "a" "v" 2; "c" "a" "b" "i" "j" "l" "m" "n" "y" 1; "d" "o" "r" "w" 2; "e" "i" "j" "z" 2;
"a" "x" 3; "b" "a" "v" 2; "c" "a" "b" "i" "j" "l" "m" "n" "y" 1; "d" "o" "r" "w" 2; "e" "i" "j" "z" 2;
"a" "x" 3; "b" "a" "v" 2; "c" "a" "b" "i" "j" "l" "m" "n" "y" 1; "d" "o" "r" "w" 2; "e" "i" "j" "z" 2;
"a" "x" 3; "b" "a" "v" 2; "c" "a" "b" "i" "j" "l" "m" "n" "y" "z" 1; "d" "o" "r" "w" 2; "e" "i" "j" "z" 2;
"a" "x" 3; "b" "a" "v" 2; "c" "a" "b" "i" "j" "l" "m" "n" "y" "z" 1; "d" "o" "r" "w" 2; "e" "i" "j" "z" 2;
"a" "x" 3; "b" "a" "t" "v" 2; "c" "m" 2; "d" "o" "r" "w" 2; "e" "i" "j" "z" 2;
"a" "x" 3; "b" "a" "t" "v" 2; "c" "m" 2; "d" "o" "r" "w" 2; "e" "i" "j" "z" 2;
"a" "x" 3; "b" "a" "t" "v" 2; "c" "m" 2; "d" "o" "r" "w" 2; "e" "i" "j" "z" 2;
"a" "x" 3; "b" "a" "t" "v" 2; "c" "m" 2; "d" "o" "r" "w" 2; "e" "i" "j" "z" 2;
"a" "x" 3; "b" "a" "t" "v" 2; "c" "m" 2; "d" "o" "r" "w" 2; "e" "i" "j" "z" 2;
"a" "x" 3; "b" "a" "t" "v" 2; "c" "m" 2; "d" "o" "r" "w" 2; "e" "i" "j" "z" 2;
"a" "x" 3; "b" "a" "t" "v" 2; "c" "m" "v" 2; "d" "o" "r" "w" 2; "e" "i" "j" "z" 2;
"a" "x" 3; "b" "a" "t" "v" 2; "c" "m" "v" 2; "d" "o" "r" "w" 2; "e" "i" "j" "z" 2;
"a" "x" 3; "b" "a" "t" "v" 2; "c" "m" "v" 2; "d" "o" "r" "w" 2; "e" "i" "j" "z" 2;
"a" "x" 3; "b" "a" "t" "v" 2; "c" "m" "v" 2; "d" "o" "r" "w" 2; "e" "j" 3;
"a" "x" 3; "b" "a" "t" "v" "z" 2; "c" "m" "v" 2; "d" "o" "r" "w" 2; "e" "j" 3;
"a" "x" 3; "b" "a" "t" "v" "z" 2; "c" "m" "v" 2; "d" "o" "r" "w" 2; "e" "j" 3;
"a" "x" 3; "b" "a" "t" "v" "z" 2; "c" "m" "v" 2; "d" "o" "r" "w" 2; "e" "j" 3;
"a" "x" 3; "b" "a" "t" "v" "z" 2; "c" "m" "v" 2; "d" "o" "r" "w" 2; "e" "j" 3;
"a" "x" 3; "b" "a" "t" "v" "z" 2; "c" "m" "v" 2; "d" "o" "r" "w" 2; "e" "j" 3;
"a" "x" 3; "b" "a" "t" "v" "z" 2; "c" "m" "v" 2; "d" "o" "r" "w" 2; "e" "j" 3;
"a" "x" 3; "b" "a" "t" "v" "z" 2; "c" "m" "v" 2; "d" "o" "r" "w" 2; "e" "j" 3;
"a" "x" 3; "b" "a" "t" "v" "z" 2; "c" "m" "v" 2; "d" "o" "r" "w" 2; "e" "j" 3;
"a" "x" 3; "b" "a" "t" "v" "z" 2; "c" "m" "v" 2; "d" "o" "r" "w" 2; "e" "j" 3;
"a" "x" 3; "b" "a" "t" "v" "z" 2; "c" "m" "v" 2; "d" "o" "r" "w" 2; "e" "j" 3;
"a" "x" 3; "b" "a" "t" "v" "z" 2; "c" "m" "v" 2; "d" "o" "r" "w" 2; "e" "j" 3;
"a" "x" 3; "b" "a" "t" "v" "z" 2; "c" "m" "v" 2; "d" "o" "r" "w" 2; "e" "j" 3;
"a" "x" 3; "b" "v" 3; "c" "m" "v" 2; "d" "o" "p" "r" "w" 2; "e" "j" 3;
"a" "x" 3; "b" "v" 3; "c" "m" "v" 2; "d" "o" "p" "r" "w" 2; "e" "j" 3;
"a" "x" 3; "b" "v" 3; "c" "m" "v" 2; "d" "o" "p" "r" "w" 2; "e" "j" 3;
"a" "x" 3; "b" "v" 3; "c" "m" "v" "z" 2; "d" "o" "p" "r" "w" 2; "e" "j" 3;
"a" "x" 3; "b" "v" 3; "c" "m" "v" "z" 2; "d" "o" "p" "r" "w" 2; "e" "j" 3;
"a" "x" 3; "b" "v" 3; "c" "m" "v" "z" 2; "d" "o" "p" "r" "w" 2; "e" "j" 3;
"a" "x" 3; "b" "v" 3; "c" "m" "v" "z" 2; "d" "o" "p" "r" "w" 2; "e" "j" 3;
"a" "x" 3; "b" "v" 3; "c" "m" "v" "z" 2; "d" "o" "p" "r" "w" 2; "e" "j" 3;
"a" "x" 3; "b" "v" 3; "c" "m" "v" "z" 2; "d" "m" "o" "p" "r" "w" 2; "e" "j" 3;
"a" "x" 3; "b" "v" 3; "c" "m" "v" "z" 2; "d" "m" "o" "p" "r" "w" 2; "e" "j" 3;
"a" "x" 3; "b" "v" 3; "c" "m" "v" "z" 2; "d" "m" "o" "p" "r" "w" 2; "e" "j" 3;
"a" "x" 3; "b" "v" 3; "c" "m" "v" "z" 2; "d" "m" "o" "p" "r" "w" 2; "e" "j" 3;
"a" "x" 3; "b" "v" 3; "c" "m" "v" "z" 2; "d" "m" "o" "p" "r" "w" 2; "e" "j" 3;
"a" "x" 3; "b" "v" 3; "c" "m" "v" "z" 2; "d" "m" "o" "p" "r" "w" 2; "e" "j" 3;
"a" "x" 3; "b" "v" 3; "c" "m" "v" "z" 2; "d" "m" "o" "p" "r" "w" 2; "e" "j" 3;
"a" "x" 3; "b" "v" 3; "c" "m" "v" "z" 2; "d" "m" "o" "p" "r" "w" 2; "e" "j" 3;
"a" "x" 3; "b" "v" 3; "c" "m" "v" "z" 2; "d" "m" "o" "p" "r" "w" 2; "e" "j" 3;
"a" "x" 3; "b" "v" 3; "c" "m" "v" "z" 2; "d" "m" "o" "p" "r" "w" 2; "e" "j" 3;
"a" "x" 3; "b" "v" 3; "c" "m" "v" "z" 2; "d" "m" "o" "p" "r" "w" 2; "e" "j" 3;
"a" "x" 3; "b" "v" 3; "c" "m" "v" "z" 2; "d" "m" "o" "p" "r" "w" 2; "e" "j" 3;
"a" "x" 3; "b" "v" 3; "c" "m" "v" "z" 2; "d" "m" "o" "p" "r" "w" "y" 2; "e" "g" "j" 3;
"a" "n" "x" 3; "b" "v" 3; "c" "m" "v" "z" 2; "d" "m" "o" "p" "r" "w" "y" 2; "e" "g" "j" 3;
"a" "n" "x" 3; "b" "v" 4; "c" "m" "v" "z" 2; "d" "m" "o" "p" "r" "w" "y" 2; "e" "g" "j" 3;
"a" "n" "x" 3; "b" "v" 4; "c" "m" "v" "z" 2; "d" "m" "o" "p" "r" "w" "y" 2; "e" "g" "j" 3;
"a" "n" "x" 3; "b" "v" 4; "c" "m" "v" "z" 2; "d" "m" "o" "p" "r" "w" "y" 2; "e" "g" "j" 3;
"a" "n" "x" 3; "b" "v" 4; "c" "m" "v" "z" 2; "d" "m" "o" "p" "r" "w" "y" 2; "e" "g" "j" 3;
"a" "n" "x" 3; "b" "v" 4; "c" "m" "v" "z" 2; "d" "m" "o" "p" "r" "w" "y" 2; "e" "g" "j" 3;
"a" "n" 4; "b" "v" 4; "c" "m" "v" "z" 2; "d" "h" "m" "o" "p" "r" "w" "y" 2; "e" "g" "j" 3;
"a" "n" 4; "b" "v" 4; "c" "j" "m" "v" "z" 2; "d" "h" "m" "o" "p" "r" "w" "y" 2; "e" "g" "j" 3;
"a" "n" 4; "b" "v" 4; "c" "j" "m" "v" "z" 2; "d" "h" "m" "o" "p" "r" "w" "y" 2; "e" "g" "j" 3;
"a" "n" 4; "b" "v" 4; "c" "j" "m" "v" "z" 2; "d" "h" "m" "o" "p" "r" "w" "y" 2; "e" "g" "j" 3;
"a" "n" 4; "b" "v" 4; "c" "j" "m" "v" "z" 2; "d" "h" "m" "o" "p" "r" "w" "y" 2; "e" "g" "j" 3;
"a" "n" 4; "b" "v" 4; "c" "j" "m" "v" "z" 2; "d" "e" "h" "m" "o" "p" "r" "w" "y" 2; "e" "g" "j" 3;
"a" "n" 4; "b" "v" 4; "c" "j" "m" "v" "z" 2; "d" "e" "h" "m" "o" "p" "r" "w" "y" 2; "e" "g" "j" 3;
"a" "n" 4; "b" "v" 4; "c" "j" "m" "v" "z" 2; "d" "e" "h" "m" "o" "p" "r" "w" "y" 2; "e" "g" "j" 3;
"a" "n" 4; "b" "v" 4; "c" "j" "m" "v" "z" 2; "d" "e" "h" "m" "o" "p" "r" "w" "y" 2; "e" "g" "j" 3;
"a" "n" 4; "b" "v" 4; "c" "j" "m" "v" "z" 2; "d" "e" "h" "m" "o" "p" "r" "w" "y" 2; "e" "g" "j" 3;
"a" "n" 4; "b" "v" 4; "c" "j" "m" "v" "z" 2; "d" "e" "h" "m" "o" "p" "r" "w" "y" 2; "e" "g" "j" 3;
"a" "n" 4; "b" "v" 4; "c" "j" "m" "v" "z" 2; "d" "e" "h" "m" "o" "p" "r" "w" "y" 2; "e" "g" "j" 3;
"a" "n" 4; "b" "v" 4; "c" "v" 3; "d" "e" "h" "m" "o" "p" "r" "w" "y" 2; "e" "g" "j" 3;
"a" "n" 4; "b" "v" 4; "c" "v" 3; "d" "e" "h" "m" "o" "p" "r" "w" "y" 2; "e" "g" "j" 3;
"a" "n" 4; "b" "v" 4; "c" "v" 3; "d" "e" "h" "m" "o" "p" "r" "w" "y" 2; "e" "g" "j" 3;
"a" "n" 4; "b" "v" 4; "c" "v" 3; "d" "e" "h" "m" "o" "p" "r" "w" "y" 2; "e" "g" "j" 3;
"a" "n" 4; "b" "v" 4; "c" "m" "v" "z" 3; "d" "e" "h" "m" "o" "p" "r" "w" "y" 2; "e" "g" "j" 3;
"a" "n" 4; "b" "v" 4; "c" "m" "v" "z" 3; "d" "e" "h" "m" "o" "p" "r" "w" "y" 2; "e" "g" "j" 3;
"a" "n" 4; "b" "v" 4; "c" "m" "v" "z" 3; "d" "e" "h" "m" "o" "p" "r" "w" "y" 2; "e" "g" "j" 3;
"a" "n" 4; "b" "v" 4; "c" "m" "v" "z" 3; "d" "e" "h" "m" "o" "p" "r" "v" "w" "y" 2; "e" "g" "j" 3;
"a" "n" 4; "b" "v" 4; "c" "m" "v" "z" 3; "d" "e" "h" "m" "o" "p" "r" "v" "w" "y" 2; "e" "g" "j" 3;
"a" "n" 4; "b" "v" 4; "c" "m" "v" "z" 3; "d" "e" "h" "m" "o" "p" "r" "v" "w" "y" 2; "e" "g" "j" 3;
"a" "n" 4; "b" "v" 4; "c" "m" "v" "z" 3; "d" "e" "h" "m" "o" "p" "r" "v" "w" "y" 2; "e" "g" "j" 3;
"a" "n" 4; "b" "v" 4; "c" "m" "v" "z" 3; "d" "o" 3; "e" "g" "j" 3;
"a" "n" 4; "b" "v" 4; "c" "m" "v" "z" 3; "d" "o" 3; "e" "g" "j" 3;
"a" "n" "x" 4; "b" "v" 4; "c" "m" "v" "z" 3; "d" "o" 3; "e" "g" "j" 3;
"a" "n" "x" 4; "b" "v" 4; "c" "m" "v" "z" 3; "d" "o" 3; "e" "g" "j" 3;
"a" "n" "x" 4; "b" "v" 4; "c" "m" "v" "z" 3; "d" "o" 3; "e" "g" "j" 3;
"a" "n" "x" 4; "b" "v" 4; "c" "m" "v" "z" 3; "d" "o" 3; "e" "g" "j" 3;
"a" "n" "x" 4; "b" "v" 4; "c" "m" "v" "z" 3; "d" "o" 3; "e" "g" "j" 3;
"a" "n" "x" 4; "b" "v" 4; "c" "m" "v" "z" 3; "d" "o" 3; "e" "g" "j" 3;
"a" "n" "x" 4; "b" "v" 4; "c" "m" "v" "z" 3; "d" "o" 3; "e" "g" "j" 3;
"a" "n" "x" 4; "b" "v" 4; "c" "m" "v" "z" 3; "d" "o" 3; "e" "g" "j" 3;
"a" "n" "x" 4; "b" "v" 4; "c" "z" 4; "d" "o" 3; "e" "g" "j" 3;
"a" "n" "x" 4; "b" "v" 4; "c" "z" 4; "d" "m" "o" 3; "e" "g" "j" 3;
"a" "n" "x" 4; "b" "v" 4; "c" "z" 4; "d" "m" "o" 3; "e" "g" "j" 3;
"a" "n" "x" 4; "b" "v" 4; "c" "z" 4; "d" "m" "o" 3; "e" "g" "j" 3;
"a" "n" "x" 4; "b" "v" 4; "c" "z" 4; "d" "m" "o" 3; "e" "g" "j" 3;
"a" "n" "x" 4; "b" "v" 4; "c" "z" 4; "d" "m" "o" 3; "e" "g" "j" 3;
"a" "n" "x" 4; "b" "v" 4; "c" "z" 4; "d" "m" "o" "y" 3; "e" "g" "j" 3;
"a" "n" "x" 4; "b" "v" 4; "c" "z" 4; "d" "m" "o" "y" 3; "e" "g" "j" 3;
"a" "n" "x" 4; "b" "v" 4; "c" "z" 4; "d" "m" "o" "y" 3; "e" "g" "j" 3;
"a" "n" "x" 4; "b" "v" 4; "c" "z" 4; "d" "m" "o" "y" 3; "e" "g" "j" 3;
"a" "n" "x" 4; "b" "v" 4; "c" "z" 4; "d" "m" "o" "y" 3; "e" "g" "j" 3;
"a" "n" "x" 4; "b" "v" 4; "c" "z" 4; "d" "m" "o" "y" 3; "e" "g" "j" 3;
"a" "n" "x" 4; "b" "v" 4; "c" "z" 4; "d" "m" "o" "y" 3; "e" "g" "j" 3;
"a" "n" "x" 4; "b" "v" 4; "c" "z" 4; "d" "m" "o" "y" 3; "e" "g" "j" 3;
"a" "n" "x" 4; "b" "v" 4; "c" "z" 4; "d" "m" "o" "y" 3; "e" "g" "j" 3;
"a" "n" "x" 4; "b" "v" 4; "c" "z" 4; "d" "m" "o" "y" 3; "e" "g" "j" 3;
"a" "n" "x" 4; "b" "v" 4; "c" "z" 4; "d" "m" "o" "r" "y" 3; "e" "g" "j" 3;
"a" "n" "x" 4; "b" "v" 4; "c" "z" 4; "d" "m" "o" "r" "y" 3; "e" "g" "j" 3;
"a" "n" "x" 4; "b" "v" 4; "c" "z" 4; "d" "m" "o" "r" "y" 3; "e" "g" "j" 3;
"a" "n" "x" 4; "b" "v" 4; "c" "z" 4; "d" "o" 4; "e" "g" "j" 3;
