none
none
none
none
none
none
none
none
none
"b" "j" 1;
"b" "j" 1;
"b" "j" 1;
"b" "j" 1;
"b" "j" 1;
"b" "j" 1;
"b" "j" 1;
"b" "j" 1;
"b" "j" 1;
"b" "j" "k" 1; "c" "o" 1;
"b" "j" "k" 1; "c" "o" 1;
"b" "j" "k" 1; "c" "o" 1;
"b" "j" "k" 1; "c" "j" "o" 1;
"b" "j" "k" 1; "c" "j" "o" 1;
"b" "j" "k" 1; "c" "j" "o" 1;
"b" "j" "k" 1; "c" "j" "o" 1;
"b" "j" "k" 1; "c" "j" "o" 1;
"b" "j" "k" 1; "c" "j" "o" 1;
"b" "j" "k" 1; "c" "j" "o" 1;
"b" "j" "k" 1; "c" "j" "o" 1;
"b" "j" "k" 1; "c" "j" "o" 1;
"b" "j" "k" 1; "c" "j" "o" 1;
"b" "j" "k" 1; "c" "j" "o" 1;
"b" "j" "k" 1; "c" "j" "o" 1; "e" "x" 1;
"b" "j" "k" 1; "c" "j" "o" 1; "e" "x" 1;
"b" "j" "k" 1; "c" "j" "o" 1; "e" "x" 1;
"b" "j" "k" 1; "c" "j" "o" 1; "e" "x" 1;
"b" "j" "k" 1; "c" "j" "o" 1; "e" "x" 1;
"b" "b" "j" "k" 1; "c" "j" "o" 1; "e" "x" 1;
"b" "b" "j" "k" 1; "c" "j" "o" 1; "e" "x" 1;
"b" "b" "j" "k" 1; "c" "j" "o" 1; "e" "x" 1;
"b" "b" "j" "k" 1; "c" "j" "o" 1; "d" "k" 1; "e" "x" 1;
"b" "b" "j" "k" 1; "c" "j" "o" 1; "d" "k" 1; "e" "x" 1;
"b" "b" "j" "k" 1; "c" "j" "o" 1; "d" "k" 1; "e" "x" 1;
"b" "b" "j" "k" 1; "c" "j" "o" 1; "d" "k" 1; "e" "x" 1;
"b" "b" "j" "k" 1; "c" "j" "o" 1; "d" "k" 1; "e" "k" "x" 1;
"b" "b" "j" "k" 1; "c" "j" "o" 1; "d" "k" 1; "e" "k" "x" 1;
"b" "b" "j" "k" 1; "c" "j" "o" 1; "d" "f" "k" "s" 1; "e" "k" "x" 1;
"b" "b" "j" "k" 1; "c" "j" "o" 1; "d" "f" "k" "s" 1; "e" "k" "x" 1;
"b" "b" "j" "k" 1; "c" "c" "j" "o" 1; "d" "f" "k" "s" 1; "e" "k" "x" 1;
"a" "w" 2; "b" "j" 3; "c" "c" "e" "j" "o" "v" "x" 1; "d" "k" "r" 2; "e" "o" "t" 2;
"a" "w" 2; "b" "j" 3; "c" "c" "e" "j" "o" "v" "x" 1; "d" "k" "r" 2; "e" "o" "t" 2;
"a" "w" 2; "b" "j" 3; "c" "c" "e" "j" "o" "v" "x" 1; "d" "k" "r" 2; "e" "o" "t" 2;
"a" "w" 2; "b" "j" 3; "c" "c" "e" "j" "o" "v" "x" 1; "d" "k" "r" 2; "e" "o" "t" 2;
"a" "w" 2; "b" "j" 3; "c" "c" "e" "j" "o" "v" "x" 1; "d" "k" "r" 2; "e" "o" "t" 2;
"a" "w" 2; "b" "j" 3; "c" "c" "e" "j" "o" "v" "x" 1; "d" "k" "r" 2; "e" "o" "t" 2;
"a" "p" "w" 2; "b" "j" 3; "c" "c" "e" "j" "o" "v" "x" 1; "d" "k" "r" 2; "e" "o" "t" 2;
"a" "p" "w" 2; "b" "j" 3; "c" "c" "e" "j" "o" "v" "x" 1; "d" "k" "r" 2; "e" "o" "t" 2;
"a" "p" "w" 2; "b" "j" 3; "c" "c" "e" "j" "o" "v" "x" 1; "d" "k" "r" 2; "e" "o" "t" 2;
"a" "j" "p" "w" 2; "b" "j" 3; "c" "j" 2; "d" "k" "r" 2; "e" "o" "t" 2;
"a" "j" "p" "w" 2; "b" "j" 3; "c" "j" 2; "d" "k" "r" 2; "e" "o" "t" 2;
"a" "j" "p" "w" 2; "b" "j" 3; "c" "j" 2; "d" "k" "r" 2; "e" "o" "t" 2;
"a" "j" "p" "w" 2; "b" "j" 3; "c" "j" 2; "d" "k" "r" 2; "e" "o" "t" 2;
"a" "j" "p" "w" 2; "b" "j" 3; "c" "j" 2; "d" "k" "r" 2; "e" "o" "t" 2;
"a" "j" "p" "w" 2; "b" "j" 3; "c" "j" 2; "d" "k" "r" 2; "e" "o" "t" 2;
"a" "j" "p" "w" 2; "b" "j" 4; "c" "j" 2; "d" "k" "r" 2; "e" "o" "t" 2;
"a" "j" "p" "w" 2; "b" "j" 4; "c" "j" 2; "d" "k" "r" 2; "e" "o" "t" 2;
"a" "j" "p" "w" 2; "b" "j" 4; "c" "j" 2; "d" "k" "r" 2; "e" "i" "o" "t" 2;
"a" "j" "p" "w" 2; "b" "j" 4; "c" "j" 2; "d" "k" "r" "z" 2; "e" "i" "o" "t" 2;
"a" "j" "p" "w" 2; "b" "j" 4; "c" "j" 2; "d" "k" "r" "z" 2; "e" "i" "k" "o" "t" 2;
"a" "j" "p" "w" 2; "b" "j" 4; "c" "j" 2; "d" "k" "r" "z" 2; "e" "i" "k" "o" "t" 2;
"a" "j" "p" "w" 2; "b" "j" 4; "c" "j" 2; "d" "k" "r" 2; "e" "i" "k" "o" "t" 2;
"a" "j" "p" "w" 2; "b" "j" 4; "c" "j" 2; "d" "k" "r" 2; "e" "i" "k" "o" "t" 2;
"a" "j" "p" "w" 2; "b" "j" 4; "c" "j" "r" 2; "d" "k" "o" "r" 2; "e" "i" "k" "o" "t" 2;
"a" "j" "p" "w" 2; "b" "j" 4; "c" "j" "r" 2; "d" "k" "o" "r" 2; "e" "i" "k" "o" "t" 2;
"a" "j" "p" "w" 2; "b" "j" 4; "c" "j" "r" 2; "d" "k" "o" "r" 2; "e" "i" "k" "o" "t" 2;
"a" "j" "p" "w" 2; "b" "j" 4; "c" "j" "r" 2; "d" "i" "k" "o" "r" 2; "e" "i" "k" "o" "t" "x" 2;
"a" "j" "p" "w" 2; "b" "j" 4; "c" "j" "r" 2; "d" "b" "i" "k" "o" "r" 2; "e" "i" "k" "o" "t" "x" 2;
"a" "h" "j" "p" "w" 2; "b" "j" 4; "c" "j" "r" 2; "d" "b" "i" "k" "o" "r" 2; "e" "i" "k" "o" "t" "x" 2;
"a" "h" "j" "p" "w" 2; "b" "j" 4; "c" "j" "p" "r" 2; "d" "b" "i" "k" "o" "r" 2; "e" "i" "k" "o" "t" "x" 2;
"a" "h" "j" "p" "w" 2; "b" "j" 4; "c" "j" "p" "r" 2; "d" "b" "i" "k" "o" "r" 2; "e" "i" "k" "o" "t" "x" 2;
"a" "h" "j" "p" "w" 2; "b" "j" 4; "c" "j" "p" "r" 2; "d" "b" "i" "k" "o" "r" "s" 2; "e" "i" "k" "o" "t" "x" 2;
"a" "h" "j" "p" "w" 2; "b" "j" 4; "c" "j" "p" "r" 2; "d" "b" "i" "k" "o" "r" "s" 2; "e" "i" "k" "o" "t" "x" 2;
"a" "h" "j" "p" "w" 2; "b" "j" 4; "c" "f" "j" "p" "r" 2; "d" "b" "i" "k" "o" "r" "s" 2; "e" "i" "k" "o" "t" "w" "x" 2;
"a" "h" "j" "p" "w" 2; "b" "j" 4; "c" "f" "j" "p" "r" 2; "d" "b" "i" "k" "o" "r" "s" 2; "e" "k" 3;
"a" "h" "j" "p" "w" 2; "b" "j" 4; "c" "f" "j" "p" "r" 2; "d" "b" "i" "k" "o" "r" "s" 2; "e" "k" 3;
"a" "h" "j" "p" "w" 2; "b" "j" 4; "c" "f" "j" "p" "r" 2; "d" "b" "i" "k" "o" "r" "s" 2; "e" "k" 3;
"a" "h" "j" "p" "w" 2; "b" "j" 4; "c" "f" "j" "p" "r" 2; "d" "b" "i" "k" "o" "r" "s" 2; "e" "k" 3;
"a" "h" "j" "p" "w" 2; "b" "j" 4; "c" "f" "j" "p" "r" 2; "d" "b" "i" "k" "o" "r" "s" 2; "e" "k" 3;
"a" "h" "j" "p" "w" 2; "b" "j" 4; "c" "f" "j" "p" "r" 2; "d" "b" "i" "k" "o" "r" "s" 2; "e" "k" 3;
"a" "h" "j" "p" "w" 2; "b" "j" 4; "c" "f" "j" "p" "r" 2; "d" "b" "i" "k" "o" "r" "s" 2; "e" "k" 3;
"a" "h" "j" "p" "w" 2; "b" "j" 4; "c" "f" "j" "p" "r" 2; "d" "b" "i" "k" "o" "r" "s" 2; "e" "k" "o" 3;
"a" "h" "j" "p" "w" 2; "b" "j" 4; "c" "f" "j" "p" "q" "r" 2; "d" "b" "i" "k" "o" "r" "s" 2; "e" "k" "o" "x" 3;
"a" "h" "j" "p" "w" 2; "b" "j" 4; "c" "f" "j" "p" "q" "r" 2; "d" "b" 3; "e" "k" "o" "x" 3;
"a" "h" "j" "p" "w" 2; "b" "j" 4; "c" "f" "j" "p" "q" "r" 2; "d" "b" 3; "e" "k" 4;
"a" "h" "j" "p" "w" 2; "b" "j" 4; "c" "f" "j" "p" "q" "r" 2; "d" "b" 3; "e" "k" 4;
"a" "h" "j" "p" "w" 2; "b" "j" 4; "c" "f" "j" "p" "q" "r" 2; "d" "b" 3; "e" "k" 4;
"a" "h" "j" "p" "w" 2; "b" "j" 4; "c" "f" "j" "p" "q" "r" 2; "d" "b" 3; "e" "k" "x" 4;
"a" "w" 3; "b" "j" 4; "c" "f" "j" "p" "q" "r" 2; "d" "b" 3; "e" "k" "x" 4;
"a" "w" 3; "b" "j" 4; "c" "f" "j" "p" "q" "r" 2; "d" "b" 3; "e" "k" "x" 4;
"a" "w" 3; "b" "j" 4; "c" "f" "j" "p" "q" "r" 2; "d" "b" 3; "e" "k" "x" 4;
"a" "w" 3; "b" "j" 4; "c" "f" "j" "p" "q" "r" 2; "d" "b" "r" 3; "e" "k" "x" 4;
"a" "w" 3; "b" "j" 4; "c" "f" "j" "p" "q" "r" 2; "d" "b" "r" 3; "e" "k" "x" 4;
"a" "w" 3; "b" "j" 4; "c" "f" "j" "p" "q" "r" 2; "d" "b" "r" 3; "e" "k" "x" 4;
"a" "w" 3; "b" "j" 4; "c" "f" "j" "p" "q" "r" 2; "d" "b" "r" 3; "e" "k" "x" 4;
"a" "w" 3; "b" "j" 4; "c" "f" "j" "p" "q" "r" 2; "d" "b" "r" 3; "e" "k" "x" 4;
"a" "w" 4; "b" "j" 4; "c" "f" "j" "p" "q" "r" 2; "d" "b" "r" 3; "e" "k" "x" 4;
"a" "w" 4; "b" "j" 4; "c" "f" "j" "p" "q" "r" 2; "d" "b" "r" 3; "e" "k" "x" 4;
"a" "w" 4; "b" "j" 4; "c" "f" "j" "p" "q" "r" 2; "d" "b" "r" 3; "e" "k" "x" 4;
"a" "w" 4; "b" "j" 4; "c" "r" 3; "d" "b" "r" 3; "e" "x" 5;
"a" "w" 4; "b" "j" 4; "c" "r" 3; "d" "b" "r" 3; "e" "x" 5;
"a" "w" 4; "b" "j" 4; "c" "r" 3; "d" "b" "r" 3; "e" "x" 5;
"a" "w" 4; "b" "j" 4; "c" "r" 3; "d" "b" "r" 3; "e" "x" 5;
"a" "w" 4; "b" "j" 4; "c" "r" 3; "d" "b" "r" 3; "e" "x" 5;
"a" "w" 4; "b" "j" 4; "c" "r" 3; "d" "b" "r" 3; "e" "x" 5;
"a" "w" 4; "b" "j" 4; "c" "r" 3; "d" "b" "r" 3; "e" "x" 5;
"a" "w" 4; "b" "j" 4; "c" "r" 3; "d" "b" "r" 3; "e" "x" 5;
"a" "w" 4; "b" "j" 4; "c" "r" 3; "d" "b" "r" 3; "e" "x" 5;
"a" "w" 4; "b" "j" 4; "c" "r" 3; "d" "b" "r" 3; "e" "x" 5;
"a" "w" 4; "b" "j" "n" 4; "c" "r" 3; "d" "b" "r" 3; "e" "x" 5;
"a" "w" 4; "b" "j" "n" 4; "c" "r" 3; "d" "b" "r" 3; "e" "x" 5;
"a" "w" 4; "b" "j" "n" 4; "c" "r" 3; "d" "b" "r" 3; "e" "x" 5;
"a" "w" 4; "b" "j" "n" 4; "c" "r" 3; "d" "b" "r" 3; "e" "x" 5;
"a" "w" 4; "b" "j" "n" 4; "c" "r" 3; "d" "b" "r" 3; "e" "x" 5;
"a" "w" 5; "b" "j" "n" 4; "c" "r" 3; "d" "b" "r" 3; "e" "x" 5;
"a" "w" 5; "b" "j" "n" 4; "c" "r" 3; "d" "b" "r" 3; "e" "x" 5;
"a" "w" 5; "b" "j" "n" 4; "c" "r" 3; "d" "b" "r" 3; "e" "x" 5;
"a" "w" 5; "b" "j" "n" 4; "c" "r" 3; "d" "b" "r" 3; "e" "x" 5;
"a" "w" 5; "b" "j" "n" 4; "c" "r" 3; "d" "b" "r" 3; "e" "x" 5;
"a" "w" 5; "b" "j" "n" 4; "c" "r" 3; "d" "b" "r" 3; "e" "x" 5;
"a" "w" 5; "b" "j" "n" 4; "c" "r" 3; "d" "b" "r" 3; "e" "x" 5;
"a" "w" 5; "b" "j" "n" 4; "c" "r" 3; "d" "b" "r" 3; "e" "x" 5;
"a" "w" 5; "b" "j" "n" 4; "c" "r" 3; "d" "b" "r" 3; "e" "x" 5;
"a" "w" 5; "b" "j" "n" 4; "c" "r" 3; "d" "b" "r" "s" 3; "e" "x" 5;
"a" "w" 5; "b" "j" "n" 4; "c" "r" 3; "d" "b" "r" "s" 3; "e" "x" 5;
"a" "w" 5; "b" "j" "n" 4; "c" "r" 3; "d" "b" "r" "s" 3; "e" "x" 5;
"a" "w" 5; "b" "j" "n" 4; "c" "r" 3; "d" "b" "r" "s" 3; "e" "x" 5;
"a" "w" 5; "b" "j" "n" 4; "c" "r" 3; "d" "b" "r" "s" 3; "e" "x" 5;
"a" "w" 5; "b" "j" "n" 4; "c" "r" 3; "d" "b" "r" "s" 3; "e" "x" 5;
"a" "w" 5; "b" "j" "n" 4; "c" "r" 3; "d" "b" "r" "s" 3; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "r" 3; "d" "b" "r" "s" 3; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "j" "r" 3; "d" "b" "r" "s" 3; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "j" "r" 3; "d" "b" "r" "s" 3; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "j" "r" 3; "d" "b" "r" "s" 3; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "j" "r" 3; "d" "b" "r" "s" 3; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "j" "r" 3; "d" "b" "r" "s" 3; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "j" "r" 3; "d" "b" "r" "s" 3; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "j" "r" 3; "d" "b" "r" "s" 3; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "j" "r" 3; "d" "b" "r" "s" 3; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "j" "r" 3; "d" "b" "r" "s" 3; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "j" "r" 3; "d" "b" "r" "s" 3; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "j" "m" "r" 3; "d" "b" "r" "s" 3; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "j" "m" "r" 3; "d" "b" "r" "s" 3; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "j" "m" "r" 3; "d" "b" "r" "s" 3; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "j" "m" "r" 3; "d" "b" "r" "s" 3; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "j" "m" "r" 3; "d" "b" "r" "s" 3; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "j" "m" "r" 3; "d" "b" "r" "s" 3; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "j" "m" "r" 3; "d" "b" "r" "s" 3; "e" "x" 5;
