"e" "k" 1;
"e" "k" 1;
"e" "k" 1;
"e" "k" 1;
"e" "k" 1;
"e" "k" 1;
"b" "p" 1; "c" "a" 1; "e" "k" 1;
"b" "p" 1; "c" "a" 1; "e" "k" 1;
"b" "p" 1; "c" "a" "u" 1; "e" "k" 1;
"b" "p" 1; "c" "a" "u" 1; "d" "s" 1; "e" "k" 1;
"b" "p" 1; "c" "a" "u" 1; "d" "s" "t" 1; "e" "k" 1;
"b" "p" 1; "c" "a" "u" 1; "d" "s" "t" 1; "e" "k" 1;
"b" "p" 1; "c" "a" "u" 1; "d" "s" "t" 1; "e" "k" 1;
"b" "p" 1; "c" "a" "u" 1; "d" "s" "t" 1; "e" "k" 1;
"b" "p" 1; "c" "a" "u" 1; "d" "s" "t" 1; "e" "k" 1;
"b" "p" 1; "c" "a" "u" "y" 1; "d" "s" "t" 1; "e" "k" 1;
"b" "p" 1; "c" "a" "u" "y" 1; "d" "s" "t" 1; "e" "k" 1;
"b" "p" 1; "c" "a" "f" "u" "y" 1; "d" "s" "t" 1; "e" "k" 1;
"b" "p" 1; "c" "a" "f" "u" "y" 1; "d" "s" "t" 1; "e" "k" 1;
"b" "p" 1; "c" "a" "f" "u" "y" 1; "d" "s" "t" 1; "e" "k" 1;
"b" "p" 1; "c" "a" "f" "u" "y" 1; "d" "t" 2; "e" "k" 1;
"b" "p" 1; "c" "a" "f" "u" "y" 1; "d" "t" 2; "e" "k" 1;
"b" "p" 1; "c" "a" "f" "s" "u" "y" 1; "d" "s" "t" 2; "e" "k" 1;
"a" "m" "r" "z" 1; "b" "i" "p" 2; "c" "a" "e" "f" "p" "s" "u" "y" 1; "d" "t" 4; "e" "g" "k" "t" 1;
"a" "m" "r" "z" 1; "b" "i" "p" 2; "c" "a" "e" "f" "p" "s" "u" "y" 1; "d" "t" 4; "e" "g" "k" "t" 1;
"a" "m" "r" "z" 1; "b" "i" "p" 2; "c" "a" "e" "f" "p" "s" "u" "y" 1; "d" "t" 4; "e" "g" "k" "t" 1;
"a" "m" "r" "z" 1; "b" "i" "p" 2; "c" "a" "e" "f" "p" "s" "u" "y" 1; "d" "t" 4; "e" "a" "g" "k" "t" 1;
"a" "m" "r" "z" 1; "b" "i" "p" 2; "c" "a" "e" "f" "p" "s" "u" "y" 1; "d" "t" 4; "e" "a" "g" "k" "t" 1;
"a" "m" "r" "z" 1; "b" "i" "p" 2; "c" "a" "e" "f" "p" "s" "u" "y" 1; "d" "t" 4; "e" "a" "g" "k" "t" 1;
"a" "m" "r" "z" 1; "b" "i" "p" 2; "c" "a" "e" "f" "p" "s" "u" "y" 1; "d" "t" 4; "e" "a" "g" "k" "t" 1;
"a" "m" "n" "r" "z" 1; "b" "i" "p" 2; "c" "a" "e" "f" "p" "s" "u" "y" 1; "d" "t" 4; "e" "a" "g" "k" "m" "t" 1;
"a" "m" "n" "r" "z" 1; "b" "i" "p" 2; "c" "a" "e" "f" "p" "s" "u" "y" 1; "d" "t" 4; "e" "a" "g" "k" "m" "t" 1;
"a" "m" "n" "r" "z" 1; "b" "i" "p" 2; "c" "a" "e" "f" "p" "s" "u" "y" 1; "d" "t" 4; "e" "a" "g" "k" "m" "t" 1;
"a" "m" "n" "r" "v" "y" "z" 1; "b" "i" "p" 2; "c" "s" 2; "d" "t" 4; "e" "a" "g" "k" "m" "t" 1;
"a" "m" "n" "r" "v" "y" "z" 1; "b" "i" "p" 2; "c" "p" "s" 2; "d" "t" 4; "e" "a" "g" "k" "m" "t" 1;
"a" "z" 2; "b" "i" "p" 2; "c" "p" "s" 2; "d" "t" 4; "e" "a" "g" "k" "m" "t" 1;
"a" "z" 2; "b" "i" "p" 2; "c" "p" "s" 2; "d" "t" 4; "e" "a" "g" "k" "m" "t" 1;
"a" "z" 2; "b" "i" "p" 2; "c" "p" "s" 2; "d" "t" 4; "e" "a" "g" "k" "m" "t" 1;
"a" "z" 2; "b" "i" "p" 2; "c" "p" "s" 2; "d" "t" 4; "e" "a" "g" "k" "m" "t" 1;
"a" "z" 2; "b" "i" "p" 2; "c" "p" "s" 2; "d" "t" 4; "e" "a" "g" "k" "m" "t" 1;
"a" "z" 2; "b" "i" "p" 2; "c" "p" "s" 2; "d" "t" 4; "e" "a" "g" "k" "m" "t" 1;
"a" "u" "z" 2; "b" "i" "n" "p" 2; "c" "p" "s" 2; "d" "t" 4; "e" "a" "g" "k" "m" "t" 1;
"a" "u" "z" 2; "b" "i" "n" "p" 2; "c" "p" "s" 2; "d" "t" 4; "e" "a" "g" "k" "m" "t" 1;
"a" "u" "z" 2; "b" "i" "n" "p" 2; "c" "p" "s" "u" 2; "d" "t" 4; "e" "a" "g" "k" "m" "t" 1;
"a" "u" "z" 2; "b" "i" "n" "p" 2; "c" "p" "s" "u" 2; "d" "t" 4; "e" "a" "g" "k" "m" "t" 1;
"a" "u" "z" 2; "b" "i" "n" "p" 2; "c" "p" "s" "u" 2; "d" "t" 4; "e" "a" "g" "k" "m" "t" 1;
"a" "u" "z" 2; "b" "n" 3; "c" "p" "s" "u" 2; "d" "t" 4; "e" "a" "g" "k" "m" "t" 1;
"a" "u" "z" 2; "b" "n" 3; "c" "p" "s" "u" 2; "d" "t" 4; "e" "a" "g" "k" "m" "t" 1;
"a" "u" "z" 2; "b" "n" 3; "c" "p" "s" "u" 2; "d" "t" 4; "e" "a" "g" "k" "m" "t" 1;
"a" "u" "z" 2; "b" "n" 3; "c" "p" "s" "u" 2; "d" "t" 4; "e" "a" "g" "k" "m" "t" 1;
"a" "p" "u" "z" 2; "b" "n" 3; "c" "p" "s" "u" 2; "d" "t" 4; "e" "a" "g" "k" "m" "t" 1;
"a" "p" "u" "z" 2; "b" "n" 3; "c" "p" "s" "u" 2; "d" "t" 4; "e" "a" "g" "k" "m" "t" 1;
"a" "p" "u" "z" 2; "b" "n" 3; "c" "p" "s" "u" 2; "d" "t" 5; "e" "a" "g" "k" "m" "t" 1;
"a" "p" "u" "z" 2; "b" "n" 3; "c" "p" "s" "u" 2; "d" "t" 5; "e" "a" "g" "k" "m" "t" 1;
"a" "p" "u" "z" 2; "b" "n" 3; "c" "p" "s" "u" 2; "d" "t" 5; "e" "a" "g" "k" "m" "t" 1;
"a" "p" "u" "z" 2; "b" "n" 3; "c" "p" "s" "u" 2; "d" "t" 5; "e" "a" "g" "k" "m" "t" 1;
"a" "p" "u" "z" 2; "b" "n" 3; "c" "p" "s" "u" 2; "d" "t" 5; "e" "a" "g" "k" "m" "t" 1;
"a" "p" "u" "z" 2; "b" "n" 3; "c" "p" "s" "u" "v" "z" 2; "d" "t" 5; "e" "a" "g" "k" "m" "t" 1;
"a" "p" "u" "z" 2; "b" "n" 3; "c" "p" "s" "u" "v" "z" 2; "d" "t" 5; "e" "a" "g" "k" "m" "t" 1;
"a" "p" "u" "z" 2; "b" "n" 3; "c" "p" "s" "u" "v" "z" 2; "d" "t" 5; "e" "a" "g" "k" "m" "t" 1;
"a" "p" "u" "z" 2; "b" "n" 3; "c" "p" "s" "u" "v" "z" 2; "d" "t" 5; "e" "a" "g" "k" "m" "t" 1;
"a" "p" "u" "z" 2; "b" "n" 3; "c" "p" "s" "u" "v" "z" 2; "d" "t" 5; "e" "a" "g" "k" "m" "t" "v" 1;
"a" "p" "u" "z" 2; "b" "n" 3; "c" "p" "s" "u" "v" "z" 2; "d" "t" 5; "e" "a" "g" "k" "m" "t" "v" 1;
"a" "p" "u" "y" "z" 2; "b" "n" "p" 3; "c" "p" "s" "u" "v" "z" 2; "d" "t" 5; "e" "a" "g" "k" "m" "t" "v" 1;
"a" "p" "u" "y" "z" 2; "b" "n" "p" 3; "c" "f" "p" "s" "u" "v" "z" 2; "d" "t" 5; "e" "a" "g" "k" "m" "t" "v" 1;
"a" "p" "u" "y" "z" 2; "b" "n" "p" 3; "c" "f" "p" "s" "u" "v" "z" 2; "d" "t" 5; "e" "a" "g" "k" "m" "t" "v" 1;
"a" "p" "u" "y" "z" 2; "b" "n" "p" 3; "c" "f" "p" "s" "u" "v" "z" 2; "d" "t" 5; "e" "a" "g" "k" "m" "t" "v" 1;
"a" "p" "u" "y" "z" 2; "b" "n" "p" 3; "c" "f" "p" "s" "u" "v" "z" 2; "d" "t" 5; "e" "a" "g" "k" "m" "t" "v" 1;
"a" "n" "p" "u" "y" "z" 2; "b" "n" "p" 3; "c" "f" "p" "s" "u" "v" "z" 2; "d" "t" 5; "e" "a" "g" "k" "m" "t" "v" 1;
"a" "n" "p" "u" "y" "z" 2; "b" "n" "p" 3; "c" "f" "p" "s" "u" "v" "z" 2; "d" "t" 5; "e" "a" "g" "k" "m" "t" "v" 1;
"a" "n" "p" "u" "y" "z" 2; "b" "n" "p" 3; "c" "f" "p" "s" "u" "v" "z" 2; "d" "t" 5; "e" "a" "g" "k" "m" "t" "v" 1;
"a" "n" "p" "u" "y" "z" 2; "b" "n" "p" 3; "c" "f" "p" "s" "u" "v" "z" 2; "d" "t" 5; "e" "a" "g" "k" "m" "t" "v" 1;
"a" "n" "p" "u" "y" "z" 2; "b" "n" "p" 3; "c" "f" "p" "s" "u" "v" "z" 2; "d" "t" 5; "e" "a" "e" "g" "k" "m" "t" "v" 1;
"a" "n" "p" "u" "y" "z" 2; "b" "n" "p" 3; "c" "f" 3; "d" "t" 5; "e" "a" "e" "g" "k" "m" "t" "v" 1;
"a" "n" "p" "u" "y" "z" 2; "b" "n" "p" 3; "c" "f" 3; "d" "t" 5; "e" "a" "e" "g" "k" "m" "t" "v" 1;
"a" "n" "p" "r" "u" "y" "z" 2; "b" "n" "p" 3; "c" "f" 3; "d" "t" 5; "e" "v" 2;
"a" "n" "p" "r" "u" "y" "z" 2; "b" "p" 4; "c" "f" 3; "d" "t" 5; "e" "v" 2;
"a" "n" "p" "r" "u" "y" "z" 2; "b" "p" 4; "c" "f" 3; "d" "t" 5; "e" "v" 2;
"a" "n" "p" "r" "u" "y" "z" 2; "b" "p" 4; "c" "f" 3; "d" "t" 5; "e" "v" 2;
"a" "n" "p" "r" "u" "y" "z" 2; "b" "p" 4; "c" "f" 3; "d" "t" 5; "e" "v" 2;
"a" "n" "p" "r" "u" "y" "z" 2; "b" "p" 4; "c" "f" 3; "d" "t" 5; "e" "v" 2;
"a" "n" "p" "r" "u" "y" "z" 2; "b" "p" 4; "c" "f" 3; "d" "t" 5; "e" "v" 2;
"a" "n" "p" "r" "u" "y" "z" 2; "b" "p" 4; "c" "f" 3; "d" "t" 5; "e" "v" 2;
"a" "n" "p" "r" "u" "y" "z" 2; "b" "p" 4; "c" "f" 3; "d" "t" 5; "e" "v" 2;
"a" "n" "p" "r" "u" "y" "z" 2; "b" "p" 4; "c" "f" 3; "d" "t" 5; "e" "v" 2;
"a" "n" "p" "r" "u" "y" "z" 2; "b" "p" 4; "c" "f" 3; "d" "t" 5; "e" "v" 2;
"a" "n" "p" "r" "u" "y" "z" 2; "b" "p" 4; "c" "f" 3; "d" "t" 5; "e" "v" 2;
"a" "a" "n" "p" "r" "u" "y" "z" 2; "b" "p" 4; "c" "f" 3; "d" "t" 5; "e" "v" 2;
"a" "a" "n" "p" "r" "u" "y" "z" 2; "b" "p" 4; "c" "f" 3; "d" "t" 5; "e" "v" 2;
"a" "a" "n" "p" "r" "u" "y" "z" 2; "b" "p" 4; "c" "f" 3; "d" "t" 5; "e" "v" 2;
"a" "z" 3; "b" "p" 4; "c" "f" 3; "d" "t" 5; "e" "v" 2;
"a" "z" 3; "b" "p" 4; "c" "f" 3; "d" "t" 5; "e" "v" 2;
"a" "z" 3; "b" "p" 4; "c" "f" 3; "d" "t" 5; "e" "v" 2;
"a" "z" 3; "b" "p" 4; "c" "f" 3; "d" "t" 5; "e" "v" 2;
"a" "z" 3; "b" "n" "p" 4; "c" "f" 3; "d" "t" 5; "e" "v" 2;
"a" "z" 3; "b" "n" "p" 4; "c" "f" "u" 3; "d" "t" 5; "e" "v" 2;
"a" "z" 3; "b" "n" "p" 4; "c" "f" "u" 3; "d" "t" 5; "e" "e" "v" 2;
"a" "y" "z" 3; "b" "n" "p" 4; "c" "f" "u" 3; "d" "t" 5; "e" "e" "v" 2;
"a" "y" "z" 3; "b" "n" "p" 4; "c" "f" "u" 3; "d" "t" 5; "e" "e" "v" 2;
"a" "y" "z" 3; "b" "n" "p" 4; "c" "f" "u" 3; "d" "t" 5; "e" "e" "v" 2;
"a" "y" "z" 3; "b" "n" "p" 4; "c" "f" "u" 3; "d" "t" 5; "e" "e" "v" 2;
"a" "y" "z" 3; "b" "n" "p" 4; "c" "f" "u" 3; "d" "t" 5; "e" "e" "v" 2;
"a" "y" "z" 3; "b" "n" "p" 4; "c" "f" "u" 3; "d" "t" 5; "e" "e" "v" 2;
"a" "y" "z" 3; "b" "n" "p" 4; "c" "f" "u" 3; "d" "t" 5; "e" "e" "v" 2;
"a" "y" "z" 3; "b" "n" "p" 4; "c" "f" "u" 3; "d" "t" 5; "e" "e" "v" 2;
"a" "y" "z" 3; "b" "n" "p" 4; "c" "f" "u" 3; "d" "t" 5; "e" "e" "v" 2;
"a" "y" "z" 3; "b" "n" "p" 4; "c" "f" "u" 3; "d" "t" 5; "e" "e" "v" 2;
"a" "y" "z" 3; "b" "n" "p" 4; "c" "f" "u" 3; "d" "t" 5; "e" "e" "v" 2;
"a" "y" "z" 3; "b" "n" "p" 4; "c" "f" "u" 3; "d" "t" 5; "e" "e" "v" 2;
"a" "y" "z" 3; "b" "n" "p" 4; "c" "f" "u" 3; "d" "t" 5; "e" "e" "v" 2;
"a" "y" "z" 3; "b" "n" "p" 4; "c" "f" "u" 3; "d" "t" 5; "e" "e" "v" 2;
"a" "y" "z" 3; "b" "n" "p" 4; "c" "f" "u" 3; "d" "t" 5; "e" "e" "v" 2;
"a" "y" "z" 3; "b" "n" "p" 4; "c" "f" "u" 3; "d" "t" 5; "e" "e" "v" 2;
"a" "y" "z" 3; "b" "n" "p" 4; "c" "f" "u" 3; "d" "t" 5; "e" "e" "v" 2;
"a" "y" "z" 3; "b" "n" "p" 4; "c" "f" "u" 3; "d" "t" 5; "e" "e" "v" 2;
"a" "y" "z" 3; "b" "n" "p" 4; "c" "f" "u" 3; "d" "t" 5; "e" "e" "v" 2;
"a" "y" "z" 3; "b" "n" "p" 4; "c" "f" "u" 3; "d" "t" 5; "e" "e" "v" 2;
"a" "y" "z" 3; "b" "n" "p" 4; "c" "f" "u" 3; "d" "t" 5; "e" "e" "v" 2;
"a" "o" "y" "z" 3; "b" "n" "p" 4; "c" "f" "u" 3; "d" "t" 5; "e" "e" "v" 2;
"a" "o" "y" "z" 3; "b" "n" "p" 4; "c" "f" "u" 3; "d" "t" 5; "e" "e" "v" 2;
"a" "y" 4; "b" "n" "p" 4; "c" "f" "u" 3; "d" "t" 5; "e" "e" "v" 2;
"a" "y" 4; "b" "n" "p" 4; "c" "f" "u" 3; "d" "t" 5; "e" "e" "v" 2;
"a" "y" 4; "b" "n" "p" 4; "c" "e" "f" "u" 3; "d" "t" 5; "e" "e" "v" 2;
"a" "y" 4; "b" "n" "p" 4; "c" "e" "f" "u" 3; "d" "t" 5; "e" "e" "v" 2;
"a" "y" 4; "b" "n" "p" 4; "c" "e" "f" "u" 3; "d" "t" 5; "e" "e" "h" "v" 2;
"a" "y" 4; "b" "n" "p" 4; "c" "e" "f" "u" 3; "d" "t" 5; "e" "e" "g" "h" "v" 2;
"a" "y" 4; "b" "n" "p" 4; "c" "e" "f" "u" 3; "d" "t" 5; "e" "e" "g" "h" "v" 2;
"a" "y" 4; "b" "n" "p" 4; "c" "e" "f" "u" 3; "d" "t" 5; "e" "e" "g" "h" "v" 2;
"a" "y" 4; "b" "n" "p" 4; "c" "e" "f" "u" 3; "d" "t" 5; "e" "e" "g" "h" "v" 2;
"a" "y" 4; "b" "n" "p" 4; "c" "e" "f" "u" 3; "d" "t" 5; "e" "e" "g" "h" "v" 2;
"a" "y" "z" 4; "b" "n" "p" 4; "c" "e" "f" "u" 3; "d" "t" 5; "e" "e" "g" "h" "v" 2;
"a" "y" "z" 4; "b" "n" "p" 4; "c" "e" "f" "u" 3; "d" "t" 5; "e" "e" "g" "h" "v" 2;
"a" "y" "z" 4; "b" "n" "p" 4; "c" "e" "f" "u" 3; "d" "t" 5; "e" "e" "g" "h" "v" 2;
"a" "y" "z" 4; "b" "n" "p" 4; "c" "e" "f" "u" 3; "d" "t" 5; "e" "e" "g" "h" "v" 2;
"a" "y" "z" 4; "b" "n" "p" 4; "c" "e" "f" "s" "u" 3; "d" "t" 5; "e" "e" "g" "h" "v" 2;
"a" "y" "z" 4; "b" "n" "p" 4; "c" "e" "f" "s" "u" 3; "d" "t" 5; "e" "e" "g" "h" "v" 2;
"a" "y" "z" 4; "b" "n" "p" 4; "c" "e" "f" "s" "u" 3; "d" "t" 5; "e" "e" "g" "h" "v" 2;
"a" "y" "z" 4; "b" "n" "p" 4; "c" "e" "f" "s" "u" 3; "d" "t" 5; "e" "e" "g" "h" "v" 2;
"a" "y" "z" 4; "b" "n" "p" 4; "c" "e" "f" "s" "u" 3; "d" "t" 5; "e" "e" "g" "h" "v" 2;
"a" "y" 5; "b" "n" "p" 4; "c" "e" "f" "s" "u" 3; "d" "t" 5; "e" "e" "g" "h" "v" 2;
"a" "y" 5; "b" "n" "p" 4; "c" "e" "f" "s" "u" 3; "d" "t" 5; "e" "h" 3;
"a" "y" 5; "b" "n" "p" 4; "c" "e" "f" "s" "u" 3; "d" "t" 5; "e" "h" 3;
"a" "y" 5; "b" "n" "p" 4; "c" "e" "f" "s" "u" 3; "d" "t" 5; "e" "h" 3;
"a" "y" 5; "b" "n" "p" 4; "c" "e" "f" "s" "u" 3; "d" "t" 5; "e" "h" 3;
"a" "y" 5; "b" "n" "p" 4; "c" "e" "f" "s" "u" 3; "d" "t" 5; "e" "h" 3;
"a" "y" 5; "b" "n" "p" 4; "c" "e" "f" "s" "u" 3; "d" "t" 5; "e" "h" 3;
"a" "y" 5; "b" "n" "p" 4; "c" "e" "f" "s" "u" 3; "d" "t" 5; "e" "h" 3;
"a" "y" 5; "b" "n" "p" 4; "c" "e" "f" "s" "u" 3; "d" "t" 5; "e" "h" 3;
"a" "y" 5; "b" "n" "p" 4; "c" "e" "f" "s" "u" 3; "d" "t" 5; "e" "h" 3;
"a" "y" 5; "b" "n" "p" 4; "c" "e" "f" "s" "u" 3; "d" "t" 5; "e" "h" 3;
"a" "y" 5; "b" "n" "p" 4; "c" "e" "f" "s" "u" 3; "d" "t" 5; "e" "h" 3;
"a" "y" 5; "b" "n" "p" 4; "c" "e" "f" "s" "u" 3; "d" "t" 5; "e" "h" 3;
"a" "y" 5; "b" "n" "p" 4; "c" "e" 4; "d" "t" 5; "e" "h" 3;
"a" "y" 5; "b" "n" "p" 4; "c" "e" 4; "d" "t" 5; "e" "h" 3;
"a" "y" 5; "b" "n" "p" 4; "c" "e" 4; "d" "t" 5; "e" "h" 3;
"a" "y" 5; "b" "n" "p" 4; "c" "e" 4; "d" "t" 5; "e" "h" 3;
"a" "y" 5; "b" "n" "p" 4; "c" "e" 5; "d" "t" 5; "e" "h" 3;
"a" "y" 5; "b" "n" "p" 4; "c" "e" 5; "d" "t" 5; "e" "h" 3;
"a" "y" 5; "b" "n" "p" 4; "c" "e" 5; "d" "t" 5; "e" "h" 3;
"a" "y" 5; "b" "n" "p" 4; "c" "e" 5; "d" "t" 5; "e" "h" 3;
"a" "y" 5; "b" "n" "p" 4; "c" "e" 5; "d" "t" 5; "e" "h" 3;
"a" "y" 5; "b" "n" "p" 4; "c" "e" 5; "d" "t" 5; "e" "h" 3;
"a" "y" 5; "b" "n" "p" 4; "c" "e" 5; "d" "t" 5; "e" "h" 3;
"a" "y" 5; "b" "n" "p" "z" 4; "c" "e" 5; "d" "t" 5; "e" "h" 3;
"a" "y" 5; "b" "n" "p" "z" 4; "c" "e" 5; "d" "t" 5; "e" "h" 3;
"a" "y" 5; "b" "n" "p" "z" 4; "c" "e" 5; "d" "t" 5; "e" "h" 3;
"a" "y" 5; "b" "n" "p" "z" 4; "c" "e" 5; "d" "t" 5; "e" "h" 3;
"a" "y" 5; "b" "n" "p" "z" 4; "c" "e" 5; "d" "t" 5; "e" "h" 3;
"a" "y" 5; "b" "n" "p" "z" 4; "c" "e" 5; "d" "t" 5; "e" "h" 3;
"a" "y" 5; "b" "n" "p" "z" 4; "c" "e" 5; "d" "t" 5; "e" "h" 3;
"a" "y" 5; "b" "n" "p" "z" 4; "c" "e" 5; "d" "t" 5; "e" "h" 3;
"a" "y" 5; "b" "n" "p" "z" 4; "c" "e" 5; "d" "t" 5; "e" "h" 3;
"a" "y" 5; "b" "n" "p" "z" 4; "c" "e" 5; "d" "t" 5; "e" "h" 3;
"a" "y" 5; "b" "n" "p" "z" 4; "c" "e" 5; "d" "t" 5; "e" "h" 3;
"a" "y" 5; "b" "n" "p" "z" 4; "c" "e" 5; "d" "t" 5; "e" "h" 3;
"a" "y" 5; "b" "n" "p" "z" 4; "c" "e" 5; "d" "t" 5; "e" "h" 3;
"a" "y" 5; "b" "n" "p" "z" 4; "c" "e" 5; "d" "t" 5; "e" "h" 3;
"a" "y" 5; "b" "n" "p" "z" 4; "c" "e" 5; "d" "t" 5; "e" "h" 3;
"a" "y" 5; "b" "n" "p" "z" 4; "c" "e" 5; "d" "t" 5; "e" "h" 3;
"a" "y" 5; "b" "n" "p" "z" 4; "c" "e" 5; "d" "t" 5; "e" "h" 3;
"a" "y" 5; "b" "n" "p" "z" 4; "c" "e" 5; "d" "t" 5; "e" "h" 3;
"a" "y" 5; "b" "n" "p" "z" 4; "c" "e" 5; "d" "t" 5; "e" "h" 3;
"a" "y" 5; "b" "n" "p" "z" 4; "c" "e" 5; "d" "t" 5; "e" "h" 3;
