none
none
none
none
none
none
none
none
none
none
none
"d" "v" 1;
"d" "v" 1;
"d" "v" 1;
"d" "v" 1;
"d" "v" 1;
"d" "v" 1;
"c" "v" 1; "d" "v" 1;
"c" "v" 1; "d" "v" 1;
"c" "v" 1; "d" "v" 1;
"c" "v" 1; "d" "v" 1;
"c" "v" 1; "d" "v" 1;
"c" "v" 1; "d" "v" 1;
"c" "v" 1; "d" "v" 1;
"c" "v" 1; "d" "v" 1;
"c" "o" "v" 1; "d" "v" 1;
"c" "o" "v" 1; "d" "v" 1;
"c" "o" "v" 1; "d" "v" 1;
"c" "o" "v" 1; "d" "v" 1;
"c" "o" "v" 1; "d" "v" 1;
"c" "o" "v" 1; "d" "v" 1;
"c" "o" "v" 1; "d" "g" "v" 1;
"c" "o" "u" "v" 1; "d" "g" "v" "y" 1; "e" "u" 1;
"c" "o" "u" "v" 1; "d" "e" "g" "v" "y" 1; "e" "u" 1;
"c" "o" "u" "v" 1; "d" "e" "g" "v" "y" 1; "e" "u" 1;
"c" "o" "u" "v" 1; "d" "e" "g" "v" "y" 1; "e" "u" 1;
"c" "o" "u" "v" 1; "d" "e" "g" "v" "y" 1; "e" "u" 1;
"c" "o" "u" "v" 1; "d" "e" "g" "v" "y" 1; "e" "u" 1;
"c" "o" "u" "v" 1; "d" "e" "g" "v" "y" 1; "e" "u" 1;
"b" "q" 1; "c" "o" "u" "v" 1; "d" "e" "g" "v" "w" "y" 1; "e" "o" "u" 1;
"b" "q" 1; "c" "o" "u" "v" 1; "d" "e" "g" "v" "w" "y" 1; "e" "o" "u" 1;
"b" "q" 1; "c" "o" "u" "v" 1; "d" "e" "g" "v" "w" "y" 1; "e" "o" "u" 1;
"b" "q" 1; "c" "c" "o" "u" "v" 1; "d" "e" "g" "v" "w" "y" 1; "e" "o" "u" 1;
"b" "q" 1; "c" "c" "o" "u" "v" 1; "d" "e" "g" "v" "w" "y" 1; "e" "o" "u" 1;
"a" "e" "o" 2; "b" "e" 3; "c" "c" "m" "o" "q" "u" "v" "y" 1; "d" "y" 2; "e" "o" "u" 1;
"a" "e" "o" 2; "b" "e" 3; "c" "c" "m" "o" "q" "u" "v" "y" 1; "d" "y" 2; "e" "o" "u" 1;
"a" "e" "o" 2; "b" "e" 3; "c" "c" "m" "o" "q" "u" "v" "y" 1; "d" "y" 2; "e" "o" "u" 1;
"a" "e" "o" 2; "b" "e" 3; "c" "c" "m" "o" "q" "u" "v" "y" 1; "d" "y" 2; "e" "o" "u" 1;
"a" "o" 3; "b" "e" 3; "c" "c" "m" "o" "q" "u" "v" "y" 1; "d" "y" 2; "e" "o" "u" 1;
"a" "o" 3; "b" "e" 3; "c" "c" "m" "o" "q" "u" "v" "y" 1; "d" "y" 2; "e" "o" "u" 1;
"a" "o" 3; "b" "e" 3; "c" "c" "m" "o" "q" "u" "v" "y" 1; "d" "y" 2; "e" "o" "u" 1;
"a" "o" 3; "b" "e" 3; "c" "c" "m" "o" "q" "u" "v" "y" 1; "d" "y" 2; "e" "h" "o" "u" 1;
"a" "o" 3; "b" "e" 3; "c" "c" "m" "o" "q" "u" "v" "y" 1; "d" "y" 2; "e" "h" "o" "u" 1;
"a" "o" 3; "b" "e" 3; "c" "c" "m" "o" "q" "u" "v" "y" 1; "d" "y" 2; "e" "h" "o" "u" 1;
"a" "o" 3; "b" "e" 3; "c" "c" "m" "o" "q" "u" "v" "w" "y" 1; "d" "y" 2; "e" "a" "h" "o" "u" 1;
"a" "o" 3; "b" "e" 3; "c" "w" 2; "d" "y" 2; "e" "a" "h" "o" "u" 1;
"a" "o" 3; "b" "e" 3; "c" "w" 2; "d" "y" 2; "e" "a" "h" "o" "u" 1;
"a" "o" 3; "b" "e" 3; "c" "w" 2; "d" "y" 2; "e" "a" "h" "o" "u" 1;
"a" "o" 3; "b" "e" 3; "c" "w" 2; "d" "y" 2; "e" "a" "h" "o" "u" 1;
"a" "o" 3; "b" "e" 3; "c" "w" 2; "d" "y" 2; "e" "a" "h" "o" "u" 1;
"a" "o" 3; "b" "e" 3; "c" "w" 2; "d" "y" 2; "e" "a" "h" "o" "u" 1;
"a" "o" 3; "b" "e" 3; "c" "w" 2; "d" "y" 2; "e" "h" 2;
"a" "o" 3; "b" "e" 3; "c" "u" "w" 2; "d" "y" 2; "e" "h" 2;
"a" "o" 3; "b" "e" 3; "c" "u" "w" 2; "d" "y" 2; "e" "h" 2;
"a" "o" 3; "b" "e" 3; "c" "u" "w" 2; "d" "y" 2; "e" "h" 2;
"a" "o" 3; "b" "e" 3; "c" "u" "w" 2; "d" "y" 2; "e" "h" 2;
"a" "o" 3; "b" "e" 3; "c" "u" "w" 2; "d" "y" 2; "e" "h" 2;
"a" "o" 3; "b" "e" 3; "c" "u" "w" 2; "d" "y" 2; "e" "h" 2;
"a" "o" 3; "b" "e" 3; "c" "u" "w" 2; "d" "y" 2; "e" "h" 2;
"a" "e" "o" 3; "b" "e" 3; "c" "u" "w" 2; "d" "y" 2; "e" "h" 2;
"a" "e" "o" 3; "b" "e" 3; "c" "t" "u" "w" 2; "d" "y" 2; "e" "h" 2;
"a" "e" "o" 3; "b" "e" 3; "c" "t" "u" "w" 2; "d" "y" 2; "e" "h" 2;
"a" "e" "o" 3; "b" "e" 3; "c" "t" "u" "w" 2; "d" "m" "y" 2; "e" "h" 2;
"a" "e" "o" 3; "b" "e" 3; "c" "t" "u" "w" 2; "d" "m" "y" 2; "e" "h" 2;
"a" "e" "o" 3; "b" "e" 3; "c" "t" "u" "w" 2; "d" "m" "y" 2; "e" "h" 2;
"a" "e" "o" 3; "b" "e" 3; "c" "t" "u" "w" 2; "d" "g" "m" "y" 2; "e" "h" 2;
"a" "e" "o" 3; "b" "e" 3; "c" "t" "u" "w" 2; "d" "g" "m" "y" 2; "e" "a" "h" 2;
"a" "e" "o" 3; "b" "e" 3; "c" "t" "u" "w" 2; "d" "g" "m" "y" 2; "e" "a" "h" 2;
"a" "e" "o" 3; "b" "e" 3; "c" "b" "t" "u" "w" 2; "d" "g" "m" "y" 2; "e" "a" "h" 2;
"a" "e" "o" 3; "b" "e" 3; "c" "b" "q" "t" "u" "w" 2; "d" "g" "m" "y" 2; "e" "a" "h" 2;
"a" "e" "o" 3; "b" "e" 3; "c" "b" "q" "t" "u" "w" 2; "d" "g" "m" "y" 2; "e" "a" "h" 2;
"a" "e" "o" 3; "b" "e" 3; "c" "b" "q" "t" "u" "w" 2; "d" "g" "m" "y" 2; "e" "a" "h" 2;
"a" "e" "o" "u" 3; "b" "e" 3; "c" "b" "o" "q" "t" "u" "w" 2; "d" "g" "m" "y" 2; "e" "a" "h" 2;
"a" "e" "o" "u" 3; "b" "e" 3; "c" "b" "o" "q" "t" "u" "w" 2; "d" "g" "m" "y" 2; "e" "a" "h" 2;
"a" "e" "o" "u" 3; "b" "e" 3; "c" "b" "o" "q" "t" "u" "w" 2; "d" "g" "m" "y" 2; "e" "a" "h" 2;
"a" "e" "o" "u" 3; "b" "e" 3; "c" "b" "o" "q" "t" "u" "w" 2; "d" "g" "m" "y" 2; "e" "a" "h" 2;
"a" "e" "o" "u" 3; "b" "e" 3; "c" "b" "o" "q" "t" "u" "w" 2; "d" "g" "m" "y" 2; "e" "a" "h" 2;
"a" "e" "o" "u" 3; "b" "e" 3; "c" "b" "o" "q" "t" "u" "w" 2; "d" "g" "m" "y" 2; "e" "a" "h" 2;
"a" "e" "o" "u" 3; "b" "e" 3; "c" "b" "o" "q" "t" "u" "w" 2; "d" "g" "m" "y" 2; "e" "a" "h" 2;
"a" "e" "o" "u" 3; "b" "e" 3; "c" "b" "o" "q" "t" "u" "w" 2; "d" "g" "m" "y" 2; "e" "a" "h" 2;
"a" "e" "o" "u" 3; "b" "e" 3; "c" "b" "o" "q" "t" "u" "w" 2; "d" "g" "m" "y" 2; "e" "a" "h" 2;
"a" "e" "o" "u" 3; "b" "e" 3; "c" "b" "g" "o" "q" "t" "u" "w" 2; "d" "g" "m" "y" 2; "e" "a" "h" 2;
"a" "e" "o" "u" 3; "b" "e" 3; "c" "b" "g" "o" "q" "t" "u" "w" 2; "d" "g" "m" "y" 2; "e" "a" "h" 2;
"a" "e" "o" "u" 3; "b" "e" 3; "c" "b" "g" "o" "q" "t" "u" "w" 2; "d" "g" "m" "y" 2; "e" "a" "h" 2;
"a" "e" "o" "u" 3; "b" "e" 3; "c" "b" "g" "o" "q" "t" "u" "w" 2; "d" "g" "m" "y" 2; "e" "a" "h" 2;
"a" "e" "o" "u" 3; "b" "e" 3; "c" "b" "g" "o" "q" "t" "u" "w" 2; "d" "b" "g" "m" "y" 2; "e" "a" "h" 2;
"a" "e" "o" "u" 3; "b" "e" 3; "c" "b" "g" "o" "q" "t" "u" "w" 2; "d" "b" "g" "m" "y" 2; "e" "a" "h" 2;
"a" "e" "o" "u" 3; "b" "e" 3; "c" "b" "g" "o" "q" "t" "u" "w" 2; "d" "b" "g" "m" "y" 2; "e" "a" "h" 2;
"a" "e" "o" "u" 3; "b" "e" 4; "c" "b" "g" "o" "q" "t" "u" "w" 2; "d" "b" "g" "m" "y" 2; "e" "a" "h" 2;
"a" "e" "o" "u" 3; "b" "e" 4; "c" "b" "g" "o" "q" "t" "u" "w" 2; "d" "b" "g" "m" "y" 2; "e" "a" "h" 2;
"a" "e" "o" "u" 3; "b" "e" 4; "c" "b" "g" "o" "q" "t" "u" "w" 2; "d" "b" "g" "m" "y" 2; "e" "a" "h" 2;
"a" "e" "o" "u" 3; "b" "e" 4; "c" "b" "g" "o" "q" "t" "u" "w" 2; "d" "b" "g" "m" "y" 2; "e" "a" "h" 2;
"a" "e" "o" "u" 3; "b" "e" 4; "c" "b" "g" "o" "q" "t" "u" "w" 2; "d" "b" "g" "m" "y" 2; "e" "a" "h" 2;
"a" "e" "o" "u" 3; "b" "e" 4; "c" "b" "g" "o" "q" "t" "u" "w" 2; "d" "b" "g" "m" "w" "y" 2; "e" "a" "h" 2;
"a" "e" "o" "u" 3; "b" "e" 4; "c" "b" "g" "o" "q" "t" "u" "w" 2; "d" "b" "g" "m" "w" "y" 2; "e" "a" "h" 2;
"a" "e" "o" "u" 3; "b" "e" 4; "c" "b" "g" "o" "q" "t" "u" "w" 2; "d" "b" "g" "m" "w" "y" 2; "e" "a" "h" 2;
"a" "e" "o" "u" 3; "b" "e" 4; "c" "b" "g" "o" "q" "t" "u" "w" 2; "d" "b" "g" "m" "w" "y" 2; "e" "a" "h" 2;
"a" "e" "o" "u" 3; "b" "e" 4; "c" "b" "g" "o" "q" "t" "u" "w" 2; "d" "b" "g" "m" "w" "y" 2; "e" "a" "h" 2;
"a" "e" "o" "u" 3; "b" "e" 4; "c" "b" "g" "o" "q" "t" "u" "w" 2; "d" "b" "e" "g" "m" "w" "y" 2; "e" "a" "h" 2;
"a" "e" "o" "u" 3; "b" "e" 4; "c" "b" "g" "o" "q" "t" "u" "w" 2; "d" "b" "e" "g" "m" "w" "y" 2; "e" "a" "h" 2;
"a" "e" "o" "u" 3; "b" "e" 4; "c" "b" "g" "o" "q" "t" "u" "w" 2; "d" "b" "e" "g" "m" "w" "y" 2; "e" "a" "h" 2;
"a" "e" "o" "u" 3; "b" "e" 4; "c" "b" "g" "o" "q" "t" "u" "w" 2; "d" "b" "e" "g" "k" "m" "w" "y" 2; "e" "a" "h" 2;
"a" "e" "o" "u" 3; "b" "e" 4; "c" "b" "g" "o" "q" "t" "u" "w" 2; "d" "g" 3; "e" "a" "h" 2;
"a" "e" "o" "u" 3; "b" "e" 4; "c" "b" "g" "o" "q" "t" "u" "w" 2; "d" "g" 3; "e" "a" "h" 2;
"a" "e" "o" "u" 3; "b" "e" 4; "c" "b" "g" "o" "q" "t" "u" "w" 2; "d" "g" 3; "e" "a" "h" 2;
"a" "e" "o" "u" 3; "b" "e" 4; "c" "b" "g" "o" "q" "t" "u" "w" 2; "d" "g" 3; "e" "a" "h" 2;
"a" "e" "o" "u" 3; "b" "e" 4; "c" "b" "g" "o" "q" "t" "u" "w" 2; "d" "g" 3; "e" "a" "h" 2;
"a" "e" "o" "u" 3; "b" "e" 4; "c" "b" "g" "o" "q" "t" "u" "w" 2; "d" "g" 3; "e" "a" "h" "u" 2;
"a" "e" "o" "u" 3; "b" "e" 4; "c" "b" "g" "o" "q" "t" "u" "w" 2; "d" "g" 3; "e" "a" "h" "u" 2;
"a" "e" "o" "u" 3; "b" "e" 4; "c" "b" "g" "o" "q" "t" "u" "w" 2; "d" "g" 3; "e" "a" "h" "u" 2;
"a" "e" "o" "u" 3; "b" "e" 4; "c" "b" "g" "o" "q" "t" "u" "w" 2; "d" "g" 3; "e" "a" "h" "u" 2;
"a" "e" "o" "u" 3; "b" "e" 4; "c" "b" "g" "o" "q" "t" "u" "w" 2; "d" "g" 3; "e" "a" "h" "u" 2;
"a" "e" "o" "u" 3; "b" "e" 4; "c" "b" "g" "o" "q" "t" "u" "w" 2; "d" "g" 3; "e" "a" "h" "u" 2;
"a" "e" "o" "u" 3; "b" "e" 4; "c" "b" "g" "o" "q" "t" "u" "w" 2; "d" "g" 3; "e" "a" "h" "u" 2;
"a" "e" "o" "u" 3; "b" "e" 4; "c" "b" "g" "o" "q" "t" "u" "w" 2; "d" "g" 3; "e" "a" "h" "u" 2;
"a" "e" "o" "u" 3; "b" "e" 4; "c" "b" "g" "o" "q" "t" "u" "w" 2; "d" "g" 3; "e" "a" "h" "u" 2;
"a" "e" "o" "u" 3; "b" "e" 4; "c" "b" "g" "o" "q" "t" "u" "w" 2; "d" "g" 3; "e" "a" "h" "u" 2;
"a" "e" "o" "u" 3; "b" "e" 4; "c" "u" 3; "d" "g" 3; "e" "a" "h" "u" 2;
"a" "e" "o" "u" 3; "b" "e" 4; "c" "u" 3; "d" "g" 3; "e" "a" "h" "u" 2;
"a" "e" "o" "u" 3; "b" "e" 4; "c" "u" "w" 3; "d" "g" 3; "e" "a" "h" "u" 2;
"a" "e" "g" "o" "u" 3; "b" "e" 4; "c" "u" "w" 3; "d" "g" 3; "e" "a" "h" "u" 2;
"a" "e" "g" "o" 3; "b" "e" 4; "c" "u" "w" 3; "d" "g" 3; "e" "a" "h" "u" 2;
"a" "e" "g" "o" 3; "b" "e" 4; "c" "u" "w" 3; "d" "g" 3; "e" "a" "h" "u" 2;
"a" "e" "g" "o" 3; "b" "e" 4; "c" "u" "w" 3; "d" "g" 3; "e" "a" "h" "u" 2;
"a" "e" "g" "o" 3; "b" "e" 4; "c" "u" "w" 3; "d" "g" 3; "e" "a" "h" "u" 2;
"a" "e" "g" "o" 3; "b" "e" 4; "c" "u" "w" 3; "d" "g" 3; "e" "a" "h" "u" 2;
"a" "e" "g" "o" 3; "b" "e" 4; "c" "u" "w" 3; "d" "g" 3; "e" "a" "h" "u" 2;
"a" "e" "g" "o" 3; "b" "e" 4; "c" "u" "w" 3; "d" "g" 3; "e" "a" "h" "u" "x" 2;
"a" "e" "g" "o" 3; "b" "e" 4; "c" "u" "w" 3; "d" "g" 4; "e" "h" 3;
"a" "e" "g" "o" 3; "b" "e" 4; "c" "u" "w" 3; "d" "g" 4; "e" "h" 3;
"a" "e" "g" "o" 3; "b" "e" 4; "c" "u" "w" 3; "d" "g" 4; "e" "h" 3;
"a" "e" "g" "o" 3; "b" "e" 4; "c" "u" "w" 3; "d" "g" 4; "e" "h" 3;
"a" "e" "g" "o" 3; "b" "e" 4; "c" "u" "w" 3; "d" "g" 4; "e" "h" 3;
"a" "e" "g" "o" 3; "b" "e" 4; "c" "u" "w" 3; "d" "g" 4; "e" "h" 3;
"a" "e" "g" "o" 3; "b" "e" 4; "c" "u" "w" 3; "d" "g" 4; "e" "h" 3;
"a" "e" "g" "o" 3; "b" "e" 4; "c" "u" "w" 3; "d" "g" 4; "e" "h" 3;
"a" "e" "g" "o" 3; "b" "e" 4; "c" "u" "w" 3; "d" "g" 4; "e" "h" 3;
"a" "e" "g" "o" 3; "b" "e" 4; "c" "u" "w" 3; "d" "g" 4; "e" "h" 3;
"a" "e" "g" "o" 3; "b" "e" 4; "c" "b" "u" "w" 3; "d" "g" 4; "e" "h" 3;
"a" "e" "g" "o" 3; "b" "e" 4; "c" "b" "o" "u" "w" 3; "d" "g" 4; "e" "h" 3;
"a" "e" "g" "o" 3; "b" "e" 4; "c" "b" "o" "u" "w" 3; "d" "g" 4; "e" "h" 3;
"a" "e" "g" "o" "t" 3; "b" "e" 4; "c" "b" "o" "u" "w" 3; "d" "g" 4; "e" "h" 3;
"a" "e" "g" "o" "t" 3; "b" "e" 4; "c" "b" "o" "u" "w" 3; "d" "g" 4; "e" "h" 3;
"a" "e" "g" "o" "t" 3; "b" "e" 4; "c" "b" "o" "u" "w" 3; "d" "g" 4; "e" "h" 3;
"a" "e" "g" "o" "t" 3; "b" "e" 4; "c" "b" "o" "u" "w" 3; "d" "g" 4; "e" "h" 3;
"a" "e" "g" "o" "t" 3; "b" "e" 4; "c" "b" "o" "u" "w" 3; "d" "g" 4; "e" "h" 3;
"a" "e" "g" "o" "t" 3; "b" "e" 4; "c" "b" "o" "u" "w" 3; "d" "g" 4; "e" "h" 3;
"a" "e" "g" "o" "t" 3; "b" "e" 4; "c" "b" "o" "u" "w" 3; "d" "g" 4; "e" "h" 3;
"a" "e" "g" "o" "t" 3; "b" "e" 4; "c" "b" "o" "u" "w" 3; "d" "g" 4; "e" "h" 3;
"a" "e" "g" "o" "t" 3; "b" "e" 4; "c" "b" "o" "u" "w" 3; "d" "g" 4; "e" "h" 3;
"a" "g" 4; "b" "e" 4; "c" "b" "o" "u" "w" 3; "d" "g" 4; "e" "h" 3;
"a" "g" 4; "b" "e" 4; "c" "b" "o" "u" "w" 3; "d" "g" 4; "e" "h" 3;
"a" "g" 4; "b" "e" 4; "c" "b" "o" "u" "w" 3; "d" "g" 4; "e" "h" 3;
"a" "g" 4; "b" "e" "n" 4; "c" "b" "o" "u" "w" 3; "d" "g" 4; "e" "h" 3;
"a" "g" 4; "b" "e" "n" 4; "c" "b" "o" "u" "w" 3; "d" "g" 4; "e" "h" 3;
"a" "g" 4; "b" "e" "n" 4; "c" "b" "o" "u" "w" 3; "d" "g" 4; "e" "h" 3;
"a" "g" 4; "b" "e" "n" 4; "c" "b" "o" "u" "w" 3; "d" "g" 4; "e" "h" 3;
"a" "g" 4; "b" "e" "n" 4; "c" "b" "o" "u" "w" 3; "d" "g" 4; "e" "h" 3;
