none
none
none
none
none
none
none
none
none
none
none
none
"e" "n" 1;
"b" "l" 1; "e" "n" 1;
"b" "l" 1; "e" "n" 1;
"b" "l" 1; "e" "n" 1;
"b" "l" 1; "d" "q" 1; "e" "n" 1;
"b" "l" 1; "d" "q" 1; "e" "n" 1;
"b" "l" 1; "d" "q" 1; "e" "n" 1;
"b" "l" 1; "d" "q" 1; "e" "n" 1;
"b" "l" "s" 1; "d" "q" 1; "e" "n" 1;
"b" "l" "s" 1; "d" "q" 1; "e" "n" 1;
"b" "l" "s" 1; "d" "q" 1; "e" "n" 1;
"b" "l" "s" 1; "d" "q" 1; "e" "n" 1;
"b" "l" "s" 1; "d" "h" "q" 1; "e" "n" 1;
"b" "l" "s" 1; "d" "h" "q" 1; "e" "n" 1;
"b" "l" "s" 1; "d" "h" "q" 1; "e" "n" 1;
"b" "l" "s" 1; "c" "p" 1; "d" "h" "q" 1; "e" "n" 1;
"b" "l" "s" "y" 1; "c" "p" 1; "d" "h" "q" 1; "e" "n" 1;
"b" "l" "s" "y" 1; "c" "p" 1; "d" "h" "q" 1; "e" "n" 1;
"b" "l" "s" "y" 1; "c" "p" 1; "d" "h" "q" 1; "e" "n" 1;
"b" "l" "s" "y" 1; "c" "p" 1; "d" "h" "q" 1; "e" "n" 1;
"b" "l" "s" "y" 1; "c" "p" 1; "d" "h" "q" 1; "e" "n" 1;
"b" "l" "s" "y" 1; "c" "p" 1; "d" "h" "q" 1; "e" "n" 1;
"b" "l" "s" "y" "z" 1; "c" "p" 1; "d" "h" "q" 1; "e" "n" 1;
"b" "l" 2; "c" "p" 1; "d" "h" "q" 1; "e" "n" 1;
"b" "l" 2; "c" "p" 1; "d" "h" "q" 1; "e" "n" 1;
"b" "l" 2; "c" "p" 1; "d" "h" "q" 1; "e" "n" 1;
"a" "c" 2; "b" "a" "l" "n" 2; "c" "p" 2; "d" "h" "n" "p" "q" "s" "w" "x" "z" 1; "e" "e" "h" "k" "n" "t" "v" 1;
"a" "c" 2; "b" "a" "l" "n" 2; "c" "p" 2; "d" "h" "n" "p" "q" "s" "w" "x" "z" 1; "e" "e" "h" "k" "n" "t" "v" 1;
"a" "c" 2; "b" "a" "l" "n" 2; "c" "p" 2; "d" "h" "n" "p" "q" "s" "w" "x" "z" 1; "e" "e" "h" "k" "n" "t" "v" 1;
"a" "c" 2; "b" "a" "l" "n" 2; "c" "p" 2; "d" "a" "h" "n" "p" "q" "s" "w" "x" "z" 1; "e" "e" "h" "k" "n" "t" "v" "x" 1;
"a" "c" 2; "b" "a" "l" "n" 2; "c" "p" 2; "d" "a" "h" "n" "p" "q" "s" "w" "x" "z" 1; "e" "e" "h" "k" "n" "t" "v" "x" "z" 1;
"a" "c" 2; "b" "a" "l" "n" 2; "c" "p" 2; "d" "a" "h" "n" "p" "q" "s" "w" "x" "z" 1; "e" "e" "h" "k" "n" "t" "v" "x" "z" 1;
"a" "c" 2; "b" "a" "l" "n" 2; "c" "p" 2; "d" "a" "h" "n" "p" "q" "s" "w" "x" "z" 1; "e" "e" "h" "k" "n" "t" "v" "x" "z" 1;
"a" "c" 2; "b" "a" "l" "n" "z" 2; "c" "p" 2; "d" "a" "h" "n" "p" "q" "s" "w" "x" "z" 1; "e" "e" "h" "k" "n" "t" "v" "x" "z" 1;
"a" "c" 2; "b" "a" "l" "n" "z" 2; "c" "p" 2; "d" "a" "h" "n" "p" "q" "s" "w" "x" "z" 1; "e" "e" "g" "h" "k" "n" "t" "v" "w" "x" "z" 1;
"a" "c" 2; "b" "a" "l" "n" "z" 2; "c" "p" 2; "d" "a" "h" "n" "p" "q" "s" "w" "x" "z" 1; "e" "e" "g" "h" "k" "n" "t" "v" "w" "x" "z" 1;
"a" "c" 2; "b" "a" "l" "n" "z" 2; "c" "p" 2; "d" "a" "h" "n" "p" "q" "s" "w" "x" "z" 1; "e" "e" "g" "h" "k" "n" "t" "v" "w" "x" "z" 1;
"a" "c" 2; "b" "a" "l" "n" "z" 2; "c" "p" 2; "d" "a" "h" "n" "p" "q" "s" "w" "x" "z" 1; "e" "e" "g" "h" "k" "n" "t" "v" "w" "x" "z" 1;
"a" "c" 2; "b" "a" "l" "n" "z" 2; "c" "p" 2; "d" "a" "h" "n" "p" "q" "s" "w" "x" "z" 1; "e" "e" "g" "h" "k" "n" "t" "v" "w" "x" "z" 1;
"a" "c" 2; "b" "a" "l" "n" "z" 2; "c" "p" 2; "d" "a" "d" "h" "n" "p" "q" "s" "w" "x" "z" 1; "e" "e" "g" "h" "k" "n" "t" "v" "w" "x" "z" 1;
"a" "c" 2; "b" "a" "l" "n" "z" 2; "c" "p" 2; "d" "a" "d" "h" "n" "p" "q" "s" "w" "x" "z" 1; "e" "e" "g" "h" "k" "n" "t" "v" "w" "x" "z" 1;
"a" "c" 2; "b" "a" "l" "n" "z" 2; "c" "p" 2; "d" "a" "d" "h" "n" "p" "q" "s" "w" "x" "z" 1; "e" "e" "g" "h" "k" "n" "t" "v" "w" "x" "z" 1;
"a" "c" 2; "b" "a" "l" "n" "z" 2; "c" "p" 2; "d" "a" "d" "h" "n" "p" "q" "s" "w" "x" "z" 1; "e" "e" "g" "h" "k" "n" "t" "v" "w" "x" "z" 1;
"a" "c" "x" 2; "b" "a" "l" "n" "z" 2; "c" "p" 2; "d" "a" "d" "h" "n" "p" "q" "s" "w" "x" "z" 1; "e" "e" "g" "h" "k" "n" "t" "v" "w" "x" "z" 1;
"a" "c" "x" 2; "b" "a" "l" "n" "z" 2; "c" "p" 2; "d" "a" "d" "h" "n" "p" "q" "s" "w" "x" "z" 1; "e" "e" "g" "h" "k" "n" "t" "v" "w" "x" "z" 1;
"a" "c" "x" 2; "b" "a" "l" "n" "z" 2; "c" "p" 2; "d" "a" "d" "h" "n" "p" "q" "s" "w" "x" "z" 1; "e" "e" "g" "h" "k" "n" "t" "v" "w" "x" "z" 1;
"a" "c" "x" 2; "b" "a" "l" "n" "z" 2; "c" "p" 2; "d" "a" "d" "h" "n" "p" "q" "s" "w" "x" "z" 1; "e" "e" "g" "h" "k" "n" "t" "v" "w" "x" "z" 1;
"a" "c" "x" 2; "b" "a" "l" "n" "z" 2; "c" "p" "v" 2; "d" "a" "d" "h" "n" "p" "q" "s" "w" "x" "z" 1; "e" "e" "g" "h" "k" "n" "t" "w" "x" "z" 1;
"a" "c" "x" 2; "b" "a" "l" "n" "z" 2; "c" "p" "v" 2; "d" "a" "d" "h" "n" "p" "q" "s" "w" "x" "z" 1; "e" "e" "g" "h" "k" "n" "t" "w" "x" "z" 1;
"a" "c" "x" 2; "b" "a" "l" "n" "z" 2; "c" "p" "v" 2; "d" "a" "d" "h" "n" "p" "q" "s" "w" "x" "z" 1; "e" "e" "g" "h" "k" "n" "t" "w" "x" "z" 1;
"a" "c" "x" 2; "b" "a" "l" "n" "z" 2; "c" "p" "v" 2; "d" "a" "d" "h" "m" "n" "p" "q" "s" "w" "x" "z" 1; "e" "e" "g" "h" "k" "n" "t" "w" "x" "z" 1;
"a" "c" "x" 2; "b" "a" "g" "l" "n" "z" 2; "c" "p" "v" 2; "d" "a" "d" "h" "m" "n" "p" "q" "s" "w" "x" "z" 1; "e" "e" "g" "h" "k" "n" "t" "w" "x" "z" 1;
"a" "c" "x" 2; "b" "g" 3; "c" "p" "v" 2; "d" "a" "d" "h" "m" "n" "p" "q" "s" "w" "x" "z" 1; "e" "e" "g" "h" "k" "n" "t" "w" "x" "z" 1;
"a" "c" "x" 2; "b" "g" 3; "c" "p" "v" 2; "d" "a" "c" "d" "h" "m" "n" "p" "q" "s" "w" "x" "z" 1; "e" "a" "e" "g" "h" "k" "n" "t" "w" "x" "z" 1;
"a" "c" "x" 2; "b" "g" 3; "c" "p" "v" 2; "d" "a" "c" "d" "h" "m" "n" "p" "q" "s" "w" "x" "z" 1; "e" "a" "e" "g" "h" "k" "n" "t" "w" "x" "z" 1;
"a" "c" "x" 2; "b" "g" 3; "c" "p" "v" 2; "d" "a" "c" "d" "h" "m" "n" "p" "q" "s" "w" "x" "z" 1; "e" "a" "e" "g" "h" "k" "n" "t" "w" "x" "z" 1;
"a" "c" "x" 2; "b" "g" 3; "c" "p" "v" 2; "d" "a" "c" "d" "h" "m" "n" "p" "q" "s" "w" "x" "z" 1; "e" "a" "e" "g" "h" "k" "n" "t" "w" "x" "z" 1;
"a" "c" "x" 2; "b" "g" 3; "c" "p" "v" 2; "d" "a" "c" "d" "h" "m" "n" "p" "q" "s" "w" "x" "z" 1; "e" "a" "e" "g" "h" "k" "n" "t" "w" "x" "z" 1;
"a" "c" "x" 2; "b" "g" 3; "c" "p" "v" 2; "d" "a" "c" "d" "h" "m" "n" "p" "q" "s" "w" "x" "z" 1; "e" "a" "e" "g" "h" "k" "n" "t" "w" "x" "z" 1;
"a" "c" 3; "b" "g" 3; "c" "p" "v" 2; "d" "a" "c" "d" "h" "m" "n" "p" "q" "s" "w" "x" "z" 1; "e" "a" "e" "g" "h" "k" "n" "t" "u" "w" "x" "z" 1;
"a" "c" 3; "b" "g" 3; "c" "p" "v" 2; "d" "q" 2; "e" "a" "e" "g" "h" "k" "n" "t" "u" "w" "x" "z" 1;
"a" "c" 3; "b" "g" 3; "c" "p" "v" 2; "d" "q" 2; "e" "a" "e" "g" "h" "k" "n" "t" "u" "w" "x" "z" 1;
"a" "c" 3; "b" "g" 3; "c" "p" "v" 2; "d" "q" 2; "e" "a" "e" "g" "h" "k" "n" "t" "u" "w" "x" "z" 1;
"a" "c" 4; "b" "g" 3; "c" "p" "v" 2; "d" "q" 2; "e" "a" "e" "g" "h" "k" "n" "t" "u" "w" "x" "z" 1;
"a" "c" 4; "b" "g" 3; "c" "p" "v" 2; "d" "q" 2; "e" "a" "e" "g" "h" "k" "n" "t" "u" "w" "x" "z" 1;
"a" "c" 4; "b" "g" 3; "c" "p" "v" 2; "d" "q" 2; "e" "a" "e" "g" "h" "k" "n" "t" "u" "w" "x" "z" 1;
"a" "c" 4; "b" "g" 3; "c" "p" "v" 2; "d" "q" "w" 2; "e" "a" "e" "g" "h" "k" "n" "t" "u" "w" "x" "z" 1;
"a" "c" 4; "b" "g" 3; "c" "p" "u" "v" 2; "d" "q" "w" 2; "e" "u" 2;
"a" "c" 4; "b" "g" 3; "c" "p" "u" "v" 2; "d" "q" "w" 2; "e" "u" 2;
"a" "c" 4; "b" "g" 3; "c" "p" "u" "v" 2; "d" "q" "w" 2; "e" "u" 2;
"a" "c" 4; "b" "g" 3; "c" "p" "u" "v" 2; "d" "q" "w" 2; "e" "u" 2;
"a" "c" 4; "b" "g" 3; "c" "p" "u" "v" 2; "d" "q" "w" 2; "e" "u" 2;
"a" "c" 4; "b" "g" 3; "c" "p" "u" "v" 2; "d" "q" "w" 2; "e" "u" 2;
"a" "c" 4; "b" "g" 3; "c" "p" "u" "v" 2; "d" "q" "w" 2; "e" "u" 2;
"a" "c" 4; "b" "g" 3; "c" "p" "u" "v" 2; "d" "q" "w" 2; "e" "u" 2;
"a" "c" 4; "b" "g" 3; "c" "p" "u" "v" 2; "d" "q" "w" 2; "e" "u" 2;
"a" "c" 4; "b" "g" 3; "c" "p" "u" "v" 2; "d" "q" "w" 2; "e" "u" 2;
"a" "c" 4; "b" "g" 3; "c" "p" "u" "v" 2; "d" "q" "w" 2; "e" "u" 2;
"a" "c" 4; "b" "g" 3; "c" "p" "u" "v" 2; "d" "q" "w" 2; "e" "u" 2;
"a" "c" 4; "b" "g" 3; "c" "p" "u" "v" 2; "d" "q" "w" 2; "e" "u" 2;
"a" "c" 4; "b" "g" 3; "c" "p" "u" "v" 2; "d" "q" "w" 2; "e" "u" 2;
"a" "c" 4; "b" "g" 3; "c" "p" "u" "v" 2; "d" "q" "w" 2; "e" "u" 2;
"a" "c" 4; "b" "g" 3; "c" "p" "u" "v" 2; "d" "q" "w" 2; "e" "u" 2;
"a" "c" 4; "b" "g" 3; "c" "p" "u" "v" 2; "d" "q" "w" 2; "e" "u" 2;
"a" "c" 4; "b" "g" 3; "c" "p" "u" "v" 2; "d" "q" "w" 2; "e" "u" 2;
"a" "c" 4; "b" "g" 3; "c" "p" "u" "v" 2; "d" "q" "w" 2; "e" "u" 2;
"a" "c" 4; "b" "g" 3; "c" "p" "u" "v" 2; "d" "q" "w" 2; "e" "u" 2;
"a" "c" 4; "b" "g" 3; "c" "p" "u" "v" 2; "d" "q" "w" 2; "e" "u" 2;
"a" "c" 4; "b" "g" 3; "c" "p" "u" "v" 2; "d" "q" "w" 2; "e" "u" 2;
"a" "c" 4; "b" "g" 3; "c" "p" "u" "v" 2; "d" "q" "w" 2; "e" "u" 2;
"a" "c" 4; "b" "g" 3; "c" "p" "u" "v" 2; "d" "q" "w" 2; "e" "u" 2;
"a" "c" 4; "b" "g" 3; "c" "p" "u" "v" 2; "d" "q" "w" 2; "e" "u" 2;
"a" "c" 4; "b" "g" 3; "c" "p" "u" "v" 2; "d" "q" "w" 2; "e" "n" "u" 2;
"a" "c" 4; "b" "g" 3; "c" "p" "u" "v" 2; "d" "q" "w" 2; "e" "n" "u" 2;
"a" "c" 4; "b" "g" 3; "c" "p" "u" "v" 2; "d" "q" "w" 2; "e" "n" "u" 2;
"a" "c" 4; "b" "g" 3; "c" "p" "u" "v" 2; "d" "d" "q" "w" 2; "e" "n" "u" 2;
"a" "c" 4; "b" "g" 3; "c" "p" "u" "v" 2; "d" "d" "q" "w" 2; "e" "n" "u" 2;
"a" "c" 4; "b" "g" 3; "c" "v" 3; "d" "d" "q" "w" 2; "e" "n" "u" "z" 2;
"a" "c" 4; "b" "g" 3; "c" "v" 3; "d" "d" "q" "w" 2; "e" "n" "u" "z" 2;
"a" "c" 4; "b" "g" 3; "c" "v" 3; "d" "d" "q" "w" 2; "e" "n" "u" "z" 2;
"a" "c" 4; "b" "g" 3; "c" "v" 3; "d" "d" "q" "w" 2; "e" "n" "u" "z" 2;
"a" "c" 4; "b" "g" 3; "c" "v" 3; "d" "d" "q" "w" 2; "e" "n" "u" "z" 2;
"a" "c" 4; "b" "g" 3; "c" "v" 3; "d" "d" "q" "w" 2; "e" "n" "u" "z" 2;
"a" "c" 4; "b" "g" 3; "c" "v" 3; "d" "d" "q" "w" 2; "e" "n" "u" "z" 2;
"a" "c" 4; "b" "g" 3; "c" "v" 3; "d" "d" "q" "w" 2; "e" "n" "u" "z" 2;
"a" "c" 4; "b" "g" 3; "c" "v" 3; "d" "d" "q" "w" 2; "e" "n" "u" "z" 2;
"a" "c" 4; "b" "g" 3; "c" "v" 3; "d" "d" "q" "w" 2; "e" "n" "u" "z" 2;
"a" "c" 4; "b" "g" 3; "c" "v" 3; "d" "d" "q" "w" 2; "e" "n" "u" "z" 2;
"a" "c" 4; "b" "g" 3; "c" "v" 3; "d" "d" "q" "w" 2; "e" "n" "u" "z" 2;
"a" "c" 4; "b" "g" 3; "c" "v" 3; "d" "d" "q" "w" 2; "e" "n" 3;
"a" "c" 4; "b" "g" 3; "c" "v" 3; "d" "d" "q" "w" 2; "e" "n" 3;
"a" "c" 4; "b" "g" 3; "c" "v" 3; "d" "d" "q" "w" 2; "e" "n" 3;
"a" "c" 4; "b" "g" 3; "c" "v" 3; "d" "q" 3; "e" "n" 3;
"a" "c" 4; "b" "g" 3; "c" "v" 3; "d" "q" 3; "e" "n" 3;
"a" "c" 4; "b" "g" 3; "c" "v" 3; "d" "q" 3; "e" "n" 3;
"a" "c" 4; "b" "g" 3; "c" "v" 3; "d" "q" 3; "e" "n" 3;
"a" "c" 4; "b" "g" 3; "c" "v" 3; "d" "q" 3; "e" "n" 3;
"a" "c" 4; "b" "g" 3; "c" "v" 3; "d" "q" 3; "e" "n" 3;
"a" "c" 4; "b" "g" 3; "c" "v" 3; "d" "q" 3; "e" "n" 3;
"a" "c" 4; "b" "g" 3; "c" "v" 3; "d" "q" 3; "e" "n" 3;
"a" "c" 4; "b" "g" 3; "c" "v" 3; "d" "q" 3; "e" "n" 3;
"a" "c" 4; "b" "g" 3; "c" "v" 3; "d" "q" 3; "e" "n" 3;
"a" "c" 4; "b" "g" 3; "c" "v" 3; "d" "q" 3; "e" "n" 3;
"a" "c" 4; "b" "g" 3; "c" "v" 3; "d" "q" 3; "e" "n" 3;
"a" "c" 4; "b" "g" 3; "c" "v" 3; "d" "q" 3; "e" "n" 3;
"a" "c" 4; "b" "g" "n" 3; "c" "v" 3; "d" "q" 3; "e" "n" 3;
"a" "c" 4; "b" "g" "n" 3; "c" "v" 3; "d" "q" 3; "e" "k" "n" 3;
"a" "c" 4; "b" "g" "n" 3; "c" "v" 3; "d" "q" 3; "e" "k" "n" 3;
"a" "c" 4; "b" "g" "n" 3; "c" "v" 3; "d" "q" 3; "e" "k" "n" 3;
"a" "c" 4; "b" "g" "n" 3; "c" "v" 3; "d" "i" "q" 3; "e" "k" "n" 3;
"a" "c" 4; "b" "g" "n" 3; "c" "v" 3; "d" "i" "q" 3; "e" "k" "n" 3;
"a" "c" 4; "b" "g" "n" 3; "c" "v" 3; "d" "i" "q" 3; "e" "k" "n" 3;
"a" "c" 4; "b" "g" "n" 3; "c" "v" 3; "d" "i" "q" 3; "e" "k" "n" 3;
"a" "c" 4; "b" "g" "n" 3; "c" "v" 3; "d" "i" "q" 3; "e" "k" "n" 3;
"a" "c" 4; "b" "g" "n" 3; "c" "v" 3; "d" "i" "q" 3; "e" "k" "n" 3;
"a" "c" 4; "b" "g" "l" "n" 3; "c" "v" 3; "d" "i" "q" 3; "e" "k" "n" 3;
"a" "c" 4; "b" "g" "l" "n" 3; "c" "v" 3; "d" "i" "q" 3; "e" "k" "n" 3;
"a" "c" 4; "b" "g" "l" "n" 3; "c" "v" 3; "d" "i" "q" 3; "e" "k" "n" 3;
"a" "c" 4; "b" "g" "l" "n" 3; "c" "v" 3; "d" "i" "q" 3; "e" "k" "n" 3;
"a" "c" 4; "b" "g" "l" "n" 3; "c" "v" 3; "d" "i" "q" 3; "e" "k" "n" 3;
"a" "c" 4; "b" "g" "l" "n" 3; "c" "v" 3; "d" "i" "q" 3; "e" "k" "n" 3;
"a" "c" 4; "b" "g" "l" "n" 3; "c" "v" 3; "d" "i" "q" 3; "e" "k" "n" 3;
"a" "c" 4; "b" "g" "l" "n" 3; "c" "v" 3; "d" "i" "q" 3; "e" "k" "n" 3;
"a" "c" 4; "b" "g" "l" "n" 3; "c" "v" 3; "d" "i" "q" 3; "e" "k" "n" 3;
"a" "c" 4; "b" "g" "l" "n" 3; "c" "v" 3; "d" "i" "q" 3; "e" "k" "n" 3;
"a" "c" 4; "b" "g" "l" "n" 3; "c" "v" 3; "d" "i" "q" 3; "e" "k" "n" 3;
"a" "c" 4; "b" "g" "l" "n" 3; "c" "p" "v" 3; "d" "i" "q" 3; "e" "k" "n" 3;
"a" "c" 4; "b" "g" "l" "n" 3; "c" "p" "v" 3; "d" "i" "q" 3; "e" "k" "n" 3;
"a" "c" 4; "b" "g" "l" "n" 3; "c" "p" "v" 3; "d" "i" "q" 3; "e" "k" "n" 3;
"a" "c" "g" 4; "b" "g" "l" "n" 3; "c" "p" "v" 3; "d" "i" "q" 3; "e" "k" "n" 3;
"a" "c" "g" 4; "b" "g" "l" "n" 3; "c" "p" "v" 3; "d" "i" "q" 3; "e" "k" "n" 3;
"a" "c" "g" 4; "b" "g" "l" "n" 3; "c" "p" "v" 3; "d" "i" "q" 3; "e" "k" "n" "w" 3;
"a" "c" "g" 4; "b" "g" "l" "n" 3; "c" "p" "v" 3; "d" "i" "q" 3; "e" "k" "n" "w" 3;
"a" "c" "g" 4; "b" "g" "l" "n" 3; "c" "p" "v" 3; "d" "i" "q" 3; "e" "k" "n" "w" 3;
"a" "c" "g" 4; "b" "g" "l" "n" 3; "c" "p" "v" 3; "d" "i" "q" 3; "e" "k" "n" "w" 3;
"a" "c" "g" 4; "b" "g" "l" "n" 3; "c" "p" "v" 3; "d" "i" "q" 3; "e" "k" "n" "w" 3;
"a" "c" "g" 4; "b" "g" "l" "n" 3; "c" "p" "v" 3; "d" "i" "q" 3; "e" "k" "n" "w" 3;
"a" "c" "g" 4; "b" "g" "l" "n" 3; "c" "p" "v" 3; "d" "i" "q" 3; "e" "k" "n" "w" 3;
"a" "c" "g" 4; "b" "g" "l" "n" "z" 3; "c" "p" "v" 3; "d" "i" "q" 3; "e" "k" "n" "w" 3;
"a" "c" "g" 4; "b" "g" "l" "n" "z" 3; "c" "p" "v" 3; "d" "i" "q" 3; "e" "k" "n" "w" 3;
"a" "c" "g" 4; "b" "g" "l" "n" "z" 3; "c" "p" "v" 3; "d" "i" "q" 3; "e" "k" "n" "w" 3;
"a" "c" "g" 4; "b" "g" "l" "n" "z" 3; "c" "p" "v" 3; "d" "i" "q" 3; "e" "k" "n" "w" 3;
"a" "c" "g" 4; "b" "g" "l" "n" "z" 3; "c" "p" "v" 3; "d" "i" "q" 3; "e" "k" "n" "w" 3;
"a" "c" "g" 4; "b" "g" "l" "n" "z" 3; "c" "p" "v" 3; "d" "i" "q" 3; "e" "k" "n" "w" 3;
"a" "c" "g" 4; "b" "g" "l" "n" "z" 3; "c" "p" "v" 3; "d" "i" "q" 3; "e" "k" "n" "w" 3;
"a" "c" "g" 4; "b" "g" "l" "n" "z" 3; "c" "p" "v" 3; "d" "i" "q" 3; "e" "k" "n" "w" 3;
"a" "c" "g" 4; "b" "g" "l" "n" "z" 3; "c" "p" "v" 3; "d" "i" "q" 3; "e" "k" "n" "w" 3;
"a" "c" "g" 4; "b" "g" "l" "n" "z" 3; "c" "p" "v" 3; "d" "i" "q" 3; "e" "k" "n" "w" 3;
