none
none
none
none
none
none
none
none
none
"e" "n" 1;
"e" "n" 1;
"e" "n" 1;
"e" "n" 1;
"e" "n" 1;
"e" "n" 1;
"e" "n" 1;
"e" "n" 1;
"e" "n" 1;
"e" "n" 1;
"a" "g" 1; "b" "p" 1; "e" "n" 1;
"a" "g" 1; "b" "p" 1; "e" "a" "g" "i" "n" 1;
"a" "g" 1; "b" "p" 1; "d" "y" 1; "e" "a" "g" "i" "n" 1;
"a" "g" 1; "b" "p" 1; "d" "y" 1; "e" "a" "g" "i" "n" 1;
"a" "g" 1; "b" "d" "i" "p" "x" "z" 1; "c" "c" "t" "w" 1; "d" "a" "p" "y" 1; "e" "a" "g" "i" "n" 1;
"a" "g" 1; "b" "d" "i" "p" "x" "z" 1; "c" "c" "g" "t" "w" 1; "d" "a" "p" "y" 1; "e" "a" "g" "i" "n" 1;
"a" "g" 1; "b" "x" 2; "c" "c" "g" "t" "w" 1; "d" "a" "p" "y" 1; "e" "a" "g" "i" "n" 1;
"a" "g" 1; "b" "x" 2; "c" "c" "g" "t" "w" 1; "d" "a" "p" "y" 1; "e" "a" "g" "i" "n" 1;
"a" "g" 1; "b" "x" 2; "c" "c" "g" "i" "t" "w" 1; "d" "a" "p" "y" 1; "e" "a" "g" "i" "n" 1;
"a" "g" 1; "b" "x" 2; "c" "c" "e" "g" "i" "t" "w" 1; "d" "a" "p" "y" 1; "e" "a" "g" "i" "n" 1;
"a" "g" 1; "b" "x" 2; "c" "c" "e" "g" "i" "t" "w" 1; "d" "a" "p" "y" 1; "e" "a" "g" "i" "n" 1;
"a" "g" 1; "b" "x" 2; "c" "c" "e" "g" "i" "t" "w" 1; "d" "a" "p" "y" 1; "e" "a" "g" "i" "n" 1;
"a" "g" 1; "b" "x" 2; "c" "c" "e" "g" "i" "t" "w" 1; "d" "a" "p" "y" 1; "e" "a" "g" "i" "n" 1;
"a" "g" 1; "b" "x" 2; "c" "c" "e" "g" "i" "t" "w" 1; "d" "a" "p" "y" 1; "e" "a" "g" "i" "n" 1;
"a" "g" 1; "b" "x" 2; "c" "c" "e" "g" "i" "t" "w" 1; "d" "a" "p" "y" 1; "e" "a" "g" "i" "n" 1;
"a" "g" 1; "b" "x" 2; "c" "c" "e" "g" "i" "t" "w" 1; "d" "a" "p" "y" 1; "e" "a" "g" "i" "n" 1;
"a" "g" 1; "b" "x" 2; "c" "c" "e" "g" "i" "t" "w" 1; "d" "a" "p" "y" 1; "e" "a" "g" "i" "n" 1;
"a" "g" 1; "b" "x" 2; "c" "c" "e" "g" "i" "t" "w" 1; "d" "a" "p" "y" 1; "e" "a" "g" "i" "n" 1;
"a" "g" 1; "b" "x" 2; "c" "c" "e" "g" "i" "t" "w" 1; "d" "a" "p" "y" 1; "e" "a" "g" "i" "n" 1;
"a" "g" 1; "b" "x" 2; "c" "c" "e" "g" "i" "t" "w" 1; "d" "a" "b" "i" "p" "y" 1; "e" "a" "g" "i" "n" "u" 1;
"a" "g" 1; "b" "x" 2; "c" "c" "e" "g" "i" "t" "w" 1; "d" "a" "b" "i" "p" "y" 1; "e" "a" "g" "i" "n" "u" 1;
"a" "g" 1; "b" "x" 2; "c" "c" "e" "g" "i" "t" "w" 1; "d" "a" "b" "i" "p" "y" 1; "e" "a" "g" "i" "n" "u" 1;
"a" "g" 1; "b" "x" 2; "c" "c" "e" "g" "i" "t" "w" 1; "d" "a" "b" "i" "p" "y" 1; "e" "a" "g" "i" "n" "u" 1;
"a" "g" 1; "b" "x" 2; "c" "c" "e" "g" "i" "t" "w" 1; "d" "a" "b" "i" "p" "y" 1; "e" "a" "g" "i" "n" "u" 1;
"a" "g" 1; "b" "x" 2; "c" "c" "e" "g" "i" "t" "w" 1; "d" "a" "b" "i" "p" "y" 1; "e" "a" "g" "i" "n" "u" 1;
"a" "g" 1; "b" "x" 2; "c" "c" "e" "g" "i" "t" "w" "y" 1; "d" "a" "b" "c" "i" "p" "y" 1; "e" "a" "g" "i" "n" "u" 1;
"a" "g" 1; "b" "x" 2; "c" "c" "e" "g" "i" "t" "w" "y" 1; "d" "a" "b" "c" "i" "p" "y" 1; "e" "a" "g" "i" "n" "u" 1;
"a" "g" "t" 1; "b" "x" 2; "c" "c" "e" "g" "i" "t" "w" "y" 1; "d" "a" "b" "c" "i" "p" "y" 1; "e" "a" 2;
"a" "g" "t" 1; "b" "x" 2; "c" "c" "e" "g" "i" "t" "w" "y" 1; "d" "a" "b" "c" "i" "p" "y" 1; "e" "a" 2;
"a" "g" "t" 1; "b" "x" 2; "c" "c" "e" "g" "i" "t" "w" "y" 1; "d" "a" "b" "c" "i" "p" "y" 1; "e" "a" 2;
"a" "g" "t" 1; "b" "x" 2; "c" "c" "e" "g" "i" "t" "w" "y" 1; "d" "a" "b" "c" "i" "p" "y" 1; "e" "a" 2;
"a" "g" "t" 1; "b" "x" 2; "c" "c" "e" "g" "i" "t" "w" "y" 1; "d" "a" "b" "c" "i" "p" "y" 1; "e" "a" 2;
"a" "g" "t" 1; "b" "x" 2; "c" "c" "e" "g" "i" "t" "w" "y" 1; "d" "a" "b" "c" "i" "p" "y" 1; "e" "a" 2;
"a" "g" "t" 1; "b" "x" 2; "c" "c" "e" "g" "i" "t" "w" "y" 1; "d" "a" "b" "c" "i" "p" "w" "y" 1; "e" "a" 2;
"a" "g" "t" 1; "b" "x" 2; "c" "c" "e" "g" "i" "t" "w" "y" 1; "d" "a" "b" "c" "i" "p" "w" "y" 1; "e" "a" 2;
"a" "g" "t" 1; "b" "x" 2; "c" "c" "e" "g" "i" "t" "u" "w" "y" 1; "d" "a" "b" "c" "i" "p" "w" "y" 1; "e" "a" 2;
"a" "g" "t" 1; "b" "x" 2; "c" "c" "e" "g" "i" "t" "u" "w" "y" 1; "d" "a" "b" "c" "i" "p" "w" "y" 1; "e" "a" 2;
"a" "g" "t" 1; "b" "x" 2; "c" "c" "e" "g" "i" "t" "u" "w" "y" 1; "d" "a" "b" "c" "e" "h" "i" "p" "w" "y" 1; "e" "a" 2;
"a" "g" "t" 1; "b" "x" 3; "c" "c" "e" "g" "i" "t" "u" "w" "y" 1; "d" "a" "b" "c" "e" "h" "i" "p" "w" "y" 1; "e" "a" 2;
"a" "g" "t" 1; "b" "x" 3; "c" "i" 2; "d" "a" "b" "c" "e" "h" "i" "p" "w" "y" 1; "e" "a" 2;
"a" "g" "t" 1; "b" "x" 3; "c" "i" 2; "d" "a" "b" "c" "e" "h" "i" "p" "w" "y" 1; "e" "a" 2;
"a" "g" "t" 1; "b" "x" 3; "c" "i" 2; "d" "a" "b" "c" "e" "h" "i" "p" "w" "y" 1; "e" "a" 2;
"a" "g" "t" 1; "b" "x" 3; "c" "i" 2; "d" "a" "b" "c" "e" "h" "i" "p" "w" "y" 1; "e" "a" 2;
"a" "g" "t" 1; "b" "x" 3; "c" "i" 2; "d" "a" "b" "c" "e" "h" "i" "p" "w" "y" 1; "e" "a" 2;
"a" "g" "t" 1; "b" "x" 3; "c" "i" 2; "d" "a" "b" "c" "e" "h" "i" "p" "w" "y" 1; "e" "a" 2;
"a" "g" "r" "t" 1; "b" "x" 3; "c" "i" 2; "d" "a" "b" "c" "e" "h" "i" "p" "s" "w" "y" 1; "e" "a" 2;
"a" "g" "r" "t" 1; "b" "x" 3; "c" "i" 2; "d" "a" "b" "c" "e" "h" "i" "p" "s" "w" "y" 1; "e" "a" 2;
"a" "g" "r" "t" 1; "b" "x" 3; "c" "i" 2; "d" "a" "b" "c" "e" "h" "i" "p" "s" "w" "y" 1; "e" "a" 2;
"a" "g" "r" "t" 1; "b" "x" 3; "c" "i" 2; "d" "a" "b" "c" "e" "h" "i" "p" "s" "w" "y" 1; "e" "a" 2;
"a" "g" "r" "t" 1; "b" "x" 3; "c" "i" 2; "d" "a" "b" "c" "e" "h" "i" "p" "s" "w" "y" 1; "e" "a" 2;
"a" "g" "o" "r" "t" 1; "b" "x" 3; "c" "g" "i" 2; "d" "a" "b" "c" "e" "h" "i" "p" "s" "w" "y" 1; "e" "a" 2;
"a" "g" "o" "r" "t" 1; "b" "x" 3; "c" "g" "i" 2; "d" "a" "b" "c" "e" "h" "i" "p" "s" "w" "y" 1; "e" "a" 2;
"a" "g" "o" "r" "t" 1; "b" "x" 3; "c" "g" "i" 2; "d" "a" "b" "c" "e" "h" "i" "p" "s" "w" "y" 1; "e" "a" 2;
"a" "g" "o" "r" "t" 1; "b" "x" 3; "c" "g" "i" 2; "d" "a" "b" "c" "d" "e" "h" "i" "p" "s" "t" "w" "y" 1; "e" "a" 2;
"a" "g" "o" "r" "t" 1; "b" "x" 3; "c" "g" "i" 2; "d" "a" 2; "e" "a" 2;
"a" "g" "o" "r" "t" 1; "b" "x" 3; "c" "g" "i" 2; "d" "a" 2; "e" "a" 2;
"a" "g" "o" "r" "t" 1; "b" "x" 3; "c" "g" "i" 2; "d" "a" 2; "e" "a" 2;
"a" "g" "o" "r" "t" 1; "b" "x" 3; "c" "g" "i" 2; "d" "a" 2; "e" "a" 2;
"a" "g" "o" "r" "t" 1; "b" "x" 3; "c" "g" "i" 2; "d" "a" 2; "e" "a" 2;
"a" "g" "o" "r" "t" 1; "b" "x" 4; "c" "g" "i" 2; "d" "a" 2; "e" "a" 2;
"a" "g" "o" "r" "t" 1; "b" "x" 4; "c" "g" "i" 2; "d" "a" 2; "e" "a" 2;
"a" "g" "o" "r" "t" 1; "b" "x" 4; "c" "g" "i" 2; "d" "a" 2; "e" "a" 2;
"a" "g" "o" "r" "t" 1; "b" "x" 4; "c" "g" "i" 2; "d" "a" 2; "e" "a" 2;
"a" "g" "o" "r" "t" 1; "b" "x" 4; "c" "g" "i" 2; "d" "a" 2; "e" "a" 2;
"a" "g" "o" "r" "t" 1; "b" "x" 4; "c" "g" "i" 2; "d" "a" 2; "e" "a" 2;
"a" "g" "o" "r" "t" 1; "b" "x" 4; "c" "g" "i" 2; "d" "a" 2; "e" "a" 2;
"a" "g" "o" "r" "t" 1; "b" "x" 4; "c" "g" "i" 2; "d" "a" 2; "e" "a" 2;
"a" "g" "o" "r" "t" 1; "b" "x" 4; "c" "g" "i" 2; "d" "a" 2; "e" "a" 2;
"a" "g" "o" "r" "t" 1; "b" "x" 4; "c" "g" "i" 2; "d" "a" 2; "e" "a" 2;
"a" "g" "o" "r" "t" 1; "b" "x" 4; "c" "g" "i" 2; "d" "a" 2; "e" "a" 2;
"a" "g" "o" "r" "t" 1; "b" "x" 4; "c" "g" "i" 2; "d" "a" 2; "e" "a" 2;
"a" "g" "o" "r" "t" 1; "b" "x" 4; "c" "g" "i" "y" 2; "d" "a" 2; "e" "a" 2;
"a" "g" "o" "r" "t" 1; "b" "x" 4; "c" "g" "i" "y" 2; "d" "a" "t" 2; "e" "a" 2;
"a" "g" "j" "o" "r" "t" 1; "b" "x" 4; "c" "g" "i" "y" 2; "d" "a" "t" 2; "e" "a" 2;
"a" "g" "j" "o" "r" "t" 1; "b" "x" 4; "c" "g" "i" "y" 2; "d" "a" "t" 2; "e" "a" 2;
"a" "g" "j" "o" "r" "t" 1; "b" "x" 4; "c" "g" "i" "y" 2; "d" "a" "t" 2; "e" "a" 2;
"a" "g" "j" "o" "r" "t" 1; "b" "x" 4; "c" "y" 3; "d" "a" "t" 2; "e" "a" 2;
"a" "g" "j" "o" "r" "t" 1; "b" "x" 4; "c" "y" 3; "d" "a" "t" 2; "e" "a" 2;
"a" "g" "j" "o" "r" "t" 1; "b" "x" 4; "c" "y" 3; "d" "a" "t" 2; "e" "a" 2;
"a" "g" "j" "o" "r" "t" "u" 1; "b" "x" 4; "c" "y" 3; "d" "a" "t" 2; "e" "a" 2;
"a" "g" "j" "o" "r" "t" "u" 1; "b" "x" 4; "c" "y" 3; "d" "a" "t" 2; "e" "a" 2;
"a" "r" 2; "b" "x" 4; "c" "y" 3; "d" "a" "i" "t" 2; "e" "a" 2;
"a" "r" 2; "b" "x" 4; "c" "y" 3; "d" "a" "i" "t" 2; "e" "a" 2;
"a" "r" 2; "b" "x" 4; "c" "y" 3; "d" "a" "i" "t" 2; "e" "a" 2;
"a" "r" 2; "b" "x" 4; "c" "y" 3; "d" "a" "i" "t" 2; "e" "a" 2;
"a" "r" 2; "b" "x" 4; "c" "y" 3; "d" "a" "i" "t" 2; "e" "a" 2;
"a" "r" 2; "b" "x" 4; "c" "y" 3; "d" "a" "c" "i" "t" 2; "e" "a" 2;
"a" "r" 2; "b" "x" 4; "c" "y" 3; "d" "a" "c" "i" "t" 2; "e" "a" 2;
"a" "r" 2; "b" "x" 4; "c" "y" 3; "d" "a" "c" "i" "t" 2; "e" "a" 2;
"a" "r" 2; "b" "x" 4; "c" "y" 3; "d" "a" "c" "i" "t" 2; "e" "a" 2;
"a" "r" 2; "b" "x" 4; "c" "y" 3; "d" "a" "c" "i" "t" 2; "e" "a" 2;
"a" "r" 2; "b" "x" 4; "c" "y" 3; "d" "a" "c" "i" "t" 2; "e" "a" 2;
"a" "r" 2; "b" "x" 4; "c" "y" 3; "d" "a" "c" "i" "t" 2; "e" "a" 2;
"a" "r" 2; "b" "x" 4; "c" "y" 3; "d" "a" "c" "i" "t" 2; "e" "a" 2;
"a" "r" 2; "b" "x" 4; "c" "y" 3; "d" "a" "c" "i" "t" 2; "e" "a" 2;
"a" "r" 2; "b" "x" 4; "c" "y" 3; "d" "a" "c" "i" "t" 2; "e" "a" 2;
"a" "r" 2; "b" "x" 4; "c" "y" 3; "d" "a" "c" "h" "i" "t" 2; "e" "a" 2;
"a" "r" 2; "b" "x" 4; "c" "y" 3; "d" "a" "c" "h" "i" "t" 2; "e" "a" 2;
"a" "r" 2; "b" "x" 4; "c" "y" 3; "d" "a" "c" "h" "i" "t" 2; "e" "a" 2;
"a" "r" 2; "b" "x" 4; "c" "y" 3; "d" "a" "c" "h" "i" "t" 2; "e" "a" 2;
"a" "r" 2; "b" "x" 4; "c" "y" 3; "d" "a" "c" "h" "i" "t" 2; "e" "a" 2;
"a" "r" 2; "b" "x" 4; "c" "y" 3; "d" "a" "c" "h" "i" "t" 2; "e" "a" 2;
"a" "r" 2; "b" "x" 4; "c" "y" 3; "d" "a" "c" "h" "i" "t" 2; "e" "a" 2;
"a" "r" 2; "b" "x" 4; "c" "y" 3; "d" "a" "c" "h" "i" "p" "t" 2; "e" "a" "g" 2;
"a" "r" 2; "b" "x" 4; "c" "y" 3; "d" "a" "c" "h" "i" "p" "t" 2; "e" "a" "g" 2;
"a" "r" 2; "b" "x" 4; "c" "y" 3; "d" "a" "c" "h" "i" "p" "t" 2; "e" "a" "g" 2;
"a" "r" 2; "b" "x" 4; "c" "y" 3; "d" "a" "c" "h" "i" "p" "t" 2; "e" "a" "g" 2;
"a" "r" 2; "b" "x" 4; "c" "y" 3; "d" "a" "c" "h" "i" "p" "t" 2; "e" "a" "g" 2;
"a" "r" 2; "b" "x" 4; "c" "y" 3; "d" "a" "c" "h" "i" "p" "t" 2; "e" "a" "g" 2;
"a" "r" 2; "b" "x" 4; "c" "y" 3; "d" "a" "c" "h" "i" "p" "t" 2; "e" "a" "g" 2;
"a" "r" 2; "b" "x" 4; "c" "y" 3; "d" "a" "c" "h" "i" "p" "t" 2; "e" "a" "g" 2;
"a" "r" 2; "b" "x" 4; "c" "y" 3; "d" "a" "c" "h" "i" "p" "t" 2; "e" "a" "g" 2;
"a" "r" 2; "b" "x" 4; "c" "y" 3; "d" "a" "c" "h" "i" "p" "t" 2; "e" "a" "g" 2;
"a" "r" 2; "b" "x" 4; "c" "y" 3; "d" "a" "c" "h" "i" "p" "t" 2; "e" "a" "g" "r" 2;
"a" "r" 2; "b" "x" 4; "c" "g" "y" 3; "d" "a" "c" "h" "i" "p" "t" 2; "e" "a" "g" "i" "r" 2;
"a" "n" "r" 2; "b" "x" 4; "c" "g" 4; "d" "a" "c" "h" "i" "p" "t" 2; "e" "a" "g" "i" "r" 2;
"a" "n" "r" 2; "b" "x" 4; "c" "g" 4; "d" "a" "c" "h" "i" "p" "t" 2; "e" "a" "g" "i" "r" 2;
"a" "n" "r" 2; "b" "x" 4; "c" "g" 4; "d" "a" "c" "h" "i" "p" "t" 2; "e" "a" "g" "i" "r" 2;
"a" "n" "r" 2; "b" "x" 4; "c" "g" 4; "d" "a" "c" "h" "i" "p" "t" 2; "e" "a" "g" "i" "r" 2;
"a" "n" "r" 2; "b" "x" 4; "c" "g" 4; "d" "a" "c" "h" "i" "p" "t" 2; "e" "a" "b" "g" "i" "r" 2;
"a" "n" "r" 2; "b" "x" 4; "c" "g" 4; "d" "a" "c" "h" "i" "p" "t" 2; "e" "a" "b" "g" "i" "r" 2;
"a" "n" "r" 2; "b" "x" 4; "c" "g" 4; "d" "a" "c" "h" "i" "p" "t" 2; "e" "a" "b" "g" "i" "r" "y" 2;
"a" "n" "r" 2; "b" "x" 4; "c" "g" 4; "d" "a" "c" "h" "i" "p" "t" 2; "e" "a" "b" "g" "i" "r" "y" 2;
"a" "n" "r" 2; "b" "x" 4; "c" "g" 4; "d" "a" "c" "h" "i" "p" "t" 2; "e" "a" "b" "g" "i" "r" "y" 2;
"a" "n" "r" 2; "b" "x" 4; "c" "g" 4; "d" "a" "c" "h" "i" "p" "t" 2; "e" "y" 3;
"a" "n" "r" 2; "b" "x" 4; "c" "g" 4; "d" "p" 3; "e" "y" 3;
"a" "n" "o" "r" 2; "b" "x" 5; "c" "g" 4; "d" "p" 3; "e" "y" 3;
"a" "n" "o" "r" 2; "b" "x" 5; "c" "g" 4; "d" "p" 3; "e" "y" 3;
"a" "n" "o" "r" 2; "b" "x" 5; "c" "g" 4; "d" "p" 3; "e" "y" 3;
"a" "n" "o" "r" 2; "b" "x" 5; "c" "g" 4; "d" "p" 3; "e" "y" 3;
"a" "n" "o" "r" 2; "b" "x" 5; "c" "g" 4; "d" "p" 3; "e" "y" 3;
"a" "n" "o" "r" 2; "b" "x" 5; "c" "g" 4; "d" "p" 3; "e" "v" "y" 3;
"a" "n" "o" "r" 2; "b" "x" 5; "c" "g" 4; "d" "p" 3; "e" "v" "y" 3;
"a" "n" "o" "r" 2; "b" "x" 5; "c" "g" 4; "d" "p" 3; "e" "v" "y" 3;
"a" "n" "o" "r" 2; "b" "x" 5; "c" "g" 4; "d" "p" 3; "e" "v" "y" 3;
"a" "n" "o" "r" 2; "b" "x" 5; "c" "g" 4; "d" "p" 3; "e" "v" "y" 3;
"a" "n" "o" "r" 2; "b" "x" 5; "c" "g" 4; "d" "p" 3; "e" "v" "y" 3;
"a" "n" "o" "r" 2; "b" "x" 5; "c" "g" 4; "d" "p" 3; "e" "v" "y" 3;
"a" "n" "o" "r" 2; "b" "x" 5; "c" "g" 4; "d" "p" 3; "e" "v" "y" 3;
"a" "n" "o" "r" 2; "b" "x" 5; "c" "g" 4; "d" "p" 3; "e" "v" "y" 3;
"a" "n" "o" "r" 2; "b" "x" 5; "c" "g" 4; "d" "p" 3; "e" "v" "y" 3;
"a" "n" "o" "r" 2; "b" "x" 5; "c" "g" 4; "d" "p" 3; "e" "v" "y" 3;
"a" "n" "o" "r" 2; "b" "x" 5; "c" "g" 4; "d" "p" 3; "e" "v" "y" 3;
"a" "n" "o" "r" 2; "b" "x" 5; "c" "g" 4; "d" "p" 3; "e" "v" "y" 3;
"a" "n" "o" "r" 2; "b" "x" 5; "c" "g" 4; "d" "p" 3; "e" "v" "y" 3;
"a" "n" "o" "r" 2; "b" "x" 5; "c" "g" 4; "d" "p" 3; "e" "v" "y" 3;
"a" "n" "o" "r" 2; "b" "x" 5; "c" "g" 4; "d" "p" "t" 3; "e" "a" "r" "v" "y" 3;
"a" "n" "o" "r" 2; "b" "x" 5; "c" "c" "g" 4; "d" "p" "t" 3; "e" "a" "r" "v" "y" 3;
"a" "n" "o" "r" 2; "b" "x" 6; "c" "c" "g" 4; "d" "p" "t" 3; "e" "a" "r" "v" "y" 3;
"a" "n" "o" "r" 2; "b" "x" 6; "c" "c" "g" 4; "d" "p" "t" 3; "e" "a" "r" "v" "y" 3;
"a" "n" "o" "r" 2; "b" "x" 6; "c" "c" "g" 4; "d" "p" "t" 3; "e" "a" "r" "v" "y" 3;
"a" "n" "o" "r" 2; "b" "x" 6; "c" "c" "g" 4; "d" "p" "t" 3; "e" "a" "r" "v" "y" 3;
"a" "n" "o" "r" 2; "b" "x" 6; "c" "c" "g" 4; "d" "p" "t" 3; "e" "a" "r" "v" "y" 3;
"a" "n" "o" "r" 2; "b" "x" 6; "c" "c" "g" 4; "d" "p" "t" 3; "e" "a" "r" "v" "y" 3;
"a" "n" "o" "r" 2; "b" "x" 6; "c" "c" "g" 4; "d" "p" "t" 3; "e" "a" "r" "v" "y" 3;
"a" "n" "o" "r" "u" 2; "b" "x" 6; "c" "c" "g" 4; "d" "p" "t" 3; "e" "a" "n" "r" "v" "y" 3;
"a" "n" "o" "r" "u" 2; "b" "x" 6; "c" "c" "g" 4; "d" "p" "t" 3; "e" "a" "n" "r" "v" "y" 3;
"a" "n" "o" "r" "u" 2; "b" "x" 6; "c" "c" "g" 4; "d" "p" "t" 3; "e" "a" "n" "r" "v" "y" 3;
"a" "h" "n" "o" "r" "u" 2; "b" "x" 6; "c" "c" "g" 4; "d" "p" "t" 3; "e" "a" "n" "r" "v" "y" 3;
"a" "h" "n" "o" "r" "u" 2; "b" "x" 6; "c" "c" "g" 4; "d" "p" "t" 3; "e" "a" "n" "r" "v" "y" 3;
"a" "h" "n" "o" "r" "u" 2; "b" "x" 6; "c" "c" "g" 4; "d" "p" "t" 3; "e" "a" "n" "r" "v" "y" 3;
"a" "h" "n" "o" "r" "u" 2; "b" "x" 6; "c" "c" "g" 4; "d" "t" 3; "e" "a" "n" "r" "v" "y" 3;
"a" "h" "n" "o" "r" "u" 2; "b" "x" 6; "c" "c" "g" 4; "d" "t" 3; "e" "a" "n" "r" "v" "y" 3;
"a" "h" "n" "o" "r" "u" 2; "b" "x" 6; "c" "c" "g" 4; "d" "t" 3; "e" "a" "n" "r" "v" "y" 3;
"a" "h" "n" "o" "r" "u" 2; "b" "x" 6; "c" "c" "g" 4; "d" "t" 3; "e" "a" "n" "r" "v" "y" 3;
"a" "h" "n" "o" "r" "u" 2; "b" "x" 6; "c" "c" "g" 4; "d" "t" 3; "e" "a" "n" "r" "v" "y" 3;
"a" "h" "n" "o" "r" "u" 2; "b" "x" 6; "c" "c" "g" 4; "d" "t" 3; "e" "a" "n" "r" "v" "y" 3;
"a" "h" "n" "o" "r" "u" 2; "b" "x" 6; "c" "c" "g" 4; "d" "t" 3; "e" "a" "n" "r" "v" "y" 3;
"a" "h" "n" "o" "r" "u" 2; "b" "x" 6; "c" "c" "g" 4; "d" "t" 3; "e" "a" "n" "r" "v" "y" 3;
"a" "h" "n" "o" "r" "u" 2; "b" "x" 6; "c" "c" "g" 4; "d" "t" 3; "e" "a" "n" "r" "v" "y" 3;
"a" "h" "n" "o" "r" "u" 2; "b" "x" 6; "c" "c" "g" 4; "d" "t" 3; "e" "a" "n" "r" "v" "y" 3;
"a" "h" "n" "o" "r" "u" 2; "b" "x" 6; "c" "c" "g" 4; "d" "t" 3; "e" "a" "n" "r" "v" "y" 3;
"a" "h" "n" "o" "r" "u" 2; "b" "x" 6; "c" "c" "g" 4; "d" "t" 3; "e" "a" "n" "r" "v" "y" 3;
"a" "h" "n" "o" "r" "u" 2; "b" "x" 6; "c" "c" "g" 4; "d" "t" 3; "e" "a" "n" "r" "v" "y" 3;
"a" "h" "n" "o" "r" "u" 2; "b" "x" 6; "c" "c" "g" 4; "d" "t" 3; "e" "a" "n" "r" "v" "y" 3;
"a" "h" "n" "o" "r" "u" 2; "b" "x" 6; "c" "c" "g" 4; "d" "t" 3; "e" "a" "n" "r" "v" "y" 3;
"a" "h" "n" "o" "r" "u" 2; "b" "x" 6; "c" "c" "g" 4; "d" "t" 3; "e" "a" "n" "r" "v" "y" 3;
