none
none
none
none
none
none
none
none
none
none
none
none
none
none
"b" "p" 1;
"a" "c" 1; "b" "p" 1;
"a" "c" 1; "b" "p" 1;
"a" "c" 1; "b" "p" 1;
"a" "c" 1; "b" "p" 1;
"a" "c" 1; "b" "p" 1;
"a" "c" 1; "b" "p" 1; "c" "p" 1; "e" "h" 1;
"a" "c" 1; "b" "p" 1; "c" "p" 1; "e" "h" 1;
"a" "c" "i" "k" 1; "b" "p" "v" 1; "c" "n" "p" "y" 1; "d" "a" "f" 1; "e" "h" "i" "n" 1;
"a" "c" "i" "k" 1; "b" "p" "v" 1; "c" "n" "p" "y" 1; "d" "a" "f" 1; "e" "h" "i" "n" 1;
"a" "c" "i" "k" 1; "b" "p" "v" 1; "c" "n" "p" "y" 1; "d" "a" "f" 1; "e" "h" "i" "n" 1;
"a" "c" "i" "k" 1; "b" "p" "v" 1; "c" "n" "p" "y" 1; "d" "a" "f" 1; "e" "h" "i" "n" 1;
"a" "c" "i" "k" "n" 1; "b" "p" "v" 1; "c" "n" "p" "y" 1; "d" "a" "f" 1; "e" "h" "i" "n" 1;
"a" "c" "i" "k" "n" 1; "b" "p" "v" 1; "c" "n" "p" "y" 1; "d" "a" "f" 1; "e" "h" "i" "n" 1;
"a" "c" "i" "k" "n" 1; "b" "p" "v" 1; "c" "n" "p" "y" 1; "d" "a" "f" 1; "e" "h" "i" "n" 1;
"a" "c" "i" "k" "n" 1; "b" "p" "v" 1; "c" "n" "p" "y" 1; "d" "a" "f" 1; "e" "h" "i" "n" 1;
"a" "c" "i" "k" "n" 1; "b" "p" "v" 1; "c" "n" "p" "y" 1; "d" "a" "f" "y" 1; "e" "h" "i" "n" 1;
"a" "c" "i" "k" "n" "o" 1; "b" "p" "v" 1; "c" "n" "p" "y" 1; "d" "a" "f" "y" 1; "e" "h" "i" "n" 1;
"a" "c" "i" "k" "n" "o" 1; "b" "p" "v" 1; "c" "n" "p" "y" 1; "d" "a" "f" "y" 1; "e" "h" "i" "n" 1;
"a" "c" "i" "k" "n" "o" 1; "b" "p" "v" 1; "c" "n" "p" "y" 1; "d" "a" "f" "y" 1; "e" "h" "i" "n" 1;
"a" "c" "i" "k" "n" "o" "s" 1; "b" "p" "v" 1; "c" "y" 2; "d" "a" "f" "y" 1; "e" "h" "i" "n" 1;
"a" "c" "i" "k" "n" "o" "s" 1; "b" "p" "v" 1; "c" "y" 2; "d" "a" "f" "y" 1; "e" "h" "i" "n" 1;
"a" "c" "i" "k" "n" "o" "s" 1; "b" "p" "v" 1; "c" "y" 2; "d" "a" "f" "y" 1; "e" "h" "i" "n" 1;
"a" "c" "i" "k" "n" "o" "s" 1; "b" "p" "v" 1; "c" "y" 2; "d" "a" "f" "y" 1; "e" "h" "i" "n" 1;
"a" "c" "i" "k" "n" "o" "s" 1; "b" "p" "v" 1; "c" "y" 2; "d" "a" "f" "y" 1; "e" "h" "i" "n" 1;
"a" "c" "i" "k" "n" "o" "s" 1; "b" "p" "v" 1; "c" "y" 2; "d" "a" "f" "y" 1; "e" "h" "i" "n" 1;
"a" "c" "i" "k" "n" "o" "s" 1; "b" "p" "v" 1; "c" "y" 2; "d" "a" "f" "y" 1; "e" "h" "i" "n" 1;
"a" "c" "i" "k" "n" "o" "s" 1; "b" "p" "v" 1; "c" "y" 2; "d" "a" "f" "y" 1; "e" "h" "i" "n" 1;
"a" "c" "i" "k" "n" "o" "s" 1; "b" "p" "v" 1; "c" "y" 2; "d" "a" "f" "y" 1; "e" "h" "i" "n" 1;
"a" "n" 3; "b" "l" "n" "p" "v" 1; "c" "y" 2; "d" "a" "f" "s" "y" 1; "e" "h" "i" "n" "s" 1;
"a" "n" 3; "b" "l" "n" "p" "v" 1; "c" "y" 2; "d" "a" "f" "s" "y" 1; "e" "h" "i" "n" "s" 1;
"a" "n" 3; "b" "l" "n" "p" "v" 1; "c" "y" 2; "d" "a" "f" "s" "y" 1; "e" "h" "i" "n" "p" "s" 1;
"a" "n" 3; "b" "l" "n" "p" "v" 1; "c" "y" 2; "d" "a" "f" "s" "y" 1; "e" "h" "i" "k" "n" "p" "s" 1;
"a" "n" 3; "b" "l" "n" "p" "r" "v" 1; "c" "y" 2; "d" "a" "f" "s" "y" 1; "e" "h" "i" "k" "n" "p" "r" "s" 1;
"a" "n" 3; "b" "l" "n" "p" "r" "v" 1; "c" "y" 2; "d" "a" "c" "f" "s" "y" 1; "e" "h" "i" "k" "n" "p" "r" "s" 1;
"a" "n" 3; "b" "l" "n" "p" "r" "v" 1; "c" "y" 2; "d" "a" "c" "f" "s" "y" 1; "e" "h" "i" "k" "n" "p" "r" "s" 1;
"a" "n" 3; "b" "l" "n" "p" "r" "v" 1; "c" "y" 2; "d" "a" "c" "f" "s" "y" 1; "e" "h" "i" "k" "n" "p" "r" "s" 1;
"a" "n" 3; "b" "f" "l" "n" "p" "r" "v" 1; "c" "y" 2; "d" "a" "c" "f" "s" "u" "y" 1; "e" "a" "h" "i" "k" "n" "p" "r" "s" 1;
"a" "n" 3; "b" "f" "l" "n" "p" "r" "v" 1; "c" "y" 2; "d" "a" "c" "f" "s" "u" "y" 1; "e" "a" "h" "i" "k" "n" "p" "r" "s" 1;
"a" "n" 3; "b" "f" "l" "n" "p" "r" "v" 1; "c" "y" 2; "d" "a" "c" "e" "f" "s" "u" "y" 1; "e" "a" "h" "i" "k" "n" "p" "r" "s" 1;
"a" "n" 3; "b" "f" "l" "n" "p" "r" "v" 1; "c" "y" 2; "d" "a" "c" "e" "f" "s" "u" "y" 1; "e" "a" "h" "i" "k" "n" "p" "r" "s" 1;
"a" "n" 3; "b" "f" "l" "n" "p" "r" "v" 1; "c" "y" 2; "d" "a" "c" "e" "f" "s" "u" "y" 1; "e" "a" "h" "i" "k" "n" "p" "r" "s" 1;
"a" "n" 3; "b" "r" 2; "c" "y" 2; "d" "a" "b" "c" "e" "f" "s" "u" "y" 1; "e" "k" 2;
"a" "n" 3; "b" "f" "r" 2; "c" "y" 2; "d" "c" "s" 2; "e" "k" 2;
"a" "n" 3; "b" "f" "r" 2; "c" "y" 2; "d" "c" "s" 2; "e" "k" 2;
"a" "n" 3; "b" "f" "r" 2; "c" "y" 2; "d" "c" "s" 2; "e" "k" 2;
"a" "n" 3; "b" "f" "r" 2; "c" "y" 2; "d" "c" "s" 2; "e" "k" 2;
"a" "n" 3; "b" "f" "r" 2; "c" "y" 2; "d" "c" "s" 2; "e" "k" 2;
"a" "n" 3; "b" "f" "r" 2; "c" "y" 2; "d" "c" "s" 2; "e" "k" 2;
"a" "n" 3; "b" "f" "r" 2; "c" "y" 2; "d" "c" "s" 2; "e" "k" 2;
"a" "n" 3; "b" "f" "r" 2; "c" "y" 2; "d" "c" "s" 2; "e" "k" 2;
"a" "n" 3; "b" "f" "r" 2; "c" "y" 2; "d" "c" "s" 2; "e" "a" "k" 2;
"a" "n" 3; "b" "f" "r" 2; "c" "y" 2; "d" "c" "s" 2; "e" "a" "k" 2;
"a" "n" 3; "b" "f" "r" 2; "c" "y" 2; "d" "c" "s" 2; "e" "a" "k" 2;
"a" "n" 3; "b" "f" "r" 2; "c" "y" 2; "d" "c" "s" 2; "e" "a" "k" 2;
"a" "n" 3; "b" "f" "r" 2; "c" "y" 2; "d" "c" "s" 2; "e" "a" "k" 2;
"a" "n" 3; "b" "f" "r" 2; "c" "y" 2; "d" "c" "s" 2; "e" "a" "k" 2;
"a" "n" 3; "b" "f" "r" 2; "c" "y" 2; "d" "c" "s" 2; "e" "a" "k" 2;
"a" "n" 3; "b" "f" "r" 2; "c" "y" 2; "d" "c" "s" 2; "e" "a" "k" 2;
"a" "n" 3; "b" "f" "r" 2; "c" "y" 2; "d" "c" "s" 2; "e" "a" "k" 2;
"a" "n" 3; "b" "f" "r" "w" 2; "c" "y" 2; "d" "c" "s" 2; "e" "a" "k" 2;
"a" "n" 3; "b" "f" "r" "w" 2; "c" "y" 2; "d" "c" "s" 2; "e" "a" "k" 2;
"a" "n" 3; "b" "f" "r" "w" 2; "c" "y" 2; "d" "c" "s" 2; "e" "a" "k" 2;
"a" "n" 3; "b" "f" "r" "w" 2; "c" "y" 2; "d" "c" "s" 2; "e" "a" "k" 2;
"a" "n" 3; "b" "f" "r" "w" 2; "c" "y" 2; "d" "c" "s" 2; "e" "a" "k" 2;
"a" "n" 3; "b" "f" "r" "w" 2; "c" "y" 2; "d" "c" 3; "e" "a" "k" 2;
"a" "n" 3; "b" "f" "r" "w" 2; "c" "v" "y" 2; "d" "c" 3; "e" "a" "k" 2;
"a" "n" 3; "b" "f" "r" "w" 2; "c" "v" "y" 2; "d" "c" 3; "e" "a" "k" 2;
"a" "n" 3; "b" "f" "r" "w" 2; "c" "v" "y" 2; "d" "c" 3; "e" "a" "k" 2;
"a" "n" 3; "b" "f" "r" "v" "w" 2; "c" "v" "y" 2; "d" "c" 3; "e" "a" "k" 2;
"a" "n" 3; "b" "f" "r" "v" "w" 2; "c" "v" "y" 2; "d" "c" 3; "e" "a" "k" 2;
"a" "n" 3; "b" "f" "r" "v" "w" 2; "c" "v" "y" 2; "d" "c" 3; "e" "a" "k" 2;
"a" "n" 3; "b" "f" "r" "v" "w" 2; "c" "v" "y" 2; "d" "c" 3; "e" "a" "k" 2;
"a" "n" 3; "b" "f" "p" "r" "v" "w" 2; "c" "v" "y" 2; "d" "c" 3; "e" "a" "k" 2;
"a" "n" 3; "b" "f" "p" "r" "v" "w" 2; "c" "v" "y" 2; "d" "c" 3; "e" "a" "k" 2;
"a" "n" 3; "b" "f" "p" "r" "v" "w" 2; "c" "v" "y" 2; "d" "c" 3; "e" "a" "k" 2;
"a" "n" 3; "b" "f" "p" "r" "v" "w" 2; "c" "v" "y" 2; "d" "c" 3; "e" "a" "k" 2;
"a" "n" 4; "b" "f" "n" "p" "r" "v" "w" 2; "c" "v" "y" 2; "d" "c" 3; "e" "a" "k" 2;
"a" "n" 4; "b" "f" "n" "p" "r" "v" "w" 2; "c" "v" "y" 2; "d" "c" 3; "e" "a" "k" 2;
"a" "n" 4; "b" "f" "n" "p" "r" "v" "w" 2; "c" "v" "y" 2; "d" "c" 3; "e" "a" "k" 2;
"a" "n" 4; "b" "f" "n" "p" "r" "v" "w" 2; "c" "v" "y" 2; "d" "c" 3; "e" "a" "k" 2;
"a" "n" 4; "b" "f" "n" "p" "r" "v" "w" 2; "c" "v" "y" 2; "d" "c" 3; "e" "a" "k" 2;
"a" "n" 4; "b" "f" "n" "p" "r" "v" "w" 2; "c" "v" "y" 2; "d" "c" 3; "e" "a" "k" "u" 2;
"a" "n" 4; "b" "f" "n" "p" "r" "v" "w" 2; "c" "v" "y" 2; "d" "c" 3; "e" "a" "k" "u" 2;
"a" "n" 4; "b" "f" "n" "p" "r" "v" "w" 2; "c" "v" "y" 2; "d" "c" 3; "e" "a" "k" "u" 2;
"a" "n" 4; "b" "f" "n" "p" "r" "v" "w" 2; "c" "v" "y" 2; "d" "c" 3; "e" "k" 3;
"a" "n" 4; "b" "f" "n" "p" "r" "v" "w" 2; "c" "v" "y" 2; "d" "c" 3; "e" "k" 3;
"a" "n" 4; "b" "f" "n" "p" "r" "v" "w" 2; "c" "l" "v" "y" 2; "d" "c" 3; "e" "k" 3;
"a" "n" 4; "b" "f" "n" "p" "r" "v" "w" 2; "c" "l" "v" "y" 2; "d" "c" 3; "e" "k" 3;
"a" "n" 4; "b" "f" "n" "p" "r" "v" "w" 2; "c" "l" 3; "d" "c" 3; "e" "k" 3;
"a" "n" 4; "b" "f" "n" "p" "r" "v" "w" 2; "c" "l" "v" 3; "d" "c" "s" 3; "e" "k" 3;
"a" "n" 4; "b" "f" "n" "p" "r" "v" "w" 2; "c" "l" "v" "y" 3; "d" "c" "s" 3; "e" "k" 3;
"a" "n" 4; "b" "f" "n" "p" "r" "v" "w" 2; "c" "l" "v" "y" 3; "d" "c" "s" 3; "e" "k" 3;
"a" "n" 4; "b" "f" "n" "p" "r" "v" "w" 2; "c" "l" "v" "y" 3; "d" "c" "s" 3; "e" "k" 3;
"a" "n" 4; "b" "f" "n" "p" "r" "v" "w" 2; "c" "l" "v" "y" 3; "d" "c" "s" 3; "e" "k" 3;
"a" "n" 4; "b" "f" "l" "n" "p" "r" "v" "w" 2; "c" "l" "v" "y" 3; "d" "c" "s" 3; "e" "k" 3;
"a" "n" 4; "b" "f" "l" "n" "p" "r" "v" "w" 2; "c" "l" "v" "y" 3; "d" "c" "s" 3; "e" "k" 3;
"a" "n" 4; "b" "f" "l" "n" "p" "r" "v" "w" 2; "c" "l" "v" "y" 3; "d" "c" "s" 3; "e" "k" 3;
"a" "n" 4; "b" "f" "l" "n" "p" "r" "v" "w" 2; "c" "l" "v" "y" 3; "d" "c" "s" 3; "e" "k" 3;
"a" "n" 4; "b" "f" "l" "n" "p" "r" "u" "v" "w" 2; "c" "l" "v" "y" 3; "d" "c" "s" 3; "e" "k" 3;
"a" "n" 4; "b" "f" "l" "n" "p" "r" "u" "v" "w" 2; "c" "l" "v" "y" 3; "d" "c" "s" 3; "e" "k" 3;
"a" "n" 4; "b" "f" "l" "n" "p" "r" "u" "v" "w" 2; "c" "l" "v" "y" 3; "d" "c" "s" 3; "e" "k" 3;
"a" "n" 4; "b" "f" "l" "n" "p" "r" "u" "v" "w" 2; "c" "l" "v" "y" 3; "d" "c" "s" 3; "e" "k" 3;
"a" "n" 4; "b" "f" "l" "n" "p" "r" "u" "v" "w" 2; "c" "l" "v" "y" 3; "d" "c" "s" 3; "e" "k" 3;
"a" "n" 4; "b" "f" "l" "n" "p" "r" "u" "v" "w" 2; "c" "l" "v" "y" 3; "d" "c" "s" 3; "e" "k" 3;
"a" "n" 4; "b" "f" "l" "n" "p" "r" "u" "v" "w" 2; "c" "l" "v" "y" 3; "d" "c" "s" 3; "e" "k" 3;
"a" "n" 4; "b" "f" "l" "n" "p" "r" "u" "v" "w" 2; "c" "l" "v" "y" 3; "d" "c" "s" 3; "e" "k" 3;
"a" "n" 4; "b" "f" "l" "n" "p" "r" "u" "v" "w" 2; "c" "l" "v" "y" 3; "d" "c" "s" 3; "e" "k" 3;
"a" "n" 4; "b" "f" "l" "n" "p" "r" "u" "v" "w" 2; "c" "l" "v" "y" 3; "d" "c" "s" 3; "e" "k" 3;
"a" "n" 4; "b" "f" "l" "n" "p" "r" "u" "v" "w" 2; "c" "l" "v" "y" 3; "d" "c" "s" 3; "e" "k" 3;
"a" "n" 4; "b" "f" 3; "c" "l" "v" "y" 3; "d" "c" "s" 3; "e" "k" 3;
"a" "n" 4; "b" "f" 3; "c" "l" "v" "y" 3; "d" "c" "s" 3; "e" "k" 3;
"a" "n" 4; "b" "f" 3; "c" "l" "v" "y" 3; "d" "c" "s" 3; "e" "k" 3;
"a" "n" 4; "b" "f" 3; "c" "l" "v" "y" 3; "d" "c" "s" 3; "e" "k" 3;
"a" "n" 4; "b" "f" 3; "c" "l" "v" "y" 3; "d" "c" "s" 3; "e" "k" 3;
"a" "n" 4; "b" "f" 3; "c" "l" "v" "y" 3; "d" "c" "s" 3; "e" "k" 3;
"a" "n" 4; "b" "f" 3; "c" "l" "v" "y" 3; "d" "c" "s" 3; "e" "k" 3;
"a" "n" 4; "b" "f" 3; "c" "l" "v" "y" 3; "d" "c" "s" 3; "e" "k" 3;
"a" "n" 4; "b" "f" 3; "c" "l" "v" "y" 3; "d" "c" "s" 3; "e" "k" 3;
"a" "n" 4; "b" "f" 3; "c" "l" "v" "y" 3; "d" "c" 4; "e" "k" 3;
"a" "n" 4; "b" "f" 3; "c" "l" "v" "y" 3; "d" "c" 4; "e" "k" 3;
"a" "n" 4; "b" "f" 3; "c" "l" "v" "y" 3; "d" "c" 4; "e" "k" 3;
"a" "n" 4; "b" "f" 3; "c" "l" "v" "y" 3; "d" "c" 4; "e" "k" 3;
"a" "n" 4; "b" "f" 3; "c" "l" "v" "y" 3; "d" "c" 4; "e" "k" 3;
"a" "n" 4; "b" "f" 3; "c" "l" "v" "y" 3; "d" "c" 4; "e" "k" 3;
"a" "n" 4; "b" "f" 3; "c" "l" "v" "y" 3; "d" "c" 4; "e" "k" 3;
"a" "n" 4; "b" "f" 3; "c" "l" "v" "y" 3; "d" "c" 4; "e" "k" 3;
"a" "n" 4; "b" "f" 3; "c" "l" "v" "y" 3; "d" "c" 4; "e" "k" 3;
"a" "n" 4; "b" "f" 3; "c" "l" "v" "y" 3; "d" "c" 4; "e" "k" 3;
"a" "n" 4; "b" "f" 3; "c" "l" "v" "y" 3; "d" "c" 4; "e" "k" 3;
"a" "n" 4; "b" "f" 3; "c" "l" "v" "y" 3; "d" "c" 4; "e" "k" 3;
"a" "n" 4; "b" "f" 3; "c" "l" "v" "y" 3; "d" "c" 4; "e" "k" 3;
"a" "n" 4; "b" "f" 3; "c" "l" "v" "y" 3; "d" "c" 4; "e" "k" 3;
"a" "n" 4; "b" "f" 3; "c" "l" "v" "y" 3; "d" "c" 4; "e" "k" 3;
"a" "n" 4; "b" "f" 3; "c" "l" "v" "y" 3; "d" "c" 4; "e" "k" 3;
"a" "n" 4; "b" "f" 3; "c" "l" "v" "y" 3; "d" "c" 4; "e" "k" 3;
"a" "n" 4; "b" "f" 3; "c" "l" "v" "y" 3; "d" "c" 4; "e" "k" 3;
"a" "n" 4; "b" "f" 3; "c" "l" "v" "y" 3; "d" "c" 4; "e" "k" 3;
"a" "n" 4; "b" "f" 3; "c" "l" "v" "y" 3; "d" "c" 4; "e" "k" 3;
"a" "n" 4; "b" "f" 3; "c" "l" "v" "y" 3; "d" "c" 4; "e" "k" 3;
"a" "n" 4; "b" "f" 4; "c" "l" "v" "y" 3; "d" "c" 4; "e" "k" 3;
"a" "n" 4; "b" "f" 4; "c" "l" "v" "y" 3; "d" "c" 4; "e" "k" 3;
"a" "n" 4; "b" "f" 4; "c" "l" "v" "y" 3; "d" "c" 4; "e" "k" 3;
"a" "n" 4; "b" "f" 4; "c" "l" "v" "y" 3; "d" "c" 4; "e" "k" 3;
"a" "n" 4; "b" "f" 4; "c" "l" "v" "y" 3; "d" "c" 4; "e" "k" 3;
"a" "n" 4; "b" "f" 4; "c" "l" "v" "y" 3; "d" "c" 4; "e" "k" 3;
"a" "n" 4; "b" "f" 4; "c" "l" "v" "y" 3; "d" "c" 4; "e" "k" 3;
"a" "n" 4; "b" "f" 4; "c" "l" "v" "y" 3; "d" "c" 4; "e" "k" 3;
"a" "n" 4; "b" "f" 4; "c" "l" "v" "y" 3; "d" "c" 4; "e" "k" 3;
"a" "n" 4; "b" "f" 4; "c" "l" "v" "y" 3; "d" "c" 4; "e" "k" 3;
"a" "n" 4; "b" "f" 4; "c" "l" "v" "y" 3; "d" "c" 4; "e" "k" 3;
"a" "n" 4; "b" "f" 4; "c" "l" "v" "y" 3; "d" "c" 4; "e" "k" 3;
"a" "n" 4; "b" "f" 4; "c" "l" "v" "y" 3; "d" "c" 4; "e" "k" 3;
"a" "n" 4; "b" "f" 4; "c" "l" "v" "y" 3; "d" "c" 4; "e" "k" 3;
"a" "n" 4; "b" "f" 4; "c" "l" "v" "y" 3; "d" "c" 4; "e" "k" 3;
"a" "n" 4; "b" "f" 4; "c" "l" "v" "y" 3; "d" "c" 4; "e" "k" 3;
"a" "n" 4; "b" "f" 4; "c" "l" "v" "y" 3; "d" "c" 4; "e" "k" 3;
"a" "n" 4; "b" "f" 4; "c" "l" "v" "y" 3; "d" "c" 4; "e" "k" 3;
"a" "n" 4; "b" "f" 4; "c" "l" "v" "y" 3; "d" "c" 4; "e" "k" 3;
"a" "n" 4; "b" "f" 4; "c" "l" "v" "y" "z" 3; "d" "c" 4; "e" "e" "k" 3;
"a" "n" 4; "b" "f" 4; "c" "l" "v" "y" "z" 3; "d" "c" 4; "e" "e" "k" 3;
"a" "n" 4; "b" "f" 4; "c" "l" "v" "y" "z" 3; "d" "c" 4; "e" "e" "k" 3;
"a" "n" 4; "b" "f" 4; "c" "l" "v" "y" "z" 3; "d" "c" 4; "e" "e" "k" 3;
"a" "n" 4; "b" "f" 4; "c" "l" "v" "y" "z" 3; "d" "c" 4; "e" "e" "k" 3;
"a" "n" 4; "b" "f" 4; "c" "l" "v" "y" "z" 3; "d" "c" 4; "e" "e" "k" 3;
"a" "n" 4; "b" "f" 4; "c" "l" "v" "y" "z" 3; "d" "c" 4; "e" "e" "k" 3;
"a" "n" 4; "b" "f" 4; "c" "l" "v" "y" "z" 3; "d" "c" 4; "e" "e" "k" 3;
"a" "n" 4; "b" "f" 4; "c" "l" "v" "y" "z" 3; "d" "c" 4; "e" "e" "k" 3;
"a" "n" 4; "b" "f" 4; "c" "l" "v" "y" "z" 3; "d" "a" "c" 4; "e" "e" "k" 3;
"a" "n" 4; "b" "f" 4; "c" "l" "v" "y" "z" 3; "d" "a" "c" 4; "e" "e" "k" 3;
"a" "n" 4; "b" "f" 4; "c" "l" "v" "y" "z" 3; "d" "a" "c" 4; "e" "e" "k" 3;
"a" "n" 4; "b" "f" 4; "c" "l" "v" "y" "z" 3; "d" "a" "c" 4; "e" "e" "k" 3;
"a" "n" 4; "b" "f" 4; "c" "l" "v" "y" "z" 3; "d" "a" "c" 4; "e" "e" "k" 3;
"a" "n" 4; "b" "f" 4; "c" "l" "v" "y" "z" 3; "d" "a" "c" 4; "e" "e" "k" 3;
"a" "n" 4; "b" "f" 4; "c" "l" "v" "y" "z" 3; "d" "a" "c" 4; "e" "e" "k" 3;
"a" "n" 4; "b" "f" 4; "c" "l" "v" "y" "z" 3; "d" "a" "c" 4; "e" "e" "k" 3;
"a" "n" 4; "b" "f" 4; "c" "l" "v" "y" "z" 3; "d" "a" "c" 4; "e" "e" "k" 3;
"a" "n" 4; "b" "f" 4; "c" "l" "v" "y" "z" 3; "d" "a" "c" 4; "e" "e" "k" 3;
"a" "n" 4; "b" "f" 4; "c" "l" "v" "y" "z" 3; "d" "a" "c" 4; "e" "e" "k" 3;
"a" "n" 4; "b" "f" 4; "c" "l" "v" "y" "z" 3; "d" "a" "c" 4; "e" "e" "k" 3;
"a" "n" 4; "b" "f" 4; "c" "l" "v" "y" "z" 3; "d" "a" "c" 4; "e" "e" 4;
"a" "n" 4; "b" "f" 4; "c" "l" "v" "y" "z" 3; "d" "a" "c" 4; "e" "e" 4;
"a" "n" 4; "b" "f" 4; "c" "l" "v" "y" "z" 3; "d" "a" "c" 4; "e" "e" 4;
"a" "n" 4; "b" "f" 4; "c" "l" "v" "y" "z" 3; "d" "a" "c" 4; "e" "e" 4;
"a" "n" 4; "b" "f" 4; "c" "l" "v" "y" "z" 3; "d" "a" "c" 4; "e" "e" 4;
"a" "n" 4; "b" "f" 4; "c" "l" "v" "y" "z" 3; "d" "a" "c" 4; "e" "e" 4;
"a" "n" 4; "b" "f" 4; "c" "l" "v" "y" "z" 3; "d" "a" "c" 4; "e" "e" 4;
"a" "n" 4; "b" "f" 4; "c" "l" "v" "y" "z" 3; "d" "a" "c" 4; "e" "e" 4;
"a" "n" 4; "b" "f" 4; "c" "l" "v" "y" "z" 3; "d" "a" "c" 4; "e" "e" 4;
"a" "n" 4; "b" "f" 4; "c" "l" "v" "y" "z" 3; "d" "a" "c" 4; "e" "e" 4;
"a" "n" 4; "b" "f" 4; "c" "l" "v" "y" "z" 3; "d" "a" "c" 4; "e" "e" 4;
"a" "n" 4; "b" "f" 4; "c" "l" "v" "y" "z" 3; "d" "a" "c" 4; "e" "e" 4;
"a" "n" 4; "b" "f" 4; "c" "l" "v" "y" "z" 3; "d" "a" "c" 4; "e" "e" 4;
"a" "n" 4; "b" "f" 4; "c" "l" "v" "y" "z" 3; "d" "a" "c" 4; "e" "e" 4;
"a" "n" "s" 4; "b" "f" 4; "c" "l" "v" "y" "z" 3; "d" "a" "c" 4; "e" "e" 4;
"a" "n" "s" 4; "b" "f" 4; "c" "l" "v" "y" "z" 3; "d" "a" "c" 4; "e" "e" "u" 4;
"a" "n" "s" 4; "b" "f" 4; "c" "l" "v" "y" "z" 3; "d" "a" "c" 4; "e" "e" "u" 4;
"a" "n" "s" 4; "b" "f" 4; "c" "l" "v" "y" "z" 3; "d" "a" "c" 4; "e" "e" "u" 4;
"a" "n" "s" 4; "b" "f" 4; "c" "l" "v" "y" "z" 3; "d" "a" "c" 4; "e" "e" "u" 4;
"a" "n" "s" 4; "b" "f" 4; "c" "l" "v" "y" "z" 3; "d" "c" 5; "e" "e" "u" 4;
"a" "n" "s" "x" 4; "b" "f" 4; "c" "l" "v" "y" "z" 3; "d" "a" "c" 5; "e" "e" "u" 4;
"a" "n" "s" "x" 4; "b" "f" 4; "c" "l" "v" "y" "z" 3; "d" "a" "c" 5; "e" "e" "u" 4;
"a" "n" "s" "x" 4; "b" "f" 4; "c" "l" "v" "y" "z" 3; "d" "a" "c" 5; "e" "e" "u" 4;
