none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"e" "e" 1;
"e" "e" 1;
"e" "e" 1;
"e" "e" 1;
"e" "e" 1;
"e" "e" 1;
"e" "e" 1;
"e" "e" 1;
"e" "e" 1;
"a" "o" 1; "e" "e" 1;
"a" "o" 1; "e" "e" 1;
"a" "o" 1; "b" "l" 1; "e" "e" "j" 1;
"a" "o" 1; "b" "l" 1; "e" "e" "j" 1;
"a" "o" 1; "b" "l" 1; "e" "e" "j" 1;
"a" "o" 1; "b" "l" 1; "e" "e" "f" "j" 1;
"a" "o" 1; "b" "l" 1; "c" "b" 1; "e" "e" "f" "j" 1;
"a" "o" 3; "b" "k" "l" "t" 1; "c" "a" "b" "d" "g" "i" "m" "o" "v" 1; "d" "o" "q" 1; "e" "f" 3;
"a" "o" 3; "b" "g" "k" "l" "t" 1; "c" "a" "b" "d" "g" "i" "m" "o" "v" 1; "d" "a" "o" "q" 1; "e" "f" 3;
"a" "o" 3; "b" "g" "k" "l" "t" 1; "c" "a" "b" "d" "g" "i" "m" "o" "v" 1; "d" "a" "g" "o" "q" 1; "e" "f" 3;
"a" "o" 3; "b" "g" "k" "l" "t" 1; "c" "a" "b" "d" "g" "i" "m" "o" "v" 1; "d" "a" "g" "o" "q" 1; "e" "f" 3;
"a" "o" 3; "b" "g" "k" "l" "t" 1; "c" "a" "b" "d" "g" "i" "k" "m" "o" "v" 1; "d" "a" "g" "o" "q" 1; "e" "f" 3;
"a" "o" 3; "b" "g" "k" "l" "t" 1; "c" "a" "b" "d" "g" "i" "k" "m" "o" "v" 1; "d" "a" "g" "o" "q" 1; "e" "f" 3;
"a" "o" 3; "b" "g" "k" "l" "t" 1; "c" "a" "b" "d" "g" "i" "k" "m" "o" "v" 1; "d" "a" "g" "o" "q" 1; "e" "f" 3;
"a" "o" 3; "b" "g" "k" "l" "t" 1; "c" "a" "b" "d" "g" "i" "k" "m" "o" "v" 1; "d" "a" "g" "o" "q" 1; "e" "f" 3;
"a" "o" 3; "b" "g" "k" "l" "t" 1; "c" "o" 2; "d" "a" "g" "o" "q" 1; "e" "f" 3;
"a" "o" 3; "b" "g" "l" 2; "c" "o" 2; "d" "a" "g" "o" "q" "y" 1; "e" "f" 3;
"a" "o" 3; "b" "g" "l" 2; "c" "o" 2; "d" "a" "g" "o" "q" "u" "y" 1; "e" "f" 3;
"a" "o" 3; "b" "g" "l" 2; "c" "o" 2; "d" "a" 2; "e" "f" 3;
"a" "o" 3; "b" "g" "l" 2; "c" "o" "v" 2; "d" "a" 2; "e" "f" 3;
"a" "o" 3; "b" "g" "l" 2; "c" "o" "v" 2; "d" "a" 2; "e" "f" 3;
"a" "o" 3; "b" "g" "l" 2; "c" "o" "v" 2; "d" "a" 2; "e" "f" 3;
"a" "o" 3; "b" "g" "l" 2; "c" "o" "v" 2; "d" "a" 2; "e" "f" 3;
"a" "o" 3; "b" "g" "l" 2; "c" "i" "o" "v" 2; "d" "a" 2; "e" "f" 3;
"a" "o" 3; "b" "g" "l" 2; "c" "i" "o" "v" 2; "d" "a" 2; "e" "f" 3;
"a" "o" 3; "b" "g" "l" 2; "c" "i" "o" "v" 2; "d" "a" 2; "e" "f" 3;
"a" "o" 3; "b" "g" "l" 2; "c" "i" "o" "v" 2; "d" "a" 2; "e" "f" 3;
"a" "o" 3; "b" "g" "l" 2; "c" "i" "o" "v" 2; "d" "a" 2; "e" "f" 3;
"a" "o" 3; "b" "g" "l" 2; "c" "i" "o" "v" 2; "d" "a" 2; "e" "f" 3;
"a" "o" 3; "b" "g" "l" 2; "c" "i" "o" "v" 2; "d" "a" 2; "e" "f" 3;
"a" "o" 3; "b" "g" "l" 2; "c" "i" "o" "v" 2; "d" "a" 2; "e" "f" 3;
"a" "o" 3; "b" "g" "l" "t" 2; "c" "i" "o" "v" 2; "d" "a" 2; "e" "f" 3;
"a" "o" 3; "b" "g" "l" "t" 2; "c" "i" "o" "v" 2; "d" "a" 2; "e" "f" 3;
"a" "i" "o" 3; "b" "g" "l" "t" 2; "c" "i" "o" "v" 2; "d" "a" 2; "e" "f" 3;
"a" "i" "o" 3; "b" "g" "l" "t" 2; "c" "i" "o" "v" 2; "d" "a" 2; "e" "f" 3;
"a" "i" "o" 3; "b" "g" "l" "t" 2; "c" "i" "o" "v" 2; "d" "a" 2; "e" "f" 3;
"a" "i" "o" 3; "b" "g" "l" "t" 2; "c" "i" "o" "v" 2; "d" "a" 2; "e" "f" 3;
"a" "i" "o" 3; "b" "g" "l" "t" 2; "c" "i" "o" "v" 2; "d" "a" 2; "e" "f" 3;
"a" "i" "o" 3; "b" "g" "l" "t" 2; "c" "i" "o" "v" 2; "d" "a" 2; "e" "f" 3;
"a" "i" "o" 3; "b" "g" "l" "t" 2; "c" "i" "o" "v" 2; "d" "a" 2; "e" "f" 3;
"a" "i" "o" 3; "b" "g" "l" "t" 2; "c" "i" "o" "v" 2; "d" "a" 2; "e" "f" 3;
"a" "i" "o" 3; "b" "g" "l" "t" 2; "c" "i" "o" "v" 2; "d" "a" 2; "e" "f" 3;
"a" "i" "o" 3; "b" "g" "l" "t" 2; "c" "i" "o" "v" 2; "d" "a" 2; "e" "f" 3;
"a" "i" "o" 3; "b" "g" "l" "t" 2; "c" "i" "o" "v" 2; "d" "a" 2; "e" "f" 3;
"a" "i" "o" 3; "b" "g" "l" "t" 2; "c" "i" "o" "v" 2; "d" "a" 2; "e" "f" 3;
"a" "i" "o" 3; "b" "g" "l" "t" 2; "c" "i" "o" "v" 2; "d" "a" 2; "e" "f" 3;
"a" "i" "o" 3; "b" "g" "l" "t" 2; "c" "i" "o" "v" 2; "d" "a" 2; "e" "f" 3;
"a" "i" 4; "b" "g" 3; "c" "i" "o" "v" 2; "d" "a" "u" 2; "e" "f" 3;
"a" "i" 4; "b" "g" 3; "c" "i" "o" "v" 2; "d" "a" "u" 2; "e" "f" 3;
"a" "i" 4; "b" "g" 3; "c" "i" "o" "v" 2; "d" "a" "u" 2; "e" "f" 3;
"a" "i" 4; "b" "g" 3; "c" "i" "o" "v" 2; "d" "a" "u" 2; "e" "f" 3;
"a" "i" 4; "b" "g" 3; "c" "i" "o" "v" 2; "d" "a" "o" "u" 2; "e" "f" 3;
"a" "i" 4; "b" "g" 3; "c" "i" "o" "v" 2; "d" "a" "o" "u" 2; "e" "f" 3;
"a" "i" 4; "b" "g" 3; "c" "i" "o" "v" 2; "d" "a" "o" "u" 2; "e" "f" 3;
"a" "i" 4; "b" "g" 3; "c" "i" "o" "v" 2; "d" "a" "o" "u" 2; "e" "f" 3;
"a" "i" 4; "b" "g" 3; "c" "i" "k" "o" "v" 2; "d" "a" "o" "u" 2; "e" "f" 3;
"a" "i" 4; "b" "g" 3; "c" "i" "k" "o" "v" 2; "d" "a" "o" "u" 2; "e" "f" 3;
"a" "i" 4; "b" "g" 3; "c" "i" "k" "o" "v" 2; "d" "a" "o" "u" 2; "e" "f" 3;
"a" "i" 4; "b" "g" 3; "c" "i" "k" "o" "v" 2; "d" "a" "o" "u" 2; "e" "f" 3;
"a" "i" 4; "b" "g" 3; "c" "i" "k" "o" "v" 2; "d" "a" "o" "u" 2; "e" "f" 3;
"a" "i" 4; "b" "g" 3; "c" "i" "k" "o" "v" 2; "d" "a" "o" "u" 2; "e" "f" 3;
"a" "i" 4; "b" "g" 3; "c" "i" "k" "o" "v" 2; "d" "a" "o" "u" 2; "e" "f" 3;
"a" "i" 4; "b" "g" 3; "c" "i" "k" "o" "v" 2; "d" "a" "o" "u" 2; "e" "f" 3;
"a" "i" 4; "b" "g" 3; "c" "i" "k" "o" "v" 2; "d" "a" "o" "u" 2; "e" "f" 3;
"a" "i" 4; "b" "g" 3; "c" "i" "k" "o" "v" 2; "d" "a" "o" "u" 2; "e" "f" 3;
"a" "i" 4; "b" "g" 3; "c" "i" "k" "o" "v" 2; "d" "a" "o" "u" 2; "e" "f" 3;
"a" "i" 4; "b" "g" 3; "c" "i" "k" "o" "v" 2; "d" "a" "o" "u" 2; "e" "f" 3;
"a" "i" 4; "b" "g" 3; "c" "i" "k" "o" "v" 2; "d" "a" "o" "u" 2; "e" "f" 3;
"a" "i" 4; "b" "g" 3; "c" "i" "k" "o" "v" 2; "d" "a" "o" "u" 2; "e" "f" 3;
"a" "i" 4; "b" "g" 3; "c" "i" "k" "o" "v" 2; "d" "a" "o" "u" 2; "e" "f" 3;
"a" "i" 4; "b" "g" 3; "c" "i" "k" "o" "v" 2; "d" "a" "o" "u" 2; "e" "f" 3;
"a" "i" 4; "b" "g" 3; "c" "o" 3; "d" "a" "o" "u" 2; "e" "f" 3;
"a" "i" 4; "b" "g" 3; "c" "o" 3; "d" "a" "o" "u" 2; "e" "f" 3;
"a" "i" 4; "b" "g" 3; "c" "o" 3; "d" "a" "o" "u" 2; "e" "f" 3;
"a" "i" 4; "b" "g" 3; "c" "o" 3; "d" "a" "o" "u" 2; "e" "f" 3;
"a" "i" 4; "b" "g" 3; "c" "o" 3; "d" "a" "o" "u" 2; "e" "f" 3;
"a" "i" 4; "b" "g" 3; "c" "o" 3; "d" "a" "o" "u" 2; "e" "f" 3;
"a" "i" 4; "b" "g" 3; "c" "o" 3; "d" "a" "o" "u" 2; "e" "f" 3;
"a" "i" 4; "b" "g" 3; "c" "o" 3; "d" "a" "o" "u" 2; "e" "f" 3;
"a" "i" 4; "b" "g" 3; "c" "o" 3; "d" "a" "o" "u" 2; "e" "f" 3;
"a" "i" 4; "b" "g" 3; "c" "o" 3; "d" "a" "o" "u" 2; "e" "f" 3;
"a" "i" 4; "b" "g" 3; "c" "o" 3; "d" "a" "o" "u" 2; "e" "f" 3;
"a" "i" 4; "b" "g" 3; "c" "o" 3; "d" "a" "o" "u" 2; "e" "f" 3;
"a" "i" 4; "b" "g" 3; "c" "o" 3; "d" "a" "o" "u" 2; "e" "f" 3;
"a" "i" 4; "b" "g" 3; "c" "o" 3; "d" "a" "o" "q" "u" 2; "e" "f" 3;
"a" "i" 4; "b" "g" 3; "c" "o" 3; "d" "a" "o" "q" "u" 2; "e" "f" 3;
"a" "i" 4; "b" "g" 3; "c" "o" 3; "d" "a" "o" "q" "u" 2; "e" "f" 3;
"a" "i" 4; "b" "g" 3; "c" "o" 3; "d" "a" "o" "q" "u" 2; "e" "f" 3;
"a" "i" 4; "b" "g" 3; "c" "o" 3; "d" "a" "o" "q" "u" 2; "e" "f" 3;
"a" "i" 4; "b" "g" 3; "c" "o" 3; "d" "a" "o" "q" "u" 2; "e" "f" 3;
"a" "i" 4; "b" "g" 3; "c" "o" "v" 3; "d" "a" "o" "q" "u" 2; "e" "f" 3;
"a" "i" 4; "b" "g" 3; "c" "o" "v" 3; "d" "a" "o" "q" "u" 2; "e" "f" 3;
"a" "i" 4; "b" "g" 3; "c" "o" "v" 3; "d" "a" "o" "q" "u" 2; "e" "f" 3;
"a" "i" 4; "b" "g" 3; "c" "o" "v" 3; "d" "a" "o" "q" "u" 2; "e" "f" 3;
"a" "i" 4; "b" "g" 3; "c" "o" "v" 3; "d" "a" "o" "q" "u" 2; "e" "f" 3;
"a" "i" 4; "b" "g" 3; "c" "o" "v" 3; "d" "a" "k" "o" "q" "u" 2; "e" "f" 3;
"a" "i" 4; "b" "g" 3; "c" "o" "v" 3; "d" "a" "k" "o" "q" "u" 2; "e" "f" 3;
"a" "i" 4; "b" "g" 3; "c" "o" "v" 3; "d" "a" "k" "o" "q" "u" 2; "e" "f" 3;
"a" "i" "o" 4; "b" "g" 3; "c" "o" "v" 3; "d" "a" "k" "o" "q" "u" 2; "e" "f" 3;
"a" "i" "o" 4; "b" "g" 3; "c" "o" 4; "d" "a" "k" "o" "q" "u" 2; "e" "f" 3;
"a" "i" "o" 4; "b" "g" 3; "c" "o" 4; "d" "a" "k" "o" "q" "u" 2; "e" "f" 3;
"a" "i" "o" 4; "b" "g" 3; "c" "o" 4; "d" "a" "k" "o" "q" "u" 2; "e" "f" "q" 3;
"a" "i" "o" 4; "b" "g" 3; "c" "o" 4; "d" "a" "k" "o" "q" "u" 2; "e" "f" "q" 3;
"a" "i" "o" 4; "b" "g" 3; "c" "o" 4; "d" "a" "k" "o" "q" "u" 2; "e" "f" "q" 3;
"a" "i" "o" 4; "b" "g" 3; "c" "o" 4; "d" "a" "k" "o" "q" "u" 2; "e" "f" "q" 3;
"a" "i" "o" 4; "b" "g" 3; "c" "o" 4; "d" "a" "k" "o" "q" "u" 2; "e" "f" "q" 3;
"a" "i" "o" 4; "b" "g" 3; "c" "o" 4; "d" "a" "k" "o" "q" "u" 2; "e" "f" "q" 3;
"a" "i" "o" 4; "b" "g" 3; "c" "o" 4; "d" "a" 3; "e" "f" "q" "r" 3;
"a" "i" "o" 4; "b" "g" 3; "c" "o" 4; "d" "a" 3; "e" "f" "q" "r" 3;
"a" "o" 5; "b" "g" 3; "c" "o" 4; "d" "a" 3; "e" "f" "q" "r" 3;
"a" "o" 5; "b" "g" 3; "c" "o" 4; "d" "a" 3; "e" "f" "q" "r" 3;
"a" "o" 5; "b" "g" 3; "c" "o" 4; "d" "a" 3; "e" "f" "q" "r" 3;
"a" "o" 5; "b" "g" 3; "c" "o" 4; "d" "a" 3; "e" "f" "q" "r" 3;
"a" "o" 5; "b" "g" 3; "c" "o" 4; "d" "a" "o" 3; "e" "f" "q" "r" 3;
"a" "o" 5; "b" "g" 3; "c" "o" 4; "d" "a" "o" 3; "e" "f" "q" "r" 3;
"a" "o" 5; "b" "g" 3; "c" "o" 4; "d" "a" "o" 3; "e" "f" "q" "r" 3;
"a" "o" 5; "b" "g" 3; "c" "o" 4; "d" "a" "o" 3; "e" "f" "q" "r" 3;
"a" "o" 5; "b" "g" 3; "c" "o" 4; "d" "a" "o" 3; "e" "f" "q" "r" 3;
"a" "o" 5; "b" "g" 3; "c" "o" 4; "d" "a" "o" 3; "e" "f" "q" "r" 3;
"a" "o" 5; "b" "g" "w" 3; "c" "o" 4; "d" "a" "o" 3; "e" "f" "q" "r" 3;
"a" "o" 5; "b" "g" "w" 3; "c" "o" 4; "d" "a" "o" 3; "e" "f" "q" "r" 3;
"a" "o" 5; "b" "g" "w" 3; "c" "o" 4; "d" "a" "o" 3; "e" "f" "q" "r" 3;
"a" "o" 5; "b" "g" "w" 3; "c" "o" 4; "d" "a" "o" 3; "e" "f" "q" "r" 3;
"a" "o" 5; "b" "g" "w" 3; "c" "o" 4; "d" "a" "o" 3; "e" "f" "q" "r" 3;
"a" "o" 5; "b" "g" "w" 3; "c" "o" 4; "d" "a" "o" 3; "e" "f" "q" "r" 3;
"a" "o" 5; "b" "g" "w" 3; "c" "o" 4; "d" "a" "o" 3; "e" "f" "q" "r" 3;
"a" "o" 5; "b" "g" "w" 3; "c" "o" 4; "d" "a" "o" 3; "e" "f" "q" "r" 3;
"a" "o" 5; "b" "g" "w" 3; "c" "o" 4; "d" "a" "o" 3; "e" "f" "q" "r" 3;
"a" "o" 5; "b" "g" "w" 3; "c" "o" 4; "d" "a" "o" 3; "e" "f" "q" "r" 3;
"a" "o" 5; "b" "g" "w" 3; "c" "o" 4; "d" "a" "o" 3; "e" "f" "q" "r" 3;
"a" "o" 5; "b" "g" "w" 3; "c" "o" 4; "d" "a" "o" 3; "e" "f" "q" "r" 3;
"a" "o" 5; "b" "g" "w" 3; "c" "o" 4; "d" "a" "o" 3; "e" "f" "q" "r" 3;
"a" "o" 5; "b" "g" "w" 3; "c" "o" 4; "d" "a" "o" 3; "e" "f" "q" "r" 3;
"a" "o" 5; "b" "g" "w" 3; "c" "o" 4; "d" "a" "o" 3; "e" "f" "q" "r" 3;
"a" "o" 5; "b" "g" "w" 3; "c" "o" 4; "d" "a" "o" 3; "e" "f" "q" "r" 3;
"a" "o" 5; "b" "g" "w" 3; "c" "o" 4; "d" "a" "o" 3; "e" "f" "i" "q" "r" 3;
"a" "o" 5; "b" "g" "w" 3; "c" "o" 4; "d" "a" "o" 3; "e" "f" "i" "l" "q" "r" 3;
"a" "o" 5; "b" "g" "w" 3; "c" "o" 4; "d" "a" "o" 3; "e" "f" "i" "l" "q" "r" 3;
"a" "o" 5; "b" "g" "w" 3; "c" "o" 4; "d" "a" "o" 3; "e" "f" "i" "l" "q" "r" 3;
"a" "o" 5; "b" "g" "w" 3; "c" "o" 4; "d" "a" "o" 3; "e" "f" "i" "l" "q" "r" 3;
"a" "o" 5; "b" "g" "w" 3; "c" "o" 4; "d" "a" "o" 3; "e" "f" "i" "l" "q" "r" 3;
"a" "o" 5; "b" "g" "w" 3; "c" "o" 4; "d" "a" "o" 3; "e" "f" "i" "l" "q" "r" 3;
"a" "o" 5; "b" "g" "w" 3; "c" "o" 4; "d" "a" "o" 3; "e" "a" "f" "i" "l" "q" "r" 3;
"a" "o" 5; "b" "g" "w" 3; "c" "o" 4; "d" "a" "o" 3; "e" "a" "f" "i" "l" "q" "r" 3;
"a" "o" 5; "b" "g" "w" 3; "c" "o" 4; "d" "a" "o" 3; "e" "a" "f" "i" "l" "q" "r" 3;
"a" "o" 5; "b" "g" "w" 3; "c" "o" 4; "d" "a" "o" 3; "e" "a" "f" "i" "l" "q" "r" 3;
"a" "o" 5; "b" "g" "w" 3; "c" "o" 4; "d" "a" "o" 3; "e" "a" "f" "i" "l" "q" "r" 3;
"a" "o" 5; "b" "g" "w" 3; "c" "o" 4; "d" "a" "o" 3; "e" "a" "f" "i" "l" "q" "r" 3;
"a" "o" 5; "b" "g" "w" 3; "c" "o" 4; "d" "a" "k" "o" 3; "e" "a" "f" "i" "l" "q" "r" 3;
"a" "o" 5; "b" "g" "w" 3; "c" "o" 4; "d" "a" "k" "o" 3; "e" "a" "f" "i" "l" "q" "r" 3;
"a" "o" 5; "b" "g" "w" 3; "c" "o" 4; "d" "k" 4; "e" "a" "f" "i" "l" "q" "r" 3;
"a" "o" 5; "b" "g" "w" 3; "c" "o" 4; "d" "k" 4; "e" "a" "f" "i" "l" "q" "r" 3;
"a" "o" 5; "b" "g" "w" 3; "c" "o" 4; "d" "k" 4; "e" "a" "f" "i" "l" "q" "r" 3;
"a" "o" 5; "b" "g" "w" 3; "c" "o" 4; "d" "k" 4; "e" "a" "f" "i" "l" "q" "r" 3;
"a" "o" 5; "b" "g" "w" 3; "c" "o" 4; "d" "k" 4; "e" "a" "f" "i" "l" "q" "r" 3;
"a" "o" 5; "b" "g" "w" 3; "c" "o" 4; "d" "k" 4; "e" "a" "f" "i" "l" "q" "r" 3;
"a" "o" 5; "b" "g" "w" 3; "c" "o" 4; "d" "k" 4; "e" "a" "f" "i" "l" "q" "r" 3;
"a" "o" 5; "b" "g" "w" 3; "c" "o" 4; "d" "k" 4; "e" "a" "f" "i" "l" "q" "r" 3;
"a" "o" 5; "b" "g" "w" 3; "c" "o" 4; "d" "k" 4; "e" "a" "f" "i" "l" "q" "r" 3;
"a" "o" 5; "b" "g" "w" 3; "c" "o" 4; "d" "k" 4; "e" "a" "b" "f" "i" "l" "q" "r" 3;
"a" "o" 5; "b" "g" "w" 3; "c" "o" 4; "d" "k" 4; "e" "a" "b" "f" "i" "l" "q" "r" 3;
"a" "o" 5; "b" "g" "w" 3; "c" "o" 4; "d" "k" 4; "e" "a" "b" "f" "i" "l" "q" "r" 3;
"a" "o" 5; "b" "g" "t" "w" 3; "c" "o" 4; "d" "k" 4; "e" "a" "b" "f" "i" "l" "q" "r" 3;
"a" "o" 5; "b" "g" "t" "w" 3; "c" "o" 4; "d" "k" 4; "e" "a" "b" "f" "i" "l" "q" "r" 3;
"a" "o" 5; "b" "g" "t" "w" 3; "c" "o" 4; "d" "k" 4; "e" "a" "b" "f" "i" "l" "q" "r" 3;
"a" "o" 5; "b" "g" "t" "w" 3; "c" "o" 4; "d" "k" 4; "e" "a" "b" "f" "i" "l" "q" "r" 3;
"a" "o" 5; "b" "g" "t" "w" 3; "c" "o" 4; "d" "k" 4; "e" "a" "b" "f" "i" "l" "q" "r" 3;
"a" "o" 5; "b" "g" "t" "w" 3; "c" "o" 4; "d" "k" 4; "e" "a" "b" "f" "i" "l" "q" "r" 3;
"a" "o" 5; "b" "g" "t" "w" 3; "c" "o" 4; "d" "k" 4; "e" "a" "b" "f" "i" "l" "q" "r" 3;
"a" "o" 5; "b" "g" "t" "w" 3; "c" "o" 4; "d" "k" 4; "e" "a" "b" "f" "i" "l" "q" "r" 3;
"a" "o" 5; "b" "g" "t" "w" 3; "c" "o" 4; "d" "k" 4; "e" "a" "b" "f" "i" "l" "q" "r" 3;
"a" "o" 5; "b" "g" "n" "t" "w" 3; "c" "o" 4; "d" "k" 4; "e" "a" "b" "f" "i" "l" "q" "r" 3;
"a" "o" 5; "b" "g" "n" "t" "w" 3; "c" "o" 4; "d" "k" 4; "e" "a" "b" "f" "i" "l" "q" "r" 3;
"a" "o" 5; "b" "c" "g" "n" "t" "w" 3; "c" "o" 4; "d" "k" 4; "e" "a" "b" "f" "i" "l" "q" "r" 3;
"a" "o" 5; "b" "c" "g" "n" "t" "w" 3; "c" "o" 4; "d" "k" 4; "e" "a" "b" "f" "i" "l" "q" "r" 3;
"a" "o" 5; "b" "c" "g" "n" "t" "w" 3; "c" "o" 4; "d" "k" 4; "e" "a" "b" "f" "i" "l" "q" "r" 3;
"a" "o" 5; "b" "c" "g" "n" "t" "w" 3; "c" "o" 4; "d" "k" 4; "e" "a" "b" "f" "i" "l" "q" "r" 3;
"a" "o" 5; "b" "c" "g" "n" "t" "w" 3; "c" "o" 4; "d" "k" 4; "e" "a" "b" "f" "i" "l" "q" "r" 3;
"a" "o" 5; "b" "c" "g" "n" "t" "w" 3; "c" "o" 4; "d" "k" 4; "e" "a" "b" "f" "i" "l" "q" "r" 3;
"a" "o" 5; "b" "g" 4; "c" "o" 4; "d" "k" 4; "e" "a" "b" "f" "i" "l" "q" "r" 3;
"a" "o" 5; "b" "g" 4; "c" "o" 4; "d" "k" 4; "e" "a" "b" "f" "i" "l" "q" "r" 3;
"a" "o" 5; "b" "g" 4; "c" "o" 4; "d" "k" 4; "e" "a" "b" "f" "i" "l" "q" "r" 3;
"a" "o" 5; "b" "g" 4; "c" "o" 4; "d" "k" 4; "e" "a" "b" "f" "i" "l" "q" "r" 3;
"a" "o" 5; "b" "g" 4; "c" "o" 4; "d" "k" 4; "e" "a" "b" "f" "i" "l" "q" "r" 3;
"a" "o" 5; "b" "g" 4; "c" "o" 4; "d" "k" 4; "e" "a" "b" "f" "i" "l" "q" "r" 3;
"a" "o" 5; "b" "g" 4; "c" "o" 4; "d" "k" 4; "e" "a" "b" "f" "i" "l" "q" "r" 3;
"a" "o" 5; "b" "g" 4; "c" "o" 4; "d" "k" "q" 4; "e" "a" "b" "f" "i" "l" "q" "r" 3;
"a" "o" 5; "b" "g" 4; "c" "o" 4; "d" "k" "q" 4; "e" "a" "b" "f" "i" "l" "q" "r" 3;
"a" "o" 5; "b" "g" 4; "c" "o" 4; "d" "k" "q" 4; "e" "a" "b" "f" "i" "l" "q" "r" 3;
"a" "o" 5; "b" "g" "n" 4; "c" "o" 4; "d" "k" "q" 4; "e" "a" "b" "f" "i" "l" "q" "r" 3;
"a" "o" 5; "b" "g" "n" 4; "c" "o" 4; "d" "k" "q" 4; "e" "a" "b" "f" "i" "l" "q" "r" 3;
"a" "o" 5; "b" "g" 5; "c" "o" 4; "d" "k" "q" 4; "e" "a" "b" "f" "i" "l" "q" "r" 3;
