none
none
none
none
none
none
none
none
none
none
"d" "x" 1;
"d" "x" 1;
"d" "x" 1;
"d" "x" 1;
"d" "x" 1;
"d" "x" 1;
"d" "x" 1; "e" "x" 1;
"d" "x" 1; "e" "x" 1;
"d" "x" 1; "e" "x" 1;
"d" "x" 1; "e" "x" 1;
"d" "x" 1; "e" "x" 1;
"d" "x" 1; "e" "x" 1;
"d" "x" 1; "e" "x" 1;
"d" "x" 1; "e" "x" 1;
"d" "x" 1; "e" "x" 1;
"d" "x" 1; "e" "x" 1;
"d" "x" 1; "e" "x" 1;
"d" "x" 1; "e" "x" 1;
"d" "x" 1; "e" "x" 1;
"d" "x" 1; "e" "x" 1;
"d" "x" 1; "e" "x" 1;
"d" "k" "x" 1; "e" "x" 1;
"d" "k" "x" 1; "e" "x" 1;
"d" "k" "x" 1; "e" "x" 1;
"d" "k" "x" 1; "e" "x" 1;
"d" "k" "x" 1; "e" "x" 1;
"d" "k" "x" 1; "e" "x" 1;
"a" "z" 1; "d" "k" "x" 1; "e" "x" 1;
"a" "z" 1; "d" "k" "x" 1; "e" "x" 1;
"a" "z" 1; "d" "k" "x" 1; "e" "x" 1;
"a" "z" 1; "d" "k" "x" 1; "e" "x" 1;
"a" "z" 1; "d" "k" "x" 1; "e" "x" 1;
"a" "z" 1; "d" "k" "x" 1; "e" "x" 1;
"a" "z" 1; "d" "k" "x" 1; "e" "x" 1;
"a" "z" 1; "c" "m" 1; "d" "x" 2; "e" "x" 1;
"a" "z" 1; "c" "m" 1; "d" "x" 2; "e" "x" 1;
"a" "z" 1; "c" "m" 1; "d" "x" 2; "e" "x" 1;
"a" "z" 1; "c" "m" 1; "d" "x" 2; "e" "x" 1;
"a" "d" "f" "g" "p" "r" "z" 1; "b" "d" 2; "c" "d" "m" "o" "p" "q" "z" 1; "d" "c" "q" "x" 2; "e" "x" 2;
"a" "d" "f" "g" "p" "r" "z" 1; "b" "d" 2; "c" "d" "m" "o" "p" "q" "z" 1; "d" "c" "q" "x" 2; "e" "x" 2;
"a" "d" "f" "g" "p" "r" "z" 1; "b" "d" 2; "c" "d" "m" "o" "p" "q" "z" 1; "d" "c" "q" "x" 2; "e" "x" 2;
"a" "d" "f" "g" "p" "r" "z" 1; "b" "d" 2; "c" "d" "m" "o" "p" "q" "z" 1; "d" "c" "q" "x" 2; "e" "x" 2;
"a" "d" "f" "g" "p" "r" "z" 1; "b" "d" 2; "c" "d" "m" "o" "p" "q" "z" 1; "d" "c" "q" "x" 2; "e" "x" 2;
"a" "d" "f" "g" "p" "r" "z" 1; "b" "d" 2; "c" "z" 2; "d" "c" "q" "x" 2; "e" "b" "x" 2;
"a" "d" "f" "g" "p" "r" "z" 1; "b" "d" 2; "c" "z" 2; "d" "c" "q" "x" 2; "e" "b" "x" 2;
"a" "d" "f" "g" "p" "r" "z" 1; "b" "d" 2; "c" "z" 2; "d" "c" "q" "x" 2; "e" "b" "x" 2;
"a" "d" "f" "g" "p" "r" "z" 1; "b" "d" 2; "c" "z" 2; "d" "c" "q" "x" 2; "e" "b" "x" 2;
"a" "d" "f" "g" "p" "r" "z" 1; "b" "d" 2; "c" "z" 2; "d" "c" "q" "x" 2; "e" "b" "x" 2;
"a" "f" 2; "b" "d" 2; "c" "z" 2; "d" "c" "q" "x" 2; "e" "b" "x" 2;
"a" "f" 2; "b" "d" 2; "c" "z" 2; "d" "c" "q" "x" 2; "e" "b" "x" 2;
"a" "f" 2; "b" "d" 2; "c" "z" 2; "d" "c" "q" "x" 2; "e" "b" "x" 2;
"a" "f" 2; "b" "d" 2; "c" "z" 2; "d" "c" "q" "x" 2; "e" "b" "x" 2;
"a" "f" 2; "b" "d" 2; "c" "z" 2; "d" "c" "q" "x" 2; "e" "b" "x" 2;
"a" "f" 2; "b" "d" 2; "c" "z" 2; "d" "c" "q" "x" 2; "e" "b" "x" 2;
"a" "f" 2; "b" "d" 2; "c" "z" 2; "d" "c" "q" "x" 2; "e" "b" "x" 2;
"a" "f" 2; "b" "d" 2; "c" "z" 2; "d" "c" "q" "x" 2; "e" "b" "x" 2;
"a" "f" 2; "b" "d" 2; "c" "z" 2; "d" "c" "q" "x" 2; "e" "b" "x" 2;
"a" "f" 2; "b" "d" 2; "c" "z" 2; "d" "c" "q" "x" 2; "e" "b" "x" 2;
"a" "f" 2; "b" "d" 2; "c" "z" 2; "d" "c" "q" "x" 2; "e" "b" "x" 2;
"a" "f" 2; "b" "d" 2; "c" "z" 2; "d" "c" "q" "x" 2; "e" "b" "x" 2;
"a" "f" 2; "b" "d" 2; "c" "z" 2; "d" "c" "q" "x" 2; "e" "b" "x" 2;
"a" "f" 2; "b" "d" 2; "c" "z" 2; "d" "c" "q" "x" 2; "e" "b" "x" 2;
"a" "f" 2; "b" "d" "x" 2; "c" "z" 2; "d" "c" "q" "x" 2; "e" "b" "x" 2;
"a" "f" 2; "b" "d" "o" "x" 2; "c" "z" 2; "d" "c" "q" "x" 2; "e" "b" "x" 2;
"a" "f" 2; "b" "d" "o" "p" "x" 2; "c" "z" 2; "d" "c" "q" "x" 2; "e" "b" "x" 2;
"a" "f" 2; "b" "d" "o" "p" "x" 2; "c" "z" 2; "d" "c" "q" "x" 2; "e" "b" "x" 2;
"a" "f" 2; "b" "d" "o" "p" "x" 2; "c" "z" 2; "d" "x" 3; "e" "b" "x" 2;
"a" "f" 2; "b" "d" "o" "p" "x" 2; "c" "z" 2; "d" "x" 3; "e" "b" "x" 2;
"a" "f" "i" 2; "b" "d" "o" "p" "x" 2; "c" "z" 2; "d" "x" 3; "e" "b" "x" 2;
"a" "f" "i" 2; "b" "d" "o" "p" "x" 2; "c" "z" 2; "d" "x" 3; "e" "b" "x" 2;
"a" "f" "i" 2; "b" "d" "o" "p" "x" 2; "c" "m" "z" 2; "d" "x" 3; "e" "b" "x" 2;
"a" "f" "i" 2; "b" "d" "o" "p" "x" 2; "c" "m" "z" 2; "d" "x" 3; "e" "b" 3;
"a" "f" "i" 2; "b" "d" "o" "p" "x" 2; "c" "m" "q" "z" 2; "d" "c" "x" 3; "e" "b" 3;
"a" "f" "i" 2; "b" "d" "o" "p" "x" 2; "c" "m" "q" "z" 2; "d" "c" "x" 3; "e" "b" 3;
"a" "f" "i" 2; "b" "d" "o" "p" "x" 2; "c" "m" "q" "z" 2; "d" "c" "x" 3; "e" "b" 3;
"a" "f" "i" 2; "b" "d" "o" "p" "x" 2; "c" "m" "q" "z" 2; "d" "c" "x" 3; "e" "b" 3;
"a" "f" "i" 2; "b" "d" "o" "p" "x" 2; "c" "m" "q" "z" 2; "d" "c" "x" 3; "e" "b" 3;
"a" "f" "i" 2; "b" "d" "o" "p" "x" 2; "c" "m" "q" "z" 2; "d" "c" "x" 3; "e" "b" 3;
"a" "f" "i" 2; "b" "d" "o" "p" "x" 2; "c" "m" "q" "z" 2; "d" "c" "x" 3; "e" "b" 3;
"a" "f" "i" 2; "b" "p" 3; "c" "m" "q" "z" 2; "d" "c" "x" 3; "e" "b" 3;
"a" "f" "i" 2; "b" "p" 3; "c" "m" "q" "z" 2; "d" "c" "x" 3; "e" "b" 3;
"a" "f" "i" 2; "b" "p" 3; "c" "m" "q" "z" 2; "d" "c" "x" 3; "e" "b" 3;
"a" "f" "i" 2; "b" "p" 3; "c" "m" "q" "z" 2; "d" "c" "x" 3; "e" "b" 3;
"a" "f" "i" 2; "b" "p" 3; "c" "m" "q" "z" 2; "d" "c" "x" 3; "e" "b" 3;
"a" "f" "i" 2; "b" "p" 3; "c" "m" 3; "d" "c" "x" 3; "e" "b" 3;
"a" "f" "i" 2; "b" "o" "p" 3; "c" "m" 3; "d" "c" "x" 3; "e" "b" "x" 3;
"a" "f" "i" 2; "b" "o" "p" 3; "c" "m" 3; "d" "c" "x" 3; "e" "b" "x" 3;
"a" "f" "i" 2; "b" "o" "p" 3; "c" "m" 3; "d" "c" "x" 3; "e" "b" "x" 3;
"a" "f" "i" 2; "b" "o" "p" 3; "c" "m" 3; "d" "c" "x" 3; "e" "b" "x" 3;
"a" "f" "i" 2; "b" "o" "p" 3; "c" "m" 3; "d" "c" "x" 3; "e" "b" "x" 3;
"a" "f" "i" 2; "b" "o" "p" 3; "c" "m" 3; "d" "c" "x" 3; "e" "b" "x" 3;
"a" "f" "i" 2; "b" "o" "p" 3; "c" "m" 3; "d" "c" "x" 3; "e" "b" "x" 3;
"a" "d" "f" "g" "i" 2; "b" "o" "p" 3; "c" "m" 3; "d" "c" "x" 3; "e" "b" "x" 3;
"a" "d" "f" "g" "i" 2; "b" "o" "p" 3; "c" "m" 3; "d" "c" "x" 3; "e" "b" "x" 3;
"a" "d" "f" "g" "i" 2; "b" "o" "p" 3; "c" "m" 3; "d" "c" "x" 3; "e" "b" "x" 3;
"a" "d" "f" "g" "i" 2; "b" "o" "p" 3; "c" "m" 3; "d" "c" "x" 3; "e" "b" "x" 3;
"a" "d" "f" "g" "i" 2; "b" "o" "p" 3; "c" "m" 3; "d" "c" "x" 3; "e" "b" "x" 3;
"a" "d" "f" "g" "i" 2; "b" "o" "p" 3; "c" "m" 3; "d" "c" "x" 3; "e" "b" "x" 3;
"a" "d" "f" "g" "i" 2; "b" "o" "p" 3; "c" "m" 3; "d" "c" "x" 3; "e" "b" "x" 3;
"a" "d" "f" "g" "i" 2; "b" "o" "p" 3; "c" "m" 3; "d" "c" "x" 3; "e" "b" "x" 3;
"a" "d" "f" "g" "i" "p" 2; "b" "o" "p" 3; "c" "m" 3; "d" "c" "x" 3; "e" "b" "x" 3;
"a" "d" "f" "g" "i" "p" 2; "b" "o" "p" 3; "c" "m" 3; "d" "c" "x" 3; "e" "b" "x" 3;
"a" "d" "f" "g" "i" "p" 2; "b" "o" "p" 3; "c" "m" 3; "d" "c" "x" 3; "e" "b" "x" 3;
"a" "d" "f" "g" "i" "p" 2; "b" "o" "p" 3; "c" "m" 3; "d" "c" "x" 3; "e" "b" "x" 3;
"a" "d" "f" "g" "i" "p" "v" 2; "b" "o" "p" 3; "c" "m" 3; "d" "c" "x" 3; "e" "b" "x" 3;
"a" "d" "f" "g" "i" "p" "v" 2; "b" "o" "p" 3; "c" "m" 3; "d" "c" "x" 3; "e" "b" "x" 3;
"a" "d" "f" "g" "i" "p" "v" 2; "b" "h" "o" "p" 3; "c" "m" 3; "d" "c" "f" "h" "x" 3; "e" "b" "x" 3;
"a" "d" "f" "g" "i" "p" "v" 2; "b" "h" "o" "p" 3; "c" "m" 3; "d" "c" "f" "h" "x" 3; "e" "b" "x" 3;
"a" "d" "f" "g" "i" "p" "v" 2; "b" "h" "o" "p" 3; "c" "m" 3; "d" "c" "f" "h" "x" 3; "e" "b" "x" 3;
"a" "d" "f" "g" "i" "p" "v" 2; "b" "d" "h" "o" "p" 3; "c" "m" 3; "d" "c" "f" "h" "x" 3; "e" "b" "x" 3;
"a" "d" "f" "g" "i" "p" "v" 2; "b" "d" "h" "o" "p" 3; "c" "m" 3; "d" "c" "f" "h" "x" 3; "e" "b" "x" 3;
"a" "d" "f" "g" "i" "p" "v" 2; "b" "d" "h" "o" "p" 3; "c" "m" 3; "d" "c" "f" "h" "x" 3; "e" "b" "x" 3;
"a" "d" "f" "g" "i" "p" "v" 2; "b" "d" "h" "o" "p" 3; "c" "m" 3; "d" "c" "f" "h" "x" 3; "e" "b" "x" 3;
"a" "d" "f" "g" "i" "p" "v" 2; "b" "d" "h" "o" "p" 3; "c" "m" 3; "d" "c" "f" "h" "x" 3; "e" "b" "x" 3;
"a" "d" "f" "g" "i" "p" "v" 2; "b" "d" "h" "o" "p" 3; "c" "m" 3; "d" "c" "f" "h" "x" 3; "e" "b" "x" 3;
"a" "d" "f" "g" "i" "p" "v" 2; "b" "c" "d" "h" "o" "p" 3; "c" "m" 3; "d" "c" "f" "h" "x" 3; "e" "b" "x" 3;
"a" "d" "f" "g" "i" "p" "r" "v" 2; "b" "c" "d" "h" "o" "p" 3; "c" "m" 3; "d" "c" "f" "h" "x" 3; "e" "b" "x" 3;
"a" "d" "f" "g" "i" "p" "r" "v" 2; "b" "c" "d" "h" "o" "p" 3; "c" "m" 3; "d" "c" "f" "h" "x" 3; "e" "x" 4;
"a" "d" "f" "g" "i" "p" "r" "v" 2; "b" "c" "d" "h" "o" "p" 3; "c" "m" 3; "d" "c" "f" "h" "x" 3; "e" "x" 4;
"a" "d" "f" "g" "i" "p" "r" "v" 2; "b" "h" 4; "c" "m" 3; "d" "c" "f" "h" "x" 3; "e" "x" 4;
"a" "d" "f" "g" "i" "p" "r" "v" 2; "b" "h" 4; "c" "m" 3; "d" "c" "f" "h" "x" 3; "e" "x" 4;
"a" "d" "f" "g" "i" "p" "r" "v" 2; "b" "h" 4; "c" "m" 3; "d" "c" "f" "h" "x" 3; "e" "x" 4;
"a" "d" "f" "g" "i" "p" "r" "v" 2; "b" "h" 4; "c" "m" 3; "d" "c" "f" "h" "x" 3; "e" "x" 4;
"a" "d" "f" "g" "i" "p" "r" "v" 2; "b" "h" 4; "c" "m" 3; "d" "c" "f" "h" "x" 3; "e" "x" 4;
"a" "d" "f" "g" "i" "p" "r" "v" 2; "b" "h" 4; "c" "m" 3; "d" "c" "f" "h" "x" 3; "e" "x" 4;
"a" "d" "f" "g" "i" "p" "r" "v" 2; "b" "h" 4; "c" "m" 3; "d" "c" "f" "h" "x" 3; "e" "x" 4;
"a" "d" "f" "g" "i" "p" "r" "v" 2; "b" "h" 4; "c" "m" 3; "d" "c" "f" "h" "x" 3; "e" "x" 4;
"a" "d" "f" "g" "i" "p" "r" "v" 2; "b" "h" 4; "c" "m" 3; "d" "h" 4; "e" "x" 4;
"a" "d" "f" "g" "i" "p" "r" "v" 2; "b" "h" 4; "c" "m" 3; "d" "h" 4; "e" "x" 4;
"a" "d" "f" "g" "i" "p" "r" "v" 2; "b" "h" 4; "c" "m" 3; "d" "h" 4; "e" "x" 4;
"a" "d" "f" "g" "i" "p" "r" "v" 2; "b" "h" 4; "c" "m" 3; "d" "h" 4; "e" "x" 4;
"a" "d" "f" "g" "i" "p" "r" "v" 2; "b" "h" 4; "c" "m" 3; "d" "h" 4; "e" "x" 4;
"a" "d" "f" "g" "i" "p" "r" "v" 2; "b" "h" 4; "c" "m" 3; "d" "h" 4; "e" "x" 4;
"a" "d" "f" "g" "i" "p" "r" "v" 2; "b" "h" 4; "c" "m" 3; "d" "h" 4; "e" "x" 4;
"a" "d" "f" "g" "i" "p" "r" "v" 2; "b" "h" 4; "c" "m" 3; "d" "h" 4; "e" "x" 4;
"a" "d" "f" "g" "i" "p" "r" "v" 2; "b" "h" 4; "c" "m" 3; "d" "h" 4; "e" "x" 4;
"a" "d" "f" "g" "i" "p" "r" "v" 2; "b" "h" 4; "c" "m" 3; "d" "h" 4; "e" "x" 4;
"a" "d" "f" "g" "i" "p" "r" "v" 2; "b" "h" 4; "c" "m" 3; "d" "h" 4; "e" "x" 4;
"a" "d" "f" "g" "i" "p" "q" "r" "v" 2; "b" "h" 4; "c" "m" 3; "d" "h" 4; "e" "x" 4;
"a" "d" 3; "b" "h" 4; "c" "m" 3; "d" "h" 4; "e" "x" 4;
"a" "d" 3; "b" "h" 4; "c" "m" 3; "d" "h" 4; "e" "x" 4;
"a" "d" 3; "b" "h" 4; "c" "m" 3; "d" "h" 4; "e" "x" 4;
"a" "d" 3; "b" "h" 4; "c" "m" 3; "d" "h" 4; "e" "x" 4;
"a" "d" 3; "b" "h" 4; "c" "m" 3; "d" "h" 4; "e" "x" 4;
"a" "d" 3; "b" "h" 4; "c" "m" 3; "d" "h" 4; "e" "x" 4;
"a" "d" 3; "b" "h" 4; "c" "m" 3; "d" "h" 4; "e" "x" 4;
"a" "d" 3; "b" "h" 4; "c" "m" 3; "d" "h" 4; "e" "x" 4;
"a" "d" 3; "b" "h" 4; "c" "m" 3; "d" "h" 4; "e" "x" 4;
"a" "d" 3; "b" "h" 4; "c" "m" 3; "d" "h" 4; "e" "x" 4;
"a" "d" 3; "b" "h" 4; "c" "m" 3; "d" "h" 4; "e" "x" 4;
"a" "d" 3; "b" "h" 4; "c" "m" 3; "d" "h" 4; "e" "x" 4;
"a" "d" 3; "b" "h" 4; "c" "m" 3; "d" "h" 4; "e" "x" 4;
"a" "d" 4; "b" "h" 4; "c" "m" 3; "d" "c" "h" 4; "e" "x" 4;
"a" "d" 4; "b" "h" 4; "c" "m" 3; "d" "c" "h" 4; "e" "x" 4;
"a" "d" 4; "b" "h" 4; "c" "m" 3; "d" "c" "h" 4; "e" "x" 5;
"a" "d" 4; "b" "h" 4; "c" "m" 3; "d" "c" "h" 4; "e" "x" 5;
"a" "d" 4; "b" "h" 4; "c" "m" 3; "d" "c" "h" 4; "e" "x" 5;
"a" "d" 4; "b" "h" "o" 4; "c" "m" 3; "d" "c" "h" 4; "e" "x" 5;
"a" "d" 4; "b" "h" "o" 4; "c" "m" 3; "d" "c" "h" 4; "e" "x" 5;
"a" "d" 4; "b" "h" "o" 4; "c" "m" 3; "d" "c" "h" 4; "e" "x" 5;
"a" "d" 4; "b" "h" "o" 4; "c" "m" 3; "d" "c" "h" 4; "e" "x" 5;
"a" "d" 4; "b" "h" "o" 4; "c" "m" 3; "d" "c" "h" 4; "e" "x" 5;
"a" "d" 4; "b" "h" "o" 4; "c" "m" 3; "d" "c" "h" 4; "e" "x" 5;
"a" "d" 4; "b" "h" "o" 4; "c" "m" 3; "d" "c" "h" 4; "e" "x" 5;
"a" "d" 4; "b" "c" "h" "o" 4; "c" "m" 3; "d" "c" "h" 4; "e" "x" 5;
"a" "d" 4; "b" "c" "h" "o" 4; "c" "m" 3; "d" "c" "h" 4; "e" "x" 5;
"a" "d" 4; "b" "c" "h" "o" 4; "c" "m" 3; "d" "c" "h" 4; "e" "x" 5;
"a" "d" 4; "b" "h" 5; "c" "m" 3; "d" "c" "h" 4; "e" "x" 5;
"a" "d" 4; "b" "h" 5; "c" "m" 3; "d" "c" "h" 4; "e" "x" 5;
"a" "d" 4; "b" "h" 5; "c" "m" 3; "d" "c" "h" 4; "e" "x" 5;
"a" "d" 4; "b" "h" 5; "c" "m" 3; "d" "c" "h" 4; "e" "x" 5;
"a" "d" 4; "b" "h" 5; "c" "m" 3; "d" "c" "h" 4; "e" "x" 5;
"a" "d" 4; "b" "h" 5; "c" "m" 3; "d" "c" "h" 4; "e" "x" 5;
"a" "d" 4; "b" "h" 5; "c" "m" 3; "d" "c" "h" 4; "e" "x" 5;
"a" "d" 4; "b" "h" 5; "c" "m" 3; "d" "c" "h" 4; "e" "x" 5;
"a" "d" 4; "b" "h" 6; "c" "m" 3; "d" "c" 5; "e" "x" 5;
"a" "d" 4; "b" "h" 6; "c" "m" 3; "d" "c" 5; "e" "x" 5;
"a" "d" 4; "b" "h" 6; "c" "m" 3; "d" "c" 5; "e" "x" 5;
"a" "d" 4; "b" "h" 6; "c" "m" 3; "d" "c" 5; "e" "x" 5;
"a" "d" 4; "b" "h" 6; "c" "m" 3; "d" "c" 5; "e" "x" 5;
"a" "d" 4; "b" "h" 6; "c" "m" 3; "d" "c" 5; "e" "x" 5;
"a" "d" 4; "b" "h" 6; "c" "m" 3; "d" "c" 5; "e" "x" 5;
"a" "d" "i" 4; "b" "h" 6; "c" "m" 3; "d" "c" 5; "e" "x" 5;
"a" "d" "i" 4; "b" "h" 6; "c" "m" 3; "d" "c" 5; "e" "x" 5;
"a" "d" "i" 4; "b" "h" 6; "c" "m" 3; "d" "c" 5; "e" "x" 5;
"a" "d" 5; "b" "h" 6; "c" "m" 3; "d" "c" 5; "e" "x" 5;
"a" "d" 5; "b" "h" 6; "c" "m" 3; "d" "c" 5; "e" "x" 5;
"a" "d" 5; "b" "h" 6; "c" "m" 3; "d" "c" 5; "e" "x" 5;
"a" "d" 5; "b" "h" 6; "c" "m" 3; "d" "c" 5; "e" "x" 5;
"a" "d" 5; "b" "h" 6; "c" "m" 3; "d" "c" 5; "e" "x" 5;
"a" "d" 5; "b" "h" 6; "c" "k" "m" 3; "d" "c" 5; "e" "x" 5;
"a" "d" 5; "b" "h" 6; "c" "k" "m" 3; "d" "c" 5; "e" "x" 5;
"a" "d" 5; "b" "h" 6; "c" "k" "m" 3; "d" "c" 5; "e" "x" 5;
"a" "d" 5; "b" "h" 6; "c" "k" "m" 3; "d" "c" 5; "e" "x" 5;
"a" "d" 5; "b" "h" 6; "c" "k" "m" 3; "d" "c" 5; "e" "x" 5;
"a" "d" 5; "b" "h" 6; "c" "k" "m" 3; "d" "c" 5; "e" "x" 5;
"a" "d" 5; "b" "h" 6; "c" "k" "m" 3; "d" "c" 5; "e" "x" 5;
"a" "d" 5; "b" "h" 6; "c" "i" "k" "m" 3; "d" "c" 5; "e" "x" 5;
"a" "d" 5; "b" "h" 6; "c" "i" "k" "m" "z" 3; "d" "c" 5; "e" "x" 5;
"a" "d" 5; "b" "h" 6; "c" "i" "k" "m" "z" 3; "d" "c" 5; "e" "x" 5;
"a" "d" 5; "b" "h" 6; "c" "i" "k" "m" "z" 3; "d" "c" 5; "e" "x" 5;
"a" "d" 5; "b" "h" 6; "c" "i" "k" "m" "z" 3; "d" "c" 5; "e" "x" 5;
"a" "d" 5; "b" "h" 6; "c" "i" "k" "m" "z" 3; "d" "c" 5; "e" "x" 5;
"a" "d" 5; "b" "h" 6; "c" "i" "k" "m" "z" 3; "d" "c" 5; "e" "x" 5;
"a" "d" 5; "b" "h" 6; "c" "i" "k" "m" "z" 3; "d" "c" 5; "e" "x" 5;
"a" "d" 5; "b" "h" 6; "c" "i" 4; "d" "c" 5; "e" "x" 5;
"a" "d" 5; "b" "h" 6; "c" "i" 4; "d" "c" 5; "e" "x" 5;
"a" "d" 5; "b" "h" 6; "c" "i" 4; "d" "c" 5; "e" "x" 5;
"a" "d" 5; "b" "h" 6; "c" "i" 4; "d" "c" 5; "e" "x" 5;
"a" "d" 5; "b" "h" 6; "c" "i" 4; "d" "c" "h" "k" 4; "e" "x" 5;
"a" "d" 5; "b" "h" 6; "c" "i" 4; "d" "a" "c" "h" "k" 4; "e" "d" "x" 5;
"a" "d" 5; "b" "h" 6; "c" "i" 4; "d" "a" "c" "h" "k" 4; "e" "d" "x" 5;
"a" "d" 5; "b" "h" 6; "c" "i" 4; "d" "a" "c" "h" "k" 4; "e" "d" "x" 5;
"a" "d" 5; "b" "h" 6; "c" "i" 4; "d" "a" "c" "h" "k" 4; "e" "x" 6;
"a" "d" 5; "b" "h" 6; "c" "i" 4; "d" "a" "c" "h" "k" 4; "e" "x" 6;
"a" "d" 5; "b" "h" 6; "c" "i" 4; "d" "a" "c" "h" "k" 4; "e" "x" 6;
"a" "d" 5; "b" "h" 6; "c" "i" 4; "d" "a" "c" "h" "k" 4; "e" "x" 6;
"a" "d" 5; "b" "h" 6; "c" "i" 4; "d" "a" "c" "h" "k" 4; "e" "x" 6;
"a" "d" 5; "b" "h" 6; "c" "i" 4; "d" "a" "c" "h" "k" 4; "e" "x" 6;
"a" "d" 5; "b" "h" 6; "c" "i" 4; "d" "a" "c" "h" "k" 4; "e" "x" 6;
