none
none
none
none
none
none
none
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"d" "s" 1; "e" "t" 1;
"d" "s" 1; "e" "t" 1;
"d" "s" 1; "e" "t" 1;
"d" "s" 1; "e" "t" 1;
"d" "s" 1; "e" "t" 1;
"d" "s" 1; "e" "t" "z" 1;
"b" "h" 1; "d" "s" 1; "e" "z" 2;
"b" "h" 1; "d" "s" 1; "e" "z" 2;
"b" "h" 1; "d" "s" 1; "e" "z" 2;
"b" "h" 1; "d" "s" 1; "e" "z" 2;
"b" "h" 1; "d" "s" 1; "e" "z" 2;
"b" "h" 1; "d" "s" 1; "e" "z" 2;
"b" "h" 1; "c" "t" 1; "d" "s" 1; "e" "z" 2;
"b" "h" 1; "c" "t" "u" 1; "d" "s" 1; "e" "z" 2;
"b" "h" 1; "c" "t" "u" 1; "d" "s" 1; "e" "z" 2;
"b" "h" 1; "c" "t" "u" 1; "d" "s" 1; "e" "z" 2;
"b" "h" 1; "c" "t" "u" 1; "d" "s" 1; "e" "z" 2;
"b" "h" 1; "c" "t" "u" 1; "d" "s" 1; "e" "z" 2;
"b" "h" 1; "c" "t" "u" 1; "d" "s" 1; "e" "z" 2;
"b" "h" 1; "c" "t" "u" 1; "d" "s" 1; "e" "z" 2;
"b" "h" 1; "c" "m" "t" "u" 1; "d" "s" 1; "e" "z" 2;
"b" "h" 1; "c" "m" "t" "u" 1; "d" "s" 1; "e" "z" 2;
"a" "m" 2; "b" "h" 1; "c" "j" "m" 2; "d" "s" 2; "e" "p" "t" "w" "z" 2;
"a" "m" 2; "b" "h" 1; "c" "j" "m" 2; "d" "s" 2; "e" "p" "t" "w" "z" 2;
"a" "m" 2; "b" "h" 1; "c" "j" "m" "t" 2; "d" "s" 2; "e" "p" "t" "w" "z" 2;
"a" "m" 2; "b" "h" 1; "c" "j" "m" "t" 2; "d" "s" 2; "e" "p" "t" "w" "z" 2;
"a" "m" 2; "b" "h" 1; "c" "j" "m" "t" 2; "d" "s" 2; "e" "p" "t" "w" "z" 2;
"a" "m" 2; "b" "h" 1; "c" "j" "m" "t" 2; "d" "s" 2; "e" "p" "t" "w" "z" 2;
"a" "m" 2; "b" "h" 1; "c" "j" "m" "t" 2; "d" "s" 2; "e" "p" "t" "w" "z" 2;
"a" "m" 2; "b" "h" 1; "c" "j" "m" "t" 2; "d" "s" 2; "e" "p" "t" "w" "z" 2;
"a" "m" 2; "b" "h" 1; "c" "j" "m" "o" "t" 2; "d" "s" 2; "e" "p" "t" "w" "z" 2;
"a" "m" 2; "b" "h" 1; "c" "j" "m" "o" "t" 2; "d" "s" 2; "e" "p" 3;
"a" "m" 2; "b" "h" 1; "c" "j" "m" "o" "t" 2; "d" "s" 2; "e" "p" "w" 3;
"a" "m" 2; "b" "h" "o" 1; "c" "j" "m" "o" "t" 2; "d" "s" 2; "e" "p" "w" 3;
"a" "m" 2; "b" "h" "o" 1; "c" "j" "m" "o" "t" 2; "d" "s" 2; "e" "p" "w" 3;
"a" "m" 2; "b" "h" "o" 1; "c" "j" "m" "o" "t" 2; "d" "s" 2; "e" "p" "w" 3;
"a" "m" 2; "b" "h" "o" 1; "c" "j" "m" "o" "t" 2; "d" "s" 2; "e" "p" "w" 3;
"a" "m" 2; "b" "h" "o" 1; "c" "j" "m" "o" "t" 2; "d" "s" 2; "e" "p" "w" 3;
"a" "m" 2; "b" "h" "o" 1; "c" "j" "m" "o" "t" 2; "d" "s" 2; "e" "p" "w" 3;
"a" "m" 2; "b" "h" "i" "o" 1; "c" "j" "m" "o" "t" 2; "d" "s" 2; "e" "p" "w" 3;
"a" "m" 2; "b" "h" "i" "j" "o" 1; "c" "j" "m" "o" "t" 2; "d" "s" 2; "e" "p" "w" 3;
"a" "m" 2; "b" "h" "i" "j" "o" 1; "c" "j" "m" "o" "t" 2; "d" "s" 2; "e" "p" "w" 3;
"a" "m" 2; "b" "h" "i" "j" "o" "t" 1; "c" "j" "m" "o" "t" 2; "d" "s" 2; "e" "p" "w" 3;
"a" "m" 2; "b" "h" "i" "j" "o" "t" 1; "c" "j" "m" "o" "t" 2; "d" "s" 2; "e" "p" "w" 3;
"a" "m" 2; "b" "h" "i" "j" "o" "t" 1; "c" "j" "m" "o" "t" 2; "d" "s" 2; "e" "p" "w" 3;
"a" "m" 2; "b" "h" "i" "j" "o" "t" 1; "c" "j" "m" "o" "t" 2; "d" "s" 2; "e" "p" "t" "w" 3;
"a" "m" 2; "b" "h" "i" "j" "o" "t" 1; "c" "j" "m" "o" "t" 2; "d" "s" 2; "e" "p" "t" "w" 3;
"a" "m" 2; "b" "h" "i" "j" "o" "t" 1; "c" "j" "m" "o" "t" 2; "d" "s" 2; "e" "p" "t" "w" 3;
"a" "m" 2; "b" "h" "i" "j" "o" "t" 1; "c" "j" "m" "o" "t" 2; "d" "s" 2; "e" "p" "t" "w" 3;
"a" "m" 2; "b" "h" "i" "j" "o" "t" 1; "c" "j" "m" "o" "t" 2; "d" "s" 2; "e" "p" "t" "w" 3;
"a" "m" 2; "b" "h" "i" "j" "o" "t" 1; "c" "j" "m" "o" "t" 2; "d" "s" 2; "e" "p" "t" "w" 3;
"a" "m" 2; "b" "h" "i" "j" "o" "t" 1; "c" "j" "m" "o" "t" 2; "d" "s" 2; "e" "p" "t" "w" 3;
"a" "m" 2; "b" "h" "i" "j" "o" "t" 1; "c" "j" "m" "o" "t" 2; "d" "s" 2; "e" "p" "t" "w" 3;
"a" "m" 2; "b" "h" "i" "j" "o" "t" 1; "c" "j" "m" "o" "t" 2; "d" "s" 2; "e" "p" "t" "w" 3;
"a" "m" 2; "b" "h" "i" "j" "o" "t" 1; "c" "j" "m" "o" "t" 2; "d" "s" 2; "e" "p" "t" "w" 3;
"a" "m" 2; "b" "h" "i" "j" "o" "t" 1; "c" "j" "m" "o" "t" 2; "d" "m" 3; "e" "p" "t" "w" 3;
"a" "m" 2; "b" "h" "i" "j" "o" "t" 1; "c" "j" "m" "o" "t" 2; "d" "m" 3; "e" "p" "t" "w" 3;
"a" "m" 2; "b" "h" "i" "j" "o" "t" 1; "c" "j" "m" "o" "t" 2; "d" "m" 3; "e" "p" "t" "w" 3;
"a" "m" 2; "b" "h" "i" "j" "o" "t" 1; "c" "j" "m" "o" "t" 2; "d" "m" 3; "e" "p" "t" "w" 3;
"a" "m" 2; "b" "h" "i" "j" "o" "t" 1; "c" "j" "m" "o" "t" 2; "d" "m" 3; "e" "p" "t" "w" 3;
"a" "m" 2; "b" "h" "i" "j" "o" "t" 1; "c" "j" "m" "o" "t" 2; "d" "m" 3; "e" "p" "t" "w" 3;
"a" "m" 2; "b" "h" "i" "j" "o" "t" 1; "c" "j" "m" "o" "t" 2; "d" "m" 3; "e" "p" "t" "w" 3;
"a" "m" 2; "b" "h" "i" "j" "o" "t" 1; "c" "j" "m" "o" "t" 2; "d" "m" 3; "e" "p" "t" "w" 3;
"a" "m" 2; "b" "h" "i" "j" "o" "t" 1; "c" "j" "m" "o" "t" 2; "d" "m" 3; "e" "p" "t" "w" 3;
"a" "m" 2; "b" "h" "i" "j" "o" "t" 1; "c" "j" "m" "o" "t" 2; "d" "m" 3; "e" "p" "t" "w" 3;
"a" "m" 2; "b" "h" "i" "j" "o" "t" 1; "c" "j" "m" "o" "t" 2; "d" "m" 3; "e" "p" "t" "w" 3;
"a" "m" 2; "b" "h" "i" "j" "o" "t" 1; "c" "j" "m" "o" "t" 2; "d" "m" 3; "e" "p" "t" "w" 3;
"a" "m" 2; "b" "h" "i" "j" "o" "t" 1; "c" "j" "m" "o" "t" 2; "d" "m" 3; "e" "p" "t" "w" 3;
"a" "m" 2; "b" "h" "i" "j" "o" "t" 1; "c" "j" "m" "o" "t" 2; "d" "m" 3; "e" "p" "t" "w" 3;
"a" "m" 3; "b" "t" 2; "c" "j" "m" "o" "t" 2; "d" "m" 3; "e" "p" "t" "w" 3;
"a" "m" 3; "b" "t" 2; "c" "j" "m" "o" "t" 2; "d" "m" 3; "e" "p" "t" "w" 3;
"a" "m" 3; "b" "t" 2; "c" "j" "m" "o" "t" 2; "d" "m" 3; "e" "p" "t" "w" 3;
"a" "m" 3; "b" "t" 2; "c" "j" "m" "o" "t" 2; "d" "m" 3; "e" "p" "t" "w" 3;
"a" "m" 3; "b" "t" 2; "c" "j" "m" "o" "t" 2; "d" "m" 3; "e" "p" "t" "w" 3;
"a" "m" 3; "b" "t" 2; "c" "o" 3; "d" "m" 3; "e" "p" "t" "w" 3;
"a" "m" 3; "b" "t" 2; "c" "o" 3; "d" "m" 3; "e" "p" "t" "w" 3;
"a" "m" 3; "b" "t" 2; "c" "o" 3; "d" "m" "s" 3; "e" "p" "t" "w" 3;
"a" "m" 3; "b" "t" 2; "c" "o" 3; "d" "m" "s" 3; "e" "p" "t" "w" 3;
"a" "m" 3; "b" "t" 2; "c" "o" 3; "d" "m" "s" 3; "e" "p" "t" "w" 3;
"a" "m" 3; "b" "t" 2; "c" "o" 3; "d" "m" "s" 3; "e" "w" 4;
"a" "m" 3; "b" "t" 2; "c" "o" 3; "d" "m" "s" 3; "e" "w" 4;
"a" "m" 3; "b" "t" 2; "c" "o" 3; "d" "m" "s" 3; "e" "w" 4;
"a" "m" 3; "b" "t" 2; "c" "o" 3; "d" "m" "s" 3; "e" "w" 4;
"a" "m" 3; "b" "t" 2; "c" "o" 3; "d" "m" "s" 3; "e" "w" 5;
"a" "m" 3; "b" "t" 2; "c" "o" 3; "d" "m" "s" 3; "e" "w" 5;
"a" "m" 3; "b" "t" 2; "c" "o" 3; "d" "m" "s" 3; "e" "w" 5;
"a" "m" 3; "b" "t" 2; "c" "o" 3; "d" "m" "s" 3; "e" "w" 5;
"a" "m" 3; "b" "t" 2; "c" "o" 3; "d" "m" "s" 3; "e" "w" 5;
"a" "m" 3; "b" "t" 2; "c" "o" 3; "d" "m" "s" 3; "e" "w" 6;
"a" "m" 3; "b" "t" 2; "c" "o" 3; "d" "m" "s" 3; "e" "w" 6;
"a" "m" 3; "b" "t" 2; "c" "o" 3; "d" "m" "s" 3; "e" "w" 6;
"a" "m" 3; "b" "t" 2; "c" "o" 3; "d" "m" "s" 3; "e" "w" 6;
"a" "m" 3; "b" "t" 2; "c" "o" 3; "d" "m" "s" 3; "e" "w" 6;
"a" "m" 3; "b" "t" 2; "c" "o" 3; "d" "m" "s" 3; "e" "w" 6;
"a" "m" 3; "b" "t" 2; "c" "o" 3; "d" "m" "s" 3; "e" "w" 6;
"a" "m" 3; "b" "t" 2; "c" "o" 3; "d" "m" "s" 3; "e" "w" 6;
"a" "m" 3; "b" "t" 2; "c" "o" "t" 3; "d" "m" "s" 3; "e" "w" 6;
"a" "m" 3; "b" "t" 2; "c" "o" "t" 3; "d" "m" "s" 3; "e" "w" 6;
"a" "m" 3; "b" "t" 2; "c" "o" "t" 3; "d" "m" "s" 3; "e" "w" 6;
"a" "m" 3; "b" "t" 2; "c" "o" "t" 3; "d" "m" "s" 3; "e" "w" 6;
"a" "m" 3; "b" "t" 2; "c" "o" "t" 3; "d" "m" "s" 3; "e" "w" 6;
"a" "m" 3; "b" "t" 2; "c" "o" "t" 3; "d" "m" "s" 3; "e" "w" 6;
"a" "m" 3; "b" "t" 2; "c" "o" "t" 3; "d" "j" "m" "s" 3; "e" "w" 6;
"a" "m" 3; "b" "t" "w" 2; "c" "m" "o" "t" 3; "d" "j" "m" "s" 3; "e" "w" 6;
"a" "m" 3; "b" "t" "w" 2; "c" "m" "o" "t" 3; "d" "j" "m" "s" 3; "e" "w" 6;
"a" "m" 3; "b" "t" "w" 2; "c" "m" "o" "t" 3; "d" "j" "m" "s" 3; "e" "w" 6;
"a" "m" 3; "b" "t" "w" 2; "c" "m" "o" "t" 3; "d" "j" "m" "s" 3; "e" "w" 6;
"a" "m" 3; "b" "t" "w" 2; "c" "m" "o" "t" 3; "d" "j" "m" "s" 3; "e" "w" 6;
"a" "m" 3; "b" "t" "w" 2; "c" "m" "o" "t" 3; "d" "j" "m" "s" 3; "e" "w" 6;
"a" "m" 3; "b" "t" "w" 2; "c" "m" "o" "t" 3; "d" "j" "m" "s" 3; "e" "w" 6;
"a" "m" 3; "b" "t" "w" 2; "c" "m" "o" "t" 3; "d" "j" "m" "s" 3; "e" "w" 6;
"a" "m" 3; "b" "t" "w" 2; "c" "m" "o" "t" 3; "d" "j" "m" "s" 3; "e" "w" 6;
"a" "m" 3; "b" "t" "w" 2; "c" "m" "o" "t" 3; "d" "j" "m" "s" 3; "e" "w" 6;
"a" "m" 3; "b" "t" "w" 2; "c" "m" "o" "t" 3; "d" "j" "m" "s" 3; "e" "w" 6;
"a" "m" 3; "b" "t" "w" 2; "c" "m" "o" "t" 3; "d" "j" "m" "s" 3; "e" "w" 6;
"a" "m" 3; "b" "t" "w" 2; "c" "k" "m" "o" "t" 3; "d" "j" "m" "s" 3; "e" "w" 6;
"a" "m" 3; "b" "t" "w" 2; "c" "k" "m" "o" "t" 3; "d" "j" "m" "s" 3; "e" "w" 6;
"a" "m" 3; "b" "t" "w" 2; "c" "k" "m" "o" "t" 3; "d" "j" "m" "s" 3; "e" "w" 6;
"a" "m" 3; "b" "t" "w" 2; "c" "k" "m" "o" "t" 3; "d" "j" "m" "s" 3; "e" "w" 6;
"a" "m" 3; "b" "t" "w" 2; "c" "k" "m" "o" "t" 3; "d" "j" "m" "s" 3; "e" "w" 6;
"a" "m" 3; "b" "t" "w" 2; "c" "k" "m" "o" "t" 3; "d" "j" "m" "s" 3; "e" "w" 6;
"a" "m" 3; "b" "t" "w" 2; "c" "k" "m" "o" "t" 3; "d" "j" 4; "e" "w" 6;
"a" "m" 3; "b" "t" "w" 2; "c" "k" "m" "o" "t" 3; "d" "j" 4; "e" "w" 6;
"a" "m" 3; "b" "t" "w" 2; "c" "k" "m" "o" "t" 3; "d" "j" 4; "e" "w" 6;
"a" "m" 3; "b" "t" "w" 2; "c" "k" "m" "o" "t" 3; "d" "j" 4; "e" "w" 6;
"a" "m" 3; "b" "t" "w" 2; "c" "k" "m" "o" "t" 3; "d" "j" 4; "e" "w" 6;
"a" "m" 3; "b" "t" "w" 2; "c" "k" "m" "o" "t" 3; "d" "j" 4; "e" "w" 6;
"a" "m" 3; "b" "t" "w" 2; "c" "k" "m" "o" "t" 3; "d" "j" 4; "e" "w" 6;
"a" "m" 3; "b" "t" "w" 2; "c" "k" "m" "o" "t" 3; "d" "j" 4; "e" "w" 6;
"a" "m" 3; "b" "t" "w" 2; "c" "k" "m" "o" "t" 3; "d" "j" 4; "e" "w" 6;
"a" "m" 3; "b" "t" "w" 2; "c" "k" "m" "o" "t" 3; "d" "j" 4; "e" "w" 6;
"a" "m" 3; "b" "t" "w" 2; "c" "k" "m" "o" "t" 3; "d" "j" 4; "e" "w" 6;
"a" "m" 3; "b" "t" "w" 2; "c" "k" "m" "o" "t" 3; "d" "j" 4; "e" "w" 6;
"a" "m" 3; "b" "t" "w" 2; "c" "k" "m" "o" "t" 3; "d" "j" 4; "e" "w" 6;
"a" "m" 3; "b" "t" "w" 2; "c" "k" "m" "o" "t" 3; "d" "j" 4; "e" "w" 6;
"a" "m" 3; "b" "t" "w" 2; "c" "k" "m" "o" "t" 3; "d" "j" 4; "e" "w" 6;
"a" "m" 3; "b" "p" "t" "w" 2; "c" "h" "j" "k" "m" "o" "r" "t" 3; "d" "j" 4; "e" "w" 6;
"a" "m" 3; "b" "p" "t" "w" 2; "c" "h" "j" "k" "m" "o" "r" "t" 3; "d" "j" 4; "e" "w" 6;
"a" "m" 3; "b" "p" "t" "w" 2; "c" "h" "j" "k" "m" "o" "r" "t" 3; "d" "j" 4; "e" "w" 6;
"a" "m" 3; "b" "p" "t" "w" 2; "c" "h" "j" "k" "m" "o" "r" "t" 3; "d" "j" 4; "e" "w" 6;
"a" "m" 3; "b" "p" "t" "w" 2; "c" "h" "j" "k" "m" "o" "r" "t" 3; "d" "j" 4; "e" "w" 6;
"a" "m" 3; "b" "p" "t" "w" 2; "c" "h" "j" "k" "m" "o" "r" "t" 3; "d" "j" 4; "e" "w" 6;
"a" "m" 3; "b" "p" "t" "w" 2; "c" "h" "j" "k" "m" "o" "r" "t" 3; "d" "j" 4; "e" "w" 6;
"a" "m" "t" 3; "b" "h" "p" "t" "w" 2; "c" "h" "j" "k" "m" "o" "r" "t" 3; "d" "j" 4; "e" "w" 6;
"a" "m" "t" 3; "b" "h" "p" "t" "w" 2; "c" "h" "j" "k" "m" "o" "r" "t" 3; "d" "j" 4; "e" "w" 6;
"a" "m" "t" 3; "b" "h" "p" "t" "w" 2; "c" "h" "j" "k" "m" "o" "r" "t" 3; "d" "j" 4; "e" "w" 6;
"a" "m" "t" 3; "b" "h" "p" "t" "w" 2; "c" "h" "j" "k" "m" "o" "r" "t" 3; "d" "j" 4; "e" "w" 6;
"a" "m" "t" 3; "b" "h" "o" "p" "t" "w" 2; "c" "h" "j" "k" "m" "o" "r" "t" 3; "d" "j" 4; "e" "w" 6;
"a" "m" "t" 3; "b" "t" 3; "c" "h" "j" "k" "m" "o" "r" "t" 3; "d" "j" 4; "e" "w" 6;
"a" "m" "t" 3; "b" "t" 3; "c" "h" "j" "k" "m" "o" "r" "t" 3; "d" "j" 4; "e" "w" 6;
"a" "m" "t" 3; "b" "t" 3; "c" "h" "j" "k" "m" "o" "r" "t" 3; "d" "j" 4; "e" "w" 6;
"a" "m" "t" 3; "b" "t" 3; "c" "h" "j" "k" "m" "o" "r" "t" 3; "d" "j" 4; "e" "w" 6;
"a" "m" "t" 3; "b" "t" 3; "c" "h" "j" "k" "m" "o" "r" "t" 3; "d" "j" 4; "e" "w" 6;
"a" "m" "t" 3; "b" "t" 3; "c" "h" "j" "k" "m" "o" "r" "t" 3; "d" "j" 4; "e" "w" 6;
"a" "m" "t" 3; "b" "t" 3; "c" "h" "j" "k" "m" "o" "r" "t" 3; "d" "j" 4; "e" "w" 6;
"a" "m" "t" 3; "b" "t" 3; "c" "h" "j" "k" "m" "o" "r" "t" 3; "d" "j" 4; "e" "w" 6;
"a" "m" "t" 3; "b" "t" 3; "c" "h" "j" "k" "m" "o" "r" "t" 3; "d" "j" 4; "e" "w" 6;
"a" "m" "t" 3; "b" "t" 3; "c" "h" "j" "k" "m" "o" "r" "t" 3; "d" "j" 4; "e" "w" 6;
"a" "m" "t" 3; "b" "t" 3; "c" "t" 4; "d" "j" 4; "e" "w" 6;
"a" "m" "t" 3; "b" "h" "t" 3; "c" "t" 4; "d" "j" 4; "e" "w" 6;
"a" "m" "t" 3; "b" "h" "t" 3; "c" "t" 4; "d" "j" 4; "e" "w" 6;
"a" "m" "t" 3; "b" "h" "t" 3; "c" "j" "t" 4; "d" "j" 4; "e" "w" 6;
"a" "m" "t" 3; "b" "h" "t" 3; "c" "j" "t" 4; "d" "j" 4; "e" "w" 6;
"a" "m" "t" 3; "b" "h" "t" 3; "c" "j" "t" 4; "d" "j" 4; "e" "w" 6;
"a" "m" "t" 3; "b" "h" "t" 3; "c" "j" "t" 4; "d" "j" 4; "e" "w" 6;
"a" "m" "t" 3; "b" "h" "t" 3; "c" "j" "t" 4; "d" "j" 4; "e" "w" 6;
"a" "m" "t" 3; "b" "h" "t" 3; "c" "j" "t" 4; "d" "j" 4; "e" "w" 6;
"a" "m" "t" 3; "b" "h" "t" 3; "c" "j" "t" 4; "d" "j" 4; "e" "w" 6;
"a" "m" "t" 3; "b" "h" "t" 3; "c" "j" "m" "t" 4; "d" "j" 4; "e" "w" 6;
"a" "m" "t" 3; "b" "h" "t" 3; "c" "j" "m" "t" 4; "d" "j" 4; "e" "w" 6;
"a" "m" "t" 3; "b" "h" "t" 3; "c" "j" "m" "t" 4; "d" "j" 4; "e" "w" 6;
"a" "m" "t" 3; "b" "h" "t" 3; "c" "j" "m" "t" 4; "d" "j" 4; "e" "w" 6;
"a" "m" "t" 3; "b" "h" "t" 3; "c" "j" "m" "t" 4; "d" "j" 4; "e" "w" 6;
"a" "m" "t" 3; "b" "h" "t" 3; "c" "j" "m" "t" 4; "d" "j" "m" 4; "e" "w" 6;
"a" "m" "t" 3; "b" "h" "t" 3; "c" "j" "m" "t" 4; "d" "j" "m" 4; "e" "w" 6;
"a" "m" "t" 3; "b" "h" "t" 3; "c" "j" "m" "t" 4; "d" "j" "m" 4; "e" "w" 6;
"a" "m" "t" 3; "b" "h" "t" 3; "c" "j" "m" "t" 4; "d" "j" "m" 4; "e" "w" 6;
"a" "m" "q" "t" 3; "b" "h" "t" 3; "c" "j" "m" "t" 4; "d" "j" "m" 4; "e" "w" 6;
"a" "m" "q" "t" 3; "b" "h" "t" 3; "c" "j" "m" "t" 4; "d" "j" "m" 4; "e" "w" 6;
"a" "m" "q" "t" 3; "b" "h" "t" 3; "c" "j" "m" "t" 4; "d" "j" "m" 4; "e" "w" 6;
"a" "m" "q" "t" 3; "b" "h" "t" 3; "c" "j" "m" "t" 4; "d" "j" "m" 4; "e" "w" 6;
"a" "m" "q" "t" 3; "b" "h" "t" 3; "c" "j" "m" "t" 4; "d" "j" "m" 4; "e" "w" 6;
"a" "m" "q" "t" 3; "b" "h" "t" 3; "c" "j" "m" "t" 4; "d" "j" "m" 4; "e" "w" 6;
"a" "m" "q" "t" 3; "b" "h" "t" 3; "c" "j" "m" "t" 4; "d" "j" "m" 4; "e" "w" 6;
"a" "m" "q" "t" 3; "b" "h" "t" 3; "c" "j" "m" "t" 4; "d" "j" "m" 4; "e" "w" 7;
"a" "m" "q" "t" 3; "b" "h" "t" 3; "c" "j" "m" "t" 4; "d" "j" "m" 4; "e" "w" 7;
"a" "m" "q" "t" 3; "b" "h" "t" 3; "c" "j" "m" "t" 4; "d" "j" "m" 4; "e" "w" 7;
"a" "m" "q" "t" 3; "b" "h" "t" 3; "c" "j" "m" "t" 4; "d" "j" "m" 4; "e" "w" 7;
"a" "m" "q" "t" 3; "b" "h" "t" 3; "c" "j" "m" "t" 4; "d" "j" 5; "e" "w" 7;
"a" "m" "q" "t" 3; "b" "h" "t" 3; "c" "j" "m" "t" 4; "d" "j" 5; "e" "w" 7;
"a" "m" "q" "t" 3; "b" "h" "t" 3; "c" "j" "m" "t" 4; "d" "j" 5; "e" "w" 7;
"a" "m" "q" "t" 3; "b" "h" "t" 3; "c" "j" "m" "t" 4; "d" "j" 5; "e" "w" 7;
"a" "m" "q" "t" 3; "b" "h" "t" 3; "c" "j" "m" "t" 4; "d" "j" 5; "e" "w" 7;
"a" "m" "q" "t" 3; "b" "h" "t" 3; "c" "j" "m" "t" 4; "d" "j" 5; "e" "w" 7;
"a" "m" "q" "t" 3; "b" "h" "t" 3; "c" "j" "m" "t" 4; "d" "j" 5; "e" "w" 7;
"a" "m" "q" "t" 3; "b" "h" "t" 3; "c" "j" "m" "t" 4; "d" "j" 5; "e" "w" 7;
"a" "m" "q" "t" 3; "b" "h" "t" 3; "c" "j" "m" "t" 4; "d" "j" 5; "e" "w" 7;
"a" "m" "q" "t" 3; "b" "h" "t" 3; "c" "j" "m" "t" 4; "d" "j" 5; "e" "w" 7;
"a" "m" "q" "t" 3; "b" "h" "t" 3; "c" "j" "m" "t" 4; "d" "j" 5; "e" "w" 7;
"a" "m" "q" "t" 3; "b" "h" "t" 3; "c" "j" "m" "t" 4; "d" "j" 5; "e" "w" 7;
"a" "m" "q" "t" 3; "b" "h" "t" 3; "c" "j" "m" "t" 4; "d" "j" 5; "e" "w" 7;
"a" "m" "q" "t" 3; "b" "h" "t" 3; "c" "j" "m" "t" 4; "d" "j" 5; "e" "w" 7;
