none
none
none
none
none
none
none
none
none
"b" "z" 1;
"b" "z" 1;
"b" "z" 1;
"b" "z" 1;
"b" "z" 1;
"b" "z" 1;
"b" "z" 1;
"a" "i" 1; "b" "z" 1; "d" "h" 1;
"a" "i" 1; "b" "z" 1; "d" "h" 1;
"a" "i" 1; "b" "z" 1; "d" "h" 1;
"a" "i" 1; "b" "v" "z" 1; "d" "h" 1; "e" "x" 1;
"a" "i" 1; "b" "v" "z" 1; "d" "h" 1; "e" "x" 1;
"a" "i" 1; "b" "v" "z" 1; "d" "h" 1; "e" "x" 1;
"a" "i" 1; "b" "v" "z" 1; "d" "h" 1; "e" "x" 1;
"a" "i" 1; "b" "v" "z" 1; "d" "h" 1; "e" "x" 1;
"a" "i" 1; "b" "v" "z" 1; "d" "h" 1; "e" "x" 1;
"a" "i" 1; "b" "v" "z" 1; "d" "h" 1; "e" "x" 1;
"a" "i" 1; "b" "v" 2; "d" "h" 2; "e" "s" "x" 1;
"a" "i" 1; "b" "v" 2; "d" "h" 2; "e" "j" "s" "x" 1;
"a" "i" "q" 2; "b" "v" 2; "c" "j" 2; "d" "h" 2; "e" "j" "t" 2;
"a" "i" "q" 2; "b" "v" 2; "c" "j" 2; "d" "h" 2; "e" "j" "t" 2;
"a" "i" "q" 2; "b" "v" 2; "c" "j" 2; "d" "h" 2; "e" "j" "t" 2;
"a" "i" "q" 2; "b" "v" 2; "c" "j" 2; "d" "h" 2; "e" "j" "t" 2;
"a" "i" "q" 2; "b" "h" "v" 2; "c" "j" 2; "d" "h" 2; "e" "j" "t" 2;
"a" "i" "q" 2; "b" "h" "v" 2; "c" "j" 2; "d" "h" 2; "e" "j" "t" 2;
"a" "i" "q" 2; "b" "h" "v" 2; "c" "j" 2; "d" "h" 2; "e" "j" "t" 2;
"a" "i" "q" 2; "b" "h" "m" "v" 2; "c" "j" "r" 2; "d" "h" 2; "e" "j" "t" 2;
"a" "i" "q" 2; "b" "h" "m" "v" 2; "c" "j" "m" "r" 2; "d" "h" 2; "e" "j" "t" 2;
"a" "i" "q" 2; "b" "h" "m" "v" 2; "c" "j" "m" "r" 2; "d" "h" 2; "e" "j" "t" 2;
"a" "i" "q" 2; "b" "h" "m" "v" 2; "c" "j" "m" "r" "x" 2; "d" "h" 2; "e" "j" "t" "v" "y" 2;
"a" "i" "q" 2; "b" "h" "j" "m" "v" 2; "c" "j" "m" "r" "x" 2; "d" "h" 2; "e" "j" "t" "v" "y" 2;
"a" "i" "q" 2; "b" "h" "j" "m" "v" 2; "c" "j" "m" "r" "x" 2; "d" "h" "i" 2; "e" "j" "t" "v" "y" 2;
"a" "i" "q" 2; "b" "h" "j" "m" "v" 2; "c" "j" "m" "r" "x" 2; "d" "h" "i" 2; "e" "j" "t" "v" "y" 2;
"a" "i" "q" 2; "b" "h" "j" "m" "v" 2; "c" "j" "m" "r" "x" 2; "d" "h" "i" 2; "e" "j" "t" "v" "y" 2;
"a" "i" "q" 2; "b" "h" "j" "m" "v" 2; "c" "j" "m" "r" "x" 2; "d" "h" "i" 2; "e" "j" "t" "v" "y" 2;
"a" "i" "q" 2; "b" "h" "j" "m" "v" 2; "c" "j" "m" "r" "x" 2; "d" "h" "i" 2; "e" "j" "t" "v" "y" 2;
"a" "i" "q" 2; "b" "h" "j" "m" "v" 2; "c" "j" "m" "r" "x" 2; "d" "h" "i" 2; "e" "j" "t" "v" "y" 2;
"a" "i" "q" 2; "b" "h" "j" "m" "v" 2; "c" "j" "m" "r" "x" 2; "d" "h" "i" 2; "e" "j" "t" "v" "y" 2;
"a" "i" "q" 2; "b" "h" "j" "m" "v" 2; "c" "j" "m" "r" "x" 2; "d" "h" "i" 2; "e" "j" "t" "v" "y" 2;
"a" "i" "q" 2; "b" "h" "j" "m" "v" 2; "c" "j" "m" "r" "x" 2; "d" "h" "i" 2; "e" "j" "t" "v" "y" 2;
"a" "i" 3; "b" "h" "j" "m" "v" 2; "c" "j" "m" "r" "x" 2; "d" "h" "i" 2; "e" "j" "t" "v" "y" 2;
"a" "i" 3; "b" "h" "j" "m" "v" 2; "c" "j" "m" "r" "x" 2; "d" "h" "i" 2; "e" "v" 3;
"a" "i" 3; "b" "h" "j" "m" "v" 2; "c" "j" "m" "r" "x" 2; "d" "i" 3; "e" "v" 3;
"a" "i" 3; "b" "h" "j" "m" "v" 2; "c" "j" "m" "r" "x" 2; "d" "i" 3; "e" "v" 3;
"a" "i" 3; "b" "h" "j" "m" "v" 2; "c" "j" "m" "r" "x" 2; "d" "i" 3; "e" "v" 3;
"a" "i" 3; "b" "h" "j" "m" "v" 2; "c" "j" "m" "r" "x" 2; "d" "i" 3; "e" "v" 3;
"a" "i" 3; "b" "h" "j" "m" "v" 2; "c" "j" "m" "r" "x" 2; "d" "i" 3; "e" "v" 3;
"a" "i" 3; "b" "h" "j" "m" "v" 2; "c" "e" "j" "m" "r" "x" 2; "d" "i" 3; "e" "v" 3;
"a" "i" 3; "b" "m" 3; "c" "e" "j" "m" "r" "x" 2; "d" "i" 3; "e" "v" 3;
"a" "i" 3; "b" "m" 3; "c" "e" "j" "m" "r" "x" 2; "d" "i" 3; "e" "v" 3;
"a" "i" 3; "b" "m" 3; "c" "e" "j" "m" "r" "x" 2; "d" "i" 3; "e" "v" 3;
"a" "i" 3; "b" "m" 3; "c" "e" "j" "m" "r" "x" 2; "d" "i" 3; "e" "v" 3;
"a" "i" 3; "b" "m" 3; "c" "e" "j" "m" "r" "x" 2; "d" "i" 3; "e" "v" 3;
"a" "i" 3; "b" "m" 3; "c" "e" "j" "m" "r" "x" 2; "d" "i" 3; "e" "v" 3;
"a" "i" 3; "b" "m" 3; "c" "e" "j" "m" "r" "x" 2; "d" "i" 3; "e" "v" 3;
"a" "i" 3; "b" "m" 3; "c" "e" "j" "m" "r" "x" 2; "d" "i" 3; "e" "v" 3;
"a" "i" 3; "b" "m" 3; "c" "e" "j" "m" "r" "x" 2; "d" "i" 3; "e" "v" 3;
"a" "i" 3; "b" "m" 3; "c" "e" "j" "m" "r" "x" 2; "d" "i" 3; "e" "v" 3;
"a" "i" 3; "b" "m" 3; "c" "e" "j" "m" "r" "x" 2; "d" "i" 3; "e" "v" 3;
"a" "i" 3; "b" "m" 3; "c" "e" "j" "m" "r" "x" 2; "d" "i" 3; "e" "v" 3;
"a" "i" 3; "b" "m" 3; "c" "e" "j" "m" "r" "x" 2; "d" "i" 3; "e" "v" 3;
"a" "i" 3; "b" "m" 3; "c" "e" "j" "m" "r" "x" 2; "d" "i" 4; "e" "v" 3;
"a" "i" 3; "b" "m" 3; "c" "e" "j" "m" "r" "x" 2; "d" "i" 4; "e" "v" 3;
"a" "i" 3; "b" "m" 3; "c" "e" "j" "m" "r" "x" 2; "d" "i" 4; "e" "v" 3;
"a" "i" 3; "b" "m" 3; "c" "e" "j" "m" "r" "x" 2; "d" "i" 4; "e" "v" 3;
"a" "i" 3; "b" "m" 3; "c" "e" "j" "m" "r" "x" 2; "d" "i" 4; "e" "v" 3;
"a" "f" "i" "q" "s" 2; "b" "m" 3; "c" "e" "j" "m" "r" "x" 2; "d" "i" 4; "e" "v" 3;
"a" "f" "i" "q" "s" 2; "b" "m" 3; "c" "e" "j" "m" "r" "x" 2; "d" "i" 4; "e" "j" "v" 3;
"a" "f" "i" "q" "s" 2; "b" "m" 3; "c" "e" "j" "m" "r" "x" 2; "d" "i" 4; "e" "j" "v" 3;
"a" "f" "i" "q" "s" 2; "b" "m" 3; "c" "e" "j" "m" "r" "x" 2; "d" "i" 4; "e" "j" "v" 3;
"a" "f" "i" "q" "s" 2; "b" "m" 3; "c" "e" "j" "m" "r" "x" 2; "d" "i" 4; "e" "j" "v" 3;
"a" "f" "i" "q" "s" 2; "b" "m" 3; "c" "e" "j" "m" "r" "x" 2; "d" "i" 4; "e" "j" "v" 3;
"a" "f" "i" "q" "s" 2; "b" "m" 3; "c" "e" "j" "m" "r" "x" 2; "d" "i" 4; "e" "j" "v" 3;
"a" "s" 3; "b" "m" "n" 3; "c" "e" "j" "m" "r" "x" 2; "d" "i" 4; "e" "j" "v" 3;
"a" "s" 3; "b" "m" "n" 3; "c" "e" "j" "m" "r" "x" 2; "d" "i" 4; "e" "j" "v" 3;
"a" "s" 4; "b" "m" "n" 3; "c" "e" "j" "m" "r" "x" 2; "d" "i" 4; "e" "j" "v" 3;
"a" "s" 4; "b" "m" "n" 3; "c" "e" "j" "m" "r" "x" 2; "d" "i" 4; "e" "j" "v" 3;
"a" "s" 4; "b" "j" "m" "n" 3; "c" "e" "j" "m" "r" "x" 2; "d" "i" 4; "e" "j" "v" 3;
"a" "s" 4; "b" "j" "m" "n" 3; "c" "e" "j" "m" "r" "x" 2; "d" "i" 4; "e" "j" "v" 3;
"a" "s" 4; "b" "j" "m" "n" 3; "c" "e" "j" "m" "r" "x" 2; "d" "i" 4; "e" "j" "v" 3;
"a" "s" 4; "b" "j" "m" "n" 3; "c" "e" "j" "m" "r" "x" 2; "d" "i" 4; "e" "j" "v" 3;
"a" "s" 4; "b" "j" "m" "n" 3; "c" "e" "j" "m" "r" "x" 2; "d" "i" 4; "e" "j" "v" 3;
"a" "s" 4; "b" "j" "m" "n" 3; "c" "e" "j" "m" "r" "x" 2; "d" "i" 4; "e" "j" "v" 3;
"a" "s" 4; "b" "j" "m" "n" 3; "c" "e" "j" "m" "r" "x" 2; "d" "i" 4; "e" "j" "v" 3;
"a" "s" 4; "b" "j" "m" "n" 3; "c" "e" "j" "m" "r" "x" 2; "d" "i" 4; "e" "j" "v" 3;
"a" "s" 4; "b" "j" "m" "n" 3; "c" "e" "j" "m" "r" "x" 2; "d" "i" 4; "e" "j" "v" 3;
"a" "s" 4; "b" "j" "m" "n" 3; "c" "e" "j" "m" "r" "u" "x" 2; "d" "i" 4; "e" "j" "v" 3;
"a" "s" 4; "b" "j" "m" "n" 3; "c" "e" "j" "m" "r" "u" "x" 2; "d" "i" 4; "e" "j" "v" 3;
"a" "s" 4; "b" "j" "m" "n" 3; "c" "e" "j" "m" "r" "u" "x" 2; "d" "i" 4; "e" "j" "v" 3;
"a" "s" 4; "b" "j" "m" "n" 3; "c" "e" "j" "m" "r" "u" "x" 2; "d" "i" 4; "e" "j" "v" 3;
"a" "s" 4; "b" "j" "m" "n" 3; "c" "e" "j" "m" "r" "u" "x" 2; "d" "i" 4; "e" "j" "v" 3;
"a" "s" 4; "b" "j" "m" "n" 3; "c" "e" "j" "m" "r" "u" "x" 2; "d" "i" 4; "e" "j" "v" 3;
"a" "s" 4; "b" "j" "m" "n" 3; "c" "e" "j" "m" "r" "u" "x" 2; "d" "i" 4; "e" "j" "v" 3;
"a" "s" 4; "b" "j" "m" "n" 3; "c" "e" "j" "m" "r" "u" "x" 2; "d" "i" 5; "e" "j" "v" 3;
"a" "s" 4; "b" "j" "m" "n" 3; "c" "e" "j" "m" "o" "r" "u" "x" 2; "d" "i" 5; "e" "j" "v" 3;
"a" "s" 4; "b" "j" "m" "n" 3; "c" "e" "j" "m" "o" "r" "u" "x" 2; "d" "i" 5; "e" "j" "v" 3;
"a" "s" 4; "b" "j" "m" "n" 3; "c" "e" "j" "m" "o" "r" "s" "u" "x" 2; "d" "i" 5; "e" "j" "v" "y" 3;
"a" "s" 4; "b" "j" "m" "n" 3; "c" "e" "j" "m" "o" "r" "s" "u" "x" 2; "d" "i" 5; "e" "j" "v" "y" 3;
"a" "s" 4; "b" "j" "m" "n" 3; "c" "e" "j" "l" "m" "o" "r" "s" "u" "x" 2; "d" "i" 5; "e" "j" "v" "y" 3;
"a" "s" 4; "b" "j" "m" "n" 3; "c" "e" "j" "l" "m" "o" "r" "s" "u" "x" 2; "d" "i" 5; "e" "j" "v" "y" 3;
"a" "s" 4; "b" "j" "m" "n" 3; "c" "e" "j" "l" "m" "o" "r" "s" "u" "x" 2; "d" "i" 5; "e" "j" "v" "y" 3;
"a" "s" 3; "b" "j" "m" "n" 3; "c" "e" "j" "l" "m" "o" "r" "s" "u" "x" 2; "d" "i" 5; "e" "j" "v" "y" 3;
"a" "s" 3; "b" "j" "m" "n" 3; "c" "e" "j" "l" "m" "o" "r" "s" "u" "x" 2; "d" "i" 5; "e" "j" "v" "y" 3;
"a" "s" 3; "b" "j" "m" "n" 3; "c" "e" "j" "l" "m" "o" "r" "s" "u" "x" 2; "d" "i" 5; "e" "j" "v" "y" 3;
"a" "s" 3; "b" "j" "m" "n" 3; "c" "e" "j" "l" "m" "o" "r" "s" "u" "x" 2; "d" "i" 5; "e" "j" "v" "y" 3;
"a" "s" 3; "b" "j" "m" "n" 3; "c" "e" "j" "l" "m" "o" "r" "s" "u" "x" 2; "d" "i" 5; "e" "j" "v" "y" 3;
"a" "s" 3; "b" "j" "m" "n" 3; "c" "e" "j" "l" "m" "o" "r" "s" "u" "x" 2; "d" "i" 5; "e" "j" "v" "y" 3;
"a" "s" 3; "b" "j" "m" "n" 3; "c" "e" "j" "l" "m" "o" "r" "s" "u" "x" 2; "d" "i" 5; "e" "j" "v" "y" 3;
"a" "s" 3; "b" "j" "m" "n" 3; "c" "e" "j" "l" "m" "o" "r" "s" "u" "x" 2; "d" "i" 5; "e" "j" "v" "y" 3;
"a" "s" 3; "b" "j" "m" "n" 3; "c" "e" "j" "l" "m" "o" "r" "s" "u" "x" 2; "d" "i" 5; "e" "j" "v" "y" 3;
"a" "s" 3; "b" "j" "m" "n" 3; "c" "e" "j" "l" "m" "o" "r" "s" "u" "x" 2; "d" "i" 5; "e" "j" "v" "y" 3;
"a" "s" 3; "b" "j" "m" "n" 3; "c" "e" "j" "l" "m" "o" "r" "s" "u" "x" 2; "d" "i" 5; "e" "j" "v" "y" 3;
"a" "s" 3; "b" "j" "m" "n" 3; "c" "e" "j" "l" "m" "o" "r" "s" "u" "x" 2; "d" "i" 5; "e" "j" "p" "v" "y" 3;
"a" "s" 3; "b" "j" "m" "n" 3; "c" "e" "j" "l" "m" "o" "r" "s" "u" "x" 2; "d" "i" 5; "e" "j" "p" "v" "y" 3;
"a" "s" 3; "b" "j" "m" "n" 3; "c" "e" "j" "l" "m" "o" "q" "r" "s" "u" "x" 2; "d" "i" 5; "e" "j" "p" "v" "y" 3;
"a" "s" 3; "b" "j" "m" "n" 3; "c" "e" "j" "l" "m" "o" "q" "r" "s" "u" "x" 2; "d" "i" 5; "e" "j" "p" "v" "y" 3;
"a" "s" 3; "b" "j" "m" "n" 3; "c" "e" "j" "l" "m" "o" "q" "r" "s" "u" "x" 2; "d" "i" 5; "e" "j" "p" "v" "y" 3;
"a" "s" 3; "b" "j" "m" "n" 3; "c" "e" "j" "l" "m" "o" "q" "r" "s" "u" "x" 2; "d" "i" 5; "e" "j" "p" "v" "y" 3;
"a" "s" 3; "b" "j" "m" "n" 3; "c" "e" "j" "l" "m" "o" "q" "r" "s" "u" "x" 2; "d" "i" 5; "e" "j" "p" "v" "y" 3;
"a" "s" 3; "b" "j" "m" "n" 3; "c" "e" "j" "l" "m" "o" "q" "r" "s" "u" "x" 2; "d" "i" 5; "e" "j" "p" "v" "y" 3;
"a" "s" 3; "b" "j" "m" "n" 3; "c" "e" "j" "l" "m" "o" "q" "r" "s" "u" "x" 2; "d" "i" 5; "e" "j" "p" "v" "y" 3;
"a" "s" 3; "b" "j" "m" "n" 3; "c" "e" "j" "l" "m" "o" "q" "r" "s" "u" "x" 2; "d" "i" 5; "e" "h" "j" "p" "v" "y" 3;
"a" "s" 3; "b" "h" "j" "m" "n" 3; "c" "e" "j" "l" "m" "o" "q" "r" "s" "u" "x" 2; "d" "i" 5; "e" "h" "j" "p" "v" "y" 3;
"a" "s" 3; "b" "j" 4; "c" "e" "j" "l" "m" "o" "q" "r" "s" "u" "x" 2; "d" "i" 5; "e" "h" "j" "p" "v" "y" 3;
"a" "s" 3; "b" "j" 4; "c" "e" "j" "l" "m" "o" "q" "r" "s" "u" "x" 2; "d" "i" 5; "e" "h" "j" "p" "v" "y" 3;
"a" "s" 3; "b" "j" 4; "c" "e" "j" "l" "m" "o" "q" "r" "s" "u" "x" 2; "d" "i" 5; "e" "h" "j" "p" "t" "v" "w" "y" 3;
"a" "s" 3; "b" "j" 4; "c" "e" "j" "l" "m" "o" "q" "r" "s" "u" "x" 2; "d" "i" 5; "e" "j" 4;
"a" "s" 3; "b" "j" 4; "c" "e" "j" "l" "m" "o" "q" "r" "s" "u" "x" 2; "d" "i" 5; "e" "j" 4;
"a" "q" "s" "w" 3; "b" "h" "j" 4; "c" "e" "j" "l" "m" "o" "q" "r" "s" "u" "x" 2; "d" "i" 5; "e" "j" "y" 4;
"a" "q" "s" "w" 3; "b" "h" "j" 4; "c" "e" "j" "l" "m" "o" "q" "r" "s" "u" "x" 2; "d" "i" 5; "e" "j" "y" 4;
"a" "w" 4; "b" "h" "j" 4; "c" "e" "j" "l" "m" "o" "q" "r" "s" "u" "x" 2; "d" "i" 5; "e" "j" "y" 4;
"a" "w" 4; "b" "h" "j" 4; "c" "e" "j" "l" "m" "o" "q" "r" "s" "u" "x" 2; "d" "i" 5; "e" "j" "y" 4;
"a" "w" 4; "b" "h" "j" 4; "c" "e" "j" "l" "m" "o" "q" "r" "s" "u" "x" 2; "d" "i" 5; "e" "j" "y" 4;
"a" "w" 4; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "j" "y" 4;
"a" "w" 4; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "j" "y" 4;
"a" "w" 4; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "j" "y" 4;
"a" "w" 4; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "j" "y" 4;
"a" "w" 4; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "j" "y" 4;
"a" "w" 4; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "j" "y" 4;
"a" "w" 4; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "j" "y" 4;
"a" "w" 4; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "j" "y" 4;
"a" "w" 4; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "j" "y" 4;
"a" "w" 4; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "j" "y" 4;
"a" "w" 4; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "j" "y" 4;
"a" "w" 4; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "j" "y" 4;
"a" "w" 4; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "j" "y" 4;
"a" "w" 4; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "j" "y" 4;
"a" "w" 4; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "j" "y" 4;
"a" "w" 4; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "j" "n" "y" 4;
"a" "w" 4; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "j" "n" "y" 4;
"a" "w" 4; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "j" "n" "y" 4;
"a" "w" 4; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "j" "n" "y" 4;
"a" "w" 4; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "j" "n" "y" 4;
"a" "w" 4; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "j" "n" "y" 4;
"a" "w" 4; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "n" 5;
"a" "w" 4; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "n" 5;
"a" "w" 4; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "n" 5;
"a" "w" 4; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "n" 5;
"a" "w" 4; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "n" 5;
"a" "s" "w" 4; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "n" 5;
"a" "s" "w" 4; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "n" 5;
"a" "s" "w" 4; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "n" 5;
"a" "s" "w" 4; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "n" 5;
"a" "s" "w" 4; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "n" 5;
"a" "s" "w" 4; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "n" 5;
"a" "s" "w" 4; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "n" 5;
"a" "s" "w" 4; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "n" 5;
"a" "s" "w" 4; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "n" 5;
"a" "s" "w" 4; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "n" 5;
"a" "s" "w" 4; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "n" 5;
"a" "s" "w" 4; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "n" 5;
"a" "s" "w" 4; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "n" 5;
"a" "s" "w" 4; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "n" 5;
"a" "s" "w" 4; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "n" 5;
"a" "s" "w" 4; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "n" 5;
"a" "s" "w" 4; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "n" 5;
"a" "s" "w" 4; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "n" 5;
"a" "s" "w" 4; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "n" 5;
"a" "s" "w" 4; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "n" 5;
"a" "s" "w" 4; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "n" 5;
"a" "s" "w" 4; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "n" 5;
"a" "s" "w" 4; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "n" 5;
"a" "s" "w" 4; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "n" 5;
"a" "s" "w" 4; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "n" 5;
"a" "s" "w" 4; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "n" 5;
"a" "s" "w" 4; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "n" 5;
"a" "s" "w" 4; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "n" 5;
"a" "s" 5; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "n" 5;
"a" "s" 5; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "n" 5;
"a" "s" 5; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "n" 5;
"a" "s" 5; "b" "h" "j" 4; "c" "e" 3; "d" "i" 5; "e" "n" 5;
"a" "s" 5; "b" "h" "j" 4; "c" "e" 3; "d" "g" "i" 5; "e" "n" 5;
"a" "s" 5; "b" "h" "j" 4; "c" "e" 3; "d" "g" "i" 5; "e" "n" 5;
"a" "s" 5; "b" "h" "j" 4; "c" "e" 3; "d" "g" "i" 5; "e" "n" 5;
"a" "s" 5; "b" "h" "j" 4; "c" "e" 3; "d" "g" "i" 5; "e" "n" 5;
"a" "s" 5; "b" "h" "j" 4; "c" "e" 3; "d" "g" "i" 5; "e" "n" 5;
"a" "s" 5; "b" "h" "j" 4; "c" "e" "u" 3; "d" "g" "i" 5; "e" "n" 5;
"a" "s" 5; "b" "h" "j" "o" 4; "c" "e" "u" 3; "d" "g" "i" 5; "e" "n" 5;
"a" "s" 5; "b" "h" "j" "o" 4; "c" "e" "u" 3; "d" "g" "i" 5; "e" "n" "p" 5;
"a" "s" 5; "b" "h" "j" "o" 4; "c" "e" "u" 3; "d" "g" "i" 5; "e" "n" "p" 5;
"a" "s" 5; "b" "h" "j" "o" 4; "c" "e" "u" 3; "d" "g" "i" 5; "e" "n" "p" 5;
"a" "s" 5; "b" "h" "j" "o" 4; "c" "e" "u" 3; "d" "g" "i" 5; "e" "n" "p" 5;
"a" "s" 5; "b" "h" "j" "o" 4; "c" "e" "u" 3; "d" "g" "i" 5; "e" "n" "p" 5;
"a" "s" 5; "b" "h" "j" "o" 4; "c" "e" "u" 3; "d" "g" "i" 5; "e" "n" "p" 5;
