none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"b" "m" 1;
"b" "m" 1;
"b" "m" 1;
"b" "m" 1;
"b" "m" 1;
"b" "m" 1;
"b" "m" 1;
"b" "m" 1;
"b" "m" 1;
"b" "m" 1;
"b" "m" 1;
"b" "m" 1;
"b" "m" 1;
"b" "m" 1;
"b" "m" 1;
"b" "m" 1;
"b" "m" 1; "e" "g" 1;
"b" "m" 1; "e" "g" 1;
"b" "m" 1; "e" "g" "w" 1;
"b" "m" 1; "e" "g" "w" 1;
"b" "m" 1; "d" "o" 1; "e" "f" "g" "h" "w" 1;
"b" "m" 1; "d" "m" "o" "v" 1; "e" "f" "g" "h" "w" 1;
"b" "m" 1; "d" "m" "o" "v" 1; "e" "f" "g" "h" "w" 1;
"a" "s" 1; "b" "m" 1; "d" "m" "o" "v" 1; "e" "f" "g" "h" "w" 1;
"a" "s" 1; "b" "m" 1; "d" "m" "o" "v" "x" 1; "e" "f" "g" "h" "w" 1;
"a" "s" 1; "b" "m" 1; "d" "m" "o" "v" "x" 1; "e" "f" "g" "h" "w" 1;
"a" "s" 1; "b" "m" 1; "d" "m" "o" "v" "x" 1; "e" "f" "g" "h" "w" 1;
"a" "m" "x" 5; "b" "g" "j" "k" "n" 4; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" "x" 5; "b" "g" "j" "k" "n" 4; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" "x" 5; "b" "g" "j" "k" "n" 4; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" "x" 5; "b" "g" "j" "k" "n" 4; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" "x" 5; "b" "g" "j" "k" "n" 4; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" "x" 5; "b" "g" "j" "k" "n" 4; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" "x" 5; "b" "g" "j" "k" "n" 4; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" 6; "b" "g" "j" "k" "n" 4; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" 6; "b" "g" "j" "k" "n" 4; "c" "k" 5; "d" "d" "w" "y" 4; "e" "n" 6;
"a" "m" 6; "b" "k" 5; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" 6; "b" "k" 5; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" 6; "b" "k" 5; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" 6; "b" "k" 5; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" 6; "b" "k" 5; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" 6; "b" "k" 5; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" 6; "b" "k" 5; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" 6; "b" "k" 5; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" 7; "b" "k" 5; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" 7; "b" "k" 5; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" 7; "b" "k" 5; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" 7; "b" "k" 5; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" 7; "b" "k" 5; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" 7; "b" "k" 5; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" 7; "b" "k" 5; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" 7; "b" "k" 5; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" 7; "b" "k" 5; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" 7; "b" "k" "n" 5; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" 7; "b" "n" 6; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" 7; "b" "n" 6; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" 7; "b" "n" 6; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" 7; "b" "n" 6; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" 7; "b" "n" 6; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" 7; "b" "n" 6; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" 7; "b" "n" 6; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" 7; "b" "n" 6; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" 7; "b" "n" 6; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" 7; "b" "n" 6; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" 7; "b" "n" 6; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" 7; "b" "n" 6; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" 7; "b" "n" 6; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" 7; "b" "n" 6; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" 7; "b" "n" 6; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" 7; "b" "n" 6; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" 7; "b" "n" 6; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" 7; "b" "n" 6; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" 7; "b" "n" 6; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" 7; "b" "n" 6; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" 7; "b" "n" 6; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" 7; "b" "n" 6; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" 7; "b" "n" 6; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" 7; "b" "n" 6; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" 7; "b" "n" 6; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" 7; "b" "n" 6; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" 7; "b" "n" 6; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" 7; "b" "n" 6; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" 7; "b" "n" 6; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" 7; "b" "n" 6; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" 7; "b" "n" 6; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" 7; "b" "n" 6; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" 7; "b" "n" 6; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" 7; "b" "n" 6; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" 7; "b" "n" 6; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" 7; "b" "n" 6; "c" "c" "k" 5; "d" "f" "w" "y" 4; "e" "n" 6;
"a" "m" 7; "b" "n" 6; "c" "c" "k" 5; "d" "f" "w" "y" 4; "e" "n" 6;
"a" "m" 7; "b" "g" "n" 6; "c" "c" "k" 5; "d" "f" "w" "y" 4; "e" "n" 6;
"a" "m" 7; "b" "g" "n" 6; "c" "c" "k" 5; "d" "f" "w" "y" 4; "e" "n" 6;
"a" "m" 7; "b" "g" "n" 6; "c" "c" "k" 5; "d" "f" "w" "y" 4; "e" "n" 6;
"a" "m" 7; "b" "g" "n" 6; "c" "c" "k" 5; "d" "f" "w" "y" 4; "e" "n" 6;
"a" "m" 7; "b" "g" "n" 6; "c" "c" "k" 5; "d" "y" 5; "e" "n" 6;
"a" "m" 7; "b" "g" "n" 6; "c" "c" "k" 5; "d" "y" 5; "e" "n" 6;
"a" "m" 7; "b" "g" "n" 6; "c" "c" "k" 5; "d" "y" 5; "e" "n" 6;
"a" "m" 7; "b" "g" "n" 6; "c" "c" "k" 5; "d" "y" 5; "e" "n" 6;
"a" "m" 7; "b" "g" "n" 6; "c" "c" "k" 5; "d" "y" 5; "e" "n" 6;
"a" "m" 7; "b" "g" "n" 6; "c" "c" "k" 5; "d" "y" 5; "e" "n" 6;
"a" "m" 7; "b" "g" "n" 6; "c" "c" "k" 5; "d" "y" 5; "e" "n" 6;
"a" "m" 7; "b" "g" "n" 6; "c" "c" "k" 5; "d" "y" 5; "e" "n" 6;
"a" "m" 7; "b" "g" "n" 6; "c" "c" "k" 5; "d" "y" 5; "e" "n" 6;
"a" "m" 7; "b" "g" "n" 6; "c" "c" "k" 5; "d" "y" 5; "e" "n" 6;
"a" "m" 7; "b" "g" "n" 6; "c" "c" "k" 5; "d" "y" 5; "e" "n" 6;
"a" "m" 7; "b" "g" "n" 6; "c" "c" "k" 5; "d" "y" 5; "e" "n" 6;
"a" "m" 7; "b" "g" "n" 6; "c" "c" "k" 5; "d" "y" 5; "e" "n" 6;
"a" "m" 7; "b" "g" "n" 6; "c" "c" "k" 5; "d" "y" 5; "e" "n" 6;
"a" "m" 7; "b" "g" "n" 6; "c" "c" "k" 5; "d" "y" 5; "e" "n" 6;
"a" "m" 7; "b" "g" "n" 6; "c" "c" "k" 5; "d" "y" 5; "e" "n" 6;
"a" "m" 7; "b" "g" "n" 6; "c" "c" "k" 5; "d" "y" 5; "e" "n" 6;
"a" "m" 7; "b" "g" "n" 6; "c" "c" "k" 5; "d" "y" 5; "e" "n" 6;
"a" "m" 7; "b" "g" "n" 6; "c" "c" "k" 5; "d" "y" 5; "e" "n" 6;
"a" "m" 7; "b" "g" "n" 6; "c" "c" "k" 5; "d" "y" 5; "e" "n" 6;
"a" "m" 7; "b" "g" "n" 6; "c" "c" "k" 5; "d" "y" 5; "e" "n" 6;
"a" "m" 7; "b" "g" "n" 6; "c" "c" "k" 5; "d" "y" 5; "e" "n" 6;
