none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"d" "i" 1;
"d" "i" 1;
"d" "i" 1;
"d" "i" 1;
"a" "i" "j" 1; "d" "i" 1; "e" "m" 1;
"a" "i" "j" 1; "b" "s" 1; "d" "i" 1; "e" "m" 1;
"a" "i" "j" 1; "b" "s" 1; "d" "i" 1; "e" "m" 1;
"a" "i" "j" 1; "b" "s" 1; "d" "i" 1; "e" "m" 1;
"a" "i" "j" 1; "b" "s" 1; "d" "i" 1; "e" "m" 1;
"a" "i" "j" 1; "b" "s" 1; "d" "i" 1; "e" "m" 1;
"a" "i" 2; "b" "s" "t" "z" 1; "c" "b" "h" 2; "d" "i" "l" "s" "t" "w" 1; "e" "f" "m" 2;
"a" "i" 2; "b" "s" "t" "z" 1; "c" "b" "h" 2; "d" "i" "l" "s" "t" "w" 1; "e" "f" "m" 2;
"a" "i" 2; "b" "s" "t" "z" 1; "c" "b" "h" 2; "d" "i" "l" "s" "t" "w" 1; "e" "f" "m" 2;
"a" "i" 2; "b" "s" "t" "z" 1; "c" "b" "h" 2; "d" "i" "l" "s" "t" "w" 1; "e" "f" "m" 2;
"a" "i" 2; "b" "s" "t" "z" 1; "c" "b" "h" 2; "d" "i" "l" "s" "t" "w" 1; "e" "f" "m" 2;
"a" "i" 2; "b" "s" "t" "z" 1; "c" "b" "h" 2; "d" "i" "l" "s" "t" "w" 1; "e" "f" "m" 2;
"a" "i" 2; "b" "s" 2; "c" "b" "h" 2; "d" "a" "i" "l" "s" "t" "w" 1; "e" "f" "m" 2;
"a" "i" 2; "b" "s" 2; "c" "b" "e" "h" 2; "d" "a" "i" "l" "r" "s" "t" "w" 1; "e" "f" "m" 2;
"a" "i" 2; "b" "s" 2; "c" "b" "e" "h" 2; "d" "a" "i" "l" "r" "s" "t" "w" 1; "e" "f" "m" 2;
"a" "i" "j" 2; "b" "s" 2; "c" "b" "e" "h" 2; "d" "a" "i" "l" "r" "s" "t" "w" 1; "e" "f" "m" 2;
"a" "i" "j" 2; "b" "s" 2; "c" "b" "e" "h" 2; "d" "a" "i" "l" "r" "s" "t" "w" 1; "e" "f" "m" 2;
"a" "i" "j" 2; "b" "s" 2; "c" "b" "e" "h" 2; "d" "a" "i" "l" "r" "s" "t" "w" 1; "e" "f" "m" 2;
"a" "i" "j" 2; "b" "s" 2; "c" "b" "e" "h" 2; "d" "a" "i" "l" "r" "s" "t" "w" 1; "e" "f" "m" 2;
"a" "i" "j" 2; "b" "s" 2; "c" "b" "e" "h" 2; "d" "a" "i" "l" "r" "s" "t" "w" 1; "e" "f" "m" 2;
"a" "i" "j" 2; "b" "s" 2; "c" "a" "b" "e" "h" 2; "d" "a" "i" "l" "r" "s" "t" "w" 1; "e" "f" "m" 2;
"a" "i" "j" 2; "b" "s" 2; "c" "a" "b" "e" "h" 2; "d" "a" "i" "l" "r" "s" "t" "w" 1; "e" "f" "m" 2;
"a" "i" "j" 2; "b" "s" 2; "c" "a" "b" "e" "h" 2; "d" "a" "i" "l" "r" "s" "t" "w" 1; "e" "f" "m" 2;
"a" "i" "j" 2; "b" "s" 2; "c" "a" "b" "e" "h" 2; "d" "a" "i" "l" "r" "s" "t" "w" 1; "e" "f" "m" 2;
"a" "i" "j" 2; "b" "s" 2; "c" "a" "b" "e" "h" 2; "d" "a" "i" "l" "r" "s" "t" "w" 1; "e" "f" "m" 2;
"a" "i" "j" 2; "b" "s" 2; "c" "a" "b" "e" "h" 2; "d" "a" "i" "l" "r" "s" "t" "w" 1; "e" "f" "m" 2;
"a" "i" "j" 2; "b" "s" 2; "c" "a" "b" "e" "h" "m" 2; "d" "a" "i" "l" "r" "s" "t" "w" 1; "e" "f" "m" 2;
"a" "i" "j" 2; "b" "s" 2; "c" "a" "b" "e" "h" "m" 2; "d" "a" "i" "l" "r" "s" "t" "w" 1; "e" "f" "m" 2;
"a" "i" "j" 2; "b" "s" 2; "c" "a" "b" "e" "h" "m" 2; "d" "a" "i" "l" "r" "s" "t" "w" 1; "e" "f" "m" 2;
"a" "i" "j" 2; "b" "s" 2; "c" "a" "b" "e" "h" "m" 2; "d" "a" "i" "l" "r" "s" "t" "w" 1; "e" "f" "m" 2;
"a" "i" "j" 2; "b" "s" 2; "c" "a" "b" "e" "h" "m" 2; "d" "a" "i" "l" "r" "s" "t" "w" 1; "e" "f" "m" 2;
"a" "i" "j" 2; "b" "s" 2; "c" "a" "b" "e" "h" "m" 2; "d" "a" "i" "l" "r" "s" "t" "w" 1; "e" "f" "m" 2;
"a" "i" "j" 2; "b" "s" 2; "c" "a" "b" "e" "h" "m" 2; "d" "a" "i" "l" "r" "s" "t" "w" 1; "e" "f" "m" 2;
"a" "i" "j" 2; "b" "s" 2; "c" "a" "b" "e" "h" "m" 2; "d" "a" "i" "l" "r" "s" "t" "w" 1; "e" "f" "m" 2;
"a" "i" "j" 2; "b" "s" 2; "c" "a" "b" "e" "h" "m" 2; "d" "a" "i" "l" "r" "s" "t" "w" 1; "e" "f" "m" 2;
"a" "i" "j" 2; "b" "s" 2; "c" "a" "b" "e" "h" "m" 2; "d" "a" "i" "l" "r" "s" "t" "w" 1; "e" "f" "m" 2;
"a" "i" "j" 2; "b" "s" 2; "c" "a" "b" "e" "h" "m" 2; "d" "a" "i" "l" "r" "s" "t" "w" 1; "e" "f" "m" "p" 2;
"a" "i" "j" 2; "b" "s" 2; "c" "a" "b" "e" "h" "m" 2; "d" "a" "i" "l" "r" "s" "t" "w" 1; "e" "f" "m" "p" 2;
"a" "i" "j" 2; "b" "s" 2; "c" "a" "b" "e" "h" "m" 2; "d" "a" "i" "l" "r" "s" "t" "w" 1; "e" "f" "m" "p" 2;
"a" "i" "j" 2; "b" "s" 2; "c" "a" "b" "e" "h" "m" 2; "d" "a" "i" "l" "r" "s" "t" "w" 1; "e" "f" "m" "p" 2;
"a" "i" "j" "y" 2; "b" "s" 2; "c" "a" "b" "e" "h" "m" 2; "d" "a" "i" "l" "r" "s" "t" "w" 1; "e" "f" "m" "p" 2;
"a" "i" "j" "y" 2; "b" "s" 2; "c" "a" "b" "e" "h" "m" 2; "d" "r" 2; "e" "f" "m" "p" 2;
"a" "y" 3; "b" "s" 2; "c" "a" "b" "e" "h" "m" 2; "d" "r" 2; "e" "f" "m" "p" 2;
"a" "y" 3; "b" "s" 2; "c" "a" "b" "e" "h" "m" 2; "d" "r" 2; "e" "f" "m" "p" 2;
"a" "y" 3; "b" "s" 2; "c" "a" "b" "e" "h" "m" 2; "d" "r" 2; "e" "f" "m" "p" 2;
"a" "y" 3; "b" "s" 2; "c" "a" "b" "e" "h" "m" 2; "d" "r" 2; "e" "f" "h" "m" "p" 2;
"a" "y" 3; "b" "s" "z" 2; "c" "a" "b" "e" "h" "m" 2; "d" "r" 2; "e" "f" "h" "m" "p" 2;
"a" "y" 3; "b" "s" "z" 2; "c" "a" "b" "e" "h" "m" 2; "d" "r" 2; "e" "f" "h" "m" "p" 2;
"a" "y" 3; "b" "s" "z" 2; "c" "a" "b" "e" "h" "m" 2; "d" "r" 2; "e" "f" "h" "m" "p" 2;
"a" "y" 3; "b" "s" "z" 2; "c" "a" "b" "e" "h" "m" 2; "d" "r" 2; "e" "f" "h" "m" "p" 2;
"a" "y" 3; "b" "s" "z" 2; "c" "a" "b" "e" "h" "m" "s" 2; "d" "r" 2; "e" "p" 3;
"a" "y" 3; "b" "s" "z" 2; "c" "a" "b" "e" "h" "m" "s" 2; "d" "r" 2; "e" "p" 3;
"a" "y" 3; "b" "s" "z" 2; "c" "h" 3; "d" "r" 2; "e" "p" 3;
"a" "y" 3; "b" "s" "z" 2; "c" "h" 3; "d" "r" 2; "e" "p" 3;
"a" "y" 3; "b" "s" "z" 2; "c" "h" 3; "d" "r" 2; "e" "p" 3;
"a" "y" 3; "b" "s" "z" 2; "c" "h" 3; "d" "r" 2; "e" "p" 3;
"a" "y" 3; "b" "s" "z" 2; "c" "h" 3; "d" "r" 2; "e" "p" 3;
"a" "y" 3; "b" "s" "z" 2; "c" "h" 3; "d" "r" 2; "e" "p" 3;
"a" "y" 3; "b" "s" "z" 2; "c" "h" 3; "d" "r" 2; "e" "p" 3;
"a" "y" 3; "b" "s" "z" 2; "c" "h" 3; "d" "r" 2; "e" "p" 3;
"a" "y" 3; "b" "s" "z" 2; "c" "h" 3; "d" "r" 2; "e" "p" 3;
"a" "y" 3; "b" "s" "z" 2; "c" "h" 3; "d" "r" 2; "e" "p" 3;
"a" "y" 3; "b" "s" "z" 2; "c" "h" 3; "d" "r" 2; "e" "p" 3;
"a" "y" 3; "b" "s" "z" 2; "c" "h" 3; "d" "r" 2; "e" "p" 3;
"a" "y" 3; "b" "z" 3; "c" "h" 3; "d" "r" 2; "e" "p" 3;
"a" "t" "y" 3; "b" "z" 3; "c" "h" 3; "d" "r" 2; "e" "p" 3;
"a" "t" "y" 3; "b" "z" 3; "c" "h" 3; "d" "i" "r" 2; "e" "p" 3;
"a" "t" "y" 3; "b" "z" 3; "c" "h" 3; "d" "i" "r" 2; "e" "p" 3;
"a" "t" "y" 3; "b" "s" "z" 3; "c" "h" 3; "d" "i" "r" 2; "e" "p" 3;
"a" "t" "y" 3; "b" "s" "z" 3; "c" "h" 3; "d" "i" "r" 2; "e" "p" 3;
"a" "t" "y" 3; "b" "s" "z" 3; "c" "h" 3; "d" "i" "r" 2; "e" "p" 3;
"a" "t" "y" 3; "b" "s" "z" 3; "c" "e" "h" 3; "d" "i" "l" "r" 2; "e" "p" 3;
"a" "t" "y" 3; "b" "s" "z" 3; "c" "e" "h" 3; "d" "i" "l" "r" 2; "e" "b" "p" 3;
"a" "t" "y" 3; "b" "s" "z" 3; "c" "e" "h" 3; "d" "i" "l" "q" "r" 2; "e" "b" "p" 3;
"a" "t" "y" 3; "b" "s" "z" 3; "c" "e" "h" 3; "d" "i" "l" "q" "r" 2; "e" "b" "m" "p" 3;
"a" "t" "y" 3; "b" "s" "z" 3; "c" "e" "h" 3; "d" "i" "l" "q" "r" 2; "e" "b" "m" "p" 3;
"a" "t" "y" 3; "b" "s" "z" 3; "c" "e" "h" 3; "d" "i" "l" "q" "r" 2; "e" "b" "m" "p" 3;
"a" "t" "y" 3; "b" "s" "z" 3; "c" "e" "h" 3; "d" "i" "l" "q" "r" 2; "e" "b" "m" "p" 3;
"a" "t" "y" 3; "b" "s" "z" 3; "c" "e" "h" 3; "d" "i" "l" "q" "r" 2; "e" "b" "m" "p" 3;
"a" "t" "y" 3; "b" "s" "z" 3; "c" "e" "h" 3; "d" "i" "l" "q" "r" 2; "e" "b" "m" "p" 3;
"a" "y" 4; "b" "s" "z" 3; "c" "e" "h" 3; "d" "l" "q" "r" 2; "e" "b" "m" "p" 3;
"a" "y" 4; "b" "s" "z" 3; "c" "e" "h" 3; "d" "l" "q" "r" 2; "e" "b" "m" "p" 3;
"a" "y" 4; "b" "s" "z" 3; "c" "e" "h" 3; "d" "l" "q" "r" 2; "e" "b" "m" "p" 3;
"a" "y" 4; "b" "s" "z" 3; "c" "e" "h" 3; "d" "l" "q" "r" "u" 2; "e" "b" "m" "p" 3;
"a" "y" 4; "b" "s" "z" 3; "c" "e" "h" 3; "d" "l" "q" "r" "u" 2; "e" "b" "m" "p" 3;
"a" "y" 4; "b" "s" "z" 3; "c" "e" "h" 3; "d" "l" "q" "r" "u" 2; "e" "b" "m" "p" 3;
"a" "y" 4; "b" "s" "z" 3; "c" "e" "h" 3; "d" "u" 3; "e" "b" "m" "p" 3;
"a" "y" 4; "b" "s" "z" 3; "c" "h" 4; "d" "u" 3; "e" "b" "k" "m" "p" 3;
"a" "y" 4; "b" "s" "z" 3; "c" "h" 4; "d" "u" 3; "e" "b" "k" "m" "p" 3;
"a" "y" 4; "b" "s" "z" 3; "c" "h" 4; "d" "u" 3; "e" "b" "h" "k" "m" "p" 3;
"a" "y" 4; "b" "s" "z" 3; "c" "h" 4; "d" "u" 3; "e" "k" 4;
"a" "y" 4; "b" "s" "z" 3; "c" "h" 4; "d" "u" 3; "e" "k" 4;
"a" "y" 4; "b" "s" "z" 3; "c" "h" 4; "d" "u" 3; "e" "k" 4;
"a" "y" 4; "b" "s" "z" 3; "c" "h" 4; "d" "u" "z" 3; "e" "k" 4;
"a" "y" 4; "b" "s" "z" 3; "c" "h" 4; "d" "u" "z" 3; "e" "k" 4;
"a" "y" 4; "b" "s" "z" 3; "c" "h" 4; "d" "u" "z" 3; "e" "k" 4;
"a" "y" 4; "b" "s" "z" 3; "c" "h" 4; "d" "u" "z" 3; "e" "k" 4;
"a" "y" 4; "b" "s" "z" 3; "c" "h" 5; "d" "u" "z" 3; "e" "k" 4;
"a" "y" 4; "b" "s" "z" 3; "c" "h" 5; "d" "u" "z" 3; "e" "k" "p" 4;
"a" "y" 4; "b" "s" "z" 3; "c" "h" 5; "d" "u" "z" 3; "e" "k" "p" 4;
"a" "y" 4; "b" "s" "z" 3; "c" "h" 5; "d" "u" "z" 3; "e" "k" "p" 4;
"a" "y" 4; "b" "s" "z" 3; "c" "h" 5; "d" "u" "z" 3; "e" "k" "p" 4;
"a" "y" 4; "b" "s" "z" 3; "c" "h" 5; "d" "u" "z" 3; "e" "k" "p" 4;
"a" "y" 4; "b" "s" "z" 3; "c" "h" 5; "d" "u" "z" 3; "e" "k" "p" 4;
"a" "y" 4; "b" "s" "z" 3; "c" "h" 5; "d" "u" "z" 3; "e" "k" "p" 4;
"a" "y" 4; "b" "s" "z" 3; "c" "h" 5; "d" "u" "z" 3; "e" "k" "p" 4;
"a" "y" 4; "b" "s" "t" "z" 3; "c" "h" 5; "d" "u" "z" 3; "e" "k" "p" 4;
"a" "y" 4; "b" "s" "t" "z" 3; "c" "h" 5; "d" "u" 3; "e" "k" "p" 4;
"a" "y" 4; "b" "s" "t" "z" 3; "c" "h" 5; "d" "u" 3; "e" "k" "p" 4;
"a" "y" 4; "b" "s" "t" "z" 3; "c" "h" 5; "d" "u" 3; "e" "k" "p" 4;
"a" "y" 4; "b" "s" "t" "z" 3; "c" "h" 5; "d" "u" 3; "e" "k" "p" 4;
"a" "y" 4; "b" "s" "t" "z" 3; "c" "h" 5; "d" "u" 3; "e" "k" "p" 4;
"a" "y" 4; "b" "s" "t" "z" 3; "c" "h" 5; "d" "u" 3; "e" "k" "p" 4;
"a" "y" 4; "b" "z" 4; "c" "h" 5; "d" "u" 3; "e" "k" "p" 4;
"a" "y" 4; "b" "z" 4; "c" "h" 5; "d" "u" 3; "e" "k" "p" 4;
"a" "y" 4; "b" "z" 4; "c" "h" 5; "d" "a" "u" 3; "e" "k" "p" 4;
"a" "y" 4; "b" "z" 4; "c" "h" 5; "d" "u" 4; "e" "k" "p" 4;
"a" "y" 4; "b" "z" 4; "c" "h" 5; "d" "u" 4; "e" "k" "p" 4;
"a" "y" 4; "b" "z" 4; "c" "h" 5; "d" "u" 4; "e" "k" "p" 4;
"a" "y" 4; "b" "z" 4; "c" "h" 5; "d" "u" 4; "e" "k" "p" 4;
"a" "y" 4; "b" "z" 4; "c" "h" 5; "d" "u" 4; "e" "k" "p" 4;
"a" "y" 4; "b" "z" 4; "c" "h" 5; "d" "u" 4; "e" "k" "p" 4;
"a" "y" 4; "b" "z" 4; "c" "h" 5; "d" "u" 4; "e" "k" "p" 4;
"a" "y" 4; "b" "z" 4; "c" "h" 5; "d" "u" 4; "e" "k" "p" 4;
"a" "y" 4; "b" "z" 4; "c" "h" 5; "d" "u" "z" 4; "e" "p" 5;
"a" "y" 4; "b" "z" 4; "c" "h" 5; "d" "u" "z" 4; "e" "p" 6;
"a" "y" 4; "b" "z" 4; "c" "h" 5; "d" "u" "z" 4; "e" "p" 6;
"a" "y" 4; "b" "z" 4; "c" "h" 5; "d" "u" "z" 4; "e" "p" 6;
"a" "y" 4; "b" "z" 4; "c" "h" 5; "d" "u" "z" 4; "e" "p" 6;
"a" "y" 4; "b" "z" 4; "c" "h" 5; "d" "u" "z" 4; "e" "p" 6;
"a" "y" 4; "b" "z" 4; "c" "h" 5; "d" "a" "u" "z" 4; "e" "p" 6;
"a" "y" 4; "b" "t" "z" 4; "c" "h" 5; "d" "a" "u" "z" 4; "e" "p" 6;
"a" "y" 4; "b" "t" "z" 4; "c" "h" 5; "d" "a" "u" "z" 4; "e" "p" 6;
"a" "y" 4; "b" "t" "z" 4; "c" "h" 5; "d" "a" "u" "z" 4; "e" "p" 6;
"a" "y" 4; "b" "t" "z" 4; "c" "h" 5; "d" "a" "u" "z" 4; "e" "p" 7;
"a" "y" 4; "b" "t" "z" 4; "c" "h" 5; "d" "a" "u" "z" 4; "e" "p" 7;
"a" "y" 4; "b" "t" "z" 4; "c" "h" 5; "d" "a" "u" "z" 4; "e" "p" 7;
"a" "y" 4; "b" "t" "z" 4; "c" "h" 5; "d" "a" "u" "z" 4; "e" "p" 7;
"a" "y" 4; "b" "t" "z" 4; "c" "h" 5; "d" "a" "u" "z" 4; "e" "p" 7;
"a" "y" 4; "b" "t" "z" 4; "c" "h" 5; "d" "a" "u" "z" 4; "e" "p" 7;
"a" "y" 4; "b" "t" "z" 4; "c" "h" 5; "d" "a" "u" "z" 4; "e" "p" 7;
"a" "y" 4; "b" "t" 5; "c" "h" 5; "d" "a" "u" "z" 4; "e" "p" 7;
"a" "y" 4; "b" "t" 5; "c" "h" 5; "d" "a" "u" "z" 4; "e" "p" 7;
"a" "y" 4; "b" "t" 5; "c" "h" 5; "d" "a" "u" "z" 4; "e" "p" 7;
"a" "y" 4; "b" "t" 5; "c" "h" 5; "d" "a" "u" "z" 4; "e" "p" 7;
"a" "y" 4; "b" "t" 5; "c" "h" 5; "d" "a" "u" "z" 4; "e" "p" 7;
"a" "y" 4; "b" "t" 5; "c" "h" 5; "d" "a" "u" "z" 4; "e" "p" 7;
"a" "y" 4; "b" "t" 5; "c" "h" 5; "d" "a" "u" "z" 4; "e" "p" 7;
"a" "y" 4; "b" "t" 5; "c" "h" 5; "d" "a" "u" "z" 4; "e" "p" 7;
"a" "y" 4; "b" "t" 5; "c" "h" 5; "d" "a" "u" "z" 4; "e" "p" 7;
"a" "y" 4; "b" "t" 5; "c" "h" 5; "d" "a" "u" "z" 4; "e" "p" 7;
"a" "y" 4; "b" "t" 5; "c" "h" 5; "d" "a" "u" "z" 4; "e" "p" 7;
"a" "y" 4; "b" "t" 5; "c" "h" 5; "d" "a" "u" "z" 4; "e" "p" 7;
"a" "y" 4; "b" "t" 5; "c" "h" 5; "d" "a" "u" "z" 4; "e" "p" 7;
"a" "y" 4; "b" "t" 5; "c" "h" 5; "d" "a" "u" "z" 4; "e" "p" 7;
"a" "y" 4; "b" "t" 5; "c" "h" 5; "d" "a" "u" "z" 4; "e" "p" 7;
"a" "y" 4; "b" "t" 5; "c" "h" 5; "d" "a" "u" "z" 4; "e" "p" 7;
"a" "y" 4; "b" "t" 5; "c" "h" 5; "d" "a" "u" "z" 4; "e" "p" 7;
"a" "y" 4; "b" "t" 5; "c" "h" 5; "d" "a" "u" "z" 4; "e" "p" 7;
"a" "y" 4; "b" "t" 5; "c" "h" 5; "d" "a" "u" "z" 4; "e" "p" 7;
"a" "y" 4; "b" "t" 5; "c" "h" 5; "d" "a" "u" "z" 4; "e" "p" 7;
"a" "y" 4; "b" "t" 5; "c" "h" 5; "d" "a" "u" "z" 4; "e" "p" 7;
"a" "y" 4; "b" "t" 5; "c" "h" 5; "d" "a" "u" "z" 4; "e" "p" 7;
"a" "y" 4; "b" "t" 5; "c" "h" 5; "d" "a" "u" "z" 4; "e" "p" 7;
"a" "y" 4; "b" "t" 5; "c" "h" 5; "d" "a" "u" "z" 4; "e" "p" 7;
"a" "e" "y" 4; "b" "t" 5; "c" "h" 5; "d" "a" "u" "z" 4; "e" "p" 7;
"a" "e" "y" 4; "b" "t" 5; "c" "h" 5; "d" "a" "u" "z" 4; "e" "p" 7;
"a" "e" "y" 4; "b" "t" 5; "c" "h" 5; "d" "a" "u" "z" 4; "e" "p" 7;
"a" "e" "y" 4; "b" "t" 5; "c" "h" 5; "d" "u" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "t" 5; "c" "h" 5; "d" "u" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "t" 5; "c" "h" 5; "d" "u" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "t" 5; "c" "h" 5; "d" "u" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "t" 5; "c" "h" 5; "d" "u" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "t" 5; "c" "h" 5; "d" "a" "u" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "t" 5; "c" "h" 5; "d" "a" "u" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "t" 5; "c" "h" 5; "d" "a" "u" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "t" 5; "c" "h" 5; "d" "a" "u" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "t" 5; "c" "h" 5; "d" "a" "u" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "t" 5; "c" "h" 5; "d" "a" "u" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "t" 5; "c" "h" 5; "d" "a" "u" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "t" 5; "c" "h" 5; "d" "a" "u" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "t" 5; "c" "h" 5; "d" "a" "u" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "t" 5; "c" "h" 5; "d" "a" "u" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "t" 5; "c" "h" 5; "d" "a" "u" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "t" 5; "c" "h" 5; "d" "a" "u" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "t" 5; "c" "h" 5; "d" "a" "u" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "t" 5; "c" "h" 5; "d" "a" "u" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "t" 5; "c" "h" 5; "d" "a" "u" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "t" 5; "c" "h" 5; "d" "a" "u" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "t" 5; "c" "h" 5; "d" "a" "u" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "t" 5; "c" "h" 5; "d" "a" "u" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "t" 5; "c" "h" 5; "d" "a" "u" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "t" 5; "c" "h" 5; "d" "a" "u" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "t" 5; "c" "h" 5; "d" "a" "u" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "a" "t" 5; "c" "h" 5; "d" "a" "u" 5; "e" "p" 7;
