none
none
none
none
none
none
none
none
none
none
none
"b" "f" 1;
"b" "f" 1;
"b" "f" 1;
"b" "f" 1;
"b" "f" 1; "e" "j" 1;
"b" "f" 1; "e" "j" 1;
"b" "f" 1; "e" "j" 1;
"b" "f" 1; "e" "j" 1;
"b" "f" 1; "d" "i" 1; "e" "j" 1;
"b" "f" 1; "d" "i" 1; "e" "j" 1;
"b" "f" 1; "d" "i" 1; "e" "j" 1;
"a" "t" 1; "b" "f" 1; "d" "i" 1; "e" "j" "p" 1;
"a" "t" 1; "b" "f" 1; "d" "i" 1; "e" "j" "p" 1;
"a" "t" 1; "b" "f" 1; "d" "i" 1; "e" "j" "p" 1;
"a" "t" 1; "b" "f" 1; "d" "i" 1; "e" "j" "p" 1;
"a" "t" 1; "b" "f" 1; "d" "i" 1; "e" "j" "p" 1;
"a" "j" "t" 1; "b" "f" 1; "d" "i" 1; "e" "j" "p" 1;
"a" "j" "t" 1; "b" "f" 1; "d" "i" 1; "e" "j" "p" 1;
"a" "j" "t" 1; "b" "f" 1; "d" "i" 1; "e" "j" "o" "p" 1;
"a" "j" "t" 1; "b" "f" 1; "d" "i" 1; "e" "j" "o" "p" 1;
"a" "j" "t" 1; "b" "f" 1; "d" "i" 1; "e" "j" "o" "p" 1;
"a" "j" "t" 1; "b" "f" 1; "d" "i" 1; "e" "j" "o" "p" 1;
"a" "j" "t" 1; "b" "f" 1; "d" "i" 1; "e" "j" "o" "p" 1;
"a" "j" "t" 1; "b" "f" 1; "d" "i" 1; "e" "j" "o" "p" 1;
"a" "j" "t" 1; "b" "f" 1; "d" "i" 1; "e" "j" "o" "p" "v" 1;
"a" "j" "t" 1; "b" "f" 1; "d" "i" 1; "e" "j" "o" "p" "v" 1;
"a" "f" "j" "t" "w" 1; "b" "a" "e" "f" "z" 1; "c" "c" "d" "t" "v" 1; "d" "i" 2; "e" "o" 2;
"a" "f" "j" "t" "w" 1; "b" "a" "e" "f" "q" "z" 1; "c" "c" "d" "t" "v" 1; "d" "i" 2; "e" "o" 2;
"a" "f" "j" "t" "w" 1; "b" "a" "e" "f" "q" "z" 1; "c" "c" "d" "t" "v" 1; "d" "i" 2; "e" "o" 2;
"a" "f" "j" "t" "w" 1; "b" "a" "e" "f" "q" "z" 1; "c" "c" "d" "t" "v" 1; "d" "i" 2; "e" "o" 2;
"a" "f" "j" "t" "w" 1; "b" "a" "e" "f" "q" "z" 1; "c" "c" "d" "t" "v" 1; "d" "i" 2; "e" "o" 2;
"a" "f" "j" "t" "w" 1; "b" "a" "e" "f" "q" "z" 1; "c" "c" "d" "t" "v" 1; "d" "i" 2; "e" "o" 2;
"a" "f" "j" "t" "w" 1; "b" "a" "e" "f" "q" "z" 1; "c" "c" "d" "t" "v" 1; "d" "i" 2; "e" "o" 2;
"a" "f" "j" "t" "w" 1; "b" "a" "d" "e" "f" "q" "z" 1; "c" "c" "d" "t" "v" 1; "d" "i" 2; "e" "o" 2;
"a" "f" "j" "t" "w" 1; "b" "a" "d" "e" "f" "q" "z" 1; "c" "c" "d" "t" "v" 1; "d" "i" 2; "e" "o" 2;
"a" "f" "j" "t" "w" 1; "b" "a" "d" "e" "f" "q" "z" 1; "c" "c" "d" "p" "t" "v" 1; "d" "i" 2; "e" "o" 2;
"a" "f" "j" "t" "w" 1; "b" "a" "d" "e" "f" "q" "z" 1; "c" "c" "d" "p" "t" "v" 1; "d" "i" 2; "e" "o" 2;
"a" "f" "j" "t" "w" 1; "b" "a" "d" "e" "f" "q" "z" 1; "c" "c" "d" "p" "t" "v" 1; "d" "i" 2; "e" "o" 2;
"a" "f" "j" "m" "q" "t" "w" "x" 1; "b" "a" "d" "e" "f" "q" "z" 1; "c" "c" "d" "p" "t" "v" 1; "d" "i" "p" 2; "e" "o" 2;
"a" "f" "j" "m" "q" "t" "w" "x" 1; "b" "a" "d" "e" "f" "q" "z" 1; "c" "c" "d" "p" "t" "v" 1; "d" "i" "p" 2; "e" "o" 2;
"a" "f" "j" "m" "q" "t" "w" "x" 1; "b" "a" "d" "e" "f" "q" "z" 1; "c" "c" "d" "p" "t" "v" 1; "d" "i" "p" 2; "e" "o" 2;
"a" "f" "j" "m" "q" "t" "w" "x" 1; "b" "a" "d" "e" "f" "q" "z" 1; "c" "c" "d" "p" "r" "t" "v" 1; "d" "i" "p" 2; "e" "o" 2;
"a" "f" "j" "m" "q" "t" "w" "x" 1; "b" "a" "d" "e" "f" "q" "z" 1; "c" "c" "d" "p" "r" "t" "v" 1; "d" "i" "p" 2; "e" "o" 2;
"a" "f" "j" "m" "q" "t" "w" "x" 1; "b" "a" "d" "e" "f" "q" "z" 1; "c" "c" "d" "p" "r" "t" "v" 1; "d" "i" "p" 2; "e" "o" 2;
"a" "f" "j" "m" "q" "t" "w" "x" 1; "b" "a" "d" "e" "f" "q" "z" 1; "c" "c" "d" "p" "r" "t" "v" 1; "d" "i" "p" 2; "e" "o" 2;
"a" "f" "j" "m" "q" "t" "w" "x" 1; "b" "a" "d" "e" "f" "q" "z" 1; "c" "c" "d" "p" "r" "t" "v" 1; "d" "i" "p" 2; "e" "o" 2;
"a" "f" "j" "m" "q" "t" "w" "x" 1; "b" "a" "d" "e" "f" "q" "z" 1; "c" "c" "d" "p" "r" "t" "v" 1; "d" "i" "p" 2; "e" "o" 2;
"a" "f" "j" "m" "q" "t" "w" "x" 1; "b" "a" "d" "e" "f" "h" "q" "z" 1; "c" "c" "d" "p" "r" "t" "v" "w" 1; "d" "i" "p" 2; "e" "o" 2;
"a" "f" "j" "m" "q" "t" "w" "x" 1; "b" "a" "c" "d" "e" "f" "h" "q" "z" 1; "c" "c" "d" "p" "r" "t" "v" "w" "z" 1; "d" "i" "p" 2; "e" "o" 2;
"a" "f" "j" "m" "q" "t" "w" "x" 1; "b" "a" "c" "d" "e" "f" "h" "q" "z" 1; "c" "c" "d" "p" "r" "t" "v" "w" "x" "z" 1; "d" "i" "p" 2; "e" "o" 2;
"a" "f" "j" "m" "q" "t" "w" "x" 1; "b" "a" "c" "d" "e" "f" "h" "q" "z" 1; "c" "c" "d" "p" "r" "t" "v" "w" "x" "z" 1; "d" "i" "p" 2; "e" "o" 2;
"a" "f" "j" "m" "q" "t" "w" "x" 1; "b" "a" "c" "d" "e" "f" "h" "q" "z" 1; "c" "c" "d" "p" "r" "t" "v" "w" "x" "z" 1; "d" "i" "p" 2; "e" "o" 2;
"a" "f" "j" "m" "q" "t" "w" "x" 1; "b" "a" "c" "d" "e" "f" "h" "q" "z" 1; "c" "c" "d" "p" "r" "t" "v" "w" "x" "z" 1; "d" "i" "p" 2; "e" "o" 2;
"a" "f" "j" "m" "q" "t" "w" "x" 1; "b" "a" "c" "d" "e" "f" "h" "q" "z" 1; "c" "c" "d" "p" "r" "t" "v" "w" "x" "z" 1; "d" "i" "p" 2; "e" "o" 2;
"a" "f" "j" "m" "q" "t" "w" "x" 1; "b" "a" "c" "d" "e" "f" "h" "q" "z" 1; "c" "c" "d" "p" "r" "t" "v" "w" "x" "z" 1; "d" "i" "p" 2; "e" "o" 2;
"a" "f" "j" "l" "m" "q" "t" "w" "x" 1; "b" "a" "c" "d" "e" "f" "h" "q" "z" 1; "c" "c" "d" "p" "r" "t" "v" "w" "x" "z" 1; "d" "i" "p" 2; "e" "o" 2;
"a" "f" "j" "l" "m" "q" "t" "w" "x" 1; "b" "a" "c" "d" "e" "f" "h" "q" "z" 1; "c" "c" "d" "p" "r" "t" "v" "w" "x" "z" 1; "d" "i" "p" 2; "e" "o" 2;
"a" "f" "j" "l" "m" "q" "t" "w" "x" 1; "b" "a" "c" "d" "e" "f" "h" "q" "z" 1; "c" "c" "d" "p" "r" "t" "v" "w" "x" "z" 1; "d" "i" "p" 2; "e" "o" 2;
"a" "f" "j" "l" "m" "q" "t" "w" "x" 1; "b" "a" "c" "d" "e" "f" "h" "q" "z" 1; "c" "c" "d" "p" "r" "t" "v" "w" "x" "z" 1; "d" "i" "p" 2; "e" "o" 2;
"a" "f" "j" "l" "m" "q" "t" "w" "x" 1; "b" "a" "c" "d" "e" "f" "h" "q" "z" 1; "c" "c" "d" "p" "r" "t" "v" "w" "x" "z" 1; "d" "i" "p" 2; "e" "o" 2;
"a" "f" "j" "l" "m" "q" "t" "w" "x" 1; "b" "d" 2; "c" "c" "d" "p" "r" "t" "v" "w" "x" "z" 1; "d" "i" "p" 2; "e" "o" 2;
"a" "f" "j" "l" "m" "q" "t" "w" "x" 1; "b" "d" 2; "c" "c" "d" "p" "r" "t" "v" "w" "x" "z" 1; "d" "i" "p" 2; "e" "o" 2;
"a" "f" "j" "l" "m" "q" "t" "w" "x" 1; "b" "d" 2; "c" "c" "d" "p" "r" "t" "v" "w" "x" "z" 1; "d" "i" "p" 2; "e" "o" 2;
"a" "f" "j" "l" "m" "q" "t" "w" "x" 1; "b" "d" 2; "c" "c" "d" "p" "r" "t" "v" "w" "x" "z" 1; "d" "i" "p" 2; "e" "o" 2;
"a" "b" "f" "j" "l" "m" "q" "t" "w" "x" 1; "b" "d" 2; "c" "c" "d" "p" "r" "t" "v" "w" "x" "z" 1; "d" "i" "p" 2; "e" "o" 2;
"a" "b" "f" "j" "l" "m" "q" "t" "w" "x" 1; "b" "d" 2; "c" "c" "d" "p" "r" "t" "u" "v" "w" "x" "z" 1; "d" "i" "p" 2; "e" "o" 2;
"a" "b" "d" "f" "j" "l" "m" "q" "t" "w" "x" 1; "b" "d" 2; "c" "c" "d" "p" "r" "t" "u" "v" "w" "x" "z" 1; "d" "i" "p" 2; "e" "o" 2;
"a" "b" 2; "b" "d" 2; "c" "c" "d" "p" "r" "t" "u" "v" "w" "x" "z" 1; "d" "i" 3; "e" "o" 2;
"a" "b" 2; "b" "d" 2; "c" "c" "d" "p" "r" "t" "u" "v" "w" "x" "z" 1; "d" "i" 3; "e" "o" 2;
"a" "b" 2; "b" "d" 2; "c" "c" "d" "p" "r" "t" "u" "v" "w" "x" "z" 1; "d" "i" 3; "e" "o" 2;
"a" "b" 2; "b" "d" "t" "z" 2; "c" "c" "d" "p" "r" "t" "u" "v" "w" "x" "z" 1; "d" "i" "p" 3; "e" "o" 2;
"a" "b" 2; "b" "d" "t" "z" 2; "c" "c" "d" "p" "r" "t" "u" "v" "w" "x" "z" 1; "d" "i" "p" 3; "e" "o" 2;
"a" "b" 2; "b" "d" "t" "z" 2; "c" "c" "d" "p" "r" "t" "u" "v" "w" "x" "z" 1; "d" "i" "p" 3; "e" "o" 2;
"a" "b" 2; "b" "d" "t" 2; "c" "c" "d" "p" "r" "t" "u" "v" "w" "x" "z" 1; "d" "i" "p" 3; "e" "o" 2;
"a" "b" 2; "b" "d" "t" 2; "c" "d" 2; "d" "i" "p" 3; "e" "o" 2;
"a" "b" 2; "b" "d" "t" 2; "c" "d" 2; "d" "i" "p" 3; "e" "o" 2;
"a" "b" 2; "b" "d" "t" 2; "c" "d" 2; "d" "i" "p" 3; "e" "o" 2;
"a" "b" 2; "b" "d" "t" 2; "c" "d" "t" 2; "d" "i" 4; "e" "o" 2;
"a" "b" 2; "b" "d" "t" 2; "c" "d" "t" 2; "d" "i" 4; "e" "o" 2;
"a" "b" 2; "b" "d" "t" 2; "c" "d" "t" "z" 2; "d" "i" 4; "e" "o" 2;
"a" "b" 2; "b" "d" "t" 2; "c" "d" "t" "z" 2; "d" "i" 4; "e" "o" 2;
"a" "b" 2; "b" "d" "t" 2; "c" "d" "t" "z" 2; "d" "i" 4; "e" "o" 2;
"a" "b" 2; "b" "d" "t" 2; "c" "d" "t" "z" 2; "d" "i" 4; "e" "o" 2;
"a" "b" 2; "b" "d" "t" 2; "c" "d" "t" "z" 2; "d" "i" 4; "e" "o" 2;
"a" "b" 2; "b" "d" "t" 2; "c" "d" "t" "z" 2; "d" "i" 4; "e" "o" "v" 2;
"a" "b" 2; "b" "d" "t" 2; "c" "d" "t" "z" 2; "d" "i" 4; "e" "o" "v" 2;
"a" "b" "x" 2; "b" "d" "t" 2; "c" "t" 3; "d" "i" 4; "e" "o" "v" 2;
"a" "b" "x" 2; "b" "d" "t" 2; "c" "t" 3; "d" "i" 4; "e" "o" "v" 2;
"a" "b" "x" 2; "b" "a" "d" "t" 2; "c" "t" 3; "d" "i" 4; "e" "o" "v" 2;
"a" "b" "x" 2; "b" "a" "d" "t" 2; "c" "t" 3; "d" "i" 4; "e" "o" "v" 2;
"a" "b" "x" 2; "b" "a" "d" "t" 2; "c" "t" 3; "d" "i" 4; "e" "o" "v" 2;
"a" "b" "x" 2; "b" "a" "d" "t" 2; "c" "t" 3; "d" "i" 4; "e" "o" "v" 2;
"a" "b" 3; "b" "a" "d" "t" 2; "c" "t" 3; "d" "i" 4; "e" "o" "v" 2;
"a" "b" 3; "b" "a" "d" "f" "t" 2; "c" "t" 3; "d" "i" 4; "e" "o" "v" 2;
"a" "b" 3; "b" "a" "d" "f" "t" 2; "c" "t" 3; "d" "i" 4; "e" "o" "v" 2;
"a" "b" 3; "b" "a" "d" "f" "t" 2; "c" "t" 3; "d" "i" 4; "e" "o" "v" 2;
"a" "b" 3; "b" "a" "d" "f" "t" 2; "c" "t" 3; "d" "i" 4; "e" "o" "v" 2;
"a" "b" 3; "b" "a" "d" "f" "s" "t" 2; "c" "t" 3; "d" "i" 4; "e" "o" "v" 2;
"a" "b" 3; "b" "a" "d" "f" "s" "t" 2; "c" "t" 3; "d" "i" 4; "e" "o" "v" 2;
"a" "b" 3; "b" "a" "d" "f" "h" "s" "t" 2; "c" "o" "t" 3; "d" "i" 4; "e" "o" "v" 2;
"a" "b" 3; "b" "d" "h" 3; "c" "o" "t" 3; "d" "i" 4; "e" "o" "v" 2;
"a" "b" 3; "b" "d" "h" 3; "c" "o" "t" 3; "d" "i" 4; "e" "o" "v" 2;
"a" "b" 3; "b" "d" "h" 3; "c" "o" "t" 3; "d" "i" 4; "e" "o" "v" 2;
"a" "b" 3; "b" "d" "h" 3; "c" "o" "t" 3; "d" "i" 4; "e" "o" 2;
"a" "b" 3; "b" "d" "h" 3; "c" "o" "t" 3; "d" "i" 4; "e" "o" 2;
"a" "b" 3; "b" "d" "h" 3; "c" "o" "t" 3; "d" "i" 4; "e" "o" 2;
"a" "b" 3; "b" "d" "h" 3; "c" "o" "t" 3; "d" "i" 4; "e" "o" 2;
"a" "b" 3; "b" "d" "h" 3; "c" "o" "t" 3; "d" "i" 4; "e" "o" 2;
"a" "b" 3; "b" "d" "h" 3; "c" "o" "t" 3; "d" "i" 4; "e" "o" 2;
"a" "b" 3; "b" "d" "h" 3; "c" "o" "t" 3; "d" "i" 4; "e" "o" 2;
"a" "b" 3; "b" "d" "h" 3; "c" "o" "t" 3; "d" "i" 4; "e" "a" "o" 2;
"a" "b" 3; "b" "d" "h" 3; "c" "o" "t" 3; "d" "i" 4; "e" "a" "o" 2;
"a" "b" 3; "b" "d" "h" 3; "c" "o" "t" 3; "d" "i" 4; "e" "a" "o" 2;
"a" "b" 3; "b" "d" "h" 3; "c" "o" "t" 3; "d" "i" 4; "e" "a" "o" 2;
"a" "b" 3; "b" "d" "h" 3; "c" "o" "t" 3; "d" "i" 4; "e" "a" "o" 2;
"a" "b" 3; "b" "d" "h" 3; "c" "o" "t" 3; "d" "i" 4; "e" "a" "o" 2;
"a" "b" 3; "b" "d" "h" 3; "c" "o" "t" 3; "d" "i" 4; "e" "a" "o" 2;
"a" "b" 3; "b" "d" "h" 3; "c" "o" "t" 3; "d" "i" 4; "e" "a" "o" 2;
"a" "b" 3; "b" "d" "h" 3; "c" "t" 4; "d" "i" 4; "e" "a" "o" 2;
"a" "b" 3; "b" "d" "h" 3; "c" "t" 4; "d" "i" 4; "e" "a" "o" 2;
"a" "b" "h" "x" 2; "b" "d" "h" "s" 3; "c" "t" 4; "d" "i" 4; "e" "a" "o" 2;
"a" "b" "h" "x" 2; "b" "a" "d" "h" "s" 3; "c" "t" 4; "d" "i" 4; "e" "a" "o" "v" 2;
"a" "b" "h" "x" 2; "b" "a" "d" "h" "s" 3; "c" "t" 4; "d" "i" 4; "e" "a" "o" "v" 2;
"a" "b" "h" "x" 2; "b" "a" "d" "h" "s" 3; "c" "t" 4; "d" "i" 4; "e" "a" "o" "v" 2;
"a" "b" "h" "q" "x" 2; "b" "a" "d" "h" "s" 3; "c" "t" 4; "d" "i" 4; "e" "a" "o" "v" 2;
"a" "b" "h" "q" "x" 2; "b" "a" "d" "h" "s" 3; "c" "t" 4; "d" "i" 4; "e" "a" "o" "v" 2;
"a" "b" "h" "q" "x" 2; "b" "a" "d" "h" "s" 3; "c" "t" 4; "d" "i" 4; "e" "a" "o" "v" "w" 2;
"a" "b" "h" "q" "x" 2; "b" "a" "d" "h" "s" 3; "c" "t" 4; "d" "i" 4; "e" "a" "o" "v" "w" 2;
"a" "b" "h" "q" "x" 2; "b" "a" "d" "h" "s" 3; "c" "t" 4; "d" "i" 4; "e" "a" "o" "v" "w" 2;
"a" "b" "h" "q" "x" 2; "b" "a" "d" "h" "s" 3; "c" "t" 4; "d" "i" 4; "e" "a" "o" "v" "w" 2;
"a" "b" "h" "q" "x" 2; "b" "a" "d" "h" "s" 3; "c" "t" 4; "d" "i" 4; "e" "a" "o" "v" "w" 2;
"a" "b" "h" "q" "x" 2; "b" "a" "d" "h" "s" 3; "c" "t" 4; "d" "i" 4; "e" "a" "o" "v" "w" 2;
"a" "b" "h" "q" "x" 2; "b" "a" "d" "h" "s" 3; "c" "t" 4; "d" "i" 4; "e" "a" "o" "v" "w" 2;
"a" "b" "h" "q" "x" 2; "b" "a" "d" "h" "s" 3; "c" "t" 4; "d" "i" 4; "e" "a" "o" "v" "w" 2;
"a" "b" "h" "q" "x" 2; "b" "a" "d" "h" "s" 3; "c" "t" 4; "d" "i" 4; "e" "a" "o" "v" "w" 2;
"a" "b" "h" "q" "x" 2; "b" "a" "d" "h" "s" 3; "c" "t" 4; "d" "i" 4; "e" "a" "o" "v" "w" 2;
"a" "b" "h" "q" "x" 2; "b" "a" "d" "h" "s" 3; "c" "t" 4; "d" "i" 4; "e" "a" "o" "v" "w" 2;
"a" "b" "h" "q" "x" 2; "b" "a" "d" "h" "s" 3; "c" "t" 4; "d" "i" 4; "e" "a" "o" "v" "w" 2;
"a" "b" "h" "q" "x" 2; "b" "a" "d" "h" "s" 3; "c" "t" 4; "d" "i" 4; "e" "a" "o" "p" "v" "w" 2;
"a" "b" "h" "q" "x" 2; "b" "a" "d" "h" "s" 3; "c" "t" 4; "d" "i" 4; "e" "a" "o" "p" "v" "w" 2;
"a" "b" "h" "q" "x" 2; "b" "a" "d" "h" "s" 3; "c" "t" 4; "d" "i" 4; "e" "a" "o" "p" "v" "w" 2;
"a" "b" "h" "q" "x" 2; "b" "a" "d" "h" "s" 3; "c" "t" 4; "d" "i" 4; "e" "a" "o" "p" "v" "w" 2;
"a" "b" "h" "q" "x" 2; "b" "a" "d" "h" "s" "t" 3; "c" "t" 4; "d" "i" 4; "e" "a" "o" "p" "v" "w" 2;
"a" "b" "h" "q" "x" 2; "b" "a" "d" "h" "s" "t" 3; "c" "t" 4; "d" "i" 4; "e" "a" "o" "p" "v" "w" 2;
"a" "b" "h" "q" "x" 2; "b" "a" "d" "h" "s" "t" 3; "c" "t" 4; "d" "i" 4; "e" "a" "o" "p" "v" "w" 2;
"a" "b" "h" "q" "x" 2; "b" "a" "d" "h" "s" "t" 3; "c" "t" 4; "d" "i" 4; "e" "a" "o" "p" "v" "w" 2;
"a" "b" "h" "q" "x" 2; "b" "a" "d" "h" "s" "t" 3; "c" "t" 4; "d" "i" 4; "e" "a" "o" "p" "v" "w" 2;
"a" "b" "h" "q" "x" 2; "b" "a" "d" "h" "s" "t" 3; "c" "t" 4; "d" "i" 4; "e" "a" "o" "p" "v" "w" 2;
"a" "b" "h" "q" "x" 2; "b" "a" "d" "h" "s" "t" 3; "c" "t" 4; "d" "i" 4; "e" "a" "o" "p" "v" "w" 2;
"a" "b" "h" "q" "x" 2; "b" "a" "d" "h" "s" "t" 3; "c" "t" 4; "d" "i" 4; "e" "a" "o" "p" "v" "w" 2;
"a" "b" "h" "q" "x" 2; "b" "a" "d" "h" "s" "t" 3; "c" "t" 4; "d" "i" 4; "e" "a" "o" "p" "v" "w" 2;
"a" "b" "h" "q" "x" 2; "b" "a" "d" "h" "s" "t" 3; "c" "t" 4; "d" "i" 4; "e" "a" "o" "p" "v" "w" 2;
"a" "b" "h" "q" "x" 2; "b" "a" "d" "h" "s" "t" 3; "c" "t" 4; "d" "i" 4; "e" "a" "o" "p" "v" "w" 2;
"a" "b" "h" "q" "x" 2; "b" "t" 4; "c" "t" 4; "d" "i" 4; "e" "a" "o" "p" "v" "w" 2;
"a" "b" "h" "q" "x" 2; "b" "t" 4; "c" "t" 4; "d" "i" 4; "e" "a" "o" "p" "v" "w" 2;
"a" "b" "h" "q" "x" 2; "b" "t" 4; "c" "t" 4; "d" "i" 4; "e" "a" "o" "p" "v" "w" 2;
"a" "b" "h" "q" "x" 2; "b" "t" 4; "c" "t" 4; "d" "i" 4; "e" "a" "o" "p" "v" "w" 2;
"a" "b" "h" "q" "x" 2; "b" "t" 4; "c" "t" 4; "d" "i" 4; "e" "a" "o" "p" "v" "w" 2;
"a" "b" "h" "q" "x" 2; "b" "t" 4; "c" "t" 4; "d" "i" 4; "e" "a" "o" "p" "v" "w" 2;
"a" "b" "h" "q" "x" 2; "b" "t" 4; "c" "t" 4; "d" "i" 4; "e" "a" "o" "p" "v" "w" 2;
"a" "b" "h" "q" "v" "x" 2; "b" "t" 4; "c" "t" 4; "d" "i" 4; "e" "a" "o" "p" "v" "w" 2;
"a" "b" "h" "q" "v" "x" 2; "b" "t" 4; "c" "t" 4; "d" "i" 4; "e" "a" "o" "p" "v" "w" 2;
"a" "b" "h" "q" "v" "x" 2; "b" "t" 4; "c" "t" 4; "d" "i" 4; "e" "a" "o" "p" "v" "w" 2;
"a" "b" "h" "q" "v" "x" 2; "b" "t" 4; "c" "t" 4; "d" "i" 4; "e" "a" "o" "p" "v" "w" 2;
"a" "b" "h" "q" "v" "x" 2; "b" "t" 4; "c" "t" 4; "d" "i" 4; "e" "a" 3;
"a" "b" "h" "q" "v" "x" 2; "b" "t" 4; "c" "t" 4; "d" "i" 4; "e" "a" 3;
"a" "b" "h" "q" "v" "x" 2; "b" "s" "t" 4; "c" "t" 4; "d" "i" 4; "e" "a" 3;
"a" "b" "h" "l" "q" "v" "x" 2; "b" "s" "t" 4; "c" "t" 4; "d" "i" 4; "e" "a" 3;
"a" "b" "h" "l" "q" "v" "x" 2; "b" "s" "t" 4; "c" "t" 4; "d" "i" 4; "e" "a" 3;
"a" "b" "h" "k" "l" "q" "v" "x" 2; "b" "s" "t" 4; "c" "t" 4; "d" "i" 4; "e" "a" 3;
"a" "b" "h" "k" "l" "q" "v" "x" 2; "b" "s" "t" 4; "c" "t" 4; "d" "i" 4; "e" "a" 3;
"a" "b" "h" "k" "l" "q" "v" "x" 2; "b" "s" "t" 4; "c" "t" 4; "d" "i" 4; "e" "a" 3;
"a" "b" "h" "k" "l" "q" "v" "x" 2; "b" "s" "t" 4; "c" "t" 4; "d" "i" 4; "e" "a" 3;
"a" "b" "h" "k" "l" "q" "v" "x" 2; "b" "s" "t" 4; "c" "t" 4; "d" "i" 4; "e" "a" "p" 3;
"a" "b" "h" "k" "l" "q" "v" "x" 2; "b" "s" "t" 4; "c" "t" 4; "d" "i" 4; "e" "a" "p" 3;
"a" "b" "h" "k" "l" "q" "v" "x" 2; "b" "s" "t" 4; "c" "t" 4; "d" "i" 4; "e" "a" "p" 3;
"a" "k" 3; "b" "s" "t" 4; "c" "a" "d" "k" "o" "p" "t" 3; "d" "i" 4; "e" "a" "p" 3;
"a" "k" 3; "b" "s" "t" 4; "c" "a" "d" "k" "o" "p" "t" 3; "d" "i" 4; "e" "a" "p" 3;
"a" "k" 3; "b" "s" "t" 4; "c" "a" "d" "k" "o" "p" "t" 3; "d" "i" 4; "e" "a" "p" 3;
"a" "k" 3; "b" "s" "t" 4; "c" "a" "d" "k" "o" "p" "t" 3; "d" "i" 4; "e" "a" "p" 3;
"a" "k" 3; "b" "s" "t" 4; "c" "a" "d" "k" "o" "p" "t" 3; "d" "i" 4; "e" "a" "p" 3;
