none
none
none
none
none
none
none
none
none
none
none
none
"a" "e" 1;
"a" "e" 1; "c" "m" 1;
"a" "e" 1; "c" "m" 1;
"a" "e" 1; "c" "m" 1;
"a" "e" 1; "c" "m" 1;
"a" "e" 1; "c" "m" 1;
"a" "e" "u" 1; "c" "l" "m" 1;
"a" "e" "u" 1; "c" "l" "m" 1;
"a" "u" 2; "c" "l" "m" 1;
"a" "u" 2; "c" "l" "m" 1;
"a" "u" 2; "c" "l" "m" 1;
"a" "u" 2; "c" "l" "m" 1;
"a" "u" 2; "c" "l" "m" 1; "e" "x" 1;
"a" "u" 2; "c" "l" "m" 1; "e" "x" 1;
"a" "u" 2; "c" "l" "m" 1; "e" "x" 1;
"a" "u" 2; "c" "l" "m" 1; "e" "x" 1;
"a" "u" 2; "c" "l" "m" 1; "e" "x" 1;
"a" "u" 2; "c" "l" "m" 1; "e" "x" 1;
"a" "u" 2; "b" "b" "v" 1; "c" "l" "m" 1; "e" "x" 1;
"a" "u" 2; "b" "b" "v" 1; "c" "l" "m" 1; "e" "x" 1;
"a" "u" 2; "b" "b" "v" 1; "c" "l" "m" 1; "e" "x" 1;
"a" "u" 2; "b" "b" "v" 1; "c" "l" "m" 1; "e" "x" 1;
"a" "u" 2; "b" "b" "v" 1; "c" "l" "m" 1; "e" "x" 1;
"a" "u" 2; "b" "b" "v" 1; "c" "l" "m" 1; "e" "x" 1;
"a" "u" 2; "b" "b" "v" 1; "c" "l" "m" 1; "e" "x" 1;
"a" "u" 2; "b" "b" "v" 1; "c" "l" "m" 1; "e" "x" 1;
"a" "u" 2; "b" "b" "v" 1; "c" "b" "l" "m" 1; "e" "x" 1;
"a" "u" 2; "b" "b" "v" 1; "c" "b" "l" "m" 1; "e" "x" 1;
"a" "u" 2; "b" "b" "v" 1; "c" "b" "l" "m" 1; "e" "x" 1;
"a" "u" 2; "b" "b" "v" 1; "c" "b" "l" "m" 1; "e" "u" "x" 1;
"a" "u" 2; "b" "b" "v" 1; "c" "b" "l" "m" 1; "e" "u" "x" 1;
"a" "u" 2; "b" "b" "v" 1; "c" "b" "l" "m" 1; "e" "u" "x" 1;
"a" "u" "x" 2; "b" "b" "e" "l" "o" "u" "v" 1; "c" "b" "h" "j" "l" "m" "o" "q" 1; "d" "a" "i" "o" "r" "s" "u" 1; "e" "m" "u" 2;
"a" "u" "x" 2; "b" "b" "e" "l" "o" "u" "v" 1; "c" "b" "h" "j" "l" "m" "o" "q" 1; "d" "a" "i" "o" "r" "s" "u" 1; "e" "m" "u" 2;
"a" "u" "x" 2; "b" "b" "e" "l" "o" "u" "v" 1; "c" "b" "h" "j" "l" "m" "o" "q" 1; "d" "a" "i" "o" "r" "s" "u" 1; "e" "m" "u" 2;
"a" "u" "x" 2; "b" "b" "e" "l" "o" "u" "v" 1; "c" "b" "h" "j" "l" "m" "o" "q" 1; "d" "a" "g" "i" "o" "r" "s" "u" 1; "e" "m" "u" 2;
"a" "u" "x" 2; "b" "b" "e" "l" "o" "u" "v" 1; "c" "b" "h" "j" "l" "m" "o" "q" 1; "d" "a" "g" "i" "o" "r" "s" "u" 1; "e" "m" "u" 2;
"a" "u" "x" 2; "b" "b" "e" "l" "o" "u" "v" 1; "c" "b" "h" "j" "l" "m" "o" "q" 1; "d" "a" "g" "i" "o" "r" "s" "u" 1; "e" "m" "u" 2;
"a" "u" "x" 2; "b" "b" "e" "l" "o" "u" "v" 1; "c" "b" "h" "j" "l" "m" "o" "q" 1; "d" "a" "g" "i" "o" "r" "s" "u" 1; "e" "m" "u" 2;
"a" "u" "x" 2; "b" "b" "e" "l" "o" "u" "v" 1; "c" "b" "h" "j" "l" "m" "o" "q" 1; "d" "a" "g" "i" "o" "r" "s" "u" 1; "e" "m" "u" 2;
"a" "u" "x" 2; "b" "b" "e" "l" "o" "u" "v" 1; "c" "b" "h" "j" "l" "m" "o" "q" 1; "d" "a" "g" "i" "o" "r" "s" "u" 1; "e" "m" "u" 2;
"a" "u" "x" 2; "b" "b" "e" "l" "m" "o" "u" "v" 1; "c" "b" "h" "j" "l" "m" "o" "q" 1; "d" "a" "b" "g" "i" "o" "r" "s" "u" 1; "e" "m" "u" 2;
"a" "u" "x" 2; "b" "b" "e" "l" "m" "o" "u" "v" 1; "c" "b" "h" "j" "l" "m" "o" "q" 1; "d" "a" "b" "g" "i" "o" "r" "s" "u" 1; "e" "m" "u" 2;
"a" "u" "x" 2; "b" "b" "e" "l" "m" "o" "u" "v" 1; "c" "b" "h" "j" "l" "m" "o" "q" 1; "d" "a" "b" "g" "i" "o" "r" "s" "u" 1; "e" "m" "u" 2;
"a" "u" "x" 2; "b" "b" "e" "l" "m" "o" "u" "v" 1; "c" "b" "h" "j" "l" "m" "o" "q" 1; "d" "a" "b" "g" "i" "o" "r" "s" "u" 1; "e" "m" "u" 2;
"a" "u" "x" 2; "b" "b" "e" "l" "m" "o" "u" "v" 1; "c" "b" "h" "j" "l" "m" "o" "q" 1; "d" "a" "b" "g" "i" "o" "r" "s" "u" 1; "e" "m" "u" 2;
"a" "u" "x" 2; "b" "b" "e" "l" "m" "o" "u" "v" 1; "c" "b" "h" "j" "l" "m" "o" "q" 1; "d" "a" "b" "g" "i" "o" "r" "s" "u" "y" 1; "e" "m" "u" 2;
"a" "u" "x" 2; "b" "m" 2; "c" "q" 2; "d" "a" "b" "g" "i" "o" "r" "s" "u" "y" 1; "e" "m" "u" 2;
"a" "u" "x" 2; "b" "m" 2; "c" "q" 2; "d" "a" "b" "g" "i" "o" "r" "s" "u" "y" 1; "e" "m" "u" 2;
"a" "u" "x" 2; "b" "m" 2; "c" "q" 2; "d" "a" "b" "g" "i" "o" "r" "s" "u" "x" "y" 1; "e" "m" "u" 2;
"a" "u" "x" 2; "b" "m" 2; "c" "q" 2; "d" "a" "b" "g" "i" "o" "r" "s" "u" "x" "y" 1; "e" "m" "u" 2;
"a" "l" "u" "x" 2; "b" "m" "v" 2; "c" "q" 2; "d" "a" "b" "g" "i" "o" "r" "s" "u" "x" "y" 1; "e" "m" "u" 2;
"a" "l" "u" "x" 2; "b" "m" "v" 2; "c" "q" 2; "d" "a" "b" "g" "i" "o" "r" "s" "u" "x" "y" 1; "e" "m" "u" "v" 2;
"a" "l" "u" "x" 2; "b" "m" "v" 2; "c" "q" 2; "d" "a" "b" "g" "i" "o" "r" "s" "u" "x" "y" 1; "e" "m" "u" "v" 2;
"a" "l" "u" "x" 2; "b" "m" "v" 2; "c" "h" "q" 2; "d" "a" "b" "g" "i" "o" "r" "s" "u" "x" "y" 1; "e" "m" "u" "v" 2;
"a" "l" "u" "x" 2; "b" "m" "v" 2; "c" "h" "q" 2; "d" "o" 2; "e" "m" "u" "v" 2;
"a" "l" "u" "x" 2; "b" "m" "v" 2; "c" "h" "q" 2; "d" "o" 2; "e" "m" "u" "v" 2;
"a" "l" "u" "x" 2; "b" "m" "v" 2; "c" "h" "q" 2; "d" "o" 2; "e" "m" "u" "v" 2;
"a" "l" "u" "x" 2; "b" "m" "v" 2; "c" "h" "q" 2; "d" "o" 2; "e" "m" "u" "v" 2;
"a" "l" "u" "x" 2; "b" "m" "v" 2; "c" "h" "q" 2; "d" "o" "s" 2; "e" "m" "u" "v" 2;
"a" "l" "u" "x" 2; "b" "m" "v" 2; "c" "h" "q" 2; "d" "o" "s" 2; "e" "m" "u" "v" 2;
"a" "l" "u" "x" 2; "b" "m" "v" 2; "c" "h" "q" 2; "d" "o" "s" 2; "e" "m" "u" "v" 2;
"a" "l" "u" "x" 2; "b" "m" "v" 2; "c" "h" "q" 2; "d" "o" "s" 2; "e" "m" "u" "v" 2;
"a" "l" "u" "x" 2; "b" "m" "v" 2; "c" "h" "q" 2; "d" "o" "s" 2; "e" "m" 3;
"a" "l" "u" "x" 2; "b" "m" "v" 2; "c" "h" "q" 2; "d" "o" "s" 2; "e" "m" 3;
"a" "l" "u" "x" 2; "b" "m" "v" 2; "c" "h" "q" 2; "d" "o" "s" 2; "e" "m" 3;
"a" "l" "u" "x" 2; "b" "m" "v" 2; "c" "h" "q" 2; "d" "o" "s" 2; "e" "m" 3;
"a" "l" "u" "x" 2; "b" "m" "v" 2; "c" "h" "q" 2; "d" "o" "s" 2; "e" "m" 3;
"a" "l" "u" "x" 2; "b" "m" "v" 2; "c" "h" "q" 2; "d" "o" "s" 2; "e" "m" 3;
"a" "l" "u" "x" 2; "b" "m" "v" 2; "c" "h" "q" 2; "d" "o" "s" 2; "e" "m" 3;
"a" "l" "u" "x" 2; "b" "m" "v" 2; "c" "h" "q" 2; "d" "o" "s" 2; "e" "m" 3;
"a" "l" "u" "x" 2; "b" "m" "v" 2; "c" "h" "q" 2; "d" "o" "s" 2; "e" "m" 3;
"a" "l" "u" "x" 2; "b" "m" "v" 2; "c" "h" "q" 2; "d" "o" "s" 2; "e" "m" 3;
"a" "l" "u" "x" 2; "b" "m" "v" 2; "c" "h" "q" 2; "d" "o" "s" 2; "e" "m" 3;
"a" "l" "u" "x" 2; "b" "m" "v" 2; "c" "h" "q" 2; "d" "o" "s" 2; "e" "h" "m" 3;
"a" "l" "u" "x" 2; "b" "m" "v" 2; "c" "h" "q" 2; "d" "o" "s" 2; "e" "h" "m" 3;
"a" "l" "u" "x" 2; "b" "m" "v" 2; "c" "h" "q" 2; "d" "o" "s" 2; "e" "h" 4;
"a" "l" "u" "x" 2; "b" "m" "v" 2; "c" "h" "q" 2; "d" "o" "s" 2; "e" "h" 4;
"a" "l" "u" "x" 2; "b" "m" "v" 2; "c" "h" "q" 2; "d" "o" "s" 2; "e" "h" 4;
"a" "l" "u" "x" 2; "b" "m" "v" 2; "c" "h" "q" 2; "d" "o" "r" "s" 2; "e" "h" 4;
"a" "l" "u" "x" 2; "b" "m" "v" 2; "c" "h" "k" "q" 2; "d" "o" "r" "s" 2; "e" "h" 4;
"a" "l" "u" "x" 2; "b" "m" "v" 2; "c" "h" "k" "q" 2; "d" "o" "r" "s" 2; "e" "h" 4;
"a" "l" "u" "x" 2; "b" "m" "v" 2; "c" "h" "k" "q" 2; "d" "o" "r" "s" 2; "e" "h" 4;
"a" "l" "u" "x" 2; "b" "l" "m" "v" 2; "c" "h" "k" "q" 2; "d" "o" "r" "s" 2; "e" "h" 4;
"a" "l" "u" "x" 2; "b" "l" "m" "v" 2; "c" "h" "k" "q" 2; "d" "o" "r" "s" 2; "e" "h" 4;
"a" "l" "u" "x" 2; "b" "l" "m" "v" 2; "c" "h" "k" "q" 2; "d" "o" "r" "s" 2; "e" "h" 4;
"a" "l" "u" "x" 2; "b" "l" "m" "v" 2; "c" "h" "k" "q" 2; "d" "o" "r" "s" 2; "e" "h" 4;
"a" "l" "u" "x" 2; "b" "l" "m" "v" 2; "c" "h" 3; "d" "o" "r" "s" 2; "e" "h" 4;
"a" "l" "u" "x" 2; "b" "l" "m" "v" 2; "c" "h" 3; "d" "o" "r" "s" 2; "e" "h" 4;
"a" "l" "u" "x" 2; "b" "l" "m" "v" 2; "c" "h" 3; "d" "o" "r" "s" 2; "e" "h" 4;
"a" "l" "u" "x" 2; "b" "l" "m" "v" 2; "c" "h" 3; "d" "o" "r" "s" 2; "e" "h" 4;
"a" "l" "u" "x" 2; "b" "l" "m" "v" 2; "c" "h" 3; "d" "o" "r" "s" 2; "e" "h" 4;
"a" "l" "u" "x" 2; "b" "l" "m" "v" 2; "c" "h" 3; "d" "o" "r" "s" 2; "e" "h" 4;
"a" "l" "u" "x" 2; "b" "m" 3; "c" "h" 3; "d" "o" "r" "s" 2; "e" "h" 4;
"a" "l" "u" "x" 2; "b" "m" 3; "c" "h" 3; "d" "o" "r" "s" 2; "e" "h" 4;
"a" "l" "u" "x" 2; "b" "m" 3; "c" "h" 3; "d" "o" "r" "s" 2; "e" "h" 4;
"a" "b" "l" "u" "x" 2; "b" "m" 3; "c" "h" 3; "d" "o" "r" "s" 2; "e" "h" 4;
"a" "b" "e" "l" "u" "x" 2; "b" "m" 3; "c" "h" 3; "d" "o" "r" "s" 2; "e" "h" 4;
"a" "b" "e" "l" "u" "x" 2; "b" "m" 3; "c" "h" 3; "d" "o" "r" "s" 2; "e" "h" 4;
"a" "b" "e" "l" "u" "x" 2; "b" "m" 3; "c" "h" 3; "d" "o" "r" "s" 2; "e" "h" 4;
"a" "b" "e" "l" "u" "x" 2; "b" "m" 3; "c" "h" 3; "d" "o" "r" "s" 2; "e" "h" 4;
"a" "b" "e" "l" "u" "x" 2; "b" "m" 3; "c" "h" 3; "d" "o" "r" "s" 2; "e" "h" 4;
"a" "b" "e" "l" "u" "x" 2; "b" "m" 3; "c" "h" 3; "d" "o" "r" "s" 2; "e" "h" 4;
"a" "b" "e" "l" "u" "x" 2; "b" "m" 3; "c" "h" 3; "d" "o" "r" "s" 2; "e" "h" 4;
"a" "b" "e" "l" "u" "x" 2; "b" "m" 3; "c" "h" 3; "d" "o" "r" "s" 2; "e" "h" 4;
"a" "b" "e" "l" "u" "x" 2; "b" "m" 3; "c" "h" "k" 3; "d" "o" "r" "s" 2; "e" "h" "u" 4;
"a" "b" "e" "l" "u" "x" 2; "b" "m" 3; "c" "h" "k" 3; "d" "o" "r" "s" 2; "e" "h" "u" 4;
"a" "b" "e" "l" "u" "x" 2; "b" "m" 3; "c" "h" "k" 3; "d" "o" "r" "s" 2; "e" "h" "u" 4;
"a" "b" "e" "l" "u" "x" 2; "b" "m" 3; "c" "h" "k" 3; "d" "o" "r" "s" 2; "e" "h" "u" 4;
"a" "b" "e" "l" "u" "x" 2; "b" "m" 3; "c" "h" "k" 3; "d" "o" "r" "s" 2; "e" "h" "u" 4;
"a" "b" "e" "i" "l" "u" "x" 2; "b" "m" 3; "c" "h" "k" 3; "d" "o" "r" "s" 2; "e" "h" "u" 4;
"a" "b" "e" "i" "l" "u" "x" 2; "b" "m" 3; "c" "h" "k" 3; "d" "g" "o" "r" "s" 2; "e" "h" "u" 4;
"a" "b" "e" "i" "l" "u" "x" 2; "b" "m" 3; "c" "h" "k" 3; "d" "g" "o" "r" "s" 2; "e" "h" "u" 4;
"a" "b" "e" "i" "l" "u" "x" 2; "b" "m" 3; "c" "h" "k" 3; "d" "g" "o" "r" "s" 2; "e" "h" "u" 4;
"a" "b" "e" "i" "l" "u" "x" 2; "b" "m" 3; "c" "h" "k" 3; "d" "g" "o" "r" "s" 2; "e" "h" "u" 4;
"a" "b" "e" "i" "l" "u" "x" 2; "b" "m" 3; "c" "h" "k" 3; "d" "g" "o" "r" "s" 2; "e" "h" "u" 4;
"a" "b" "e" "i" "l" "o" "p" "u" "x" 2; "b" "m" 3; "c" "h" "k" 3; "d" "g" "o" "r" "s" 2; "e" "h" "u" 4;
"a" "b" "e" "i" "l" "o" "p" "u" "x" 2; "b" "m" 3; "c" "h" "k" 3; "d" "g" "o" "r" "s" 2; "e" "h" "u" 4;
"a" "b" "e" "i" "l" "o" "p" "u" "x" 2; "b" "m" 3; "c" "h" "k" 3; "d" "g" "o" "r" "s" 2; "e" "h" "u" 4;
"a" "b" "e" "i" "l" "o" "p" "u" "x" 2; "b" "m" 3; "c" "h" "k" 3; "d" "g" "o" "r" "s" 2; "e" "h" "u" 4;
"a" "b" "e" "i" "l" "o" "p" "u" "x" 2; "b" "m" 3; "c" "h" "k" 3; "d" "g" "o" "r" "s" 2; "e" "h" "u" 4;
"a" "b" "e" "i" "l" "o" "p" "u" "x" 2; "b" "m" 3; "c" "h" "k" 3; "d" "g" "o" "r" "s" 2; "e" "h" "u" 4;
"a" "b" "e" "i" "l" "o" "p" "u" "x" 2; "b" "m" 3; "c" "h" "k" 3; "d" "g" "o" "r" "s" 2; "e" "h" "u" 4;
"a" "b" "e" "g" "i" "l" "o" "p" "u" "x" 2; "b" "m" 3; "c" "h" "k" 3; "d" "g" "o" "r" "s" 2; "e" "h" "u" 4;
"a" "b" "e" "g" "i" "l" "o" "p" "u" "x" 2; "b" "m" 3; "c" "h" "k" 3; "d" "g" "o" "r" "s" 2; "e" "h" "u" 4;
"a" "b" "e" "g" "i" "l" "o" "p" "u" "x" 2; "b" "m" 3; "c" "h" "k" 3; "d" "g" "o" "r" "s" 2; "e" "h" "u" 4;
"a" "b" "e" "g" "i" "l" "o" "p" "u" "x" 2; "b" "m" 3; "c" "h" "k" 3; "d" "g" "o" "r" "s" 2; "e" "h" "u" 4;
"a" "b" "e" "g" "i" "l" "o" "p" "u" "x" 2; "b" "m" 3; "c" "h" "k" 3; "d" "g" "o" "r" "s" 2; "e" "h" "u" 4;
"a" "b" "d" "e" "g" "i" "l" "o" "p" "u" "x" 2; "b" "m" 3; "c" "h" "k" 3; "d" "g" "o" "r" "s" 2; "e" "h" "u" 4;
"a" "b" "d" "e" "g" "i" "l" "o" "p" "u" "x" 2; "b" "m" 3; "c" "h" "k" 3; "d" "g" "o" "r" "s" 2; "e" "h" "u" 4;
"a" "b" "d" "e" "g" "i" "l" "o" "p" "u" "x" 2; "b" "m" 3; "c" "h" "k" 3; "d" "g" "o" "r" "s" 2; "e" "h" "u" 4;
"a" "b" "d" "e" "g" "i" "l" "o" "p" "u" "x" 2; "b" "m" 3; "c" "h" "k" 3; "d" "g" "o" "r" "s" 2; "e" "h" "u" 4;
"a" "b" "d" "e" "g" "i" "l" "o" "p" "u" "x" 2; "b" "m" 3; "c" "h" "k" 3; "d" "g" "o" "r" "s" 2; "e" "h" "u" 4;
"a" "b" "d" "e" "g" "i" "l" "o" "p" "u" "x" 2; "b" "m" 3; "c" "h" "k" 3; "d" "g" "o" "r" "s" 2; "e" "h" "u" 4;
"a" "b" "d" "e" "g" "i" "l" "o" "p" "u" "x" 2; "b" "m" 3; "c" "h" "k" 3; "d" "g" "o" "r" "s" 2; "e" "h" "u" 4;
"a" "b" "d" "e" "g" "i" "l" "o" "p" "u" "x" 2; "b" "m" 3; "c" "h" "k" 3; "d" "g" "o" "r" "s" 2; "e" "h" "u" 4;
"a" "b" "d" "e" "g" "i" "l" "o" "p" "u" "x" 2; "b" "m" 3; "c" "h" "k" 3; "d" "g" "o" "r" "s" 2; "e" "h" "u" 4;
"a" "b" "d" "e" "g" "i" "l" "o" "p" "u" "x" 2; "b" "m" "u" 3; "c" "k" 4; "d" "a" "g" "o" "r" "s" 2; "e" "h" "u" 4;
"a" "p" 3; "b" "m" "u" 3; "c" "k" 4; "d" "a" "g" "o" "r" "s" 2; "e" "h" "u" 4;
"a" "g" "p" 3; "b" "m" "u" 3; "c" "k" 4; "d" "a" "g" "o" "r" "s" 2; "e" "h" "u" 4;
"a" "g" "p" 3; "b" "m" "u" 3; "c" "k" 4; "d" "a" "g" "o" "r" "s" 2; "e" "h" "u" 4;
"a" "g" "p" 3; "b" "m" "u" 3; "c" "k" 4; "d" "a" "g" "o" "r" "s" 2; "e" "h" "u" 4;
"a" "g" "p" 3; "b" "m" "u" 3; "c" "k" 4; "d" "a" "g" "o" "r" "s" 2; "e" "h" "u" 4;
"a" "g" "p" 3; "b" "m" "u" 3; "c" "k" 4; "d" "a" "g" "o" "r" "s" 2; "e" "h" "u" 4;
"a" "g" "p" 3; "b" "m" "u" 3; "c" "k" 4; "d" "a" "g" "o" "r" "s" 2; "e" "h" "u" 4;
"a" "g" "p" 3; "b" "m" "u" 3; "c" "k" 4; "d" "a" "g" "o" "r" "s" 2; "e" "h" "u" 4;
"a" "g" "p" 3; "b" "m" "u" 3; "c" "k" 4; "d" "a" "g" "o" "r" "s" 2; "e" "h" "u" 4;
"a" "g" "p" 3; "b" "m" "u" 3; "c" "k" 4; "d" "a" "g" "o" "r" "s" 2; "e" "h" "u" 4;
"a" "g" "p" 3; "b" "m" "u" 3; "c" "k" 4; "d" "a" "g" "o" "r" "s" 2; "e" "h" "u" 4;
"a" "g" "p" 3; "b" "m" "u" 3; "c" "k" 4; "d" "a" "g" "o" "r" "s" 2; "e" "h" "u" 4;
"a" "g" "p" 3; "b" "i" "m" "u" 3; "c" "k" 4; "d" "a" "g" "o" "r" "s" 2; "e" "h" "u" 4;
"a" "g" "p" 3; "b" "i" "m" "u" 3; "c" "k" 4; "d" "a" "g" "o" "r" "s" "z" 2; "e" "h" "u" 4;
"a" "g" "p" 3; "b" "i" "m" "u" 3; "c" "k" 4; "d" "a" "g" "o" "r" "s" "y" "z" 2; "e" "h" "m" "u" 4;
"a" "g" "p" 3; "b" "i" "m" "u" 3; "c" "k" 4; "d" "g" 3; "e" "h" "m" "u" 4;
"a" "g" "p" 3; "b" "i" "m" "u" 3; "c" "k" 4; "d" "g" 3; "e" "h" "m" "u" 4;
"a" "g" "p" 3; "b" "i" "m" "u" 3; "c" "k" 4; "d" "g" 3; "e" "h" "m" "u" 4;
"a" "g" "p" 3; "b" "i" "m" "u" 3; "c" "k" 4; "d" "g" "s" 3; "e" "h" "m" "u" 4;
"a" "g" "p" 3; "b" "i" "m" "u" 3; "c" "k" 4; "d" "g" "s" 3; "e" "h" "m" "u" 4;
