none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"d" "h" 1;
"a" "p" 1; "b" "c" 1; "d" "h" 1;
"a" "p" 1; "b" "c" 1; "d" "h" 1;
"a" "p" 1; "b" "c" "u" 1; "c" "w" 1; "d" "e" "h" 1;
"a" "p" 1; "b" "c" "u" 1; "c" "w" 1; "d" "e" "h" 1;
"a" "p" 1; "b" "c" "u" 1; "c" "w" 1; "d" "e" "h" 1;
"a" "p" 1; "b" "c" "u" 1; "c" "w" 1; "d" "e" "h" 1;
"a" "p" 1; "b" "c" "u" 1; "c" "w" 1; "d" "e" "h" 1;
"a" "p" 1; "b" "c" "u" 1; "c" "w" 1; "d" "e" "f" "h" 1;
"a" "p" 1; "b" "c" "u" 1; "c" "w" 2; "d" "e" "f" "h" 1;
"a" "p" 1; "b" "c" "u" 1; "c" "w" 2; "d" "e" "f" "h" 1;
"a" "p" 1; "b" "c" "u" 1; "c" "w" 2; "d" "e" "f" "h" 1;
"a" "p" 1; "b" "c" "u" 1; "c" "w" 2; "d" "e" "f" "h" 1;
"a" "p" 1; "b" "c" "u" 1; "c" "w" 2; "d" "e" "f" "h" 1;
"a" "p" 1; "b" "c" "u" 1; "c" "w" 2; "d" "e" "f" "h" 1;
"a" "p" 1; "b" "c" "u" 1; "c" "w" 2; "d" "e" "f" "h" 1;
"a" "p" 1; "b" "c" "u" 1; "c" "w" 2; "d" "e" "f" "h" "y" 1;
"a" "p" 1; "b" "c" "u" 1; "c" "w" 2; "d" "e" "f" "h" "y" 1;
"a" "h" 4; "b" "c" 4; "c" "w" 4; "d" "f" "p" "v" "w" "x" 2; "e" "p" 2;
"a" "h" 4; "b" "c" 4; "c" "w" 4; "d" "f" "p" "v" "w" "x" 2; "e" "p" 2;
"a" "h" 4; "b" "c" 4; "c" "w" 4; "d" "f" "p" "v" "w" "x" 2; "e" "p" 2;
"a" "h" 4; "b" "c" 4; "c" "w" 4; "d" "f" "p" "v" "w" "x" 2; "e" "p" 2;
"a" "h" 4; "b" "c" 4; "c" "w" 4; "d" "f" "p" "v" "w" "x" 2; "e" "p" 2;
"a" "h" 4; "b" "c" 4; "c" "w" 4; "d" "f" "p" "v" "w" "x" 2; "e" "p" 2;
"a" "h" 4; "b" "c" 5; "c" "w" 4; "d" "f" "p" "v" "w" "x" 2; "e" "p" 2;
"a" "h" 4; "b" "c" 5; "c" "w" 4; "d" "f" "p" "v" "w" "x" 2; "e" "p" 2;
"a" "h" 4; "b" "c" 5; "c" "w" 4; "d" "f" "p" "v" "w" "x" 2; "e" "p" 2;
"a" "h" 4; "b" "c" 5; "c" "w" 4; "d" "f" "p" "v" "w" "x" 2; "e" "p" 2;
"a" "h" 4; "b" "c" 5; "c" "w" 4; "d" "f" "p" "v" "w" "x" 2; "e" "p" 2;
"a" "h" 4; "b" "c" 5; "c" "w" 4; "d" "f" "p" "v" "w" "x" 2; "e" "p" 2;
"a" "h" 4; "b" "c" 5; "c" "w" 4; "d" "f" "p" "v" "w" "x" 2; "e" "p" 2;
"a" "h" 4; "b" "c" 5; "c" "w" 4; "d" "f" "p" "v" "w" "x" 2; "e" "p" 2;
"a" "h" "p" 4; "b" "c" 5; "c" "w" 4; "d" "f" "p" "v" "w" "x" 2; "e" "p" 2;
"a" "h" "p" 4; "b" "c" 5; "c" "w" 4; "d" "f" "p" "v" "w" "x" 2; "e" "p" 2;
"a" "h" "p" 4; "b" "c" 5; "c" "w" 4; "d" "f" "p" "v" "w" "x" 2; "e" "p" 2;
"a" "h" "p" 4; "b" "c" 5; "c" "w" 4; "d" "f" "p" "v" "w" "x" 2; "e" "p" 2;
"a" "h" "p" 4; "b" "c" 5; "c" "w" 4; "d" "f" "n" "p" "v" "w" "x" 2; "e" "p" 2;
"a" "h" "p" 4; "b" "c" 5; "c" "w" 4; "d" "f" "n" "p" "v" "w" "x" 2; "e" "p" 2;
"a" "h" "p" 4; "b" "c" 5; "c" "w" 4; "d" "f" "n" "p" "v" "w" "x" 2; "e" "p" 2;
"a" "h" "p" 4; "b" "c" 5; "c" "w" 4; "d" "f" "n" "p" "v" "w" "x" 2; "e" "p" 2;
"a" "h" "p" 4; "b" "c" 5; "c" "w" 4; "d" "f" "n" "p" "v" "w" "x" 2; "e" "o" "p" 2;
"a" "h" "p" 4; "b" "c" 5; "c" "w" 4; "d" "f" "n" "p" "v" "w" "x" 2; "e" "o" "p" 2;
"a" "p" 5; "b" "c" 5; "c" "w" 4; "d" "f" "n" "p" "v" "w" "x" 2; "e" "o" "p" 2;
"a" "p" 5; "b" "c" 5; "c" "w" 4; "d" "f" "n" "p" "v" "w" "x" 2; "e" "o" "p" 2;
"a" "p" 5; "b" "c" 5; "c" "w" 4; "d" "f" "h" "n" "p" "v" "w" "x" 2; "e" "a" "o" "p" 2;
"a" "p" 5; "b" "c" 5; "c" "w" 4; "d" "f" "h" "n" "p" "v" "w" "x" 2; "e" "a" "o" "p" 2;
"a" "p" 5; "b" "c" 5; "c" "w" 4; "d" "f" "h" "n" "p" "v" "w" "x" 2; "e" "a" "o" "p" 2;
"a" "p" 5; "b" "c" 5; "c" "w" 4; "d" "f" "h" "n" "p" "v" "w" "x" 2; "e" "a" "o" "p" 2;
"a" "p" 5; "b" "c" 5; "c" "w" 4; "d" "f" "h" "n" "p" "v" "w" "x" 2; "e" "a" "o" "p" 2;
"a" "p" 5; "b" "c" 5; "c" "w" 4; "d" "f" "h" "n" "p" "v" "w" "x" 2; "e" "a" "o" "p" 2;
"a" "p" 5; "b" "c" 5; "c" "w" 4; "d" "f" "h" "n" "p" "v" "w" "x" 2; "e" "a" "o" "p" 2;
"a" "p" 5; "b" "c" 5; "c" "w" 4; "d" "f" "h" "n" "p" "v" "w" "x" 2; "e" "a" "o" "p" 2;
"a" "p" 5; "b" "c" 5; "c" "w" 4; "d" "f" "h" "n" "p" "v" "w" "x" 2; "e" "a" "o" "p" 2;
"a" "p" 5; "b" "c" 5; "c" "w" 4; "d" "f" "h" "n" "p" "v" "w" "x" 2; "e" "a" "o" "p" 2;
"a" "p" 5; "b" "c" 5; "c" "w" 4; "d" "f" "h" "n" "p" "v" "w" "x" 2; "e" "a" "o" "p" 2;
"a" "p" 5; "b" "c" 5; "c" "w" 4; "d" "f" "h" "n" "p" "v" "w" "x" 2; "e" "a" "o" "p" 2;
"a" "p" 5; "b" "c" 5; "c" "w" 4; "d" "f" "h" "n" "p" "v" "w" "x" 2; "e" "a" "o" "p" 2;
"a" "p" 5; "b" "c" 5; "c" "w" 4; "d" "f" "h" "n" "p" "v" "w" "x" 2; "e" "a" "o" "p" 2;
"a" "p" 5; "b" "c" 5; "c" "w" 4; "d" "h" 3; "e" "a" "o" "p" 2;
"a" "p" 5; "b" "c" 5; "c" "w" 4; "d" "h" 3; "e" "a" "b" "o" "p" 2;
"a" "p" 5; "b" "c" 5; "c" "w" 4; "d" "h" 3; "e" "a" "b" "o" "p" 2;
"a" "p" 5; "b" "c" 5; "c" "w" 4; "d" "h" 3; "e" "a" "b" "o" "p" 2;
"a" "p" 5; "b" "c" 5; "c" "w" 4; "d" "h" 3; "e" "a" "b" "o" "p" 2;
"a" "p" 5; "b" "c" 5; "c" "w" 4; "d" "h" 3; "e" "b" 3;
"a" "p" 5; "b" "c" 5; "c" "w" 4; "d" "h" 3; "e" "b" 3;
"a" "p" 5; "b" "c" 5; "c" "w" 4; "d" "h" 3; "e" "b" 3;
"a" "p" 5; "b" "c" 5; "c" "w" 4; "d" "h" "y" 3; "e" "b" 3;
"a" "p" 5; "b" "c" 5; "c" "w" 4; "d" "h" "y" 3; "e" "b" 3;
"a" "p" 5; "b" "c" 5; "c" "w" 4; "d" "h" "y" 3; "e" "b" 3;
"a" "p" 5; "b" "c" 5; "c" "w" 4; "d" "h" "y" 3; "e" "b" 3;
"a" "p" 5; "b" "c" 5; "c" "w" 4; "d" "h" "y" 3; "e" "b" 3;
"a" "p" 5; "b" "c" 5; "c" "w" 4; "d" "h" "y" 3; "e" "b" 3;
"a" "p" 5; "b" "c" 5; "c" "w" 4; "d" "h" "y" 3; "e" "b" 3;
"a" "p" 5; "b" "c" 5; "c" "w" 4; "d" "h" "x" "y" 3; "e" "b" 3;
"a" "p" 5; "b" "c" 5; "c" "w" 4; "d" "h" "x" "y" 3; "e" "b" 3;
"a" "p" 5; "b" "c" 5; "c" "w" 4; "d" "h" "x" "y" 3; "e" "b" 3;
"a" "p" 5; "b" "c" 5; "c" "w" 4; "d" "h" "x" "y" 3; "e" "b" 3;
"a" "p" 5; "b" "c" 5; "c" "w" 4; "d" "h" "x" "y" 3; "e" "b" 3;
"a" "p" 5; "b" "c" 5; "c" "w" 4; "d" "h" "x" "y" 3; "e" "b" 3;
"a" "p" 5; "b" "c" 5; "c" "w" 4; "d" "h" "x" "y" 3; "e" "b" 3;
"a" "p" 5; "b" "c" 5; "c" "w" 4; "d" "h" "x" "y" 3; "e" "b" 3;
"a" "p" 5; "b" "c" 5; "c" "w" 4; "d" "x" 4; "e" "b" 3;
"a" "p" 5; "b" "c" 5; "c" "w" 4; "d" "x" 4; "e" "b" 3;
"a" "p" 5; "b" "c" 5; "c" "w" 4; "d" "x" 4; "e" "b" 3;
"a" "p" 5; "b" "c" 5; "c" "w" 4; "d" "x" 4; "e" "b" 3;
"a" "p" 5; "b" "c" 5; "c" "w" 4; "d" "x" 4; "e" "b" 3;
"a" "p" 5; "b" "c" 5; "c" "w" 4; "d" "x" 4; "e" "b" 3;
"a" "p" 5; "b" "c" 5; "c" "w" 4; "d" "x" 4; "e" "b" 3;
"a" "p" 5; "b" "c" 5; "c" "w" 4; "d" "x" 4; "e" "b" 3;
"a" "p" 5; "b" "c" 5; "c" "w" 4; "d" "x" 4; "e" "b" 3;
"a" "p" 5; "b" "c" 5; "c" "w" 4; "d" "x" 4; "e" "b" 3;
"a" "p" 5; "b" "c" 5; "c" "w" 4; "d" "x" 4; "e" "b" 3;
"a" "p" 5; "b" "c" 5; "c" "w" 4; "d" "x" 4; "e" "b" 3;
"a" "p" 5; "b" "c" 5; "c" "w" 4; "d" "x" 4; "e" "b" 3;
"a" "p" 5; "b" "c" 5; "c" "w" 4; "d" "x" 4; "e" "b" 3;
"a" "p" 5; "b" "c" 6; "c" "w" 4; "d" "x" 4; "e" "b" 3;
"a" "p" 5; "b" "c" 6; "c" "w" 4; "d" "x" 4; "e" "b" 3;
"a" "p" 6; "b" "c" 6; "c" "w" 4; "d" "x" 4; "e" "b" 3;
"a" "p" 6; "b" "c" 6; "c" "e" "w" 4; "d" "x" 4; "e" "b" 3;
"a" "p" 6; "b" "c" 6; "c" "e" "w" 4; "d" "x" 4; "e" "b" 3;
"a" "p" 6; "b" "c" 6; "c" "e" "w" 4; "d" "x" 4; "e" "b" 3;
"a" "p" 6; "b" "c" 6; "c" "e" "w" 4; "d" "h" "x" 4; "e" "b" 3;
"a" "p" 6; "b" "c" 6; "c" "e" "w" 4; "d" "h" "x" 4; "e" "b" 3;
"a" "p" 6; "b" "c" 6; "c" "e" "w" 4; "d" "h" "x" 4; "e" "b" 3;
"a" "p" 6; "b" "c" 6; "c" "e" "w" 4; "d" "h" "x" 4; "e" "b" 3;
"a" "p" 6; "b" "c" 6; "c" "e" "w" 4; "d" "h" "x" 4; "e" "b" 3;
"a" "p" 6; "b" "c" 6; "c" "e" "w" 4; "d" "h" "x" 4; "e" "b" 3;
"a" "p" 6; "b" "c" 6; "c" "e" "w" 4; "d" "h" "x" 4; "e" "b" 3;
"a" "p" 6; "b" "c" 6; "c" "e" "w" 4; "d" "h" "x" 4; "e" "b" 3;
"a" "p" 6; "b" "c" 6; "c" "e" "w" 4; "d" "h" "x" 4; "e" "b" 3;
"a" "p" 6; "b" "c" 6; "c" "e" "w" 4; "d" "h" "x" 4; "e" "b" 3;
"a" "p" 6; "b" "c" 6; "c" "e" "w" 4; "d" "h" "x" 4; "e" "b" 3;
"a" "p" 6; "b" "c" 6; "c" "e" "w" 4; "d" "h" "x" 4; "e" "b" 3;
"a" "p" 6; "b" "c" 6; "c" "e" "w" 4; "d" "h" "x" 4; "e" "b" 3;
"a" "p" 6; "b" "c" 6; "c" "e" "w" 4; "d" "h" "x" 4; "e" "b" "o" 3;
"a" "p" 6; "b" "c" 6; "c" "e" "w" 4; "d" "h" "x" 4; "e" "b" "o" 3;
"a" "p" 6; "b" "c" 6; "c" "e" "w" 4; "d" "h" "x" 4; "e" "b" "o" 3;
"a" "p" 6; "b" "c" 6; "c" "e" "w" 4; "d" "h" "x" 4; "e" "b" "o" 3;
"a" "p" 6; "b" "c" 6; "c" "e" "w" 4; "d" "h" "x" 4; "e" "b" "o" 3;
"a" "p" 6; "b" "c" 6; "c" "e" "w" 4; "d" "h" "x" 4; "e" "b" "o" 3;
"a" "p" 6; "b" "c" 6; "c" "e" "w" 4; "d" "h" "x" 4; "e" "b" "o" 3;
"a" "p" 6; "b" "c" 6; "c" "e" "w" 4; "d" "h" "x" 4; "e" "b" "o" 3;
"a" "p" 6; "b" "c" 6; "c" "e" "w" 4; "d" "h" "x" 4; "e" "b" "o" 3;
"a" "p" 6; "b" "c" 6; "c" "e" "w" 4; "d" "h" "x" 4; "e" "b" "o" 3;
"a" "p" 6; "b" "c" 6; "c" "e" "w" 4; "d" "h" "x" 4; "e" "b" "o" 3;
"a" "p" 6; "b" "c" 6; "c" "e" "w" 4; "d" "h" "x" 4; "e" "o" 4;
"a" "p" 6; "b" "c" 6; "c" "e" "w" 4; "d" "h" "x" 4; "e" "o" 4;
"a" "p" 6; "b" "c" 6; "c" "e" 5; "d" "h" "x" 4; "e" "o" 4;
"a" "p" 6; "b" "c" 6; "c" "e" 5; "d" "h" "x" 4; "e" "o" 4;
"a" "p" 6; "b" "c" 6; "c" "e" 5; "d" "h" "x" 4; "e" "o" 4;
"a" "p" 6; "b" "c" 6; "c" "e" 5; "d" "h" "x" 4; "e" "o" 4;
"a" "p" 6; "b" "c" 6; "c" "e" 5; "d" "h" "x" 4; "e" "o" 4;
"a" "p" 6; "b" "c" 6; "c" "e" 5; "d" "h" "x" 4; "e" "o" 4;
"a" "p" 6; "b" "c" 6; "c" "e" 5; "d" "h" "x" 4; "e" "o" 4;
"a" "p" 6; "b" "c" 6; "c" "e" 5; "d" "h" "x" 4; "e" "o" 4;
"a" "p" 6; "b" "c" 6; "c" "e" 5; "d" "h" "x" 4; "e" "o" 4;
"a" "p" 6; "b" "c" 6; "c" "e" 5; "d" "h" "x" 4; "e" "o" 4;
"a" "p" 6; "b" "c" 6; "c" "e" 5; "d" "h" "x" 4; "e" "o" 4;
